,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,,SECFilingLinks,AsOriginallyReported,Restated
2007-09,2.033B,,2.033B,2.432B,4.192B,6.624B,798.00M,713.00M,,45.00M,1.556B,674.00M,10.89B,,,,,,,4.384B,-2.02B,2.364B,8.92B,1.028B,9.948B,684.00M,13.00B,23.88B,,2007-09,1.926B,,1.926B,,,656.00M,,656.00M,,,,5.755B,8.337B,2.14B,,2.14B,864.00M,,864.00M,,1.632B,4.636B,2007-09,482.00M,10.92B,1.052B,1.892B,,2007-09,,
2007-06,1.794B,,1.794B,2.539B,4.233B,6.772B,801.00M,725.00M,,69.00M,1.595B,390.00M,10.55B,,,,,,,4.253B,-2.02B,2.233B,8.838B,1.093B,9.931B,692.00M,12.86B,23.41B,,2007-06,1.819B,,1.819B,,,506.00M,,506.00M,,,,5.813B,8.138B,2.283B,,2.283B,835.00M,,835.00M,,1.529B,4.647B,2007-06,482.00M,10.49B,1.009B,1.594B,,2007-06,,
2007-03,1.492B,,1.492B,2.304B,,2.304B,772.00M,742.00M,,90.00M,1.604B,4.558B,9.958B,,,,,,,4.243B,-2.02B,2.223B,8.629B,1.239B,9.868B,683.00M,12.77B,22.73B,,2007-03,1.924B,,1.924B,,,8.00M,,8.00M,,,,5.737B,7.669B,2.782B,,2.782B,824.00M,,824.00M,,1.382B,4.988B,2007-03,482.00M,10.09B,953.00M,1.613B,,2007-03,,
2006-12,1.604B,,1.604B,2.341B,,2.341B,711.00M,715.00M,44.00M,4.002B,5.472B,463.00M,9.88B,0.00,169.00M,1.385B,2.473B,,161.00M,4.188B,-2.02B,2.168B,8.541B,1.184B,9.725B,603.00M,12.50B,22.38B,,2006-12,1.956B,,1.956B,,,7.00M,,7.00M,2.949B,2.949B,,2.912B,7.824B,2.774B,,2.774B,,,,,1.951B,4.725B,2006-12,482.00M,9.769B,880.00M,1.455B,,2006-12,AOR,Restated
2006-09,963.00M,,963.00M,2.144B,3.821B,5.965B,624.00M,740.00M,,45.00M,1.409B,677.00M,9.014B,,,,,,,4.317B,-2.189B,2.128B,8.58B,1.229B,9.809B,626.00M,12.56B,21.58B,,2006-09,1.625B,,1.625B,,,329.00M,,329.00M,,,,5.572B,7.526B,2.778B,,2.778B,,,,,1.801B,4.579B,2006-09,1.30B,9.455B,,1.481B,,2006-09,,
2006-06,1.399B,,1.399B,1.978B,3.839B,5.817B,555.00M,834.00M,,98.00M,1.487B,550.00M,9.253B,,,,,,,4.29B,-2.189B,2.101B,8.513B,1.241B,9.754B,624.00M,12.48B,21.73B,,2006-06,1.741B,,1.741B,,,871.00M,,871.00M,,,,5.514B,8.126B,2.778B,,2.778B,,,,,1.747B,4.525B,2006-06,0.00,9.109B,1.271B,1.503B,,2006-06,,
2006-03,2.599B,,2.599B,1.743B,3.511B,5.254B,515.00M,783.00M,,139.00M,1.437B,544.00M,9.834B,,,,,,,4.262B,-2.189B,2.073B,6.801B,897.00M,7.698B,684.00M,10.46B,20.29B,,2006-03,1.721B,,1.721B,,,507.00M,,507.00M,,,,5.16B,7.388B,2.778B,,2.778B,,,,,1.656B,4.434B,2006-03,1.231B,8.566B,,1.451B,,2006-03,,
2005-12,2.331B,,2.331B,2.004B,,2.004B,505.00M,701.00M,69.00M,3.17B,4.445B,386.00M,9.449B,0.00,163.00M,1.293B,2.252B,,130.00M,3.838B,-1.81B,2.028B,6.686B,898.00M,7.584B,639.00M,10.25B,19.70B,,2005-12,1.686B,,1.686B,,,509.00M,,509.00M,2.565B,2.565B,,2.35B,7.11B,2.778B,,2.778B,,,,,1.667B,4.445B,2005-12,482.00M,8.285B,645.00M,1.493B,,2005-12,AOR,Restated
2005-09,1.754B,,1.754B,1.72B,3.133B,4.853B,476.00M,716.00M,,158.00M,1.35B,429.00M,8.386B,,,,,,,4.19B,-2.133B,2.057B,,7.60B,7.60B,707.00M,10.36B,18.75B,,2005-09,1.592B,,1.592B,,,507.00M,,507.00M,,,,4.232B,6.331B,2.79B,,2.79B,,,,,1.656B,4.446B,2005-09,1.113B,7.96B,,1.345B,,2005-09,,
2005-06,1.438B,,1.438B,1.677B,3.082B,4.759B,435.00M,660.00M,,94.00M,1.189B,483.00M,7.869B,,,,,,,4.072B,-2.033B,2.039B,,7.338B,7.338B,691.00M,10.07B,17.94B,,2005-06,1.462B,,1.462B,,,,,,,,,4.479B,5.941B,2.791B,,2.791B,,,,,1.629B,4.42B,2005-06,1.086B,7.666B,,1.358B,,2005-06,,
2005-03,1.511B,,1.511B,1.511B,3.052B,4.563B,414.00M,673.00M,,123.00M,1.21B,436.00M,7.72B,,,,,,,4.153B,-2.033B,2.12B,,7.39B,7.39B,675.00M,10.18B,17.90B,,2005-03,1.446B,,1.446B,,,7.00M,,7.00M,,,,4.13B,5.583B,3.29B,,3.29B,,,,,1.636B,4.926B,2005-03,1.056B,7.402B,,1.277B,,2005-03,,
2004-12,976.00M,,976.00M,1.45B,,1.45B,392.00M,648.00M,119.00M,2.926B,4.085B,408.00M,7.331B,0.00,225.00M,1.311B,2.475B,78.00M,78.00M,4.167B,-2.014B,2.153B,6.429B,948.00M,7.377B,683.00M,10.21B,17.54B,,2004-12,1.505B,,1.505B,,,6.00M,,6.00M,1.003B,1.003B,,2.864B,5.378B,3.291B,,3.291B,,,,,1.686B,4.977B,2004-12,998.00M,7.146B,,1.206B,,2004-12,AOR,Restated
2004-09,686.00M,,686.00M,1.438B,2.966B,4.404B,396.00M,670.00M,,221.00M,1.287B,491.00M,6.868B,,,,,,,3.958B,-1.818B,2.14B,,7.495B,7.495B,662.00M,10.30B,17.16B,,2004-09,1.296B,,1.296B,,,391.00M,,391.00M,,,,3.91B,5.597B,3.296B,,3.296B,,,,,1.495B,4.791B,2004-09,960.00M,6.882B,,1.231B,,2004-09,,
2004-06,1.10B,,1.10B,1.376B,2.643B,4.019B,386.00M,665.00M,,185.00M,1.236B,514.00M,6.869B,,,,,,,3.90B,-1.818B,2.082B,,7.135B,7.135B,644.00M,9.861B,16.73B,,2004-06,1.257B,,1.257B,,,519.00M,,519.00M,,,,3.668B,5.444B,3.297B,,3.297B,,,,,1.531B,4.828B,2004-06,940.00M,6.632B,,1.24B,,2004-06,,
2004-03,869.00M,,869.00M,1.525B,2.628B,4.153B,393.00M,674.00M,,201.00M,1.268B,482.00M,6.772B,,,,,,,3.898B,-1.818B,2.08B,,7.163B,7.163B,653.00M,9.896B,16.67B,,2004-03,1.37B,,1.37B,,,561.00M,,561.00M,,,,3.792B,5.723B,3.297B,,3.297B,,,,,1.431B,4.728B,2004-03,891.00M,6.404B,,1.265B,,2004-03,,
2003-12,861.00M,,861.00M,1.344B,,1.344B,388.00M,614.00M,103.00M,2.527B,3.632B,400.00M,6.624B,0.00,205.00M,1.187B,2.273B,76.00M,130.00M,3.871B,-1.811B,2.06B,5.955B,953.00M,6.908B,591.00M,9.559B,16.18B,,2003-12,1.288B,,1.288B,,,747.00M,,747.00M,,,,3.589B,5.624B,3.296B,,3.296B,,,,,1.342B,4.638B,2003-12,838.00M,6.206B,,1.279B,,2003-12,AOR,Restated
2003-09,697.00M,,697.00M,1.502B,2.422B,3.924B,395.00M,691.00M,,137.00M,1.223B,480.00M,6.324B,,,,,,,3.618B,-1.613B,2.005B,,6.898B,6.898B,653.00M,9.556B,15.88B,,2003-09,1.353B,,1.353B,,,1.234B,,1.234B,,,,2.994B,5.581B,3.31B,,3.31B,,,,,1.403B,4.713B,2003-09,808.00M,5.992B,,1.29B,,2003-09,,
2003-06,811.00M,,811.00M,1.237B,2.416B,3.653B,413.00M,799.00M,,163.00M,1.375B,316.00M,6.155B,,,,,,,3.547B,-1.613B,1.934B,,5.203B,5.203B,701.00M,7.838B,13.99B,,2003-06,1.195B,,1.195B,,,364.00M,,364.00M,,,,3.004B,4.563B,2.72B,,2.72B,,,,,1.303B,4.023B,2003-06,790.00M,5.793B,,1.301B,,2003-06,,
2003-03,748.00M,,748.00M,1.263B,2.20B,3.463B,389.00M,807.00M,,260.00M,1.456B,334.00M,6.001B,,,,,,,3.549B,-1.613B,1.936B,,5.056B,5.056B,710.00M,7.702B,13.70B,,2003-03,1.212B,,1.212B,,,2.38B,,2.38B,,,,2.988B,6.58B,720.00M,,720.00M,,,,,1.295B,2.015B,2003-03,768.00M,5.613B,,1.277B,,2003-03,,
2002-12,328.00M,,328.00M,1.074B,,1.074B,396.00M,750.00M,230.00M,1.943B,3.319B,377.00M,5.098B,0.00,192.00M,1.096B,2.013B,77.00M,91.00M,3.469B,-1.613B,1.856B,3.51B,560.00M,4.07B,707.00M,6.633B,11.73B,,2002-12,1.056B,,1.056B,,,750.00M,,750.00M,,,,2.776B,4.582B,721.00M,,721.00M,,,,,1.229B,1.95B,2002-12,757.00M,5.455B,,1.016B,,2002-12,AOR,Restated
2002-09,468.00M,,468.00M,1.156B,1.924B,3.08B,380.00M,726.00M,,448.00M,1.554B,389.00M,5.491B,,,,,,,3.596B,-1.77B,1.826B,,4.076B,4.076B,697.00M,6.599B,12.09B,,2002-09,1.041B,,1.041B,,,1.293B,,1.293B,,,,2.624B,4.958B,728.00M,,728.00M,,,,,1.283B,2.011B,2002-09,755.00M,5.358B,,997.00M,,2002-09,,
2002-06,376.00M,,376.00M,1.32B,1.847B,3.167B,368.00M,610.00M,,392.00M,1.37B,431.00M,5.344B,,,,,,,1.827B,,1.827B,,4.008B,4.008B,650.00M,6.485B,11.83B,,2002-06,935.00M,,935.00M,,,1.223B,,1.223B,,,,2.719B,4.877B,725.00M,,725.00M,,,,,1.238B,1.963B,2002-06,777.00M,5.15B,,927.00M,,2002-06,,
2002-03,377.00M,,377.00M,1.21B,1.775B,2.985B,,,,,1.357B,443.00M,5.162B,,,,,,,1.753B,,1.753B,,3.736B,3.736B,664.00M,6.153B,11.32B,,2002-03,870.00M,,870.00M,,,1.292B,,1.292B,,,,2.448B,4.61B,724.00M,,724.00M,,,,,1.24B,1.964B,2002-03,746.00M,4.948B,,933.00M,,2002-03,,
2001-12,439.00M,,439.00M,968.00M,,968.00M,361.00M,643.00M,254.00M,1.763B,3.021B,432.00M,4.945B,0.00,159.00M,1.086B,2.009B,76.00M,148.00M,3.478B,-1.76B,1.718B,3.11B,648.00M,3.758B,648.00M,6.124B,11.07B,,2001-12,890.00M,,890.00M,,,1.211B,,1.211B,,,,2.478B,4.579B,724.00M,,724.00M,,,,,1.238B,1.962B,2001-12,694.00M,4.778B,,930.00M,,2001-12,AOR,Restated
2001-09,579.00M,,579.00M,1.044B,1.692B,2.736B,333.00M,694.00M,,259.00M,1.286B,433.00M,5.034B,,,,,,,3.077B,-1.346B,1.731B,2.852B,749.00M,3.601B,649.00M,5.981B,11.02B,,2001-09,896.00M,,896.00M,,,1.50B,,1.50B,,,,2.047B,4.443B,739.00M,,739.00M,,,,,1.403B,2.142B,2001-09,697.00M,4.589B,,840.00M,,2001-09,,
2001-06,163.00M,,163.00M,921.00M,1.488B,2.409B,321.00M,889.00M,,246.00M,1.456B,408.00M,4.436B,,,,,,,2.901B,-1.346B,1.555B,,2.925B,2.925B,644.00M,5.124B,9.56B,,2001-06,822.00M,,822.00M,,,958.00M,,958.00M,,,,2.212B,3.992B,219.00M,,219.00M,,,,,1.135B,1.354B,2001-06,668.00M,4.414B,,847.00M,,2001-06,,
2001-03,280.00M,,280.00M,871.00M,1.485B,2.356B,286.00M,421.00M,,299.00M,1.006B,404.00M,4.046B,,,,,,,2.81B,-1.346B,1.464B,,2.771B,2.771B,637.00M,4.872B,8.918B,,2001-03,754.00M,,754.00M,,,915.00M,,915.00M,,,,1.943B,3.612B,225.00M,,225.00M,,,,,1.071B,1.296B,2001-03,629.00M,4.244B,,855.00M,,2001-03,,
2000-12,177.00M,,177.00M,798.00M,,798.00M,289.00M,405.00M,236.00M,1.261B,2.191B,385.00M,3.551B,0.00,123.00M,607.00M,1.568B,69.00M,273.00M,2.64B,-1.346B,1.294B,2.003B,528.00M,2.531B,611.00M,4.436B,7.987B,,2000-12,717.00M,,717.00M,,,340.00M,,340.00M,,,,1.844B,2.901B,173.00M,,173.00M,,,,,1.093B,1.266B,2000-12,619.00M,4.059B,,833.00M,,2000-12,,Restated
2000-09,367.00M,16.00M,383.00M,,,849.00M,,,,,2.156B,403.00M,3.791B,,,,,,,2.61B,-1.335B,1.275B,,2.54B,2.54B,625.00M,4.44B,8.231B,,2000-09,595.00M,,595.00M,,,840.00M,,840.00M,,,,1.948B,3.383B,171.00M,,171.00M,,,,,1.10B,1.271B,2000-09,551.00M,3.892B,,857.00M,,2000-09,,
2000-06,275.00M,,275.00M,,,755.00M,,,,,2.198B,397.00M,3.625B,,,,,,,2.58B,-1.304B,1.276B,,2.487B,2.487B,619.00M,4.382B,8.007B,,2000-06,622.00M,,622.00M,,,901.00M,,901.00M,,,,1.995B,3.518B,170.00M,,170.00M,,,,,1.004B,1.174B,2000-06,521.00M,3.648B,,846.00M,,2000-06,,
2000-03,236.00M,,236.00M,,,875.00M,,,,,2.331B,337.00M,3.779B,,,,,,,2.457B,-1.246B,1.211B,,2.503B,2.503B,608.00M,4.322B,8.101B,,2000-03,624.00M,,624.00M,,,1.001B,,1.001B,,,,2.068B,3.693B,170.00M,,170.00M,,,,,968.00M,1.138B,2000-03,498.00M,3.495B,,718.00M,,2000-03,,
1999-12,270.00M,,270.00M,,,746.00M,,,,,2.165B,310.00M,3.491B,,,,,,,2.388B,-1.219B,1.169B,,2.513B,2.513B,601.00M,4.283B,7.774B,,1999-12,631.00M,,631.00M,,,853.00M,,853.00M,,,,1.969B,3.453B,169.00M,,169.00M,,,,,982.00M,1.151B,1999-12,487.00M,3.363B,,673.00M,,1999-12,,
1999-09,69.00M,,69.00M,,,841.00M,,,,,1.032B,1.802B,3.744B,,,,,,,2.268B,-1.228B,1.04B,,2.623B,2.623B,624.00M,4.287B,8.031B,,1999-09,474.00M,,474.00M,,,1.172B,,1.172B,,,,1.992B,3.638B,233.00M,,233.00M,,,,,1.133B,1.366B,1999-09,0.00,3.214B,495.00M,675.00M,,1999-09,,
1999-06,260.00M,,260.00M,,,312.00M,,,,,1.168B,520.00M,2.26B,,,,,,,1.849B,-1.055B,794.00M,,1.527B,1.527B,410.00M,2.731B,4.991B,,1999-06,189.00M,,189.00M,,,18.00M,,18.00M,,,,1.173B,1.38B,242.00M,,242.00M,,,,,794.00M,1.036B,1999-06,,2.95B,,,,1999-06,,
1999-03,133.00M,,133.00M,,,314.00M,,,,,1.186B,781.00M,2.414B,,,,,,,1.749B,-1.031B,718.00M,,1.528B,1.528B,446.00M,2.692B,5.106B,,1999-03,215.00M,,215.00M,,,58.00M,,58.00M,,,,1.301B,1.574B,241.00M,,241.00M,,,,,802.00M,1.043B,1999-03,,287.50M,,,,1999-03,,
1998-12,210.00M,93.00M,303.00M,,,1.532B,,,,,804.00M,391.00M,3.03B,,,,,,,2.067B,-1.166B,901.00M,,1.788B,1.788B,477.00M,3.166B,6.196B,,1998-12,522.00M,,522.00M,,,77.00M,,77.00M,,,,1.818B,2.417B,453.00M,,453.00M,,,,,911.00M,1.364B,1998-12,,2.639B,,,,1998-12,,
1998-09,111.00M,,111.00M,,,191.00M,,,,,906.00M,415.00M,1.623B,,,,,,,1.647B,-1.021B,626.00M,,1.251B,1.251B,653.00M,2.53B,4.153B,,1998-09,242.00M,,242.00M,,,,,,,,,968.00M,1.21B,237.00M,,237.00M,,,,,586.00M,823.00M,1998-09,,2.572B,,,,1998-09,,
1998-06,138.00M,,138.00M,,,231.00M,,,,,839.00M,389.00M,1.597B,,,,,,,1.636B,-1.006B,630.00M,,1.21B,1.21B,659.00M,2.499B,4.096B,,1998-06,213.00M,,213.00M,,,,,,,,,931.00M,1.144B,251.00M,,251.00M,,,,,637.00M,888.00M,1998-06,,2.505B,,,,1998-06,,
