,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1999-12,578.90M,578.90M,501.10M,77.80M,,55.20M,1.50M,,,55.20M,22.60M,,,1.50M,,24.10M,9.60M,14.50M,,14.50M,13.60M,25.70M,3.10M,22.60M,,0.09,0.00,0.0845,0.09,,0.085,0.00,0.0796,0.085,,165.40M,166.72M,0.02,,,
1999-09,593.40M,593.40M,518.40M,75.00M,,52.80M,1.20M,,,52.80M,22.20M,,,1.20M,,23.20M,9.20M,14.00M,,14.00M,13.28M,24.50M,2.297M,22.20M,,0.085,0.00,0.0806,0.085,,0.085,0.00,0.0806,0.085,,164.72M,166.05M,0.0175,,,
1999-06,579.42M,579.42M,506.03M,73.40M,,51.34M,1.133M,,,51.34M,22.06M,,,1.133M,,23.19M,9.211M,13.98M,,13.98M,13.30M,24.46M,2.403M,22.06M,,0.085,0.00,0.0809,0.085,,0.085,0.00,0.0809,0.085,,164.78M,165.91M,0.0175,,,
1999-03,509.30M,509.30M,442.30M,67.00M,,50.10M,0.90M,,,50.10M,16.90M,,,0.90M,,17.90M,7.10M,10.80M,,10.80M,10.26M,19.20M,2.30M,16.90M,,0.065,0.00,0.0617,0.065,,0.065,0.00,0.0617,0.065,,166.15M,166.15M,0.0175,,,
1998-12,507.10M,507.10M,443.70M,63.40M,,45.80M,0.80M,,,45.80M,17.60M,,,0.80M,,18.40M,7.30M,11.10M,,11.10M,10.62M,19.80M,2.20M,17.60M,,0.065,0.00,0.0621,0.065,,0.065,0.00,0.0621,0.065,,164.78M,165.10M,0.0175,,,
1998-09,516.20M,516.20M,452.40M,63.80M,,44.80M,0.80M,,,44.80M,19.00M,,,0.80M,,19.80M,7.90M,11.90M,,11.90M,11.42M,21.20M,2.20M,19.00M,,0.075,0.00,0.0721,0.075,,0.075,0.00,0.0721,0.075,,164.81M,165.17M,0.015,,,
1998-06,546.70M,546.70M,483.40M,63.30M,,44.70M,0.60M,,,44.70M,18.60M,,,0.60M,,19.20M,7.60M,11.60M,,11.60M,11.24M,20.80M,2.20M,18.60M,,0.07,0.00,0.0678,0.07,,0.07,0.00,0.0678,0.07,,164.86M,165.26M,0.015,,,
1998-03,468.20M,468.20M,413.00M,55.20M,,41.90M,0.50M,,,41.90M,13.30M,,,0.50M,,13.90M,5.50M,8.40M,,8.40M,8.098M,15.20M,1.90M,13.30M,,0.05,0.00,0.0482,0.05,,0.05,0.00,0.0482,0.05,,165.00M,165.41M,0.015,,,
1997-12,469.20M,469.20M,415.90M,53.30M,,63.30M,0.10M,,,63.30M,-10.00M,,,0.10M,,-9.80M,5.80M,-15.60M,14.60M,-1.00M,-15.66M,-7.60M,2.40M,-10.00M,,-0.095,0.09,-0.0954,-0.005,,-0.095,0.09,-0.0954,-0.005,,153.91M,153.91M,0.015,,,
1997-09,466.40M,466.40M,412.90M,53.50M,,38.10M,0.90M,,,38.10M,15.40M,,,0.90M,,16.30M,6.40M,9.90M,0.60M,10.50M,9.353M,15.40M,,15.40M,,0.06,0.005,0.0567,0.065,,0.06,0.005,0.0567,0.065,,165.06M,165.06M,,,,
1997-06,451.40M,451.40M,,,,,,,,,451.40M,,,,,,,9.80M,0.50M,10.30M,9.80M,451.40M,,451.40M,,0.06,0.005,0.06,0.065,,0.06,0.005,0.06,0.065,,158.46M,158.46M,,,,
1997-03,403.70M,403.70M,,,,,,,,,403.70M,,,,,,,7.40M,0.40M,7.80M,7.40M,403.70M,,403.70M,,0.045,0.005,0.045,0.05,,0.045,0.005,0.045,0.05,,156.00M,156.00M,,,,
1996-12,417.30M,417.30M,,,,,,,,,-1.138B,,,,,,,8.00M,0.60M,8.60M,8.00M,-1.138B,,-1.138B,,0.045,0.005,0.045,0.05,,0.045,0.005,0.045,0.05,,181.28M,181.28M,,,,
1996-09,413.60M,413.60M,,,,,,,,,413.60M,,,,,,,8.70M,0.60M,9.30M,8.70M,413.60M,,413.60M,,0.055,0.005,0.055,0.06,,0.055,0.005,0.055,0.06,,155.00M,155.00M,,,,
1996-06,413.10M,413.10M,,,,,,,,,413.10M,,,,,,,9.00M,0.50M,9.50M,9.00M,413.10M,,413.10M,,0.055,0.005,0.055,0.06,,0.055,0.005,0.055,0.06,,158.33M,158.33M,,,,
1996-03,361.90M,361.90M,,,,,,,,,361.90M,,,,,,,6.70M,0.50M,7.20M,6.70M,361.90M,,361.90M,,0.04,0.005,0.04,0.045,,0.04,0.005,0.04,0.045,,160.00M,160.00M,,,,
