,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-06,49.35M,,-12.52M,4.73M,4.73M,,,,19.94M,-69.89M,,-1.059M,58.70M,,4.701M,,-7.545M,53.96M,,-3.95M,,-3.95M,,0.00,-0.229M,-0.424M,-4.603M,,,,,-7.47M,-9.708M,-17.18M,,-12.87M,,12.30M,-17.75M,,125.24M,31.60M,0.106M,156.95M,,-7.47M,,,-9.708M,,,
2005-03,41.78M,,12.52M,3.883M,3.883M,,,,,-38.09M,,-2.418M,22.12M,,-16.17M,,-34.56M,23.61M,,-8.505M,,-8.505M,,-43.59M,-0.567M,-1.185M,-53.85M,,,,,7.47M,-5.775M,1.695M,,-12.83M,,0.90M,-10.24M,,166.48M,-40.47M,-0.77M,125.24M,,7.47M,,,-5.775M,,,
2004-12,38.56M,,-23.01M,3.353M,3.353M,,,,,6.445M,,0.145M,16.72M,,17.02M,,40.33M,90.99M,,-12.17M,,-12.17M,,-10.00M,-0.392M,-0.73M,-23.29M,,,,,1.132M,-10.16M,-9.027M,,-10.25M,,,-16.71M,,187.62M,50.99M,2.96M,166.48M,,1.132M,,,-10.16M,,,
2004-09,37.35M,,7.09M,3.087M,3.087M,,,,,-31.27M,,2.625M,1.055M,,12.23M,,-15.35M,32.17M,,-6.878M,,-6.878M,,0.00,-0.142M,1.377M,-5.643M,,,,,1.798M,-8.401M,-6.603M,,-10.15M,,,-16.75M,,177.07M,9.777M,0.779M,187.62M,,1.798M,,,-8.401M,,,
2004-06,32.28M,,7.186M,2.74M,2.74M,,,,,-50.47M,,1.198M,17.79M,,5.494M,,-25.99M,16.21M,,-4.072M,,-4.072M,,-1.81M,-0.121M,-0.861M,-6.864M,,,,,2.486M,-7.086M,-4.60M,,-10.25M,,,-14.85M,,183.63M,-5.505M,-1.054M,177.07M,,2.486M,,,-7.086M,,,
2004-03,29.07M,,7.706M,2.634M,2.634M,,,,,-14.97M,,-3.325M,4.302M,,-11.42M,,-25.41M,14.00M,,-11.62M,,-11.62M,,-7.302M,-0.118M,0.024M,-19.02M,,,,,5.08M,-3.97M,1.11M,,-10.25M,,,-9.137M,,198.51M,-14.16M,-0.725M,183.63M,,5.08M,,,-3.97M,,,
2003-12,22.68M,,17.42M,2.85M,2.85M,1.496M,,,,-21.11M,,-0.758M,8.86M,,2.921M,,-10.08M,34.36M,,-4.283M,,-3.974M,,,-25.22M,0.034M,-31.25M,,,,,10.14M,-12.85M,-2.713M,,-6.765M,,,-9.478M,,178.90M,-6.363M,0.875M,123.41M,,10.14M,,,-12.85M,,,
2003-09,28.90M,,0.821M,2.676M,2.676M,3.397M,,,,-23.25M,,0.828M,3.138M,,4.086M,,-15.20M,20.60M,,-1.441M,,-1.441M,,,-0.112M,-0.661M,-2.214M,,,,,-4.896M,3.745M,-1.151M,,-6.769M,,,-7.92M,,168.22M,10.47M,0.211M,178.90M,,-4.896M,,,3.745M,,,
2003-06,28.95M,,1.676M,2.686M,2.686M,1.58M,,,,-0.638M,0.055M,-0.181M,6.809M,,1.789M,,7.834M,42.73M,,-1.545M,,-1.545M,,,-0.138M,-1.09M,-2.773M,,,,,1.441M,-4.252M,-2.811M,,-6.758M,,,-9.569M,,137.17M,30.38M,0.672M,168.22M,,1.441M,,,-4.252M,,,
2003-03,26.84M,,1.636M,2.78M,2.78M,1.826M,,,,-25.97M,-0.055M,-1.882M,14.48M,,-7.839M,,-21.27M,11.81M,,-1.305M,,-1.305M,,,-0.153M,-0.481M,-1.939M,,,,,3.455M,-2.733M,0.722M,,-6.754M,,,-6.032M,,133.00M,3.837M,0.33M,137.17M,,3.455M,,,-2.733M,,,
2002-12,17.80M,,13.71M,3.368M,3.368M,-1.419M,,,,1.789M,,0.585M,-10.31M,,16.16M,,8.219M,41.68M,,-1.401M,,-1.401M,,-0.279M,-41.16M,-0.628M,-43.47M,,,,,1.651M,-3.613M,-1.962M,,-5.065M,,,-7.027M,,121.62M,-8.816M,-0.859M,83.00M,,1.651M,,,-3.613M,,,
2002-09,25.95M,,0.42M,3.54M,3.54M,-0.423M,,,,11.02M,,0.402M,-16.10M,,6.755M,,2.082M,31.57M,,-1.47M,,-1.47M,,0.00,-25.10M,-0.616M,-27.18M,,,,,0.959M,-3.31M,-2.351M,,-5.069M,,,-7.42M,,124.66M,-3.034M,,121.62M,,0.959M,,,-3.31M,,,
2002-06,25.21M,,0.567M,3.579M,3.579M,-0.396M,,,,-50.22M,-0.19M,-0.743M,32.42M,,6.284M,,-12.45M,16.50M,,-2.878M,,-2.878M,,0.00,,-0.038M,-2.916M,,,,,2.196M,-3.756M,-1.56M,,-5.068M,,,-6.628M,,118.04M,6.96M,-0.339M,124.66M,,2.196M,,,-3.756M,,,
2002-03,20.84M,,0.222M,3.542M,3.542M,1.741M,,,,14.43M,0.19M,0.601M,-1.563M,,-15.62M,,-1.962M,24.38M,,-1.576M,,-1.576M,,-15.72M,,-0.432M,-17.72M,,,,,2.902M,-2.542M,0.36M,,-5.064M,,,-4.704M,,115.74M,1.957M,0.339M,118.04M,,2.902M,,,-2.542M,,,
2001-12,20.59M,,0.183M,4.719M,4.719M,1.903M,,,,16.50M,,1.337M,-14.06M,,7.422M,,10.40M,37.80M,,-1.805M,0.00,-1.805M,,,,0.02M,-1.785M,,,,,1.132M,-3.731M,-2.599M,,-4.222M,,,-6.821M,,86.55M,29.19M,,115.74M,,1.132M,,,-3.731M,,,
2001-09,22.63M,,-1.083M,4.817M,4.817M,6.248M,,,,-7.932M,,0.638M,6.303M,,-3.438M,,-4.429M,28.18M,,-10.86M,5.00M,-5.865M,,,,-0.77M,-6.635M,,,,,1.127M,-3.478M,-2.351M,,-4.228M,,,-6.579M,,71.58M,14.97M,,86.55M,,1.127M,,,-3.478M,,,
2001-06,22.64M,,0.435M,4.762M,4.762M,-0.009M,,,,-17.73M,,-0.89M,-2.245M,,0.67M,,-20.20M,7.631M,,-2.012M,,-2.012M,,,,1.182M,-0.83M,,,,,1.078M,-3.633M,-2.555M,,-4.23M,,,-6.785M,,71.57M,0.016M,,71.58M,,1.078M,,,-3.633M,,,
2001-03,18.13M,,0.201M,4.838M,4.838M,3.214M,,,,-6.261M,,-1.061M,-9.067M,,-9.153M,,-25.54M,0.845M,,-2.419M,,-2.419M,,,,-1.548M,-3.967M,,,,,1.866M,-2.867M,-1.001M,,-4.22M,,,-5.221M,,79.91M,-8.343M,,71.57M,,1.866M,,,-2.867M,,,
2000-12,18.63M,,0.045M,4.574M,4.574M,0.368M,,,,15.77M,-0.074M,1.408M,-10.37M,0.57M,3.107M,,10.41M,34.02M,,-2.47M,0.229M,-2.241M,,,,5.551M,-2.588M,,,,,0.75M,-3.625M,-2.875M,,-3.38M,,,-6.255M,,54.73M,25.18M,,79.91M,,0.75M,,,-3.625M,,,
2000-09,18.46M,,0.001M,4.398M,4.398M,0.227M,,,,-0.607M,,0.947M,0.451M,,8.768M,,9.559M,32.64M,,-2.982M,0.013M,-2.969M,,,,-8.169M,-11.14M,,,,,0.775M,-3.737M,-2.962M,,-3.383M,,,-6.345M,,39.57M,15.16M,,54.73M,,0.775M,,,-3.737M,,,
2000-06,18.94M,,0.072M,4.142M,4.142M,-1.187M,,,,-44.45M,1.383M,-2.355M,37.16M,0.315M,7.061M,,-0.886M,21.08M,,-4.674M,0.098M,-4.576M,,,,0.298M,-4.278M,,,,,0.733M,-1.803M,-1.07M,,-3.382M,,,-4.452M,,27.21M,12.36M,,39.57M,,0.733M,,,-1.803M,,,
2000-03,15.21M,,0.20M,4.204M,4.204M,0.079M,,,,-52.91M,-1.383M,,25.64M,-0.315M,-3.986M,,-32.96M,-13.26M,,-5.365M,0.02M,-5.345M,,,,-0.743M,-6.088M,,,,,0.992M,-0.77M,0.222M,,-3.293M,,,-3.071M,,49.64M,-22.42M,,27.21M,,0.992M,,,-0.77M,,,
1999-12,14.50M,,-0.20M,3.10M,3.10M,1.80M,,,,9.50M,1.40M,,-1.20M,0.80M,-5.00M,,5.50M,24.90M,,-4.40M,0.30M,-4.10M,,,32.10M,12.50M,-71.70M,,,,,0.30M,-0.70M,-0.40M,,-2.90M,,,-3.30M,,99.80M,-50.10M,,49.60M,,0.30M,,,-0.70M,,,
1999-09,14.05M,,0.003M,2.297M,2.297M,-1.856M,,,,-1.442M,1.523M,,-1.114M,0.319M,-2.714M,,-3.428M,11.06M,,-2.221M,-0.006M,-2.227M,,,0.681M,-7.396M,-8.942M,,,,,0.287M,-0.857M,-0.57M,,-2.834M,,,-3.404M,,101.12M,-1.284M,,99.80M,,0.287M,,,-0.857M,,,
1999-06,13.95M,,-0.003M,2.403M,2.403M,-1.644M,,,,-23.86M,0.877M,,13.11M,-0.119M,9.014M,,-0.972M,13.74M,,-1.279M,0.006M,-1.273M,,,-2.381M,0.296M,-3.358M,,,,,0.313M,-0.743M,-0.43M,,-2.866M,,,-3.296M,,94.00M,7.084M,,101.12M,,0.313M,,,-0.743M,,,
1999-03,10.80M,,,2.30M,2.30M,-3.10M,,,,-19.40M,-2.10M,,14.90M,2.90M,-4.10M,,-7.80M,2.20M,,-1.50M,0.10M,-1.40M,,,1.50M,-4.90M,-4.80M,,,,,0.60M,-0.40M,0.20M,,-2.90M,,,-2.70M,,99.30M,-5.30M,,94.00M,,0.60M,,,-0.40M,,,
1998-12,11.10M,,,2.20M,2.20M,-6.60M,,,0.10M,17.60M,-0.10M,,-10.00M,-1.90M,3.90M,,9.50M,16.40M,,-1.10M,0.10M,-1.00M,,,-10.00M,2.20M,-15.60M,,,,,0.20M,-0.50M,-0.30M,,-2.50M,,0.10M,-2.70M,,101.30M,-1.90M,,99.30M,,0.20M,,,-0.50M,,,
1998-09,11.90M,,,2.20M,2.20M,-3.20M,,,-0.10M,13.10M,0.80M,,-11.70M,-0.20M,4.40M,,6.40M,17.20M,,-1.20M,1.90M,0.70M,,,4.80M,-2.60M,2.90M,,,,,0.30M,-0.50M,-0.20M,,0.00,,-0.10M,-0.30M,,81.40M,19.80M,,101.30M,,0.30M,,,-0.50M,,,
1998-06,11.60M,,,2.20M,2.20M,0.30M,,,0.10M,-36.30M,-0.80M,,31.50M,-1.60M,25.30M,,18.10M,32.30M,,-1.20M,,-1.20M,,,-11.00M,-0.10M,-12.30M,,,,,0.80M,-0.50M,0.30M,,-2.40M,,-0.10M,-2.20M,,63.50M,17.80M,,81.40M,,0.80M,,,-0.50M,,,
1998-03,8.40M,,,1.90M,1.90M,0.20M,,,,-5.50M,-0.20M,,10.20M,2.30M,-5.60M,,1.20M,11.70M,,-1.60M,,-1.60M,,,-4.10M,-0.90M,-6.60M,,,,,,-1.60M,-1.60M,,-2.50M,,0.10M,-4.00M,,62.50M,1.10M,,63.50M,,,,,-1.60M,,,
