,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-03,256.43M,124.22M,380.65M,706.97M,,706.97M,,13.29M,,7.866M,,1.109B,,,,,,,,115.59M,-53.09M,62.50M,230.89M,24.28M,255.16M,,,317.66M,1.426B,,487.67M,,,487.67M,96.62M,584.29M,,,,,,584.29M,,,,,,,,1.238M,585.53M,,17.36M,599.11M,244.98M,18.94M,-1.60M,840.91M,,,
2005-12,230.63M,122.55M,353.18M,716.72M,,716.72M,,8.878M,,5.999M,,1.085B,0.00,3.50M,22.79M,87.14M,,0.39M,,113.82M,-53.09M,60.72M,223.14M,18.52M,241.66M,,7.909M,310.29M,1.395B,,473.88M,,,473.88M,138.60M,612.48M,,,,,,612.48M,,,,1.469M,1.469M,,1.079M,2.548M,615.03M,,17.30M,640.55M,157.07M,32.99M,-1.901M,780.04M,,,
2005-09,191.94M,123.18M,315.12M,698.25M,,698.25M,,9.07M,,6.596M,,1.029B,,,,,,,,109.89M,-51.30M,58.60M,,249.31M,249.31M,,,307.91M,1.337B,,469.13M,,,469.13M,110.22M,579.35M,,,,,,579.35M,,,,4.871M,4.871M,,3.03M,7.901M,587.26M,,17.09M,604.99M,174.20M,28.84M,-17.76M,749.69M,,,
2005-06,156.95M,122.41M,279.36M,667.50M,,667.50M,,9.888M,,11.52M,,968.26M,,,,,,,,109.24M,-51.30M,57.94M,,233.24M,233.24M,,,291.18M,1.259B,,458.10M,,,458.10M,86.73M,544.83M,,,,,,544.83M,,,,4.26M,4.26M,,3.04M,7.30M,552.13M,,8.555M,563.78M,177.23M,22.38M,-19.87M,707.31M,,,
2005-03,125.24M,122.17M,247.41M,599.78M,,599.78M,,8.829M,,9.068M,,865.09M,,,,,,,,108.47M,-51.30M,57.18M,,234.44M,234.44M,,,291.61M,1.157B,,399.39M,,,399.39M,79.41M,478.80M,,,,,,478.80M,,,,6.218M,6.218M,,3.119M,9.337M,488.14M,,8.559M,527.31M,178.76M,18.95M,-27.11M,668.57M,,,
2004-12,166.48M,121.60M,288.08M,544.27M,,544.27M,,5.457M,,8.18M,,845.99M,0.00,,6.057M,96.36M,,,,102.42M,-51.30M,51.12M,,183.59M,183.59M,,,234.71M,1.081B,,303.08M,,,303.08M,93.89M,396.97M,,,,,55.85M,452.82M,,,,4.153M,4.153M,,2.868M,7.021M,459.84M,,8.524M,498.41M,172.01M,25.45M,-32.63M,620.86M,,,
2004-09,187.62M,46.11M,233.74M,548.46M,,548.46M,,5.602M,,8.543M,,796.34M,,,,,,,,86.46M,-44.72M,41.74M,,174.00M,174.00M,,,215.74M,1.012B,,336.51M,,,336.51M,76.12M,412.63M,,,,,,412.63M,,,,6.125M,6.125M,,2.643M,8.768M,421.40M,,8.528M,472.68M,170.87M,20.18M,-41.22M,590.68M,,,
2004-06,177.07M,45.97M,223.04M,519.85M,,519.85M,,8.226M,,9.311M,,760.43M,,,,,,,,82.13M,-44.72M,37.42M,,174.50M,174.50M,,,211.91M,972.34M,,335.35M,,,335.35M,27.00M,362.36M,,,,,36.88M,399.24M,,,,6.532M,6.532M,,2.711M,9.243M,408.48M,,8.541M,445.59M,171.22M,14.46M,-47.03M,563.86M,,,
2004-03,183.63M,45.86M,229.48M,470.92M,,470.92M,,,,9.439M,9.426M,719.27M,,,,,,,,80.06M,-44.72M,35.34M,,172.62M,172.62M,,,207.96M,927.24M,,317.56M,,,317.56M,58.39M,375.95M,,,,,,375.95M,,,,6.742M,6.742M,,2.762M,9.504M,385.45M,,8.543M,423.57M,171.91M,12.55M,-49.69M,541.78M,,,
2003-12,123.41M,120.84M,244.25M,457.46M,,457.46M,,6.09M,,9.535M,,717.33M,0.00,,3.927M,57.42M,9.00M,,,70.34M,-44.72M,25.62M,,158.87M,158.87M,,6.324M,190.82M,908.15M,,261.21M,,,261.21M,69.27M,330.48M,,,,,50.72M,381.20M,,,,5.598M,5.598M,,2.603M,8.201M,389.40M,,8.53M,404.75M,174.01M,15.89M,-52.65M,518.75M,,,
2003-09,178.90M,45.62M,224.52M,438.45M,,438.45M,,,,,16.72M,679.69M,,,,,,,,68.18M,-44.27M,23.90M,,163.51M,163.51M,,,187.42M,867.10M,,299.58M,,,299.58M,66.35M,365.94M,,,,,,365.94M,,,,9.887M,9.887M,,2.378M,12.26M,378.20M,,8.465M,409.49M,90.73M,12.93M,-6.85M,488.90M,,,
2003-06,168.22M,45.52M,213.74M,415.74M,,415.74M,,6.16M,,14.41M,,650.05M,,,,,,,,68.86M,-44.27M,24.59M,152.97M,,152.97M,,10.47M,188.03M,838.08M,,296.45M,,,296.45M,62.27M,358.72M,,,,,,358.72M,,,,9.517M,9.517M,,2.371M,11.89M,370.61M,,8.457M,387.35M,93.58M,14.62M,-7.287M,467.48M,,,
2003-03,137.17M,45.38M,182.55M,416.44M,,416.44M,,6.034M,,13.56M,,618.58M,,,,,,,,69.57M,-44.27M,25.30M,,162.60M,162.60M,,,187.90M,806.47M,,289.64M,,,289.64M,60.48M,350.12M,,,,,,350.12M,,,,7.088M,7.088M,,2.075M,9.163M,359.28M,,8.462M,365.16M,94.35M,12.58M,-8.191M,447.19M,,,
2002-12,133.00M,45.23M,178.23M,391.67M,,391.67M,,4.097M,,14.58M,,588.57M,0.00,,5.258M,56.49M,9.00M,,,70.75M,-44.27M,26.48M,,157.30M,157.30M,,4.806M,188.58M,777.15M,,275.16M,,,275.16M,68.32M,343.47M,,,,,,343.47M,,,,6.28M,6.28M,,1.567M,7.847M,351.32M,,8.451M,345.08M,96.69M,15.63M,-8.755M,425.83M,,,
2002-09,121.62M,25.10M,146.72M,398.04M,,398.04M,,4.682M,,13.02M,,562.46M,,,,,,,,63.32M,-35.47M,27.85M,,161.92M,161.92M,,,189.76M,752.23M,,283.78M,,,283.78M,53.24M,337.02M,,,,,,337.02M,,,,5.023M,5.023M,,1.45M,6.473M,343.50M,,8.45M,327.51M,97.49M,15.56M,-9.155M,408.73M,,,
2002-06,124.66M,,124.66M,409.06M,,409.06M,,5.084M,,12.31M,,551.11M,,,,,,,,64.92M,-35.47M,29.45M,,162.30M,162.30M,,,191.75M,742.86M,,299.88M,,,299.88M,46.49M,346.36M,,,,,,346.36M,,,,4.735M,4.735M,,1.675M,6.41M,352.78M,,8.458M,306.62M,97.86M,13.58M,-9.266M,390.09M,,,
2002-03,118.04M,,118.04M,360.06M,,360.06M,,4.151M,,11.10M,,493.36M,,,,,,,,65.27M,-35.47M,29.80M,,162.81M,162.81M,,,192.61M,685.96M,,267.46M,,,267.46M,40.20M,307.66M,,,,,,307.66M,,,,3.922M,3.922M,,1.872M,5.794M,313.45M,,8.457M,286.48M,98.94M,13.17M,-8.204M,372.51M,,,
2001-12,115.74M,,115.74M,370.38M,,370.38M,2.66M,2.272M,,12.16M,,503.22M,,,,,,,,66.39M,-35.47M,30.92M,,148.15M,148.15M,,1.209M,180.28M,683.49M,,267.71M,,,267.71M,55.82M,323.53M,,,,,,323.53M,,,,3.241M,3.241M,,0.906M,4.147M,327.68M,,8.446M,270.71M,99.55M,15.05M,-7.839M,355.82M,,,
2001-09,86.55M,,86.55M,386.88M,,386.88M,,5.468M,,12.47M,,491.37M,,,,,,,,61.28M,-29.42M,31.86M,,150.63M,150.63M,,,182.49M,673.85M,,280.92M,,,280.92M,48.40M,329.32M,,,,,,329.32M,,,,,,,,2.41M,331.73M,,8.451M,255.19M,99.68M,13.46M,-7.741M,342.12M,,,
2001-06,71.58M,,71.58M,378.95M,,378.95M,,6.203M,,16.17M,,472.91M,,,,,,,,57.22M,-29.42M,27.80M,,152.59M,152.59M,,,180.39M,653.30M,,274.63M,,,274.63M,51.84M,326.46M,,,,,,326.46M,,,,0.866M,0.866M,,,0.866M,327.33M,,8.432M,236.78M,100.34M,11.75M,-7.838M,325.97M,,,
2001-03,71.57M,,71.57M,361.21M,,361.21M,,5.216M,,18.65M,,456.65M,,,,,,,,58.31M,-29.42M,28.88M,,154.93M,154.93M,,,183.81M,640.46M,,276.88M,,,276.88M,,276.88M,,,,,51.17M,328.04M,,,,2.353M,2.353M,,,2.353M,330.39M,,8.439M,218.37M,100.89M,9.746M,-7.884M,310.06M,,,
2000-12,79.91M,,79.91M,354.95M,,354.95M,,4.155M,,21.22M,,460.24M,,,,,,,,58.83M,-29.42M,29.40M,,154.57M,154.57M,,,183.97M,644.21M,,285.93M,,,285.93M,60.32M,346.25M,,,,,,346.25M,,,,,,,,0.94M,347.19M,,8.462M,204.46M,101.57M,9.451M,-8.029M,297.02M,,,
2000-09,54.73M,,54.73M,370.72M,,370.72M,1.872M,,,,24.60M,451.93M,,,,,,,,56.46M,-26.60M,29.86M,,156.06M,156.06M,,,185.93M,637.86M,,297.03M,,,297.03M,,297.03M,,,,,55.65M,352.68M,,,,,,,,,352.68M,,4.224M,190.05M,98.94M,6.734M,-1.297M,285.18M,,,
2000-06,39.57M,,39.57M,367.66M,,367.66M,3.422M,,,,23.01M,433.66M,,,,,,,,55.81M,-26.60M,29.21M,,151.67M,151.67M,,,180.88M,614.54M,,294.48M,,,294.48M,,294.48M,,,,,46.82M,341.30M,,,,,,,,,341.30M,,4.228M,174.97M,99.00M,3.846M,-1.125M,273.24M,,,
2000-03,27.21M,,27.21M,323.21M,,323.21M,3.168M,,,,21.66M,375.25M,,,,,,,,54.93M,-27.35M,27.58M,,153.52M,153.52M,,,181.10M,556.35M,,257.32M,,,257.32M,,257.32M,,,,,40.32M,297.64M,,,,,,,,,297.64M,,4.23M,159.41M,98.96M,2.739M,-1.155M,258.71M,,,
1999-12,49.64M,,49.64M,270.30M,,270.30M,1.785M,,,,21.33M,343.05M,,,,,,,,51.35M,-26.60M,24.75M,,153.58M,153.58M,,1.286M,179.61M,522.66M,,231.59M,,,231.59M,,231.59M,,,,,44.30M,275.89M,,,,,,,,,275.89M,,4.228M,147.59M,98.96M,2.952M,-1.053M,246.77M,,,
1999-09,99.80M,30.90M,130.70M,279.80M,,279.80M,3.20M,,,,22.50M,436.20M,,,,,,,,45.70M,-26.60M,19.10M,,25.20M,25.20M,,,44.30M,480.50M,,232.30M,,,232.30M,,232.30M,,,,,49.40M,281.70M,,,,,,,,-0.10M,281.60M,,4.10M,136.30M,62.10M,2.50M,-1.20M,198.90M,,,
1999-06,101.10M,,101.10M,273.40M,,273.40M,4.70M,,,,53.40M,432.60M,,,,,,,,44.10M,-25.60M,18.50M,,17.90M,17.90M,,,36.40M,469.00M,,230.20M,,,230.20M,,230.20M,,,,,50.60M,280.80M,,,,,,,,,280.80M,,,125.20M,,,,188.20M,,,
1999-03,94.00M,,94.00M,249.50M,,249.50M,5.50M,,,,49.40M,398.40M,,,,,,,,43.10M,-23.70M,19.40M,,19.70M,19.70M,,,39.10M,437.50M,,217.00M,,,217.00M,,217.00M,,,,,43.10M,260.10M,,,,,,,,,260.10M,,,114.10M,,,,177.40M,,,
1998-12,99.30M,,99.30M,221.00M,,221.00M,3.50M,,,,51.00M,374.80M,,,,,,,,41.30M,-21.80M,19.50M,,12.60M,12.60M,,2.20M,34.30M,409.10M,,192.90M,,,192.90M,,192.90M,,,,,46.70M,239.60M,,,,,,,,,239.60M,,4.10M,106.20M,62.10M,1.70M,-1.10M,169.50M,,,
1998-09,101.30M,,101.30M,237.80M,,237.80M,3.30M,,,,32.90M,375.30M,,,,,,,,42.30M,-22.10M,20.20M,,10.60M,10.60M,,,30.80M,406.10M,,202.10M,,,202.10M,,202.10M,,,,,42.30M,244.40M,,,,,,,,,244.40M,,,98.00M,,,,161.70M,,,
1998-06,81.40M,,81.40M,248.50M,,248.50M,4.10M,,,,34.30M,368.30M,,,,,,,,43.10M,-21.30M,21.80M,,8.10M,8.10M,,0.10M,30.00M,398.30M,,208.40M,,,208.40M,,208.40M,,,,,37.30M,245.70M,,,,,,,,,245.70M,,,88.50M,,,,152.60M,,,
1998-03,63.50M,,63.50M,219.40M,,219.40M,3.40M,,,,21.90M,308.20M,,,,,,,,41.00M,-18.60M,22.40M,,8.80M,8.80M,,,31.20M,339.40M,,176.30M,,,176.30M,,176.30M,,,,,19.20M,195.50M,,,,,,,,,195.50M,,,79.40M,,,,143.90M,,,
1997-12,62.50M,,62.50M,224.00M,,224.00M,3.10M,,,,21.10M,310.70M,,,,,,,,40.80M,-18.60M,22.20M,,6.70M,6.70M,,1.00M,29.90M,340.60M,,166.80M,,,166.80M,,166.80M,,,,,34.80M,201.60M,,,,,,,,,201.60M,,,73.50M,,,,139.00M,,,
1997-09,104.70M,,104.70M,201.90M,,201.90M,3.30M,,,,38.70M,348.60M,,,,,,,,39.00M,-17.20M,21.80M,,12.80M,12.80M,,-0.10M,34.50M,383.10M,,163.50M,,,163.50M,,163.50M,,,,,37.90M,201.40M,,,,,,,,,201.40M,,,178.00M,,,,181.70M,,,
1996-12,42.60M,,42.60M,170.90M,,170.90M,5.30M,,,,61.60M,280.40M,,,,,,,,36.60M,-13.60M,23.00M,,7.80M,7.80M,,9.60M,40.40M,320.80M,,140.40M,,,140.40M,,140.40M,,,,,26.00M,166.40M,,,,,,,,,166.40M,,,150.60M,,,,154.40M,,,
