,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-12,17.40M,-0.50M,,,-1.80M,,,4.60M,4.60M,,,,,-87.20M,,,,,,,-93.70M,-5.90M,,-5.90M,,,144.70M,94.30M,233.10M,-0.10M,-140.10M,-140.20M,,,4.40M,,,,-10.40M,,,-124.80M,400.30M,14.60M,414.90M,,,-0.10M,,,
2003-09,14.90M,-0.80M,,,-5.70M,,,11.60M,11.60M,,,,,57.30M,,,,,,,78.10M,-2.10M,,-2.10M,,,-71.60M,-280.50M,-354.20M,-0.30M,85.60M,85.30M,,,0.50M,,,,-10.30M,,,-41.90M,718.30M,-318.00M,400.30M,,,-0.30M,,,
2003-06,15.50M,-2.70M,,,-5.90M,,,8.40M,8.40M,,,,,-296.70M,,,,,,,-278.70M,-2.30M,,-2.30M,,,419.00M,-91.00M,325.70M,-87.90M,-31.00M,-118.90M,,,0.90M,,,,-10.40M,,,-73.90M,745.20M,-26.90M,718.30M,,,-87.90M,,,
2003-03,16.00M,4.60M,,,-0.80M,,,8.70M,8.70M,,,,,270.80M,,,,,,,294.70M,-2.20M,,-2.20M,,,324.50M,-165.60M,156.70M,-98.00M,-649.30M,-747.30M,,,0.20M,,,,-9.50M,,,-427.20M,721.00M,24.20M,745.20M,,,-98.00M,,,
2002-12,17.10M,0.70M,,,0.00,,,5.40M,5.40M,,,,,232.59M,,,,,,,252.60M,-1.90M,,-1.90M,,,47.60M,-448.90M,-403.20M,-28.50M,243.10M,214.60M,,,0.20M,,,,-9.40M,,,411.20M,460.40M,260.60M,721.00M,,0.00,-28.50M,,,
2002-09,14.80M,1.80M,,,-0.60M,,,9.90M,9.90M,,,,,-263.30M,,,,,,,-239.20M,-5.70M,,-5.70M,,,101.20M,-466.80M,-371.30M,15.10M,113.70M,128.80M,,,-0.20M,,,,-9.50M,,,14.00M,1.468B,-596.50M,460.40M,,50.00M,-34.90M,,,
2002-06,12.30M,1.50M,,,-1.40M,,,9.30M,9.30M,,,,,52.90M,,,,,,,73.10M,-3.20M,,-3.20M,,,-482.20M,352.70M,-132.70M,574.90M,-136.80M,438.10M,,,0.00,,,,-9.50M,,,412.60M,1.115B,353.00M,1.468B,,,574.90M,,,
2002-03,11.20M,-0.70M,,,-3.10M,,,11.40M,11.40M,,,,,110.90M,,,,,,,130.40M,-3.30M,,-3.30M,,,-1.90M,231.50M,226.30M,-798.00M,-88.20M,-886.20M,,,0.30M,,,,-8.90M,,,-536.80M,1.295B,-180.10M,1.115B,,,-798.00M,,,
2001-12,7.20M,3.70M,,,2.10M,,,12.10M,12.10M,,,,,-402.60M,,,,,,,-394.80M,-9.30M,,-9.30M,,,-510.10M,-268.60M,-788.00M,-2.20M,849.20M,847.00M,,,0.10M,,,,-9.00M,,,963.30M,1.104B,-219.50M,884.00M,,75.00M,-77.20M,,,
2001-09,12.20M,-4.10M,,,-29.30M,,,11.60M,11.60M,,,,,27.70M,,,,,,,22.20M,-10.20M,,-10.20M,,,146.60M,-3.80M,132.60M,-160.60M,78.40M,-82.20M,,,0.50M,,,,-10.00M,,,-63.90M,988.10M,90.90M,1.104B,,200.00M,-360.60M,,,
2001-06,43.10M,17.80M,,,-57.70M,,,11.90M,11.90M,,,,,31.50M,,,,,,,28.80M,-7.90M,,-7.90M,,,-68.00M,398.30M,322.40M,-153.60M,-458.00M,-611.60M,,,0.10M,,,,-10.10M,,,-648.70M,1.286B,-297.50M,988.10M,,25.00M,-178.60M,,,
2001-03,13.30M,3.30M,,,-0.90M,,,10.70M,10.70M,,,,,-8.40M,,,,,,,14.70M,-6.00M,,-6.00M,,,36.80M,338.60M,369.40M,-35.30M,-56.10M,-91.40M,,,0.40M,,,,-8.30M,,,-29.50M,931.00M,354.60M,1.286B,,60.00M,-95.30M,,,
2000-12,28.70M,-5.90M,,,-6.60M,,,10.50M,10.50M,,,,,51.90M,,,,,,,75.70M,-9.50M,,-9.50M,,,-32.60M,-313.00M,-355.10M,186.90M,212.90M,399.80M,,,1.60M,,,,-8.30M,,,542.90M,692.00M,263.50M,955.50M,,521.70M,-334.80M,,,
2000-09,26.20M,-14.90M,,,-21.00M,,,30.30M,30.30M,,,,,-12.80M,,26.10M,,,26.10M,,48.80M,-27.60M,,-27.60M,,,-125.10M,-198.00M,-350.70M,292.90M,-139.40M,153.50M,,,0.10M,,,,-7.70M,,-15.60M,238.50M,748.20M,-63.40M,692.00M,,494.60M,-201.70M,,,
2000-06,26.50M,5.00M,,,8.50M,,,-9.40M,-9.40M,,,,,73.50M,,-26.10M,,,-26.10M,,73.00M,11.50M,,11.50M,,,-33.80M,-73.50M,-95.80M,260.00M,-213.20M,46.80M,,,,,,,-7.70M,,15.60M,39.00M,739.20M,16.20M,748.20M,,540.40M,-280.40M,,,
2000-03,27.00M,-5.00M,,,-8.50M,,,9.40M,9.40M,,,,,-9.80M,,,,,,,18.10M,-11.50M,,-11.50M,,,60.60M,155.50M,204.60M,-137.80M,-319.70M,-457.50M,,,,,,,-7.10M,,,-136.70M,653.20M,86.00M,739.20M,,325.00M,-462.80M,,,
1999-12,27.00M,,,,,,,,,,,,,71.40M,,,,,,,103.90M,,,,,,45.40M,-706.30M,-660.90M,160.70M,534.10M,694.80M,,,0.00,,,,-7.30M,,-9.60M,640.50M,563.00M,83.50M,646.00M,,386.70M,-226.00M,,,
1999-09,28.10M,,,,,,,,,,,,,-2.10M,,,,,,,26.00M,,,,,,190.90M,192.10M,383.00M,-67.70M,-432.40M,-500.10M,,,-0.20M,,,,-6.50M,,-50.90M,-341.00M,494.50M,68.00M,563.00M,,219.40M,-287.10M,,,
1999-06,29.00M,,,,,,,,,,,,,-24.00M,,,,,,,5.00M,,,,,,-207.00M,-187.60M,-394.60M,-50.90M,353.20M,302.30M,,,-51.50M,,,,-7.00M,,14.80M,357.20M,526.90M,-32.40M,494.50M,,46.90M,-97.80M,,,
1999-03,27.90M,,,,,,,,,,,,,13.10M,,,,,,,41.00M,,,,,,-165.90M,100.50M,-65.40M,513.60M,-421.80M,91.80M,,,-30.30M,,,,-6.50M,,18.10M,48.80M,502.50M,24.40M,526.90M,,636.70M,-123.10M,,,
1998-12,9.90M,,,,,,,,,,,,,36.60M,,,,,,,18.70M,,,,,,150.90M,-480.30M,-329.40M,75.60M,-59.10M,16.50M,,,,,,,-6.60M,,4.20M,339.10M,474.10M,28.40M,502.50M,,211.30M,-135.70M,,,
1998-09,27.70M,,,,,,,,,,,,,26.00M,,,,,,,53.70M,,,,,,-1.191B,596.30M,-594.40M,74.90M,471.20M,546.10M,,,,,,,-6.10M,,-19.30M,484.40M,0.00,-56.30M,474.10M,,273.40M,-198.50M,,,
1998-06,28.70M,,,,,,,,,,,,,-18.30M,,,,,,,10.40M,,,,,,614.30M,-669.20M,-54.90M,16.20M,-117.20M,-101.00M,,,,,,,-6.00M,,6.30M,-78.40M,0.00,-122.90M,0.00,,168.20M,-152.00M,,,
1998-03,25.40M,,,,,,,,,,,,,18.60M,,,,,,,44.00M,,,,,,19.00M,-90.40M,-71.40M,150.80M,-141.50M,9.30M,,,,,,,-4.90M,,3.20M,237.00M,443.70M,209.60M,0.00,,328.50M,-177.70M,,,
1997-12,25.20M,,,,,,,,,,,,,74.90M,,,,,,,61.70M,,,,,,-51.90M,-382.10M,-434.00M,43.70M,237.80M,281.50M,,,,,,,-4.90M,,-22.50M,457.90M,0.00,85.60M,443.70M,,400.70M,-357.00M,,,
1997-09,23.30M,,,,,,,,,,,,,-15.10M,,,,,,,8.20M,,,,,,-63.40M,213.90M,150.50M,208.60M,-435.50M,-226.90M,,,,,,,-4.40M,,12.30M,-195.90M,0.00,-37.20M,0.00,,-526.20M,734.80M,,,
