,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,PensionLiability,DerivativeContractLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2001-03,,1.286B,,1.286B,,,,,1.286B,,,,,,,,210.00M,,,123.50M,7.110B,107.70M,7.002B,2.472B,,10.28B,11.56B,,,,,1.638B,1.638B,1.638B,2.374B,266.60M,,266.60M,,,7.831B,,,8.098B,10.68B,61.40M,685.10M,202.20M,,,-69.90M,878.80M
2000-12,,931.00M,,931.00M,,,,,931.00M,,,,,,,,212.10M,,,124.70M,7.449B,104.70M,7.345B,2.497B,,10.64B,11.57B,,,,,1.774B,1.774B,1.774B,2.466B,265.80M,,265.80M,,,7.761B,,,8.027B,10.69B,61.30M,680.10M,201.60M,,,-61.20M,881.80M
2000-09,,692.00M,,692.00M,,,,,692.00M,,,,,,,,211.00M,,,127.00M,7.127B,105.00M,7.022B,2.417B,,10.31B,11.00B,,,,,1.702B,1.702B,1.702B,2.185B,149.00M,,149.00M,,,7.612B,,,7.761B,10.16B,61.00M,660.00M,201.00M,,,-79.00M,843.00M
2000-06,,764.00M,,764.00M,,,,,764.00M,,,,,,,,211.40M,,,129.60M,6.904B,105.00M,6.798B,2.265B,,9.923B,10.69B,,,,,1.528B,1.528B,1.528B,2.032B,148.70M,,148.70M,,,7.503B,,,7.652B,9.878B,61.20M,641.20M,200.60M,,,-93.50M,809.50M
2000-03,,739.20M,,739.20M,,,,,739.20M,,,,,,,,210.50M,,,132.10M,6.900B,105.00M,6.795B,2.238B,,9.909B,10.65B,,,,,1.389B,1.389B,1.389B,1.985B,148.70M,,148.70M,,,7.519B,,,7.668B,9.850B,61.20M,622.40M,200.10M,,,-85.70M,798.00M
1999-12,,653.20M,,653.20M,,,,,653.20M,,,,,,,,205.90M,,,133.70M,7.075B,105.00M,6.970B,2.310B,,10.08B,10.74B,,,,,1.465B,1.465B,1.465B,2.442B,148.60M,,148.60M,,,7.191B,,,7.340B,9.956B,61.10M,602.50M,200.10M,,,-82.00M,781.70M
1999-09,,571.50M,,571.50M,,,,,571.50M,,,,,,,,197.90M,,,130.30M,6.428B,105.00M,6.323B,2.366B,,9.495B,10.07B,,,,,482.40M,482.40M,482.40M,685.50M,1.210B,,1.210B,,,7.228B,,,8.439B,9.294B,61.10M,582.90M,200.00M,,,-70.90M,773.10M
1999-06,,494.50M,,494.50M,,,,,494.50M,,,,,,,,193.80M,,,132.60M,6.616B,105.00M,6.511B,2.605B,,9.863B,10.36B,,,,,387.50M,387.50M,387.50M,898.80M,1.496B,,1.496B,,,7.012B,,,8.508B,9.576B,,561.40M,,,,-40.60M,781.70M
1999-03,,526.90M,,526.90M,,,,,526.90M,,,,,,,,190.30M,,,134.70M,6.460B,105.00M,6.355B,2.469B,,9.478B,10.00B,,,,,360.30M,360.30M,360.30M,622.60M,1.471B,,1.471B,,,6.913B,,,8.384B,9.172B,,589.20M,,,,-18.20M,833.00M
1998-12,,523.50M,,523.50M,,,,,523.50M,,,,,,,,190.90M,,,136.20M,6.586B,105.00M,6.481B,2.272B,,9.410B,9.934B,,,,,370.70M,370.70M,370.70M,883.30M,1.119B,,1.119B,,,6.938B,,,8.056B,9.082B,63.70M,597.00M,198.30M,,,-6.70M,852.30M
1998-09,,474.10M,,474.10M,,,,,474.10M,,,,,,,,192.20M,,,138.80M,6.145B,100.50M,6.045B,2.393B,,9.145B,9.620B,,,,,1.308B,1.308B,1.308B,1.877B,148.40M,,148.40M,,,6.612B,,,6.761B,8.763B,,605.00M,,,,-10.70M,856.70M
1998-06,,530.40M,,530.40M,,,,,530.40M,,,,,,,,194.50M,,,117.80M,5.853B,100.50M,5.752B,2.188B,,8.575B,9.105B,,,,,959.80M,959.80M,959.80M,1.331B,148.30M,,148.30M,,,6.649B,,,6.797B,8.248B,,583.30M,,,,12.10M,857.40M
1998-03,,653.30M,,653.30M,,,388.90M,,1.042B,,,,,,,,190.20M,,,120.10M,5.707B,100.50M,5.606B,1.874B,,8.107B,9.150B,,,,,903.30M,903.30M,903.30M,1.271B,294.00M,,294.00M,,,6.626B,,,6.920B,8.305B,,559.80M,,,,23.70M,844.60M
1997-12,,443.70M,,443.70M,38.50M,67.80M,106.30M,,550.00M,,,,,,,,183.90M,,,2.90M,5.475B,85.70M,5.390B,1.826B,,7.634B,8.184B,,,,,970.10M,970.10M,970.10M,1.407B,148.20M,,148.20M,,,5.818B,,,5.967B,7.474B,,540.60M,,,,12.40M,709.90M
1997-09,,358.10M,,358.10M,,,,,358.10M,,,,,,,,182.40M,,,,5.147B,85.70M,5.062B,1.768B,,7.373B,7.731B,,,,,951.80M,951.80M,951.80M,1.126B,148.20M,,148.20M,,,5.614B,,,5.763B,7.034B,,520.10M,,,,21.40M,697.50M
