,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,RestrictedCommonStock,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2001-06,10.75M,,10.75M,13.90M,24.65M,,,,,,,1.449B,-209.36M,1.240B,,,,,,,1.240B,1.287B,1.277M,1.277M,,1.277M,,,1.277M,790.71M,790.71M,26.96M,,47.88M,,,,817.67M,827.92M,0.243M,-135.86M,549.74M,,0.069M,-2.072M,410.96M
2001-03,18.86M,,18.86M,12.94M,31.81M,,,,,,,1.425B,-196.59M,1.228B,,,,,,,1.228B,1.295B,1.049M,1.049M,24.94M,25.99M,,,25.99M,791.24M,791.24M,,,49.61M,,,,791.24M,826.16M,0.244M,-126.30M,551.11M,1.147M,0.069M,-3.971M,418.78M
2000-12,,,,,,,,,,,,1.244B,,1.244B,,,,,,,1.244B,1.304B,,,,,,,,,,,,50.02M,,,,,818.40M,,,,,,,435.36M
2000-09,18.37M,,18.37M,,18.37M,,,,,,,1.422B,-172.77M,1.249B,,,,,,,1.249B,1.311B,2.148M,2.148M,,2.148M,,,2.148M,776.51M,776.51M,28.89M,,52.89M,,,,805.40M,816.71M,0.244M,-108.92M,551.27M,0.00,0.069M,,441.34M
2000-06,16.01M,,16.01M,,16.01M,,,,,,,1.413B,-161.89M,1.252B,,,,,,,1.252B,1.306B,1.501M,1.501M,,1.501M,,,1.501M,765.48M,765.48M,23.54M,,54.37M,,,,789.02M,799.65M,0.245M,-100.43M,553.29M,0.00,0.069M,,451.69M
2000-03,18.27M,,18.27M,,18.27M,,,,,,,1.387B,-156.21M,1.231B,,,,,,,1.231B,1.299B,1.401M,1.401M,21.30M,22.70M,,,22.70M,754.48M,754.48M,,,54.80M,,,,754.48M,786.43M,0.245M,-96.80M,555.42M,0.288M,0.069M,,457.31M
1999-12,,,,,,,,,,,,1.248B,,1.248B,,,,,,,1.248B,1.299B,,,,,,,,744.20M,744.20M,,,56.10M,,,,744.20M,778.80M,0.20M,-89.90M,562.50M,8.00M,,,463.90M
1999-09,,,,,,,,,,,,1.258B,,1.258B,,,,,,,1.258B,1.316B,,,,,,,,718.60M,718.60M,,,57.90M,,,,718.60M,758.70M,0.20M,-84.40M,584.40M,,,,499.20M
1999-06,,,,,,,,,,,,1.271B,,1.271B,,,,,,,1.271B,1.323B,,,,,,,,729.10M,729.10M,,,58.60M,,,,729.10M,759.50M,,-78.80M,,,,,505.10M
1999-03,,,,,,,,,,,,1.276B,,1.276B,,,,,,,1.276B,1.352B,,,,,,,,741.50M,741.50M,,,60.90M,,,,741.50M,776.20M,,-67.80M,,,,,514.40M
1998-12,7.237M,,7.237M,,7.237M,,,,,,,1.433B,-117.77M,1.315B,,,,,,,1.315B,1.366B,10.38M,10.38M,,10.38M,,,10.38M,753.43M,753.43M,18.96M,,61.44M,,,,772.39M,787.69M,0.258M,-63.88M,583.15M,0.00,0.069M,,517.30M
1998-09,,,,,,,,,,,,1.266B,,1.266B,,,,,,,1.266B,1.322B,,,,,,,,722.90M,722.90M,,,61.60M,,,,722.90M,762.10M,,-55.50M,,,,,498.20M
1998-06,,,,,,,,,,,,1.194B,,1.194B,,,,,,,1.194B,1.252B,,,,,,,,648.90M,648.90M,,,63.00M,,,,648.90M,684.30M,,-48.90M,,,,,504.50M
