,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-09,238.09M,238.09M,121.02M,117.07M,86.46M,-0.091M,,,,,86.46M,30.61M,,,,-0.091M,,30.98M,11.87M,19.12M,19.12M,19.17M,34.83M,4.224M,30.61M,,0.0312,0.00,,0.0313,0.0312,,0.0312,0.00,,0.0313,0.0312,,607.02M,607.02M,0.00,,,
2002-06,233.48M,233.48M,118.00M,115.48M,81.72M,-0.109M,,,,,81.72M,33.76M,,,,-0.109M,,34.22M,13.11M,21.12M,21.83M,21.18M,38.01M,4.25M,33.76M,,0.035,0.0012,0.0012,0.0351,0.0362,,0.035,0.0012,0.0012,0.0351,0.0362,,607.02M,607.02M,0.00,,,
2002-03,214.58M,214.58M,108.00M,106.58M,78.37M,-0.095M,,,,,78.37M,28.21M,,,,-0.095M,,28.66M,10.95M,17.70M,17.70M,17.76M,32.30M,4.089M,28.21M,,0.0294,0.00,,0.0295,0.0294,,0.0294,0.00,,0.0295,0.0294,,607.02M,607.02M,0.0062,,,
2001-12,198.07M,198.07M,99.60M,98.47M,77.24M,-0.041M,,,,,77.24M,21.22M,,,,-0.041M,,21.64M,8.289M,13.35M,13.35M,13.38M,25.18M,3.955M,21.22M,,0.0212,0.00,,0.0213,0.0212,,0.0212,,,0.0213,0.0212,,607.03M,607.03M,0.00,,,
2001-09,209.40M,209.40M,104.62M,104.77M,77.76M,-0.081M,,,,,77.76M,27.01M,,,,-0.081M,,27.56M,10.55M,17.00M,17.00M,17.05M,30.82M,3.81M,27.01M,,0.0275,0.00,,0.0276,0.0275,,0.0275,0.00,,0.0276,0.0275,,607.02M,607.02M,0.00,,,
2001-06,207.44M,207.44M,102.81M,104.63M,74.18M,-0.132M,,,,,74.18M,30.45M,,,,-0.132M,,30.82M,11.81M,19.02M,19.02M,19.10M,34.32M,3.872M,30.45M,,0.0312,0.00,,0.0314,0.0312,,0.0312,0.00,,0.0314,0.0312,,607.02M,607.02M,0.00,,,
2001-03,201.02M,201.02M,96.41M,104.60M,71.56M,-0.085M,,,,,71.56M,33.05M,,,,-0.085M,,33.61M,12.87M,20.74M,20.74M,20.79M,36.38M,3.33M,33.05M,,0.0344,0.00,,0.0345,0.0344,,0.0344,0.00,,0.0345,0.0344,,607.02M,607.02M,0.0056,,,
2000-12,187.96M,187.96M,86.39M,101.57M,68.02M,-0.011M,,,,,71.34M,30.23M,,,,-0.011M,,30.79M,11.88M,18.91M,18.91M,18.91M,33.55M,3.317M,30.23M,,0.0312,0.00,,0.0313,0.0312,,0.0311,,,0.0312,0.0311,,607.02M,607.02M,0.00,,,
2000-09,192.92M,192.92M,89.44M,103.49M,66.88M,-0.032M,,,,,69.91M,33.58M,,,,-0.032M,,33.88M,13.08M,20.80M,20.80M,20.82M,36.60M,3.027M,33.58M,,0.0344,0.00,,0.0344,0.0344,,0.0344,0.00,,0.0344,0.0344,,607.02M,607.02M,0.00,,,
2000-06,188.59M,188.59M,88.01M,100.58M,63.95M,-0.041M,,,,,66.86M,33.71M,,,,-0.041M,,34.16M,13.19M,20.98M,20.98M,21.00M,36.63M,2.916M,33.71M,,0.0344,0.00,,0.0344,0.0344,,0.0344,0.00,,0.0344,0.0344,,607.02M,607.02M,0.00,,,
2000-03,176.27M,176.27M,81.36M,94.90M,60.15M,-0.078M,,,,,62.87M,32.04M,,,,-0.078M,,32.60M,12.55M,20.05M,20.05M,20.09M,34.75M,2.717M,32.04M,,0.0331,0.00,,0.0332,0.0331,,0.0331,0.00,,0.0332,0.0331,,607.02M,607.02M,0.005,,,
1999-12,155.30M,155.30M,71.40M,83.90M,55.60M,-0.10M,,,,,58.30M,25.60M,,,,-0.10M,,25.80M,9.90M,15.90M,15.90M,15.96M,28.30M,2.70M,25.60M,,0.0262,0.00,,0.0264,0.0262,,0.0262,0.00,,0.0264,0.0262,,610.69M,610.69M,0.00,,,
1999-09,159.40M,159.40M,73.20M,86.20M,55.70M,0.10M,,,,,58.60M,27.60M,,,,0.10M,,27.80M,10.70M,17.10M,17.10M,17.04M,30.50M,2.90M,27.60M,,0.0281,0.00,,0.0280,0.0281,,0.0281,0.00,,0.0280,0.0281,,608.00M,608.00M,0.00,,,
1999-06,153.90M,153.90M,69.60M,84.30M,53.60M,0.30M,,,,,56.90M,27.40M,,,,0.30M,,27.80M,10.70M,17.10M,17.10M,16.92M,30.75M,3.349M,27.40M,,0.0281,0.00,,0.0278,0.0281,,0.0281,0.00,,0.0278,0.0281,,608.00M,608.00M,0.00,,,
1999-03,140.63M,140.63M,63.79M,76.84M,48.67M,0.014M,,,,,51.72M,25.12M,,,,0.014M,,25.08M,9.663M,15.42M,15.42M,15.41M,28.17M,3.051M,25.12M,,0.0256,0.00,,0.0256,0.0256,,0.0256,0.00,,0.0256,0.0256,,601.56M,601.56M,0.0025,,,
1998-12,128.60M,128.60M,59.10M,69.50M,45.80M,,,,,,49.10M,20.40M,,,,,,20.50M,7.90M,12.60M,12.60M,12.60M,23.70M,3.30M,20.40M,,0.0206,0.00,,0.0206,0.0206,,0.0206,0.00,,0.0206,0.0206,,615.74M,615.74M,0.00,,,
1998-09,131.30M,131.30M,58.90M,72.40M,46.40M,,,,,,49.30M,23.10M,,,,,,22.80M,8.80M,14.00M,14.00M,14.00M,26.00M,2.90M,23.10M,,0.0231,0.00,,0.0231,0.0231,,0.0231,0.00,,0.0231,0.0231,,605.41M,605.41M,0.00,,,
1998-06,126.40M,126.40M,56.90M,69.50M,43.80M,,,,,,46.40M,23.10M,,,,,,22.80M,8.80M,14.00M,14.00M,14.00M,25.70M,2.60M,23.10M,,0.0231,0.00,,0.0231,0.0231,,0.0231,0.00,,0.0231,0.0231,,605.41M,605.41M,0.00,,,
1998-03,116.70M,116.70M,52.70M,64.00M,41.20M,0.10M,,,,,43.60M,20.40M,,,,0.10M,,20.20M,7.80M,12.40M,12.40M,12.34M,22.80M,2.40M,20.40M,,0.0206,0.00,,0.0205,0.0206,,0.0206,0.00,,0.0205,0.0206,,601.21M,601.21M,0.0012,,,
1997-12,107.10M,107.10M,48.20M,58.90M,39.70M,0.30M,,,,,42.40M,16.50M,,,,0.30M,,16.60M,6.40M,10.20M,10.20M,10.02M,19.20M,2.70M,16.50M,,0.0169,0.00,,0.0166,0.0169,,0.0169,0.00,,0.0166,0.0169,,614.74M,614.74M,0.00,,,
1997-09,105.60M,105.60M,47.40M,58.20M,37.10M,0.10M,,,,,39.60M,18.60M,,,,0.10M,,18.40M,7.10M,11.30M,11.30M,11.24M,21.10M,2.50M,18.60M,,0.0188,0.00,,0.0186,0.0188,,0.0188,0.00,,0.0186,0.0188,,602.67M,602.67M,0.00,,,
1997-06,98.20M,98.20M,44.90M,53.30M,33.80M,0.40M,,,,,36.00M,17.30M,,,,0.40M,,17.60M,7.10M,10.50M,10.50M,10.26M,19.50M,2.20M,17.30M,,0.0175,0.00,,0.0171,0.0175,,0.0175,0.00,,0.0171,0.0175,,600.00M,600.00M,0.00,,,
1997-03,87.10M,87.10M,39.10M,48.00M,31.20M,0.20M,,,,,33.30M,14.70M,,,,0.20M,,14.70M,5.90M,8.80M,8.80M,8.68M,16.80M,2.10M,14.70M,,0.0144,0.00,,0.0142,0.0144,,0.0144,0.00,,0.0142,0.0144,,612.17M,612.17M,0.0012,,,
1996-12,77.60M,77.60M,35.10M,42.50M,27.50M,0.10M,,,,,29.20M,13.30M,,,,0.10M,,13.20M,5.30M,7.90M,7.90M,7.84M,15.00M,1.70M,13.30M,,0.0131,0.00,,0.0130,0.0131,,0.0131,0.00,,0.0130,0.0131,,611.46M,611.46M,0.00,,,
1996-09,76.20M,76.20M,33.20M,43.00M,26.30M,0.20M,,,,,28.60M,14.40M,,,,0.20M,,14.50M,5.80M,8.70M,8.70M,8.58M,16.70M,2.30M,14.40M,,0.0144,0.00,,0.0142,0.0144,,0.0144,0.00,,0.0142,0.0144,,605.22M,605.22M,0.00,,,
1996-06,70.90M,70.90M,30.90M,40.00M,24.20M,0.30M,,,,,26.10M,13.90M,,,,0.30M,,14.10M,5.70M,8.40M,8.40M,8.22M,15.80M,1.90M,13.90M,,0.0138,0.00,,0.0135,0.0138,,0.0138,0.00,,0.0135,0.0138,,610.91M,610.91M,0.00,,,
1996-03,63.10M,63.10M,28.00M,35.10M,21.50M,0.60M,,,,,23.10M,12.00M,,,,0.60M,,12.40M,5.00M,7.40M,7.40M,7.04M,13.60M,1.60M,12.00M,,0.0125,0.00,,0.0119,0.0125,,0.0125,0.00,,0.0119,0.0125,,592.00M,592.00M,0.0012,,,
1995-12,58.00M,58.00M,25.00M,33.00M,19.30M,0.20M,,,,,20.80M,12.20M,,,,0.20M,,12.20M,5.00M,7.20M,7.20M,7.08M,13.70M,1.50M,12.20M,,0.0119,0.00,,0.0117,0.0119,,0.0119,0.00,,0.0117,0.0119,,598.64M,609.81M,0.00,,,
1995-09,58.00M,58.00M,25.70M,32.30M,18.70M,0.20M,,,,,20.00M,12.30M,,,,0.20M,,12.50M,5.10M,7.40M,7.40M,7.28M,13.60M,1.30M,12.30M,,0.0119,0.00,,0.0117,0.0119,,0.0119,0.00,,0.0117,0.0119,,623.16M,623.16M,0.00,,,
1995-06,55.50M,55.50M,24.70M,30.80M,18.20M,0.10M,,,,,19.50M,11.30M,,,,0.10M,,11.30M,4.60M,6.70M,6.70M,6.64M,12.60M,1.30M,11.30M,,0.0112,0.00,,0.0111,0.0112,,0.0112,0.00,,0.0111,0.0112,,595.56M,595.56M,0.00,,,
1995-03,51.10M,51.10M,22.70M,28.40M,17.20M,0.40M,,,,,18.50M,9.90M,,,,0.40M,,10.30M,4.20M,6.10M,6.10M,5.86M,11.20M,1.30M,9.90M,,0.01,0.00,,0.0096,0.01,,0.01,0.00,,0.0096,0.01,,610.00M,610.00M,0.0012,,,
1994-12,45.00M,45.00M,19.80M,25.20M,14.90M,0.10M,,,,,16.10M,9.10M,,,,0.10M,,9.20M,3.70M,5.50M,5.50M,5.44M,10.30M,1.20M,9.10M,,0.0088,0.00,,0.0087,0.0088,,0.0088,0.00,,0.0087,0.0088,,617.79M,617.79M,0.00,,,
1994-09,43.50M,43.50M,19.70M,23.80M,14.50M,0.20M,,,,,15.30M,8.50M,,,,0.20M,,8.70M,3.50M,5.20M,5.20M,5.08M,9.50M,1.00M,8.50M,,0.0088,0.00,,0.0085,0.0088,,0.0088,0.00,,0.0085,0.0088,,594.29M,594.29M,0.00,,,
1994-06,39.40M,39.40M,17.70M,21.70M,13.30M,0.10M,,,,,14.00M,7.70M,,,,0.10M,,7.70M,3.10M,4.60M,4.60M,4.54M,8.50M,0.80M,7.70M,,0.0075,0.00,,0.0074,0.0075,,0.0075,0.00,,0.0074,0.0075,,613.33M,613.33M,0.00,,,
1994-03,34.00M,34.00M,15.30M,18.70M,12.30M,0.10M,,,,,13.00M,5.70M,,,,0.10M,,5.70M,2.30M,3.40M,3.40M,3.34M,6.40M,0.70M,5.70M,,0.0056,0.00,,0.0055,0.0056,,0.0056,0.00,,0.0055,0.0056,,604.44M,604.44M,0.0012,,,
1993-12,30.30M,30.30M,14.10M,16.20M,9.80M,0.00,,,,,10.50M,5.70M,,,,0.00,,5.80M,2.40M,3.40M,3.40M,3.40M,6.40M,0.70M,5.70M,,0.0056,0.00,,0.0056,0.0056,,0.0056,0.00,,0.0056,0.0056,,606.09M,606.09M,0.00,,,
1993-09,29.50M,29.50M,12.70M,16.80M,10.40M,0.10M,,,,,11.00M,5.80M,,,,0.10M,,5.90M,2.50M,3.40M,3.40M,3.34M,6.50M,0.70M,5.80M,,0.0056,0.00,,0.0055,0.0056,,0.0056,0.00,,0.0055,0.0056,,604.44M,604.44M,0.00,,,
1993-06,27.10M,27.10M,12.20M,14.90M,9.60M,,,,,,10.20M,4.70M,,,,,,4.80M,1.90M,2.90M,2.90M,2.90M,5.30M,0.60M,4.70M,,0.005,0.00,,0.005,0.005,,0.005,0.00,,0.005,0.005,,580.00M,580.00M,0.00,,,
1993-03,23.40M,23.40M,10.30M,13.10M,8.90M,0.10M,,,,,9.50M,3.60M,,,,0.10M,,3.60M,1.40M,2.20M,2.20M,2.139M,4.20M,0.60M,3.60M,,0.0038,0.00,,0.0036,0.0038,,0.0038,0.00,,0.0036,0.0038,,586.67M,586.67M,0.0010,,,
1992-12,21.40M,21.40M,9.40M,12.00M,7.50M,0.10M,,,,,8.10M,3.90M,,,,0.10M,,4.00M,1.60M,2.40M,2.40M,2.34M,4.50M,0.60M,3.90M,,0.0044,0.00,,0.0043,0.0044,,0.0044,0.00,,0.0043,0.0044,,539.61M,539.61M,0.00,,,
1992-09,21.30M,21.30M,9.30M,12.00M,7.60M,0.10M,,,,,8.00M,4.00M,,,,0.10M,,4.20M,1.70M,2.50M,2.50M,2.44M,4.40M,0.40M,4.00M,,0.0044,0.00,,0.0043,0.0044,,0.0044,0.00,,0.0043,0.0044,,571.43M,571.43M,0.00,,,
1992-06,20.30M,20.30M,9.00M,11.30M,7.30M,0.10M,,,,,7.70M,3.60M,,,,0.10M,,3.70M,1.50M,2.20M,2.20M,2.14M,4.10M,0.50M,3.60M,,0.0038,0.00,,0.0036,0.0038,,0.0038,0.00,,0.0036,0.0038,,586.67M,586.67M,0.00,,,
1992-03,18.20M,18.20M,8.20M,10.00M,6.90M,,,,,,7.30M,2.70M,,,,,,2.80M,1.10M,1.70M,1.70M,1.70M,3.10M,0.40M,2.70M,,0.0031,0.00,,0.0031,0.0031,,0.0031,0.00,,0.0031,0.0031,,544.00M,544.00M,0.0010,,,
1991-12,16.30M,16.30M,7.50M,8.80M,5.80M,0.20M,,,,,6.20M,2.60M,,,,0.20M,,2.70M,1.00M,1.70M,1.70M,1.574M,3.00M,0.40M,2.60M,,0.0031,0.00,,0.0029,0.0031,,0.0031,0.00,,0.0029,0.0031,,537.44M,537.44M,0.00,,,
1991-09,16.70M,16.70M,7.40M,9.30M,6.00M,0.10M,,,,,6.30M,3.00M,,,,0.10M,,3.10M,1.20M,1.90M,1.90M,1.839M,3.30M,0.30M,3.00M,,0.0031,0.00,,0.0030,0.0031,,0.0031,0.00,,0.0030,0.0031,,608.00M,608.00M,0.00,,,
1991-06,15.50M,15.50M,7.00M,8.50M,5.60M,0.10M,,,,,5.90M,2.60M,,,,0.10M,,2.70M,1.00M,1.70M,1.70M,1.637M,2.90M,0.30M,2.60M,,0.0031,0.00,,0.0030,0.0031,,0.0031,0.00,,0.0030,0.0031,,544.00M,544.00M,0.00,,,
1991-03,13.80M,13.80M,6.10M,7.70M,5.30M,0.20M,,,,,5.60M,2.10M,,,,0.20M,,2.20M,0.90M,1.30M,1.30M,1.18M,2.40M,0.30M,2.10M,,0.0025,0.00,,0.0023,0.0025,,0.0025,0.00,,0.0023,0.0025,,520.00M,520.00M,0.0008,,,
1990-12,13.00M,13.00M,5.50M,7.50M,4.80M,0.10M,,,,,5.00M,2.50M,,,,0.10M,,2.80M,1.10M,1.70M,1.70M,1.639M,2.70M,0.20M,2.50M,,0.0025,0.00,,0.0024,0.0025,,0.0025,0.00,,0.0024,0.0025,,673.30M,673.30M,,,,
1990-09,13.90M,13.90M,6.20M,7.70M,4.80M,0.10M,,,,,5.00M,2.70M,,,,0.10M,,2.80M,1.10M,1.70M,1.70M,1.639M,2.90M,0.20M,2.70M,,0.0031,0.00,,0.0030,0.0031,,0.0031,0.00,,0.0030,0.0031,,544.00M,544.00M,,,,
1990-06,13.10M,13.10M,5.90M,7.20M,4.50M,0.10M,,,,,4.70M,2.50M,,,,0.10M,,2.60M,1.00M,1.60M,1.60M,1.538M,2.70M,0.20M,2.50M,,0.0031,0.00,,0.0030,0.0031,,0.0031,0.00,,0.0030,0.0031,,512.00M,512.00M,,,,
1990-03,12.20M,12.20M,5.50M,6.70M,4.40M,0.10M,,,,,4.60M,2.10M,,,,0.10M,,2.10M,0.80M,1.30M,1.30M,1.238M,2.30M,0.20M,2.10M,,0.0025,0.00,,0.0024,0.0025,,0.0025,0.00,,0.0024,0.0025,,520.00M,520.00M,,,,
1989-12,10.80M,10.80M,4.70M,6.10M,4.10M,0.10M,,,,,4.30M,1.80M,,,,0.10M,,2.10M,0.80M,1.30M,1.30M,1.238M,2.00M,0.20M,1.80M,,0.0021,,,0.0020,0.0021,,0.0021,,,0.0020,0.0021,,607.01M,607.01M,,,,
1989-09,11.20M,11.20M,5.00M,6.20M,3.80M,0.10M,,,,,4.00M,2.20M,,,,0.10M,,2.20M,0.90M,1.30M,1.30M,1.24M,2.40M,0.10M,2.20M,,0.0025,0.00,,0.0023,0.0025,,0.0025,0.00,,0.0023,0.0025,,303.52M,303.52M,,,,
1989-06,10.30M,10.30M,4.80M,5.50M,3.80M,,,,,0.10M,4.10M,1.40M,,,,,,1.60M,0.60M,1.00M,1.00M,1.00M,1.60M,0.20M,1.40M,,0.0019,0.00,,0.0019,0.0019,,0.0019,0.00,,0.0019,0.0019,,303.52M,303.52M,,,,
1989-03,8.90M,8.90M,,,,,,,,,,8.90M,,,,,,,,0.70M,0.70M,,8.90M,,8.90M,,0.0012,0.00,,0.0012,0.0012,,0.0012,0.00,,0.0012,0.0012,,606.98M,606.98M,,,,
1988-12,8.20M,8.20M,,,,,,,,,,-17.30M,,,,,,,,0.90M,0.90M,,-17.30M,,-17.30M,,,,,,,,,,,,,,606.98M,606.98M,,,,
1988-09,8.20M,8.20M,,,,,,,,,,8.20M,,,,,,,,0.90M,0.90M,,8.20M,,8.20M,,0.0019,0.00,,0.0019,0.0019,,0.0019,0.00,,0.0019,0.0019,,607.10M,607.10M,,,,
1988-06,7.40M,7.40M,,,,,,,,,,7.40M,,,,,,,,0.80M,0.80M,,7.40M,,7.40M,,0.0012,0.00,,0.0012,0.0012,,0.0012,0.00,,0.0012,0.0012,,606.72M,606.72M,,,,
1988-03,6.60M,6.60M,,,,,,,,,,6.60M,,,,,,,,0.60M,0.60M,,6.60M,,6.60M,,0.0012,0.00,,0.0012,0.0012,,0.0012,0.00,,0.0012,0.0012,,606.72M,606.72M,,,,
1987-12,5.70M,5.70M,,,,,,,,,,-11.40M,,,,,,,,0.50M,0.50M,,-11.40M,,-11.40M,,,,,,,,,,,,,,606.72M,606.72M,,,,
1987-09,5.60M,5.60M,,,,,,,,,,5.60M,,,,,,,,0.50M,0.50M,,5.60M,,5.60M,,0.0012,0.00,,0.0012,0.0012,,0.0012,0.00,,0.0012,0.0012,,512.38M,512.38M,,,,
1987-06,4.50M,4.50M,,,,,,,,,,4.50M,,,,,,,,0.40M,0.40M,,4.50M,,4.50M,,0.0012,0.00,,0.0012,0.0012,,0.0012,0.00,,0.0012,0.0012,,512.38M,512.38M,,,,
1987-03,4.50M,4.50M,,,,,,,,,,4.50M,,,,,,,,0.30M,0.30M,,4.50M,,4.50M,,0.0012,0.00,,0.0012,0.0012,,0.0012,0.00,,0.0012,0.0012,,512.38M,512.38M,,,,
