,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-06,275.47M,275.47M,127.87M,147.60M,36.11M,16.84M,,1.988M,,,,52.95M,94.65M,,,1.988M,,96.64M,34.79M,61.85M,,,61.85M,60.58M,104.83M,10.18M,94.65M,,0.2178,0.00,0.2133,0.2178,,0.2178,0.00,0.2133,0.2178,,283.39M,285.65M,0.0178,,,
2002-03,282.60M,282.60M,121.67M,160.93M,37.12M,12.16M,,-1.547M,,,,49.28M,111.66M,,,-6.266M,,105.39M,38.10M,67.29M,,,67.29M,68.28M,122.17M,10.51M,111.66M,,0.2349,0.00,0.2383,0.2349,,0.2304,0.00,0.2339,0.2304,,284.58M,288.89M,0.0178,,,
2001-12,297.19M,297.19M,119.82M,177.37M,43.98M,13.44M,,3.165M,,,,57.42M,119.95M,,,3.165M,,123.11M,44.94M,78.18M,,,78.18M,76.17M,132.09M,12.14M,119.95M,,0.2758,0.00,0.2687,0.2758,,0.2714,0.00,0.2644,0.2714,,282.30M,287.47M,0.0178,,,
2001-09,286.33M,286.33M,122.55M,163.78M,48.08M,16.46M,,2.58M,,,,64.54M,99.24M,,,1.446M,,100.68M,36.55M,64.14M,,,64.14M,62.49M,111.63M,12.39M,99.24M,,0.2267,0.00,0.2208,0.2267,,0.2222,0.00,0.2165,0.2222,,282.09M,286.51M,0.0178,,,
2001-06,237.93M,237.93M,116.07M,121.86M,40.74M,16.78M,,15.44M,,,,57.52M,64.34M,,,14.80M,,79.14M,28.49M,50.65M,,,50.65M,40.77M,75.41M,11.07M,64.34M,,0.1822,0.00,0.1471,0.1822,,0.1778,0.00,0.1430,0.1778,,281.32M,284.34M,0.0178,,,
2001-03,248.65M,248.65M,131.42M,117.23M,33.36M,14.77M,,9.527M,,,,164.16M,-46.94M,,,8.05M,,65.72M,23.66M,42.06M,,,42.06M,35.97M,-35.51M,11.43M,-46.94M,,0.1478,0.00,0.1261,0.1478,,0.1478,0.00,0.1262,0.1478,,281.07M,282.70M,0.0178,,,
2000-12,223.24M,223.24M,107.18M,116.06M,40.60M,15.82M,,10.15M,,,,67.38M,48.67M,,,10.15M,,58.82M,21.18M,37.64M,,,37.64M,31.15M,59.71M,11.04M,48.67M,,0.1333,0.00,0.1102,0.1333,,0.1333,0.00,0.1104,0.1333,,280.82M,283.51M,0.0178,,,
2000-09,207.56M,207.56M,101.30M,106.25M,38.17M,17.26M,,11.48M,,,,65.38M,40.87M,,,11.48M,,52.36M,18.85M,33.51M,,,33.51M,26.16M,50.82M,9.945M,40.87M,,0.12,0.00,0.0938,0.12,,0.12,0.00,0.0940,0.12,,280.62M,282.72M,0.0178,,,
2000-06,167.26M,167.26M,82.30M,84.96M,39.08M,16.54M,,-138.25M,,,,65.60M,19.36M,,,-138.25M,,-118.89M,-42.80M,-76.09M,,,-76.09M,12.39M,29.34M,9.983M,19.36M,,-0.2625,0.00,0.0434,-0.2625,,-0.2625,0.00,0.0410,-0.2625,,289.29M,291.52M,0.0178,,,
2000-03,214.64M,214.64M,95.91M,118.73M,38.85M,13.42M,,12.78M,,,,60.87M,57.86M,,,12.78M,,70.54M,25.80M,44.75M,,,44.75M,36.64M,66.46M,8.606M,57.86M,,0.1511,0.00,0.1232,0.1511,,0.1511,0.00,0.1235,0.1511,,290.99M,293.44M,0.0178,,,
1999-12,203.90M,203.90M,83.50M,120.40M,40.40M,12.40M,,5.40M,,,,62.00M,58.40M,,,5.40M,,63.60M,23.20M,40.40M,,,40.40M,36.97M,67.60M,9.20M,58.40M,,0.1378,0.00,0.1260,0.1378,,0.1378,0.00,0.1261,0.1378,,290.77M,292.56M,0.0178,,,
1999-09,194.50M,194.50M,74.50M,120.00M,38.90M,11.50M,,-2.10M,,,,59.60M,60.40M,,,-2.10M,,58.40M,21.30M,37.10M,,,37.10M,38.43M,69.60M,9.20M,60.40M,,0.1290,0.00,0.1337,0.1290,,0.1246,0.00,0.1290,0.1246,,287.56M,297.83M,0.0178,,,
1999-06,177.10M,177.10M,72.10M,105.00M,38.10M,11.80M,,3.80M,,,,58.60M,46.40M,,,3.80M,,50.20M,18.20M,32.00M,,,32.00M,29.58M,55.10M,8.70M,46.40M,,0.1112,0.00,0.1028,0.1112,,0.1112,0.00,0.1028,0.1112,,287.71M,287.71M,0.0178,,,
1999-03,190.60M,190.60M,75.30M,115.30M,35.60M,22.10M,,5.80M,,,,65.60M,49.70M,,,5.80M,,55.50M,19.70M,35.80M,,,35.80M,32.06M,57.60M,7.90M,49.70M,,0.1219,0.00,0.1091,0.1219,,0.1219,0.00,0.1091,0.1219,,291.56M,292.40M,0.0178,,,
1998-12,186.20M,186.20M,78.70M,107.50M,36.00M,12.30M,,-23.60M,,,,56.10M,51.40M,,,-23.60M,,27.90M,19.70M,8.20M,,,8.20M,22.36M,59.20M,7.80M,51.40M,,0.0267,0.00,0.0728,0.0267,,0.0267,0.00,0.0728,0.0267,,307.20M,307.20M,0.0178,,,
1998-09,177.60M,177.60M,79.80M,97.80M,28.40M,13.40M,,6.20M,,,,47.50M,50.30M,,,6.20M,,56.40M,19.20M,37.20M,,,37.20M,33.11M,56.00M,5.70M,50.30M,,0.1335,0.00,0.1188,0.1335,,0.1335,0.00,0.1188,0.1335,,278.72M,278.72M,0.0178,,,
1998-06,166.70M,166.70M,76.10M,90.60M,25.00M,14.10M,,6.40M,,,,44.60M,46.00M,,,6.40M,,52.50M,18.30M,34.20M,,,34.20M,30.03M,51.50M,5.50M,46.00M,,0.1246,0.00,0.1094,0.1246,,0.1246,0.00,0.1094,0.1246,,274.55M,274.55M,0.0178,,,
1998-03,135.90M,135.90M,74.90M,61.00M,24.20M,14.60M,,32.50M,,,,44.50M,16.50M,,,32.50M,,48.90M,17.10M,31.80M,,,31.80M,10.67M,22.20M,5.70M,16.50M,,0.1153,0.00,0.0405,0.1153,,0.1153,0.00,0.0405,0.1153,,282.56M,282.56M,0.0178,,,
1997-12,129.50M,129.50M,69.60M,59.90M,21.20M,7.90M,,5.80M,,,,34.60M,25.30M,,,5.80M,,31.10M,9.10M,22.00M,,,22.00M,17.90M,30.80M,5.50M,25.30M,,0.0801,0.00,0.0651,0.0801,,0.0801,0.00,0.0651,0.0801,,274.73M,274.73M,0.0178,,,
1997-09,154.00M,154.00M,65.80M,88.20M,31.50M,12.10M,,6.90M,,,,49.00M,39.20M,,,6.90M,,46.10M,15.70M,30.40M,,,30.40M,25.85M,44.60M,5.40M,39.20M,,0.1112,0.00,0.0946,0.1112,,0.1112,0.00,0.0946,0.1112,,273.33M,273.33M,0.0178,,,
1997-06,109.20M,109.20M,56.30M,52.90M,19.70M,11.70M,,6.00M,,,,36.50M,16.40M,,,6.00M,,22.30M,5.70M,16.60M,,,16.60M,12.13M,21.50M,5.10M,16.40M,,0.0623,0.00,0.0455,0.0623,,0.0578,0.00,0.0423,0.0578,,266.52M,287.02M,0.0178,,,
1997-03,118.70M,118.70M,70.00M,48.70M,-12.00M,,,4.40M,,,,34.00M,14.70M,,,4.40M,,19.10M,5.40M,13.70M,,,13.70M,10.54M,18.10M,3.40M,14.70M,,0.0487,0.00,0.0376,0.0487,,0.0487,0.00,0.0376,0.0487,,284.85M,284.85M,0.0178,,,
1996-12,114.00M,114.00M,61.70M,52.30M,30.30M,,,7.00M,,,,35.30M,17.00M,,,7.00M,,23.90M,5.80M,18.10M,,,18.10M,12.80M,22.00M,5.00M,17.00M,,0.0667,0.00,0.0472,0.0667,,0.0667,0.00,0.0472,0.0667,,271.23M,271.23M,0.0178,,,
1996-09,109.00M,109.00M,59.10M,49.90M,19.50M,10.30M,,8.80M,,,,34.50M,15.40M,,,8.80M,,24.10M,6.80M,17.30M,,,17.30M,10.98M,20.10M,4.70M,15.40M,,0.0623,0.00,0.0395,0.0623,,0.0623,0.00,0.0395,0.0623,,277.76M,277.76M,0.0178,,,
1996-06,98.50M,98.50M,51.60M,46.90M,21.30M,10.50M,,9.00M,,,,36.00M,10.90M,,,9.00M,,20.00M,6.00M,14.00M,,,14.00M,7.70M,15.10M,4.20M,10.90M,,0.0534,0.00,0.0294,0.0534,,0.0534,0.00,0.0294,0.0534,,262.24M,262.24M,0.0178,,,
1996-03,94.70M,94.70M,51.10M,43.60M,24.70M,,,9.30M,,,,28.20M,15.40M,,,9.30M,,24.60M,6.90M,17.70M,,,17.70M,11.01M,18.90M,3.50M,15.40M,,0.0664,0.00,0.0418,0.0664,,0.0664,0.00,0.0418,0.0664,,272.28M,272.28M,0.0178,,,
1995-12,91.30M,91.30M,43.30M,48.00M,25.10M,,,11.90M,,,,29.40M,18.60M,,,11.90M,,30.50M,8.60M,21.90M,,,21.90M,13.36M,22.90M,4.30M,18.60M,,0.0801,0.00,0.0488,0.0801,,0.0801,0.00,0.0488,0.0801,,273.48M,273.48M,0.0178,,,
1995-09,97.70M,97.70M,42.70M,55.00M,23.10M,,,10.90M,,,,25.30M,29.70M,,,10.90M,,40.70M,11.20M,29.50M,,,29.50M,21.60M,31.90M,2.20M,29.70M,,0.1112,0.00,0.0814,0.1112,,0.1112,0.00,0.0814,0.1112,,265.24M,265.24M,0.0178,,,
1995-06,109.20M,109.20M,47.10M,62.10M,22.20M,,,9.50M,,,,25.70M,36.40M,,,9.50M,,46.00M,12.80M,33.20M,,,33.20M,26.34M,39.90M,3.50M,36.40M,,0.1246,0.00,0.0988,0.1246,,0.1246,0.00,0.0988,0.1246,,266.52M,266.52M,0.0148,,,
1995-03,110.70M,110.70M,46.20M,64.50M,23.10M,,,8.60M,,,,26.60M,37.90M,,,8.60M,,46.50M,13.20M,33.30M,,,33.30M,27.14M,41.40M,3.50M,37.90M,,0.1256,0.00,0.1020,0.1256,,0.1256,0.00,0.1028,0.1256,,261.48M,269.73M,0.0148,,,
1994-12,104.30M,104.30M,43.50M,60.80M,22.90M,,,10.80M,,,,26.10M,34.70M,,,10.80M,,45.40M,13.60M,31.80M,,,31.80M,24.24M,37.90M,3.20M,34.70M,,0.1201,0.00,0.0915,0.1201,,0.1201,0.00,0.0915,0.1201,,264.74M,264.74M,0.0147,,,
1994-09,96.00M,96.00M,37.20M,58.80M,21.80M,,,7.70M,,,,24.80M,34.00M,,,7.70M,,41.80M,13.10M,28.70M,,,28.70M,23.41M,37.00M,3.00M,34.00M,,0.1068,0.00,0.0871,0.1068,,0.1068,0.00,0.0871,0.1068,,268.79M,268.79M,0.0149,,,
1994-06,85.10M,85.10M,30.00M,55.10M,20.70M,,,6.30M,,,,23.70M,31.40M,,,6.30M,,37.70M,10.60M,27.10M,,,27.10M,22.57M,34.40M,3.00M,31.40M,,0.1023,0.00,0.0852,0.1023,,0.1023,0.00,0.0852,0.1023,,264.85M,264.85M,0.0119,,,
1994-03,69.10M,69.10M,32.00M,37.10M,17.60M,,,6.00M,,,,20.60M,16.50M,,,6.00M,,22.50M,5.10M,17.40M,,,17.40M,12.76M,19.50M,3.00M,16.50M,,0.0667,0.00,0.0490,0.0667,,0.0623,0.00,0.0456,0.0623,,260.92M,278.30M,0.0119,,,
1993-12,66.40M,66.40M,28.20M,38.20M,19.80M,,,11.50M,,,,23.80M,14.40M,,,11.50M,,25.90M,3.80M,22.10M,,,22.10M,12.29M,18.40M,2.60M,14.40M,,0.0845,0.00,0.0470,0.0845,,0.0845,0.00,0.0470,0.0845,,261.45M,261.45M,0.0119,,,
1993-09,57.80M,57.80M,28.40M,29.40M,17.60M,,,7.30M,,,,19.10M,10.30M,,,7.30M,,17.50M,0.10M,17.40M,,,17.40M,10.14M,13.20M,2.90M,10.30M,,0.0667,0.00,0.0389,0.0667,,0.0667,0.00,0.0389,0.0667,,260.74M,260.74M,0.0119,,,
1993-06,58.50M,58.50M,25.90M,32.60M,15.80M,,,7.00M,,,,18.50M,14.10M,,,7.00M,,21.10M,5.00M,16.10M,,,16.10M,10.76M,16.80M,2.70M,14.10M,,0.0623,0.00,0.0416,0.0623,,0.0623,0.00,0.0416,0.0623,,258.49M,258.49M,0.0089,,,
1993-03,61.00M,61.00M,23.10M,37.90M,13.20M,,,7.00M,,,,14.60M,23.30M,,,7.00M,,30.30M,8.90M,21.40M,,,21.40M,16.46M,24.70M,1.40M,23.30M,,0.0801,0.00,0.0617,0.0801,,0.0756,0.00,0.0584,0.0756,,269.04M,286.39M,0.0089,,,
1992-12,61.10M,61.10M,22.10M,39.00M,14.50M,,,7.50M,,,,16.90M,22.10M,,,7.50M,,29.70M,8.50M,21.20M,,,21.20M,15.85M,24.50M,1.20M,22.10M,,0.0845,0.00,0.0632,0.0845,,0.0845,0.00,0.0632,0.0845,,250.80M,250.80M,0.0089,,,
1992-09,51.00M,51.00M,19.90M,31.10M,12.30M,,,0.50M,,,,13.60M,17.50M,,,0.50M,,23.10M,6.40M,16.70M,5.10M,,16.70M,16.34M,18.80M,1.00M,17.50M,,0.0667,0.00,0.0653,0.0667,,0.0667,0.00,0.0653,0.0667,,250.25M,250.25M,0.0089,,,
1992-06,38.80M,38.80M,17.80M,21.00M,10.20M,,,4.90M,,,,11.70M,9.30M,,,4.90M,,14.30M,2.90M,11.40M,,,11.40M,7.494M,10.80M,1.50M,9.30M,,0.0445,0.00,0.0292,0.0445,,0.0445,0.00,0.0292,0.0445,,256.24M,256.24M,0.0074,,,
1992-03,38.80M,38.80M,17.50M,21.30M,9.60M,,,6.20M,,,,11.10M,10.20M,,,6.20M,,16.00M,3.70M,12.30M,,,12.30M,7.534M,11.70M,1.50M,10.20M,,0.0445,0.00,0.0275,0.0445,,0.0445,0.00,0.0275,0.0445,,280.26M,280.26M,0.0074,,,
1991-12,34.90M,34.90M,17.30M,17.60M,9.70M,,,6.60M,,,,11.60M,6.00M,,,6.60M,,12.50M,2.20M,10.30M,,,10.30M,4.862M,7.90M,1.90M,6.00M,,0.0400,0.00,0.0189,0.0400,,0.0400,0.00,0.0189,0.0400,,257.24M,257.24M,0.0074,,,
1991-09,26.20M,26.20M,14.60M,11.60M,5.60M,,,5.50M,,,,6.40M,5.20M,,,5.50M,,10.70M,2.00M,8.70M,,,8.70M,4.228M,6.00M,0.80M,5.20M,,0.0356,0.00,0.0173,0.0356,,0.0356,0.00,0.0173,0.0356,,244.44M,244.44M,0.0074,,,
1991-06,23.40M,23.40M,13.10M,10.30M,4.70M,,,5.80M,,,,5.60M,4.70M,,,5.80M,,10.50M,1.90M,8.60M,,,8.60M,3.850M,5.60M,0.90M,4.70M,,0.0356,0.00,0.0159,0.0356,,0.0356,0.00,0.0159,0.0356,,241.63M,241.63M,0.0074,,,
1991-03,24.00M,24.00M,14.90M,9.10M,3.90M,,,5.80M,,,,3.90M,5.20M,,,5.80M,,10.90M,1.60M,9.30M,,,9.30M,4.351M,5.20M,0.00,5.20M,,0.0356,0.00,0.0167,0.0356,,0.0356,0.00,0.0167,0.0356,,262.42M,262.42M,0.0074,,,
1990-12,22.90M,22.90M,12.90M,10.00M,4.60M,,,5.30M,,,,5.60M,4.40M,,,5.30M,,9.70M,1.50M,8.20M,,,8.20M,3.720M,5.40M,1.00M,4.40M,,0.0356,0.00,0.0161,0.0356,,0.0356,0.00,0.0161,0.0356,,230.40M,230.40M,0.0074,,,
1990-09,20.90M,20.90M,11.70M,9.20M,4.60M,,,5.40M,,,,5.50M,3.70M,,,5.40M,,9.20M,1.50M,7.70M,,,7.70M,3.180M,4.60M,0.90M,3.70M,,0.0311,0.00,0.0129,0.0311,,0.0311,0.00,0.0129,0.0311,,247.25M,247.25M,0.0074,,,
1990-06,23.30M,23.30M,12.50M,10.80M,4.60M,,,4.00M,,,,5.60M,5.20M,,,4.00M,,9.10M,1.60M,7.50M,,,7.50M,4.203M,6.20M,1.00M,5.20M,,0.0311,0.00,0.0175,0.0311,,0.0311,0.00,0.0175,0.0311,,240.83M,240.83M,0.0074,,,
1990-03,27.10M,27.10M,15.20M,11.90M,3.70M,,,2.40M,,,,4.60M,7.30M,,,2.40M,,9.90M,0.20M,9.70M,,,9.70M,7.348M,8.20M,0.90M,7.30M,,0.0400,0.00,0.0302,0.0400,,0.0400,0.00,0.0302,0.0400,,239.76M,239.76M,0.00,,,
1989-12,24.10M,24.10M,13.70M,10.40M,4.20M,,,6.50M,,,,5.20M,5.20M,,,6.50M,,11.70M,3.50M,8.20M,,,8.20M,3.644M,6.20M,1.00M,5.20M,,0.0356,0.00,0.0158,0.0356,,0.0356,0.00,0.0158,0.0356,,230.40M,230.40M,0.0074,,,
1989-09,23.20M,23.20M,14.30M,8.90M,4.40M,,,2.00M,,,,4.90M,4.00M,,,2.00M,,5.90M,1.30M,4.60M,,,4.60M,3.041M,4.50M,0.50M,4.00M,,0.0222,0.00,0.0147,0.0222,,0.0222,0.00,0.0147,0.0222,,206.80M,206.80M,0.00,,,
1989-06,21.10M,21.10M,12.30M,8.80M,4.40M,,,1.10M,,,,5.00M,3.80M,,,1.10M,,4.90M,1.10M,3.80M,,,3.80M,2.947M,4.40M,0.60M,3.80M,,0.0133,0.00,0.0104,0.0133,,0.0133,0.00,0.0104,0.0133,,284.71M,284.71M,0.0074,,,
1989-03,21.50M,21.50M,,,,,,,,,,,-45.20M,,,,,,,3.80M,,,3.80M,,-45.20M,,-45.20M,,,,,,,,,,,,,,0.00,,,
1988-12,22.20M,22.20M,,,,,,,,,,,22.20M,,,,,,,3.80M,,,3.80M,,22.20M,,22.20M,,0.0133,0.00,0.0133,0.0133,,0.0133,0.00,0.0133,0.0133,,,,0.0074,,,
1988-09,21.10M,21.10M,,,,,,,,,,,21.10M,,,,,,,4.60M,,,4.60M,,21.10M,,21.10M,,0.0222,0.00,0.0222,0.0222,,0.0222,0.00,0.0222,0.0222,,,,,,,
1988-06,23.00M,23.00M,,,,,,,,,,,23.00M,,,,,,,6.10M,,,6.10M,,23.00M,,23.00M,,0.0267,0.00,0.0267,0.0267,,0.0267,0.00,0.0267,0.0267,,,,,,,
1988-03,26.70M,26.70M,,,,,,,,,,,-32.40M,,,,,,,7.70M,,,7.70M,,-32.40M,,-32.40M,,,,,,,,,,,,,,,,,
1987-12,22.70M,22.70M,,,,,,,,,,,22.70M,,,,,,,5.20M,,,5.20M,,22.70M,,22.70M,,0.0222,0.00,0.0222,0.0222,,0.0222,0.00,0.0222,0.0222,,,,,,,
1987-09,25.10M,25.10M,,,,,,,,,,,25.10M,,,,,,,6.80M,,,6.80M,,25.10M,,25.10M,,0.0311,0.00,0.0311,0.0311,,0.0311,0.00,0.0311,0.0311,,,,,,,
1987-06,21.50M,21.50M,,,,,,,,,,,21.50M,,,,,,,5.50M,,,5.50M,,21.50M,,21.50M,,0.0222,0.00,0.0222,0.0222,,0.0222,0.00,0.0222,0.0222,,,,,,,
1987-03,24.10M,24.10M,,,,,,,,,,,-29.10M,,,,,,,6.20M,,,6.20M,,-29.10M,,-29.10M,,,,,,,,,,,,,,,,,
1986-12,23.80M,23.80M,,,,,,,,,,,23.80M,,,,,,,5.30M,,,5.30M,,23.80M,,23.80M,,0.0222,0.00,0.0222,0.0222,,0.0222,0.00,0.0222,0.0222,,,,,,,
1986-09,25.00M,25.00M,,,,,,,,,,,25.00M,,,,,,,6.30M,,,6.30M,,25.00M,,25.00M,,0.0267,0.00,0.0267,0.0267,,0.0267,0.00,0.0267,0.0267,,,,,,,
1986-06,22.20M,22.20M,,,,,,,,,,,22.20M,,,,,,,5.50M,,,5.50M,,22.20M,,22.20M,,0.0222,0.00,0.0222,0.0222,,0.0222,0.00,0.0222,0.0222,,,,,,,
1986-03,20.30M,20.30M,,,,,,,,,,,-24.30M,,,,,,,5.00M,,,5.00M,,-24.30M,,-24.30M,,,,,,,,,,,,,,,,,
1985-12,23.10M,23.10M,,,,,,,,,,,23.10M,,,,,,,6.20M,,,6.20M,,23.10M,,23.10M,,0.0267,0.00,0.0267,0.0267,,0.0267,0.00,0.0267,0.0267,,,,,,,
1985-09,21.40M,21.40M,,,,,,,,,,,21.40M,,,,,,,6.00M,,,6.00M,,21.40M,,21.40M,,0.0267,0.00,0.0267,0.0267,,0.0267,0.00,0.0267,0.0267,,,,,,,
1985-06,16.10M,16.10M,,,,,,,,,,,16.10M,,,,,,,3.50M,,,3.50M,,16.10M,,16.10M,,0.0133,0.00,0.0133,0.0133,,0.0133,0.00,0.0133,0.0133,,,,,,,
1985-03,15.20M,15.20M,,,,,,,,,,,-16.10M,,,,,,,3.90M,,,3.90M,,-16.10M,,-16.10M,,,,,,,,,,,,,,,,,
1984-12,15.30M,15.30M,,,,,,,,,,,15.30M,,,,,,,3.60M,,,3.60M,,15.30M,,15.30M,,0.0133,0.00,0.0133,0.0133,,0.0133,0.00,0.0133,0.0133,,,,,,,
1984-09,11.50M,11.50M,,,,,,,,,,,11.50M,,,,,,,2.40M,,,2.40M,,11.50M,,11.50M,,0.0133,0.00,0.0133,0.0133,,0.0133,0.00,0.0133,0.0133,,,,,,,
1984-06,11.50M,11.50M,,,,,,,,,,,11.50M,,,,,,,2.60M,,,2.60M,,11.50M,,11.50M,,0.0133,0.00,0.0133,0.0133,,0.0133,0.00,0.0133,0.0133,,,,,,,
