,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,3.785B,3.785B,1.764B,2.021B,66.00M,188.00M,,,,,1.391B,630.00M,,,,66.00M,,492.00M,199.00M,293.00M,-46.00M,-49.00M,-9.00M,,198.00M,253.40M,939.00M,232.00M,630.00M,0.82,-0.12,0.0,,0.7088,1.24,0.82,-0.12,-0.1376,,0.7088,1.24,356.00M,356.00M,0.6
2002-12,3.043B,3.043B,1.036B,2.007B,-398.00M,142.00M,,,,,1.752B,255.00M,,,,-398.00M,,-336.00M,-118.00M,-218.00M,-619.00M,0.00,0.00,,-837.00M,40.23M,566.00M,230.00M,255.00M,-0.68,-1.87,0.0,,0.1503,-2.54,-0.68,-1.87,-0.0218,,0.0821,-2.54,311.00M,338.84M,0.6
2002-09,3.811B,3.811B,1.597B,2.214B,40.00M,202.00M,,,,,1.432B,782.00M,,,,40.00M,,629.00M,243.00M,386.00M,39.00M,,-12.00M,,425.00M,361.45M,1.209B,427.00M,782.00M,1.14,0.11,,,1.068,1.25,1.14,0.11,,,1.068,1.25,339.00M,339.00M,0.6
2002-06,3.581B,3.581B,1.421B,2.16B,43.00M,183.00M,,,,,1.733B,427.00M,,,,43.00M,,262.00M,104.00M,158.00M,-96.00M,,-12.00M,,62.00M,132.07M,807.00M,380.00M,427.00M,0.48,-0.29,,,0.4005,0.19,0.48,-0.29,,,0.4005,0.19,326.00M,326.00M,0.6
2002-03,13.41B,13.41B,11.31B,2.107B,-5.00M,186.00M,,,,,1.587B,520.00M,,,,-5.00M,,276.00M,95.00M,181.00M,,,-9.00M,,181.00M,184.28M,882.00M,362.00M,520.00M,0.56,0.0,,,0.5702,0.56,0.56,0.0,,,0.5702,0.56,322.62M,322.62M,0.6
2001-12,-34.32B,-34.32B,-35.51B,1.188B,-6.00M,130.00M,,,,,1.10B,88.00M,,,,-6.00M,,-2.00M,-13.00M,11.00M,,0.00,,,52.00M,14.60M,315.00M,227.00M,88.00M,0.04,0.22,0.0,0.0,0.0512,0.16,0.04,,0.0,0.0,0.0512,0.16,322.00M,322.24M,0.6
2001-09,18.38B,18.38B,16.01B,2.377B,16.00M,200.00M,,,,4.00M,1.515B,862.00M,,,,16.00M,,626.00M,223.00M,403.00M,,18.00M,,,421.00M,392.70M,1.277B,415.00M,862.00M,1.25,0.06,0.0,,1.218,1.31,1.25,0.06,0.0559,,1.218,1.31,322.00M,322.00M,0.6
2001-06,14.53B,14.53B,12.37B,2.161B,22.00M,169.00M,,,,7.00M,1.489B,672.00M,,,,22.00M,,453.00M,173.00M,280.00M,,,,,232.00M,266.40M,1.131B,459.00M,672.00M,0.87,-0.15,,-0.149,0.8278,0.72,0.87,-0.15,,-0.149,0.8278,0.72,322.20M,322.20M,0.6
2001-03,14.24B,14.24B,12.10B,2.133B,34.00M,168.00M,,,,,1.462B,671.00M,,,,34.00M,,436.00M,170.00M,266.00M,,,,,266.00M,245.26M,1.023B,352.00M,671.00M,0.83,0.0,,,0.7656,0.83,0.83,0.0,,,0.7656,0.83,322.00M,322.00M,0.6
2000-12,26.57B,26.57B,25.68B,897.00M,25.00M,183.00M,,,,-1.775B,531.00M,366.00M,,,,25.00M,,27.00M,249.00M,-222.00M,,,,,-222.00M,-237.00M,812.00M,203.00M,366.00M,-1.08,0.53,,0.0,-1.127,-0.69,-1.08,,,0.0,-1.127,-0.69,322.00M,322.02M,0.6
2000-09,3.921B,3.921B,1.237B,2.684B,16.00M,173.00M,,,,598.00M,1.804B,880.00M,,,,16.00M,,622.00M,219.00M,403.00M,,,,,359.00M,392.63M,1.259B,379.00M,880.00M,1.25,-0.14,,-0.1366,1.218,1.11,1.25,-0.14,,-0.1366,1.218,1.11,322.00M,322.00M,0.6
2000-06,8.137B,8.137B,6.318B,1.819B,-5.00M,175.00M,,,,161.00M,1.511B,308.00M,,,,-5.00M,,34.00M,52.00M,-18.00M,,,,,-9.00M,-15.00M,878.00M,570.00M,308.00M,-0.06,0.03,,0.0464,-0.0445,-0.03,-0.06,0.03,,0.0464,-0.0445,-0.03,194.10M,194.10M,0.6
2000-03,1.746B,1.746B,511.00M,1.235B,3.00M,125.00M,,,,164.00M,932.00M,303.00M,,,,3.00M,,167.00M,63.00M,104.00M,,,,,104.00M,102.13M,498.00M,195.00M,303.00M,0.53,0.0,,,0.5204,0.53,0.53,0.0,,,0.5204,0.53,194.00M,194.00M,0.6
1999-12,15.33B,15.33B,14.60B,731.00M,127.00M,205.00M,,,,,322.00M,409.00M,,,,127.00M,,278.00M,79.00M,199.00M,,,,,193.00M,108.09M,845.00M,119.00M,409.00M,1.025,,,-0.0309,0.5569,0.9943,1.025,,,-0.0309,0.5569,0.9943,194.10M,194.10M,0.6
1999-09,3.532B,3.532B,1.072B,2.46B,12.00M,157.00M,,,,541.00M,1.654B,806.00M,,,,12.00M,,569.00M,166.00M,403.00M,,,,,395.00M,394.50M,1.185B,379.00M,806.00M,1.26,-0.03,,-0.0412,1.216,1.23,1.26,-0.03,,-0.0412,1.216,1.23,192.74M,192.74M,0.6
1999-06,2.962B,2.962B,822.00M,2.14B,9.00M,170.00M,,,,499.00M,1.592B,548.00M,,,,9.00M,,311.00M,121.00M,190.00M,,,,,190.00M,184.50M,1.021B,473.00M,548.00M,0.59,0.0,,,0.5612,0.59,0.59,0.0,,,0.5612,0.59,191.14M,191.14M,0.6
1999-03,1.694B,1.694B,491.00M,1.203B,-5.00M,124.00M,,,,-24.00M,822.00M,381.00M,,,,-5.00M,,244.00M,93.00M,151.00M,,,,,151.00M,154.09M,553.00M,172.00M,381.00M,0.79,0.0,,,0.8061,0.79,0.79,0.0,,,0.8061,0.79,192.00M,192.00M,0.6
1998-12,6.904B,6.904B,1.764B,5.14B,89.00M,305.00M,,,,,3.911B,1.229B,,,,89.00M,,745.00M,234.00M,511.00M,,,,,511.00M,449.95M,1.62B,,1.229B,0.37,0.0,,,0.0545,0.37,0.37,0.0,,,0.0545,0.37,193.51M,193.51M,0.6
1998-09,1.858B,1.858B,652.00M,1.206B,-3.00M,120.00M,,,,-65.00M,793.00M,413.00M,,,,-3.00M,,300.00M,105.00M,195.00M,,,,,195.00M,196.95M,624.00M,,413.00M,1.02,0.0,,,1.03,1.02,1.02,0.0,,,1.03,1.02,191.18M,191.18M,0.6
1998-06,1.557B,1.557B,554.00M,1.003B,13.00M,112.00M,,,,-90.00M,709.00M,294.00M,,,,13.00M,,198.00M,80.00M,118.00M,,,,,118.00M,110.20M,528.00M,,294.00M,0.62,0.0,,,0.579,0.62,0.62,0.0,,,0.579,0.62,190.32M,190.32M,0.6
