,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-12,181.00M,,,,-120.00M,,,,395.00M,112.00M,,,,-49.00M,38.00M,-103.00M,105.00M,-24.00M,112.00M,-107.00M,21.00M,-4.00M,536.00M,-1.10B,66.00M,-1.034B,,-202.00M,-50.00M,-1.286B,,,891.00M,75.00M,,75.00M,,,-154.00M,-20.00M,792.00M,259.00M,42.00M,,301.00M,75.00M,,,,152.00M,202.00M
2006-09,265.00M,,,,223.00M,,,,395.00M,-98.00M,,,,250.00M,-63.00M,56.00M,-32.00M,56.00M,62.00M,-41.00M,38.00M,0.00,1.073B,-817.00M,2.00M,-815.00M,,-29.00M,-41.00M,-885.00M,,,-23.00M,18.00M,,18.00M,,,-146.00M,-27.00M,-178.00M,249.00M,10.00M,,259.00M,18.00M,,,,83.00M,146.00M
2006-06,175.00M,,,,-90.00M,,,,365.00M,3.00M,,,,-48.00M,-12.00M,-90.00M,98.00M,17.00M,12.00M,113.00M,138.00M,-3.00M,540.00M,-846.00M,7.00M,-839.00M,,14.00M,3.00M,-822.00M,,,423.00M,1.00M,,1.00M,,,-145.00M,-24.00M,255.00M,276.00M,-27.00M,,249.00M,1.00M,,,,110.00M,157.00M
2006-03,381.00M,,,,-46.00M,,,,362.00M,7.00M,,,,5.00M,214.00M,-50.00M,-115.00M,69.00M,-417.00M,176.00M,-123.00M,-3.00M,583.00M,-765.00M,111.00M,-654.00M,,-62.00M,-34.00M,-750.00M,,,129.00M,5.00M,,5.00M,,,-146.00M,54.00M,42.00M,401.00M,-125.00M,,276.00M,5.00M,,,,13.00M,159.00M
2005-12,-149.00M,,,,-438.00M,,,,271.00M,98.00M,,,,297.00M,-12.00M,-74.00M,-33.00M,190.00M,49.00M,-20.00M,100.00M,-1.00M,178.00M,-794.00M,7.00M,-787.00M,-142.00M,-158.00M,142.00M,-945.00M,,,471.00M,9.00M,0.00,9.00M,,,-145.00M,-16.00M,319.00M,849.00M,-448.00M,,401.00M,9.00M,,,0.00,162.00M,145.00M
2005-09,387.00M,,,,112.00M,,,,351.00M,42.00M,,,,-342.00M,-150.00M,83.00M,110.00M,-309.00M,417.00M,38.00M,189.00M,-22.00M,717.00M,-592.00M,99.00M,-493.00M,-218.00M,189.00M,4.00M,-518.00M,,,-173.00M,365.00M,0.00,365.00M,,,-135.00M,-14.00M,43.00M,607.00M,242.00M,,849.00M,365.00M,,,0.00,191.00M,170.00M
2005-06,221.00M,,,,-137.00M,,,,352.00M,-56.00M,,,,125.00M,51.00M,-93.00M,56.00M,71.00M,-57.00M,-215.00M,-187.00M,-3.00M,315.00M,-584.00M,316.00M,-268.00M,,-107.00M,-9.00M,-384.00M,,,-454.00M,11.00M,7.00M,18.00M,,,-135.00M,-14.00M,-585.00M,1.261B,-654.00M,,607.00M,11.00M,,,7.00M,29.00M,152.00M
2005-03,355.00M,,,,-230.00M,,,,327.00M,-19.00M,,,,-105.00M,104.00M,64.00M,7.00M,-8.00M,-72.00M,245.00M,340.00M,-1.00M,667.00M,-434.00M,1.184B,750.00M,,76.00M,16.00M,842.00M,,,65.00M,17.00M,-434.00M,-417.00M,,,-138.00M,-78.00M,-568.00M,320.00M,941.00M,,1.261B,17.00M,,,-434.00M,57.00M,170.00M
2004-12,177.00M,,,,-524.00M,,,,233.00M,203.00M,,,,275.00M,-87.00M,51.00M,-17.00M,95.00M,-14.00M,64.00M,92.00M,-23.00M,433.00M,-649.00M,155.00M,-494.00M,,151.00M,47.00M,-296.00M,,,-555.00M,4.00M,4.00M,8.00M,,,-140.00M,,-751.00M,934.00M,-614.00M,,320.00M,4.00M,,,4.00M,,755.00M
2004-09,530.00M,,,,-17.00M,,,,398.00M,-4.00M,,,,-177.00M,210.00M,126.00M,-131.00M,-114.00M,13.00M,231.00M,335.00M,-62.00M,1.003B,-357.00M,1.071B,714.00M,,-152.00M,-30.00M,532.00M,,,-1.128B,2.00M,0.00,2.00M,,,-138.00M,,-1.264B,663.00M,271.00M,,934.00M,2.00M,,,0.00,,
2004-06,93.00M,,,,185.00M,,,,440.00M,43.00M,,,,-43.00M,-26.00M,-209.00M,-63.00M,2.00M,1.00M,-47.00M,-342.00M,2.00M,378.00M,-385.00M,91.00M,-294.00M,,-63.00M,-22.00M,-379.00M,,,-111.00M,1.00M,0.00,1.00M,,,-139.00M,,-249.00M,913.00M,-250.00M,,663.00M,1.00M,,,0.00,,-200.00M
2004-03,289.00M,,,,-53.00M,,,,226.00M,49.00M,,,,41.00M,183.00M,65.00M,-95.00M,5.00M,8.00M,179.00M,345.00M,,897.00M,-305.00M,40.00M,-265.00M,,64.00M,15.00M,-186.00M,,,-444.00M,10.00M,-4.00M,6.00M,,,-138.00M,,-576.00M,778.00M,135.00M,,913.00M,10.00M,,,-4.00M,,200.00M
2003-12,-762.00M,,,,1.118B,,,,255.00M,-51.00M,,,,-92.00M,222.00M,-41.00M,-224.00M,-34.00M,79.00M,82.00M,84.00M,7.00M,559.00M,-422.00M,33.00M,-389.00M,,,-50.00M,-439.00M,,,-611.00M,0.00,-7.00M,-7.00M,,,-139.00M,0.00,-757.00M,1.636B,-637.00M,,976.00M,0.00,,,-7.00M,17.00M,199.00M
2003-09,257.00M,,,,27.00M,,,,428.00M,172.00M,,,,24.00M,150.00M,29.00M,-272.00M,-78.00M,215.00M,-46.00M,-2.00M,-22.00M,884.00M,-297.00M,8.00M,-289.00M,,,37.00M,-252.00M,,,37.00M,0.00,0.00,0.00,,,-137.00M,0.00,-100.00M,1.108B,532.00M,,1.636B,0.00,,,0.00,146.00M,542.00M
2003-06,175.00M,,,,-48.00M,,,,430.00M,20.00M,,,,-107.00M,858.00M,-203.00M,-1.005B,-37.00M,-25.00M,30.00M,-382.00M,-44.00M,44.00M,-347.00M,6.00M,-341.00M,,,54.00M,-287.00M,,,33.00M,-1.00M,-2.00M,-3.00M,,,-139.00M,-225.00M,-334.00M,1.794B,-577.00M,,1.108B,-1.00M,,,-2.00M,,-177.00M
2003-03,440.00M,,,,-61.00M,,,,232.00M,22.00M,,,,,-867.00M,163.00M,869.00M,144.00M,-196.00M,16.00M,129.00M,59.00M,821.00M,-292.00M,35.00M,-257.00M,,,-744.00M,-1.001B,,,-186.00M,1.143B,,1.143B,,,-203.00M,,754.00M,1.22B,574.00M,,1.794B,1.143B,,,,,177.00M
2002-12,-837.00M,,,,1.345B,,,,230.00M,144.00M,,,,,630.00M,74.00M,-792.00M,642.00M,70.00M,-185.00M,439.00M,,1.321B,-548.00M,147.00M,-401.00M,,,42.00M,-359.00M,,,-415.00M,0.00,,-10.00M,,,-203.00M,344.00M,-284.00M,551.00M,678.00M,0.00,1.199B,0.00,,,,94.00M,237.00M
2002-09,425.00M,,,,-40.00M,,,,427.00M,25.00M,,,,,51.00M,-426.00M,428.00M,270.00M,-252.00M,-259.00M,-188.00M,,649.00M,-353.00M,1.116B,763.00M,,,2.00M,765.00M,,,-1.222B,0.00,,0.00,,,-203.00M,-10.00M,-1.435B,561.00M,-21.00M,11.00M,551.00M,0.00,,,,-65.00M,220.00M
2002-06,-288.00M,,,,411.00M,,,,380.00M,-43.00M,,,,,-87.00M,150.00M,323.00M,-799.00M,106.00M,-42.00M,-349.00M,,111.00M,-431.00M,,-431.00M,,,25.00M,-406.00M,,,209.00M,642.00M,,642.00M,,,-194.00M,,657.00M,306.00M,362.00M,2.00M,561.00M,642.00M,,,,192.00M,209.00M
2002-03,181.00M,,,,210.00M,,,,362.00M,-63.00M,,,,,-832.00M,100.00M,20.00M,-113.00M,89.00M,32.00M,-704.00M,,-14.00M,-353.00M,,-353.00M,,,-25.00M,-378.00M,,,560.00M,14.00M,,14.00M,,,-193.00M,,381.00M,333.00M,-11.00M,-16.00M,306.00M,14.00M,,,,115.00M,126.00M
2001-12,52.00M,,,,-304.00M,,,,227.00M,32.00M,,,,133.00M,843.00M,32.00M,647.00M,-100.00M,504.00M,-310.00M,1.616B,,1.756B,-529.00M,0.00,-529.00M,-1.485B,,18.00M,-1.996B,,,483.00M,1.00M,0.00,1.00M,,,-198.00M,-3.00M,283.00M,379.00M,43.00M,6.00M,333.00M,1.00M,,,0.00,361.00M,503.00M
2001-09,421.00M,,,,-75.00M,,,,415.00M,112.00M,,,,-120.00M,-233.00M,-6.00M,535.00M,-3.00M,-651.00M,163.00M,-195.00M,,558.00M,-484.00M,0.00,-484.00M,0.00,,222.00M,-262.00M,,,-676.00M,0.00,-5.00M,-5.00M,,,-193.00M,750.00M,-124.00M,212.00M,172.00M,-5.00M,379.00M,0.00,,,-5.00M,101.00M,127.00M
2001-06,232.00M,,,,81.00M,,,,459.00M,-40.00M,,,,-89.00M,539.00M,-95.00M,-1.144B,-16.00M,143.00M,-15.00M,-588.00M,,55.00M,-504.00M,648.00M,144.00M,-727.00M,,-385.00M,-968.00M,,,1.035B,6.00M,,6.00M,,,-194.00M,,847.00M,275.00M,-66.00M,3.00M,212.00M,6.00M,,,,90.00M,341.00M
2001-03,266.00M,,,,,,,,352.00M,59.00M,,,,,615.00M,-13.00M,-499.00M,-68.00M,-143.00M,15.00M,-93.00M,,584.00M,-315.00M,,-315.00M,,,109.00M,-206.00M,,,-343.00M,3.00M,,3.00M,,,-193.00M,,-533.00M,437.00M,-155.00M,-7.00M,275.00M,3.00M,,,,17.00M,1.00M
2000-12,-222.00M,,,,-227.00M,,,,203.00M,-210.00M,,,,675.00M,-705.00M,59.00M,877.00M,335.00M,15.00M,175.00M,756.00M,,975.00M,-569.00M,,-569.00M,,,48.00M,-521.00M,,,-87.00M,2.00M,0.00,2.00M,,,-193.00M,,-278.00M,295.00M,176.00M,16.00M,437.00M,2.00M,,,0.00,207.00M,157.00M
2000-09,393.00M,,,,-112.00M,,,,379.00M,21.00M,,,,-52.00M,-452.00M,15.00M,134.00M,-306.00M,-63.00M,202.00M,-470.00M,,159.00M,-396.00M,,-396.00M,,,31.00M,-365.00M,,,338.00M,0.00,-20.00M,-20.00M,,,-193.00M,,125.00M,312.00M,-81.00M,14.00M,295.00M,0.00,,,-20.00M,36.00M,214.00M
2000-06,27.00M,,,,-185.00M,,,,570.00M,42.00M,,,,82.00M,-391.00M,26.00M,277.00M,-135.00M,-25.00M,-207.00M,-455.00M,,81.00M,-622.00M,,-622.00M,,,-49.00M,-671.00M,,,560.00M,12.00M,116.00M,128.00M,,,-419.00M,,269.00M,364.00M,-321.00M,-7.00M,312.00M,12.00M,,,116.00M,184.00M,373.00M
2000-03,104.00M,,,,-5.00M,,,,195.00M,-23.00M,,,,-82.00M,-84.00M,47.00M,34.00M,27.00M,73.00M,2.00M,99.00M,,288.00M,-186.00M,,-186.00M,,,-11.00M,-197.00M,,,56.00M,,-116.00M,-116.00M,,,,,-60.00M,333.00M,31.00M,,364.00M,,,,-116.00M,22.00M,98.00M
1999-12,199.00M,,,,-115.00M,,,,119.00M,81.00M,,,,-381.00M,372.00M,-31.00M,51.00M,8.00M,43.00M,75.00M,518.00M,,421.00M,-533.00M,,-533.00M,,,33.00M,-500.00M,,,787.00M,0.00,-165.00M,-165.00M,,,-209.00M,-163.00M,250.00M,433.00M,171.00M,0.00,609.00M,0.00,,,-165.00M,-63.00M,-344.00M
1999-09,403.00M,,,,-84.00M,,,,379.00M,58.00M,,,,134.00M,-399.00M,29.00M,157.00M,-33.00M,-4.00M,28.00M,-222.00M,,668.00M,-415.00M,,-415.00M,,,11.00M,-404.00M,,,-140.00M,29.00M,-5.00M,24.00M,,,-207.00M,120.00M,-203.00M,370.00M,61.00M,2.00M,433.00M,29.00M,,,-5.00M,-16.00M,88.00M
1999-06,233.00M,,,,-69.00M,,,,473.00M,11.00M,,,,117.00M,-78.00M,-112.00M,-257.00M,1.00M,-76.00M,-121.00M,-643.00M,,122.00M,-520.00M,,-520.00M,,,-32.00M,-552.00M,,,636.00M,33.00M,,33.00M,,,-302.00M,,367.00M,280.00M,-63.00M,-4.00M,370.00M,33.00M,,,,76.00M,172.00M
1999-03,151.00M,,,,-6.00M,,,,172.00M,30.00M,,,,-117.00M,25.00M,-48.00M,123.00M,-11.00M,37.00M,47.00M,173.00M,,403.00M,-212.00M,,-212.00M,,,-5.00M,-217.00M,,,5.00M,31.00M,,31.00M,,,-115.00M,,-79.00M,173.00M,107.00M,,280.00M,31.00M,,,,3.00M,84.00M
1998-12,511.00M,,,,-61.00M,,,,,7.00M,,,,-892.00M,32.00M,-12.00M,92.00M,3.00M,-55.00M,-74.00M,-14.00M,,185.00M,-235.00M,-9.00M,-244.00M,,,-1.411B,-1.655B,,,1.588B,23.00M,,22.00M,,,-115.00M,,1.495B,148.00M,25.00M,,173.00M,23.00M,,,,-150.00M,-279.00M
1998-09,195.00M,,,,-17.00M,,,,,20.00M,,,,-132.00M,26.00M,45.00M,-51.00M,22.00M,16.00M,151.00M,209.00M,,275.00M,-179.00M,9.00M,-170.00M,,,-10.00M,-180.00M,,,-29.00M,21.00M,,21.00M,,,-114.00M,,-122.00M,175.00M,-27.00M,,148.00M,21.00M,,,,33.00M,73.00M
1998-06,118.00M,,,,-53.00M,,,,,6.00M,,,,363.00M,-153.00M,-38.00M,170.00M,-37.00M,2.00M,-147.00M,-203.00M,,231.00M,-225.00M,,-225.00M,,,8.00M,-217.00M,,,120.00M,23.00M,,23.00M,,,-115.00M,,28.00M,133.00M,42.00M,,175.00M,23.00M,,,,115.00M,140.00M
