,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalDeposits,PensionLiability,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2005-12,,7.126B,7.126B,,,35.50B,,42.62B,,,2.23B,,,,41.90B,1.097B,40.80B,21.33B,,71.34B,113.96B,,,,7.824B,,7.824B,,15.63B,15.63B,15.63B,23.46B,30.78B,,30.78B,,,24.58B,,,55.36B,103.41B,,248.00M,1.788B,8.652B,,,,-400.00M,261.00M,-139.00M,10.55B,,,
2005-09,,7.623B,7.623B,,,33.06B,,40.68B,,,2.217B,,,,38.55B,1.053B,37.50B,21.59B,,68.14B,108.82B,,,,8.273B,,8.273B,,15.01B,15.01B,15.01B,23.29B,29.11B,,29.11B,,,22.19B,,,51.30B,98.92B,,248.00M,1.353B,8.382B,,,,-382.00M,301.00M,-81.00M,9.902B,,,
2005-06,,9.28B,9.28B,,,35.13B,,44.41B,,,2.965B,,,,41.12B,992.00M,40.13B,57.99B,,147.26B,195.74B,,,,10.11B,,10.11B,,13.37B,13.37B,13.37B,23.48B,29.90B,,29.90B,,,23.51B,,,53.41B,178.58B,,248.00M,8.697B,7.915B,,,,-384.00M,688.00M,304.00M,17.16B,,,
2005-03,,9.279B,9.279B,,,33.67B,,42.95B,,,2.989B,,,,35.38B,1.061B,34.32B,59.87B,,142.55B,189.57B,,,,8.938B,,8.938B,,13.39B,13.39B,13.39B,22.33B,31.24B,,31.24B,,,20.22B,,,51.46B,173.44B,,249.00M,8.325B,7.674B,,,,-361.00M,246.00M,-115.00M,16.13B,,,
2004-12,,7.808B,7.808B,,,32.40B,,40.21B,,,2.38B,,,,35.34B,1.084B,34.26B,21.68B,,154.01B,194.22B,,,,7.319B,,7.319B,,14.53B,14.53B,14.53B,21.85B,32.68B,,32.68B,,,19.89B,,,52.57B,178.20B,,250.00M,8.196B,7.316B,,,,-344.00M,602.00M,258.00M,16.02B,,,
2004-09,,7.621B,7.621B,,,31.92B,,39.54B,,,3.123B,,,,33.51B,1.104B,32.41B,58.61B,,135.68B,179.27B,,,,8.218B,,8.218B,,10.51B,10.51B,10.51B,18.72B,30.63B,,30.63B,,,19.83B,,,50.46B,163.43B,,251.00M,8.322B,6.944B,,,,-285.00M,608.00M,323.00M,15.84B,,,
2004-06,,6.071B,6.071B,,,31.60B,,37.67B,,,3.149B,,,,34.76B,1.133B,33.63B,57.58B,,137.47B,179.18B,,,,7.834B,,7.834B,,16.71B,16.71B,16.71B,24.54B,23.62B,,23.62B,,,22.32B,,,45.94B,164.03B,,254.00M,8.309B,6.80B,,,,-298.00M,93.00M,-205.00M,15.16B,,,
2004-03,,4.817B,4.817B,,,31.12B,,35.93B,,,3.156B,,,,32.10B,1.099B,31.00B,61.49B,,138.31B,178.10B,,,,7.383B,,7.383B,,15.86B,15.86B,15.86B,23.24B,23.74B,,23.74B,,,21.48B,,,45.22B,162.36B,,256.00M,8.435B,6.557B,,,,-331.00M,816.00M,485.00M,15.73B,,,
2003-12,,5.726B,5.726B,,,31.27B,,37.00B,,,3.184B,,,,33.41B,1.111B,32.30B,57.07B,,133.87B,175.00B,,,,6.591B,,6.591B,,19.05B,19.05B,19.05B,25.64B,20.65B,,20.65B,,,21.25B,,,41.90B,159.68B,,257.00M,8.793B,6.081B,,,,-278.00M,470.00M,192.00M,15.32B,,,
2003-09,,6.028B,6.028B,,,29.81B,,35.84B,,,3.082B,,,,29.53B,1.055B,28.47B,55.98B,,124.09B,163.96B,,,,7.311B,,7.311B,,15.59B,15.59B,15.59B,22.90B,18.60B,,18.60B,,,19.49B,,,38.09B,149.13B,,257.00M,8.325B,5.942B,,,,-269.00M,580.00M,311.00M,14.84B,,,
2003-06,,6.689B,6.689B,,,29.31B,,36.00B,,,3.036B,,,,29.08B,1.158B,27.92B,56.31B,,119.04B,159.04B,,,,7.176B,,7.176B,,16.63B,16.63B,16.63B,23.80B,18.24B,,18.24B,,,19.15B,,,37.39B,144.55B,,257.00M,7.92B,5.774B,,,,-192.00M,733.00M,541.00M,14.49B,,,
2003-03,,8.405B,8.405B,,,27.84B,,36.25B,,,3.004B,,,,28.44B,1.169B,27.27B,53.64B,,113.29B,153.47B,,,,8.285B,,8.285B,,17.69B,17.69B,17.69B,25.97B,17.82B,,17.82B,,,17.70B,,,35.53B,139.40B,,260.00M,7.809B,5.681B,,,,-219.00M,538.00M,319.00M,14.07B,,,
2002-12,,10.29B,10.29B,,,29.09B,,39.38B,,,2.979B,,,,29.00B,1.181B,27.82B,53.64B,,113.97B,157.25B,,,,9.235B,,9.235B,,21.10B,21.10B,21.10B,30.34B,16.82B,,16.82B,,,18.32B,,,35.14B,143.39B,,261.00M,7.606B,5.675B,,,,-198.00M,517.00M,319.00M,13.86B,,,
2002-09,,7.993B,7.993B,,,27.73B,,35.72B,,,2.87B,,,,26.03B,1.017B,25.01B,49.25B,,105.74B,145.33B,,,,6.848B,,6.848B,,19.17B,19.17B,19.17B,26.02B,15.22B,,15.22B,,,14.14B,,,29.36B,131.36B,,265.00M,7.571B,5.667B,,,,-151.00M,626.00M,475.00M,13.98B,,,
2002-06,,8.903B,8.903B,,,27.40B,,36.30B,,,2.848B,,,,25.06B,975.00M,24.09B,47.28B,,105.74B,145.90B,,,,7.30B,,7.30B,,18.74B,18.74B,18.74B,26.04B,15.97B,,15.97B,,,13.70B,,,29.67B,132.61B,,266.00M,7.381B,5.679B,,,,-191.00M,155.00M,-36.00M,13.29B,,,
2002-03,,7.503B,7.503B,,,27.23B,,34.73B,,,2.796B,,,,25.94B,972.00M,24.96B,45.54B,,108.26B,146.78B,,,,7.167B,,7.167B,,24.89B,24.89B,24.89B,32.06B,11.32B,,11.32B,,,13.78B,,,25.11B,134.29B,,266.00M,6.906B,5.611B,,,,-115.00M,-173.00M,-288.00M,12.50B,,,
2001-12,,7.222B,7.222B,,,29.50B,,36.72B,,,2.811B,,,,27.40B,961.00M,26.44B,46.49B,,110.64B,151.10B,,,,6.82B,,6.82B,,31.57B,31.57B,31.57B,38.39B,8.288B,,8.288B,,,14.56B,,,22.84B,139.06B,,266.00M,6.421B,5.527B,,,,-112.00M,-65.00M,-177.00M,12.04B,,,
2001-09,,9.86B,9.86B,,,28.27B,,38.13B,,,2.716B,,,,26.47B,915.00M,25.56B,45.29B,,103.78B,145.56B,,,,7.052B,,7.052B,,30.81B,30.81B,30.81B,37.86B,7.658B,,7.658B,,,13.08B,,,20.73B,133.33B,,267.00M,6.23B,5.473B,,,,-51.00M,309.00M,258.00M,12.23B,,,
2001-06,,8.481B,8.481B,,,29.61B,,38.09B,,,2.635B,,,,26.96B,874.00M,26.09B,45.10B,,110.49B,152.19B,,,,7.871B,,7.871B,,30.56B,30.56B,30.56B,38.44B,8.205B,,8.205B,,,14.55B,,,22.76B,140.43B,,265.00M,6.043B,5.464B,,,,-61.00M,50.00M,-11.00M,11.76B,,,
2001-03,,8.064B,8.064B,,,27.57B,,35.63B,,,2.569B,,,,27.09B,835.00M,26.25B,43.67B,,107.04B,146.22B,,,,7.575B,,7.575B,,31.17B,31.17B,31.17B,38.74B,5.411B,,5.411B,,,13.35B,,,18.76B,134.25B,,265.00M,6.172B,5.477B,,,,-61.00M,111.00M,50.00M,11.96B,,,
2000-12,,8.487B,8.487B,,,30.54B,,39.03B,,,2.506B,,,,26.88B,787.00M,26.09B,43.75B,,111.82B,154.42B,,,,7.495B,,7.495B,,36.03B,36.03B,36.03B,43.52B,5.211B,,5.211B,,,13.87B,,,19.08B,142.74B,,265.00M,6.198B,5.439B,,,,-73.00M,-145.00M,-218.00M,11.68B,,,
2000-09,,8.959B,8.959B,,,28.75B,,37.71B,,,2.327B,,,,24.67B,729.00M,23.94B,42.44B,,112.43B,153.63B,,,,8.92B,,8.92B,,31.03B,31.03B,31.03B,39.95B,5.089B,,5.089B,,,13.12B,,,18.20B,142.41B,,266.00M,5.916B,5.433B,,,,-79.00M,-323.00M,-402.00M,11.21B,,,
2000-06,,6.841B,6.841B,,,27.00B,,33.84B,,,2.19B,,,,23.99B,676.00M,23.31B,42.84B,,111.33B,148.55B,,,,9.103B,,9.103B,,26.17B,26.17B,26.17B,35.27B,5.336B,,5.336B,,,13.53B,,,18.87B,138.04B,,267.00M,5.535B,5.309B,,,,-98.00M,-504.00M,-602.00M,10.51B,,,
2000-03,,7.425B,7.425B,,,26.20B,,33.63B,,,2.084B,,,,24.21B,714.00M,23.50B,42.53B,,113.74B,150.66B,,,,8.414B,,8.414B,,29.34B,29.34B,29.34B,37.76B,5.67B,,5.67B,,,11.94B,,,17.61B,140.41B,,267.00M,5.16B,5.291B,,,,-99.00M,-366.00M,-465.00M,10.25B,,,
1999-12,,7.471B,7.471B,,,26.47B,,33.94B,,,1.996B,,,,24.33B,750.00M,23.58B,43.05B,,111.34B,148.52B,,,,7.309B,,7.309B,,30.63B,30.63B,30.63B,37.94B,6.495B,,6.495B,,,12.20B,,,18.69B,138.42B,,268.00M,5.033B,5.196B,,,,-106.00M,-296.00M,-402.00M,10.10B,,,
1999-09,,5.102B,5.102B,,,24.40B,,29.50B,,,1.908B,,,,21.21B,710.00M,20.50B,42.18B,,100.01B,132.62B,,,,7.101B,,7.101B,,24.68B,24.68B,24.68B,31.78B,6.72B,,6.72B,,,10.12B,,,16.84B,122.87B,,,4.777B,,,,,-110.00M,-286.00M,-396.00M,9.744B,,,
1999-06,,6.096B,6.096B,,,22.94B,,29.04B,,,1.795B,,,,20.64B,747.00M,19.89B,42.25B,,100.35B,132.45B,,,,6.895B,,6.895B,,24.78B,24.78B,24.78B,31.68B,7.005B,,7.005B,,,9.062B,,,16.07B,122.69B,,,4.559B,,,,,-99.00M,-11.00M,-110.00M,9.762B,,,
1999-03,,5.438B,5.438B,,,22.00B,,27.44B,,,1.732B,,,,21.54B,811.00M,20.73B,40.78B,,97.84B,128.30B,,,,6.315B,,6.315B,,22.24B,22.24B,22.24B,28.56B,7.676B,,7.676B,,,9.998B,,,17.67B,118.51B,,,4.312B,,,,,-100.00M,373.00M,273.00M,9.785B,,,
1998-12,,4.092B,4.092B,,,22.22B,,26.32B,,,1.637B,,,,21.87B,812.00M,21.05B,41.30B,,97.63B,126.93B,,,,5.373B,,5.373B,,22.60B,22.60B,22.60B,27.98B,7.019B,,7.019B,,,10.40B,,,17.42B,116.74B,,500.00M,4.148B,,500.00M,,,-112.00M,583.00M,471.00M,10.20B,,,
1998-09,,6.594B,6.594B,,,20.84B,,27.44B,,,1.541B,,,,20.79B,820.00M,19.97B,40.36B,,90.52B,120.91B,,,,5.563B,,5.563B,,21.05B,21.05B,21.05B,26.61B,7.324B,,7.324B,,,10.03B,,500.00M,17.36B,111.01B,,,3.952B,,,,,-107.00M,683.00M,576.00M,9.403B,,,
1998-06,,3.501B,3.501B,,,20.55B,,24.05B,,,1.517B,,,,20.12B,787.00M,19.34B,40.60B,,93.99B,120.99B,,,,5.485B,,5.485B,,18.01B,18.01B,18.01B,23.49B,7.832B,,7.832B,,,9.318B,,,17.15B,111.69B,,,3.927B,,,,,-99.00M,567.00M,468.00M,9.297B,,,
1998-03,,4.342B,4.342B,,,20.09B,,24.44B,,,1.522B,,,,19.42B,,19.42B,39.88B,,92.95B,120.30B,,,,5.124B,,5.124B,,18.15B,18.15B,18.15B,23.28B,8.14B,,8.14B,,,9.724B,,,17.86B,110.88B,,,4.068B,,,,,-98.00M,562.00M,464.00M,9.425B,,,
1997-12,,4.179B,4.179B,,,21.77B,,25.95B,,,1.533B,,,,20.82B,707.00M,20.11B,39.65B,,91.16B,120.00B,,,,4.876B,,4.876B,,20.57B,20.57B,20.57B,25.45B,7.873B,,7.873B,,,9.444B,,,17.32B,110.43B,,,4.188B,,,,,-97.00M,579.00M,482.00M,9.574B,,,
1997-09,,4.614B,4.614B,,,20.50B,,25.12B,,,1.584B,,,,19.97B,674.00M,19.29B,39.18B,,89.70B,117.64B,,,,5.089B,,5.089B,,18.51B,18.51B,18.51B,23.60B,8.08B,,8.08B,,,9.724B,,,17.80B,108.52B,,,4.106B,,,,,-97.00M,544.00M,447.00M,9.118B,,,
1997-06,,3.472B,3.472B,,,19.96B,,23.44B,,,1.595B,,,,19.86B,,19.86B,39.18B,,87.71B,113.93B,,,,4.893B,,4.893B,,17.97B,17.97B,17.97B,22.86B,7.571B,,7.571B,,,16.85B,,,24.42B,105.10B,,,3.97B,,,,,-107.00M,409.00M,302.00M,8.824B,,,
1997-03,,3.17B,3.17B,,,19.16B,,22.33B,,,1.568B,,,,19.18B,,19.18B,38.14B,,83.04B,108.10B,,,,4.909B,,4.909B,,17.32B,17.32B,17.32B,22.23B,6.331B,,6.331B,,,16.37B,,,22.70B,99.72B,,,3.796B,,,,,-88.00M,172.00M,84.00M,8.382B,,,
1996-12,,2.677B,2.677B,,,20.49B,,23.17B,,,1.675B,,,,19.12B,601.00M,18.52B,38.34B,,82.68B,108.51B,,,,4.601B,,4.601B,,18.40B,18.40B,18.40B,23.00B,6.552B,,6.552B,,,9.555B,,,16.11B,99.98B,,,3.756B,,,,,-89.00M,386.00M,297.00M,8.528B,,,
1996-09,,4.884B,4.884B,,,18.46B,,23.34B,,,1.666B,,,,17.17B,536.00M,16.63B,39.31B,,80.80B,106.67B,,,,4.477B,,4.477B,,16.90B,16.90B,16.90B,21.38B,8.233B,,8.233B,,,9.55B,,,17.78B,98.42B,,,3.566B,,,,,-91.00M,577.00M,486.00M,8.243B,,,
1996-06,,4.97B,4.97B,,,19.38B,,24.35B,,,1.766B,,,,16.25B,568.00M,15.69B,41.12B,,80.86B,107.65B,,,,4.607B,,4.607B,,16.59B,16.59B,16.59B,21.20B,8.391B,,8.391B,,,15.17B,,,23.56B,99.69B,,,3.348B,,,,,-92.00M,533.00M,441.00M,7.955B,,,
1996-03,,5.629B,5.629B,,,17.76B,,23.39B,,,1.782B,,,,16.78B,620.00M,16.16B,41.44B,,82.16B,107.91B,,,,4.371B,,4.371B,,18.31B,18.31B,18.31B,22.68B,7.793B,,7.793B,,,9.335B,,,17.13B,99.92B,,200.00M,3.164B,,200.00M,,,-86.00M,641.00M,555.00M,7.992B,,,
1995-12,,3.20B,3.20B,,,19.91B,,23.11B,,,1.783B,,,,16.69B,600.00M,16.09B,42.56B,,82.03B,107.40B,,,,4.686B,,4.686B,,17.65B,17.65B,17.65B,22.34B,7.57B,,7.57B,,,9.889B,,,17.46B,99.18B,,200.00M,3.159B,,200.00M,,,-85.00M,875.00M,790.00M,8.22B,,,
1995-09,,4.577B,4.577B,,,18.48B,,23.06B,,,1.827B,,,,16.07B,569.00M,15.50B,43.08B,,80.83B,106.31B,,,,11.08B,,11.08B,,17.16B,17.16B,17.16B,28.24B,6.284B,,6.284B,,,9.556B,,,15.84B,98.87B,,200.00M,3.057B,,200.00M,,,-68.00M,197.00M,129.00M,7.442B,,,
1995-06,,4.754B,4.754B,,,17.48B,,22.24B,,,1.843B,,,,15.80B,559.00M,15.24B,42.88B,,79.58B,104.18B,,,,4.263B,,4.263B,,16.20B,16.20B,16.20B,20.46B,6.491B,,6.491B,,,9.867B,,,16.36B,97.02B,,200.00M,2.888B,,200.00M,,,-68.00M,171.00M,103.00M,7.154B,,,
1995-03,,4.34B,4.34B,,,16.18B,,20.52B,,,1.842B,,,,15.53B,530.00M,15.00B,41.20B,,76.88B,99.74B,,,,4.407B,,4.407B,,14.62B,14.62B,14.62B,19.03B,6.985B,,6.985B,,,9.946B,,,16.93B,92.75B,,200.00M,2.901B,,200.00M,,,-84.00M,-88.00M,-172.00M,6.983B,,,
1994-12,,3.433B,3.433B,,,17.15B,,20.58B,,,1.84B,,,,15.27B,545.00M,14.72B,40.11B,,74.15B,97.01B,,,,4.228B,,4.228B,,14.81B,14.81B,14.81B,19.04B,7.162B,,7.162B,,,10.01B,,,17.18B,90.57B,,200.00M,2.75B,,200.00M,,,-77.00M,-389.00M,-466.00M,6.433B,,,
1994-09,,6.959B,6.959B,,,15.74B,,22.70B,,,1.905B,,,,15.18B,515.00M,14.66B,39.50B,,73.29B,98.20B,,,,4.378B,,4.378B,,14.34B,14.34B,14.34B,18.72B,7.986B,,7.986B,,,11.23B,,,19.21B,91.33B,,200.00M,2.806B,,200.00M,,,-67.00M,-219.00M,-286.00M,6.861B,,,
1994-06,,4.633B,4.633B,,,16.09B,,20.72B,,,1.959B,,,,15.11B,530.00M,14.58B,39.02B,,72.65B,95.50B,,,,3.788B,,3.788B,,12.86B,12.86B,12.86B,16.65B,8.565B,,8.565B,,,11.29B,,,19.86B,88.74B,,201.00M,2.644B,,201.00M,,,-57.00M,-147.00M,-204.00M,6.757B,,,
1994-03,,6.832B,6.832B,,,15.23B,,22.06B,,,1.982B,,,,15.15B,585.00M,14.56B,38.92B,,72.86B,97.00B,,,,4.05B,,4.05B,,13.46B,13.46B,13.46B,17.50B,8.468B,,8.468B,,,11.14B,,,19.61B,87.85B,,201.00M,4.868B,,201.00M,,,-66.00M,76.00M,10.00M,9.153B,,,
1993-12,,3.312B,3.312B,,,,,3.312B,,,1.976B,,,,15.45B,655.00M,14.80B,39.31B,,72.65B,94.13B,,,,3.737B,,3.737B,,12.49B,12.49B,12.49B,16.23B,8.561B,,8.561B,,,11.13B,,,19.69B,85.40B,,201.00M,4.649B,,201.00M,,,-73.00M,7.00M,-66.00M,8.734B,,,
1993-09,,8.245B,8.245B,,,,,13.51B,,,2.585B,,,,18.52B,609.00M,17.91B,93.97B,,132.60B,172.42B,,,,6.815B,,6.815B,,24.04B,24.04B,24.04B,82.42B,16.23B,,16.23B,,,15.96B,,,32.20B,164.01B,,201.00M,4.385B,,201.00M,,,-75.00M,8.00M,-67.00M,8.408B,,,
1993-06,,6.167B,6.167B,,,,,11.51B,,,2.594B,,,,15.13B,658.00M,14.47B,91.80B,,128.30B,169.26B,,,,9.23B,,9.23B,,22.98B,22.98B,22.98B,81.37B,15.79B,,15.79B,,,16.07B,,,31.86B,161.22B,,201.00M,4.095B,,201.00M,,,-83.00M,19.00M,-64.00M,8.043B,,,
1993-03,,7.573B,7.573B,,,,,33.34B,,,2.602B,,,,15.17B,731.00M,14.44B,72.20B,,108.40B,170.46B,,,,9.947B,,9.947B,,22.99B,22.99B,22.99B,87.83B,14.45B,,14.45B,,,15.20B,,,29.65B,162.78B,,201.00M,3.811B,,201.00M,,,-93.00M,19.00M,-74.00M,7.676B,,,
1992-12,,5.395B,5.395B,,,,,32.47B,,,3.497B,,,,20.22B,1.026B,19.20B,69.35B,,110.50B,175.75B,,,,10.04B,,10.04B,,26.02B,26.02B,26.02B,84.69B,15.12B,,15.12B,,,21.36B,,,36.48B,168.25B,,201.00M,3.697B,,201.00M,,,-83.00M,-1.00M,-84.00M,7.499B,,,
1992-09,,7.281B,7.281B,,,,,27.53B,,,3.573B,,,,20.33B,834.00M,19.49B,69.64B,,110.48B,172.82B,,,,13.56B,,13.56B,,25.06B,25.06B,25.06B,80.43B,15.45B,,15.45B,,,23.48B,,,38.93B,165.33B,,201.00M,3.746B,,201.00M,,,-77.00M,-4.00M,-81.00M,7.488B,,,
1992-06,,6.955B,6.955B,,,,,25.48B,,,3.656B,,,,20.55B,869.00M,19.68B,65.78B,,106.01B,163.67B,,,,10.84B,,10.84B,,22.96B,22.96B,22.96B,73.48B,15.17B,,15.17B,,,23.16B,,,38.33B,155.70B,,201.00M,4.272B,,201.00M,,,-79.00M,-9.00M,-88.00M,7.973B,,,
1992-03,,5.407B,5.407B,,,,,27.50B,,,3.589B,,,,20.64B,931.00M,19.71B,62.17B,,102.16B,158.10B,,,,9.477B,,9.477B,,23.64B,23.64B,23.64B,72.30B,14.63B,,14.63B,,,22.52B,,,37.15B,150.36B,,201.00M,4.092B,,201.00M,,,-82.00M,-4.00M,-86.00M,7.74B,,,
1991-12,,4.876B,4.876B,,,,,20.56B,,,3.688B,,,,21.59B,945.00M,20.65B,55.83B,,96.00B,146.44B,,,,9.671B,,9.671B,,22.40B,22.40B,22.40B,60.66B,13.29B,,13.29B,,,24.78B,,,38.07B,138.98B,,351.00M,3.757B,,351.00M,,,-92.00M,-37.00M,-129.00M,7.465B,,,
1991-09,,7.261B,7.261B,,,,,26.99B,,,3.64B,,,,15.54B,366.00M,15.18B,59.17B,,92.95B,153.46B,,,,9.167B,,9.167B,,22.99B,22.99B,22.99B,67.75B,13.08B,,13.08B,,,26.57B,,,39.64B,146.04B,,501.00M,3.652B,,501.00M,,,-89.00M,-90.00M,-179.00M,7.414B,,,
1991-06,,8.04B,8.04B,,,,,25.14B,,,3.558B,,,,15.68B,347.00M,15.33B,52.11B,,85.28B,143.25B,,,,9.835B,,9.835B,,22.54B,22.54B,22.54B,61.05B,12.57B,,12.57B,,,25.57B,,,38.14B,136.08B,,500.00M,3.763B,,500.00M,,,-78.00M,-266.00M,-344.00M,7.169B,,,
1991-03,,8.638B,8.638B,,,,,26.13B,,,3.561B,,,,16.28B,580.00M,15.70B,48.57B,,82.02B,141.14B,,,,10.34B,,10.34B,,20.50B,20.50B,20.50B,59.11B,12.62B,,12.62B,,,27.11B,,,39.73B,134.22B,,500.00M,3.622B,,500.00M,,,-131.00M,-144.00M,-275.00M,6.919B,,,
1990-12,,6.40B,6.40B,,,,,12.25B,,,3.466B,,,,15.97B,530.00M,15.44B,58.00B,,90.70B,137.68B,,,,8.911B,,8.911B,,19.61B,19.61B,19.61B,56.35B,12.52B,,12.52B,,,27.84B,,,40.36B,131.05B,,500.00M,3.474B,,500.00M,,,-108.00M,-190.00M,-298.00M,6.635B,,,
1990-09,,9.126B,9.126B,,,,,19.15B,,,3.313B,,,,15.98B,555.00M,15.42B,56.24B,,88.24B,140.58B,,,,9.405B,,9.405B,,20.81B,20.81B,20.81B,60.22B,12.76B,,12.76B,,,27.65B,,,40.41B,133.98B,,500.00M,3.477B,,500.00M,,,-86.00M,-204.00M,-290.00M,6.595B,,,
1990-06,,7.126B,7.126B,,,,,16.84B,,,3.297B,,,,15.57B,575.00M,14.99B,55.60B,,87.28B,137.41B,,9.793B,,9.793B,,9.793B,,21.18B,21.18B,21.18B,59.52B,12.52B,,12.52B,,,26.33B,,,38.85B,131.49B,,500.00M,3.249B,,500.00M,,,-64.00M,-108.00M,-172.00M,5.917B,,,
1990-03,,7.669B,7.669B,,,,,16.40B,,,3.18B,,,,15.18B,628.00M,14.55B,48.03B,,78.62B,127.16B,,,,10.34B,,10.34B,,19.15B,19.15B,19.15B,51.73B,13.26B,,13.26B,,,25.95B,,,39.22B,122.06B,,500.00M,3.018B,,500.00M,,,-45.00M,-109.00M,-154.00M,5.097B,,,
1989-12,,7.452B,7.452B,,,,,20.64B,,,3.357B,,,,16.01B,646.00M,15.36B,44.53B,,75.78B,130.86B,,,,11.02B,,11.02B,,16.60B,16.60B,16.60B,49.26B,14.35B,,14.35B,,,31.19B,,,45.54B,125.16B,,300.00M,3.804B,,300.00M,,,-16.00M,-130.00M,-146.00M,5.691B,,,
