,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2008-07,2.284B,2.284B,1.523B,761.00M,,575.00M,17.00M,47.00M,5.00M,-42.00M,,575.00M,186.00M,5.00M,47.00M,-42.00M,17.00M,-42.00M,161.00M,62.00M,99.00M,,,3.00M,102.00M,91.55M,300.00M,92.00M,208.00M,,0.30,0.00,,0.2692,0.30,,0.30,0.00,,0.2693,0.30,,339.00M,341.00M,0.15,,,Restated
2008-04,1.925B,1.925B,1.284B,641.00M,,541.00M,5.00M,45.00M,6.00M,-39.00M,-109.00M,432.00M,209.00M,6.00M,45.00M,-39.00M,5.00M,-39.00M,175.00M,78.00M,97.00M,,,1.00M,98.00M,94.75M,312.00M,92.00M,220.00M,,0.29,0.00,,0.2805,0.29,,0.28,0.00,,0.2706,0.28,,341.00M,344.00M,0.15,,,Restated
2008-01,3.276B,3.276B,2.005B,1.271B,,637.00M,-2.00M,,,,,650.00M,621.00M,,,,-2.00M,,591.00M,202.00M,389.00M,,,-1.00M,389.00M,390.32M,709.00M,88.00M,621.00M,,1.05,0.00,,1.054,1.05,,1.04,0.00,,1.044,1.04,,349.04M,352.86M,0.15,,,
2007-10,1.923B,1.923B,1.309B,614.00M,,552.00M,1.00M,,,,,552.00M,62.00M,,,,1.00M,,23.00M,11.00M,12.00M,,,1.00M,12.00M,11.35M,143.00M,81.00M,62.00M,,0.03,0.00,,0.0282,0.03,,0.03,0.00,,0.0282,0.03,,360.91M,364.98M,0.15,,,
2007-07,2.624B,2.624B,1.803B,821.00M,,732.00M,346.00M,,,,,732.00M,89.00M,,,,346.00M,,423.00M,159.00M,264.00M,,,16.00M,264.00M,48.06M,177.00M,88.00M,89.00M,,0.68,0.00,,0.1238,0.68,,0.67,0.00,,0.1220,0.67,,388.24M,394.03M,0.15,,,
2007-04,2.311B,2.311B,1.508B,803.00M,,695.00M,,,,,,695.00M,108.00M,,,,,,92.00M,39.00M,53.00M,,,6.00M,53.00M,53.00M,203.00M,95.00M,108.00M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,407.69M,407.69M,0.15,,,
2007-01,4.025B,4.025B,2.413B,1.612B,,885.00M,3.00M,,,,,885.00M,727.00M,,,,3.00M,,706.00M,266.00M,440.00M,,0.00,,440.00M,438.13M,813.00M,86.00M,727.00M,,1.11,0.00,0.00,1.105,1.11,,1.09,0.00,-0.0000,1.085,1.09,,396.10M,404.87M,0.15,,,
2006-10,2.115B,2.115B,1.356B,759.00M,,692.00M,-2.00M,,,,,692.00M,67.00M,,,,-2.00M,,42.00M,18.00M,24.00M,,,,24.00M,25.20M,145.00M,78.00M,67.00M,,0.06,0.00,,0.0630,0.06,,0.06,0.00,,0.0630,0.06,,395.15M,401.90M,0.15,,,
2006-07,2.454B,2.454B,1.601B,853.00M,,656.00M,-1.00M,,,,,656.00M,197.00M,,,,-1.00M,,180.00M,67.00M,113.00M,,,,113.00M,113.63M,275.00M,78.00M,197.00M,,0.29,0.00,,0.2916,0.29,,0.28,0.00,,0.2816,0.28,,389.66M,403.57M,0.15,,,
2006-04,2.077B,2.077B,1.288B,789.00M,,603.00M,-1.00M,,,,,603.00M,186.00M,,,,-1.00M,,170.00M,71.00M,99.00M,,1.00M,,100.00M,99.60M,260.00M,74.00M,186.00M,,0.25,0.00,0.00,0.2515,0.25,,0.25,0.00,0.0025,0.2515,0.25,,400.00M,400.00M,0.15,,,
