,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-10,-1.00M,,,,17.00M,,,70.00M,70.00M,-10.00M,,,,,,-8.00M,-50.00M,-455.00M,175.00M,-71.00M,6.00M,-395.00M,-327.00M,,-141.00M,6.00M,-135.00M,,,-6.00M,-141.00M,,,,-233.00M,14.00M,183.00M,197.00M,,-60.00M,,,-96.00M,,719.00M,-564.00M,,155.00M,,14.00M,,,183.00M,,,
2005-07,81.74M,,,,-9.248M,,,73.25M,73.25M,-20.63M,,,,,,13.00M,2.761M,63.37M,51.07M,35.91M,18.83M,171.94M,310.04M,,-115.85M,,-115.85M,,,-9.903M,-125.76M,,,,,9.688M,-100.60M,-90.91M,,-60.85M,,,-151.76M,,686.24M,32.52M,,719.00M,,9.688M,,,-100.60M,,,
2005-04,83.26M,,,,-7.752M,,,77.75M,77.75M,2.627M,,,,,,,5.239M,-116.37M,-98.07M,-153.91M,-5.828M,-368.94M,-213.04M,,-134.15M,,-134.15M,,,-6.097M,-140.24M,,,,,22.31M,-82.40M,-60.09M,,-61.15M,,,-121.24M,,1.161B,-474.52M,,686.24M,,22.31M,,,-82.40M,,,
2005-01,382.07M,,,,65.48M,,,105.78M,105.78M,59.42M,,,,,,,8.438M,424.22M,-51.20M,162.38M,-22.84M,521.00M,1.134B,,-66.17M,-23.80M,-89.97M,,131.00M,-101.18M,-87.15M,,,,499.85M,28.59M,-2.000B,-1.972B,,-548.54M,,,-2.020B,,2.135B,-973.86M,,1.161B,,28.59M,,,-2.000B,,,
2004-10,78.34M,,,,-65.56M,,,74.53M,74.53M,-12.39M,,,,,,,-33.13M,-439.41M,38.99M,-8.349M,11.80M,-430.10M,-355.18M,,-126.68M,-51.20M,-177.89M,,75.00M,45.59M,-57.30M,,,,498.15M,69.56M,-63.35M,6.218M,,-56.37M,,,448.00M,,2.100B,35.52M,,2.135B,,69.56M,,,-63.35M,,,
2004-07,147.95M,,,,0.134M,,,77.11M,77.11M,-14.69M,,,,,,,21.67M,-119.07M,188.76M,10.20M,12.94M,114.50M,325.00M,,-137.10M,75.00M,-62.10M,,,-10.25M,-72.35M,,,,,9.645M,-51.30M,-41.66M,,-56.71M,,,-98.37M,,1.945B,154.28M,,2.100B,,9.645M,,,-51.30M,,,
2004-04,96.64M,,,,-46.05M,,,75.58M,75.58M,14.66M,,,,,,,-10.98M,-59.75M,-71.54M,-167.23M,-1.897M,-311.40M,-170.57M,,-101.04M,,-101.04M,,,90.84M,-10.20M,,,,,58.20M,-1.00B,-941.80M,,-62.37M,,,-1.004B,,3.130B,-1.185B,,1.945B,,58.20M,,,-1.00B,,,
2004-01,387.84M,,,,21.57M,-212.01M,-16.73M,59.26M,59.26M,39.19M,,,,,,,42.49M,444.16M,15.06M,207.19M,-2.093M,706.81M,1.215B,,-60.89M,,-60.89M,,,187.58M,130.68M,,,,0.00,17.51M,-0.012M,17.50M,,-51.73M,,,-34.23M,,1.818B,1.311B,,3.13B,,17.51M,,,-0.012M,,,
2003-10,129.67M,,,,-140.38M,212.01M,16.73M,84.56M,84.56M,-0.887M,,,,,,,-46.50M,-312.74M,41.51M,19.24M,-12.62M,-311.10M,-238.13M,,-85.31M,,-85.31M,,,0.318M,-84.99M,,,,0.00,5.766M,-51.50M,-45.73M,,-51.79M,,,-97.52M,,2.241B,-420.64M,,1.818B,,5.766M,,,-51.50M,,,
2003-07,101.49M,,,,11.81M,-69.00M,-8.00M,67.18M,67.18M,-10.30M,,,,,,,14.00M,-119.42M,149.43M,-38.44M,13.71M,19.29M,189.46M,,-82.80M,,-82.80M,,,9.107M,-73.70M,,,,0.00,2.725M,-71.49M,-68.77M,,-52.48M,,,-121.24M,,2.245B,-5.484M,,2.241B,,2.725M,,,-71.49M,,,
2003-04,98.00M,,,,-67.00M,69.00M,8.00M,77.00M,77.00M,-5.00M,,,,,,,31.00M,11.00M,-163.00M,-86.00M,1.00M,-206.00M,-103.00M,,-64.00M,,-64.00M,,,127.00M,63.00M,,,,100.00M,2.00M,-27.00M,-25.00M,,-52.00M,,,23.00M,,2.262B,-17.00M,,2.245B,,2.00M,,,-27.00M,,,
2003-01,353.12M,,,,10.72M,66.30M,7.575M,73.88M,73.88M,68.00M,,,,,,,-6.429M,300.10M,-19.84M,222.03M,-42.40M,453.46M,959.18M,,-92.70M,,-13.70M,,,29.17M,33.48M,,,,300.00M,3.348M,,3.348M,,-39.22M,,,264.13M,,885.38M,1.257B,,2.262B,,3.348M,,,,,,
2002-10,15.78M,,,,-6.124M,69.43M,9.202M,78.63M,78.63M,7.00M,,,,,,,-30.64M,-319.88M,-39.74M,-3.52M,29.95M,-363.84M,-268.56M,,-71.84M,,-71.84M,,,60.18M,-11.66M,,,,0.00,12.89M,,12.89M,,-39.22M,,,-26.33M,,1.312B,-306.54M,,885.38M,,12.89M,,,,,,
2002-07,83.10M,,,,0.408M,70.26M,11.22M,81.49M,81.49M,-22.00M,,,,,,1.00M,-3.928M,-171.22M,253.58M,-9.507M,19.45M,88.38M,232.38M,,-86.46M,,-86.46M,,,4.645M,-81.82M,,,,-150.00M,9.766M,,9.766M,,-39.56M,,1.00M,-178.80M,,1.34B,-28.24M,,1.312B,,9.766M,,,,,,
2002-04,50.00M,,,,34.00M,70.00M,6.00M,76.00M,76.00M,6.00M,,,,,,-1.00M,2.00M,47.00M,-117.00M,-218.00M,-7.00M,-293.00M,-128.00M,,-55.00M,,-55.00M,,,35.00M,-20.00M,,,,,26.00M,,26.00M,,-32.00M,,-1.00M,-7.00M,,1.495B,-155.00M,,1.34B,,26.00M,,,,,,
2002-01,326.61M,,,,44.06M,,,65.39M,65.39M,76.00M,,,,,,,47.24M,377.06M,-42.92M,227.06M,-4.00M,604.44M,1.117B,,-37.19M,0.00,-37.19M,,,-1.681M,-38.87M,,,,,11.45M,-0.206M,11.25M,,-32.20M,,,-20.95M,,317.87M,1.057B,,1.375B,,11.45M,,,-0.206M,,,
2001-10,90.15M,,,,-177.20M,-143.45M,-7.256M,60.91M,60.91M,-6.00M,,,,,,,-46.82M,-298.62M,125.50M,19.61M,57.86M,-142.46M,-174.59M,,-89.99M,280.00M,190.01M,,,-2.75M,187.26M,,,,,17.88M,-7.794M,10.08M,,-32.35M,,,-22.27M,,327.47M,-9.60M,,317.87M,,17.88M,,,-7.794M,,,
2001-07,71.55M,,,,-56.22M,143.45M,7.256M,85.38M,85.38M,6.00M,,,,,,,3.024M,-23.59M,84.31M,4.902M,-5.979M,62.67M,169.38M,,-105.55M,,-105.55M,,,-6.183M,-111.73M,,,,,13.13M,,13.13M,,-32.26M,,,-19.13M,,288.95M,38.52M,,327.47M,,13.13M,,,,,,
2001-04,30.69M,,,,0.351M,,,65.32M,65.32M,,,,,,,,11.55M,27.15M,-91.90M,-133.57M,-51.88M,-238.66M,-142.30M,,-104.27M,,-104.27M,,,-0.386M,-104.66M,,,,,4.537M,,4.537M,,-32.19M,,,-27.65M,,563.55M,-274.60M,,288.95M,,4.537M,,,,,,
2001-01,238.25M,,,,36.28M,,,76.07M,76.07M,,,,,,,,28.56M,424.77M,-76.76M,130.26M,113.28M,620.12M,970.72M,,-127.03M,,-127.03M,,,-2.851M,-129.88M,,,,-274.08M,22.54M,0.376M,22.92M,,-32.58M,,,-283.74M,,6.174M,557.09M,,564.00M,,22.54M,,,0.376M,,,
2000-10,49.23M,,,,1.591M,,,62.17M,62.17M,,,,,,,,-19.55M,-366.88M,90.23M,13.20M,-16.14M,-299.13M,-186.14M,,-168.71M,,-168.71M,,,-10.95M,-179.66M,,,,124.08M,8.116M,-49.68M,-41.57M,,-32.04M,,,50.47M,,321.50M,-315.33M,,6.174M,,8.116M,,,-49.68M,,,
2000-07,77.57M,,,,10.16M,,,68.10M,68.10M,,,,,,,,-25.65M,-67.61M,64.27M,12.29M,-3.406M,-20.10M,135.73M,,-92.90M,,-92.90M,,,-5.156M,-98.06M,,,,0.00,10.49M,-178.96M,-168.46M,,-31.80M,,,-200.26M,,484.09M,-162.59M,,321.50M,,10.49M,,,-178.96M,,,
2000-04,62.95M,,,,4.965M,,,64.66M,64.66M,,,,,,,,31.63M,-96.28M,-24.74M,-165.75M,-28.74M,-283.88M,-151.31M,,-57.35M,,-57.35M,,,-4.044M,-61.40M,,,,-100.00M,13.85M,-2.738M,11.11M,,-31.58M,,,-120.47M,,817.27M,-333.18M,,484.09M,,13.85M,,,-2.738M,,,
2000-01,334.30M,,,,18.20M,,,63.70M,63.70M,,,,,,,0.90M,20.70M,370.30M,-137.20M,212.20M,15.70M,481.70M,898.80M,,-86.00M,,-86.00M,,,38.10M,-47.90M,,,,-200.00M,26.70M,-0.90M,25.80M,,-31.70M,,-1.00M,-206.90M,,173.30M,644.00M,,817.00M,,26.70M,,,-0.90M,,,
1999-10,40.80M,,,,2.30M,,,64.50M,64.50M,,,,,,,0.20M,-62.60M,-305.60M,70.30M,-120.50M,-12.30M,-430.70M,-322.90M,,-97.20M,,-97.20M,,,167.60M,70.40M,,,,-100.00M,5.40M,0.00,5.40M,,-31.90M,,62.00M,-64.50M,,490.30M,-317.00M,,173.30M,,5.40M,,,0.00,,,
1999-07,52.40M,,,,16.30M,,,68.40M,68.40M,,,,,,,-0.10M,-0.70M,-68.10M,164.30M,-9.90M,17.60M,103.20M,240.20M,,-89.50M,,-89.50M,,,338.30M,248.80M,,,,300.00M,-0.30M,-757.50M,-757.80M,,-32.20M,,,-490.00M,,491.40M,-1.00M,,490.30M,,-0.30M,,,-757.50M,,,
1999-04,33.50M,,,,2.20M,,,75.40M,75.40M,,,,,,,,5.60M,-50.60M,-117.40M,-165.80M,,-328.20M,-217.10M,,-102.30M,,-102.30M,,,,-102.30M,,,,,31.20M,-56.60M,-25.40M,,-34.20M,,,-59.60M,,870.30M,-379.00M,,491.40M,,31.20M,,,-56.60M,,,
1999-01,243.30M,,,,31.50M,,,71.90M,71.90M,,,,,,,,23.80M,449.30M,-131.90M,161.90M,,489.70M,836.40M,,10.40M,-51.50M,-41.10M,,,31.20M,-9.90M,,,,,23.40M,-14.80M,8.60M,,-29.40M,,-0.10M,-20.90M,,0.00,805.60M,,870.30M,,23.40M,,,-14.80M,,,
1998-10,39.40M,,,,1.60M,,,69.70M,69.70M,,,,,,,,-20.40M,-424.50M,143.10M,24.00M,,-277.80M,-167.10M,,-199.40M,51.50M,-147.90M,,,0.00,-147.90M,,,,,12.10M,-101.60M,-89.50M,,-29.60M,,0.00,-119.10M,,0.00,-434.10M,,0.00,,12.10M,,,-101.60M,,,
1998-07,1.684B,,,,-1.647B,,,69.70M,69.70M,,,,,,,2.20M,-0.50M,-125.10M,60.30M,-21.70M,,-87.00M,22.00M,,-96.20M,,-96.20M,,,-0.10M,-96.30M,,,,,10.10M,-47.50M,-37.40M,,-29.60M,,-47.60M,-114.60M,,0.00,-188.90M,,0.00,,10.10M,,,-47.50M,,,
1998-04,79.50M,,,,-50.10M,,,74.70M,74.70M,,,,,,,-2.20M,1.80M,-53.40M,-25.90M,-138.30M,,-215.80M,-113.90M,,-62.20M,,-62.20M,,,131.30M,69.10M,,,,,21.80M,,21.80M,,-35.60M,,,-13.80M,,746.40M,-58.60M,,0.00,,21.80M,,,,,,
1998-01,85.30M,,,,193.60M,,,86.70M,86.70M,,,,,,,-46.20M,30.00M,430.20M,-43.10M,97.70M,,514.80M,834.20M,,-66.40M,78.30M,11.90M,,,-10.30M,1.60M,,,,-101.30M,7.50M,,7.50M,,-32.70M,,,-126.50M,,0.00,709.30M,,746.40M,,7.50M,,,,,,
1997-10,79.70M,,,,-35.20M,,,76.90M,76.90M,,,,,,,0.10M,-21.80M,-287.20M,114.50M,-63.90M,,-258.40M,-136.90M,,-83.90M,156.70M,72.80M,,,108.30M,181.10M,,,,-14.80M,17.90M,,17.90M,,-32.70M,,,-29.60M,,0.00,14.60M,,0.00,,17.90M,,,,,,
1997-07,27.50M,,,,5.00M,,,74.30M,74.30M,,,,,,,-0.10M,-11.40M,-64.60M,70.70M,-31.90M,,-37.20M,69.50M,,-128.60M,,-128.60M,,,,-128.60M,,,,50.10M,6.60M,,6.60M,,-32.60M,,,24.10M,,0.00,-35.00M,,0.00,,6.60M,,,,,,
1997-04,24.90M,,,,-6.10M,,,75.40M,75.40M,,,,,,,,-10.80M,-83.80M,-60.30M,-147.70M,,-302.60M,-208.40M,,-83.90M,,-83.90M,,,,-83.90M,,,,66.00M,3.50M,,3.50M,,-32.50M,,,37.00M,,312.80M,-255.30M,,0.00,,3.50M,,,,,,
1997-01,213.40M,,,,32.80M,,,73.50M,73.50M,,,,,,,66.40M,35.10M,353.70M,-80.70M,96.10M,,404.20M,790.30M,,-89.50M,,-89.50M,,,,-130.70M,,,,-376.60M,0.20M,0.00,0.20M,,-27.00M,,-0.10M,-403.50M,,0.00,256.10M,,0.00,,0.20M,,,0.00,,,
1996-10,159.50M,,,,-118.80M,,,71.80M,71.80M,,,,,,,-53.70M,-8.10M,-245.00M,122.70M,25.10M,,-105.30M,-46.50M,,-128.80M,,-128.80M,,,,-128.80M,,,,109.60M,116.30M,0.10M,116.40M,,-27.10M,,0.10M,199.00M,,0.00,23.70M,,0.00,,116.30M,,,0.10M,,,
1996-07,33.10M,,,,2.20M,,,72.50M,72.50M,,,,,,,-12.40M,-27.00M,-105.10M,83.00M,6.50M,,-42.60M,52.80M,,-113.10M,,-113.10M,,,,-113.10M,,,,89.80M,6.30M,-0.10M,6.20M,,-27.10M,,-0.10M,68.80M,,0.00,8.50M,,0.00,,6.30M,,,-0.10M,,,
1996-04,28.20M,,,,-0.80M,,,71.80M,71.80M,,,,,,,-0.10M,8.20M,-52.00M,-8.40M,-131.40M,,-183.60M,-84.50M,,-77.90M,,-77.90M,,,,-77.90M,,,,177.20M,6.00M,-1.615B,-1.609B,,-27.10M,,0.10M,-1.459B,,1.646B,-1.621B,,0.00,,6.00M,,,-1.615B,,,
1996-01,216.20M,,,,-20.00M,,,71.00M,71.00M,,,,,,,-55.90M,-84.30M,329.00M,-17.10M,140.80M,,368.40M,579.70M,,-70.80M,,-70.80M,,,,772.30M,,,,-54.20M,155.10M,-46.20M,108.90M,,-35.80M,,,18.90M,,0.00,1.371B,,0.00,,155.10M,,,-46.20M,,,
1995-10,657.30M,,,,-613.50M,,,73.50M,73.50M,,,,,,,,-50.60M,-206.30M,-11.10M,-67.50M,,-335.50M,-218.20M,,-115.30M,,-115.30M,,,,-115.30M,,,,-256.80M,638.60M,0.00,638.60M,,-36.00M,,-0.10M,345.70M,,0.00,12.20M,,0.00,,638.60M,,,0.00,,,
1995-07,48.80M,,,,,,,71.90M,71.90M,,,,,,,-0.10M,-9.10M,-78.40M,119.10M,-37.70M,,-6.10M,114.50M,,-119.40M,,-119.40M,,,,-119.40M,,,,240.90M,2.30M,0.00,2.30M,,-35.60M,,0.10M,207.70M,,0.00,202.80M,,0.00,,2.30M,,,0.00,,,
1995-04,39.20M,,,,,,,69.50M,69.50M,,,,,,,0.10M,39.90M,-115.10M,-40.00M,-112.90M,,-228.10M,-119.30M,,-68.90M,,-68.90M,,,,-68.90M,,,,44.90M,5.10M,-9.00M,-3.90M,,-35.70M,,,5.30M,,242.80M,-182.90M,,0.00,,5.10M,,,-9.00M,,,
1995-01,256.70M,,,,,,,70.40M,70.40M,,,,,,,,-73.00M,221.80M,-108.90M,95.70M,33.60M,169.20M,496.40M,,-58.20M,,-58.20M,,,,-58.20M,,,,-219.10M,-0.80M,-1.90M,-2.70M,,-32.20M,,,-254.00M,,58.60M,184.20M,,242.80M,,-0.80M,,,-1.90M,,,
1994-10,90.50M,,,,,,,69.50M,69.50M,,,,,,,,-99.40M,-224.90M,72.20M,-1.10M,-23.50M,-276.70M,-116.70M,,-118.90M,,-118.90M,,,,-118.90M,,,,221.30M,6.30M,-9.50M,-3.20M,,-32.20M,,,185.90M,,108.30M,-49.70M,,58.60M,,6.30M,,,-9.50M,,,
1994-07,53.80M,,,,,,,59.90M,59.90M,,,,,,,,-53.10M,-63.90M,115.50M,2.10M,-67.50M,-66.90M,46.80M,,-74.50M,,-74.50M,,,,-74.50M,,,,5.90M,3.20M,,3.20M,,-32.30M,,,-23.20M,,159.20M,-50.90M,,108.30M,,3.20M,,,,,,
1994-04,47.30M,,,,,,,68.00M,68.00M,,,,,,,,-10.00M,-69.70M,-29.10M,-65.80M,-6.10M,-180.70M,-65.40M,,-68.10M,,-68.10M,,,,-68.10M,,,,1.40M,2.90M,,2.90M,,-32.20M,,,-27.90M,,320.60M,-161.40M,,159.20M,,2.90M,,,,,,
1994-01,196.30M,,,,0.00,,,68.50M,68.50M,,,,,,,0.00,-54.20M,268.50M,-171.20M,15.40M,,58.50M,323.30M,,-50.90M,0.00,-50.90M,,,-4.80M,-55.70M,,,,5.40M,1.60M,,-91.70M,,-32.70M,,,-119.10M,,0.00,148.50M,,0.00,,1.60M,,,,,,
1993-10,82.20M,,,,-2.60M,,,63.90M,63.90M,,,,,,,-0.10M,-137.90M,-97.80M,186.00M,6.50M,,-43.20M,100.20M,,-82.90M,285.00M,202.10M,,,-60.00M,142.10M,,,,-103.10M,2.10M,,2.10M,,-32.70M,,,-133.70M,,0.00,108.60M,,0.00,,2.10M,,,,,,
1993-07,68.30M,,,,,,,70.50M,70.50M,,,,,,,0.10M,-22.30M,-30.40M,-23.20M,-5.40M,,-81.30M,57.60M,,-105.50M,,-105.50M,,,,-105.50M,,,,82.30M,1.10M,,1.10M,,-32.70M,,,50.70M,,0.00,2.80M,,0.00,,1.10M,,,,,,
1993-04,44.20M,,,,,,,68.50M,68.50M,,,,,,,-0.10M,-5.10M,-70.30M,23.30M,-93.50M,,-145.60M,-33.00M,,-56.50M,,-56.50M,,,,-56.50M,,,,139.50M,1.90M,,1.90M,,-32.60M,,,108.80M,,41.20M,19.30M,,0.00,,1.90M,,,,,,
1993-01,243.90M,,,,,,,65.60M,65.60M,,,,,,,-0.20M,-47.60M,278.00M,-48.10M,131.20M,,313.50M,622.80M,,-64.10M,,-64.10M,,,-0.10M,-64.20M,,,,-518.10M,3.60M,,3.60M,,-25.70M,,0.10M,-540.10M,,0.00,18.50M,,0.00,,3.60M,,,,,,
1992-10,80.00M,,,,,,,67.10M,67.10M,,,,,,,0.10M,-37.70M,-255.30M,127.50M,39.70M,,-125.80M,21.40M,,-100.40M,,-100.40M,,,0.10M,-100.30M,,,,106.90M,3.10M,,3.10M,,-25.30M,,-0.10M,84.60M,,0.00,5.70M,,0.00,,3.10M,,,,,,
1992-07,80.10M,,,,,,,52.20M,52.20M,,,,,,,,-25.30M,-65.90M,37.40M,-20.20M,,-74.00M,58.30M,,-186.80M,,-186.80M,,,-0.10M,-186.90M,,,,150.80M,2.60M,,2.60M,,-25.40M,,,128.00M,,0.00,-0.60M,,0.00,,2.60M,,,,,,
1992-04,51.50M,,,,,,,62.10M,62.10M,,,,,,,,9.10M,-30.50M,1.50M,-42.10M,,-62.00M,51.60M,,-78.20M,,-78.20M,,,-60.00M,-138.20M,,,,88.30M,7.50M,,7.50M,,-25.30M,,,70.50M,,33.70M,-16.10M,,0.00,,7.50M,,,,,,
1992-01,200.30M,,,,,,,61.40M,61.40M,,,,,,,0.10M,7.50M,189.40M,-141.40M,56.80M,,112.30M,374.10M,,-112.10M,,-112.10M,,,0.00,-112.10M,,,,-215.90M,2.90M,,2.90M,,-25.30M,,0.10M,-238.20M,,0.00,23.80M,,0.00,,2.90M,,,,,,
1991-10,72.90M,,,,,,,55.30M,55.30M,,,,,,,-0.10M,-71.20M,-201.00M,138.50M,15.00M,,-118.70M,9.40M,,-162.30M,,-162.30M,,,0.10M,-162.20M,,,,172.40M,2.70M,,2.70M,,-25.30M,,-0.10M,149.70M,,0.00,-3.10M,,0.00,,2.70M,,,,,,
1991-07,79.20M,,,,,,,54.40M,54.40M,,,,,,,0.00,-27.40M,-103.30M,52.20M,0.10M,,-78.40M,55.20M,,-154.80M,,-154.80M,,,-18.80M,-173.60M,,,,136.90M,5.40M,,5.40M,,-25.30M,,0.10M,117.10M,,0.00,-1.30M,,0.00,,5.40M,,,,,,
1991-04,50.90M,,,,,,,51.60M,51.60M,,,,,,,-0.10M,25.60M,-30.00M,-40.50M,-20.60M,,-65.50M,36.90M,,-93.90M,,-93.90M,,,,-93.90M,,,,79.90M,3.60M,,3.60M,,-25.20M,,-0.10M,58.20M,,13.20M,1.20M,,0.00,,3.60M,,,,,,
1991-01,172.10M,,,,,,,50.00M,50.00M,,,,,,,-0.10M,14.20M,160.50M,-96.60M,46.80M,,124.90M,346.90M,,-93.70M,,-93.70M,,,-8.90M,-102.60M,,,,-227.50M,1.90M,,1.90M,,-21.60M,,,-247.30M,,0.00,-3.00M,,0.00,,1.90M,,,,,,
1990-10,85.00M,,,,,,,47.40M,47.40M,,,,,,,0.00,-46.90M,-183.70M,83.10M,-12.70M,,-160.20M,-27.80M,,-132.30M,,-132.30M,,,0.00,-132.30M,,,,183.70M,2.50M,,2.50M,,-21.60M,,,164.60M,,0.00,4.50M,,0.00,,2.50M,,,,,,
1990-07,79.00M,,,,,,,44.40M,44.40M,,,,,,,0.10M,-36.40M,-47.50M,63.00M,-49.80M,,-70.70M,52.80M,,-122.10M,,-122.10M,,,-11.30M,-133.40M,,,,91.90M,1.80M,,1.80M,,-21.60M,,,72.10M,,0.00,-8.50M,,0.00,,1.80M,,,,,,
1990-04,62.30M,,,,,,,42.60M,42.60M,,,,,,,,-4.70M,-31.10M,-10.50M,-6.00M,,-52.30M,52.60M,,-80.70M,,-80.70M,,,,-80.70M,,,,46.70M,1.40M,,1.40M,,-21.60M,,,26.50M,,21.70M,-1.60M,,0.00,,1.40M,,,,,,
