,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-12,16.65M,,,,,2.10M,,15.10M,15.10M,,,,,7.077M,-10.55M,2.846M,31.28M,-2.128M,-1.865M,-9.654M,9.922M,54.86M,,2006-12,-14.91M,,38.08M,,-47.45M,-23.60M,-73.70M,,2006-12,,,-0.906M,1.412M,,1.412M,,0.094M,0.60M,2006-12,238.42M,-18.24M,3.431M,,2006-12,1.412M,,,,,,Restated
2006-09,23.15M,,,,,,,13.86M,13.86M,,,,,-45.35M,-1.607M,-1.73M,3.444M,18.04M,43.69M,-1.623M,60.21M,51.87M,,2006-09,-13.23M,,-13.23M,,-29.17M,-55.86M,-62.29M,,2006-09,,,-0.808M,3.044M,,3.044M,,0.791M,3.027M,2006-09,245.65M,-7.386M,0.158M,,2006-09,3.044M,,,,,,
2006-06,32.27M,,,,,-0.815M,,13.46M,13.46M,,,,,2.024M,-4.69M,-13.14M,17.34M,9.41M,-2.649M,0.352M,6.623M,53.56M,,2006-06,-13.53M,,-13.53M,,31.14M,-60.31M,-79.99M,,2006-06,,,0.523M,3.144M,,3.144M,,0.50M,3.839M,2006-06,265.59M,-22.59M,2.65M,,2006-06,3.144M,,,,,,
2006-03,31.20M,,,,,0.815M,,12.97M,12.97M,,,,,,-8.65M,-10.78M,-30.96M,-8.418M,-39.18M,10.92M,-87.06M,-42.07M,,2006-03,-11.32M,,-11.32M,,-0.586M,-15.63M,8.237M,,2006-03,,,0.045M,2.323M,,2.323M,,,2.696M,2006-03,296.72M,-31.14M,0.009M,,2006-03,2.323M,,,,,,
2005-12,13.50M,,,,,,,16.42M,16.42M,,,,,32.90M,-5.386M,9.521M,16.91M,-6.75M,6.983M,,21.27M,49.39M,,2005-12,-9.758M,,-9.758M,,-0.698M,17.91M,8.123M,,2005-12,,,-5.209M,1.996M,,1.996M,,0.00,-3.213M,2005-12,243.98M,54.30M,-1.567M,,2005-12,1.996M,,,,,,
2005-09,16.22M,,,,,,,14.49M,14.49M,,,,,-16.12M,-2.29M,-11.90M,19.71M,-1.21M,3.94M,8.23M,16.48M,31.07M,,2005-09,-8.706M,,-8.706M,,34.59M,-23.26M,-37.29M,,2005-09,,,-2.992M,2.403M,,2.403M,,0.00,-0.589M,2005-09,252.13M,-6.805M,-1.347M,,2005-09,2.403M,,,,,,
2005-06,18.39M,,,,,,,14.92M,14.92M,,,,,,-2.607M,-8.721M,-4.481M,-2.83M,-20.38M,8.647M,-30.37M,2.935M,,2005-06,-7.817M,,-7.817M,,-38.24M,-27.67M,-70.89M,,2005-06,,,0.82M,1.808M,,1.808M,,-0.331M,2.297M,2005-06,317.90M,-65.66M,-0.107M,,2005-06,1.808M,,,,,,
2005-03,33.49M,,,,,,,15.17M,15.17M,,,,,,2.583M,-7.60M,-11.64M,-1.31M,11.06M,-16.88M,-23.78M,24.88M,,2005-03,-9.774M,,-9.774M,,,101.98M,93.88M,,2005-03,,,0.087M,2.708M,,2.708M,,,2.795M,2005-03,195.73M,121.56M,0.601M,,2005-03,2.708M,,,,,,
2004-12,19.02M,,,,,,,18.77M,18.77M,,,,,7.587M,-15.27M,3.033M,22.97M,2.928M,-2.111M,,11.56M,51.03M,,2004-12,-18.87M,0.00,-18.87M,,-0.539M,-107.61M,-121.10M,,2004-12,,,200.16M,2.443M,,2.443M,,,199.73M,2004-12,66.51M,129.67M,-0.446M,,2004-12,2.443M,,,,,,
2004-09,6.29M,,,,,,,13.85M,13.85M,,,,,5.806M,15.88M,-3.93M,2.626M,-13.76M,-0.925M,-2.799M,-2.914M,24.52M,,2004-09,-12.57M,19.78M,7.205M,,-30.90M,26.26M,-19.79M,,2004-09,,,-11.27M,1.508M,,1.508M,,,-9.758M,2004-09,155.33M,-5.026M,-0.542M,,2004-09,1.508M,,,,,,
2004-06,20.27M,,,,,,,12.38M,12.38M,,,,,,-8.635M,-5.785M,-6.722M,11.86M,-8.242M,5.957M,-11.57M,20.24M,,2004-06,-15.64M,,-15.64M,,-9.544M,16.77M,5.387M,,2004-06,,,1.912M,1.365M,,1.365M,,,3.277M,2004-06,42.15M,28.90M,1.032M,,2004-06,1.365M,,,,,,
2004-03,22.62M,,,,,,,10.50M,10.50M,,,,,,3.627M,1.182M,-17.78M,2.476M,8.478M,-3.158M,-5.172M,27.31M,,2004-03,-13.42M,,-13.42M,,-18.00M,-18.58M,-50.82M,,2004-03,,,-2.172M,2.148M,,2.148M,,,-0.024M,2004-03,65.40M,-23.54M,0.293M,,2004-03,2.148M,,,,,,
2003-12,19.22M,,,,,-16.56M,,10.84M,10.84M,,,,,,-1.189M,5.518M,-3.088M,12.71M,-3.721M,,10.23M,38.08M,,2003-12,-21.33M,,-21.33M,,-0.806M,-84.69M,-112.23M,,2003-12,,,-15.03M,1.239M,,1.239M,,14.90M,1.104M,2003-12,140.75M,-73.05M,-2.302M,,2003-12,1.239M,,,,,,
2003-09,8.348M,,,,,31.26M,,10.66M,10.66M,,,,,,-3.934M,-2.653M,22.06M,-20.17M,12.00M,-15.91M,-8.608M,42.97M,,2003-09,-22.30M,,-22.30M,,-15.57M,-3.006M,-37.73M,,2003-09,,,122.24M,0.992M,,0.992M,,-14.90M,108.34M,2003-09,28.83M,113.58M,-1.655M,,2003-09,0.992M,,,,,,
2003-06,22.27M,,,,,,,10.60M,10.60M,,,,,,13.09M,-6.667M,-8.262M,-15.86M,-2.39M,13.41M,-6.683M,24.87M,,2003-06,-14.39M,,-14.39M,,5.957M,-1.119M,-19.55M,,2003-06,,,-0.696M,1.836M,,1.836M,,,1.14M,2003-06,25.22M,6.464M,-2.859M,,2003-06,1.836M,,,,,,
2003-03,26.36M,,,,,,,9.896M,9.896M,,,,,,2.036M,-4.398M,-12.31M,9.12M,-11.48M,2.496M,-14.54M,21.72M,,2003-03,-10.98M,,-10.98M,,-5.957M,-1.049M,-20.73M,,2003-03,,,-3.654M,1.242M,,1.242M,,,-2.412M,2003-03,27.73M,-1.42M,-1.09M,,2003-03,1.242M,,,,,,
2002-12,16.90M,,,,,-0.846M,,-27.43M,-27.43M,,,,,,-2.218M,14.15M,-1.25M,9.867M,-10.79M,37.23M,46.98M,35.61M,,2002-12,-10.97M,,-10.97M,,0.00,-0.433M,-12.68M,,2002-12,,,-36.90M,0.358M,,0.358M,,,-36.55M,2002-12,39.25M,-13.62M,2.105M,,2002-12,0.358M,,,,,,
2002-09,16.62M,,,,,-0.188M,,10.09M,10.09M,,,,,,-4.56M,-5.149M,8.141M,-0.292M,7.517M,,5.657M,32.18M,,2002-09,-12.28M,,-12.28M,,0.00,-0.847M,-12.98M,,2002-09,,,-10.19M,1.109M,,1.109M,,,-9.084M,2002-09,25.66M,10.12M,3.474M,,2002-09,1.109M,,,,,,
2002-06,16.23M,,,,,1.034M,,8.523M,8.523M,,,,,,8.877M,-6.389M,2.563M,-6.783M,-1.934M,-2.289M,-5.955M,19.83M,,2002-06,-10.53M,,-10.53M,,-8.568M,0.124M,-20.21M,,2002-06,,,-23.16M,3.207M,,3.207M,,-1.541M,-21.49M,2002-06,44.95M,-21.87M,2.583M,,2002-06,3.207M,,,,,,
2002-03,18.77M,,,,,,,8.817M,8.817M,,,,,,-2.099M,-2.609M,-9.454M,-2.792M,5.211M,2.289M,-9.454M,18.14M,,2002-03,-8.443M,,-8.443M,,,-0.238M,-8.584M,,2002-03,,,-14.20M,0.66M,,0.66M,,1.541M,-12.00M,2002-03,47.13M,-2.45M,0.267M,,2002-03,0.66M,,,,,,
2001-12,17.02M,,,,,-0.237M,,10.61M,10.61M,,,,,13.17M,-16.00M,13.42M,-1.572M,-1.467M,7.165M,,1.546M,40.41M,,2001-12,-11.16M,,-11.16M,,0.00,-0.189M,-11.22M,,2001-12,,,-14.52M,1.871M,,1.61M,,,-12.91M,2001-12,32.33M,16.28M,-1.478M,,2001-12,1.871M,,,,,,
2001-09,7.047M,,,,,0.901M,,10.44M,10.44M,,,,,3.011M,7.379M,-13.66M,6.812M,-0.725M,0.873M,,0.683M,22.08M,,2001-09,-12.42M,,-12.42M,,-4.65M,0.027M,-17.94M,,2001-09,,,-1.145M,0.692M,,0.692M,,,-0.453M,2001-09,26.07M,3.689M,2.571M,,2001-09,0.692M,,,,,,
2001-06,11.56M,,,,,-0.144M,,9.944M,9.944M,,,,,10.22M,2.663M,-6.581M,3.575M,0.988M,5.352M,-2.79M,3.207M,34.78M,,2001-06,-10.37M,,-10.37M,,,0.03M,-10.22M,,2001-06,,,-8.739M,1.526M,,1.526M,,,-7.213M,2001-06,9.994M,17.36M,-1.283M,,2001-06,1.526M,,,,,,
2001-03,8.569M,,,,,-1.12M,,10.30M,10.30M,,,,,,-16.64M,-7.18M,2.885M,-1.596M,4.21M,2.79M,-15.54M,2.215M,,2001-03,-9.278M,,-9.278M,,,0.062M,-8.16M,,2001-03,,,-0.438M,0.853M,,0.853M,,,0.415M,2001-03,13.95M,-5.53M,1.57M,,2001-03,0.853M,,,,,,
2000-12,9.862M,,,,,-1.192M,,10.88M,10.88M,,,,,-1.591M,3.911M,-4.735M,5.313M,0.106M,-31.04M,10.98M,-15.46M,5.882M,,2000-12,-7.465M,7.118M,-0.347M,,,0.125M,0.188M,,2000-12,,,0.384M,0.689M,,0.311M,,-4.50M,-3.805M,2000-12,8.586M,2.265M,3.103M,,2000-12,0.689M,,,,,,
2000-09,13.92M,,,,,-2.259M,,10.70M,10.70M,,,,,-4.724M,-4.744M,0.824M,0.477M,-2.378M,5.563M,-10.98M,-11.24M,6.40M,,2000-09,-6.884M,27.00M,20.12M,,,0.14M,22.50M,,2000-09,,,-41.31M,-0.059M,,-0.059M,,4.50M,-36.87M,2000-09,13.07M,-7.971M,3.486M,,2000-09,-0.059M,,,,,,
2000-06,5.074M,,,,,-1.219M,,11.04M,11.04M,,,,,4.724M,-2.406M,-4.082M,1.126M,2.993M,0.07M,0.469M,-1.83M,17.79M,,2000-06,-8.739M,,-8.739M,,,0.099M,-7.509M,,2000-06,,,-9.383M,0.263M,,0.263M,,0.00,-9.12M,2000-06,15.32M,1.158M,-3.408M,,2000-06,0.263M,,,,,,
2000-03,2.955M,,,,,-2.634M,,10.69M,10.69M,,,,,,2.91M,-10.92M,-7.502M,0.193M,-1.041M,-0.469M,-16.83M,-5.822M,,2000-03,-8.318M,,-8.318M,,,0.105M,-5.883M,,2000-03,,,11.20M,1.495M,,1.495M,,-4.50M,8.19M,2000-03,17.09M,-3.515M,1.749M,,2000-03,1.495M,,,,,,
1999-12,-11.18M,,,,,-0.80M,,10.90M,10.90M,,,,,1.284M,-13.80M,8.90M,25.10M,6.30M,12.30M,,38.80M,22.10M,,1999-12,-210.10M,,-210.10M,,,-3.40M,-211.20M,,1999-12,,,196.80M,1.30M,-1.00M,0.30M,,-4.90M,192.20M,1999-12,11.80M,3.10M,2.30M,,1999-12,1.30M,,,-1.00M,,,
1999-09,4.30M,,,,,0.40M,,5.80M,5.80M,,,,,0.00,1.70M,-3.60M,5.00M,0.00,-3.80M,,-0.70M,9.80M,,1999-09,-9.00M,,-9.00M,,,8.50M,-3.00M,,1999-09,,,-5.90M,0.00,0.30M,0.30M,,,-5.60M,1999-09,11.60M,1.20M,-1.00M,,1999-09,0.00,,,0.30M,,,
1999-06,7.80M,,,,,-1.00M,,5.60M,5.60M,,,,,1.40M,4.10M,-0.40M,-1.20M,0.00,-4.60M,,-2.10M,11.70M,,1999-06,-6.40M,,-6.40M,,,-0.30M,-5.90M,,1999-06,,,-3.00M,0.00,0.30M,0.30M,,0.10M,-2.60M,1999-06,8.00M,3.20M,0.40M,,1999-06,0.00,,,0.30M,,,
1999-03,10.80M,,,,,-1.90M,,5.20M,5.20M,,,,,-1.30M,-8.10M,-0.80M,-2.70M,-0.70M,0.90M,,-11.40M,1.40M,,1999-03,-4.60M,,-4.60M,,,-0.40M,-3.20M,,1999-03,,,-0.10M,0.30M,-1.80M,-1.50M,,-0.10M,-1.70M,1999-03,10.10M,-3.50M,1.40M,,1999-03,0.30M,,,-1.80M,,,
1998-12,6.402M,,,,,0.20M,,5.675M,5.675M,,,,,-0.477M,-7.30M,5.30M,2.20M,4.80M,-0.10M,,4.90M,11.40M,,1998-12,-6.80M,,-6.80M,,,1.40M,-6.80M,,1998-12,,,2.50M,0.80M,,-3.90M,,0.10M,-1.30M,1998-12,0.00,3.30M,-1.70M,,1998-12,0.80M,,,,,,
1998-09,2.00M,,,,,-0.40M,,5.10M,5.10M,,,,,0.40M,6.40M,-2.60M,1.20M,-0.90M,-2.70M,,1.40M,8.50M,,1998-09,-6.20M,,-6.20M,,,4.70M,-2.90M,,1998-09,,,-9.30M,0.10M,,0.10M,,-0.10M,-9.30M,1998-09,0.00,-3.70M,-1.30M,,1998-09,0.10M,,,,,,
1998-06,7.10M,,,,,-5.90M,,5.10M,5.10M,,,,,-0.50M,2.00M,0.00,-2.80M,1.30M,1.20M,,1.70M,7.50M,,1998-06,-4.00M,,-4.00M,,,-6.90M,-10.00M,,1998-06,,,1.60M,0.80M,,0.80M,,,2.40M,1998-06,0.00,-0.10M,0.90M,,1998-06,0.80M,,,,,,
