,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2000-12,177.83M,177.83M,42.05M,135.78M,61.05M,16.52M,,3.983M,,,,,120.88M,14.90M,,,,3.983M,,12.19M,2.327M,9.862M,,,9.152M,10.88M,14.90M,,2000-12,0.40,0.37,,2000-12,0.40,-0.03,,2000-12,24.46M,2000-12,,
2000-09,175.76M,175.76M,84.09M,91.67M,60.06M,16.37M,,13.56M,,,,,76.44M,15.24M,,,,13.56M,,21.45M,7.527M,13.92M,,,13.92M,10.70M,15.24M,,2000-09,0.57,0.57,,2000-09,0.57,0.00,,2000-09,24.43M,2000-09,,
2000-06,186.83M,186.83M,87.19M,99.63M,64.00M,17.38M,,-2.985M,,,,,81.38M,18.25M,,,,-2.985M,,7.462M,2.388M,5.074M,,,5.074M,11.04M,18.25M,,2000-06,0.21,0.21,,2000-06,0.205,0.00,,2000-06,24.44M,2000-06,,
2000-03,185.46M,185.46M,76.03M,109.43M,62.50M,17.87M,,-5.265M,,,,-10.69M,80.37M,29.06M,,,,-5.265M,,4.346M,1.391M,2.955M,,,2.955M,10.69M,29.06M,,2000-03,0.12,0.12,,2000-03,0.12,0.00,,2000-03,24.35M,2000-03,,
1999-12,200.30M,200.30M,86.33M,113.97M,71.97M,18.81M,,-17.84M,,,,,101.67M,12.30M,,,,-17.84M,,-15.68M,-4.505M,-11.18M,,,-11.18M,10.90M,12.30M,,1999-12,-0.46,-0.46,,1999-12,-0.465,0.00,,1999-12,24.18M,1999-12,,
1999-09,113.50M,113.50M,46.10M,67.40M,43.60M,11.00M,,-0.30M,,,,,60.40M,7.00M,,,,-0.30M,,6.00M,1.70M,4.30M,,,4.30M,5.80M,7.00M,,1999-09,0.175,0.175,,1999-09,0.175,0.00,,1999-09,24.57M,1999-09,,
1999-06,115.79M,115.79M,45.00M,70.79M,41.80M,10.90M,,-0.70M,,,,,58.30M,12.49M,,,,-0.70M,,11.10M,3.20M,7.90M,,,7.90M,5.60M,12.49M,,1999-06,0.325,0.325,,1999-06,0.325,0.00,,1999-06,24.31M,1999-06,,
1999-03,125.74M,125.74M,50.30M,75.44M,43.00M,10.50M,,-0.60M,,,,,58.70M,16.74M,,,,-0.60M,,15.10M,4.30M,10.80M,,,10.80M,5.20M,16.74M,,1999-03,0.445,0.445,,1999-03,0.445,0.00,,1999-03,24.27M,1999-03,,
1998-12,124.76M,124.76M,50.26M,74.50M,49.30M,10.58M,,0.914M,,,,,65.56M,8.945M,,,,0.914M,,9.028M,2.626M,6.402M,,,6.402M,5.675M,8.945M,,1998-12,0.26,0.26,,1998-12,0.26,0.00,,1998-12,24.55M,1998-12,,
1998-09,99.00M,99.00M,40.30M,58.70M,41.00M,10.20M,,1.30M,,,,,56.30M,2.40M,,,,1.30M,,2.70M,0.80M,1.90M,,,1.90M,5.10M,2.40M,,1998-09,0.08,0.08,,1998-09,0.08,0.00,,1998-09,23.75M,1998-09,,
1998-06,107.90M,107.90M,43.90M,64.00M,41.50M,10.60M,,4.40M,,,,,57.20M,6.80M,,,,4.40M,,10.10M,2.90M,7.20M,,,7.20M,5.10M,6.80M,,1998-06,0.29,0.29,,1998-06,0.29,0.00,,1998-06,24.83M,1998-06,,
