,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-06,183.64M,43.51M,227.16M,376.98M,,376.98M,,,,,382.68M,,,,132.96M,1.120B,,,,,,653.44M,-362.70M,290.74M,347.44M,221.68M,569.12M,,,119.28M,,2008-06,102.32M,,,102.32M,105.07M,207.39M,14.68M,,14.68M,,14.68M,,,,186.02M,408.09M,440.69M,,440.69M,,32.18M,103.41M,544.10M,952.19M,,831.96M,110.80M,,171.80M,,171.80M,1.115B,,2008-06,,Restated
2008-03,129.48M,47.64M,177.12M,366.51M,,366.51M,70.00M,101.30M,193.80M,-0.041M,365.06M,140.34M,,,,1.049B,0.00,12.30M,188.10M,449.90M,-0.027M,650.27M,-362.70M,287.57M,352.67M,232.61M,585.28M,,,131.40M,,2008-03,98.93M,,,98.93M,137.44M,236.37M,15.68M,,15.68M,,15.68M,,,,135.40M,387.45M,442.45M,,442.45M,48.77M,30.25M,62.11M,553.33M,940.77M,,788.56M,106.00M,,187.71M,,187.71M,1.082B,,2008-03,,Restated
2007-12,161.76M,61.98M,223.74M,358.08M,,358.08M,61.56M,88.38M,171.08M,,321.02M,89.69M,,36.45M,,1.029B,0.00,11.93M,181.77M,420.63M,,614.33M,-342.77M,271.56M,328.44M,210.30M,538.74M,,20.43M,111.89M,,2007-12,96.47M,27.90M,,124.38M,44.07M,168.44M,4.63M,11.00M,15.63M,,15.63M,,2.134M,2.134M,106.71M,414.17M,441.80M,,441.80M,51.22M,,92.72M,585.74M,999.90M,,762.07M,98.63M,,110.99M,,110.99M,971.69M,,2007-12,,Restated
2007-09,472.79M,70.61M,543.40M,303.20M,,303.20M,,,,,273.58M,,,,99.38M,1.220B,,,,,,501.14M,-299.53M,201.61M,121.49M,42.54M,164.03M,,,127.29M,,2007-09,68.10M,,,68.10M,126.27M,194.37M,4.907M,,4.907M,,4.907M,,,,87.18M,286.46M,426.14M,,426.14M,12.05M,,41.49M,479.68M,766.14M,,749.71M,94.09M,,102.54M,,102.54M,946.34M,,2007-09,,
2007-06,232.40M,270.46M,502.87M,303.27M,,303.27M,,,,,265.18M,96.42M,,,,1.168B,,,,,,491.13M,-299.53M,191.60M,121.49M,44.27M,165.76M,,,129.64M,,2007-06,67.23M,,,67.23M,114.14M,181.37M,4.604M,,4.604M,,4.604M,,,,95.88M,281.85M,426.16M,,426.16M,11.34M,,38.59M,476.10M,757.94M,,721.74M,89.29M,,85.76M,,85.76M,896.80M,,2007-06,,
2007-03,230.31M,241.42M,471.73M,290.12M,,290.12M,,,,,259.96M,107.88M,,,,1.130B,,,,,,488.29M,-299.53M,188.76M,119.49M,44.22M,163.71M,,,124.88M,,2007-03,61.95M,,,61.95M,115.14M,177.08M,4.609M,,4.609M,,4.609M,,,,90.40M,272.09M,425.50M,,425.50M,12.21M,,36.58M,474.29M,746.38M,,696.07M,85.63M,,78.96M,,78.96M,860.66M,,2007-03,,
2006-12,223.61M,264.47M,488.08M,292.97M,,292.97M,59.36M,57.68M,136.01M,,253.04M,59.82M,,35.86M,,1.130B,0.00,9.577M,121.98M,357.60M,,489.15M,-299.53M,189.63M,119.49M,44.60M,164.10M,,9.10M,103.57M,,2006-12,83.41M,,,83.41M,132.74M,216.15M,2.539M,0.503M,3.042M,,3.042M,,2.445M,2.445M,97.90M,319.53M,425.62M,,425.62M,7.512M,,23.96M,457.10M,776.63M,,674.07M,78.23M,,67.24M,,67.24M,819.54M,,2006-12,,Restated
2006-09,238.42M,243.16M,481.57M,273.37M,,273.37M,52.40M,60.10M,133.70M,0.007M,246.21M,91.57M,,,,1.093B,0.00,9.50M,120.80M,340.40M,0.028M,470.73M,-288.00M,182.73M,113.28M,24.93M,138.20M,,,109.99M,,2006-09,64.51M,,,64.51M,124.50M,189.01M,3.768M,,3.768M,,3.768M,,,,88.53M,281.31M,425.75M,,425.75M,7.577M,,24.26M,457.58M,738.90M,,657.42M,75.27M,,52.04M,,52.04M,784.74M,,2006-09,,
2006-06,245.65M,188.32M,433.96M,273.01M,,273.01M,52.30M,63.00M,129.00M,0.039M,244.34M,106.86M,,,,1.058B,0.00,9.60M,120.30M,339.00M,,468.90M,-285.12M,183.78M,113.28M,26.24M,139.51M,,,112.57M,,2006-06,69.30M,,,69.30M,122.78M,192.08M,4.478M,,4.478M,,4.478M,,,,84.46M,281.02M,425.87M,,425.87M,7.18M,,23.85M,456.90M,737.92M,,634.27M,68.77M,,53.07M,,53.07M,756.11M,,2006-06,,
2006-03,265.59M,129.18M,394.76M,259.23M,,259.23M,169.90M,55.90M,,0.044M,225.84M,,,,111.81M,991.65M,0.00,9.723M,121.52M,332.42M,,463.67M,-282.90M,180.77M,113.28M,27.27M,140.54M,,,101.82M,,2006-03,66.64M,,,66.64M,109.54M,176.18M,3.785M,,3.785M,,3.785M,,,,79.17M,259.13M,425.97M,,425.97M,4.833M,,22.19M,453.00M,712.13M,,602.00M,64.00M,,36.65M,,36.65M,702.66M,,2006-03,,
2005-12,296.72M,116.34M,413.06M,247.19M,,247.19M,48.27M,51.60M,112.47M,,212.34M,68.50M,36.14M,30.98M,,1.008B,0.00,9.837M,120.02M,322.35M,,452.21M,-271.95M,180.26M,,141.72M,141.72M,,,96.39M,,2005-12,72.95M,,,72.95M,81.08M,154.03M,2.95M,0.391M,3.341M,,3.341M,,,,161.88M,319.24M,425.69M,,425.69M,2.281M,,21.40M,449.36M,768.61M,,570.81M,60.11M,,27.05M,,27.05M,657.97M,,2005-12,,
2005-09,243.98M,114.52M,358.50M,244.47M,,244.47M,49.90M,54.80M,118.40M,,223.15M,90.70M,35.83M,,,952.64M,0.00,9.80M,117.20M,317.14M,,444.14M,-262.10M,182.04M,,163.98M,163.98M,,,127.32M,,2005-09,68.08M,,,68.08M,107.65M,175.73M,8.985M,,8.985M,,8.985M,,,,114.52M,299.23M,425.81M,,425.81M,,,51.99M,477.80M,777.03M,,557.36M,57.59M,,34.01M,,34.01M,648.96M,,2005-09,,
2005-06,252.13M,91.25M,343.38M,243.39M,,243.39M,45.80M,56.00M,109.73M,,211.53M,83.50M,35.56M,,,917.36M,0.00,9.90M,121.20M,316.60M,,447.70M,-257.90M,189.80M,,166.54M,166.54M,,,118.88M,,2005-06,69.25M,,,69.25M,150.74M,219.99M,11.48M,,11.48M,,11.48M,,,,59.38M,290.85M,425.86M,,425.86M,27.01M,,20.21M,473.08M,763.93M,,541.14M,54.80M,,32.70M,,32.70M,628.64M,,2005-06,,
2005-03,317.90M,65.91M,383.80M,250.97M,,250.97M,46.60M,52.10M,110.20M,,208.92M,77.36M,,,,921.06M,0.00,9.90M,114.70M,327.70M,0.003M,452.30M,-255.00M,197.30M,,169.77M,169.77M,,,110.78M,,2005-03,67.14M,,,67.14M,110.80M,177.94M,9.658M,,9.658M,,9.658M,,,,110.88M,298.48M,425.81M,,425.81M,26.59M,,23.75M,476.15M,774.63M,,522.75M,52.68M,,48.85M,,48.85M,624.29M,,2005-03,,
2004-12,195.73M,165.90M,361.63M,261.24M,,261.24M,44.95M,48.21M,112.36M,,205.51M,54.34M,,25.73M,,908.46M,0.00,9.959M,119.43M,321.22M,,450.61M,-248.28M,202.32M,,171.91M,171.91M,,6.16M,82.76M,,2004-12,71.19M,,,71.19M,118.38M,189.57M,9.055M,0.402M,9.457M,,9.457M,,,,116.35M,315.38M,425.98M,,425.98M,,,33.38M,459.36M,774.73M,,489.25M,49.63M,,58.00M,,58.00M,596.89M,,2004-12,,
2004-09,125.15M,,125.15M,228.19M,,228.19M,,,,,200.18M,104.63M,,,,658.15M,,,,,,420.25M,-228.10M,192.15M,,173.74M,173.74M,,,68.33M,,2004-09,55.52M,,,55.52M,69.97M,125.49M,,,8.457M,,8.457M,,,,138.42M,272.37M,226.01M,,226.01M,15.80M,,24.34M,266.16M,538.53M,,472.14M,47.19M,,34.51M,,34.51M,553.84M,,2004-09,,
2004-06,155.33M,,155.33M,234.00M,,234.00M,45.80M,36.10M,106.66M,,188.56M,82.49M,,,,660.39M,0.00,9.90M,108.00M,2.265B,,2.383B,-2.196B,186.23M,,105.89M,105.89M,,,70.25M,,2004-06,67.34M,,,67.34M,59.46M,126.80M,,,9.987M,,9.987M,,,,74.35M,211.14M,226.10M,,226.10M,15.96M,,25.04M,267.10M,478.24M,,465.85M,45.68M,,32.99M,,32.99M,544.52M,,2004-06,,
2004-03,141.55M,,141.55M,228.92M,,228.92M,45.70M,38.20M,106.13M,,190.03M,102.44M,,,,662.95M,0.00,9.90M,106.10M,283.80M,,399.80M,-216.84M,182.96M,,72.74M,72.74M,,,78.91M,,2004-03,57.03M,,,57.03M,59.76M,116.79M,,,8.53M,,8.53M,,,,95.87M,221.20M,226.17M,,226.17M,14.58M,,17.29M,258.04M,479.24M,,442.99M,44.31M,,31.02M,,31.02M,518.32M,,2004-03,,
2003-12,65.40M,83.25M,148.64M,234.08M,,234.08M,38.78M,38.80M,112.68M,,190.26M,51.36M,,31.06M,,655.40M,0.00,9.882M,105.96M,273.12M,,388.97M,-209.84M,179.12M,,81.75M,81.75M,,21.22M,55.10M,,2003-12,54.00M,,,54.00M,105.82M,159.81M,10.22M,0.208M,10.42M,,10.42M,,,,69.02M,239.25M,225.84M,,225.84M,14.80M,,16.90M,257.54M,496.79M,,421.01M,42.16M,,32.63M,,32.63M,495.81M,,2003-12,,
2003-09,140.75M,,140.75M,217.67M,,217.67M,41.20M,39.90M,108.10M,,189.19M,78.13M,,,,625.74M,0.00,9.80M,99.70M,273.50M,0.043M,383.04M,-218.60M,164.44M,,69.52M,69.52M,,,65.98M,,2003-09,60.52M,,,60.52M,77.13M,137.64M,9.612M,,9.612M,,9.612M,,,,85.07M,232.33M,225.20M,,225.20M,8.822M,,,234.02M,466.34M,,401.82M,40.21M,,,,17.30M,459.34M,,2003-09,,
2003-06,28.83M,,28.83M,211.92M,,211.92M,41.40M,40.50M,104.40M,,186.28M,67.36M,,,,494.39M,0.00,9.80M,89.00M,267.70M,0.016M,366.52M,-214.60M,151.92M,,69.52M,69.52M,,,59.55M,,2003-06,52.89M,,,52.89M,,52.89M,13.40M,,13.40M,,13.40M,,,,152.82M,219.12M,98.94M,,98.94M,8.721M,,,107.66M,326.78M,,392.16M,39.22M,,,,17.21M,448.59M,,2003-06,,
2003-03,25.22M,,25.22M,213.96M,,213.96M,,,,,172.92M,61.71M,,,,473.80M,,,,,,343.03M,-198.40M,144.63M,,69.52M,69.52M,,,51.44M,,2003-03,79.00M,,,79.00M,62.13M,141.13M,11.15M,,11.15M,,11.15M,,,,64.92M,217.19M,98.86M,,98.86M,9.339M,,,108.20M,325.39M,,371.20M,37.38M,,,,5.414M,414.00M,,2003-03,,
2002-12,27.73M,,27.73M,212.28M,,212.28M,40.56M,30.79M,95.02M,,166.37M,22.36M,,37.05M,,465.80M,0.00,9.572M,80.53M,239.40M,,329.51M,-187.27M,142.24M,,69.52M,69.52M,,,43.15M,,2002-12,75.23M,,,75.23M,72.21M,147.45M,6.726M,0.76M,7.486M,,7.486M,,,,67.08M,222.01M,105.77M,,105.77M,9.839M,,,115.61M,337.62M,,344.84M,36.14M,,,,2.102M,383.09M,,2002-12,,
2002-09,39.25M,,39.25M,201.26M,,201.26M,40.45M,32.27M,87.96M,,160.68M,61.34M,,,,462.54M,0.00,9.581M,78.14M,224.86M,,312.58M,-172.86M,139.72M,,74.57M,74.57M,,,42.20M,,2002-09,68.50M,,,68.50M,65.90M,134.40M,10.38M,,10.38M,,10.38M,,,,67.80M,212.58M,139.12M,,139.12M,10.79M,,,149.92M,362.50M,,328.60M,34.66M,,-6.737M,,-6.737M,356.52M,,2002-09,,
2002-06,25.66M,,25.66M,199.97M,,199.97M,35.84M,30.02M,88.91M,,154.78M,61.42M,,,,441.83M,0.00,9.587M,77.32M,218.21M,,305.11M,-167.28M,137.84M,,75.87M,75.87M,,,48.58M,,2002-06,69.41M,,,69.41M,55.94M,125.35M,11.16M,,11.16M,,11.16M,,,,66.19M,202.70M,149.42M,,149.42M,11.09M,,,160.51M,363.21M,,311.98M,33.75M,,-4.822M,,-4.822M,340.91M,,2002-06,,
2002-03,44.95M,,44.95M,196.00M,,196.00M,34.43M,26.43M,80.81M,,141.67M,53.26M,,,,435.88M,0.00,9.522M,75.78M,197.84M,,283.14M,-150.36M,132.78M,,75.87M,75.87M,,,42.22M,,2002-03,67.85M,,,67.85M,50.72M,118.57M,10.10M,,10.10M,,10.10M,,,,65.79M,194.45M,174.34M,,174.34M,13.03M,,,187.37M,381.82M,,295.54M,32.83M,0.53M,-22.90M,,-22.90M,304.94M,,2002-03,,
2001-12,47.13M,,47.13M,194.40M,,194.40M,33.49M,28.72M,76.98M,,139.18M,22.58M,,27.54M,,430.83M,0.00,9.658M,75.23M,191.28M,,276.17M,-143.20M,132.97M,,75.87M,75.87M,,,44.35M,,2001-12,64.90M,,,64.90M,58.43M,123.34M,4.211M,5.72M,9.931M,,9.931M,,,,65.84M,199.11M,188.42M,,188.42M,12.62M,,,201.04M,400.15M,,276.55M,32.17M,1.863M,-22.99M,,-22.99M,283.88M,,2001-12,,
2001-09,32.33M,,32.33M,186.39M,,186.39M,40.74M,30.26M,87.95M,,158.95M,42.31M,,,,419.97M,0.00,9.686M,75.06M,189.71M,,274.46M,-143.16M,131.30M,,84.72M,84.72M,,,48.51M,,2001-09,67.84M,,,67.84M,,67.84M,19.99M,,19.99M,,19.99M,,,,126.86M,214.69M,191.28M,,191.28M,6.205M,,,197.49M,412.18M,,259.35M,19.53M,3.119M,-15.93M,,-15.93M,272.32M,,2001-09,,
2001-06,26.07M,,26.07M,186.71M,,186.71M,39.18M,28.36M,74.74M,,142.28M,40.41M,,,,395.47M,0.00,11.06M,72.70M,176.91M,,260.67M,-131.69M,128.98M,,84.62M,84.62M,,,51.58M,,2001-06,60.62M,,,60.62M,,60.62M,17.33M,,17.33M,,17.33M,,,,123.26M,201.21M,194.72M,,194.72M,8.389M,,,203.10M,404.32M,,252.13M,19.47M,3.58M,-24.18M,,-24.18M,256.33M,,2001-06,,
2001-03,9.994M,,9.994M,191.79M,,191.79M,35.11M,30.35M,71.26M,,136.71M,42.04M,,,,380.54M,0.00,8.312M,65.84M,169.57M,,243.72M,-124.93M,118.79M,,87.88M,87.88M,,,63.67M,,2001-03,62.05M,,,62.05M,,62.05M,17.99M,,17.99M,,17.99M,,,,111.50M,191.54M,202.90M,,202.90M,9.173M,,,212.07M,403.61M,,240.40M,19.12M,4.574M,-20.27M,0.105M,-20.16M,247.26M,,2001-03,,
2000-12,13.95M,,13.95M,182.24M,,182.24M,32.99M,30.07M,69.46M,,132.52M,40.95M,,,,369.67M,0.00,8.337M,66.04M,180.83M,,255.20M,-136.17M,119.03M,,90.97M,90.97M,,,66.61M,,2000-12,62.96M,,,62.96M,,62.96M,18.15M,,18.15M,,18.15M,,,,108.20M,189.31M,203.36M,,203.36M,8.992M,,,212.35M,401.66M,,231.82M,19.12M,5.415M,-13.39M,,-13.39M,244.62M,,2000-12,,
2000-09,8.586M,,8.586M,,,182.62M,,,,,124.81M,,,,38.90M,354.92M,,,,,,238.55M,-119.11M,119.44M,,,,,,159.81M,,2000-09,56.08M,,,56.08M,,56.08M,,,13.79M,,13.79M,,,,113.96M,183.82M,211.63M,,211.63M,10.01M,,,221.64M,405.46M,,222.71M,19.10M,5.749M,-20.03M,0.194M,-19.84M,228.70M,,2000-09,,
2000-06,13.07M,,13.07M,,,193.66M,,,,,139.32M,,,,37.97M,384.03M,,,,,,251.08M,-125.08M,125.99M,,,,,,155.02M,,2000-06,59.12M,,,59.12M,,59.12M,,,19.56M,,19.56M,,,,112.55M,191.23M,242.94M,,242.94M,8.527M,,,251.46M,442.70M,,208.80M,19.10M,5.703M,-12.53M,0.192M,-12.34M,222.34M,,2000-06,,
2000-03,15.32M,,15.32M,,,189.57M,,,,,136.29M,,,,41.10M,382.28M,,,,,,247.25M,-121.12M,126.13M,,,,,,162.94M,,2000-03,61.40M,,,61.40M,,61.40M,,,13.80M,,13.80M,,,,110.75M,185.95M,258.06M,,258.06M,8.348M,,,266.41M,452.36M,,203.77M,19.10M,6.005M,-10.55M,0.207M,-10.35M,219.00M,,2000-03,,
1999-12,17.10M,,17.10M,,,193.90M,,,,,126.30M,,,,41.40M,378.70M,,,,,,250.50M,-124.60M,125.90M,,105.40M,105.40M,,,58.90M,,1999-12,64.70M,,,64.70M,,64.70M,,,22.00M,,22.00M,,,,115.80M,202.50M,239.20M,,239.20M,7.00M,,0.10M,246.30M,448.80M,,201.00M,18.80M,7.40M,-4.70M,,-4.70M,220.10M,,1999-12,,
1999-09,11.80M,,11.80M,,,105.20M,,,,,96.40M,,,,27.00M,240.40M,,,,,,205.00M,-120.00M,85.00M,,,,,,50.70M,,1999-09,22.30M,,,22.30M,,22.30M,,,9.70M,,9.70M,,,,60.10M,92.10M,35.40M,,35.40M,14.50M,,-0.10M,49.80M,141.90M,,212.20M,18.80M,7.70M,-1.50M,,-1.50M,234.20M,,1999-09,,
1999-06,11.60M,,11.60M,,,104.90M,,,,,91.70M,,,,26.80M,235.00M,,,,,,199.50M,-116.70M,82.80M,,,,,,53.50M,,1999-06,23.50M,,,23.50M,,23.50M,,,7.00M,,7.00M,,,,54.70M,85.20M,42.20M,,42.20M,15.10M,,,57.30M,142.50M,,208.00M,18.80M,8.00M,3.20M,,3.20M,228.80M,,1999-06,,
1999-03,8.00M,,8.00M,,,110.40M,,,,,91.70M,,,,26.80M,236.90M,,,,,,199.10M,-117.50M,81.60M,,,,,,51.10M,,1999-03,25.70M,,,25.70M,,25.70M,,,5.90M,,5.90M,,,,58.30M,89.90M,45.30M,,45.30M,13.50M,,,58.80M,148.70M,,200.20M,,,,,,220.90M,,1999-03,,
1998-12,10.10M,,10.10M,,,106.00M,,,,,92.40M,,,,26.90M,235.40M,,,,,,198.10M,-116.00M,82.10M,,18.60M,18.60M,,,31.20M,,1998-12,26.70M,,,26.70M,,26.70M,,,9.40M,,9.40M,,,,61.10M,97.20M,42.30M,,42.30M,13.40M,,0.10M,55.80M,153.00M,,189.80M,,,,,,214.30M,,1998-12,,
1998-09,8.30M,,8.30M,,,96.40M,,,,,96.90M,,,,28.50M,230.10M,,,,,,191.90M,-111.80M,80.10M,,,,,,51.40M,,1998-09,22.30M,,,22.30M,,22.30M,,,10.00M,,10.00M,,,,62.10M,94.40M,38.70M,,38.70M,16.50M,,,55.20M,149.60M,,183.50M,,,,,,212.00M,,1998-09,,
1998-06,13.50M,,13.50M,,,100.10M,,,,,93.40M,,,,31.10M,238.10M,,,,,,184.00M,-106.10M,77.90M,,,,,,54.30M,,1998-06,25.00M,,,25.00M,,25.00M,,,10.40M,,10.40M,,,,59.60M,95.00M,47.80M,,47.80M,17.20M,,,65.00M,160.00M,,182.00M,,,,,,210.30M,,1998-06,,
