,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-09,1.291B,4.49B,5.781B,2.124B,,2.124B,200.00M,1.054B,457.00M,1.711B,,1.04B,10.66B,,,,,,,7.956B,-2.283B,5.673B,11.21B,3.819B,15.02B,,1.232B,21.93B,32.59B,,569.00M,,,569.00M,3.946B,4.515B,1.773B,,,1.773B,1.773B,,6.288B,7.233B,7.233B,1.079B,1.079B,265.00M,8.577B,14.86B,,0.00,-5.789B,23.50B,,,10.00M,17.72B,,,
2006-06,1.947B,3.023B,4.97B,2.018B,,2.018B,196.00M,1.015B,309.00M,1.52B,,995.00M,9.503B,,,,,,,7.721B,-2.283B,5.438B,11.21B,3.965B,15.18B,,1.172B,21.78B,31.29B,,668.00M,,,668.00M,3.477B,4.145B,1.768B,,,1.768B,1.768B,,5.913B,7.232B,7.232B,1.064B,1.064B,240.00M,8.536B,14.45B,,23.24B,-6.385B,,,,-16.00M,16.84B,,,
2006-03,1.747B,3.30B,5.047B,1.794B,,1.794B,179.00M,783.00M,311.00M,1.273B,2.10B,943.00M,11.16B,,,,,,,7.405B,-2.283B,5.122B,10.49B,3.646B,14.14B,,898.00M,20.16B,31.32B,,442.00M,,,442.00M,3.178B,3.62B,1.763B,,,1.763B,1.763B,,5.383B,7.198B,7.198B,1.16B,1.16B,183.00M,8.541B,13.92B,,22.92B,-5.517B,,,,-7.00M,17.39B,,,
2005-12,1.84B,3.415B,5.255B,1.769B,,1.769B,145.00M,758.00M,355.00M,1.258B,,953.00M,9.235B,0.00,294.00M,2.485B,3.584B,,958.00M,7.321B,-2.283B,5.038B,,14.24B,14.24B,,787.00M,20.06B,29.30B,,596.00M,,,596.00M,2.999B,3.595B,,,,,,,3.595B,3.957B,3.957B,1.163B,1.163B,131.00M,5.251B,8.846B,,23.56B,-3.132B,,,,22.00M,20.45B,,,
2005-09,2.151B,3.40B,5.551B,1.664B,,1.664B,147.00M,654.00M,258.00M,1.059B,,919.00M,9.193B,,,,,,,6.974B,-2.08B,4.894B,,14.28B,14.28B,,770.00M,19.94B,29.13B,,497.00M,,,497.00M,2.855B,3.352B,1.754B,,,1.754B,1.754B,,5.106B,2.198B,2.198B,1.18B,1.18B,118.00M,3.496B,8.602B,,23.23B,-2.72B,,,,17.00M,20.53B,,,
2005-06,1.621B,2.819B,4.44B,1.707B,,1.707B,148.00M,595.00M,241.00M,984.00M,,894.00M,8.025B,,,,,,,6.943B,-2.08B,4.863B,,14.39B,14.39B,,759.00M,20.01B,28.04B,,503.00M,,,503.00M,2.675B,3.178B,1.749B,,,1.749B,1.749B,,4.927B,2.198B,2.198B,1.209B,1.209B,123.00M,3.53B,8.457B,,22.47B,-2.918B,,,,31.00M,19.58B,,,
2005-03,1.183B,2.852B,4.035B,1.584B,,1.584B,138.00M,600.00M,194.00M,932.00M,,873.00M,7.424B,,,,,,,6.87B,-2.08B,4.79B,,14.48B,14.48B,,722.00M,20.00B,27.42B,,549.00M,,,549.00M,2.485B,3.034B,1.744B,,,1.744B,1.744B,,4.778B,2.198B,2.198B,1.28B,1.28B,124.00M,3.602B,8.38B,,22.24B,-3.197B,,,,,19.04B,,,
2004-12,1.526B,4.282B,5.808B,1.461B,,1.461B,117.00M,565.00M,206.00M,888.00M,,1.013B,9.17B,0.00,285.00M,2.096B,3.109B,,1.302B,6.792B,-2.08B,4.712B,,14.56B,14.56B,,781.00M,20.05B,29.22B,,507.00M,,,507.00M,2.477B,2.984B,1.173B,,,1.173B,1.173B,,4.157B,3.937B,3.937B,1.294B,1.294B,128.00M,5.359B,9.516B,,22.08B,-2.376B,,,,3.00M,19.70B,,,
2004-09,986.00M,2.852B,3.838B,1.413B,,1.413B,107.00M,488.00M,121.00M,716.00M,,808.00M,6.775B,,,,,,,6.276B,-1.727B,4.549B,,14.72B,14.72B,,772.00M,20.04B,26.81B,,337.00M,,,337.00M,1.95B,2.287B,2.904B,,,2.904B,2.904B,,5.191B,200.00M,200.00M,1.484B,1.484B,128.00M,1.812B,7.003B,,21.81B,-2.041B,,,,37.00M,19.81B,,,
2004-06,1.717B,2.545B,4.262B,1.281B,,1.281B,127.70M,443.00M,154.40M,725.10M,,568.00M,6.836B,,,,,,,6.078B,-1.727B,4.351B,,14.04B,14.04B,,833.50M,19.22B,26.06B,,311.90M,,,311.90M,1.787B,2.099B,2.896B,,,2.896B,2.896B,,4.994B,200.00M,200.00M,1.455B,1.455B,,1.655B,6.649B,,20.26B,-884.40M,,,,39.80M,19.41B,,,
2004-03,761.50M,3.748B,4.509B,1.195B,,1.195B,129.90M,447.00M,159.80M,736.70M,,494.40M,6.935B,,,,,,,5.813B,-1.727B,4.086B,,14.12B,14.12B,,842.70M,19.04B,25.98B,,311.00M,,,311.00M,1.578B,1.888B,,,,2.888B,2.888B,,4.776B,200.00M,200.00M,1.432B,1.432B,,1.632B,6.408B,,20.12B,-626.50M,,,,75.40M,19.57B,,,
2003-12,837.00M,4.286B,5.123B,1.008B,,1.008B,125.00M,452.00M,136.00M,713.00M,,558.00M,7.402B,0.00,218.00M,1.783B,2.507B,,1.018B,5.526B,-1.727B,3.799B,,14.11B,14.11B,,804.00M,18.71B,26.11B,,327.00M,,,327.00M,2.129B,2.456B,,,,,,,2.456B,3.08B,3.08B,1.146B,1.146B,42.00M,4.268B,6.724B,,20.00B,-667.00M,,,,61.00M,19.39B,,,
2003-09,1.050B,3.975B,5.025B,1.001B,,1.001B,112.40M,438.70M,133.70M,684.80M,,582.80M,7.294B,,,,,,,4.884B,-1.427B,3.457B,,14.41B,14.41B,,705.30M,18.57B,25.87B,,253.40M,,,253.40M,1.295B,1.548B,,,,,,,1.548B,3.072B,3.072B,1.791B,1.791B,,4.863B,6.412B,,20.03B,-635.70M,,,,65.90M,19.46B,,,
2003-06,1.070B,3.915B,4.985B,960.70M,,960.70M,95.90M,402.10M,140.70M,638.70M,,384.50M,6.969B,,,,,,,4.580B,-1.427B,3.153B,,14.50B,14.50B,,758.90M,18.41B,25.38B,,270.00M,,,270.00M,1.394B,1.664B,,,,23.00M,23.00M,,1.687B,3.064B,3.064B,1.686B,1.686B,,4.750B,6.437B,,19.79B,-924.60M,,,,84.10M,18.94B,,,
2003-03,2.340B,2.417B,4.757B,845.20M,,845.20M,81.70M,379.60M,121.40M,582.70M,,471.00M,6.656B,,,,,,,4.381B,-1.427B,2.954B,,14.59B,14.59B,,530.40M,18.07B,24.73B,,291.80M,,,291.80M,1.27B,1.562B,,,,23.00M,23.00M,,1.585B,3.056B,3.056B,1.586B,1.586B,,4.641B,6.226B,,19.54B,-1.083B,,,,44.40M,18.50B,,,
2002-12,1.852B,2.812B,4.664B,752.00M,,752.00M,77.00M,360.00M,108.00M,545.00M,,443.00M,6.404B,0.00,200.00M,1.443B,2.125B,1.00M,472.00M,4.241B,-1.427B,2.814B,,14.67B,14.67B,,565.00M,18.05B,24.46B,,255.00M,,,255.00M,1.152B,1.407B,,,,123.00M,123.00M,-1.00M,1.529B,3.048B,3.048B,1.593B,1.593B,,4.641B,6.17B,,19.34B,-1.126B,,,,67.00M,18.29B,,,
2002-09,1.159B,2.884B,4.042B,622.20M,,622.20M,72.20M,306.40M,147.90M,526.50M,,633.50M,5.824B,,,,,,,3.83B,-1.164B,2.666B,,14.72B,14.72B,,528.70M,17.92B,23.74B,,197.70M,,,197.70M,1.150B,1.348B,,,,123.00M,123.00M,,1.471B,3.040B,3.040B,1.566B,1.566B,,4.605B,6.076B,,19.10B,-1.468B,,,,33.80M,17.66B,,,
2002-06,2.905B,2.153B,5.058B,553.50M,,553.50M,26.40M,264.50M,96.30M,387.20M,,335.20M,6.334B,,,,,,,3.177B,-1.164B,2.014B,,,,,790.30M,2.804B,9.138B,,132.40M,,,132.40M,969.80M,1.102B,,,,,,100.00M,1.202B,3.055B,3.055B,,,,3.055B,4.257B,,3.722B,1.134B,,,,24.50M,4.881B,,,
2002-03,2.981B,2.193B,5.174B,525.10M,,525.10M,28.70M,249.80M,93.10M,371.60M,,334.80M,6.406B,,,,,,,3.132B,-1.164B,1.968B,,,,,691.00M,2.659B,9.065B,,106.10M,,,106.10M,862.20M,968.30M,,,,99.90M,99.90M,,1.068B,3.047B,3.047B,,,,3.047B,4.115B,,3.606B,1.312B,,,,31.30M,4.950B,,,
2001-12,689.10M,1.973B,2.662B,497.20M,,497.20M,21.90M,266.70M,67.00M,355.60M,,343.60M,3.859B,0.00,207.70M,1.047B,1.646B,,209.50M,3.110B,-1.164B,1.946B,,,,,638.40M,2.584B,6.443B,,136.70M,,,136.70M,766.30M,903.00M,,,,99.90M,99.90M,,1.003B,223.00M,223.00M,,,,223.00M,1.226B,,3.474B,1.687B,,,,56.30M,5.217B,,,
2001-09,284.00M,2.145B,2.429B,481.50M,,481.50M,34.70M,287.70M,62.00M,384.40M,,187.20M,3.482B,,,,,,,2.847B,-937.70M,1.909B,,,,,662.20M,2.571B,6.054B,,70.30M,,,70.30M,552.20M,622.50M,,,,100.00M,100.00M,,722.50M,223.00M,223.00M,,,,223.00M,945.50M,,3.298B,1.774B,,,,36.30M,5.108B,,,
2001-06,282.50M,2.187B,2.470B,377.50M,,377.50M,32.60M,296.40M,61.10M,390.10M,,194.50M,3.432B,,,,,,,2.800B,-937.70M,1.862B,,,,,682.70M,2.545B,5.976B,,97.50M,,,97.50M,538.50M,636.00M,,,,99.90M,99.90M,,735.90M,223.00M,223.00M,,,,223.00M,958.90M,,3.195B,1.764B,,,,58.70M,5.018B,,,
2001-03,478.90M,1.814B,2.292B,431.70M,,431.70M,23.00M,267.50M,61.70M,352.20M,,187.60M,3.264B,,,,,,,2.749B,-937.70M,1.811B,,,,,617.30M,2.428B,5.692B,,96.90M,,,96.90M,623.00M,719.90M,,,,99.20M,99.20M,,819.10M,223.00M,223.00M,,,,223.00M,1.042B,,3.094B,1.534B,,,,22.30M,4.65B,,,
2000-12,226.50M,1.802B,2.028B,389.20M,,389.20M,,,,305.20M,,214.60M,2.937B,,,,,,,2.719B,-937.70M,1.782B,,,,,681.00M,2.462B,5.400B,,143.20M,,,143.20M,,143.20M,,,,99.70M,99.70M,619.20M,862.10M,223.00M,223.00M,,,,223.00M,1.085B,,2.947B,1.305B,,,,62.60M,4.314B,,,
2000-09,159.80M,1.707B,1.867B,,,303.30M,,,,293.60M,,158.40M,2.622B,,,,,,,2.523B,-808.00M,1.715B,,,,,560.50M,2.276B,4.898B,,121.60M,,,121.60M,,121.60M,,,,99.20M,99.20M,502.30M,723.10M,223.00M,223.00M,,,,223.00M,946.10M,,2.643B,1.249B,,,,60.20M,3.952B,,,
2000-06,136.20M,1.485B,1.621B,,,312.30M,,,,272.60M,,176.60M,2.383B,,,,,,,2.446B,-808.00M,1.638B,,,,,522.10M,2.161B,4.543B,,120.10M,,,120.10M,,120.10M,,,,99.70M,99.70M,616.10M,835.90M,223.00M,223.00M,,,,223.00M,1.059B,,2.409B,1.050B,,,,25.50M,3.484B,,,
2000-03,125.80M,1.354B,1.480B,,,259.10M,,,,237.60M,,177.30M,2.154B,,,,,,,2.403B,-808.00M,1.595B,,,,,515.80M,2.111B,4.265B,,108.70M,,,108.70M,,108.70M,,,,99.80M,99.80M,522.20M,730.70M,223.00M,223.00M,,,,223.00M,953.70M,,2.267B,1.007B,,,,37.10M,3.311B,,,
1999-12,130.90M,1.202B,1.333B,,,412.20M,,,,184.30M,,135.80M,2.065B,,,,,,,2.315B,-761.60M,1.554B,,,,,458.70M,2.012B,4.078B,,83.40M,,,83.40M,,83.40M,,,,99.50M,99.50M,648.20M,831.10M,223.00M,223.00M,,,,223.00M,1.054B,,2.072B,966.00M,,,,-14.80M,3.024B,,,
1999-09,188.30M,1.336B,1.524B,,,300.40M,,,,146.90M,,155.10M,2.126B,,,,,,,2.230B,-721.00M,1.509B,,,,,401.50M,1.910B,4.037B,,100.80M,,,100.80M,,100.80M,,,,99.70M,99.70M,617.80M,818.30M,223.00M,223.00M,,,,223.00M,1.041B,,1.984B,1.036B,,,,-24.80M,2.996B,,,
1999-06,199.60M,,199.60M,,,363.60M,,,,121.80M,,1.326B,2.011B,,,,,,,2.168B,-684.00M,1.484B,,,,,394.80M,1.879B,3.890B,,144.00M,,,144.00M,,144.00M,,,,,,737.20M,881.20M,223.00M,223.00M,,,,223.00M,1.104B,,,938.30M,,,,,2.785B,,,
1999-03,114.10M,,114.10M,,,369.60M,,,,117.20M,,1.372B,1.973B,,,,,,,2.127B,-645.00M,1.482B,,,,,363.20M,1.845B,3.818B,,95.10M,,,95.10M,,95.10M,,,,99.90M,99.90M,656.90M,851.90M,223.00M,223.00M,,,,223.00M,1.075B,,,938.90M,,,,,2.743B,,,
1998-12,201.10M,,201.10M,,,319.90M,,,,110.80M,,1.232B,1.863B,,,,,,,2.052B,-601.70M,1.450B,,,,,358.70M,1.809B,3.672B,,121.60M,,,121.60M,,121.60M,,,,105.70M,105.70M,659.70M,887.00M,223.00M,223.00M,,,,223.00M,1.11B,,,894.30M,,,,,2.562B,,,
1998-09,104.10M,,104.10M,,,296.30M,,,,109.10M,,1.187B,1.696B,,,,,,,1.966B,-568.00M,1.398B,,,,,349.60M,1.748B,3.444B,,87.30M,,,87.30M,,87.30M,,,,105.60M,105.60M,682.10M,875.00M,223.00M,223.00M,,,,223.00M,1.098B,,,874.90M,,,,,2.346B,,,
1998-06,158.00M,,158.00M,,,291.20M,,,,113.30M,,1.005B,1.568B,,,,,,,1.896B,-547.00M,1.350B,,,,,369.80M,1.719B,3.287B,,85.00M,,,85.00M,,85.00M,,,,110.50M,110.50M,671.80M,867.30M,223.00M,223.00M,,,,223.00M,1.090B,,,889.80M,,,,,2.196B,,,
1998-03,104.60M,,104.60M,,,289.20M,,,,118.10M,,899.80M,1.412B,,,,,,,1.794B,-516.00M,1.278B,,,,,392.30M,1.670B,3.082B,,114.80M,,,114.80M,,114.80M,,,,36.00M,36.00M,674.10M,824.90M,223.00M,223.00M,,,3.70M,226.70M,1.052B,,,789.00M,,,,,2.030B,,,
1997-12,239.10M,,239.10M,,,269.00M,,,,109.20M,,926.20M,1.544B,,,,,,,1.669B,-483.00M,1.186B,,,,,380.50M,1.567B,3.110B,,103.90M,,,103.90M,,103.90M,,,,30.00M,30.00M,608.00M,741.90M,229.00M,229.00M,,,,229.00M,970.90M,,,943.20M,,,,,2.139B,,,
1997-09,239.90M,,239.90M,,,235.50M,,,,110.50M,,940.10M,1.526B,,,,,,,1.502B,-390.70M,1.112B,,,,,364.60M,1.476B,3.002B,,71.50M,,,71.50M,,71.50M,,,,30.00M,30.00M,532.50M,634.00M,129.00M,129.00M,,,,129.00M,763.00M,,,1.085B,,,,,2.239B,,,
1997-06,331.00M,,331.00M,,,228.80M,,,,105.60M,,980.20M,1.646B,,,,,,,1.436B,-390.70M,1.045B,,,,,352.30M,1.398B,3.043B,,82.60M,,,82.60M,,82.60M,,,,65.00M,65.00M,440.50M,588.10M,134.00M,134.00M,,,51.60M,185.60M,773.70M,,,1.155B,,,,,2.270B,,,
1997-03,264.80M,,264.80M,,,206.50M,,,,100.40M,,865.50M,1.437B,,,,,,,1.372B,-390.70M,981.60M,,,,,354.30M,1.336B,2.773B,,76.60M,,,76.60M,,76.60M,,,,40.00M,40.00M,422.30M,538.90M,59.00M,59.00M,,,157.40M,216.40M,755.30M,,,958.00M,,,,,2.018B,,,
1996-12,169.30M,,169.30M,,,225.40M,,,,97.40M,,1.010B,1.503B,,,,,,,1.301B,-390.70M,910.50M,,,,,352.50M,1.263B,2.766B,,75.00M,,,75.00M,,75.00M,,,,118.20M,118.20M,449.70M,642.90M,59.00M,59.00M,,,157.40M,216.40M,859.30M,,,879.40M,,,,,1.906B,,,
1996-09,227.00M,,227.00M,,,207.20M,,,,91.00M,,880.80M,1.406B,,,,,,,1.121B,-289.60M,831.60M,,,,,311.60M,1.143B,2.549B,,41.70M,,,41.70M,,41.70M,,,,118.20M,118.20M,405.10M,565.00M,59.00M,59.00M,,,157.40M,216.40M,781.40M,,,804.60M,,,,,1.768B,,,
1996-06,214.20M,,214.20M,,,198.80M,,,,91.80M,,905.30M,1.410B,,,,,,,1.071B,-289.60M,781.60M,,,,,304.60M,1.086B,2.496B,,53.00M,,,53.00M,,53.00M,,,,78.20M,78.20M,445.30M,576.50M,99.00M,99.00M,,,,99.00M,675.50M,,,894.50M,,,,,1.821B,,,
1996-03,62.40M,,62.40M,,,213.00M,,,,90.20M,,988.00M,1.354B,,,,,,,1.048B,-289.60M,758.40M,,,,,254.80M,1.013B,2.367B,,32.00M,,,32.00M,,32.00M,,,,78.20M,78.20M,404.70M,514.90M,99.00M,99.00M,,,,99.00M,613.90M,,,846.10M,,,,,1.753B,,,
1995-12,66.70M,,66.70M,,,199.30M,,,,88.80M,,1.099B,1.454B,,,,,,,1.033B,-289.60M,743.80M,,,,,234.90M,978.70M,2.433B,,54.40M,,,54.40M,,54.40M,,,,69.70M,69.70M,459.70M,583.80M,177.20M,177.20M,,,,177.20M,761.00M,,,807.00M,,,,,1.672B,,,
1995-09,145.00M,,145.00M,,,205.30M,,,,85.80M,,983.90M,1.42B,,,,,,,916.00M,-208.10M,707.90M,,,,,220.30M,928.20M,2.348B,,47.20M,,,47.20M,,47.20M,,,,99.50M,99.50M,449.50M,596.20M,177.20M,177.20M,,,,177.20M,773.40M,,,747.20M,,,,,1.575B,,,
1995-06,194.90M,,194.90M,,,218.30M,,,,80.30M,,778.50M,1.272B,,,,,,,886.10M,-208.10M,678.00M,,,,,210.10M,888.10M,2.160B,,38.10M,,,38.10M,,38.10M,,,,99.10M,99.10M,444.90M,582.10M,181.20M,181.20M,,,,181.20M,763.30M,,,627.80M,,,,,1.397B,,,
1995-03,199.00M,,199.00M,,,189.10M,,,,92.50M,,688.30M,1.169B,,,,,,,878.70M,-208.10M,670.60M,,,,,212.90M,883.50M,2.052B,,33.50M,,,33.50M,,33.50M,,,,99.30M,99.30M,401.10M,533.90M,181.20M,181.20M,,,,181.20M,715.10M,,,588.40M,,,,,1.337B,,,
1994-12,211.30M,,211.30M,,,194.70M,,,,98.00M,,611.60M,1.116B,,,,,,,873.40M,-208.10M,665.30M,,,,,213.20M,878.50M,1.994B,,30.50M,,,30.50M,,30.50M,,,,99.70M,99.70M,406.20M,536.40M,183.40M,183.40M,,,,183.40M,719.80M,,,555.00M,,,,,1.274B,,,
1994-09,301.50M,,301.50M,,,186.20M,,,,87.20M,,545.00M,1.120B,,,,,,,769.20M,-143.70M,625.50M,,,,,147.10M,772.60M,1.892B,,21.90M,,,21.90M,,21.90M,,,,99.60M,99.60M,263.50M,385.00M,185.90M,185.90M,,,,185.90M,570.90M,,,624.70M,,,,,1.322B,,,
1994-06,251.60M,,251.60M,,,180.30M,,,,79.70M,,549.70M,1.061B,,,,,,,759.40M,-143.70M,615.70M,,,,,147.60M,763.30M,1.825B,,17.00M,,,17.00M,,17.00M,,,,99.70M,99.70M,264.90M,381.60M,185.90M,185.90M,,,,185.90M,567.50M,,,586.20M,,,,,1.257B,,,
1994-03,147.70M,,147.70M,,,171.10M,,,,81.90M,,661.40M,1.062B,,,,,,,749.80M,-143.70M,606.10M,,,,,134.60M,740.70M,1.803B,,20.70M,,,20.70M,,20.70M,,,,99.80M,99.80M,297.90M,418.40M,183.40M,183.40M,,,0.10M,183.50M,601.90M,,,554.10M,,,,,1.201B,,,
1993-12,128.50M,,128.50M,,,164.30M,,,,74.70M,,687.00M,1.054B,,,,,,,730.60M,-143.70M,586.90M,,,,,124.10M,711.00M,1.766B,,23.10M,,,23.10M,,23.10M,,,,109.80M,109.80M,279.40M,412.30M,181.20M,181.20M,,,,181.20M,593.50M,,,535.80M,,,,,1.172B,,,
1993-09,163.00M,,163.00M,,,205.90M,,,,73.80M,,502.40M,945.10M,,,,,,,649.30M,-96.20M,553.10M,,,,,119.00M,672.10M,1.617B,,21.10M,,,21.10M,,21.10M,,,,81.90M,81.90M,237.60M,340.60M,181.40M,181.40M,,,-0.10M,181.30M,521.90M,,,488.00M,,,,,1.095B,,,
1993-06,136.30M,,136.30M,,,246.70M,,,,72.00M,,398.00M,853.00M,,,,,,,624.10M,-96.20M,527.90M,,,,,112.60M,640.50M,1.494B,,26.80M,,,26.80M,,26.80M,,,,42.60M,42.60M,239.10M,308.50M,153.90M,153.90M,,,,153.90M,462.40M,,,438.60M,,,,,1.031B,,,
1993-03,22.00M,,22.00M,,,194.20M,,,,64.70M,,483.30M,764.20M,,,,,,,577.40M,-96.20M,481.20M,,,,,106.80M,588.00M,1.352B,,23.10M,,,23.10M,,23.10M,,,,2.00M,2.00M,222.50M,247.60M,129.40M,129.40M,,,0.10M,129.50M,377.10M,,,389.20M,,,,,975.10M,,,
1992-12,92.00M,,92.00M,,,156.00M,,,,56.80M,,568.30M,873.10M,,,,,,,522.20M,-96.20M,426.00M,,,,,75.20M,501.20M,1.374B,,38.00M,,,38.00M,,38.00M,,,,2.00M,2.00M,270.70M,310.70M,129.90M,129.90M,,,,129.90M,440.60M,,,359.90M,,,,,933.70M,,,
1992-09,64.00M,,64.00M,,,152.40M,,,,51.30M,,554.70M,822.40M,,,,,,,436.70M,-64.10M,372.60M,,,,,57.70M,430.30M,1.253B,,23.90M,,,23.90M,,23.90M,,,,1.90M,1.90M,317.20M,343.00M,128.20M,128.20M,,,,128.20M,471.20M,,,260.80M,,,,,781.50M,,,
1992-06,72.80M,,72.80M,,,117.70M,,,,47.50M,,503.80M,741.80M,,,,,,,395.20M,-64.10M,331.10M,,,,,50.20M,381.30M,1.123B,,24.50M,,,24.50M,,24.50M,,,,2.00M,2.00M,307.70M,334.20M,97.40M,97.40M,,,0.10M,97.50M,431.70M,,,223.10M,,,,,691.40M,,,
1992-03,140.10M,,140.10M,,,96.60M,,,,45.00M,,408.20M,689.90M,,,,,,,353.40M,-64.10M,289.30M,,,,,41.40M,330.70M,1.021B,,24.70M,,,24.70M,,24.70M,,,,1.80M,1.80M,281.90M,308.40M,97.90M,97.90M,,,,97.90M,406.30M,,,146.00M,,,,,614.30M,,,
1991-12,146.50M,,146.50M,,,88.20M,,,,40.20M,,314.70M,589.60M,,,,,,,309.80M,-64.10M,245.70M,,,,,30.20M,275.90M,865.50M,,29.50M,,,29.50M,,29.50M,,,,1.80M,1.80M,263.40M,294.70M,39.70M,39.70M,,,,39.70M,334.40M,,,88.20M,,,,,531.10M,,,
1991-09,107.10M,,107.10M,,,72.00M,,,,40.20M,,279.70M,499.00M,,,,,,,259.50M,-52.40M,207.10M,,,,,24.50M,231.60M,730.60M,,11.80M,,,11.80M,,11.80M,,,,1.70M,1.70M,277.40M,290.90M,12.00M,12.00M,,,,12.00M,302.90M,,,28.20M,,,,,427.70M,,,
1991-06,77.70M,,77.70M,,,85.50M,,,,35.20M,,238.90M,437.30M,,,,,,,241.30M,-52.40M,188.90M,,,,,18.80M,207.70M,645.00M,,14.60M,,,14.60M,,14.60M,,,,1.80M,1.80M,248.50M,264.90M,12.30M,12.30M,,,,12.30M,277.20M,,,-21.20M,,,,,367.80M,,,
1991-03,35.70M,,35.70M,,,89.90M,,,,35.90M,,165.40M,326.90M,,,,,,,218.10M,-52.40M,165.70M,,,,,21.40M,187.10M,514.00M,,19.90M,,,19.90M,,19.90M,,,,1.70M,1.70M,81.60M,103.20M,12.80M,12.80M,,,,12.80M,116.00M,,,27.20M,,,,,398.00M,,,
1990-12,55.20M,,55.20M,,,46.40M,,,,34.00M,,133.90M,269.50M,,,,,,,185.30M,-35.30M,150.00M,,,,,24.40M,174.40M,443.90M,,7.40M,,,7.40M,,7.40M,,,,1.60M,1.60M,74.00M,83.00M,63.30M,63.30M,,,,63.30M,146.30M,,,-9.70M,,,,,297.60M,,,
1990-09,42.30M,,42.30M,,,44.70M,,,,33.20M,,106.00M,226.20M,,,,,,,179.20M,-35.30M,143.90M,,,,,26.60M,170.50M,396.70M,,9.40M,,,9.40M,,9.40M,,,,1.80M,1.80M,68.60M,79.80M,13.70M,13.70M,,,,13.70M,93.50M,,,18.30M,,,,,303.20M,,,
1990-06,81.70M,,81.70M,,,40.90M,,,,28.40M,,59.00M,210.00M,,,,,,,162.00M,-35.30M,126.70M,,,,,10.30M,137.00M,347.00M,,5.40M,,,5.40M,,5.40M,,,,1.70M,1.70M,61.90M,69.00M,64.10M,64.10M,,,0.10M,64.20M,133.20M,,,4.00M,,,,,213.80M,,,
1990-03,39.20M,,39.20M,,,61.60M,,,,31.20M,,50.20M,182.20M,,,,,,,153.80M,-35.30M,118.50M,,,,,7.40M,125.90M,308.10M,,12.00M,,,12.00M,,12.00M,,,,1.90M,1.90M,41.30M,55.20M,64.70M,64.70M,,,0.10M,64.80M,120.00M,,,-7.10M,,,,,188.10M,,,
1989-12,23.20M,,23.20M,,,56.50M,,,,26.40M,,48.00M,154.10M,,,,,,,131.00M,-19.90M,111.10M,,,,,15.40M,126.50M,280.60M,,6.80M,,,6.80M,,6.80M,,,,1.90M,1.90M,27.20M,35.90M,65.10M,65.10M,,,,65.10M,101.00M,,,-13.50M,,,,,179.60M,,,
1989-09,13.20M,,13.20M,,,42.60M,,,,22.10M,,59.30M,137.20M,,,,,,,123.30M,-19.90M,103.40M,,,,,15.50M,118.90M,256.10M,,4.50M,,,4.50M,,4.50M,,,,1.50M,1.50M,14.70M,20.70M,65.90M,65.90M,,,,65.90M,86.60M,,,-21.50M,,,,,169.50M,,,
1989-06,76.80M,,76.80M,,,22.10M,,,,17.30M,,26.60M,142.80M,,,,,,,116.00M,-19.90M,96.10M,,,,,21.70M,117.80M,260.60M,,6.30M,,,6.30M,,6.30M,,,,1.70M,1.70M,11.20M,19.20M,77.10M,77.10M,,,,77.10M,96.30M,,,-25.40M,,,,,164.30M,,,
1989-03,20.70M,,20.70M,,,15.00M,,,,15.00M,,47.10M,97.80M,,,,,,,109.90M,-19.90M,90.00M,,,,,19.30M,109.30M,207.10M,,8.50M,,,8.50M,,8.50M,,,,2.10M,2.10M,4.50M,15.10M,30.10M,30.10M,,,,30.10M,45.20M,,,-26.20M,,,,,161.90M,,,
1988-03,105.60M,,105.60M,,,11.90M,,,,1.00M,,0.50M,119.00M,,,,,,,66.70M,-11.90M,54.80M,,,,,19.00M,73.80M,192.80M,,,,,,,,,,,2.00M,2.00M,10.80M,12.80M,16.50M,16.50M,,,,16.50M,29.30M,,,-18.10M,,,,,163.50M,,,
