,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2011-09,-2.295B,,,265.00M,265.00M,,71.00M,2.816B,-17.00M,-79.00M,-480.00M,,,688.00M,112.00M,969.00M,,-120.00M,,-120.00M,,0.00,-753.00M,16.00M,-857.00M,,0.00,300.00M,300.00M,13.00M,-2.272B,-2.259B,,-255.00M,,-5.00M,-2.219B,,5.998B,-2.107B,3.891B,,13.00M,300.00M,0.00,-2.272B,,AOR,Restated
2011-06,1.17B,,,261.00M,261.00M,,97.00M,-50.00M,-188.00M,-116.00M,34.00M,,,328.00M,58.00M,1.536B,,-123.00M,,-123.00M,,-298.00M,1.266B,1.00M,846.00M,,2.973B,,2.973B,97.00M,-731.00M,-634.00M,,0.00,,11.00M,2.35B,,1.266B,4.732B,5.998B,,97.00M,2.973B,0.00,-731.00M,,AOR,Restated
2011-03,1.125B,,,273.00M,273.00M,,77.00M,14.00M,-181.00M,-78.00M,112.00M,,,-312.00M,-459.00M,1.03B,,-100.00M,,-100.00M,,-403.00M,-46.00M,-6.00M,-555.00M,,-2.50B,,-2.50B,16.00M,-14.00M,2.00M,,0.00,,2.00M,-2.496B,,3.287B,-2.021B,1.266B,,16.00M,,-2.50B,-14.00M,,AOR,Restated
2010-12,4.627B,,,261.00M,261.00M,,105.00M,-3.584B,107.00M,-11.00M,192.00M,,,344.00M,632.00M,2.008B,,-182.00M,,-182.00M,,0.00,-286.00M,-23.00M,-491.00M,,0.00,0.00,0.00,,-1.192B,-1.192B,,0.00,,-69.00M,-1.181B,,2.951B,336.00M,3.287B,,,0.00,0.00,-1.192B,,AOR,Restated
2010-09,,,,253.00M,253.00M,,82.00M,1.283B,-218.00M,44.00M,-181.00M,129.00M,,-90.00M,-316.00M,1.302B,,-127.00M,,-127.00M,,0.00,-1.118B,-26.00M,-1.271B,,1.482B,0.00,1.482B,,-294.00M,-294.00M,,0.00,,20.00M,1.208B,,1.712B,1.239B,2.951B,,,1.482B,0.00,-294.00M,,AOR,
2010-06,-1.167B,,,251.00M,251.00M,,98.00M,2.431B,63.00M,99.00M,-125.00M,-86.00M,,,-49.00M,1.564B,,-177.00M,,-177.00M,,0.00,-1.222B,-36.00M,-1.435B,,0.00,,0.00,-26.00M,-713.00M,-739.00M,,,,56.00M,-683.00M,,2.266B,-554.00M,1.712B,,-26.00M,0.00,0.00,-713.00M,,AOR,Restated
2010-03,1.167B,,,252.00M,252.00M,,68.00M,10.00M,-162.00M,21.00M,-400.00M,-43.00M,,,-584.00M,913.00M,,-94.00M,,-94.00M,,0.00,-849.00M,-12.00M,-955.00M,,989.00M,,989.00M,26.00M,-1.587B,-1.561B,,,,-4.00M,-576.00M,,2.884B,-618.00M,2.266B,,26.00M,989.00M,0.00,-1.587B,,AOR,Restated
2009-12,931.00M,-36.00M,,257.00M,257.00M,,75.00M,-98.00M,222.00M,-74.00M,206.00M,33.00M,,,417.00M,1.823B,,-144.00M,,-144.00M,,,-200.00M,5.00M,-339.00M,,-1.00B,,-1.00B,25.00M,-1.211B,-1.186B,,,,9.00M,-2.177B,,3.577B,-693.00M,2.884B,,25.00M,0.00,,-1.211B,,AOR,Restated
2009-09,1.386B,146.00M,,272.00M,272.00M,,86.00M,98.00M,-150.00M,-110.00M,441.00M,15.00M,,,196.00M,1.975B,,-130.00M,,-130.00M,,,-1.369B,78.00M,-1.421B,,0.00,,0.00,49.00M,0.00,49.00M,,,,6.00M,55.00M,,2.968B,609.00M,3.577B,,49.00M,0.00,,0.00,,AOR,Restated
2009-06,1.269B,,-267.00M,253.00M,253.00M,,64.00M,52.00M,-172.00M,28.00M,51.00M,75.00M,,,-18.00M,1.679B,,-139.00M,,-139.00M,,,-1.425B,-17.00M,-1.581B,,0.00,,0.00,76.00M,0.00,76.00M,,,,17.00M,93.00M,,2.777B,191.00M,2.968B,,76.00M,0.00,,0.00,,AOR,Restated
