,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-03,7.441B,7.441B,5.075B,2.366B,,970.00M,725.00M,,,131.00M,,,,-14.00M,1.681B,685.00M,,,,131.00M,,734.00M,268.00M,466.00M,143.00M,,609.00M,382.83M,846.00M,161.00M,685.00M,1.4,0.42,1.151,1.82,1.33,0.42,1.092,1.75,333.89M,350.14M,0.28
2003-12,4.12B,4.12B,2.923B,1.197B,,373.00M,140.00M,,,203.00M,,,,-15.00M,498.00M,699.00M,,,,203.00M,,829.00M,305.00M,524.00M,,,489.00M,395.69M,699.00M,-419.00M,699.00M,1.588,-0.1048,1.2,1.483,1.33,-0.1048,0.954,1.47,331.17M,341.24M,0.28
2003-09,6.829B,6.829B,4.507B,2.322B,,1.078B,941.00M,,,-41.00M,,,,-4.00M,2.015B,307.00M,,,,-41.00M,,178.00M,62.00M,116.00M,,,116.00M,142.72M,707.00M,400.00M,307.00M,0.35,0.0,0.4305,0.35,0.35,0.0,0.4293,0.35,331.83M,336.86M,0.28
2003-06,6.163B,6.163B,4.155B,2.008B,,937.00M,951.00M,,,51.00M,,,,-9.00M,1.879B,129.00M,,,,51.00M,,112.00M,-7.00M,119.00M,,,119.00M,88.40M,533.00M,404.00M,129.00M,0.35,0.0,0.2577,0.35,0.35,0.0,0.2583,0.35,331.37M,333.86M,0.28
2003-03,6.043B,6.043B,4.067B,1.976B,,897.00M,947.00M,,,218.00M,,,,-61.00M,1.783B,193.00M,,,,218.00M,,257.00M,88.00M,169.00M,,,169.00M,25.65M,626.00M,433.00M,193.00M,0.49,0.0,0.0559,0.49,0.49,0.0,0.0584,0.49,330.21M,332.16M,0.28
2002-12,8.146B,8.146B,5.415B,2.731B,,1.272B,919.00M,,,-204.00M,,,,6.00M,2.197B,534.00M,,,,-204.00M,,280.00M,106.00M,174.00M,,,174.00M,300.77M,1.04B,506.00M,534.00M,0.6769,,1.067,0.6769,0.6769,-3.29,1.062,0.56,324.93M,329.39M,0.28
2002-09,6.371B,6.371B,4.126B,2.245B,,1.017B,961.00M,,,40.00M,,,,-85.00M,1.893B,352.00M,,,,40.00M,,215.00M,104.00M,111.00M,,,111.00M,87.00M,854.00M,502.00M,352.00M,0.35,0.0,0.2768,0.35,0.35,0.0,0.2772,0.35,327.97M,329.74M,0.28
2002-06,6.741B,6.741B,4.518B,2.223B,,2.05B,944.00M,,,-2.419B,,,,,2.994B,-771.00M,,,,-2.419B,,-3.29B,-969.00M,-2.321B,,,-2.321B,-614.47M,-228.00M,543.00M,-771.00M,-7.14,0.0,-1.8940000000000001,-7.14,-7.14,0.0,-1.8940000000000001,-7.14,325.31M,325.31M,0.28
2002-03,6.021B,6.021B,4.248B,1.773B,,1.042B,892.00M,,,-382.00M,,,,3.00M,1.937B,-164.00M,,,,-382.00M,,-651.00M,-202.00M,-449.00M,,,-449.00M,-185.53M,393.00M,557.00M,-164.00M,-1.4,0.0,-0.5816,-1.4,-1.4,0.0,-0.5816,-1.4,321.93M,321.93M,0.28
2001-12,7.925B,7.925B,5.817B,2.108B,,1.343B,980.00M,,,-1.53B,,,,537.00M,2.86B,-752.00M,,,,-1.53B,,-1.853B,-616.00M,-1.237B,,,-1.237B,-215.62M,-119.00M,633.00M,-752.00M,-3.617,,-0.3738,-3.617,-3.617,-2.94,-0.4236,-3.85,314.96M,319.87M,0.28
2001-09,7.392B,7.392B,5.476B,1.916B,,1.121B,1.037B,,,-1.837B,,,,1.408B,3.566B,-1.65B,,,,-1.837B,,-2.219B,-811.00M,-1.408B,,,-1.408B,-242.39M,-1.06B,590.00M,-1.65B,-4.48,0.0,-0.7998,-4.48,-4.48,0.0,-0.7998,-4.48,316.73M,316.73M,0.28
2001-06,7.522B,7.522B,5.434B,2.088B,,989.00M,1.086B,,,-170.00M,,,,,2.664B,-576.00M,,,,-170.00M,,-848.00M,-89.00M,-759.00M,,,-759.00M,-606.84M,82.00M,658.00M,-576.00M,-2.45,0.0,-1.966,-2.45,-2.45,0.0,-1.966,-2.45,314.70M,314.70M,0.28
2001-03,7.683B,7.683B,6.117B,1.566B,,1.187B,1.172B,,,263.00M,,,,72.00M,2.431B,-865.00M,,,,263.00M,,-591.00M,-58.00M,-533.00M,,,-533.00M,-770.19M,-194.00M,671.00M,-865.00M,-1.68,0.0,-2.437,-1.68,-1.68,0.0,-2.437,-1.68,313.43M,313.43M,0.28
2000-12,9.83B,9.83B,8.33B,1.50B,,2.059B,1.144B,,,,,,,,2.002B,-502.00M,,,,,,413.00M,278.00M,135.00M,,,135.00M,135.00M,302.00M,804.00M,-502.00M,0.3605,,0.3605,0.3605,0.14,0.28,0.14,0.3605,309.16M,321.69M,0.28
2000-09,9.493B,9.493B,6.13B,3.363B,,768.00M,1.171B,,,,,,,,2.531B,832.00M,,,,,,758.00M,227.00M,531.00M,,,531.00M,531.00M,1.424B,592.00M,832.00M,1.68,0.0,1.68,1.68,1.61,0.0,1.61,1.61,311.76M,323.71M,0.28
2000-06,9.255B,9.255B,5.513B,3.742B,,1.598B,1.107B,,,,,,,,3.268B,474.00M,,,,,,420.00M,216.00M,204.00M,,,204.00M,204.00M,1.037B,563.00M,474.00M,0.63,0.0,0.63,0.63,0.63,0.0,0.63,0.63,309.29M,321.39M,0.28
2000-03,8.768B,8.768B,5.195B,3.573B,,1.308B,1.015B,,,,,,,,2.886B,687.00M,,,,,,640.00M,192.00M,448.00M,,,448.00M,448.00M,1.25B,563.00M,687.00M,1.47,0.0,1.47,1.47,1.4,0.0,1.4,1.4,306.91M,324.28M,0.28
1999-12,9.086B,9.086B,6.019B,3.067B,,994.00M,1.032B,,,,,,,,2.589B,478.00M,,,,,,458.00M,135.00M,323.00M,,,323.00M,323.00M,1.158B,680.00M,478.00M,1.5730000000000002,,1.5730000000000002,1.5730000000000002,1.12,0.0,1.12,1.12,262.63M,284.57M,0.28
1999-09,8.223B,8.223B,5.281B,2.942B,,1.295B,913.00M,,,,,,,,2.745B,197.00M,,,,,,164.00M,50.00M,114.00M,,,114.00M,114.00M,734.00M,537.00M,197.00M,0.35,0.0,0.35,0.35,0.35,0.0,0.35,0.35,325.71M,325.71M,0.28
1999-06,8.03B,8.03B,4.744B,3.286B,,1.46B,842.00M,,,,,,,,2.867B,419.00M,,,,,,372.00M,117.00M,255.00M,,,255.00M,255.00M,989.00M,570.00M,419.00M,0.84,0.0,0.84,0.84,0.84,0.0,0.84,0.84,301.77M,313.11M,0.28
1999-03,7.736B,7.736B,4.592B,3.144B,,1.471B,773.00M,,,,,,,,2.817B,327.00M,,,,,,289.00M,90.00M,199.00M,,,199.00M,199.00M,900.00M,573.00M,327.00M,0.63,0.0,0.63,0.63,0.63,0.0,0.63,0.63,315.87M,315.87M,0.28
1998-12,10.28B,10.28B,4.416B,5.863B,,1.86B,,,,151.00M,,,,,5.631B,232.00M,,,,151.00M,,321.00M,107.00M,214.00M,,,214.00M,113.33M,961.00M,729.00M,232.00M,0.8892,,0.4968,0.8892,0.8892,0.0,0.646,0.8892,256.54M,413.86M,0.28
1998-09,7.152B,7.152B,5.153B,1.999B,,1.359B,,,,,,,,,1.898B,101.00M,,,,,,39.00M,12.00M,27.00M,,,27.00M,27.00M,640.00M,539.00M,101.00M,0.14,0.0,0.14,0.14,0.07,0.0,0.07,0.07,256.84M,256.84M,0.28
1998-06,7.023B,7.023B,4.315B,2.708B,,1.329B,722.00M,,,-1.98B,,,,,2.572B,136.00M,,,,-1.98B,,-1.897B,-569.00M,-1.328B,,,-1.328B,58.10M,657.00M,521.00M,136.00M,-5.18,0.0,0.2266,-5.18,-5.18,0.0,0.2266,-5.18,256.37M,256.37M,0.28
