,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-08,1.848B,1.848B,1.611B,236.76M,,19.58M,7.102M,,,,19.58M,217.19M,,,11.28M,,228.46M,86.24M,142.22M,,,,142.22M,137.80M,235.77M,18.58M,217.19M,,0.9902,0.00,,0.9594,0.9902,,0.8971,0.00,,0.8692,0.8971,,143.63M,158.54M,0.0056,,,
2002-05,1.572B,1.572B,1.351B,220.60M,,19.78M,,,,,19.78M,200.82M,,,,,170.29M,64.29M,106.01M,,,,106.01M,106.01M,216.92M,16.10M,200.82M,,0.7402,0.00,,0.7402,0.7402,,0.6716,0.00,,0.6716,0.6716,,143.21M,157.85M,0.0056,,,
2002-02,1.248B,1.248B,1.092B,156.16M,,16.62M,,,,,16.62M,139.54M,,,,,115.49M,43.60M,71.89M,,,,71.89M,71.89M,155.95M,16.42M,139.54M,,0.5080,0.00,,0.5080,0.5080,,0.4590,0.00,,0.4590,0.4590,,141.51M,156.62M,0.0056,,,
2001-11,1.907B,1.907B,1.749B,157.71M,,22.11M,,,,,22.11M,135.60M,,,,,264.84M,101.96M,162.88M,,,,162.88M,162.88M,154.28M,18.68M,135.60M,,-1.814,0.00,,-1.814,-1.814,,-1.814,0.00,,-1.814,-1.814,,140.58M,158.05M,0.0056,,,
2001-08,1.578B,1.578B,1.354B,223.71M,,19.54M,,,,,19.54M,204.17M,,,,,173.49M,66.79M,106.70M,,,,106.70M,106.70M,222.11M,17.94M,204.17M,,0.7531,0.00,,0.7531,0.7531,,0.6818,0.00,,0.6818,0.6818,,141.67M,156.49M,0.0056,,,
2001-05,1.392B,1.392B,1.186B,205.49M,,18.39M,,,,,18.39M,187.10M,,,,,157.73M,60.73M,97.01M,,,,97.01M,97.01M,202.74M,15.65M,187.10M,,0.6907,0.00,,0.6907,0.6907,,0.6239,0.00,,0.6239,0.6239,,140.44M,155.49M,0.0056,,,
2001-02,1.104B,1.104B,981.15M,122.90M,,15.79M,,,,,15.79M,107.11M,,,,,83.36M,32.09M,51.27M,,,,51.27M,51.27M,123.51M,16.40M,107.11M,,0.3699,0.00,,0.3699,0.3699,,0.3342,0.00,,0.3342,0.3342,,138.60M,153.39M,0.0056,,,
2000-11,1.722B,1.722B,1.469B,253.18M,,16.28M,,,,,32.66M,220.52M,,,,,179.47M,70.00M,109.48M,,,,109.48M,109.48M,236.90M,16.38M,220.52M,,0.8289,0.00,,0.8289,0.8289,,0.7398,0.00,,0.7398,0.7398,,137.76M,158.20M,0.0056,,,
2000-08,1.376B,1.376B,1.219B,157.10M,,13.55M,,,,,29.26M,127.84M,,,,,100.01M,39.00M,61.01M,,,,61.01M,61.01M,143.54M,15.70M,127.84M,,0.4412,0.00,,0.4412,0.4412,,0.4011,0.00,,0.4011,0.4011,,138.28M,152.11M,0.0056,,,
2000-05,968.18M,968.18M,864.71M,103.47M,,11.27M,,,,,23.97M,79.50M,,,,,59.74M,23.30M,36.44M,,,,36.44M,36.44M,92.20M,12.70M,79.50M,,0.3075,0.00,,0.3075,0.3075,,0.2852,0.00,,0.2852,0.2852,,118.51M,127.77M,0.0056,,,
2000-02,640.37M,640.37M,571.19M,69.18M,,9.057M,,,,,22.80M,46.38M,,,,,36.41M,14.20M,22.21M,,,,22.21M,22.21M,60.12M,13.74M,46.38M,,0.1872,0.00,,0.1872,0.1872,,0.1783,0.00,,0.1783,0.1783,,118.67M,124.60M,0.0056,,,
1999-11,970.00M,970.00M,833.90M,136.10M,,10.30M,,,,,22.50M,113.60M,,,,,98.90M,39.10M,59.80M,,,,59.80M,59.80M,125.80M,12.20M,113.60M,,0.4590,0.00,,0.4590,0.4590,,0.4189,0.00,,0.4189,0.4189,,130.16M,143.50M,0.0056,,,
1999-08,819.50M,819.50M,707.90M,111.60M,,9.90M,,,,,22.90M,88.70M,,,,,75.20M,29.70M,45.50M,,,,45.50M,45.50M,101.70M,13.00M,88.70M,,0.3476,0.00,,0.3476,0.3476,,0.3209,0.00,,0.3209,0.3209,,130.90M,141.81M,0.0056,,,
1999-05,738.40M,738.40M,640.50M,97.90M,,8.80M,,,,,21.40M,76.50M,,,,,65.40M,25.80M,39.60M,,,,39.60M,39.60M,89.10M,12.60M,76.50M,,0.3333,0.00,,0.3333,0.3333,,0.3088,0.00,,0.3088,0.3088,,118.80M,128.23M,0.0056,,,
1999-02,590.60M,590.60M,516.60M,74.00M,,8.50M,,,,,18.40M,55.60M,,,,,46.10M,18.20M,27.90M,,,,27.90M,27.90M,65.50M,9.90M,55.60M,,0.2353,0.00,,0.2353,0.2353,,0.2206,0.00,,0.2206,0.2206,,118.58M,126.48M,0.0056,,,
1998-11,823.10M,823.10M,681.20M,141.90M,,7.90M,,,,,18.80M,123.10M,,,,,112.00M,44.80M,67.20M,,,,67.20M,67.20M,134.00M,10.90M,123.10M,,0.5833,0.00,,0.5833,0.5833,,0.5490,0.00,,0.5490,0.5490,,117.84M,128.71M,0.0056,,,
1998-08,620.90M,620.90M,535.20M,85.70M,,8.30M,,,,,13.90M,71.80M,,,,,58.50M,23.40M,35.10M,,,,35.10M,35.10M,77.40M,5.60M,71.80M,,0.2990,0.00,,0.2990,0.2990,,0.2892,0.00,,0.2892,0.2892,,117.38M,121.36M,0.0056,,,
1998-05,532.10M,532.10M,467.60M,64.50M,,6.50M,,,,,9.40M,55.10M,,,,,42.70M,17.10M,25.60M,,,,25.60M,25.60M,58.00M,2.90M,55.10M,,0.2353,0.00,,0.2353,0.2353,,0.2304,0.00,,0.2304,0.2304,,108.80M,111.11M,0.0056,,,
1998-02,440.70M,440.70M,391.80M,48.90M,,6.30M,,,,,11.30M,37.60M,,,,,27.00M,10.80M,16.20M,,,,16.20M,16.20M,42.60M,5.00M,37.60M,,0.1471,0.00,,0.1471,0.1471,,0.1471,0.00,,0.1471,0.1471,,110.16M,110.16M,0.0056,,,
1997-11,466.10M,466.10M,402.50M,63.60M,,5.60M,,,,,8.10M,55.50M,,,,,16.20M,8.00M,8.20M,6.50M,,,14.70M,8.20M,58.00M,2.50M,55.50M,,0.0833,0.0686,,0.0833,0.1520,,0.0833,0.0686,,0.0833,0.1520,,86.21M,86.67M,0.0056,,,
1997-08,332.60M,332.60M,288.50M,44.10M,,3.70M,,,,,6.10M,38.00M,,,,,32.60M,12.70M,19.90M,8.40M,,,28.30M,19.90M,40.40M,2.40M,38.00M,,0.2696,0.1127,,0.2696,0.3824,,0.2696,0.1127,,0.2696,0.3824,,74.02M,74.02M,0.0112,,,
1997-05,271.90M,271.90M,240.40M,31.50M,,3.30M,,,,,5.20M,26.30M,,,,,20.80M,8.10M,12.70M,9.30M,,,22.00M,12.70M,28.20M,1.90M,26.30M,,0.1716,0.1275,,0.1716,0.2990,,0.1716,0.1275,,0.1716,0.2990,,73.57M,73.57M,0.0112,,,
1997-02,272.20M,272.20M,228.00M,44.20M,,3.40M,,,,,5.60M,38.60M,,,,,31.80M,12.40M,19.40M,,,,19.40M,19.40M,40.80M,2.20M,38.60M,,0.1324,0.00,,0.1324,0.1324,,0.1324,0.00,,0.1324,0.1324,,73.41M,73.41M,0.0112,,,
1996-11,236.80M,236.80M,242.30M,-5.50M,,3.10M,,,,,5.70M,-11.20M,,,,,-13.00M,-5.10M,-7.90M,,,,28.60M,-7.90M,-8.60M,2.60M,-11.20M,,0.2696,0.1225,,0.2696,0.3922,,0.2647,0.1176,,0.2647,0.3824,,72.77M,75.19M,0.0112,,,
1996-08,320.10M,320.10M,266.40M,53.70M,,3.30M,,,,,6.50M,47.20M,,,,,39.20M,15.30M,23.90M,,,,23.90M,23.90M,50.40M,3.20M,47.20M,,0.2010,0.1225,,0.2010,0.3235,,0.2010,0.1225,,0.2010,0.3235,,73.87M,73.87M,0.0112,,,
1996-05,258.30M,258.30M,214.60M,43.70M,,3.00M,,,,,6.20M,37.50M,,,,,30.00M,11.70M,18.30M,,,,18.30M,18.30M,40.70M,3.20M,37.50M,,0.1176,0.1324,,0.1176,0.25,,0.1176,0.1324,,0.1176,0.25,,73.20M,73.20M,0.0112,,,
1996-02,226.50M,226.50M,186.40M,40.10M,,3.00M,,,,,6.00M,34.10M,,,,,28.20M,11.00M,17.20M,,,,17.20M,17.20M,37.10M,3.00M,34.10M,,0.1127,0.1225,,0.1127,0.2353,,0.1127,0.1225,,0.1127,0.2353,,73.10M,73.10M,0.0112,,,
1995-11,274.10M,274.10M,229.10M,45.00M,,2.90M,,,,,5.20M,39.80M,,,,,32.80M,12.80M,20.00M,,,,20.00M,20.00M,42.10M,2.30M,39.80M,,-0.2451,0.5147,,-0.2451,0.2696,,-0.2451,0.5147,,-0.2451,0.2696,,74.28M,74.28M,0.0111,,,
1995-08,204.70M,204.70M,169.30M,35.40M,,2.30M,,,,,4.90M,30.50M,,,,,25.70M,10.00M,15.70M,,,,15.70M,15.70M,33.10M,2.50M,30.50M,,0.2157,0.00,,0.2157,0.2157,,0.2157,0.00,,0.2157,0.2157,,72.79M,72.79M,0.0112,,,
1995-05,210.50M,210.50M,168.40M,42.10M,,2.80M,,,,,5.60M,36.50M,,,,,32.30M,12.60M,19.70M,,,,19.70M,19.70M,39.30M,2.70M,36.50M,,0.2696,0.00,,0.2696,0.2696,,0.2696,0.00,,0.2696,0.2696,,73.07M,73.07M,0.0112,,,
1995-02,181.20M,181.20M,147.10M,34.10M,,2.50M,,,,,5.30M,28.80M,,,,,24.60M,9.60M,15.00M,,,,15.00M,15.00M,31.60M,2.80M,28.80M,,0.2059,0.00,,0.2059,0.2059,,0.2059,0.00,,0.2059,0.2059,,72.86M,72.86M,0.0112,,,
1994-11,217.30M,217.30M,186.50M,30.80M,,-13.90M,,,,,-12.40M,43.20M,,,,,27.80M,10.80M,17.00M,,0.10M,,17.10M,17.00M,44.70M,1.50M,43.20M,,-0.1618,0.3775,0.00,-0.1618,0.2304,,-0.1618,0.3775,0.0013,-0.1618,0.2304,,74.20M,74.20M,0.0112,,,
1994-08,200.30M,200.30M,159.70M,40.60M,,7.80M,,,,,10.40M,30.20M,,,,,30.30M,11.80M,18.50M,,,,18.50M,18.50M,32.80M,2.60M,30.20M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,74.00M,74.00M,0.0112,,,
1994-05,208.00M,208.00M,168.00M,40.00M,,8.30M,,,,,10.50M,29.50M,,,,,29.50M,11.50M,18.00M,,,,18.00M,18.00M,31.70M,2.20M,29.50M,,0.2451,0.00,,0.2451,0.2451,,0.2451,0.00,,0.2451,0.2451,,73.44M,73.44M,0.0112,,,
1994-02,192.30M,192.30M,157.90M,34.40M,,8.10M,,,,,10.20M,24.20M,,,,,24.20M,9.40M,14.80M,,0.90M,,15.70M,14.80M,26.30M,2.10M,24.20M,,0.2010,0.0147,0.00,0.2010,0.2157,,0.2010,0.0147,0.0124,0.2010,0.2157,,72.79M,72.79M,0.0089,,,
1993-11,240.40M,240.40M,197.50M,42.90M,,8.80M,,,,,11.30M,31.60M,,,,,31.60M,10.80M,20.80M,,,,20.80M,20.80M,34.10M,2.50M,31.60M,,0.0588,0.2255,,0.0588,0.2843,,0.0588,0.2255,,0.0588,0.2843,,75.10M,75.10M,0.0089,,,
1993-08,167.10M,167.10M,138.40M,28.70M,,6.50M,,,,,9.40M,19.30M,,,,,19.40M,7.40M,12.00M,,,,12.00M,12.00M,22.20M,2.80M,19.30M,,0.1618,0.00,,0.1618,0.1618,,0.1618,0.00,,0.1618,0.1618,,74.18M,74.18M,0.0089,,,
1993-05,142.00M,142.00M,116.40M,25.60M,,6.60M,,,,,8.70M,16.90M,,,,,16.80M,6.10M,10.70M,,,,10.70M,10.70M,19.00M,2.10M,16.90M,,0.1471,0.00,,0.1471,0.1471,,0.1471,0.00,,0.1471,0.1471,,72.76M,72.76M,0.0089,,,
1993-02,117.50M,117.50M,94.50M,23.00M,,6.20M,,,,,8.80M,14.20M,,,,,14.10M,5.10M,9.00M,,,,9.00M,9.00M,16.80M,2.60M,14.20M,,0.1422,0.00,,0.1422,0.1422,,0.1422,0.00,,0.1422,0.1422,,63.31M,63.31M,0.0089,,,
1992-11,125.00M,125.00M,100.00M,25.00M,,6.50M,0.00,,,,9.50M,15.50M,,,0.00,,15.30M,5.10M,10.20M,,,,10.20M,10.20M,18.50M,3.00M,15.50M,,0.1667,0.00,,0.1667,0.1667,,0.1667,0.00,,0.1667,0.1667,,60.33M,60.33M,0.0089,,,
1992-08,125.00M,125.00M,103.50M,21.50M,,5.40M,-7.60M,,,,8.80M,12.70M,,,-7.60M,,5.10M,1.90M,3.20M,,,,3.20M,7.969M,16.10M,3.40M,12.70M,,0.0490,0.00,,0.1221,0.0490,,0.0490,0.00,,0.1221,0.0490,,65.28M,65.28M,0.0089,,,
1992-05,94.50M,94.50M,75.70M,18.80M,,4.50M,,,,,6.60M,12.20M,,,,,12.10M,4.50M,7.60M,,,,7.60M,7.60M,14.30M,2.10M,12.20M,,0.1225,0.00,,0.1225,0.1225,,0.1225,0.00,,0.1225,0.1225,,62.02M,62.02M,0.0089,,,
1992-02,84.90M,84.90M,66.00M,18.90M,,3.90M,,,,,6.00M,12.90M,,,,,12.80M,4.70M,8.10M,,,,8.10M,8.10M,15.00M,2.10M,12.90M,,0.1324,0.00,,0.1324,0.1324,,0.1324,0.00,,0.1324,0.1324,,61.20M,61.20M,0.0089,,,
1991-11,99.30M,99.30M,84.20M,15.10M,,4.30M,,,,,6.30M,8.80M,,,,,8.90M,3.20M,5.70M,,,,5.70M,5.70M,10.80M,2.00M,8.80M,,0.0931,0.00,,0.0931,0.0931,,0.0931,0.00,,0.0931,0.0931,,61.17M,61.17M,0.0089,,,
1991-08,80.50M,80.50M,66.20M,14.30M,,4.50M,,,,,6.10M,8.20M,,,,,8.10M,2.90M,5.20M,,,,5.20M,5.20M,9.80M,1.60M,8.20M,,0.0833,0.00,,0.0833,0.0833,,0.0833,0.00,,0.0833,0.0833,,62.40M,62.40M,0.0089,,,
1991-05,73.50M,73.50M,59.20M,14.30M,,4.20M,,,,,6.40M,7.90M,,,,,7.90M,2.90M,5.00M,,,,5.00M,5.00M,10.10M,2.20M,7.90M,,0.0833,0.00,,0.0833,0.0833,,0.0833,0.00,,0.0833,0.0833,,60.00M,60.00M,0.0089,,,
1991-02,72.30M,72.30M,58.60M,13.70M,,4.30M,,,,,5.80M,7.90M,,,,,8.00M,2.80M,5.20M,,,,5.20M,5.20M,9.40M,1.50M,7.90M,,0.0833,0.00,,0.0833,0.0833,,0.0833,0.00,,0.0833,0.0833,,62.40M,62.40M,0.0089,,,
1990-11,95.30M,95.30M,82.40M,12.90M,,5.80M,,,,,7.50M,5.40M,,,,,5.30M,1.90M,3.40M,,,,3.40M,3.40M,7.10M,1.70M,5.40M,,0.0539,0.00,,0.0539,0.0539,,0.0539,0.00,,0.0539,0.0539,,63.03M,63.03M,0.0089,,,
1990-08,87.60M,87.60M,75.90M,11.70M,,4.80M,,,,,6.60M,5.10M,,,,,5.10M,1.80M,3.30M,,,,3.30M,3.30M,7.20M,2.10M,5.10M,,0.0539,0.00,,0.0539,0.0539,,0.0539,0.00,,0.0539,0.0539,,61.20M,61.20M,0.0089,,,
1990-05,86.50M,86.50M,74.40M,12.10M,,5.10M,,,,,6.50M,5.60M,,,,,5.70M,2.00M,3.70M,,,,3.70M,3.70M,7.00M,1.40M,5.60M,,0.0637,0.00,,0.0637,0.0637,,0.0637,0.00,,0.0637,0.0637,,58.06M,58.06M,0.0089,,,
1990-02,81.40M,81.40M,70.40M,11.00M,,4.80M,,,,,6.10M,4.90M,,,,,5.10M,1.80M,3.30M,,,,3.30M,3.30M,6.20M,1.30M,4.90M,,0.0539,0.00,,0.0539,0.0539,,0.0539,0.00,,0.0539,0.0539,,61.20M,61.20M,0.0089,,,
1989-11,174.40M,174.40M,,,,,,,,,377.80M,16.20M,,,,,14.70M,5.80M,8.90M,,,,8.90M,8.90M,16.20M,,16.20M,,0.1422,0.00,,0.1422,0.1422,,0.1422,0.00,,0.1422,0.1422,,61.20M,61.20M,0.0089,,,
1989-08,98.90M,98.90M,82.50M,16.40M,,5.30M,0.70M,,,,6.80M,9.60M,,,0.70M,,10.20M,3.20M,7.00M,,,,7.00M,6.520M,11.10M,1.50M,9.60M,,0.1127,0.00,,0.1050,0.1127,,0.1127,0.00,,0.1050,0.1127,,62.09M,62.09M,0.0089,,,
1989-05,94.00M,94.00M,,,,,,,,,,94.00M,,,,,,,6.40M,,,,6.40M,,94.00M,,94.00M,,0.1029,0.00,,0.1029,0.1029,,0.1029,0.00,,0.1029,0.1029,,60.82M,60.82M,0.0089,,,
1989-02,73.00M,73.00M,,,,,,,,,,73.00M,,,,,,,5.80M,,,,5.80M,,73.00M,,73.00M,,0.0931,0.00,,0.0931,0.0931,,0.0931,0.00,,0.0931,0.0931,,60.81M,60.81M,0.0089,,,
1988-11,117.60M,117.60M,,,,,,,,,,-222.30M,,,,,,,1.60M,,,,1.60M,,-222.30M,,-222.30M,,,,,,,,,,,,,,60.82M,60.82M,0.0089,,,
1988-08,96.40M,96.40M,,,,,,,,,,96.40M,,,,,,,6.70M,,,,6.70M,,96.40M,,96.40M,,0.1127,0.00,,0.1127,0.1127,,0.1127,0.00,,0.1127,0.1127,,60.79M,60.79M,0.0089,,,
1988-05,90.00M,90.00M,,,,,,,,,,90.00M,,,,,,,6.00M,,,,6.00M,,90.00M,,90.00M,,0.0980,0.00,,0.0980,0.0980,,0.0980,0.00,,0.0980,0.0980,,60.75M,60.75M,0.0089,,,
1988-02,76.50M,76.50M,,,,,,,,,,76.50M,,,,,,,6.10M,,,,6.10M,,76.50M,,76.50M,,0.1029,0.00,,0.1029,0.1029,,0.1029,0.00,,0.1029,0.1029,,60.77M,60.77M,0.0089,,,
1987-11,94.70M,94.70M,,,,,,,,,,-199.60M,,,,,,,6.60M,,,,6.60M,,-199.60M,,-199.60M,,,,,,,,,,,,,,60.42M,60.42M,0.0089,,,
1987-08,89.10M,89.10M,,,,,,,,,,89.10M,,,,,,,6.40M,,,,6.40M,,89.10M,,89.10M,,0.1127,0.00,,0.1127,0.1127,,0.1127,0.00,,0.1127,0.1127,,60.77M,60.77M,0.0268,,,
1987-05,83.50M,83.50M,,,,,,,,,,83.50M,,,,,,,5.60M,,,,5.60M,,83.50M,,83.50M,,0.1029,0.00,,0.1029,0.1029,,0.1029,0.00,,0.1029,0.1029,,60.77M,60.77M,0.0089,,,
1987-02,64.10M,64.10M,,,,,,,,,,64.10M,,,,,,,4.40M,,,,4.40M,,64.10M,,64.10M,,0.0833,0.00,,0.0833,0.0833,,0.0833,0.00,,0.0833,0.0833,,53.12M,53.12M,0.0076,,,
1986-11,75.30M,75.30M,,,,,,,,,,-124.20M,,,,,,,4.60M,,,,4.60M,,-124.20M,,-124.20M,,,,,,,,,,,,,,52.80M,52.80M,0.0076,,,
1986-08,55.80M,55.80M,,,,,,,,,,55.80M,,,,,,,2.70M,,,,2.70M,,55.80M,,55.80M,,0.0539,0.00,,0.0539,0.0539,,0.0539,0.00,,0.0539,0.0539,,53.32M,53.32M,0.0076,,,
1986-05,47.40M,47.40M,,,,,,,,,,47.40M,,,,,,,3.40M,,,,3.40M,,47.40M,,47.40M,,0.0637,0.00,,0.0637,0.0637,,0.0637,0.00,,0.0637,0.0637,,53.73M,53.73M,0.0076,,,
1986-02,44.00M,44.00M,,,,,,,,,,44.00M,,,,,,,1.80M,,,,1.80M,,44.00M,,44.00M,,0.0343,0.00,,0.0343,0.0343,,0.0343,0.00,,0.0343,0.0343,,54.07M,54.07M,0.0076,,,
1985-11,67.10M,67.10M,,,,,,,,,,-143.30M,,,,,,,2.90M,,,,2.90M,,-143.30M,,-143.30M,,,,,,,,,,,,,,53.73M,53.73M,0.0076,,,
1985-08,66.20M,66.20M,,,,,,,,,,66.20M,,,,,,,2.70M,,,,2.70M,,66.20M,,66.20M,,0.0490,0.00,,0.0490,0.0490,,0.0490,0.00,,0.0490,0.0490,,55.38M,55.38M,0.0076,,,
1985-05,49.80M,49.80M,,,,,,,,,,49.80M,,,,,,,2.60M,,,,2.60M,,49.80M,,49.80M,,0.0441,0.00,,0.0441,0.0441,,0.0441,0.00,,0.0441,0.0441,,55.12M,55.12M,0.0076,,,
1985-02,48.80M,48.80M,,,,,,,,,,48.80M,,,,,,,3.60M,,,,3.60M,,48.80M,,48.80M,,0.0637,0.00,,0.0637,0.0637,,0.0637,0.00,,0.0637,0.0637,,55.12M,55.12M,0.0076,,,
1984-11,39.40M,39.40M,,,,,,,,,,-105.70M,,,,,,,1.40M,,,,1.40M,,-105.70M,,-105.70M,,,,,,,,,,,,,,55.12M,55.12M,0.0076,,,
1984-08,38.30M,38.30M,,,,,,,,,,38.30M,,,,,,,1.30M,,,,1.30M,,38.30M,,38.30M,,0.0245,0.00,,0.0245,0.0245,,0.0245,0.00,,0.0245,0.0245,,57.03M,57.03M,0.0076,,,
1984-05,38.80M,38.80M,,,,,,,,,,38.80M,,,,,,,1.20M,,,,1.20M,,38.80M,,38.80M,,0.0196,0.00,,0.0196,0.0196,,0.0196,0.00,,0.0196,0.0196,,57.02M,57.02M,0.0076,,,
1984-02,38.40M,38.40M,,,,,,,,,,38.40M,,,,,,,2.30M,,,,2.30M,,38.40M,,38.40M,,0.0441,0.00,,0.0441,0.0441,,0.0441,0.00,,0.0441,0.0441,,57.02M,57.02M,0.0076,,,
