,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2003-03,184.26M,372.23M,556.49M,334.98M,14.31M,349.30M,,130.30M,3.15M,11.76M,,1.051B,,,,,,,62.10M,,62.10M,,,,4.063M,,,7.441M,73.61M,1.125B,98.13M,,,98.13M,70.50M,168.63M,,,,,,,,168.63M,,,,,,,,,,0.00,168.63M,0.90M,848.95M,360.54M,253.77M,0.009M,955.97M
2002-12,157.14M,347.47M,504.61M,333.08M,14.08M,347.17M,,150.78M,4.212M,11.76M,,1.019B,,,,,,,64.09M,,64.09M,,,,,,,13.04M,77.13M,1.096B,102.79M,,,102.79M,68.81M,171.59M,,,,,,,,171.59M,,,,,,,,0.00,,0.00,171.59M,0.897M,806.55M,346.05M,228.60M,0.003M,924.07M
2002-09,185.27M,283.62M,468.89M,362.11M,16.58M,378.70M,,126.60M,2.703M,9.04M,,985.93M,,,,,,,63.78M,,63.78M,,,,5.875M,,,7.543M,77.20M,1.063B,121.45M,,,121.45M,79.37M,200.82M,,,,,,,,200.82M,,,,,,,,,,0.00,200.82M,0.891M,761.00M,330.08M,228.60M,0.022M,862.31M
2002-06,134.82M,286.10M,420.92M,356.21M,14.11M,370.32M,,153.28M,5.764M,9.04M,,959.32M,,,,,,,64.87M,,64.87M,,,,6.058M,,,7.487M,78.41M,1.038B,138.71M,0.00,,138.71M,45.78M,184.50M,,,,,,,,184.50M,,,,,,,,,,0.00,184.50M,0.891M,706.11M,328.31M,180.72M,,853.24M
2002-03,114.36M,277.81M,392.18M,345.74M,41.82M,387.56M,,137.68M,26.17M,9.04M,,952.62M,,,,,,,66.73M,,66.73M,,,,5.395M,,,7.661M,79.79M,1.032B,122.20M,,,122.20M,38.29M,160.49M,,,,,,,,160.49M,,,,,,,,,,0.00,160.49M,0.89M,662.06M,318.50M,107.91M,,871.92M
2001-12,145.98M,248.40M,394.38M,318.40M,9.76M,328.16M,,119.12M,3.455M,9.04M,,854.16M,,,,,,,69.07M,,69.07M,,,,5.382M,,,8.416M,82.87M,937.03M,106.81M,,,106.81M,51.56M,158.37M,,,,,,,,158.37M,,,,,,,,,,0.00,158.37M,0.885M,621.30M,258.71M,100.30M,0.00,778.66M
2001-09,35.74M,264.43M,300.18M,344.12M,11.91M,356.03M,,136.84M,25.61M,6.736M,,825.39M,,,,,,,71.20M,,71.20M,,,,8.408M,,,6.147M,85.75M,911.14M,140.85M,,,140.85M,45.26M,186.11M,,,,,,,,186.11M,,,,,,,,,,0.00,186.11M,0.881M,579.35M,247.55M,100.30M,,725.03M
2001-06,44.26M,235.28M,279.53M,,,10.71M,,120.77M,3.00M,6.736M,315.61M,736.35M,,,,,,,66.80M,,66.80M,,,,7.965M,,,6.55M,81.32M,817.67M,100.69M,16.48M,,117.17M,42.06M,159.23M,,,,,,,,159.23M,,,,,,,,,,0.00,159.23M,0.879M,536.12M,199.12M,74.70M,,658.44M
2001-03,121.12M,92.99M,214.11M,,,11.37M,,153.30M,3.396M,6.736M,328.28M,717.18M,,,,,,,65.03M,,65.03M,,,,6.743M,,,6.438M,78.21M,795.40M,121.93M,26.27M,,148.20M,36.35M,184.55M,,,,,,,,184.55M,,,,,,,,,,0.00,184.55M,0.877M,493.09M,193.84M,73.47M,,610.84M
2000-12,43.66M,158.96M,202.62M,337.42M,13.44M,350.87M,,110.20M,3.458M,6.736M,,673.88M,,,,,,,61.97M,,61.97M,,,,5.804M,,,6.784M,74.55M,748.44M,56.08M,,,56.08M,56.10M,112.19M,,,,,,,,112.19M,,,,,,,,,,0.00,112.19M,0.875M,452.61M,185.05M,2.089M,,636.25M
2000-09,20.56M,126.58M,147.13M,348.96M,16.46M,365.41M,,165.94M,2.186M,6.702M,,687.38M,,,,,,,51.84M,,51.84M,,,,,,,9.216M,61.06M,748.44M,107.97M,12.23M,,120.20M,35.60M,155.81M,,,,,,,10.37M,166.18M,,,,,,,,,,0.00,166.18M,0.874M,410.61M,173.13M,2.089M,,582.26M
2000-06,40.99M,103.68M,144.67M,304.75M,9.808M,314.55M,,152.75M,18.60M,6.702M,,637.28M,,,,,,,45.51M,,45.51M,,,,,,,16.64M,62.15M,699.42M,123.09M,,,123.09M,39.99M,163.08M,,,,,,,,163.08M,,,,,,,,,,0.00,163.08M,0.874M,365.68M,172.20M,2.089M,,536.34M
2000-03,13.88M,70.70M,84.57M,284.82M,9.684M,294.50M,,133.93M,25.40M,6.702M,,545.11M,,,,,,,42.93M,,42.93M,,,,,,,13.26M,56.19M,601.30M,100.61M,,,100.61M,27.75M,128.36M,,,,,,,,128.36M,,,,,,,,,,0.00,128.36M,0.434M,325.64M,149.37M,2.089M,,472.94M
1999-12,19.75M,63.23M,82.98M,230.19M,7.589M,237.78M,,126.22M,1.375M,6.702M,,455.05M,,,,,,,39.43M,,39.43M,,,,6.499M,,4.939M,,50.87M,505.92M,65.66M,11.96M,,77.62M,2.219M,79.84M,,,,,,,35.10M,114.93M,,,,,,,,,,0.00,114.93M,0.866M,290.34M,102.34M,2.089M,,390.98M
1999-09,16.30M,76.70M,93.00M,,,249.10M,,87.10M,,,6.00M,435.20M,,,,,,,52.30M,-13.80M,38.50M,,,,,,,,45.60M,480.80M,98.90M,,,98.90M,,98.90M,,,,,,,29.50M,128.40M,,,,,,,,,,,128.30M,0.20M,260.40M,94.50M,2.10M,,352.50M
1999-06,25.60M,,25.60M,,,221.30M,,81.10M,,,58.20M,386.20M,,,,,,,50.50M,-11.80M,38.70M,,,,,,,,44.30M,430.50M,78.40M,,,78.40M,,78.40M,,,,,,,33.30M,111.70M,,,,,,,,,,,111.60M,,234.30M,,,,318.90M
1999-03,8.50M,,8.50M,,,193.90M,,80.50M,,,65.90M,348.80M,,,,,,,48.30M,-10.10M,38.20M,,,,,,,,43.00M,391.80M,63.70M,,,63.70M,,63.70M,,,,,,,33.20M,96.90M,,,,,,,,,,,96.80M,,212.00M,,,,295.00M
1998-12,4.23M,66.46M,70.69M,152.31M,5.896M,158.20M,,64.39M,1.423M,5.081M,,299.79M,,,,,,,37.06M,,37.06M,,,,0.00,,4.977M,,42.03M,341.82M,41.36M,,,41.36M,29.70M,71.06M,,,,,,,,71.06M,,,,,,,,,,0.00,71.06M,0.431M,192.26M,81.14M,2.089M,,270.76M
1998-09,13.30M,,13.30M,,,142.20M,,55.30M,,,66.50M,277.30M,,,,,,,43.00M,-7.30M,35.70M,,,,,,,,41.30M,318.60M,45.90M,,,45.90M,,45.90M,,,,,,,22.70M,68.60M,,,,,,,,,,,68.60M,,173.90M,,,,250.00M
1998-06,23.70M,,23.70M,,,124.40M,,48.90M,,,63.10M,260.10M,,,,,,,37.80M,-5.70M,32.10M,,,,,,,,37.80M,297.90M,46.80M,,,46.80M,,46.80M,,,,,,,19.50M,66.30M,,,,,,,,,,,66.40M,,156.80M,,,,231.50M
1998-03,9.50M,,9.50M,,,103.70M,,70.20M,,,62.90M,246.30M,,,,,,,36.30M,-4.70M,31.60M,,,,,,,,37.40M,283.70M,39.60M,,,39.60M,,39.60M,,,,,,,28.40M,68.00M,,,,,,,,,,,68.10M,,141.20M,,,,215.60M
1997-12,18.20M,,18.20M,,,91.50M,,61.90M,,,65.60M,237.20M,,,,,,,30.20M,-3.90M,26.30M,,,,,,,,32.40M,269.60M,44.50M,,,44.50M,,44.50M,,,,,,,25.30M,69.80M,,,,,,,,,,,69.70M,,126.40M,,,,199.90M
1997-09,7.10M,,7.10M,,,88.10M,,63.40M,,,62.00M,220.60M,,,,,,,30.70M,-4.90M,25.80M,,,,,,,,31.70M,252.30M,48.50M,,,48.50M,,48.50M,,,,,,,18.80M,67.30M,,,,,,,,,,,67.30M,,112.50M,,,,185.00M
1997-06,11.40M,,11.40M,,,67.90M,,47.00M,,,72.40M,198.70M,,,,,,,8.00M,-4.90M,3.10M,,,,,,,,26.00M,224.70M,28.20M,,,28.20M,,28.20M,,,,,,,24.70M,52.90M,,,,,,,,,,,52.90M,,99.50M,,,,171.80M
1997-03,7.10M,,7.10M,,,66.90M,,62.20M,,,58.50M,194.70M,,,,,,,7.70M,-4.40M,3.30M,,,,,,,,20.30M,215.00M,40.40M,,,40.40M,,40.40M,,,,,,,15.70M,56.10M,,,,,,,,,,,56.00M,,86.80M,,,,159.00M
1996-12,16.46M,58.49M,74.95M,57.40M,3.931M,61.33M,,41.46M,0.823M,2.258M,,180.82M,,,,,,,12.30M,,12.30M,,,,,,,5.713M,18.01M,198.83M,36.64M,,,36.64M,20.57M,57.21M,,,,,,,,57.21M,,,,,,,,,,0.00,57.21M,0.215M,75.42M,67.95M,,,141.62M
1996-09,6.70M,,6.70M,,,58.00M,,46.00M,,,61.40M,172.10M,,,,,,,5.40M,-2.00M,3.40M,,,,,,,,13.80M,185.90M,37.90M,,,37.90M,,37.90M,,,,,,,17.90M,55.80M,,,,,,,,,,,55.70M,,64.70M,,,,130.20M
1996-06,3.10M,,3.10M,,,53.00M,,37.90M,,,54.60M,148.60M,,,,,,,4.90M,-2.00M,2.90M,,,,,,,,12.70M,161.30M,25.90M,,,25.90M,,25.90M,,,,,,,15.00M,40.90M,,,,,,,,,,,40.90M,,55.00M,,,,120.40M
1996-03,0.50M,,0.50M,,,47.80M,,28.10M,,,56.00M,132.40M,,,,,,,5.40M,-2.00M,3.40M,,,,,,,,7.20M,139.60M,13.40M,,,13.40M,,13.40M,,,,,,,14.40M,27.80M,,,,,,,,,,,27.80M,,46.60M,,,,111.80M
1995-12,14.20M,,14.20M,,,40.90M,,27.40M,,,44.40M,126.90M,,,,,,,5.50M,-2.00M,3.50M,,,,,,,,7.00M,133.90M,19.40M,,,19.40M,,19.40M,,,,,,,8.30M,27.70M,,,,,,,,,,,27.70M,,41.00M,,,,106.20M
1995-09,24.20M,,24.20M,,,39.70M,,34.00M,,,34.50M,132.40M,,,,,,,5.10M,-2.00M,3.10M,,,,,,,,6.50M,138.90M,33.20M,,,33.20M,,33.20M,,,,,,,6.20M,39.40M,,,,,,,,,,,39.50M,,34.70M,,,,99.40M
1995-06,6.50M,,6.50M,,,33.50M,,24.80M,,,17.60M,82.40M,,,,,,,4.90M,-2.00M,2.90M,,,,,,,,6.60M,89.00M,19.50M,,,19.50M,,19.50M,,,,,,,4.90M,24.40M,,,,,,,,,,,24.40M,,29.50M,,,,64.60M
1995-03,0.10M,,0.10M,,,29.20M,,23.30M,,,20.80M,73.40M,,,,,,,4.80M,-2.00M,2.80M,,,,,,,,6.50M,79.90M,12.70M,,,12.70M,,12.70M,,,,,,,7.00M,19.70M,,,,,,,,,,,19.70M,,25.10M,,,,60.20M
1994-12,3.00M,,3.00M,,,24.90M,,23.20M,,,20.30M,71.40M,,,,,,,4.90M,-2.00M,2.90M,,,,,,,,6.60M,78.00M,16.20M,,,16.20M,,16.20M,,,,,,,6.00M,22.20M,,,,,,,,,,,22.20M,,21.00M,,,,55.80M
