,NetIncome,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2006-06,35.30M,,,43.10M,33.50M,33.50M,6.60M,,,,-3.40M,16.80M,-22.50M,-10.30M,-9.60M,7.60M,-21.40M,14.10M,111.20M,-28.80M,1.50M,-27.30M,,10.30M,,-17.00M,,,-59.40M,11.40M,-20.80M,-9.40M,,-7.00M,0.00,-75.80M,184.10M,18.40M,1.30M,203.80M,11.40M,,,-20.80M
2006-03,38.30M,,,36.50M,32.10M,32.10M,19.50M,,,,-95.10M,7.90M,-32.20M,-12.90M,5.50M,-16.10M,-142.90M,-9.00M,-25.50M,-17.10M,1.60M,-15.50M,,,,-15.50M,,,2.60M,18.40M,,18.40M,,,-2.90M,18.10M,206.40M,-22.90M,0.60M,184.10M,18.40M,,,
2005-12,48.20M,,,-150.90M,32.50M,32.50M,36.10M,,,,-25.10M,-8.20M,83.00M,24.70M,-46.10M,-23.60M,4.70M,-17.00M,54.50M,-34.00M,1.40M,-32.60M,,0.00,69.50M,36.90M,,,18.40M,-35.00M,,-35.00M,,4.00M,34.90M,22.30M,93.80M,113.70M,-1.10M,206.40M,-35.00M,,,
2005-09,-3.00M,,,53.30M,33.70M,33.70M,1.30M,,,,64.00M,7.80M,-35.20M,18.00M,-93.80M,16.90M,-22.30M,-12.90M,50.10M,-22.90M,1.20M,-21.70M,,0.00,,-21.70M,,,-185.80M,11.30M,,11.30M,,-2.50M,-45.10M,-222.10M,269.10M,-193.70M,18.40M,93.80M,11.30M,,,
2005-06,33.30M,,,17.10M,35.50M,35.50M,15.50M,,,,23.60M,-5.30M,-15.30M,-5.30M,-2.60M,-3.00M,-7.90M,-6.90M,86.60M,-22.70M,-1.60M,-24.30M,,13.70M,-0.20M,-10.80M,,,-32.00M,9.20M,,9.20M,,-1.50M,-0.70M,-25.00M,229.30M,50.80M,-11.00M,269.10M,9.20M,,,
2005-03,35.50M,,,7.80M,34.60M,34.60M,1.90M,,,,-90.00M,10.40M,-58.10M,8.30M,40.70M,-13.90M,-102.60M,48.60M,25.80M,-13.90M,2.90M,-11.00M,,,0.20M,-10.80M,,,-13.20M,14.50M,,14.50M,,,8.20M,9.50M,212.40M,24.50M,-7.60M,229.30M,14.50M,,,
2004-12,97.40M,,,8.20M,34.30M,34.30M,-44.60M,,,,12.50M,-33.80M,91.00M,-32.80M,-84.20M,,-47.30M,-9.40M,38.60M,-35.50M,3.70M,-31.80M,,,0.00,-31.80M,,,-129.00M,11.10M,,11.10M,,0.00,123.50M,5.60M,185.20M,12.40M,14.80M,212.40M,11.10M,,,
2004-09,30.10M,,,16.50M,33.30M,33.30M,-5.70M,,,,0.10M,-1.80M,0.30M,35.30M,9.30M,,43.20M,-5.40M,112.00M,-19.10M,1.10M,-18.00M,,,-0.90M,-18.90M,,,-24.40M,9.20M,,9.20M,,-0.30M,6.50M,-9.00M,100.60M,84.10M,0.50M,185.20M,9.20M,,,
2004-06,40.80M,,,-8.50M,33.50M,33.50M,-9.50M,,,,67.70M,17.30M,-18.10M,-3.80M,23.90M,,87.00M,-7.00M,136.30M,-17.50M,0.20M,-17.30M,,,-34.60M,-51.90M,,,-44.90M,15.50M,,15.50M,,0.00,-18.90M,-48.30M,65.10M,36.10M,-0.60M,100.60M,15.50M,,,
2004-03,7.30M,,,16.10M,33.20M,33.20M,-0.30M,,,,-72.40M,12.40M,-42.80M,-6.00M,-17.20M,,-126.00M,-6.50M,-76.20M,-13.30M,1.30M,-12.00M,,,,-12.00M,,,71.50M,15.50M,,15.50M,,-1.20M,12.00M,97.80M,57.00M,9.60M,-1.50M,65.10M,15.50M,,,
2003-12,19.60M,,,16.00M,31.90M,31.90M,-16.80M,,,,-24.90M,20.00M,37.90M,3.00M,-66.80M,,-30.80M,-11.40M,8.50M,-27.80M,1.30M,-26.50M,,3.20M,-47.30M,-70.60M,,,-32.30M,1.00M,,1.00M,,0.00,0.50M,-30.80M,153.10M,-92.90M,-3.20M,57.00M,1.00M,,,
2003-09,-3.40M,,,39.50M,31.30M,31.30M,-8.00M,,,,55.20M,3.30M,-12.20M,36.60M,15.90M,,98.80M,-6.60M,151.60M,-20.20M,17.40M,-2.80M,,,-21.30M,-24.10M,,,-107.20M,-0.10M,,-0.10M,,-1.20M,137.20M,-72.20M,93.70M,55.30M,4.10M,153.10M,-0.10M,,,
2003-06,21.70M,,,8.50M,30.90M,30.90M,9.10M,,,,17.30M,-6.60M,10.20M,-19.50M,42.20M,,43.60M,-2.60M,111.20M,-21.90M,1.70M,-20.20M,,-0.70M,-26.60M,-47.50M,,,-123.40M,0.50M,,0.50M,,0.00,-15.30M,-37.30M,60.00M,26.40M,7.30M,93.70M,0.50M,,,
2003-03,1.90M,,,6.10M,30.50M,30.50M,-1.60M,,,,-42.70M,-5.10M,-54.90M,-22.80M,-8.70M,,-134.20M,-5.50M,-102.80M,-17.10M,0.80M,-16.30M,,0.70M,,-15.60M,,,70.30M,3.30M,,3.30M,,-1.80M,15.30M,87.10M,89.60M,-31.30M,1.70M,60.00M,3.30M,,,
2002-12,12.70M,,,11.10M,29.80M,29.80M,-9.80M,,,,-19.10M,2.50M,31.60M,23.90M,-23.00M,,15.90M,-5.80M,53.90M,-33.00M,2.90M,-30.10M,,-8.70M,-0.50M,-39.30M,,,440.00M,-101.60M,,-101.60M,,0.00,-302.90M,35.50M,37.30M,50.10M,2.20M,89.60M,-101.60M,,,
2002-09,28.20M,,,-3.60M,33.60M,33.60M,12.40M,,,,54.40M,21.10M,56.90M,-16.80M,-41.90M,,73.70M,-4.10M,140.20M,-15.60M,2.60M,-13.00M,,,-21.60M,-34.60M,,,-68.50M,-0.20M,,-0.20M,,-1.00M,-50.30M,-120.00M,50.30M,-14.40M,1.40M,37.30M,-0.20M,,,
2002-06,19.20M,,,17.80M,29.20M,29.20M,11.00M,,,,64.50M,13.50M,-56.80M,-13.00M,46.20M,,54.40M,-7.20M,124.40M,-15.50M,2.30M,-13.20M,,-5.40M,-7.50M,-26.10M,,,-103.80M,106.50M,,106.50M,,0.00,-66.00M,-63.30M,14.20M,35.00M,1.10M,50.30M,106.50M,,,
2002-03,9.00M,,,1.20M,26.20M,26.20M,-6.40M,,,,-30.70M,0.30M,-115.50M,-17.60M,-65.90M,,-229.40M,-12.50M,-211.90M,-19.80M,3.60M,-16.20M,,5.40M,,-10.80M,,,138.40M,11.00M,,11.00M,,-1.80M,66.00M,213.60M,23.40M,-9.10M,-0.10M,14.20M,11.00M,,,
2001-12,-35.70M,,,87.70M,36.30M,36.30M,-47.10M,,,,-111.90M,-15.00M,-14.20M,-5.40M,40.00M,,-106.50M,-24.80M,-90.10M,-26.40M,-1.60M,-28.00M,-0.30M,-20.30M,29.20M,-19.40M,,,26.70M,6.30M,,6.30M,,0.00,61.10M,94.10M,34.60M,-15.40M,4.20M,23.40M,6.30M,,,
2001-09,50.10M,,,-4.80M,-1.00M,-1.00M,10.10M,,,,85.00M,28.40M,-44.60M,29.20M,-44.20M,,53.80M,-0.20M,108.00M,0.60M,-5.10M,-4.50M,3.00M,3.90M,-29.20M,-26.80M,,,-226.70M,-203.70M,,-203.70M,,-0.90M,369.60M,-61.70M,32.40M,19.50M,0.50M,34.60M,-203.70M,,,
2001-06,-299.80M,,,510.10M,50.30M,50.30M,-176.70M,,,,-36.60M,5.00M,28.30M,-7.60M,-22.40M,,-33.30M,-2.60M,48.00M,-68.40M,10.90M,-57.50M,-3.00M,-5.50M,,-66.00M,,,-191.90M,211.90M,,211.90M,,0.00,,20.00M,30.80M,2.00M,-0.40M,32.40M,211.90M,,,
2001-03,-20.90M,,,15.10M,46.00M,46.00M,13.40M,,,,-19.20M,-59.30M,-78.10M,-71.00M,-9.50M,,-237.10M,-91.70M,-275.20M,-51.40M,7.10M,-44.30M,,1.60M,,-42.70M,,,301.10M,25.30M,,25.30M,,-2.30M,,324.10M,25.10M,6.20M,-0.50M,30.80M,25.30M,,,
2000-12,-1.70M,,,-61.80M,-11.90M,-11.90M,-53.40M,,,,60.20M,-22.60M,188.10M,9.10M,54.00M,,288.80M,-28.40M,131.60M,-44.80M,-26.70M,-71.50M,47.40M,-47.60M,88.80M,17.10M,,,-290.10M,10.10M,-0.60M,9.50M,,-1.30M,,-164.00M,57.90M,-15.30M,4.80M,7.30M,10.10M,,,-0.60M
2000-09,56.50M,,,8.40M,46.00M,46.00M,6.80M,,,,-16.80M,3.30M,-69.40M,56.30M,-6.10M,,-32.70M,-10.20M,74.80M,-50.80M,4.30M,-46.50M,-2.00M,53.20M,-10.90M,-6.20M,,,-62.60M,2.90M,0.50M,3.40M,,0.00,,-59.20M,56.20M,9.40M,-7.70M,57.90M,2.90M,,,0.50M
2000-06,38.00M,,,85.70M,50.00M,50.00M,13.10M,,,,-5.30M,1.60M,-34.00M,-24.70M,-46.40M,,-108.80M,-5.50M,72.50M,-48.40M,20.60M,-27.80M,0.00,-5.00M,10.90M,-21.90M,,,-54.70M,2.30M,0.30M,2.60M,,0.00,,-52.10M,52.30M,-1.50M,5.40M,56.20M,2.30M,,,0.30M
2000-03,32.80M,,,-3.80M,45.70M,45.70M,14.50M,,,,23.90M,17.50M,-115.80M,-24.80M,-14.70M,,-113.90M,-11.90M,-36.60M,-53.30M,7.30M,-46.00M,-45.40M,5.00M,,-86.40M,,,115.10M,0.50M,-0.80M,-0.30M,,-1.50M,,113.30M,64.00M,-9.70M,-2.00M,52.30M,0.50M,,,-0.80M
1999-12,-22.50M,,,-23.50M,-5.80M,-5.80M,-40.10M,,,18.00M,24.00M,-27.30M,130.20M,-19.20M,19.50M,,127.20M,28.40M,81.70M,207.50M,98.20M,305.70M,,9.50M,,78.30M,,,-296.90M,0.30M,-12.30M,-12.00M,,-2.10M,,-188.20M,76.00M,-28.20M,1.50M,23.90M,0.30M,,,-12.30M
1999-09,64.00M,,,69.10M,45.10M,45.10M,17.20M,,,-18.00M,106.90M,97.20M,-30.70M,182.70M,-52.00M,,304.10M,-8.20M,473.30M,-255.30M,85.70M,-169.60M,,-28.30M,,-197.90M,,,-219.90M,0.70M,-68.80M,-68.10M,,-1.20M,,-289.20M,0.00,-13.80M,-0.30M,76.00M,0.70M,,,-68.80M
1999-06,86.90M,,,-16.00M,45.70M,45.70M,13.40M,,,,12.10M,-28.30M,-76.70M,-142.00M,22.40M,,-212.50M,6.00M,-76.50M,-104.00M,9.30M,-94.70M,,5.20M,,-89.50M,,,140.30M,5.70M,-4.70M,1.00M,,0.10M,,141.40M,0.00,-24.60M,-0.50M,0.00,5.70M,,,-4.70M
1999-03,30.30M,,,-43.90M,43.50M,43.50M,13.40M,,,,-29.80M,-16.70M,1.70M,-20.90M,-5.30M,,-71.00M,-8.80M,-36.50M,-43.60M,8.70M,-34.90M,,-4.70M,,-39.60M,,,182.30M,0.70M,-50.60M,-49.90M,,-2.70M,,129.70M,61.70M,53.60M,-0.10M,0.00,0.70M,,,-50.60M
1998-12,-7.20M,,,3.00M,61.40M,61.40M,5.90M,,,,-23.00M,22.30M,-37.00M,22.60M,10.20M,,-4.90M,31.00M,89.20M,-80.00M,8.40M,-71.60M,,-26.60M,,-98.20M,,,8.70M,1.00M,-21.60M,-20.60M,,-0.50M,,-12.40M,90.90M,-21.40M,-7.80M,61.70M,1.00M,,,-21.60M
1998-09,55.40M,,,3.20M,51.70M,51.70M,12.00M,,,,-6.70M,54.00M,51.30M,60.70M,1.80M,,161.10M,-18.90M,264.50M,-76.50M,36.00M,-40.50M,,-124.30M,,-164.80M,,,8.40M,0.60M,-86.20M,-85.60M,,-4.80M,2.80M,-79.20M,0.00,20.50M,0.40M,90.90M,0.60M,,,-86.20M
1998-06,67.60M,,,-13.00M,49.20M,49.20M,9.20M,,,,60.60M,-19.40M,16.90M,-2.20M,2.20M,,58.10M,-13.90M,157.20M,-56.70M,13.20M,-43.50M,,3.70M,,-39.80M,,,-91.60M,6.30M,-19.50M,-13.20M,,2.80M,-2.80M,-104.80M,0.00,12.60M,-0.80M,0.00,6.30M,,,-19.50M
