,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2006-03,594.10M,594.10M,400.40M,193.70M,67.50M,22.00M,-31.10M,,,,89.50M,104.20M,,,-30.50M,,63.30M,25.00M,38.30M,-0.60M,,-2.00M,37.70M,57.12M,136.30M,32.10M,104.20M,0.25,-0.0025,,,0.3735,0.2475,0.24,-0.0025,,,0.3585,0.2375,152.32M,158.74M,0.045
2005-12,518.00M,518.00M,360.10M,157.90M,73.30M,23.20M,-17.60M,,,,96.50M,61.40M,,,41.60M,,90.00M,47.40M,42.60M,-19.40M,,-2.20M,22.70M,53.16M,93.90M,32.50M,61.40M,0.2733,-0.1259,,,0.3418,0.1473,0.2733,-0.1259,,,0.3418,0.1473,154.06M,154.06M,0.0
2005-09,510.00M,510.00M,367.80M,142.20M,63.10M,22.90M,-52.80M,,,,86.00M,56.20M,,,-48.90M,,-8.20M,-5.20M,-3.00M,-1.40M,,-2.20M,-4.40M,28.68M,89.90M,33.70M,56.20M,-0.02,-0.01,,,0.196,-0.03,-0.02,-0.01,,,0.196,-0.03,146.67M,146.67M,0.0
2005-06,565.60M,565.60M,387.40M,178.20M,68.50M,23.70M,-17.90M,,,,92.20M,86.00M,,,-14.70M,,52.50M,19.20M,33.30M,-2.10M,,-1.80M,31.20M,44.65M,121.50M,35.50M,86.00M,0.2225,-0.015,,,0.298,0.2075,0.2125,-0.015,,,0.2853,0.2,150.36M,156.00M,0.0
2005-03,552.40M,552.40M,390.20M,162.20M,65.50M,24.60M,-3.30M,,,,90.10M,72.10M,,,1.00M,,54.80M,19.30M,35.50M,29.00M,,-1.30M,64.50M,37.64M,106.70M,34.60M,72.10M,0.2375,0.195,,,0.2518,0.4325,0.23,0.1875,,,0.2438,0.4175,149.13M,154.49M,0.0
2004-12,513.70M,513.70M,359.30M,154.40M,68.10M,26.30M,-10.70M,,,,94.40M,60.00M,,,-6.60M,,34.20M,-63.20M,97.40M,-2.90M,,-1.70M,94.50M,103.82M,94.30M,34.30M,60.00M,0.6576,-0.0196,,,0.7009,0.638,0.6576,-0.0196,,,0.7009,0.638,148.12M,148.12M,0.0
2004-09,497.50M,497.50M,359.70M,137.80M,60.40M,22.50M,-0.40M,,,,82.90M,54.90M,,,3.40M,,37.30M,7.20M,30.10M,-0.60M,,-1.10M,29.50M,30.42M,88.20M,33.30M,54.90M,0.2075,-0.005,,,0.2097,0.2025,0.1975,-0.005,,,0.1996,0.195,145.68M,151.28M,0.0
2004-06,534.30M,534.30M,377.60M,156.70M,61.40M,20.70M,-1.00M,,,,82.10M,74.60M,,,-1.30M,,52.40M,11.60M,40.80M,-10.10M,,-0.30M,30.70M,41.58M,108.10M,33.50M,74.60M,0.2825,-0.07,,,0.2879,0.2125,0.2725,-0.07,,,0.2777,0.205,144.47M,149.76M,0.0
2004-03,505.70M,505.70M,377.60M,128.10M,64.90M,23.90M,-1.30M,,,,88.80M,39.30M,,,-11.00M,,7.20M,-0.10M,7.30M,-1.80M,,-0.70M,5.50M,8.08M,72.50M,33.20M,39.30M,0.05,-0.0125,,,0.0553,0.0375,0.05,-0.0125,,,0.0553,0.0375,146.67M,146.67M,0.0
2003-12,506.90M,506.90M,360.20M,146.70M,62.60M,25.20M,-3.80M,,,,87.80M,58.90M,,,-14.90M,,22.10M,2.50M,19.60M,,,-1.40M,6.30M,22.97M,90.80M,31.90M,58.90M,0.14,-0.095,,,0.1641,0.045,0.1375,-0.095,,,0.1616,0.045,140.07M,140.07M,0.0
