,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,,2.131B,,2.131B,1.98B,,1.98B,600.00M,737.00M,1.024B,2.361B,425.00M,251.00M,,7.148B,0.00,154.00M,1.743B,6.341B,,783.00M,9.021B,-4.412B,4.609B,1.654B,390.00M,2.044B,,145.00M,1.132B,327.00M,8.257B,15.40B,,829.00M,161.00M,255.00M,,1.245B,1.731B,2.976B,,,,,394.00M,,394.00M,,265.00M,265.00M,,3.635B,,3.362B,,3.362B,,,,1.595B,,584.00M,5.541B,9.176B,,683.00M,5.795B,5.533B,3.897B,,-1.885B,6.229B,,AOR,Restated
2008-09,,2.191B,,2.191B,2.101B,,2.101B,634.00M,776.00M,1.11B,2.52B,,,625.00M,7.437B,,,,,,,9.189B,-4.591B,4.598B,1.703B,417.00M,2.12B,,,,1.054B,7.772B,15.21B,,3.089B,,,,3.089B,,3.089B,,,,,235.00M,,235.00M,,,,,3.324B,,3.185B,,3.185B,,,,,,1.641B,4.826B,8.15B,,683.00M,5.415B,5.418B,3.491B,,-966.00M,7.059B,,,Restated
2008-06,,2.147B,,2.147B,2.217B,,2.217B,601.00M,828.00M,1.142B,2.571B,,,624.00M,7.559B,,,,,,,9.334B,-4.654B,4.68B,1.761B,444.00M,2.205B,,,,1.026B,7.911B,15.47B,,3.331B,,,,3.331B,,3.331B,,,,,62.00M,,62.00M,,,,,3.393B,,3.172B,,3.172B,,,,,,1.686B,4.858B,8.251B,,683.00M,5.078B,5.362B,3.193B,,-711.00M,7.219B,,,Restated
2008-03,,1.736B,,1.736B,2.096B,,2.096B,672.00M,779.00M,1.085B,2.536B,,,645.00M,7.013B,,,,,,,9.182B,-4.549B,4.633B,1.768B,461.00M,2.229B,,,,1.097B,7.959B,14.97B,,3.095B,,,,3.095B,,3.095B,,,,,141.00M,,141.00M,,,,,3.236B,,2.731B,,2.731B,,,,,,2.008B,4.739B,7.975B,,683.00M,4.671B,5.322B,2.93B,,-749.00M,6.997B,,,Restated
2007-12,,2.539B,,2.539B,2.026B,,2.026B,624.00M,710.00M,1.00B,2.334B,395.00M,261.00M,,7.555B,0.00,148.00M,1.758B,6.265B,,653.00M,8.824B,-4.337B,4.487B,1.69B,455.00M,2.145B,,207.00M,689.00M,211.00M,7.739B,15.29B,,920.00M,139.00M,333.00M,,1.392B,1.873B,3.265B,,,,,425.00M,,425.00M,,122.00M,122.00M,,3.812B,,2.664B,,2.664B,,,,858.00M,,1.044B,4.566B,8.378B,,683.00M,4.379B,5.297B,2.503B,,-940.00M,6.916B,,,Restated
2007-09,,1.818B,,1.818B,1.976B,,1.976B,650.00M,667.00M,1.003B,2.32B,,,526.00M,6.64B,,,,,,,8.43B,-4.214B,4.216B,1.649B,457.00M,2.106B,,,,1.185B,7.507B,14.15B,,3.143B,,,,3.143B,,3.143B,,,,,546.00M,,546.00M,,,,,3.689B,,2.024B,,2.024B,,,,,,2.142B,4.166B,7.855B,,683.00M,4.039B,5.251B,2.42B,,-1.261B,6.292B,,,
2007-06,,2.486B,,2.486B,1.993B,,1.993B,601.00M,607.00M,978.00M,2.186B,,,520.00M,7.185B,,,,,,,8.192B,-4.082B,4.11B,1.62B,458.00M,2.078B,,,,1.286B,7.474B,14.66B,,3.126B,,,,3.126B,,3.126B,,,,,666.00M,,666.00M,,,,,3.792B,,2.051B,,2.051B,,,,,,2.127B,4.178B,7.97B,,683.00M,3.767B,5.217B,1.683B,,-1.295B,6.689B,,,
2007-03,,2.384B,,2.384B,1.899B,,1.899B,581.00M,637.00M,901.00M,2.119B,,,572.00M,6.974B,,,,,,,7.981B,-3.934B,4.047B,1.61B,470.00M,2.08B,,,,1.382B,7.509B,14.48B,,3.028B,,,,3.028B,,3.028B,,,,,596.00M,,596.00M,,,,,3.624B,,2.124B,,2.124B,,,,,,2.131B,4.255B,7.879B,,683.00M,3.491B,5.212B,1.417B,,-1.365B,6.604B,,,
2006-12,,2.485B,,2.485B,1.838B,,1.838B,526.00M,676.00M,864.00M,2.066B,350.00M,231.00M,,6.97B,0.00,143.00M,1.632B,5.863B,,673.00M,8.311B,-4.082B,4.229B,1.618B,480.00M,2.098B,,,936.00M,453.00M,7.716B,14.69B,,878.00M,,,,878.00M,2.498B,3.376B,,,,,234.00M,,234.00M,,,,,3.61B,,2.567B,,2.567B,,,,,,2.237B,4.804B,8.414B,,683.00M,3.271B,5.177B,1.433B,,-1.426B,6.272B,,,
2006-09,,2.067B,,2.067B,1.751B,,1.751B,526.00M,599.00M,964.00M,2.089B,,,512.00M,6.419B,,,,,,,8.07B,-3.975B,4.095B,1.587B,485.00M,2.072B,,,,1.345B,7.512B,13.93B,,2.841B,,,,2.841B,,2.841B,,,,,128.00M,,128.00M,,,,,2.969B,,2.68B,,2.68B,,,,,,1.944B,4.624B,7.593B,,683.00M,3.816B,4.558B,1.261B,,-1.458B,6.338B,,,
2006-06,,1.061B,,1.061B,1.754B,,1.754B,493.00M,644.00M,883.00M,2.02B,,,592.00M,5.427B,,,,,,,8.041B,-3.882B,4.159B,1.581B,487.00M,2.068B,,,,1.353B,7.58B,13.01B,,2.846B,,,,2.846B,,2.846B,,,,,115.00M,,115.00M,,,,,2.961B,,2.244B,,2.244B,,,,,,1.937B,4.181B,7.142B,,683.00M,3.442B,4.627B,1.393B,,-1.494B,5.865B,,,
2006-03,,881.00M,,881.00M,1.75B,,1.75B,480.00M,574.00M,952.00M,2.006B,,,594.00M,5.231B,,,,,,,7.886B,-3.764B,4.122B,1.562B,488.00M,2.05B,,,,1.377B,7.549B,12.78B,,2.796B,,,,2.796B,,2.796B,,,,,129.00M,,129.00M,,,,,2.925B,,2.276B,,2.276B,,,,,,1.832B,4.108B,7.033B,,683.00M,3.133B,4.636B,1.234B,,-1.471B,5.747B,,,
2005-12,,841.00M,,841.00M,1.766B,,1.766B,435.00M,614.00M,876.00M,1.925B,,,584.00M,5.116B,,,,,,,7.878B,-3.734B,4.144B,1.552B,494.00M,2.046B,,,,1.421B,7.611B,12.73B,,3.241B,,,,3.241B,,3.241B,,,,,924.00M,,924.00M,,,,,4.165B,,2.414B,,2.414B,,,,,,1.849B,4.263B,8.428B,,648.00M,2.851B,3.446B,1.15B,,-1.496B,4.299B,,,
2005-09,,1.712B,,1.712B,1.863B,,1.863B,432.00M,624.00M,892.00M,1.948B,284.00M,272.00M,,6.079B,,,,,,,7.854B,-3.74B,4.114B,,2.059B,2.059B,,,,1.531B,7.704B,13.78B,,2.415B,,,,2.415B,,2.415B,,,,,1.354B,,1.354B,,,,502.00M,4.271B,,3.008B,,3.008B,,,,,,2.128B,5.136B,9.407B,,648.00M,2.923B,3.472B,1.224B,,-1.443B,4.376B,,,
2005-06,,1.428B,,1.428B,1.959B,,1.959B,419.00M,624.00M,901.00M,1.944B,273.00M,235.00M,,5.839B,,,,,,,7.831B,-3.674B,4.157B,,2.062B,2.062B,,,,1.568B,7.787B,13.63B,,2.501B,,,,2.501B,,2.501B,,,,,1.45B,,1.45B,,,,410.00M,4.361B,,3.039B,,3.039B,,,,,,2.016B,5.055B,9.416B,,648.00M,2.807B,3.514B,1.323B,,-1.436B,4.21B,,,
2005-03,,1.106B,,1.106B,1.982B,,1.982B,447.00M,690.00M,968.00M,2.105B,339.00M,249.00M,,5.781B,,,,,,,7.994B,-3.684B,4.31B,,2.153B,2.153B,,,,1.564B,8.027B,13.81B,,2.701B,,,,2.701B,,2.701B,,,,,1.577B,,1.577B,,,,417.00M,4.695B,,3.022B,,3.022B,,,,,,2.081B,5.103B,9.798B,,648.00M,2.485B,3.549B,1.405B,,-1.267B,4.01B,,,
2004-12,,1.109B,,1.109B,2.091B,,2.091B,456.00M,754.00M,925.00M,2.135B,387.00M,297.00M,,6.019B,0.00,173.00M,1.67B,5.497B,,651.00M,7.991B,-3.622B,4.369B,,2.195B,2.195B,,,,1.564B,8.128B,14.15B,,3.925B,,,,3.925B,,3.925B,,,,,361.00M,,361.00M,,,,,4.286B,,3.933B,,3.933B,,,,,,2.223B,6.156B,10.44B,,648.00M,2.259B,3.597B,1.511B,,-1.288B,3.705B,,,
2004-09,,822.00M,,822.00M,2.108B,,2.108B,460.00M,813.00M,833.00M,2.106B,,,687.00M,5.723B,,,,,,,7.84B,-3.494B,4.346B,,2.212B,2.212B,,,,1.488B,8.046B,13.77B,,2.80B,,,,2.80B,,2.80B,,,,,178.00M,,178.00M,,,,648.00M,3.626B,,4.411B,,4.411B,,,,,,2.046B,6.457B,10.08B,,648.00M,2.427B,3.63B,1.613B,,-1.406B,3.686B,,,
2004-06,,760.00M,,760.00M,2.069B,,2.069B,476.00M,776.00M,865.00M,2.117B,294.00M,464.00M,,5.704B,,,,,,,7.799B,-3.469B,4.33B,,2.221B,2.221B,,,,1.405B,7.956B,13.66B,,2.839B,,,,2.839B,,2.839B,,,,,205.00M,,205.00M,,,,586.00M,3.63B,,4.429B,,4.429B,,,,,,2.299B,6.728B,10.36B,,649.00M,2.151B,3.68B,1.696B,,-1.482B,3.302B,,,
2004-03,,648.00M,,648.00M,2.097B,,2.097B,540.00M,743.00M,883.00M,2.166B,280.00M,209.00M,,5.40B,,,,,,,7.815B,-3.261B,4.554B,,2.253B,2.253B,,,,1.523B,8.33B,13.73B,,2.532B,,,,2.532B,,2.532B,,,,,177.00M,,177.00M,,,,567.00M,3.276B,,4.63B,,4.63B,,,,,,2.289B,6.919B,10.20B,,649.00M,2.372B,3.728B,1.799B,,-1.415B,3.535B,,,
2003-12,,925.00M,,925.00M,1.914B,,1.914B,568.00M,731.00M,805.00M,2.104B,277.00M,140.00M,,5.36B,,,,,,,7.791B,-3.199B,4.592B,,2.259B,2.259B,,,,1.496B,8.347B,13.71B,,3.107B,,,,3.107B,,3.107B,,,,,153.00M,,153.00M,,,,538.00M,3.798B,,4.421B,,4.421B,,,,,,2.214B,6.635B,10.43B,,649.00M,2.145B,3.773B,1.863B,,-1.43B,3.274B,,,
2003-09,,830.00M,,830.00M,1.90B,,1.90B,532.00M,706.00M,863.00M,2.101B,339.00M,182.00M,,5.352B,,,,,,,7.535B,-3.155B,4.38B,,2.114B,2.114B,,,,1.507B,8.001B,13.35B,,2.546B,,,,2.546B,,2.546B,,,,,151.00M,,151.00M,,,,540.00M,3.237B,,4.778B,,4.778B,139.00M,,139.00M,,,1.738B,6.655B,9.892B,,649.00M,2.184B,3.783B,1.918B,,-1.237B,3.461B,,,
2003-06,,608.00M,,608.00M,1.955B,,1.955B,529.00M,740.00M,807.00M,2.076B,403.00M,229.00M,,5.271B,,,,,,,7.282B,-3.125B,4.157B,,2.129B,2.129B,,,,1.658B,7.944B,13.22B,,2.391B,,,,2.391B,,2.391B,,,,,151.00M,,151.00M,,,,700.00M,3.242B,,4.806B,,4.806B,77.00M,,77.00M,,,1.999B,6.882B,10.12B,,627.00M,1.93B,3.191B,1.416B,,-1.241B,3.091B,,,
2003-03,,1.408B,,1.408B,1.918B,,1.918B,477.00M,613.00M,827.00M,1.917B,353.00M,87.00M,,5.683B,,,,,,,6.907B,-2.882B,4.025B,,2.081B,2.081B,,,,1.537B,7.643B,13.33B,,2.732B,,,,2.732B,,2.732B,,,,,116.00M,,116.00M,,,,686.00M,3.534B,,5.57B,,5.57B,,,,,,1.249B,6.819B,10.35B,,627.00M,1.891B,3.213B,1.453B,,-1.305B,2.973B,,,
2002-12,,1.169B,,1.169B,1.838B,,1.838B,439.00M,511.00M,795.00M,1.745B,283.00M,125.00M,,5.16B,0.00,129.00M,1.30B,4.238B,,1.012B,6.679B,-2.772B,3.907B,,2.02B,2.02B,,,,1.391B,7.318B,12.48B,,3.043B,,,,3.043B,,3.043B,,,,,220.00M,,220.00M,,,,588.00M,3.851B,,4.398B,29.00M,4.427B,,,,,,1.261B,5.688B,9.539B,,627.00M,1.689B,3.223B,1.326B,,-1.274B,2.939B,,,
2002-09,,278.00M,,278.00M,1.677B,184.00M,1.861B,447.00M,453.00M,813.00M,1.713B,323.00M,36.00M,,4.211B,,,,,,,6.279B,-2.629B,3.65B,,1.894B,1.894B,,,,1.412B,6.956B,11.17B,,2.355B,,,,2.355B,,2.355B,,,,,202.00M,,202.00M,,,,609.00M,3.166B,,2.935B,,2.935B,77.00M,,77.00M,,,631.00M,3.643B,6.809B,,612.00M,1.862B,2.984B,317.00M,,-783.00M,4.358B,,,
2002-06,,472.00M,,472.00M,1.712B,121.00M,1.833B,426.00M,316.00M,922.00M,1.664B,368.00M,46.00M,,4.383B,,,,,,,6.086B,-2.571B,3.515B,,1.862B,1.862B,,,,1.428B,6.805B,11.19B,,2.341B,,,,2.341B,,2.341B,,,,,217.00M,,217.00M,,,,574.00M,3.132B,,3.29B,,3.29B,82.00M,,82.00M,,,607.00M,3.979B,7.111B,,612.00M,1.546B,2.98B,346.00M,,-715.00M,4.077B,,,
2002-03,,522.00M,,522.00M,1.619B,122.00M,1.741B,387.00M,287.00M,788.00M,1.462B,396.00M,40.00M,,4.161B,,,,,,,5.788B,-2.462B,3.326B,,1.695B,1.695B,,,,1.435B,6.456B,10.62B,,2.004B,,,,2.004B,,2.004B,,,,,542.00M,,542.00M,,,,626.00M,3.172B,,2.677B,,2.677B,201.00M,,201.00M,,,627.00M,3.505B,6.677B,,609.00M,1.346B,2.813B,271.00M,,-557.00M,3.94B,,,
2001-12,,582.00M,,582.00M,1.493B,129.00M,1.622B,353.00M,244.00M,744.00M,1.341B,350.00M,82.00M,,3.977B,0.00,115.00M,1.111B,3.752B,,754.00M,5.732B,-2.426B,3.306B,,1.698B,1.698B,,,,1.362B,6.366B,10.34B,,708.00M,,,,708.00M,1.724B,2.432B,,,,,201.00M,,201.00M,,,,661.00M,3.294B,,2.486B,,2.486B,218.00M,,218.00M,,,588.00M,3.292B,6.586B,,609.00M,1.093B,2.815B,328.00M,,-432.00M,3.757B,,,
2001-09,,470.00M,,470.00M,1.519B,167.00M,1.686B,384.00M,225.00M,806.00M,1.415B,377.00M,116.00M,,4.064B,,,,,,,5.539B,-2.411B,3.128B,,1.592B,1.592B,,,,879.00M,5.599B,9.663B,,1.297B,,,,1.297B,,1.297B,,,,,565.00M,,565.00M,,,,683.00M,2.545B,,2.576B,,2.576B,117.00M,,117.00M,,,847.00M,3.54B,6.085B,,599.00M,1.516B,2.332B,292.00M,,-577.00M,3.578B,,,
2001-06,,431.00M,,431.00M,1.527B,162.00M,1.689B,367.00M,196.00M,795.00M,1.358B,416.00M,97.00M,,3.991B,,,,,,,5.241B,-2.319B,2.922B,,1.397B,1.397B,,,,972.00M,5.291B,9.282B,,1.344B,,,,1.344B,,1.344B,,,,,374.00M,,374.00M,,,,631.00M,2.349B,,2.378B,,2.378B,280.00M,,280.00M,,,861.00M,3.519B,5.868B,,599.00M,1.245B,2.281B,341.00M,,-370.00M,3.414B,,,
2001-03,,723.00M,,723.00M,1.424B,135.00M,1.559B,332.00M,180.00M,745.00M,1.257B,351.00M,119.00M,,4.009B,,,,,,,5.157B,-2.269B,2.888B,,1.37B,1.37B,,,,1.015B,5.273B,9.282B,,1.445B,,,,1.445B,,1.445B,,,,,670.00M,,670.00M,,,,655.00M,2.77B,,2.179B,,2.179B,214.00M,,214.00M,,,862.00M,3.255B,6.025B,,300.00M,992.00M,2.602B,255.00M,,-382.00M,3.257B,,,
2000-12,,579.00M,,579.00M,1.542B,,1.542B,,,,1.159B,,,371.00M,3.651B,,,,,,,4.978B,-2.171B,2.807B,,1.239B,1.239B,,,,1.036B,5.082B,8.733B,,1.99B,,,,1.99B,,1.99B,,,,,634.00M,,634.00M,,,,748.00M,3.372B,,1.726B,,1.726B,160.00M,,160.00M,,,816.00M,2.702B,6.074B,,298.00M,853.00M,2.506B,349.00M,,-649.00M,2.659B,,,
2000-09,,568.00M,,568.00M,,,1.591B,,,,1.257B,,,409.00M,3.825B,,,,,,,4.854B,-2.144B,2.71B,,1.258B,1.258B,,,,1.015B,4.983B,8.808B,,1.358B,,,,1.358B,,1.358B,,,,,448.00M,,448.00M,,,,640.00M,2.446B,,2.246B,,2.246B,371.00M,,371.00M,,,807.00M,3.424B,5.87B,,298.00M,923.00M,2.459B,316.00M,,-426.00M,2.938B,,,
2000-06,,496.00M,,496.00M,,,1.633B,,,,1.271B,,,419.00M,3.819B,,,,,,,4.755B,-2.087B,2.668B,,1.194B,1.194B,,,,1.106B,4.968B,8.787B,,1.498B,,,,1.498B,,1.498B,,,,,198.00M,,198.00M,,,,663.00M,2.359B,,2.355B,,2.355B,379.00M,,379.00M,,,823.00M,3.557B,5.916B,,298.00M,693.00M,2.462B,164.00M,,-418.00M,2.871B,,,
2000-03,,694.00M,,694.00M,,,1.619B,,,,1.263B,,,391.00M,3.967B,,,,,,,4.767B,-2.094B,2.673B,,1.004B,1.004B,,,,1.07B,4.747B,8.714B,,1.489B,,,,1.489B,,1.489B,,,,,435.00M,,435.00M,,,,595.00M,2.519B,,2.303B,,2.303B,330.00M,,330.00M,,,857.00M,3.49B,6.009B,,294.00M,689.00M,2.267B,197.00M,,-348.00M,2.705B,,,
1999-12,,606.00M,,606.00M,1.652B,,1.652B,,,,1.116B,,,445.00M,3.819B,,,,,,,4.709B,-2.059B,2.65B,,921.00M,921.00M,,,,2.254B,5.825B,9.644B,,1.805B,,,,1.805B,,1.805B,,,,,255.00M,,255.00M,,,,640.00M,2.70B,,2.601B,,2.601B,311.00M,,311.00M,,,684.00M,3.596B,6.296B,,294.00M,1.415B,2.282B,269.00M,,-374.00M,3.348B,,,
1999-09,,825.00M,,825.00M,,,1.641B,,,,1.211B,,,578.00M,4.255B,,,,,,,4.601B,-2.087B,2.514B,,862.00M,862.00M,,,,2.271B,5.647B,9.902B,,1.644B,,,,1.644B,,1.644B,,,,,371.00M,,371.00M,,,,535.00M,2.55B,,2.916B,,2.916B,443.00M,,443.00M,,,716.00M,4.075B,6.625B,,294.00M,1.27B,2.266B,167.00M,,-386.00M,3.277B,,,
1999-06,,723.00M,,723.00M,,,1.734B,,,,1.397B,,,633.00M,4.487B,,,,,,,4.945B,-2.297B,2.648B,,1.734B,1.734B,,,,1.03B,5.412B,9.899B,,1.786B,,,,1.786B,,1.786B,,,,,233.00M,,233.00M,,,,578.00M,2.597B,,2.907B,,2.907B,440.00M,,440.00M,,,736.00M,4.083B,6.68B,,294.00M,1.145B,2.249B,132.00M,,-337.00M,3.219B,,,
1999-03,,608.00M,,608.00M,,,1.829B,,,,1.331B,,,764.00M,4.532B,,,,,,,4.979B,-2.346B,2.633B,,1.735B,1.735B,,,,998.00M,5.366B,9.898B,,1.919B,,,,1.919B,,1.919B,,,,,417.00M,,417.00M,,,,595.00M,2.931B,,2.938B,,2.938B,499.00M,,499.00M,,,679.00M,4.116B,7.047B,,,1.023B,,,,,2.851B,,,
1998-12,,709.00M,,709.00M,,,1.746B,,,,1.167B,,,673.00M,4.295B,,,,,,,4.508B,-2.063B,2.445B,,930.00M,930.00M,,,,2.203B,5.578B,9.873B,,2.024B,,,,2.024B,,2.024B,,,,,271.00M,,271.00M,,,,536.00M,2.831B,,3.096B,,3.096B,461.00M,,461.00M,,,646.00M,4.203B,7.034B,,291.00M,990.00M,2.064B,210.00M,,-296.00M,2.839B,,,
1998-09,,478.00M,,478.00M,,,1.784B,,,,1.366B,,,598.00M,4.226B,,,,,,,4.701B,-2.258B,2.443B,,1.783B,1.783B,,,,1.119B,5.345B,9.571B,,2.005B,,,,2.005B,,2.005B,,,,,234.00M,,234.00M,,,,502.00M,2.741B,,2.921B,,2.921B,531.00M,,531.00M,,,679.00M,4.131B,6.872B,,,861.00M,,,,,2.699B,,,
1998-06,,428.00M,,428.00M,,,1.986B,,,,1.366B,,,457.00M,4.237B,,,,,,,4.609B,-2.146B,2.463B,,1.775B,1.775B,,,,800.00M,5.038B,9.275B,,1.804B,,,,1.804B,,1.804B,,,,,315.00M,,315.00M,,,,415.00M,2.534B,,3.111B,,3.111B,369.00M,,369.00M,,,386.00M,3.866B,6.40B,,,1.068B,,,,,2.875B,,,
1998-03,,431.00M,,431.00M,,,1.764B,,,,1.251B,,,548.00M,3.994B,,,,,,,4.465B,-2.079B,2.386B,,1.756B,1.756B,,,,770.00M,4.912B,8.906B,,1.714B,,,,1.714B,,1.714B,,,,,215.00M,,215.00M,,,,493.00M,2.422B,,2.898B,,2.898B,305.00M,,305.00M,,,587.00M,3.79B,6.212B,,,1.089B,,,,,2.694B,,,
1997-12,,465.00M,,465.00M,,,1.739B,,,,1.208B,,,458.00M,3.87B,,,,,,,4.407B,-2.047B,2.36B,,1.622B,1.622B,,,,855.00M,4.837B,8.707B,,1.963B,,,,1.963B,,1.963B,,,,,144.00M,,144.00M,,,,450.00M,2.557B,,2.635B,,2.635B,316.00M,,316.00M,,,580.00M,3.531B,6.088B,,,1.006B,,,,,2.619B,,,
1997-09,,409.00M,,409.00M,,,1.766B,,,,1.219B,,,307.00M,3.701B,,,,,,,4.22B,-2.021B,2.199B,,1.535B,1.535B,,,,720.00M,4.454B,8.155B,,1.729B,,,,1.729B,,1.729B,,,,,193.00M,,193.00M,,,,295.00M,2.217B,,2.56B,,2.56B,309.00M,,309.00M,,,600.00M,3.469B,5.686B,,,905.00M,,,,,2.469B,,,
1997-06,,831.00M,,831.00M,,,1.682B,,,,1.24B,,,416.00M,4.169B,,,,,,,4.127B,-1.982B,2.145B,,1.526B,1.526B,,,,815.00M,4.486B,8.655B,,1.951B,,,,1.951B,,1.951B,,,,,249.00M,,249.00M,,,,387.00M,2.587B,,2.659B,,2.659B,317.00M,,317.00M,,,642.00M,3.618B,6.205B,,,824.00M,,,,,2.45B,,,
1997-03,,588.00M,,588.00M,,,1.605B,,,,1.202B,,,413.00M,3.808B,,,,,,,4.075B,-1.925B,2.15B,,1.542B,1.542B,,,,838.00M,4.53B,8.338B,,1.965B,,,,1.965B,,1.965B,,,,,446.00M,,446.00M,,,,429.00M,2.84B,,2.174B,,2.174B,313.00M,,313.00M,,,685.00M,3.172B,6.012B,,,742.00M,,,,,2.326B,,,
1996-12,,761.00M,,761.00M,,,1.485B,,,,883.00M,,,351.00M,3.48B,,,,,,,3.795B,-1.952B,1.843B,,1.386B,1.386B,,,,887.00M,4.116B,7.596B,,442.00M,,,,442.00M,,442.00M,,,,,346.00M,,346.00M,,,,1.657B,2.445B,,1.695B,,1.695B,255.00M,,255.00M,,,697.00M,2.647B,5.092B,,,1.022B,,,,,2.504B,,,
1996-09,,833.00M,,833.00M,,,1.286B,,,,954.00M,,,387.00M,3.46B,,,,,,,3.615B,-1.844B,1.771B,,1.216B,1.216B,,,,1.099B,4.086B,7.546B,,1.436B,,,,1.436B,,1.436B,,,,,331.00M,,331.00M,,,,414.00M,2.181B,,1.692B,,1.692B,217.00M,,217.00M,,,879.00M,2.788B,4.969B,,,948.00M,,,,,2.577B,,,
1996-06,,670.00M,,670.00M,,,1.196B,,,,942.00M,,,308.00M,3.116B,,,,,,,3.532B,-1.792B,1.74B,,1.182B,1.182B,,,,3.665B,6.587B,9.703B,,1.366B,,,,1.366B,,1.366B,,,,,546.00M,,546.00M,,,,420.00M,2.332B,,2.449B,,2.449B,169.00M,,169.00M,,,963.00M,3.581B,5.913B,,,2.279B,,,,,3.79B,,,
1996-03,,592.00M,,592.00M,,,1.234B,,,,940.00M,,,259.00M,3.025B,,,,,,,3.481B,-1.735B,1.746B,,1.152B,1.152B,,,,3.677B,6.575B,9.60B,,1.308B,,,,1.308B,,1.308B,,,,,339.00M,,339.00M,,,,377.00M,2.024B,,2.672B,,2.672B,144.00M,,144.00M,,,1.028B,3.844B,5.868B,,,2.184B,,,,,3.732B,,,
1995-12,,476.00M,,476.00M,,,1.209B,,,,906.00M,,,320.00M,2.911B,,,,,,,3.427B,-1.678B,1.749B,,1.098B,1.098B,,,,3.679B,6.526B,9.437B,,355.00M,,,,355.00M,,355.00M,,,,,219.00M,,219.00M,,,,1.58B,2.154B,,2.372B,,2.372B,173.00M,,173.00M,,,1.034B,3.579B,5.733B,,,2.105B,,,,,3.704B,,,
1995-09,,468.00M,,468.00M,,,1.689B,,,,1.653B,,,494.00M,4.304B,,,,,,,4.589B,-2.065B,2.524B,,2.218B,2.218B,,,,1.23B,5.972B,10.28B,,2.018B,,,,2.018B,,2.018B,,,,,259.00M,,259.00M,,,,520.00M,2.797B,,2.358B,,2.358B,158.00M,,158.00M,,,1.411B,3.927B,6.724B,,,2.006B,,,,,3.552B,,,
1995-06,,385.00M,,385.00M,,,1.762B,,,,1.675B,,,465.00M,4.287B,,,,,,,4.56B,-1.965B,2.595B,,2.273B,2.273B,,,,1.067B,5.935B,10.22B,,1.966B,,,,1.966B,,1.966B,,,,,307.00M,,307.00M,,,,385.00M,2.658B,,2.508B,,2.508B,224.00M,,224.00M,,,1.137B,3.869B,6.527B,,,1.917B,,,,,3.695B,,,
1995-03,,263.00M,,263.00M,,,1.701B,,,,1.598B,,,467.00M,4.029B,,,,,,,4.48B,-1.911B,2.569B,,2.268B,2.268B,,,,1.06B,5.897B,9.926B,,1.884B,,,,1.884B,,1.884B,,,,,410.00M,,410.00M,,,,434.00M,2.728B,,2.123B,,2.123B,163.00M,,163.00M,,,1.225B,3.511B,6.239B,,,1.831B,,,,,3.687B,,,
1994-12,,471.00M,,471.00M,1.916B,,1.916B,,,,1.537B,,,416.00M,4.34B,,,,,,,4.431B,-1.869B,2.562B,,2.29B,2.29B,,,,810.00M,5.662B,10.00B,,701.00M,,,,701.00M,,701.00M,,,,,531.00M,,531.00M,,,,1.534B,2.766B,,2.341B,,2.341B,167.00M,,167.00M,,,1.008B,3.516B,6.282B,,,1.762B,,,,,3.72B,,,
1994-09,,349.00M,,349.00M,,,1.676B,,,,1.764B,,,518.00M,4.307B,,,,,,,4.764B,-2.084B,2.68B,,3.309B,3.309B,,,,,5.989B,10.30B,,2.028B,,,,2.028B,,2.028B,,,,,597.00M,,597.00M,,,,,2.625B,,2.416B,,2.416B,,,,,,1.594B,4.01B,6.635B,,,1.662B,,,,,3.661B,,,
