,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-06,2.577B,2.577B,1.464B,1.113B,,,537.00M,133.00M,,2.00M,,,,,670.00M,443.00M,,,,2.00M,,412.00M,88.00M,324.00M,-2.00M,,,,322.00M,322.43M,588.00M,145.00M,443.00M,,0.52,0.00,,,0.5175,0.52,,0.51,0.00,,,0.5075,0.51,,621.00M,626.00M,0.00,,,
2005-03,2.383B,2.383B,1.414B,969.00M,,,507.00M,133.00M,,,,,,,640.00M,329.00M,,,,,,298.00M,74.00M,224.00M,2.00M,,,,226.00M,224.00M,476.00M,147.00M,329.00M,,0.36,0.01,,,0.36,0.37,,0.36,0.00,,,0.36,0.36,,619.00M,623.00M,0.00,,,
2004-12,2.601B,2.601B,1.481B,1.12B,,,500.00M,128.00M,,-292.00M,,,,,628.00M,492.00M,,,,-292.00M,,167.00M,61.00M,106.00M,0.00,,,,106.00M,291.34M,648.00M,156.00M,492.00M,,0.17,0.00,,,0.4704,0.17,,0.17,0.00,,,0.4685,0.17,,617.00M,621.00M,0.582,,,
2004-09,2.32B,2.32B,1.357B,963.00M,,,462.00M,124.00M,,-11.00M,,,,,586.00M,377.00M,,,,-11.00M,,346.00M,87.00M,259.00M,17.00M,,,,276.00M,267.23M,527.00M,150.00M,377.00M,,0.42,0.03,,,0.4334,0.45,,0.42,0.03,,,0.4333,0.45,,615.00M,619.00M,0.00,,,
2004-06,2.379B,2.379B,1.44B,939.00M,,,532.00M,129.00M,,-585.00M,,,,,661.00M,278.00M,,,,-585.00M,,-332.00M,-163.00M,-169.00M,-1.00M,,,,-170.00M,182.00M,425.00M,147.00M,278.00M,,-0.28,0.00,,,0.2926,-0.28,,-0.28,0.00,,,0.2926,-0.28,,613.00M,613.00M,0.00,,,
2004-03,2.209B,2.209B,1.315B,894.00M,,,464.00M,136.00M,,-21.00M,,,,3.00M,603.00M,291.00M,,,,-21.00M,,252.00M,63.00M,189.00M,-11.00M,,,,178.00M,204.75M,439.00M,148.00M,291.00M,,0.31,-0.02,,,0.3357,0.29,,0.31,-0.02,,,0.3356,0.29,,612.00M,616.00M,0.00,,,
2003-12,2.525B,2.525B,1.397B,1.128B,,,490.00M,141.00M,,4.00M,,,,,631.00M,497.00M,,,,4.00M,,485.00M,122.00M,363.00M,-7.00M,0.00,,,356.00M,360.01M,643.00M,146.00M,497.00M,,0.60,-0.0218,0.00,,0.5941,0.65,,0.60,-0.0218,-0.0011,,0.5941,0.65,,509.04M,509.04M,0.582,,,
2003-09,2.219B,2.219B,1.247B,972.00M,,,438.00M,137.00M,,-6.00M,,,,,575.00M,397.00M,,,,-6.00M,,366.00M,88.00M,278.00M,-5.00M,-17.00M,,,256.00M,282.56M,537.00M,140.00M,397.00M,,0.47,-0.01,0.00,,0.4777,0.43,,0.47,-0.01,-0.0289,,0.4777,0.43,,589.00M,592.00M,0.00,,,
2003-06,2.162B,2.162B,1.191B,971.00M,,,466.00M,139.00M,,-351.00M,,,,,605.00M,366.00M,,,,-351.00M,,-12.00M,-58.00M,46.00M,-11.00M,,,,35.00M,256.60M,497.00M,131.00M,366.00M,,0.08,-0.02,,,0.4322,0.06,,0.08,-0.02,,,0.4236,0.06,,598.00M,613.00M,0.00,,,
2003-03,1.997B,1.997B,1.117B,880.00M,,,413.00M,136.00M,,-26.00M,,,,,549.00M,331.00M,,,,-26.00M,,286.00M,69.00M,217.00M,-1.00M,,,,216.00M,236.73M,459.00M,128.00M,331.00M,,0.36,0.00,,,0.3930,0.36,,0.36,-0.01,,,0.3923,0.35,,598.00M,611.00M,0.00,,,
2002-12,2.025B,2.025B,993.00M,1.032B,,,391.00M,141.00M,,-145.00M,,,,,532.00M,500.00M,,,,-145.00M,,345.00M,88.00M,257.00M,,,,,2.00M,365.01M,607.00M,107.00M,500.00M,,0.0033,,,,0.1835,0.0033,,0.0033,,,,0.1835,0.0033,,599.50M,599.50M,0.582,,,
2002-09,2.102B,2.102B,1.156B,946.00M,,,385.00M,122.00M,,-6.00M,,,,,507.00M,439.00M,,,,-6.00M,,422.00M,106.00M,316.00M,,,,,316.00M,320.49M,559.00M,120.00M,439.00M,,0.52,0.00,,,0.5275,0.52,,0.51,0.00,,,0.5172,0.51,,603.00M,624.00M,0.00,,,
2002-06,2.022B,2.022B,1.101B,921.00M,,,390.00M,123.00M,,-117.00M,,,,,513.00M,408.00M,,,,-117.00M,,277.00M,77.00M,200.00M,,,,,200.00M,284.48M,517.00M,109.00M,408.00M,,0.33,0.00,,,0.4703,0.33,,0.32,0.00,,,0.4558,0.32,,602.00M,622.00M,0.00,,,
2002-03,1.875B,1.875B,995.00M,880.00M,,,393.00M,115.00M,,-12.00M,,,,,508.00M,372.00M,,,,-12.00M,,344.00M,91.00M,253.00M,,,,,253.00M,261.83M,475.00M,103.00M,372.00M,,0.42,0.00,,,0.4347,0.42,,0.41,0.00,,,0.4242,0.41,,600.00M,622.00M,0.00,,,
2001-12,1.829B,1.829B,869.00M,960.00M,,,384.00M,114.00M,8.00M,-445.00M,,,,,506.00M,454.00M,,,,-459.00M,,-18.00M,46.00M,-64.00M,,0.00,,,-75.00M,203.00M,553.00M,99.00M,454.00M,,-0.12,0.0697,0.00,,0.5486,-0.03,,-0.13,0.0697,-0.0077,,0.4984,-0.04,,399.37M,424.87M,0.582,,,
2001-09,1.90B,1.90B,1.045B,855.00M,,,352.00M,105.00M,12.00M,1.00M,,,,,469.00M,386.00M,,,,1.00M,,368.00M,96.00M,272.00M,,,,,272.00M,271.26M,497.00M,111.00M,386.00M,,0.46,0.00,,,0.4587,0.46,,0.45,0.00,,,0.4488,0.45,,589.00M,609.00M,0.00,,,
2001-06,1.87B,1.87B,1.044B,826.00M,,,361.00M,104.00M,11.00M,9.00M,,,,,476.00M,350.00M,,,,9.00M,,342.00M,89.00M,253.00M,,,,,253.00M,246.34M,459.00M,109.00M,350.00M,,0.43,0.00,,,0.4187,0.43,,0.42,0.00,,,0.4090,0.42,,590.00M,608.00M,0.00,,,
2001-03,1.757B,1.757B,986.00M,771.00M,,,343.00M,103.00M,12.00M,-7.00M,,,,,458.00M,313.00M,,,,-7.00M,,287.00M,73.00M,214.00M,,-52.00M,,,162.00M,219.22M,421.00M,108.00M,313.00M,,0.365,-0.09,0.00,,0.3738,0.275,,0.355,-0.09,-0.0881,,0.3636,0.27,,590.00M,606.00M,0.00,,,
2000-12,1.733B,1.733B,1.154B,579.00M,,,351.00M,105.00M,,19.00M,,,,,183.00M,396.00M,,,,10.00M,,380.00M,94.00M,286.00M,-16.00M,,,,270.00M,271.70M,489.00M,93.00M,396.00M,,0.47,-0.0290,,,0.4453,0.465,,0.465,-0.0290,,,0.4403,0.46,,578.71M,580.00M,0.582,,,
2000-09,1.687B,1.687B,816.00M,871.00M,,,328.00M,97.00M,,9.00M,,,,,543.00M,328.00M,,,,9.00M,,312.00M,81.00M,231.00M,,,,,231.00M,224.34M,446.00M,118.00M,328.00M,,0.39,0.00,,,0.3787,0.39,,0.385,0.00,,,0.3740,0.385,,590.00M,604.00M,0.00,,,
2000-06,1.694B,1.694B,867.00M,827.00M,,,336.00M,93.00M,,-280.00M,,,,,515.00M,312.00M,,,,-280.00M,,13.00M,-33.00M,46.00M,2.00M,,,,48.00M,214.00M,398.00M,86.00M,312.00M,,0.075,0.005,,,0.3637,0.08,,0.075,0.005,,,0.3578,0.08,,582.00M,594.00M,0.00,,,
2000-03,1.583B,1.583B,804.00M,779.00M,,,315.00M,83.00M,,-5.00M,,,,,495.00M,284.00M,,,,-5.00M,,257.00M,66.00M,191.00M,,,,,191.00M,194.72M,381.00M,97.00M,284.00M,,0.33,0.02,,,0.3364,0.35,,0.325,0.02,,,0.3313,0.345,,580.00M,592.00M,0.00,,,
1999-12,1.769B,1.769B,898.00M,871.00M,,,360.00M,90.00M,,9.00M,,,,,543.00M,328.00M,,,,9.00M,,313.00M,82.00M,231.00M,-2.00M,0.00,,,229.00M,224.36M,421.00M,93.00M,328.00M,,0.40,-0.005,0.00,,0.3887,0.395,,0.39,-0.005,0.0002,,0.3787,0.39,,586.00M,590.00M,0.1455,,,
1999-09,1.589B,1.589B,828.00M,761.00M,,,328.00M,83.00M,,-4.00M,,,,,463.00M,298.00M,,,,-4.00M,,267.00M,70.00M,197.00M,13.00M,,,,210.00M,199.95M,350.00M,52.00M,298.00M,,0.335,0.025,,,0.3401,0.36,,0.335,0.02,,,0.3400,0.355,,584.00M,594.00M,0.1455,,,
1999-06,1.56B,1.56B,766.00M,794.00M,,,319.00M,84.00M,,3.00M,,,,,511.00M,283.00M,,,,3.00M,,255.00M,66.00M,189.00M,18.00M,,,,207.00M,186.78M,413.00M,130.00M,283.00M,,0.325,0.03,,,0.3212,0.355,,0.32,0.03,,,0.3162,0.35,,580.00M,590.00M,0.1455,,,
1999-03,1.462B,1.462B,745.00M,717.00M,,,304.00M,75.00M,,10.00M,,,,,476.00M,241.00M,,,,10.00M,,216.00M,54.00M,162.00M,16.00M,-27.00M,,,151.00M,154.50M,338.00M,97.00M,241.00M,,0.28,0.03,0.00,,0.2669,0.265,,0.275,0.03,-0.0470,,0.2622,0.26,,574.00M,586.00M,0.1455,,,
1998-12,1.604B,1.604B,804.00M,800.00M,,,339.00M,76.00M,,18.00M,,,,,506.00M,294.00M,,,,18.00M,,273.00M,71.00M,202.00M,10.00M,,,,212.00M,188.68M,385.00M,91.00M,294.00M,,0.355,0.02,,,0.3318,0.375,,0.345,0.02,,,0.3222,0.365,,574.00M,584.00M,0.1455,,,
1998-09,1.427B,1.427B,756.00M,671.00M,,,306.00M,89.00M,,-280.00M,,,,,437.00M,234.00M,,,,-280.00M,,-83.00M,44.00M,-127.00M,3.00M,,,,-124.00M,41.00M,276.00M,42.00M,234.00M,,-0.215,0.005,,,0.0797,-0.21,,-0.215,0.005,,,0.0797,-0.21,,570.00M,570.00M,0.1455,,,
1998-06,1.419B,1.419B,664.00M,755.00M,,,306.00M,84.00M,,-112.00M,,,,,496.00M,259.00M,,,,-112.00M,,104.00M,52.00M,52.00M,11.00M,,,,63.00M,119.20M,365.00M,104.00M,259.00M,,0.09,0.02,,,0.2087,0.11,,0.09,0.02,,,0.2067,0.11,,566.00M,576.00M,0.1455,,,
1998-03,1.468B,1.468B,711.00M,757.00M,,,307.00M,86.00M,,4.00M,,,,,500.00M,257.00M,,,,4.00M,,219.00M,55.00M,164.00M,,,,,164.00M,161.00M,364.00M,107.00M,257.00M,,0.295,0.00,,,0.2897,0.295,,0.29,0.00,,,0.2847,0.29,,560.00M,570.00M,0.1455,,,
1997-12,753.00M,753.00M,375.00M,378.00M,,,150.00M,57.00M,,177.00M,,,,,226.00M,152.00M,,,,177.00M,,290.00M,37.00M,253.00M,,,,,182.00M,98.58M,171.00M,19.00M,152.00M,,0.455,-0.13,,,0.1802,0.325,,0.445,-0.13,,,0.1741,0.32,,562.00M,570.00M,0.1455,,,
1997-09,1.494B,1.494B,739.00M,755.00M,,,325.00M,97.00M,,18.00M,,,,,519.00M,236.00M,,,,18.00M,,212.00M,53.00M,159.00M,,,,,159.00M,145.50M,333.00M,97.00M,236.00M,,0.285,0.00,,,0.2609,0.285,,0.28,0.00,,,0.2563,0.28,,560.00M,570.00M,0.1413,,,
1997-06,1.569B,1.569B,773.00M,796.00M,,,347.00M,95.00M,,1.00M,,,,,535.00M,261.00M,,,,1.00M,,218.00M,56.00M,162.00M,,,,,162.00M,161.26M,354.00M,93.00M,261.00M,,0.29,0.00,,,0.2887,0.29,,0.285,0.00,,,0.2837,0.285,,556.00M,564.00M,0.1413,,,
1997-03,1.443B,1.443B,683.00M,760.00M,,,323.00M,90.00M,,-350.00M,,,,,522.00M,238.00M,,,,-350.00M,,-150.00M,53.00M,-203.00M,,,,,-203.00M,7.00M,347.00M,109.00M,238.00M,,-0.37,0.00,,,0.0132,-0.37,,-0.37,0.00,,,0.0132,-0.37,,548.00M,548.00M,0.1413,,,
1996-12,1.494B,1.494B,745.00M,749.00M,,,312.00M,90.00M,,-9.00M,,,,,495.00M,254.00M,,,,-9.00M,,218.00M,60.00M,158.00M,0.00,,,,158.00M,164.52M,347.00M,93.00M,254.00M,,0.2900,0.00,,,0.3019,0.2900,,0.2900,0.00,,,0.2960,0.2900,,544.88M,1.088B,0.1413,,,
1996-09,1.31B,1.31B,644.00M,666.00M,,,272.00M,84.00M,,13.00M,,,,,440.00M,226.00M,,,,13.00M,,190.00M,53.00M,137.00M,40.00M,,,,177.00M,127.63M,310.00M,84.00M,226.00M,,0.125,0.0375,,,0.1164,0.1625,,0.1225,0.0375,,,0.1139,0.16,,1.092B,1.092B,0.1407,,,
1996-06,1.335B,1.335B,663.00M,672.00M,,,282.00M,84.00M,,26.00M,,,,,453.00M,219.00M,,,,26.00M,,197.00M,55.00M,142.00M,34.00M,,,,176.00M,123.26M,306.00M,87.00M,219.00M,,0.26,0.065,,,0.2255,0.325,,0.26,0.065,,,0.2255,0.325,,544.00M,544.00M,0.1407,,,
1996-03,1.299B,1.299B,645.00M,654.00M,,,276.00M,82.00M,,22.00M,,,,,442.00M,212.00M,,,,22.00M,,188.00M,50.00M,138.00M,20.00M,,,,158.00M,121.85M,296.00M,84.00M,212.00M,,0.1275,0.0175,,,0.1127,0.145,,0.125,0.0175,,,0.1102,0.1425,,1.088B,1.088B,0.1314,,,
1995-12,-2.191B,-2.191B,-2.029B,-162.00M,,,-237.00M,83.00M,,-124.00M,,,,,-195.00M,33.00M,,,,-124.00M,,-136.00M,-34.00M,-102.00M,,,,,176.00M,-9.00M,-8.00M,-41.00M,33.00M,,-0.18,0.505,,,-0.0103,0.325,,-0.18,0.505,,,-0.0127,0.325,,548.00M,556.00M,0.1314,,,
1995-09,2.456B,2.456B,1.531B,925.00M,,,451.00M,100.00M,,26.00M,,,,,673.00M,252.00M,,,,26.00M,,231.00M,68.00M,163.00M,,,,,163.00M,144.65M,374.00M,122.00M,252.00M,,0.295,0.00,,,0.2616,0.295,,0.295,0.00,,,0.2616,0.295,,550.00M,550.00M,0.1314,,,
1995-06,2.465B,2.465B,1.532B,933.00M,,,446.00M,84.00M,,-3.00M,,,,,656.00M,277.00M,,,,-3.00M,,229.00M,64.00M,165.00M,,,,,165.00M,167.16M,403.00M,126.00M,277.00M,,0.295,0.00,,,0.2989,0.295,,0.295,0.00,,,0.2989,0.295,,556.00M,556.00M,0.1314,,,
1995-03,2.318B,2.318B,1.435B,883.00M,,,424.00M,78.00M,,-9.00M,,,,,631.00M,252.00M,,,,-9.00M,,200.00M,55.00M,145.00M,,,,,145.00M,151.52M,381.00M,129.00M,252.00M,,0.26,0.00,,,0.2716,0.26,,0.26,0.00,,,0.2716,0.26,,562.00M,562.00M,0.1221,,,
1994-12,2.50B,2.50B,1.484B,1.016B,,,492.00M,95.00M,,-9.00M,,,,,721.00M,295.00M,,,,-9.00M,,236.00M,64.00M,172.00M,,,,,172.00M,178.56M,429.00M,134.00M,295.00M,,0.305,0.00,,,0.3166,0.305,,0.305,0.00,,,0.3166,0.305,,566.00M,566.00M,0.1221,,,
1994-09,2.315B,2.315B,1.374B,941.00M,,,468.00M,88.00M,,,,,,,692.00M,249.00M,,,,,,202.00M,53.00M,149.00M,,,,,149.00M,149.00M,385.00M,136.00M,249.00M,,0.265,0.00,,,0.265,0.265,,0.265,0.00,,,0.265,0.265,,566.00M,566.00M,0.1313,,,
1994-06,2.316B,2.316B,1.392B,924.00M,,,459.00M,84.00M,,-14.00M,,,,,672.00M,252.00M,,,,-14.00M,,189.00M,45.00M,144.00M,,,,,144.00M,154.67M,381.00M,129.00M,252.00M,,0.26,0.00,,,0.2792,0.26,,0.26,0.00,,,0.2792,0.26,,556.00M,556.00M,0.125,,,
1994-03,2.193B,2.193B,1.325B,868.00M,,,440.00M,76.00M,,-6.00M,,,,,641.00M,227.00M,,,,-6.00M,,174.00M,43.00M,131.00M,,,,,131.00M,135.52M,352.00M,125.00M,227.00M,,0.235,0.00,,,0.2432,0.235,,0.235,0.00,,,0.2432,0.235,,554.00M,554.00M,0.125,,,
1993-12,2.395B,2.395B,1.408B,987.00M,,,1.275B,,,-251.00M,,,,,1.406B,-419.00M,,,,-251.00M,,-729.00M,-137.00M,-592.00M,,-11.00M,,,-603.00M,-388.17M,-288.00M,131.00M,-419.00M,,-1.075,-0.015,0.00,,-0.7055,-1.09,,-1.075,-0.015,-0.0196,,-0.7055,-1.09,,551.62M,551.62M,0.125,,,
1993-09,2.228B,2.228B,1.295B,933.00M,,,573.00M,,,-6.00M,,,,,697.00M,236.00M,,,,-6.00M,,174.00M,39.00M,135.00M,,,,,135.00M,139.66M,360.00M,124.00M,236.00M,,0.245,0.00,,,0.2534,0.245,,0.245,0.00,,,0.2534,0.245,,551.02M,551.02M,0.125,,,
1993-06,2.215B,2.215B,1.287B,928.00M,,,602.00M,,,21.00M,,,,,724.00M,204.00M,,,,21.00M,,170.00M,38.00M,132.00M,,,,,132.00M,115.69M,326.00M,122.00M,204.00M,,0.24,0.00,,,0.2104,0.24,,0.24,0.00,,,0.2104,0.24,,550.00M,550.00M,0.125,,,
1993-03,2.041B,2.041B,1.173B,868.00M,,,533.00M,,,-111.00M,,,,,650.00M,218.00M,,,,-111.00M,,55.00M,-2.00M,57.00M,,81.00M,,,138.00M,123.60M,335.00M,117.00M,218.00M,,0.10,0.145,0.00,,0.2182,0.245,,0.10,0.145,0.1438,,0.2182,0.245,,563.27M,563.27M,0.125,,,
1992-12,2.303B,2.303B,1.288B,1.015B,,,602.00M,,,-29.00M,,,,,722.00M,293.00M,,,,-29.00M,,212.00M,46.00M,166.00M,-9.00M,,,0.00,10.00M,188.71M,413.00M,120.00M,293.00M,,0.295,-0.015,,,0.3352,0.015,,0.295,-0.015,,,0.3347,0.015,,565.31M,572.22M,0.1075,,,
1992-09,2.116B,2.116B,1.196B,920.00M,,,533.00M,,,-20.00M,,,,,644.00M,276.00M,,,,-20.00M,,205.00M,54.00M,151.00M,22.00M,,,,173.00M,165.73M,387.00M,111.00M,276.00M,,0.27,0.04,,,0.2964,0.31,,0.27,0.04,,,0.2964,0.31,,558.06M,558.06M,0.1075,,,
1992-06,2.08B,2.08B,1.18B,900.00M,,,540.00M,,,-21.00M,,,,,643.00M,257.00M,,,,-21.00M,,182.00M,50.00M,132.00M,13.00M,,,,127.00M,147.23M,360.00M,103.00M,257.00M,,0.235,0.025,,-0.0326,0.2626,0.23,,0.235,0.02,,-0.0326,0.2620,0.225,,552.17M,564.44M,0.1075,,,
1992-03,2.296B,2.296B,1.368B,928.00M,,,568.00M,,,-13.00M,,,,,681.00M,247.00M,,,,-13.00M,,180.00M,49.00M,131.00M,,,,5.00M,131.00M,140.46M,360.00M,113.00M,247.00M,,0.225,0.00,,,0.2419,0.225,,0.225,0.00,,,0.2419,0.225,,560.00M,560.00M,0.1075,,,
1991-12,2.39B,2.39B,1.396B,994.00M,,,568.00M,,,-15.00M,,,,,680.00M,314.00M,,,,-15.00M,,244.00M,60.00M,184.00M,,,,5.00M,184.00M,195.31M,426.00M,112.00M,314.00M,,0.32,0.00,,,0.3402,0.32,,0.315,0.00,,,0.3349,0.315,,559.29M,568.35M,0.0925,,,
1991-09,2.212B,2.212B,1.285B,927.00M,,,539.00M,,,-12.00M,,,,,643.00M,284.00M,,,,-12.00M,,217.00M,61.00M,156.00M,,,,6.00M,156.00M,164.63M,388.00M,104.00M,284.00M,,0.27,0.00,,,0.2855,0.27,,0.265,0.00,,,0.2802,0.265,,555.56M,566.04M,0.0925,,,
1991-06,2.197B,2.197B,1.28B,917.00M,,,542.00M,,,-15.00M,,,,,650.00M,267.00M,,,,-15.00M,,195.00M,54.00M,141.00M,,,,6.00M,141.00M,151.85M,375.00M,108.00M,267.00M,,0.24,0.00,,,0.2593,0.24,,0.24,0.00,,,0.2593,0.24,,562.50M,562.50M,0.0925,,,
1991-03,2.122B,2.122B,1.263B,859.00M,,,533.00M,,,-19.00M,,,,,636.00M,223.00M,,,,-19.00M,,149.00M,39.00M,110.00M,,,,6.00M,110.00M,124.03M,326.00M,103.00M,223.00M,,0.185,0.00,,,0.2100,0.185,,0.185,0.00,,,0.2100,0.185,,562.16M,562.16M,0.0925,,,
1990-12,2.174B,2.174B,1.277B,897.00M,,,527.00M,,,30.00M,,,,,623.00M,274.00M,,,,30.00M,,240.00M,62.00M,178.00M,,,,6.00M,178.00M,155.75M,370.00M,96.00M,274.00M,,0.345,0.00,,,0.2930,0.345,,0.345,0.00,,,0.2930,0.345,,428.11M,428.11M,0.08,,,
1990-09,2.02B,2.02B,1.184B,836.00M,,,484.00M,,,7.00M,,,,,582.00M,254.00M,,,,7.00M,,197.00M,62.00M,135.00M,,,,15.00M,135.00M,130.20M,352.00M,98.00M,254.00M,,0.23,0.00,,,0.2208,0.23,,0.23,0.00,,,0.2208,0.23,,521.74M,521.74M,0.08,,,
1990-06,2.003B,2.003B,1.186B,817.00M,,,482.00M,,,-23.00M,,,,,576.00M,241.00M,,,,-23.00M,,152.00M,42.00M,110.00M,,,,16.00M,110.00M,126.64M,335.00M,94.00M,241.00M,,0.185,0.00,,,0.2178,0.185,,0.185,0.00,,,0.2178,0.185,,508.11M,508.11M,0.08,,,
1990-03,1.903B,1.903B,1.167B,736.00M,,,1.048B,,,-12.00M,,,,,1.143B,-407.00M,,,,-12.00M,,-484.00M,-101.00M,-383.00M,,,,15.00M,-383.00M,-373.50M,-312.00M,95.00M,-407.00M,,-0.795,0.00,,,-0.7760,-0.795,,-0.795,0.00,,,-0.7760,-0.795,,500.63M,500.63M,0.08,,,
1989-12,1.961B,1.961B,1.175B,786.00M,,,421.00M,,,-13.00M,,,,,512.00M,274.00M,,,,-13.00M,,191.00M,52.00M,139.00M,,,,15.00M,139.00M,148.46M,365.00M,91.00M,274.00M,,0.235,0.00,,,0.2527,0.235,,0.235,0.00,,,0.2527,0.235,,533.44M,533.44M,0.07,,,
1989-09,1.808B,1.808B,1.065B,743.00M,,,453.00M,,,8.00M,,,,,547.00M,196.00M,,,,8.00M,,135.00M,33.00M,102.00M,,,,15.00M,102.00M,95.96M,290.00M,94.00M,196.00M,,0.17,0.00,,,0.1582,0.17,,0.17,0.00,,,0.1582,0.17,,511.76M,511.76M,0.07,,,
1989-06,1.856B,1.856B,1.105B,751.00M,,,471.00M,,,56.00M,,,,,562.00M,189.00M,,,,56.00M,,174.00M,70.00M,104.00M,,,,16.00M,104.00M,70.40M,280.00M,91.00M,189.00M,,0.175,0.00,,,0.1082,0.175,,0.175,0.00,,,0.1082,0.175,,502.86M,502.86M,0.07,,,
1989-03,1.774B,1.774B,1.041B,733.00M,,,466.00M,,,36.00M,,,,,558.00M,175.00M,,,,36.00M,,137.00M,36.00M,101.00M,,,,16.00M,101.00M,74.46M,267.00M,92.00M,175.00M,,0.17,0.00,,,0.1169,0.17,,0.17,0.00,,,0.1169,0.17,,500.00M,500.00M,0.07,,,
1988-12,1.825B,1.825B,,,,,,,,,,,,,,-4.291B,,,,,,,,121.00M,,,,,121.00M,,-4.291B,,-4.291B,,,,,,,,,,,,,,,,491.04M,491.04M,0.0625,,,
1988-09,1.708B,1.708B,,,,,,,,,,,,,,1.708B,,,,,,,,85.00M,,,,,85.00M,,1.708B,,1.708B,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,489.13M,489.13M,0.0625,,,
1988-06,1.693B,1.693B,,,,,,,,,,,,,,1.693B,,,,,,,,91.00M,,,,,91.00M,,1.693B,,1.693B,,0.155,0.00,,,0.155,0.155,,0.155,0.00,,,0.155,0.155,,483.32M,483.32M,0.0625,,,
1988-03,1.635B,1.635B,,,,,,,,,,,,,,1.635B,,,,,,,,91.00M,,,,,91.00M,,1.635B,,1.635B,,0.155,0.00,,,0.155,0.155,,0.155,0.00,,,0.155,0.155,,480.70M,480.70M,0.0625,,,
1987-12,1.647B,1.647B,,,,,,,,,,,,,,-3.884B,,,,,,,,90.00M,,,,,90.00M,,-3.884B,,-3.884B,,,,,,,,,,,,,,,,480.72M,480.72M,0.055,,,
1987-09,1.585B,1.585B,,,,,,,,,,,,,,1.585B,,,,,,,,90.00M,,,,,90.00M,,1.585B,,1.585B,,0.155,0.00,,,0.155,0.155,,0.155,0.00,,,0.155,0.155,,436.04M,436.04M,0.055,,,
1987-06,1.534B,1.534B,,,,,,,,,,,,,,1.534B,,,,,,,,77.00M,,,,,77.00M,,1.534B,,1.534B,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,432.68M,432.68M,0.055,,,
1987-03,1.457B,1.457B,,,,,,,,,,,,,,1.457B,,,,,,,,66.00M,,,,,66.00M,,1.457B,,1.457B,,0.11,0.00,,,0.11,0.11,,0.105,0.00,,,0.105,0.105,,430.61M,430.61M,0.055,,,
1986-12,1.435B,1.435B,,,,,,,,,,,,,,-3.625B,,,,,,,,59.00M,0.00,,,,59.00M,,-3.625B,,-3.625B,,,0.00,,,,0.00,,,0.00,,,,0.00,,430.61M,430.61M,0.05,,,
1986-09,1.382B,1.382B,,,,,,,,,,,,,,1.382B,,,,,,,,49.00M,11.00M,,,,60.00M,,1.382B,,1.382B,,0.09,0.02,,,0.09,0.11,,0.09,0.02,,,0.09,0.11,,430.61M,430.61M,0.05,,,
1986-06,1.422B,1.422B,,,,,,,,,,,,,,1.422B,,,,,,,,51.00M,27.00M,,,,78.00M,,1.422B,,1.422B,,0.085,0.055,,,0.085,0.14,,0.085,0.05,,,0.085,0.135,,422.52M,422.52M,0.05,,,
1986-03,1.367B,1.367B,,,,,,,,,,,,,,1.367B,,,,,,,,49.00M,,,,,49.00M,,1.367B,,1.367B,,0.075,0.00,,,0.075,0.075,,0.075,0.00,,,0.075,0.075,,415.08M,415.08M,0.05,,,
1985-12,838.70M,838.70M,,,,,,,,,,,,,,-1.251B,,,,,,,,7.60M,,,,,7.60M,,-1.251B,,-1.251B,,,,,,,,,,,,,,,,422.52M,422.52M,0.0463,,,
1985-09,519.10M,519.10M,,,,,,,,,,,,,,519.10M,,,,,,,,47.00M,,,,,47.00M,,519.10M,,519.10M,,0.16,0.00,,,0.16,0.16,,0.155,0.00,,,0.155,0.155,,282.08M,282.08M,,,,
1985-06,499.80M,499.80M,,,,,,,,,,,,,,499.80M,,,,,,,,43.60M,,,,,43.60M,,499.80M,,499.80M,,0.15,0.00,,,0.15,0.15,,0.145,0.00,,,0.145,0.145,,282.76M,282.76M,,,,
