,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2011-12,220.44M,,,20.78M,,-0.097M,12.95M,,,89.83M,89.83M,,0.00,,-23.36M,,,,,,294.66M,,-109.14M,,,-1.274M,191.74M,-73.85M,20.90M,,,154.41M,-19.94M,10.69M,,10.69M,0.00,-105.00M,-105.00M,,,,623.87M,-336.63M,,160.73M,-21.07M,-0.654M,139.01M,,10.69M,,-19.94M,-105.00M,,AOR,Restated
2011-09,194.51M,,,28.25M,,-2.795M,19.53M,,,90.96M,90.96M,,2.186M,,19.14M,,,,,,326.33M,,-12.73M,,,1.274M,139.45M,-35.99M,92.00M,,,-27.60M,-27.60M,2.755M,,2.755M,471.96M,-524.76M,-52.79M,,,,-323.81M,-401.45M,,144.49M,16.88M,-0.633M,160.73M,,474.72M,,-27.60M,-524.76M,,AOR,Restated
2011-06,210.94M,,,-10.50M,,3.712M,-6.714M,,,89.19M,89.19M,,,,24.23M,,,,,,317.64M,,-32.42M,,,-1.274M,13.81M,110.15M,90.27M,,,-21.28M,-21.28M,1.60M,,1.60M,363.66M,-517.50M,-153.84M,,,,-235.42M,-408.94M,,145.10M,-1.025M,0.407M,144.49M,,365.26M,,-21.28M,-517.50M,,AOR,Restated
2011-03,210.57M,,,-31.25M,,-0.82M,-32.02M,,,88.55M,88.55M,,,,-2.285M,,,,,,264.82M,,-11.87M,,,,-242.72M,-29.94M,-284.53M,,,-105.54M,-105.54M,11.37M,,11.37M,0.00,0.00,0.00,,,,-197.36M,-291.52M,,456.25M,-311.23M,0.085M,145.10M,,11.37M,,-105.54M,0.00,,AOR,Restated
2010-12,189.21M,,,13.67M,,-9.585M,3.939M,,,91.65M,91.65M,,0.383M,,-25.21M,,,,,,271.51M,,-133.58M,,,0.00,-34.36M,126.16M,-26.56M,,,57.58M,-19.52M,4.706M,0.00,4.706M,120.89M,-108.75M,12.14M,,,,454.46M,-302.99M,,513.48M,-58.04M,0.818M,456.25M,,125.59M,0.00,-19.52M,-108.75M,,AOR,Restated
2010-09,245.81M,,,-55.46M,,3.313M,-54.85M,,,92.65M,92.65M,,0.00,,12.49M,,,,,,296.10M,,-31.63M,,,,12.50M,-36.01M,-55.14M,,,-142.61M,-142.61M,10.39M,0.00,10.39M,140.22M,-9.20M,131.02M,,,,-199.57M,-200.78M,,474.34M,40.18M,-1.042M,513.48M,,150.60M,-140.22M,-2.394M,-9.20M,,AOR,Restated
2010-06,131.18M,,,49.20M,,3.527M,47.74M,,,85.20M,85.20M,,1.536M,,26.84M,,,,,,292.49M,,-32.19M,,,0.00,11.35M,-57.86M,-78.70M,,,87.00M,87.00M,14.39M,-205.37M,-190.97M,,-155.00M,-155.00M,,,,-200.11M,-459.08M,,719.98M,-245.29M,-0.355M,474.34M,,14.39M,140.22M,-53.22M,-360.37M,,AOR,
2010-03,129.92M,,,34.84M,,2.745M,36.82M,,,84.89M,84.89M,,1.008M,,-19.51M,,,,,,233.12M,,-4.812M,,,,-94.32M,-7.075M,-106.20M,,,-1.965M,-1.965M,11.82M,,11.82M,,,,,,,-179.72M,-169.86M,,763.79M,-42.94M,-0.865M,719.98M,,11.82M,,-1.965M,,,AOR,Restated
2009-12,187.69M,,,10.24M,,-0.943M,9.165M,,,86.02M,86.02M,,0.00,,-7.545M,,,,,,275.33M,,1.126M,,,,1.132M,-18.51M,-16.25M,,,-1.903M,-1.903M,0.293M,,0.293M,0.00,0.00,0.00,,,488.79M,-652.93M,-165.76M,,670.93M,93.32M,-0.463M,763.79M,,0.293M,,-1.903M,0.00,,AOR,Restated
2009-09,243.95M,,,-21.43M,,3.608M,-50.23M,,,86.62M,86.62M,,0.00,,14.94M,,,,,,295.28M,,-24.97M,,0.00,,-17.62M,-3.498M,-46.09M,,109.62M,-111.48M,-1.855M,1.13M,,1.13M,,0.00,0.00,,,-162.38M,0.00,-163.11M,,584.86M,86.08M,-0.016M,670.93M,,1.13M,,-1.855M,0.00,,AOR,Restated
