,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-09,241.48M,237.01M,82.31M,154.70M,5.527M,5.527M,,,-133.44M,,,,133.44M,49.88M,104.82M,,,,1.286M,,,98.52M,-1.001M,,9.521M,43.54M,97.52M,97.74M,149.17M,27.82M,104.82M,,0.39,-0.01,,,0.3840,0.38,,0.39,-0.01,,,0.3840,0.38,,128.08M,128.83M,0.45,,AOR,Restated
2004-06,233.96M,229.56M,82.12M,147.44M,4.572M,4.572M,,,-131.38M,,,,131.38M,49.26M,98.18M,,,,4.405M,,,92.83M,-0.468M,,-9.757M,38.78M,92.36M,90.18M,159.37M,61.19M,98.18M,,0.38,0.00,,,0.3593,0.38,,0.37,0.00,,,0.3494,0.37,,127.63M,128.55M,0.45,,AOR,Restated
2004-03,224.85M,220.80M,82.60M,138.20M,5.884M,5.884M,,,-134.92M,,,,134.92M,52.32M,85.88M,,,,4.057M,,,69.22M,-0.151M,,20.62M,41.76M,69.07M,66.78M,132.31M,46.43M,85.88M,,0.17,0.00,,,0.1509,0.17,,0.17,-0.0012,,,0.1510,0.17,,127.18M,128.39M,0.45,,AOR,Restated
2003-12,248.77M,248.77M,111.46M,137.32M,,,,,,,,,,51.90M,85.42M,,,,,,,80.00M,5.965M,,,,85.97M,80.00M,133.51M,48.09M,85.42M,,0.29,0.01,,,0.29,0.30,,0.29,0.01,,,0.29,0.30,,126.50M,128.11M,0.45,,AOR,Restated
2003-09,224.84M,224.84M,78.95M,145.89M,,4.642M,,,,,,,,50.08M,95.81M,,,,,,,90.19M,-0.444M,,,35.19M,89.75M,90.19M,141.25M,44.72M,95.81M,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,125.53M,126.80M,0.45,,AOR,Restated
2003-06,216.95M,216.95M,79.71M,137.24M,,4.429M,,,,,,,,50.11M,87.13M,,,,,,,84.98M,-1.432M,,,36.80M,84.30M,85.73M,132.81M,45.68M,87.13M,,0.35,-0.01,,,0.35,0.34,,0.34,-0.01,,,0.34,0.33,,124.60M,125.85M,0.45,,AOR,Restated
2003-03,211.38M,206.70M,73.83M,132.87M,4.25M,4.25M,,,-123.45M,,,,123.45M,49.62M,83.25M,,,,4.687M,,,76.82M,-0.193M,,-10.67M,39.32M,76.64M,74.01M,128.62M,45.37M,83.25M,,0.26,0.00,,0.0001,0.2373,0.26,,0.2565,-0.0015,,0.0001,0.2341,0.2551,,124.08M,125.23M,0.45,,AOR,Restated
2002-12,223.78M,223.78M,101.36M,122.42M,,3.346M,,,,,,,,45.68M,76.73M,,,,,,,69.19M,-3.817M,,-10.62M,,67.21M,71.03M,119.07M,42.34M,76.73M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,123.90M,124.67M,0.45,,AOR,Restated
2002-09,215.39M,215.39M,73.24M,142.15M,,3.968M,,,,,,,,48.70M,93.45M,,,,,,,88.45M,-5.103M,,-11.51M,44.82M,83.35M,88.45M,138.18M,43.14M,93.45M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,123.34M,124.78M,0.45,,AOR,Restated
2002-06,217.70M,212.54M,125.16M,87.38M,4.305M,4.305M,,,-125.16M,,,,120.85M,0.00,87.38M,,,,-1.839M,,,82.56M,,,-10.61M,37.94M,80.72M,81.82M,133.44M,46.05M,87.38M,,0.30,0.00,,,0.3090,0.30,,0.30,0.00,,,0.3088,0.30,,122.82M,124.82M,0.45,,AOR,
2002-03,219.22M,216.98M,71.32M,145.66M,4.00M,4.00M,,,-119.32M,,,,119.32M,48.00M,97.66M,,,,2.241M,,,51.62M,,,-11.34M,35.84M,87.46M,86.11M,141.66M,44.00M,97.66M,,0.38,0.00,,,0.3690,0.38,,0.37,0.00,,,0.3592,0.37,,121.95M,124.06M,0.45,,AOR,
2001-12,179.12M,179.12M,,,,4.489M,,,,,,,,508.32M,-608.76M,,,,,,,86.29M,-0.523M,,-81.38M,,84.20M,86.29M,-608.76M,,-608.76M,,0.27,0.00,,,0.27,0.27,,0.26,0.00,,,0.26,0.26,,120.39M,122.38M,0.45,,AOR,Restated
2001-09,214.10M,214.10M,,,5.965M,5.965M,,,-117.50M,,,,,-111.53M,325.63M,,,,9.826M,,,83.67M,-0.067M,,12.00M,28.74M,83.60M,77.78M,385.60M,59.97M,325.63M,,0.41,0.00,,,0.3609,0.41,,0.41,0.00,,,0.3616,0.41,,120.09M,121.75M,0.45,,AOR,
2001-06,207.43M,207.43M,112.86M,94.57M,5.00M,5.00M,,,-112.86M,,,,107.86M,0.00,94.57M,,,,,,,53.04M,,,-11.67M,28.74M,81.77M,81.77M,135.89M,41.32M,94.57M,,0.40,0.00,,,0.40,0.40,,0.39,0.00,,,0.39,0.39,,120.73M,121.64M,0.22,,AOR,
2001-03,199.41M,197.84M,66.90M,130.94M,5.584M,5.584M,,,-112.10M,,,,112.10M,45.21M,85.74M,,,,1.568M,,,46.60M,,,-11.70M,28.04M,74.64M,73.69M,125.36M,39.62M,85.74M,,0.34,0.00,,,0.3327,0.34,,0.34,0.00,,,0.3327,0.34,,128.11M,128.70M,0.22,,AOR,
2000-12,196.60M,145.52M,-70.38M,215.90M,,7.249M,,,-114.02M,,,,,-254.06M,469.96M,,,,,,,150.81M,,,-11.79M,36.07M,74.57M,75.70M,507.44M,,469.96M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,130.82M,130.82M,0.22,,AOR,Restated
2000-09,195.97M,195.97M,107.98M,87.99M,5.436M,5.436M,,,-107.98M,,,,102.54M,0.00,87.99M,,,,,,,50.62M,,,-11.71M,25.03M,75.65M,75.65M,115.59M,27.60M,87.99M,,0.37,0.00,,,0.37,0.37,,0.37,0.00,,,0.37,0.37,,131.08M,131.26M,0.22,,AOR,
2000-06,188.15M,188.15M,,,5.576M,5.576M,,,-102.12M,,,,,-96.54M,284.70M,,,,,,,74.30M,,,10.46M,,74.30M,74.30M,325.54M,40.84M,284.70M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,131.59M,131.73M,0.22,,AOR,
2000-03,176.60M,176.60M,,,3.045M,3.045M,,,-98.24M,,,,,-95.19M,271.79M,,,,,,,72.56M,,,4.389M,,72.56M,72.56M,312.86M,41.07M,271.79M,,0.34,0.00,,,0.34,0.34,,0.34,0.00,,,0.34,0.34,,132.78M,132.90M,0.22,,AOR,
1999-12,177.50M,139.80M,,,3.091M,3.091M,,,-98.00M,,,,,410.95M,-483.00M,,,,,,,75.70M,,,-28.11M,,75.68M,76.16M,-441.60M,41.40M,-483.00M,,0.5877,,,,0.5877,0.5877,,0.5877,,,,0.5877,0.5877,,127.29M,127.29M,0.22,,AOR,Restated
1999-09,179.00M,179.00M,,,4.00M,4.00M,,,-95.60M,,,,,-91.60M,270.60M,,,,,,,76.80M,,,4.50M,,76.80M,76.80M,314.50M,43.90M,270.60M,,0.41,0.00,,,0.41,0.41,,0.40,0.00,,,0.40,0.40,,185.62M,185.62M,0.22,,,
1999-06,172.30M,172.30M,,,2.60M,2.60M,,,-91.90M,,,,,-89.30M,261.60M,,,,,,,73.70M,,,4.30M,,73.70M,73.70M,299.42M,37.82M,261.60M,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,188.97M,188.97M,0.22,,,
1999-03,148.02M,148.02M,,,2.362M,2.362M,,,-81.62M,,,,,-79.25M,227.27M,,,,,,,61.84M,,,3.353M,,61.84M,61.84M,261.55M,34.28M,227.27M,,0.34,0.00,,,0.34,0.34,,0.34,0.00,,,0.34,0.34,,118.62M,119.01M,0.22,,,
1998-12,147.50M,120.15M,,,4.435M,4.435M,,,-82.70M,,,,,571.34M,-655.29M,,,,,,,59.20M,,,-36.39M,,59.22M,60.33M,-619.09M,36.20M,-655.29M,,-0.1560,,,,-0.1560,-0.1560,,-0.1560,,,,-0.1560,-0.1560,,122.97M,122.97M,0.22,,AOR,Restated
1998-09,150.00M,150.00M,,,2.70M,2.70M,,,-81.30M,,,,,-78.60M,228.60M,,,,,,,62.30M,,,5.60M,,62.30M,62.30M,258.00M,29.40M,228.60M,,0.37,0.00,,,0.37,0.37,,0.37,0.00,,,0.37,0.37,,122.71M,122.71M,0.22,,,
1998-06,141.10M,141.10M,,,2.20M,2.20M,,,-78.60M,,,,,-76.40M,217.50M,,,,,,,57.20M,,,4.50M,,57.20M,57.20M,247.50M,30.00M,217.50M,,0.33,0.00,,,0.33,0.33,,0.32,0.00,,,0.32,0.32,,121.19M,121.19M,0.22,,,
1998-03,142.70M,142.70M,,,2.30M,2.30M,,,-86.60M,,,,,-84.30M,227.00M,,,,,,,48.40M,,,6.40M,,48.40M,48.40M,257.10M,30.10M,227.00M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,119.58M,119.58M,0.22,,,
1997-12,132.40M,132.40M,,,8.30M,8.30M,,,-81.90M,,,,,-73.60M,206.00M,,,,,,,45.50M,,,4.00M,20.30M,45.50M,45.50M,236.70M,30.70M,206.00M,,0.25,0.00,,,0.25,0.25,,0.24,0.00,,,0.24,0.24,,101.13M,105.44M,0.22,,AOR,
1997-09,126.40M,126.40M,,,1.90M,1.90M,,,-74.90M,,,,,-73.00M,199.40M,,,,,,,46.50M,,,2.70M,18.30M,46.50M,46.50M,225.70M,26.30M,199.40M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,104.44M,104.44M,0.22,,,
1997-06,109.40M,109.40M,,,1.70M,1.70M,,,-60.60M,,,,,-58.90M,168.30M,,,,,,,44.30M,,,2.60M,,44.30M,44.30M,192.10M,23.80M,168.30M,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,109.93M,109.93M,0.22,,,
1997-03,101.30M,101.30M,,,1.60M,1.60M,,,-54.90M,,,,,-53.30M,154.60M,,,,,,,42.30M,,,2.40M,,42.30M,42.30M,178.00M,23.40M,154.60M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,93.04M,93.04M,0.22,,,
1996-12,94.40M,94.40M,,,3.50M,3.50M,,,-47.50M,,,,,-44.00M,138.40M,,,,,,,43.10M,,,2.10M,18.50M,43.10M,43.10M,160.10M,21.70M,138.40M,,0.29,0.00,,,0.29,0.29,,0.29,0.00,,,0.29,0.29,,85.39M,85.39M,0.22,,AOR,
1996-09,87.40M,87.40M,,,1.50M,1.50M,,,-42.50M,,,,,-41.00M,128.40M,,,,,,,40.40M,,,2.50M,17.10M,40.40M,40.40M,149.60M,21.20M,128.40M,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,77.67M,77.67M,0.22,,,
1996-06,83.10M,83.10M,,,1.70M,1.70M,,,-40.70M,,,,,-39.00M,122.10M,,,,,,,37.70M,,,2.50M,17.90M,37.70M,37.70M,142.50M,20.40M,122.10M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,73.33M,73.33M,0.22,,,
1996-03,75.00M,75.00M,,,1.40M,1.40M,,,-37.80M,,,,,-36.40M,111.40M,,,,,,,32.30M,,,2.30M,15.20M,32.30M,32.30M,130.50M,19.10M,111.40M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,71.25M,71.25M,0.22,,,
1995-12,64.50M,64.55M,,,1.382M,1.382M,,,-38.40M,,,,,139.52M,-147.67M,,,,,,,-9.938M,,,-12.54M,9.124M,21.19M,21.19M,-134.82M,12.85M,-147.67M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,57.32M,57.32M,0.22,,AOR,
1995-09,56.90M,56.90M,,,0.90M,0.90M,,,-33.70M,,,,,-32.80M,89.70M,,,,,,,19.50M,,,1.70M,7.30M,19.50M,19.50M,100.60M,10.90M,89.70M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,46.92M,46.92M,0.22,,,
1995-06,47.90M,47.90M,,,0.60M,0.60M,,,-27.70M,,,,,-27.10M,75.00M,,,,,,,16.60M,,,1.90M,,16.60M,16.60M,83.80M,8.80M,75.00M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,42.04M,42.04M,0.22,,,
1995-03,43.20M,43.20M,,,1.10M,1.10M,,,-26.70M,,,,,-25.60M,68.80M,,,,,,,13.20M,,,1.80M,,13.20M,13.20M,76.90M,8.10M,68.80M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,32.84M,32.84M,0.22,,,
1994-12,41.10M,41.10M,,,0.531M,0.531M,,,-24.80M,,,,,97.69M,-109.41M,,,,,,,-4.628M,,,-17.28M,,12.22M,12.22M,-101.73M,7.681M,-109.41M,,-0.1605,,,,-0.1605,-0.1605,,-0.1605,,,,-0.1605,-0.1605,,28.83M,28.83M,0.22,,AOR,
1994-09,37.50M,37.50M,,,0.70M,0.70M,,,-22.00M,,,,,-21.30M,58.80M,,,,,,,10.90M,,,3.00M,,10.90M,10.90M,65.70M,6.90M,58.80M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,26.31M,26.31M,0.21,,,
1994-06,35.60M,35.60M,,,0.60M,0.60M,,,-21.30M,,,,,-20.70M,56.30M,,,,,,,10.20M,,,2.70M,,10.20M,10.20M,62.70M,6.40M,56.30M,,0.28,0.00,,,0.28,0.28,,0.28,0.00,,,0.28,0.28,,23.71M,23.71M,0.21,,,
1994-03,32.90M,32.90M,,,0.70M,0.70M,,,-20.60M,,,,,-19.90M,52.80M,,,,,,,8.70M,,,2.00M,,8.70M,8.70M,59.40M,6.60M,52.80M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,23.69M,23.69M,0.21,,,
1993-12,30.90M,30.90M,,,0.70M,0.70M,,,-19.20M,,,,,-18.50M,49.40M,,,,,,,8.20M,,,2.00M,,8.20M,8.20M,55.80M,6.40M,49.40M,,0.4541,,,,0.4541,0.4541,,0.4541,,,,0.4541,0.4541,,18.06M,18.06M,0.21,,,
1993-09,30.30M,30.30M,,,0.70M,0.70M,,,-19.00M,,,,,-18.30M,48.60M,,,,,,,7.90M,,,2.10M,,7.90M,7.90M,58.00M,9.40M,48.60M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,17.88M,17.88M,0.21,,,
1993-06,21.90M,21.90M,,,0.30M,0.30M,,,-12.40M,,,,,-12.10M,34.00M,,,,,,,6.90M,,,1.20M,,6.90M,6.90M,38.50M,4.50M,34.00M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,17.52M,17.52M,0.21,,,
1993-03,18.80M,18.80M,,,0.30M,0.30M,,,-11.80M,,,,,-11.50M,30.30M,,,,,,,5.00M,,,0.80M,,5.00M,5.00M,34.20M,3.90M,30.30M,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,17.32M,17.32M,0.21,,,
1992-12,23.10M,23.10M,,,0.40M,0.40M,,,-15.40M,,,,,-15.00M,38.10M,,,,0.00,,,4.30M,,,1.60M,,4.30M,4.30M,43.20M,5.10M,38.10M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,20.83M,20.83M,0.21,,,
1992-09,17.30M,17.30M,,,0.40M,0.40M,,,-9.50M,,,,,-9.10M,26.40M,,,,0.70M,,,4.40M,,,1.20M,,4.40M,3.98M,29.70M,3.30M,26.40M,,0.26,0.00,,,0.2352,0.26,,0.26,0.00,,,0.2352,0.26,,16.92M,16.92M,0.21,,,
1992-06,15.40M,15.40M,,,0.30M,0.30M,,,-9.00M,,,,,-8.70M,24.10M,,,,,,,3.50M,,,0.60M,,3.50M,3.50M,27.70M,3.60M,24.10M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,15.22M,15.22M,0.21,,,
1992-03,12.40M,12.40M,,,0.20M,0.20M,,,-6.90M,,,,,-6.70M,19.10M,,,,,,,3.00M,,,0.50M,,3.00M,3.00M,21.40M,2.30M,19.10M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,15.00M,15.00M,0.21,,,
1991-12,18.90M,18.90M,,,-2.80M,-2.80M,,,-12.50M,,,,,-15.30M,34.20M,,,,,,,3.10M,,,1.10M,,3.10M,3.10M,38.90M,4.70M,34.20M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,15.49M,15.49M,0.21,,,
1991-09,10.90M,10.90M,,,0.50M,0.50M,,,-5.20M,,,,,-4.70M,15.60M,,,,,,,3.20M,,,0.50M,,3.20M,3.20M,17.10M,1.50M,15.60M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,15.24M,15.24M,0.21,,,
1991-06,10.30M,10.30M,,,0.20M,0.20M,,,-4.90M,,,,,-4.70M,15.00M,,,,,,,2.90M,,,0.30M,,2.90M,2.90M,16.30M,1.30M,15.00M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,15.26M,15.26M,0.20,,,
1991-03,9.90M,9.90M,,,0.30M,0.30M,,,-4.80M,,,,,-4.50M,14.40M,,,,,,,2.80M,,,0.30M,,2.80M,2.80M,15.80M,1.40M,14.40M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,14.00M,14.00M,0.40,,,
1990-12,8.60M,8.60M,,,0.10M,0.10M,,,-3.40M,,,,,-3.30M,11.90M,,,,0.00,,,2.90M,,,0.40M,,2.90M,2.90M,12.80M,0.90M,11.90M,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,12.86M,12.86M,0.20,,,
1990-09,8.70M,8.70M,,,0.30M,0.30M,,,-3.40M,,,,,-3.10M,11.80M,,,,,,,3.10M,,,0.30M,,3.10M,3.10M,12.70M,0.90M,11.80M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,11.48M,11.48M,0.20,,,
1990-06,8.00M,8.00M,,,0.30M,0.30M,,,-3.40M,,,,,-3.10M,11.10M,,,,,,,2.50M,,,0.10M,,2.50M,2.50M,12.50M,1.40M,11.10M,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,11.36M,11.36M,0.20,,,
1990-03,7.70M,7.70M,,,0.30M,0.30M,,,-2.10M,,,,,-1.80M,9.50M,,,,1.10M,,,3.60M,,,,,3.60M,2.94M,9.90M,0.40M,9.50M,,0.33,0.00,,,0.2695,0.33,,0.33,0.00,,,0.2695,0.33,,10.91M,10.91M,0.05,,,
1989-12,8.50M,8.50M,,,,,,,,,,,,,16.00M,,,,,,,4.00M,,,,,3.60M,4.00M,16.00M,,16.00M,,0.37,-0.04,,,0.37,0.33,,0.37,-0.04,,,0.37,0.33,,10.87M,10.87M,0.35,,,
1989-09,7.00M,7.00M,,,,,,,,,,,,,7.00M,,,,,,,2.60M,,,,,2.60M,2.60M,7.00M,,7.00M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,10.83M,10.83M,0.35,,,
1989-06,7.00M,7.00M,,,,,,,,,,,,,7.00M,,,,,,,2.40M,,,,,2.40M,2.40M,7.00M,,7.00M,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,10.91M,10.91M,0.35,,,
1989-03,7.20M,7.20M,,,,,,,,,,,,,7.20M,,,,,,,2.50M,,,,,2.50M,2.50M,7.20M,,7.20M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,10.87M,10.87M,0.35,,,
1988-12,7.50M,7.50M,,,,,,,,,,,,,17.30M,,,,,,,2.90M,,,,,2.90M,2.90M,17.30M,,17.30M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,10.74M,10.74M,0.35,,,
1988-09,7.50M,7.50M,,,,,,,,,,,,,7.50M,,,,,,,2.90M,,,,,2.90M,2.90M,7.50M,,7.50M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,10.74M,10.74M,0.35,,,
1988-06,7.40M,7.40M,,,,,,,,,,,,,7.40M,,,,,,,2.90M,,,,,2.90M,2.90M,7.40M,,7.40M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,11.15M,11.15M,0.35,,,
1988-03,7.40M,7.40M,,,,,,,,,,,,,7.40M,,,,,,,2.90M,,,,,2.90M,2.90M,7.40M,,7.40M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,11.15M,11.15M,0.35,,,
1987-12,7.10M,7.10M,,,,,,,,,,,,,16.30M,,,,,,,2.50M,,,,,2.50M,2.50M,16.30M,,16.30M,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,11.23M,11.23M,0.35,,,
1987-09,7.10M,7.10M,,,,,,,,,,,,,7.10M,,,,,,,2.60M,,,,,2.60M,2.60M,7.10M,,7.10M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,10.40M,10.40M,0.35,,,
1987-06,7.10M,7.10M,,,,,,,,,,,,,7.10M,,,,,,,2.70M,,,,,2.70M,2.70M,7.10M,,7.10M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,10.38M,10.38M,0.35,,,
1987-03,7.10M,7.10M,,,,,,,,,,,,,7.10M,,,,,,,2.80M,,,,,2.80M,2.80M,7.10M,,7.10M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,10.37M,10.37M,0.35,,,
1986-12,11.70M,11.70M,,,,,,,,,,,,,18.30M,,,,,,,0.90M,,,,,0.90M,0.90M,18.30M,,18.30M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,11.33M,11.33M,0.35,,,
1986-09,6.00M,6.00M,,,,,,,,,,,,,6.00M,,,,,,,3.00M,,,,,3.00M,3.00M,6.00M,,6.00M,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,10.00M,10.00M,0.35,,,
1986-06,5.50M,5.50M,,,,,,,,,,,,,5.50M,,,,,,,2.80M,,,,,2.80M,2.80M,5.50M,,5.50M,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,8.485M,8.485M,0.48,,,
1986-03,5.40M,5.40M,,,,,,,,,,,,,5.40M,,,,,,,3.30M,,,,,3.30M,3.30M,5.40M,,5.40M,,0.41,0.00,,,0.41,0.41,,0.41,0.00,,,0.41,0.41,,8.049M,8.049M,0.48,,,
1985-12,5.60M,5.60M,,,,,,,,,,,,,11.40M,,,,,,,2.10M,,,,,2.10M,2.10M,11.40M,,11.40M,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,2.50M,2.50M,0.48,,,
1985-09,5.20M,5.20M,,,,,,,,,,,,,5.20M,,,,,,,2.30M,,,,,2.30M,2.30M,5.20M,,5.20M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,6.571M,6.571M,0.48,,,
1985-06,4.50M,4.50M,,,,,,,,,,,,,4.50M,,,,,,,1.30M,,,,,1.30M,1.30M,4.50M,,4.50M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,2.50M,2.50M,0.46,,,
1985-03,4.00M,4.00M,,,,,,,,,,,,,4.00M,,,,,,,0.90M,,,,,0.90M,0.90M,4.00M,,4.00M,,0.36,0.00,,,0.36,0.36,,0.36,0.00,,,0.36,0.36,,2.50M,2.50M,0.46,,,
1984-12,3.50M,3.50M,,,,,,,,,,,,,8.20M,,,,,,,1.20M,,,,,1.20M,1.20M,8.20M,,8.20M,,0.37,0.00,,,0.37,0.37,,0.37,0.00,,,0.37,0.37,,3.249M,3.249M,,,,
1984-09,3.30M,3.30M,,,,,,,,,,,,,3.30M,,,,,,,1.30M,,,,,1.30M,1.30M,3.30M,,3.30M,,0.37,0.00,,,0.37,0.37,,0.37,0.00,,,0.37,0.37,,3.514M,3.514M,,,,
1984-06,,,,,,,,,,,,,,,,,,,,,,1.00M,,,,,1.00M,1.00M,,,,,0.32,0.00,,,0.32,0.32,,0.32,0.00,,,0.32,0.32,,3.125M,3.125M,,,,
1984-03,2.70M,2.70M,,,,,,,,,,,,,2.70M,,,,,,,0.90M,,,,,0.90M,0.90M,2.70M,,2.70M,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,3.00M,3.00M,,,,
