,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-08,132.37M,16.87M,149.24M,142.01M,,142.01M,15.24M,46.54M,353.02M,,,,,,119.24M,-60.63M,58.61M,534.26M,196.38M,730.64M,,,95.76M,885.01M,1.238B,,20.65M,,20.65M,80.76M,101.41M,,3.062M,,3.062M,230.74M,230.74M,15.65M,350.86M,,,,48.33M,48.33M,,0.172M,,37.68M,86.01M,436.86M,,0.636M,458.72M,369.57M,32.96M,,,5.034M,801.00M,,,
2007-05,212.29M,0.023M,212.31M,126.55M,,126.55M,11.64M,47.17M,397.67M,,,,,,112.73M,-60.63M,52.10M,365.21M,67.86M,433.07M,,,94.81M,579.98M,977.65M,,20.46M,,20.46M,74.18M,94.64M,,,,,219.82M,219.82M,16.59M,331.04M,1.51M,,1.51M,5.654M,5.654M,,0.138M,,35.39M,42.56M,373.60M,,0.59M,436.99M,188.68M,23.21M,,,0.874M,603.92M,,,
2007-02,186.21M,0.021M,186.24M,160.88M,,160.88M,10.00M,44.52M,401.64M,,,,,,112.91M,-60.63M,52.28M,353.87M,66.53M,420.40M,,,94.14M,566.82M,968.45M,,36.61M,,36.61M,74.59M,111.20M,,,,,221.96M,221.96M,13.18M,346.34M,0.037M,,0.037M,4.587M,4.587M,,0.167M,,36.46M,41.08M,387.42M,,0.591M,418.41M,182.65M,15.31M,,,-5.474M,580.86M,,,
2006-11,180.03M,2.076M,182.11M,151.30M,,151.30M,7.758M,39.75M,380.92M,0.00,57.35M,,56.37M,,113.72M,-60.63M,53.10M,350.90M,65.96M,416.86M,,,93.42M,563.38M,944.30M,,45.62M,,45.62M,89.64M,135.26M,,0.50M,,0.50M,191.23M,191.23M,11.48M,338.47M,0.074M,,0.074M,2.788M,2.788M,,0.377M,,37.40M,40.26M,378.73M,,0.591M,400.03M,175.03M,7.551M,,,-2.905M,565.19M,,,
2006-08,161.63M,6.516M,168.15M,97.49M,,97.49M,8.956M,37.10M,311.69M,,,,,,105.10M,-53.40M,51.70M,355.12M,60.75M,415.87M,,,97.49M,565.06M,876.74M,,20.61M,,20.61M,73.15M,93.76M,,,,,,,184.85M,278.61M,0.573M,,0.573M,13.30M,13.30M,,0.385M,,33.52M,47.40M,326.00M,,0.593M,386.16M,163.14M,,,,0.461M,550.35M,,,
2006-05,170.00M,19.18M,189.18M,109.52M,,109.52M,11.42M,42.66M,352.76M,,,,,,105.20M,-53.40M,51.80M,326.32M,42.40M,368.71M,,,93.90M,514.40M,867.17M,,22.20M,,22.20M,72.03M,94.24M,,0.602M,,0.602M,189.60M,189.60M,8.022M,292.46M,0.074M,,0.074M,15.29M,15.29M,,0.272M,,34.98M,50.34M,342.80M,,0.588M,370.08M,153.62M,,,,-0.194M,524.10M,,,
2006-02,125.73M,25.85M,151.58M,146.27M,,146.27M,9.547M,40.17M,347.57M,,,,,,101.87M,-53.40M,48.46M,,362.63M,362.63M,,,91.67M,502.76M,850.33M,,42.49M,,42.49M,66.45M,108.94M,,0.50M,,0.50M,183.44M,183.44M,7.144M,300.02M,0.249M,,0.249M,14.07M,14.07M,,0.337M,,35.76M,50.07M,350.10M,,0.586M,357.15M,171.67M,,,,-29.50M,499.90M,,,
2005-11,132.36M,27.22M,159.59M,136.95M,,136.95M,11.35M,38.56M,346.44M,0.00,,48.93M,51.05M,,99.98M,-53.40M,46.58M,296.39M,27.46M,323.85M,,,90.28M,460.71M,807.16M,,41.62M,,41.62M,81.25M,122.87M,,,,,149.55M,149.55M,10.43M,282.86M,0.262M,,0.262M,15.04M,15.04M,,0.309M,,31.50M,46.81M,329.67M,,0.579M,343.68M,168.20M,,,,-35.28M,477.18M,,,
2005-08,137.77M,17.82M,155.58M,80.15M,,80.15M,12.33M,37.00M,285.07M,,,,,,102.55M,-56.34M,46.22M,,323.21M,323.21M,,,88.47M,457.90M,742.97M,,17.16M,,17.16M,64.08M,81.23M,,,,,143.58M,143.58M,12.24M,237.06M,0.26M,,0.26M,12.06M,12.06M,,1.143M,,52.44M,64.77M,301.83M,,0.551M,327.33M,122.30M,,,,-10.18M,439.99M,,,
2005-05,141.67M,,141.67M,98.08M,,98.08M,11.78M,44.63M,296.17M,,,,,,103.07M,-56.34M,46.73M,,321.10M,321.10M,,,86.50M,454.33M,750.50M,,26.36M,,26.36M,59.46M,85.83M,,0.012M,,0.012M,158.80M,158.80M,9.181M,253.83M,0.36M,,0.36M,14.05M,14.05M,,1.109M,,49.42M,63.83M,317.66M,,0.551M,323.67M,122.30M,,,,-14.78M,431.74M,,,
2005-02,132.72M,,132.72M,125.51M,,125.51M,11.57M,40.65M,310.44M,,,,,,104.96M,-56.34M,48.62M,,325.25M,325.25M,,,84.54M,458.42M,768.86M,,37.42M,,37.42M,67.57M,104.98M,,0.03M,,0.03M,161.90M,161.90M,6.765M,273.68M,0.365M,,0.365M,12.72M,12.72M,,1.197M,,45.46M,58.54M,332.22M,,0.553M,315.02M,124.74M,,,,-4.872M,435.44M,,,
