,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-03,2.257B,2.257B,,,,48.00M,,-6.00M,,,,1.578B,1.626B,631.00M,,,,-6.00M,,138.00M,64.00M,74.00M,-26.00M,,-63.00M,48.00M,77.60M,831.00M,200.00M,631.00M,0.12,-0.04,,,0.126,0.08,0.12,-0.04,,,0.126,0.08,600.00M,600.00M,0.0
2003-12,2.279B,2.279B,,,,60.00M,,-36.00M,,,,1.715B,1.775B,504.00M,,,,-36.00M,,13.00M,51.00M,-38.00M,-497.00M,43.00M,-62.00M,-492.00M,-16.40M,704.00M,200.00M,504.00M,-0.27,-0.65,0.0,,-0.2342,-0.85,-0.27,-0.65,0.0733,,-0.2359,-0.85,603.66M,633.77M,0.0
2003-09,2.231B,2.231B,,,,36.00M,,-16.00M,,,,1.63B,1.666B,565.00M,,,,-16.00M,,95.00M,33.00M,62.00M,14.00M,,-36.00M,76.00M,72.44M,565.00M,,565.00M,0.1,0.02,,,0.1165,0.12,0.1,0.02,,,0.1165,0.12,633.33M,633.33M,0.0
2003-06,2.192B,2.192B,,,,32.00M,,207.00M,,,,1.725B,1.757B,435.00M,,,,207.00M,,99.00M,34.00M,65.00M,-194.00M,,-22.00M,-129.00M,-70.91M,435.00M,,435.00M,0.11,-0.33,,,-0.1218,-0.22,0.11,-0.33,,,-0.1218,-0.22,586.36M,586.36M,0.0
2003-03,1.911B,1.911B,,,,29.00M,,99.00M,,,,1.337B,1.366B,545.00M,,,,99.00M,,182.00M,51.00M,131.00M,-36.00M,-2.00M,-31.00M,93.00M,59.74M,545.00M,,545.00M,0.23,-0.07,0.0,,0.1074,0.16,0.23,-0.07,-0.0037,,0.1074,0.16,581.25M,581.25M,0.0
2002-12,1.674B,1.674B,,,,48.00M,,-1.197B,,,,1.164B,1.212B,462.00M,,,,-1.197B,,-1.105B,330.00M,-1.435B,-1.381B,0.00,9.00M,-2.816B,-716.80M,462.00M,,462.00M,-3.53,-2.54,0.0,,-2.2430000000000003,-6.12,-3.53,-2.54,-0.0908,,-2.2430000000000003,-6.12,558.00M,558.00M,0.0
2002-09,1.896B,1.896B,,,,10.00M,,51.00M,,,,1.816B,1.826B,70.00M,,,,51.00M,,-298.00M,-91.00M,-207.00M,-108.00M,,-20.00M,-315.00M,-242.43M,70.00M,,70.00M,-0.18,-0.4,,,-0.2454,-0.58,-0.18,-0.4,,,-0.2454,-0.58,542.00M,542.00M,0.0
2002-06,2.038B,2.038B,,,,28.00M,,-64.00M,,,,1.661B,1.689B,349.00M,,,,-64.00M,,-108.00M,-7.00M,-101.00M,-141.00M,127.00M,21.00M,-115.00M,-41.15M,349.00M,,349.00M,-0.19,-0.27,0.0,,-0.0781,-0.2177,-0.19,-0.27,0.2374,,-0.0781,-0.2177,535.00M,535.00M,0.0
2002-03,2.201B,2.201B,,,,28.00M,,-30.00M,,,,1.583B,1.611B,590.00M,,,,-30.00M,,180.00M,62.00M,118.00M,42.00M,-473.00M,10.00M,-313.00M,137.67M,590.00M,,590.00M,0.22,0.08,-0.0,,0.2564,-0.59,0.22,0.08,-0.8743,,0.2564,-0.59,541.00M,541.00M,0.0
2001-12,493.00M,493.00M,,,,47.00M,,210.00M,,,,172.00M,219.00M,274.00M,,,,210.00M,,308.00M,169.00M,139.00M,-95.00M,,-33.00M,44.00M,13.00M,274.00M,,274.00M,0.19,-0.25,,,-0.0562,-0.06,0.19,-0.25,,,-0.0424,-0.06,511.76M,542.10M,0.0
2001-09,1.845B,1.845B,,,,17.00M,,-25.00M,,,,1.407B,1.424B,421.00M,,,,-25.00M,,5.00M,-1.00M,6.00M,-3.00M,,-9.00M,3.00M,21.00M,421.00M,,421.00M,0.01,0.0,,,0.0382,0.01,0.01,0.0,,,0.0379,0.01,531.00M,537.00M,0.0
2001-06,1.877B,1.877B,1.417B,460.00M,,41.00M,,141.00M,,,,,41.00M,419.00M,,,,141.00M,,227.00M,81.00M,146.00M,-31.00M,,-26.00M,115.00M,55.31M,419.00M,,419.00M,0.28,-0.06,,,0.1092,0.22,0.27,-0.06,,,0.1014,0.21,531.00M,538.00M,0.0
2001-03,2.545B,2.545B,1.921B,624.00M,,22.00M,,37.00M,,,,94.00M,116.00M,508.00M,,,,37.00M,,163.00M,57.00M,106.00M,,,-32.00M,106.00M,81.94M,508.00M,,508.00M,0.2,0.0,,,0.1548,0.2,0.2,0.0,,,0.1548,0.2,532.07M,532.07M,0.0
2000-12,1.431B,1.431B,,,,13.00M,,150.00M,,,,,4.252B,747.00M,,,,150.00M,,581.00M,202.00M,379.00M,,,-54.00M,375.00M,281.15M,747.00M,,747.00M,0.62,0.17,,,0.4273,0.79,0.62,0.16,,,0.4343,0.76,507.85M,526.82M,0.0
2000-09,1.761B,1.761B,1.308B,453.00M,,21.00M,,103.00M,,,,,21.00M,432.00M,,,,103.00M,,186.00M,52.00M,134.00M,,,-32.00M,134.00M,59.80M,432.00M,,432.00M,0.29,0.0,,,0.1294,0.29,0.29,0.0,,,0.1294,0.29,462.07M,462.07M,0.0
2000-06,1.751B,1.751B,1.358B,393.00M,,19.00M,,104.00M,,,,,19.00M,374.00M,,,,104.00M,,200.00M,60.00M,140.00M,,,-17.00M,140.00M,67.20M,374.00M,,374.00M,0.3,0.0,,,0.1461,0.3,0.28,0.0,,,0.1338,0.28,473.00M,498.00M,0.0
2000-03,1.696B,1.696B,1.22B,476.00M,,29.00M,,242.00M,,,,,29.00M,447.00M,,,,242.00M,,407.00M,133.00M,274.00M,,,-18.00M,267.00M,111.08M,447.00M,,447.00M,0.6,-0.01,,-0.0169,0.2067,0.59,0.57,-0.01,,-0.0169,0.1767,0.56,414.20M,414.20M,0.0
1999-12,1.128B,1.128B,,,,,,,,,,,,-1.20B,,,,,,,,129.00M,,,,112.00M,129.00M,-1.20B,,-1.20B,0.33,-0.04,,,0.33,0.29,0.31,-0.04,,,0.31,0.27,398.00M,423.41M,0.0
1999-09,847.00M,847.00M,,,,,,,,,,,,847.00M,,,,,,,,58.00M,,,,58.00M,58.00M,847.00M,,847.00M,0.15,0.0,,,0.15,0.15,0.15,0.0,,,0.15,0.15,384.00M,394.00M,0.0
1999-06,640.00M,640.00M,412.00M,228.00M,,15.00M,,37.00M,,,,,15.00M,213.00M,,,,37.00M,,105.00M,34.00M,71.00M,,,-14.00M,71.00M,45.98M,213.00M,,213.00M,0.19,0.0,,,0.123,0.19,0.18,0.0,,,0.1166,0.18,373.68M,394.44M,0.0
1999-03,638.00M,638.00M,349.00M,289.00M,,16.00M,,-97.00M,,,,,76.00M,213.00M,,,,-97.00M,,-19.00M,-6.00M,-13.00M,,,-18.00M,-13.00M,53.37M,273.00M,60.00M,213.00M,-0.04,0.0,,,0.1495,-0.04,-0.04,0.0,,,0.1381,-0.04,350.20M,372.60M,0.0
1998-12,646.00M,646.00M,,,,,,,,,,,,-998.00M,,,,,,,,92.00M,,,,94.00M,92.00M,-950.00M,48.00M,-998.00M,0.255,0.0,,0.0055,0.255,0.255,0.245,0.0,,0.0053,0.245,0.245,371.71M,387.19M,0.0
1998-09,612.00M,612.00M,,,,,,,,,,,,612.00M,,,,,,,,79.00M,,,,81.00M,79.00M,685.00M,73.00M,612.00M,0.22,0.01,,0.0057,0.22,0.23,0.22,0.01,,0.0057,0.22,0.23,352.17M,352.17M,0.0
1998-06,565.00M,565.00M,,,,,,,,,,,,565.00M,,,,,,,,71.00M,,,,71.00M,71.00M,595.00M,30.00M,565.00M,0.21,0.0,,,0.21,0.21,0.2,0.0,,,0.2,0.2,338.10M,355.00M,0.0
