,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-09,104.00M,-15.00M,,-15.00M,6.00M,6.00M,61.00M,,,,21.00M,,-42.00M,-40.00M,63.00M,,110.00M,272.00M,-3.00M,-3.00M,-124.00M,-1.00M,-128.00M,0.00,,0.00,,-3.00M,-3.00M,,-40.00M,1.00M,15.00M,-27.00M,103.00M,117.00M,220.00M,,,0.00,-3.00M,,
2003-06,84.00M,-3.00M,,-3.00M,7.00M,7.00M,-4.00M,,,,-97.00M,,16.00M,5.00M,14.00M,,127.00M,217.00M,-6.00M,-6.00M,-160.00M,-3.00M,-169.00M,0.00,,0.00,,-12.00M,-12.00M,,-40.00M,1.00M,-22.00M,-73.00M,128.00M,-25.00M,103.00M,,,0.00,-12.00M,,
2003-03,57.00M,62.00M,,62.00M,7.00M,7.00M,-9.00M,,,,-40.00M,,16.00M,-10.00M,18.00M,,84.00M,207.00M,-5.00M,-5.00M,-141.00M,,-146.00M,0.00,,0.00,,-34.00M,-34.00M,,-36.00M,2.00M,23.00M,-45.00M,112.00M,16.00M,128.00M,,0.00,,-34.00M,,
2002-12,56.00M,60.00M,,60.00M,8.00M,8.00M,0.00,,,,-178.00M,,-32.00M,18.00M,-1.00M,,47.00M,177.00M,-7.00M,-7.00M,-179.00M,-3.00M,-189.00M,,,,,-6.00M,-6.00M,,-35.00M,3.00M,36.00M,-2.00M,171.00M,-14.00M,112.00M,,,,-6.00M,,
2002-09,72.00M,16.00M,,16.00M,2.00M,2.00M,2.00M,,,,31.00M,,-11.00M,-3.00M,61.00M,,88.00M,185.00M,-2.00M,-2.00M,-143.00M,-2.00M,-147.00M,,,,,-25.00M,-25.00M,,-37.00M,2.00M,72.00M,12.00M,121.00M,50.00M,171.00M,,,,-25.00M,,
2002-06,35.00M,10.00M,,10.00M,6.00M,6.00M,-13.00M,,,,-71.00M,,3.00M,-15.00M,-26.00M,,70.00M,113.00M,-7.00M,-7.00M,-26.00M,-1.00M,-34.00M,,,,,-4.00M,-4.00M,,-36.00M,2.00M,-1.00M,-39.00M,81.00M,40.00M,121.00M,,,,-4.00M,,
2002-03,75.00M,8.00M,,8.00M,6.00M,6.00M,-1.00M,,,,-56.00M,,5.00M,3.00M,28.00M,,99.00M,192.00M,-11.00M,-11.00M,-153.00M,-3.00M,-167.00M,,,,,-7.00M,-7.00M,,-34.00M,3.00M,1.00M,-37.00M,93.00M,-12.00M,81.00M,,,,-7.00M,,
2001-12,36.00M,33.00M,,33.00M,6.00M,6.00M,-21.00M,,,,-338.00M,,-17.00M,19.00M,-21.00M,,-13.00M,46.00M,-3.00M,-3.00M,-57.00M,2.00M,-58.00M,8.00M,,8.00M,,-9.00M,-9.00M,,-33.00M,-1.00M,6.00M,-29.00M,137.00M,-41.00M,48.00M,,8.00M,,-9.00M,,
2001-09,35.00M,3.00M,,3.00M,6.00M,6.00M,-12.00M,,,,36.00M,,9.00M,7.00M,40.00M,,165.00M,201.00M,-4.00M,-4.00M,-56.00M,1.00M,-59.00M,0.00,,0.00,,-20.00M,-20.00M,,-35.00M,8.00M,-1.00M,-48.00M,43.00M,94.00M,137.00M,,0.00,,-20.00M,,
2001-06,49.00M,-8.00M,,-8.00M,6.00M,6.00M,-7.00M,,,,-36.00M,,33.00M,-43.00M,12.00M,,56.00M,101.00M,-4.00M,-4.00M,-102.00M,1.00M,-105.00M,17.00M,,17.00M,,-8.00M,-8.00M,,-33.00M,1.00M,3.00M,-20.00M,67.00M,-24.00M,43.00M,,5.00M,12.00M,-8.00M,,-3.00M
2001-03,73.00M,-3.00M,,-3.00M,7.00M,7.00M,6.00M,,,,-76.00M,,18.00M,54.00M,-9.00M,,107.00M,195.00M,-4.00M,-4.00M,-133.00M,,-137.00M,-12.00M,,-12.00M,,-9.00M,-9.00M,,-31.00M,1.00M,,-51.00M,60.00M,7.00M,67.00M,,,-12.00M,-9.00M,,3.00M
2000-12,-41.63M,29.77M,,29.77M,5.554M,5.554M,12.53M,-0.10M,,-0.10M,-80.44M,,-81.62M,-54.79M,12.10M,,10.82M,40.94M,-17.28M,-17.28M,36.38M,-0.423M,18.68M,12.00M,,12.00M,,-4.90M,-4.90M,,-30.22M,1.188M,,-34.94M,23.87M,24.69M,12.00M,,12.00M,,-4.90M,,
2000-09,5.577M,-10.14M,,-10.14M,4.194M,4.194M,-15.61M,39.10M,,39.10M,-70.21M,,-28.66M,2.442M,37.23M,,83.19M,106.30M,-8.841M,-8.841M,-61.07M,1.115M,-68.80M,-15.00M,,-15.00M,,-6.007M,-6.007M,,-30.62M,0.74M,,-50.89M,37.25M,-13.38M,23.87M,,-15.00M,,-6.007M,,
2000-06,74.69M,-3.10M,,-3.10M,3.283M,3.283M,2.497M,,,,-2.655M,-0.571M,8.893M,-17.30M,-30.96M,,-40.81M,36.56M,-3.023M,-3.023M,-51.03M,0.443M,-53.61M,36.00M,,36.00M,,-6.423M,-6.423M,,-30.55M,0.79M,,-0.181M,54.47M,-17.23M,37.25M,,55.00M,,-6.423M,-18.05M,-1.636M
2000-03,79.36M,-14.52M,,-14.52M,4.969M,4.969M,2.587M,,,,0.303M,0.571M,38.38M,-2.358M,34.64M,,101.80M,174.19M,-14.86M,-14.86M,-395.28M,0.865M,-409.28M,19.00M,,19.00M,,-49.67M,-49.67M,,-27.61M,8.282M,,-50.00M,339.55M,-285.08M,54.47M,,,,-49.67M,18.05M,1.636M
1999-12,47.22M,40.78M,,40.78M,5.731M,5.731M,-10.00M,0.00,,0.00,-57.64M,-2.217M,14.06M,30.91M,-16.39M,,320.24M,423.97M,-47.18M,-47.18M,3.623M,0.167M,-43.39M,35.00M,,35.00M,,-87.70M,-87.70M,,-28.24M,1.251M,,-88.69M,47.72M,291.89M,339.00M,,35.00M,,-87.70M,,
1999-09,57.05M,-0.991M,,-0.991M,3.568M,3.568M,5.306M,0.00,,16.82M,-9.019M,-1.067M,-27.42M,-14.25M,12.42M,,27.19M,108.94M,-30.50M,-30.50M,-63.80M,-1.191M,-95.49M,33.00M,,33.00M,,-38.07M,-38.07M,,-28.07M,1.155M,,-31.98M,66.25M,-18.53M,47.72M,,33.00M,,-38.07M,,
1999-06,86.25M,-14.04M,,-14.04M,3.356M,3.356M,-2.048M,,,-30.10M,-11.65M,0.56M,13.52M,-4.599M,7.16M,,-11.49M,31.93M,21.40M,21.40M,-32.94M,-0.285M,-11.83M,40.00M,,40.00M,,-28.85M,-28.85M,,-28.13M,2.941M,,-14.04M,60.19M,6.065M,66.25M,,40.00M,,-28.85M,,
1999-03,64.48M,-24.75M,,-24.75M,3.345M,3.345M,-3.255M,,,13.28M,13.30M,2.724M,20.84M,-10.06M,11.80M,,79.06M,132.16M,-45.72M,-45.72M,-8.882M,0.309M,-54.29M,10.00M,,10.00M,,-62.38M,-62.38M,,-25.56M,1.653M,,-76.29M,58.61M,1.576M,60.19M,,10.00M,,-62.38M,,
1998-12,45.67M,,,,3.493M,3.493M,-9.107M,,,163.70M,12.95M,,-128.00M,44.82M,-129.99M,,-34.57M,103.88M,-34.75M,-34.75M,-75.22M,5.507M,-104.46M,419.54M,,419.54M,-428.60M,-14.30M,-442.90M,,-25.62M,,0.10M,-38.57M,,-39.16M,58.61M,-428.60M,419.59M,-0.058M,-14.30M,,
1998-09,52.90M,,,,3.00M,3.00M,-5.60M,,,-281.70M,7.10M,,153.90M,7.10M,153.90M,,319.60M,88.20M,-3.30M,-3.30M,-94.70M,-1.40M,-99.40M,-420.90M,,-420.90M,420.70M,-9.40M,411.30M,,-25.60M,,-0.10M,-35.30M,,-46.60M,,420.70M,-419.60M,-1.30M,-9.40M,,
1998-06,58.80M,,,,2.70M,2.70M,1.20M,,,164.30M,-55.30M,,-77.20M,-57.30M,-77.20M,,-269.20M,-42.20M,-3.80M,-3.80M,0.10M,-2.60M,-6.30M,139.90M,,139.90M,3.20M,-0.60M,2.60M,,-25.60M,,-0.10M,116.80M,,68.50M,,3.20M,419.10M,-279.20M,-0.60M,,
