,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-09,245.30M,,,,-252.91M,134.44M,0.788M,135.23M,135.23M,-30.26M,,,,,-34.35M,3.412M,4.319M,-25.80M,,,-31.61M,-49.68M,,13.32M,,-90.66M,81.24M,-9.426M,,-1.657B,293.82M,-1.372B,,,1.487B,1.766M,-80.34M,-78.57M,,-9.664M,,17.61M,1.416B,,220.89M,57.61M,0.573M,279.08M,,,1.766M,,,-80.34M,,,,,
2007-06,148.00M,,,,-92.20M,113.89M,0.112M,114.00M,114.00M,-5.399M,,,,,8.751M,-53.88M,-26.08M,92.21M,,,-14.76M,-2.499M,,170.66M,,-79.89M,,-79.89M,,-44.55M,136.34M,11.89M,,,-185.15M,10.04M,,10.04M,,-9.646M,,0.405M,-184.36M,,222.00M,-1.81M,0.696M,220.89M,,,10.04M,,,,,,,,
2007-03,59.50M,,,,-0.848M,110.61M,28.32M,138.94M,138.94M,8.95M,,,,,8.489M,-65.35M,-19.81M,-50.85M,,,-6.591M,-142.60M,,72.43M,,-74.12M,,-74.12M,,-21.20M,,-95.31M,,,11.26M,33.16M,,33.16M,,-9.621M,,-1.821M,32.97M,,211.75M,10.09M,0.163M,222.00M,,,33.16M,,,,,,,,
2006-12,75.12M,,,,-3.626M,115.25M,1.373M,116.62M,116.62M,-18.30M,,,,,4.658M,-33.18M,-28.01M,36.21M,,,-26.30M,-51.28M,,123.19M,,-221.12M,,-221.12M,,-11.67M,137.46M,-95.33M,,,405.71M,29.89M,-56.62M,-26.73M,,-9.624M,,-360.38M,8.974M,,174.69M,36.83M,0.229M,211.75M,,,29.89M,,,-56.62M,,,,,
2006-09,78.58M,,,,1.361M,111.14M,1.48M,112.62M,112.62M,62.96M,,,,,-14.23M,-13.12M,-3.951M,-60.07M,,,-15.99M,-93.13M,,148.16M,,70.34M,,70.34M,,0.109M,-137.23M,-66.78M,,,-368.58M,3.053M,-38.79M,-35.74M,,-9.473M,,363.12M,-50.67M,,143.69M,30.72M,0.278M,174.69M,,,3.053M,,,-38.79M,,,,,
2006-06,66.03M,,,,-29.78M,110.37M,1.409M,111.78M,111.78M,-26.82M,,,,,32.79M,128.38M,-140.52M,28.16M,,,-44.56M,-28.53M,,125.46M,,-80.16M,,-80.16M,,-2.821M,-0.227M,-83.20M,,,305.78M,10.63M,-65.04M,-54.41M,,-9.54M,,-352.39M,-110.57M,,211.36M,-68.31M,0.645M,143.69M,,,10.63M,,,-65.04M,,,,,
2006-03,39.36M,,,,26.44M,96.80M,1.087M,97.88M,97.88M,-6.24M,,,,,,-50.03M,98.81M,-92.76M,,,-15.56M,-59.54M,,97.90M,,-69.26M,,-69.26M,,125.33M,,56.07M,,,-97.78M,26.83M,,26.83M,,-9.616M,,4.263M,-76.30M,,133.15M,77.67M,0.533M,211.36M,,,26.83M,,,,,,,,
2005-12,45.49M,,,,6.212M,,,83.55M,83.55M,2.102M,,,,,4.351M,-60.06M,-102.07M,-11.71M,,111.01M,-57.45M,-120.28M,,21.43M,,-58.17M,,-58.17M,,2.785M,,-55.38M,,,703.13M,0.00,,0.00,,0.00,,-718.05M,-14.92M,,181.43M,-48.87M,,133.15M,,,0.00,,,,,,,,
2005-09,57.89M,,,,-2.391M,,,70.78M,70.78M,8.741M,,,,,4.562M,22.63M,10.82M,120.28M,,-105.20M,,48.54M,,188.13M,,-74.60M,,-74.60M,,-51.17M,-7.695M,-133.47M,,,-788.33M,0.00,,0.00,,0.00,,660.17M,-128.16M,,254.94M,-73.51M,,181.43M,,,0.00,,,,,,,,
2005-06,48.58M,,,,-8.422M,,,75.36M,75.36M,45.05M,,,,,11.45M,19.77M,-28.41M,-40.91M,,-5.814M,21.58M,-33.77M,,138.25M,,-63.88M,,-63.88M,,,7.695M,-56.19M,,,410.00M,0.00,,0.00,,0.00,,-661.44M,-251.44M,,424.32M,-169.38M,,254.94M,,,0.00,,,,,,,,
2005-03,44.60M,,,,8.422M,,,75.74M,75.74M,-14.33M,,,,,,-21.36M,22.02M,-15.33M,,,-21.58M,-36.25M,,78.17M,,-42.01M,,-42.01M,,,,-42.01M,,,2.475B,454.34M,,454.34M,,-2.70B,,-32.27M,197.27M,,190.89M,233.43M,,424.32M,,,454.34M,,,,,,,,
2004-12,121.21M,,,,-0.039M,-34.64M,-12.57M,191.19M,191.19M,-9.613M,,,,,7.624M,-34.74M,,,-3.783M,1.795M,120.54M,81.18M,-4.647M,386.90M,,-149.02M,,-149.02M,,-382.15M,,-531.17M,,,348.46M,-8.466M,87.80M,79.33M,,9.598M,,-214.43M,222.96M,,43.46M,78.69M,3.745M,190.89M,,,-8.466M,,,87.80M,,,,,
2004-09,27.27M,,,,-10.56M,12.22M,3.729M,15.95M,15.95M,-3.753M,,,,,7.812M,-11.48M,,,4.306M,-7.135M,-0.776M,-15.08M,3.786M,25.42M,,-11.37M,,-11.37M,,-8.063M,,-19.44M,,,26.54M,1.211M,-47.79M,-46.58M,,-3.184M,,-0.279M,-23.50M,,57.33M,-17.52M,-1.121M,43.46M,,,1.211M,,,-47.79M,,,,,
2004-06,22.82M,,,,3.10M,11.34M,4.026M,15.37M,15.37M,1.724M,,,,,-1.279M,-1.882M,,,-1.733M,17.87M,-2.251M,12.01M,0.809M,54.55M,,-10.08M,,-10.08M,,0.433M,,-9.65M,,,-15.00M,5.609M,-19.23M,-13.62M,,-3.196M,,-0.048M,-31.86M,,46.53M,13.04M,-2.174M,57.33M,,,5.609M,,,-19.23M,,,,,
2004-03,18.12M,,,,-1.324M,11.08M,4.814M,15.90M,15.90M,0.639M,,,,,1.279M,20.31M,,,1.21M,-12.53M,-6.766M,2.217M,0.052M,36.88M,,-7.026M,,-7.026M,,-33.39M,,-40.42M,,,50.00M,1.646M,-20.78M,-19.13M,,-3.218M,,-0.09M,27.56M,,22.34M,24.03M,0.161M,46.53M,,,1.646M,,,-20.78M,,,,,
2003-12,30.92M,,,,5.785M,10.91M,1.381M,12.29M,12.29M,13.61M,,,,,,-19.71M,,,-5.631M,-21.67M,3.429M,-43.58M,,19.02M,,-9.663M,,-9.663M,,0.00,,-9.663M,,,-0.55M,2.623M,-33.71M,-31.09M,,,,-0.027M,-34.91M,,44.67M,-25.55M,3.167M,22.28M,,,2.623M,,,-33.71M,,,,,
2003-09,26.32M,,,,-2.233M,31.12M,4.057M,15.11M,15.11M,-0.752M,,,,,,-0.694M,,,-1.745M,1.547M,-3.429M,-4.321M,,34.13M,,-10.72M,,-10.72M,,-4.521M,,-15.24M,,,11.68M,1.829M,-28.04M,-26.21M,,,,-0.005M,-14.54M,,39.82M,4.351M,0.496M,44.67M,,,1.829M,,,-28.04M,,,,,
2003-06,22.97M,,,,0.653M,,,10.25M,10.25M,0.19M,,,,,,0.326M,,,-7.942M,9.939M,,2.323M,,36.38M,,-15.14M,,-15.14M,,,,-15.14M,,,-22.00M,0.559M,0.00,0.559M,,,,,-21.44M,,34.60M,-0.195M,5.417M,39.82M,,,0.559M,,,0.00,,,,,
2003-03,12.19M,,,,3.473M,,,9.812M,9.812M,0.558M,,,,,,17.12M,,,4.005M,1.401M,,22.53M,,48.56M,,-8.432M,,-8.432M,,,,-8.432M,,,-7.20M,0.491M,-11.80M,-11.30M,,,,,-18.50M,,14.17M,21.62M,-1.194M,34.60M,,,0.491M,,,-11.80M,,,,,
2002-12,29.01M,,,,4.195M,,,9.685M,9.685M,-3.056M,,,,,,-17.74M,,,3.951M,3.872M,0.04M,-9.877M,,29.96M,,-9.264M,,-9.264M,,,,-19.70M,,,47.50M,0.164M,-62.30M,-62.13M,,,,-0.001M,-14.63M,,17.84M,-4.373M,0.696M,14.17M,,,0.164M,,,-62.30M,,,,,
2002-09,21.98M,,,,8.124M,-19.64M,-2.076M,7.652M,7.652M,9.905M,,,,,,-4.249M,,,-5.971M,-1.269M,-8.726M,-20.22M,,27.45M,,-12.85M,,-12.85M,,,,-12.85M,,,-15.30M,3.473M,-5.85M,-2.377M,,,,-0.195M,-17.87M,,21.39M,-3.27M,-0.279M,17.84M,,,3.473M,,,-5.85M,,,,,
2002-06,22.94M,,,,-0.932M,19.64M,2.076M,11.71M,11.71M,-3.479M,,,,,,2.854M,,,-0.407M,8.321M,2.134M,12.90M,,43.14M,,-14.71M,,-14.71M,,,,-14.71M,,,-23.00M,3.812M,-11.41M,-7.596M,,,,0.002M,-30.59M,,23.94M,-2.165M,-0.382M,21.39M,,,3.812M,,,-11.41M,,,,,
2002-03,16.05M,,,,0.932M,,,10.01M,10.01M,3.479M,,,,,,13.68M,,,-1.233M,-16.81M,,-4.357M,,26.11M,,-12.14M,,-12.14M,,,,-12.14M,,,-25.00M,8.486M,,8.486M,,,,-0.165M,-16.68M,,27.67M,-2.709M,-1.026M,23.94M,,,8.486M,,,,,,,,
