,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2008-06,1.263B,,1.263B,700.00M,,,700.00M,,454.00M,,,,7.363B,9.78B,,,,13.46B,-2.025B,11.43B,,,2.625B,,,,,2.954B,17.01B,26.79B,490.00M,,490.00M,6.912B,7.402B,,130.00M,,130.00M,,,,7.532B,,8.068B,,8.068B,943.00M,943.00M,,,,7.00M,247.00M,,9.258B,22.08B,895.00M,1.424B,4.134B,693.00M,892.00M,-1.062B,4.698B
2008-03,834.00M,,834.00M,456.00M,,,456.00M,,454.00M,,,,3.22B,4.964B,,,,13.13B,-1.848B,11.28B,,,2.641B,,,,,2.09B,16.01B,20.97B,349.00M,,349.00M,2.974B,3.323B,,130.00M,,130.00M,,,,3.453B,,8.101B,,8.101B,884.00M,884.00M,,,,,,,8.985B,15.74B,895.00M,1.308B,4.095B,693.00M,892.00M,-373.00M,5.232B
2007-12,1.132B,0.00,1.132B,482.00M,30.00M,,512.00M,,451.00M,144.00M,29.00M,124.00M,85.00M,3.562B,181.00M,337.00M,584.00M,13.02B,-1.695B,11.32B,1.786B,873.00M,2.659B,809.00M,491.00M,150.00M,,283.00M,15.71B,19.27B,381.00M,,384.00M,374.00M,758.00M,466.00M,466.00M,,466.00M,0.00,0.00,1.053B,2.277B,,7.895B,,7.895B,843.00M,843.00M,,263.00M,759.00M,,,1.657B,11.49B,13.77B,895.00M,1.27B,4.092B,638.00M,892.00M,-115.00M,5.504B
2007-09,1.171B,,1.171B,536.00M,,,536.00M,,424.00M,,,,1.218B,3.349B,,,,12.93B,-1.515B,11.41B,,,2.774B,,,,,1.668B,15.86B,19.20B,356.00M,,356.00M,1.125B,1.481B,,129.00M,,129.00M,,,,1.61B,,8.619B,,8.619B,824.00M,824.00M,,,,1.00M,,,9.443B,13.58B,895.00M,1.18B,4.032B,553.00M,892.00M,70.00M,5.624B
2007-06,795.00M,,795.00M,564.00M,,,564.00M,,430.00M,,,,1.208B,2.997B,,,,12.79B,-1.334B,11.45B,,,2.821B,,,,,1.664B,15.94B,18.94B,383.00M,,383.00M,1.136B,1.519B,,126.00M,,126.00M,,,,1.645B,,8.609B,,8.609B,713.00M,713.00M,,,,1.00M,,,9.322B,13.60B,895.00M,925.00M,4.028B,500.00M,892.00M,-15.00M,5.333B
2007-03,655.00M,,655.00M,409.00M,,,409.00M,,400.00M,,,,1.205B,2.669B,,,,12.68B,-1.159B,11.52B,,,2.857B,,,,,1.664B,16.04B,18.71B,295.00M,,295.00M,1.144B,1.439B,,129.00M,,129.00M,,,,1.568B,,8.637B,,8.637B,623.00M,623.00M,,,,1.00M,,,9.26B,13.38B,893.00M,790.00M,4.469B,835.00M,892.00M,9.00M,5.326B
2006-12,777.00M,0.00,777.00M,369.00M,,,432.00M,,420.00M,105.00M,68.00M,0.00,27.00M,3.083B,159.00M,87.00M,559.00M,12.52B,-974.00M,11.55B,1.789B,981.00M,2.77B,696.00M,114.00M,439.00M,,788.00M,16.35B,19.44B,327.00M,,329.00M,261.00M,590.00M,123.00M,123.00M,,123.00M,164.00M,164.00M,1.155B,2.032B,,8.603B,,8.603B,554.00M,554.00M,,301.00M,351.00M,,,1.873B,11.75B,13.78B,895.00M,739.00M,4.474B,732.00M,892.00M,282.00M,5.658B
2006-09,1.388B,,1.388B,433.00M,,,433.00M,,397.00M,,,,1.453B,3.671B,,,,12.50B,-814.00M,11.69B,,,2.548B,,,,27.00M,1.789B,16.05B,19.72B,278.00M,,278.00M,1.394B,1.672B,,123.00M,,123.00M,,,,1.795B,,7.826B,,7.826B,362.00M,362.00M,,,,1.00M,,,8.188B,13.72B,893.00M,782.00M,4.458B,297.00M,892.00M,169.00M,6.005B
2006-06,957.00M,,957.00M,473.00M,,,473.00M,,402.00M,,,,1.078B,2.91B,,,,12.48B,-668.00M,11.82B,,,2.644B,,,,42.00M,2.031B,16.53B,19.44B,340.00M,,340.00M,1.165B,1.505B,,125.00M,,125.00M,,,,1.63B,,7.631B,,7.631B,152.00M,152.00M,,,,1.00M,,,7.783B,13.34B,1.139B,374.00M,4.454B,,1.138B,136.00M,6.103B
2006-03,818.00M,,818.00M,426.00M,,,426.00M,,412.00M,,,,801.00M,2.457B,,,,11.97B,-520.00M,11.45B,,,4.168B,,,,27.00M,1.403B,17.05B,19.51B,346.00M,,346.00M,878.00M,1.224B,,136.00M,,136.00M,,,,1.36B,,7.822B,,7.822B,800.00M,800.00M,,,,1.00M,,,8.622B,13.69B,1.139B,184.00M,4.448B,,1.138B,45.00M,5.816B
