,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-06,782.00M,782.00M,9.297B,8.025B,17.32B,,,,,8.303B,585.00M,866.00M,,27.86B,,,,,,,19.60B,-9.211B,10.39B,1.994B,492.00M,2.486B,,,1.523B,18.19B,32.60B,60.45B,5.357B,,5.357B,4.571B,9.928B,,,,13.35B,13.35B,,,,3.113B,26.39B,17.64B,,17.64B,,,,,,6.946B,24.59B,50.98B,2.897B,18.92B,10.73B,,,,-1.615B,9.47B
2008-03,777.00M,777.00M,9.021B,7.81B,16.83B,2.837B,1.422B,3.535B,288.00M,8.082B,546.00M,671.00M,,26.91B,,,,,,,19.26B,-9.211B,10.05B,1.963B,454.00M,2.417B,,,1.582B,17.25B,31.30B,58.20B,5.156B,,5.156B,4.177B,9.333B,,,,12.15B,12.15B,,,,2.832B,24.32B,17.65B,,17.65B,,,,,,7.016B,24.67B,48.99B,2.754B,18.29B,10.12B,,,,-1.71B,9.218B
2007-12,1.122B,1.122B,,,15.75B,2.486B,1.206B,3.512B,,7.204B,583.00M,816.00M,,25.48B,0.0,189.00M,3.625B,14.31B,,1.082B,19.21B,-9.211B,9.997B,1.963B,475.00M,2.438B,598.00M,14.15B,1.553B,1.922B,30.66B,56.13B,4.723B,225.00M,4.948B,3.178B,8.126B,,,,10.60B,10.60B,1.442B,1.442B,,951.00M,22.24B,17.83B,,17.83B,,,5.059B,113.00M,,2.003B,24.89B,47.14B,2.744B,17.40B,9.451B,,,,-1.808B,8.883B
2007-09,910.00M,910.00M,15.08B,,15.08B,2.464B,1.186B,3.236B,301.00M,7.187B,853.00M,892.00M,,24.92B,,,,,,,17.86B,-8.427B,9.436B,1.937B,456.00M,2.393B,,,1.954B,16.09B,29.88B,54.80B,4.426B,,4.426B,4.102B,8.528B,,,,10.30B,10.30B,,,,2.243B,21.07B,17.15B,,17.15B,,,,,,7.965B,25.12B,46.19B,2.759B,16.88B,8.547B,,661.00M,-3.142B,-2.481B,8.608B
2007-06,562.00M,562.00M,14.66B,,14.66B,2.471B,1.094B,3.255B,286.00M,7.106B,751.00M,1.055B,,24.13B,,,,,,,17.55B,-8.427B,9.127B,1.937B,467.00M,2.404B,,,2.111B,15.73B,29.38B,53.51B,4.13B,,4.13B,3.766B,7.896B,,,,9.601B,9.601B,,,,2.308B,19.80B,17.96B,,17.96B,,,,,,7.915B,25.87B,45.68B,2.655B,15.95B,8.154B,,,,-2.621B,7.831B
2007-03,607.00M,607.00M,14.72B,,14.72B,2.477B,1.098B,3.288B,268.00M,7.131B,657.00M,847.00M,,23.96B,,,,,,,17.32B,-8.427B,8.892B,1.94B,460.00M,2.40B,,,2.121B,14.88B,28.29B,52.25B,4.044B,,4.044B,3.587B,7.631B,,,,10.34B,10.34B,,,,1.98B,19.95B,17.02B,,17.02B,,,,,,7.789B,24.81B,44.76B,2.518B,15.55B,7.789B,,487.00M,-3.274B,-2.787B,7.492B
2006-12,530.00M,530.00M,,,15.41B,2.975B,591.00M,2.785B,,6.351B,638.00M,733.00M,,23.66B,0.0,184.00M,3.407B,12.65B,,1.036B,17.28B,-8.427B,8.851B,1.904B,387.00M,2.291B,562.00M,12.39B,1.949B,1.742B,27.79B,51.45B,4.085B,194.00M,4.279B,2.923B,7.202B,,,,9.616B,9.616B,921.00M,921.00M,,1.145B,19.82B,17.68B,,17.68B,,,5.879B,0.00,,1.209B,24.77B,44.59B,2.465B,14.59B,7.352B,,,,-2.847B,6.859B
2006-09,553.00M,553.00M,14.62B,,14.62B,2.106B,994.00M,3.043B,268.00M,6.411B,2.107B,403.00M,,24.10B,,,,,,,16.30B,-7.874B,8.424B,1.877B,646.00M,2.523B,,,986.00M,14.45B,26.39B,50.48B,3.857B,,3.857B,4.135B,7.992B,,,,9.266B,9.266B,,685.00M,685.00M,742.00M,18.68B,18.14B,,18.14B,1.115B,1.115B,,,,3.51B,22.77B,41.46B,2.441B,14.10B,7.031B,,,,-482.00M,9.028B
2006-06,648.00M,648.00M,14.90B,,14.90B,2.112B,981.00M,2.913B,248.00M,6.254B,2.161B,368.00M,,24.33B,,,,,,,16.16B,-7.874B,8.281B,1.834B,655.00M,2.489B,,,692.00M,14.11B,25.57B,49.90B,3.936B,,3.936B,4.323B,8.259B,,,,11.35B,11.35B,,641.00M,641.00M,874.00M,21.13B,15.94B,,15.94B,959.00M,959.00M,,,,3.247B,20.14B,41.27B,2.393B,13.33B,6.613B,,,,-477.00M,8.633B
2006-03,806.00M,806.00M,8.124B,6.351B,14.48B,1.855B,926.00M,2.841B,236.00M,5.858B,2.15B,345.00M,,23.63B,,,,,,,15.76B,-7.874B,7.884B,1.433B,431.00M,1.864B,,,760.00M,13.82B,24.32B,47.96B,3.661B,,3.661B,4.298B,7.959B,,,,10.50B,10.50B,,722.00M,722.00M,520.00M,19.70B,15.37B,,15.37B,915.00M,915.00M,,,,3.011B,19.30B,39.00B,2.063B,12.65B,5.193B,,,,-556.00M,8.962B
2005-12,1.108B,1.108B,,,14.35B,1.917B,814.00M,2.493B,,5.224B,2.25B,255.00M,,23.18B,0.0,154.00M,3.195B,11.82B,,696.00M,15.86B,-7.874B,7.988B,1.451B,424.00M,1.875B,565.00M,11.34B,857.00M,1.745B,24.37B,47.55B,3.412B,168.00M,3.58B,2.617B,6.197B,,,,10.07B,10.07B,454.00M,454.00M,,1.012B,19.33B,15.68B,,15.68B,,,3.161B,,,951.00M,19.79B,39.12B,1.859B,11.81B,4.637B,,,,-598.00M,8.432B
2005-09,967.00M,967.00M,7.319B,5.725B,13.04B,1.628B,925.00M,2.685B,231.00M,5.469B,1.301B,581.00M,,21.36B,,,,,,,15.30B,-7.482B,7.817B,,1.913B,1.913B,,,707.00M,14.07B,24.50B,45.86B,3.425B,,3.425B,4.243B,7.668B,,,,10.05B,10.05B,,583.00M,583.00M,554.00M,18.85B,14.98B,,14.98B,809.00M,809.00M,,,,2.827B,18.62B,37.47B,1.821B,11.30B,4.039B,,,,-688.00M,8.392B
2005-06,749.00M,749.00M,7.577B,5.489B,13.07B,1.698B,831.00M,2.597B,223.00M,5.349B,1.278B,552.00M,,20.99B,,,,,,,15.08B,-7.482B,7.593B,,1.919B,1.919B,,,700.00M,13.62B,23.83B,44.82B,3.495B,,3.495B,3.883B,7.378B,,,,8.62B,8.62B,,493.00M,493.00M,705.00M,17.20B,15.86B,,15.86B,794.00M,794.00M,,,,3.271B,19.92B,37.12B,1.704B,10.63B,3.965B,,,,-666.00M,7.705B
2005-03,517.00M,517.00M,7.517B,5.188B,12.70B,1.752B,766.00M,2.505B,207.00M,5.23B,1.329B,443.00M,,20.22B,,,,,,,15.03B,-7.482B,7.551B,,1.924B,1.924B,,,689.00M,13.96B,24.12B,44.35B,3.978B,,3.978B,3.237B,7.215B,,,,6.525B,6.525B,,416.00M,416.00M,631.00M,14.79B,17.91B,,17.91B,687.00M,687.00M,,,,3.217B,21.81B,36.60B,1.308B,10.52B,3.554B,,,,-525.00M,7.747B
2004-12,445.00M,445.00M,7.463B,5.182B,12.64B,1.592B,664.00M,2.209B,210.00M,4.675B,1.369B,398.00M,,19.53B,0.0,152.00M,3.089B,11.34B,,587.00M,15.16B,-7.482B,7.682B,,1.765B,1.765B,,,674.00M,13.44B,23.56B,43.10B,3.58B,,3.58B,3.991B,7.571B,,,,7.688B,7.688B,,259.00M,259.00M,588.00M,16.11B,15.84B,,15.84B,699.00M,699.00M,,,,2.986B,19.52B,35.63B,1.231B,9.937B,3.277B,,,,-424.00M,7.467B
2004-09,417.00M,417.00M,3.79B,8.951B,12.74B,1.493B,691.00M,2.131B,194.00M,4.509B,1.35B,619.00M,,19.64B,,,,,,,14.34B,-7.039B,7.303B,,1.811B,1.811B,,,516.00M,11.13B,20.76B,40.39B,3.934B,,3.934B,3.138B,7.072B,,,,6.519B,6.519B,,235.00M,235.00M,,13.83B,15.75B,,15.75B,559.00M,559.00M,,,,3.234B,19.55B,33.37B,1.132B,9.667B,3.238B,,,,-540.00M,7.021B
2004-06,467.00M,467.00M,3.831B,8.401B,12.23B,1.427B,646.00M,1.822B,202.00M,4.097B,1.325B,605.00M,,18.73B,,,,,,,14.18B,-7.039B,7.14B,,1.63B,1.63B,,,532.00M,10.69B,19.99B,38.72B,3.664B,,3.664B,2.898B,6.562B,,,,6.433B,6.433B,,189.00M,189.00M,141.00M,13.32B,14.98B,,14.98B,549.00M,549.00M,,,,3.253B,18.78B,32.11B,1.118B,9.146B,3.105B,,,,-549.00M,6.61B
2004-03,368.00M,368.00M,3.751B,7.989B,11.74B,1.268B,552.00M,1.655B,203.00M,3.678B,1.351B,729.00M,,17.87B,,,,,,,14.19B,-7.039B,7.153B,,1.634B,1.634B,,,585.00M,10.62B,19.99B,37.86B,3.309B,,3.309B,3.28B,6.589B,,,,6.34B,6.34B,,271.00M,271.00M,,13.20B,14.57B,,14.57B,532.00M,532.00M,,,,3.222B,18.32B,31.52B,1.101B,8.862B,3.129B,,,,-500.00M,6.334B
2003-12,342.00M,342.00M,,,9.197B,1.289B,377.00M,1.381B,,3.047B,1.424B,707.00M,1.55B,16.27B,0.0,149.00M,3.006B,10.65B,,487.00M,14.29B,-7.039B,7.251B,1.398B,239.00M,1.637B,800.00M,8.245B,616.00M,1.895B,20.44B,36.71B,2.259B,127.00M,2.386B,1.952B,4.338B,,,,5.738B,5.738B,253.00M,469.00M,216.00M,,12.35B,14.55B,,14.55B,568.00M,568.00M,3.172B,,,,18.29B,30.63B,1.059B,8.45B,2.914B,,,,-517.00M,6.078B
2003-09,397.00M,397.00M,3.183B,7.158B,10.34B,1.024B,330.00M,1.518B,185.00M,3.057B,1.782B,434.00M,,16.01B,,,,,,,12.93B,-5.85B,7.083B,,1.675B,1.675B,,,854.00M,9.444B,19.06B,35.07B,2.497B,,2.497B,2.828B,5.325B,,,,5.556B,5.556B,,162.00M,162.00M,,11.04B,13.17B,,13.17B,538.00M,538.00M,,,,4.023B,17.73B,28.78B,1.036B,8.357B,2.571B,,,,-530.00M,6.292B
2003-06,309.00M,309.00M,3.25B,6.927B,10.18B,1.018B,336.00M,1.412B,183.00M,2.949B,1.361B,693.00M,,15.49B,,,,,,,12.88B,-5.85B,7.034B,,1.681B,1.681B,,,844.00M,9.172B,18.73B,34.22B,2.516B,,2.516B,2.755B,5.271B,,,,5.572B,5.572B,,203.00M,203.00M,121.00M,11.17B,12.56B,,12.56B,534.00M,534.00M,,,,4.025B,17.12B,28.29B,1.03B,8.136B,2.645B,,,,-591.00M,5.93B
2003-03,327.00M,327.00M,2.896B,6.741B,9.637B,1.064B,296.00M,1.518B,186.00M,3.064B,1.343B,699.00M,,15.07B,,,,,,,12.85B,-5.85B,6.998B,,1.681B,1.681B,,,858.00M,8.931B,18.47B,33.54B,2.375B,,2.375B,2.69B,5.065B,,,,5.512B,5.512B,,111.00M,111.00M,,10.69B,12.74B,,12.74B,429.00M,429.00M,,,,4.038B,17.21B,27.90B,1.033B,7.978B,2.664B,,,,-708.00M,5.639B
2002-12,309.00M,309.00M,,,8.258B,1.087B,311.00M,1.365B,,2.763B,1.224B,781.00M,1.145B,14.48B,0.0,149.00M,3.039B,10.01B,,305.00M,13.50B,-6.495B,7.009B,1.402B,281.00M,1.683B,747.00M,6.78B,711.00M,1.295B,18.22B,32.70B,1.79B,120.00M,1.91B,1.62B,3.53B,,,,6.087B,6.087B,259.00M,329.00M,70.00M,,11.72B,11.77B,,11.77B,401.00M,401.00M,3.333B,,,,15.51B,27.23B,1.034B,7.849B,2.669B,,,,-742.00M,5.472B
2002-09,445.00M,445.00M,2.868B,6.667B,9.535B,1.298B,,1.603B,183.00M,3.084B,1.28B,441.00M,,14.78B,,,,,,,13.00B,-6.187B,6.81B,,1.706B,1.706B,,,834.00M,8.239B,17.59B,32.37B,2.41B,,2.41B,2.763B,5.173B,,,,5.324B,5.324B,,7.00M,7.00M,,10.50B,12.44B,,12.44B,392.00M,392.00M,,,,3.065B,15.89B,26.40B,1.035B,7.785B,2.672B,,,,-170.00M,5.978B
2002-06,285.00M,285.00M,2.854B,6.93B,9.784B,1.223B,,1.697B,194.00M,3.114B,1.252B,411.00M,,14.85B,,,,,,,12.97B,-6.187B,6.779B,,1.685B,1.685B,,,889.00M,8.535B,17.89B,32.73B,2.403B,,2.403B,2.708B,5.111B,,,,5.291B,5.291B,,7.00M,7.00M,120.00M,10.53B,12.98B,,12.98B,386.00M,386.00M,,,,3.079B,16.45B,26.98B,1.026B,7.573B,2.673B,,,,-168.00M,5.758B
2002-03,302.00M,302.00M,2.619B,6.074B,8.693B,1.183B,,1.841B,190.00M,3.214B,1.235B,439.00M,,13.88B,,,,,,,12.81B,-6.187B,6.622B,,1.683B,1.683B,,,899.00M,8.06B,17.26B,31.15B,2.182B,,2.182B,2.624B,4.806B,,,,5.233B,5.233B,,6.00M,6.00M,,10.04B,11.93B,,11.93B,375.00M,375.00M,,,,3.12B,15.43B,25.47B,1.036B,7.613B,2.682B,,,,-294.00M,5.673B
2001-12,400.00M,400.00M,8.441B,,8.441B,1.085B,,1.658B,182.00M,2.925B,1.211B,423.00M,,13.40B,0.0,149.00M,3.077B,8.928B,,636.00M,12.79B,-6.187B,6.603B,,1.671B,1.671B,,,938.00M,8.045B,17.26B,30.66B,2.123B,,2.123B,2.711B,4.834B,,,,5.311B,5.311B,,11.00M,11.00M,120.00M,10.28B,11.29B,,11.29B,376.00M,376.00M,,,,3.103B,14.77B,25.05B,1.043B,7.533B,2.696B,,,,-269.00M,5.611B
2001-09,232.00M,232.00M,8.831B,,8.831B,1.161B,,1.572B,189.00M,2.922B,1.128B,322.00M,,13.44B,,,,,,,12.16B,-5.85B,6.311B,,1.485B,1.485B,,,979.00M,7.693B,16.47B,29.90B,5.405B,,5.405B,2.644B,8.049B,,,,1.229B,1.229B,,62.00M,62.00M,,9.34B,11.70B,,11.70B,496.00M,496.00M,,,,2.491B,14.69B,24.03B,1.044B,7.606B,2.70B,,,,-73.00M,5.877B
2001-06,272.00M,272.00M,9.186B,,9.186B,1.115B,,1.549B,182.00M,2.846B,1.161B,279.00M,,13.74B,,,,,,,12.01B,-5.85B,6.158B,,1.502B,1.502B,,,955.00M,7.918B,16.53B,30.28B,2.329B,,2.329B,2.431B,4.76B,,,,4.722B,4.722B,,29.00M,29.00M,120.00M,9.631B,12.03B,,12.03B,474.00M,474.00M,,,,2.481B,14.99B,24.62B,1.045B,7.402B,2.691B,,,,-97.00M,5.659B
2001-03,247.00M,247.00M,8.445B,,8.445B,,,,,2.964B,,,1.344B,13.00B,,,,,,,11.84B,-5.85B,5.993B,,1.482B,1.482B,,,,8.75B,16.22B,29.22B,2.234B,,2.234B,,2.234B,,,,4.694B,4.694B,,,,2.308B,9.236B,11.34B,,11.34B,457.00M,457.00M,,,,2.515B,14.31B,23.55B,1.051B,7.367B,2.689B,,,,-54.00M,5.675B
2000-12,334.00M,334.00M,8.079B,,8.079B,,,,,2.692B,,,1.416B,12.52B,,,,,,,11.44B,-5.85B,5.588B,,1.507B,1.507B,,,,8.848B,15.94B,28.46B,2.339B,,2.339B,,2.339B,,,,3.733B,3.733B,,,,2.496B,8.568B,11.33B,,11.33B,448.00M,448.00M,,,,2.514B,14.30B,22.86B,1.048B,7.205B,2.676B,,,,23.00M,5.60B
2000-09,398.00M,398.00M,8.091B,,8.091B,,,,,2.644B,,,1.307B,12.44B,,,,,,,11.15B,-5.876B,5.273B,,1.488B,1.488B,,,,8.639B,15.40B,27.84B,2.263B,,2.263B,,2.263B,,,,3.516B,3.516B,,,,2.328B,8.107B,11.14B,,11.14B,507.00M,507.00M,,,,2.537B,14.19B,22.30B,1.049B,7.175B,2.663B,,,,-16.00M,5.545B
2000-06,469.00M,469.00M,8.071B,,8.071B,,,,,2.555B,,,1.263B,12.36B,,,,,,,11.13B,-5.876B,5.253B,,1.508B,1.508B,,,,8.765B,15.53B,27.88B,2.266B,,2.266B,,2.266B,,,,3.883B,3.883B,,,,2.346B,8.495B,10.85B,,10.85B,544.00M,544.00M,,,,2.534B,13.93B,22.43B,1.049B,6.959B,2.592B,,,,42.00M,5.458B
2000-03,436.00M,436.00M,7.689B,,7.689B,,,,,2.659B,,,1.186B,11.97B,,,,,,,11.06B,-5.876B,5.181B,,1.519B,1.519B,,,,8.293B,14.99B,26.96B,2.192B,,2.192B,,2.192B,,,,3.705B,3.705B,,,,2.265B,8.162B,10.22B,,10.22B,544.00M,544.00M,,,,2.543B,13.30B,21.47B,1.049B,6.875B,2.48B,,,,52.00M,5.496B
1999-12,548.00M,548.00M,7.439B,,7.439B,,,,,2.594B,,,1.229B,11.81B,,,,,,,10.73B,-5.529B,5.201B,,1.543B,1.543B,,,,8.157B,14.90B,26.71B,2.003B,,2.003B,,2.003B,,,,3.874B,3.874B,,,,2.377B,8.254B,9.928B,,9.928B,528.00M,528.00M,,,,2.536B,12.99B,21.25B,1.045B,6.617B,2.275B,,,,78.00M,5.465B
1999-09,283.00M,283.00M,7.688B,,7.688B,,,,,2.719B,,,1.287B,11.98B,,,,,,,13.39B,-8.455B,4.936B,,1.563B,1.563B,,,,7.983B,14.48B,26.46B,2.102B,,2.102B,,2.102B,,,,3.248B,3.248B,,,,2.25B,7.60B,10.35B,,10.35B,494.00M,494.00M,,,,2.62B,13.46B,21.06B,1.044B,6.608B,2.235B,,,,-19.00M,5.398B
1999-06,325.00M,325.00M,7.945B,,7.945B,,,,,2.772B,,,1.21B,12.25B,,,,,,,13.27B,-8.356B,4.913B,,1.578B,1.578B,,,,8.012B,14.50B,26.76B,2.06B,,2.06B,,2.06B,,,,3.896B,3.896B,,,,2.251B,8.207B,10.11B,,10.11B,530.00M,530.00M,,,,2.666B,13.30B,21.51B,,6.389B,,,,,,5.246B
1999-03,244.00M,244.00M,7.631B,,7.631B,,,,,2.892B,,,1.136B,11.90B,,,,,,,13.06B,-8.213B,4.852B,,1.235B,1.235B,,,,7.729B,13.82B,25.72B,2.123B,,2.123B,,2.123B,,,,3.42B,3.42B,,,,2.227B,7.77B,9.509B,,9.509B,429.00M,429.00M,,,,2.698B,12.64B,20.41B,,6.328B,,,,,,5.313B
1998-12,360.00M,360.00M,7.176B,,7.176B,,,,,2.842B,,,1.081B,11.46B,,,,,,,10.40B,-5.529B,4.866B,,1.241B,1.241B,,,,7.562B,13.67B,25.13B,3.558B,,3.558B,,3.558B,,,,3.048B,3.048B,,,,1.339B,7.945B,9.404B,,9.404B,58.00M,58.00M,,,,2.59B,12.05B,20.00B,,6.123B,,,,,,5.131B
1998-09,235.00M,235.00M,,,7.467B,,,,,3.116B,,,968.00M,11.79B,,,,,,,12.71B,-8.196B,4.517B,,1.236B,1.236B,,,,7.595B,13.35B,25.13B,3.678B,,3.678B,,3.678B,,,,2.505B,2.505B,,,,1.222B,7.405B,9.726B,,9.726B,119.00M,119.00M,,,,2.714B,12.56B,19.96B,,6.037B,,,,,,5.17B
1998-06,221.00M,221.00M,,,7.323B,,,,,3.132B,,,1.01B,11.69B,,,,,,,12.52B,-8.079B,4.444B,,1.253B,1.253B,,,,7.723B,13.42B,25.11B,3.587B,,3.587B,,3.587B,,,,2.787B,2.787B,,,,1.305B,7.679B,9.464B,,9.464B,123.00M,123.00M,,,,2.707B,12.29B,19.97B,,5.701B,,,,,,5.133B
