,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-06,566.00M,,-21.00M,353.00M,353.00M,,-275.00M,-3.01B,-290.00M,233.00M,,,50.00M,-3.017B,-2.394B,-482.00M,134.00M,-348.00M,-5.00M,3.839B,-1.598B,1.888B,,,681.00M,38.00M,0.00,38.00M,,-127.00M,,592.00M,368.00M,86.00M,13.00M,467.00M,38.00M,,,0.00
2004-03,420.00M,,-37.00M,350.00M,350.00M,,,-2.498B,-631.00M,243.00M,,,-50.00M,-2.936B,-2.203B,-346.00M,147.00M,-199.00M,,,1.588B,1.389B,,,1.115B,69.00M,-250.00M,-181.00M,,-127.00M,,807.00M,342.00M,-7.00M,33.00M,368.00M,69.00M,,,-250.00M
2003-12,349.00M,,-46.00M,339.00M,339.00M,,,-7.895B,8.00M,434.00M,,,-138.00M,-7.591B,-7.018B,-632.00M,310.00M,360.00M,,,7.062B,6.376B,,,1.031B,76.00M,,-329.00M,,-130.00M,,572.00M,397.00M,-70.00M,15.00M,342.00M,76.00M,,,
2003-09,222.00M,,92.00M,337.00M,337.00M,,,103.00M,-108.00M,-125.00M,,,-91.00M,-221.00M,430.00M,-373.00M,137.00M,-236.00M,,,-475.00M,-711.00M,,,459.00M,63.00M,,63.00M,,-121.00M,,401.00M,309.00M,120.00M,-32.00M,397.00M,63.00M,,,
2003-06,399.00M,,-63.00M,339.00M,339.00M,,,-208.00M,115.00M,-15.00M,,,192.00M,84.00M,759.00M,-413.00M,154.00M,-259.00M,,,-156.00M,-415.00M,,,-301.00M,18.00M,,18.00M,,-120.00M,,-403.00M,327.00M,-59.00M,41.00M,309.00M,18.00M,,,
2003-03,129.00M,,17.00M,332.00M,332.00M,,,-115.00M,-301.00M,248.00M,,,-92.00M,-260.00M,218.00M,-347.00M,160.00M,-187.00M,,,-179.00M,-366.00M,,,295.00M,,,,,-120.00M,,175.00M,309.00M,27.00M,-9.00M,327.00M,,,,
2002-12,305.00M,,-131.00M,310.00M,310.00M,,,-6.176B,321.00M,-225.00M,,,-76.00M,-6.156B,-5.322B,-513.00M,201.00M,416.00M,,,6.133B,5.527B,,,-222.00M,2.00M,,2.00M,,-120.00M,,-340.00M,445.00M,-135.00M,-1.00M,309.00M,2.00M,,,
2002-09,213.00M,,27.00M,312.00M,312.00M,,,-29.00M,30.00M,149.00M,,,-70.00M,80.00M,632.00M,-405.00M,110.00M,-295.00M,,,413.00M,118.00M,,,-496.00M,0.00,,0.00,,-120.00M,,-616.00M,285.00M,134.00M,26.00M,445.00M,0.00,,,
2002-06,200.00M,,47.00M,302.00M,302.00M,,,-78.00M,100.00M,78.00M,,,-24.00M,76.00M,625.00M,-472.00M,130.00M,-342.00M,,,-984.00M,-1.326B,,,795.00M,2.00M,,2.00M,,-121.00M,,676.00M,302.00M,-25.00M,8.00M,285.00M,2.00M,,,
2002-03,80.00M,,57.00M,296.00M,296.00M,,,-40.00M,-289.00M,95.00M,,,-96.00M,-330.00M,103.00M,-383.00M,120.00M,-263.00M,,,-436.00M,-699.00M,,,619.00M,6.00M,,6.00M,,-120.00M,,505.00M,400.00M,-91.00M,-7.00M,302.00M,6.00M,,,
2001-12,167.00M,,355.00M,297.00M,297.00M,,,36.00M,-3.00M,-132.00M,,,-236.00M,-335.00M,484.00M,1.763B,92.00M,1.855B,,,-2.516B,-661.00M,,,478.00M,1.00M,0.00,1.00M,,-120.00M,,359.00M,232.00M,182.00M,-14.00M,400.00M,1.00M,,,0.00
2001-09,205.00M,,-4.00M,290.00M,290.00M,,,292.00M,-76.00M,-142.00M,,,155.00M,229.00M,720.00M,-2.923B,80.00M,-2.843B,,,2.885B,42.00M,,,-744.00M,1.00M,-10.00M,-9.00M,,-120.00M,,-873.00M,272.00M,-111.00M,71.00M,232.00M,1.00M,,,-10.00M
2001-06,271.00M,,36.00M,293.00M,293.00M,,,-424.00M,118.00M,154.00M,,,19.00M,-133.00M,467.00M,-476.00M,94.00M,-382.00M,,,-678.00M,-1.06B,,,776.00M,3.00M,-14.00M,-11.00M,,-117.00M,,648.00M,247.00M,55.00M,-30.00M,272.00M,3.00M,,,-14.00M
2001-03,162.00M,,110.00M,289.00M,289.00M,,,195.00M,-250.00M,-40.00M,,,-150.00M,-245.00M,316.00M,-332.00M,90.00M,-242.00M,,,-1.006B,-1.248B,,,1.019B,1.00M,-19.00M,-18.00M,,-117.00M,,884.00M,334.00M,-48.00M,-39.00M,247.00M,1.00M,,,-19.00M
2000-12,264.00M,,6.00M,253.00M,253.00M,,,-67.00M,-22.00M,18.00M,,,-36.00M,-107.00M,416.00M,-516.00M,98.00M,-418.00M,,,-140.00M,-558.00M,,,241.00M,1.00M,-15.00M,-14.00M,,-117.00M,,110.00M,398.00M,-32.00M,-32.00M,334.00M,1.00M,,,-15.00M
2000-09,216.00M,,20.00M,255.00M,255.00M,,,3.00M,-71.00M,2.00M,,,32.00M,-34.00M,457.00M,-302.00M,51.00M,-251.00M,,,-180.00M,-431.00M,,,106.00M,0.00,-71.00M,-71.00M,,-117.00M,,-82.00M,469.00M,-56.00M,-15.00M,398.00M,0.00,,,-71.00M
2000-06,315.00M,,29.00M,257.00M,257.00M,,,513.00M,104.00M,171.00M,,,-108.00M,680.00M,1.281B,-343.00M,56.00M,-287.00M,,,-1.58B,-1.867B,,,863.00M,3.00M,-115.00M,-112.00M,,-113.00M,,638.00M,436.00M,52.00M,-19.00M,469.00M,3.00M,,,-115.00M
2000-03,258.00M,,65.00M,257.00M,257.00M,,,-776.00M,-65.00M,144.00M,,,22.00M,-675.00M,-95.00M,-227.00M,58.00M,-169.00M,,,272.00M,103.00M,,,203.00M,,-211.00M,-211.00M,,-115.00M,,-123.00M,548.00M,-115.00M,3.00M,436.00M,,,,-211.00M
1999-12,239.00M,,,243.00M,243.00M,,158.00M,219.00M,125.00M,-134.00M,,,-194.00M,16.00M,844.00M,-536.00M,59.00M,-477.00M,,,-252.00M,-729.00M,,,321.00M,1.00M,-42.00M,-41.00M,,-115.00M,,165.00M,283.00M,280.00M,-15.00M,548.00M,1.00M,,,-42.00M
1999-09,219.00M,,,235.00M,235.00M,,50.00M,481.00M,53.00M,95.00M,,,-6.00M,623.00M,1.127B,-289.00M,61.00M,-228.00M,,,-255.00M,-483.00M,,,-529.00M,2.00M,-69.00M,-67.00M,,-116.00M,,-712.00M,325.00M,-68.00M,26.00M,283.00M,2.00M,,,-69.00M
1999-06,283.00M,,,235.00M,235.00M,,-204.00M,328.00M,184.00M,-86.00M,,,-60.00M,366.00M,680.00M,-243.00M,45.00M,-198.00M,,,-1.315B,-1.513B,,,1.091B,8.00M,-71.00M,-63.00M,,-107.00M,,921.00M,244.00M,88.00M,-7.00M,325.00M,8.00M,,,-71.00M
1999-03,205.00M,,,232.00M,232.00M,,-4.00M,-534.00M,-50.00M,30.00M,,,60.00M,-494.00M,-61.00M,-212.00M,50.00M,-162.00M,,,-153.00M,-315.00M,,,472.00M,,-78.00M,-78.00M,,-107.00M,,287.00M,360.00M,-89.00M,-27.00M,244.00M,,,,-78.00M
1998-12,301.00M,,-62.00M,213.00M,213.00M,,-328.00M,-51.00M,274.00M,-14.00M,,101.00M,,310.00M,434.00M,-510.00M,52.00M,-458.00M,,,77.00M,-381.00M,,,232.00M,1.00M,-76.00M,-75.00M,,-107.00M,,50.00M,0.00,103.00M,22.00M,360.00M,1.00M,,,-76.00M
1998-09,336.00M,,213.00M,223.00M,223.00M,,172.00M,42.00M,30.00M,55.00M,,-101.00M,,26.00M,970.00M,-281.00M,25.00M,-256.00M,,1.324B,-1.535B,-467.00M,,,-95.00M,1.00M,-291.00M,-290.00M,,-110.00M,,-495.00M,0.00,8.00M,6.00M,0.00,1.00M,,,-291.00M
1998-06,446.00M,,-219.00M,225.00M,225.00M,,-78.00M,77.00M,-27.00M,-158.00M,,,,-108.00M,266.00M,1.458B,32.00M,1.49B,,-221.00M,-3.236B,-1.967B,,,1.837B,2.00M,-114.00M,-112.00M,,-91.00M,,1.634B,306.00M,-67.00M,-18.00M,0.00,2.00M,,,-114.00M
