,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-06,493.00M,289.00M,782.00M,643.00M,,1.037B,1.486B,232.00M,,687.00M,4.224B,20.95B,3.145B,50.70B,-17.14B,33.56B,76.00M,76.00M,3.251B,,869.00M,380.00M,42.11B,46.34B,,2009-06,1.096B,553.00M,1.649B,273.00M,,,,1.908B,,1.908B,,,1.563B,5.393B,,15.35B,,15.35B,5.417B,,6.537B,2.169B,,18.00M,61.00M,1.319B,,2009-06,3.231B,4.16B,5.755B,-401.00M,12.74B,,2009-06,AOR,Restated
2009-03,710.00M,215.00M,925.00M,584.00M,,962.00M,1.29B,203.00M,,320.00M,4.118B,3.772B,3.147B,50.16B,-16.91B,33.25B,76.00M,76.00M,3.218B,417.00M,948.00M,,41.75B,45.86B,,2009-03,1.126B,614.00M,1.74B,226.00M,,,2.915B,2.915B,,2.915B,266.00M,266.00M,1.264B,6.411B,1.166B,15.90B,,15.90B,5.255B,1.122B,6.377B,2.162B,174.00M,18.00M,61.00M,,,2009-03,2.782B,4.04B,4.564B,-446.00M,10.94B,,2009-03,AOR,Restated
2008-12,497.00M,327.00M,824.00M,659.00M,,1.112B,1.173B,126.00M,,540.00M,3.775B,45.74B,3.973B,49.71B,-16.72B,32.99B,76.00M,76.00M,3.30B,,879.00M,355.00M,41.38B,45.16B,,2008-12,1.297B,634.00M,1.931B,270.00M,,,,2.423B,,2.423B,,,1.673B,6.297B,,15.54B,,15.54B,5.128B,,6.254B,2.184B,,17.00M,61.00M,,,2008-12,2.771B,3.847B,4.527B,-452.00M,10.69B,,2008-12,AOR,Restated
2008-09,338.00M,,338.00M,817.00M,,1.187B,1.018B,,,1.441B,3.984B,16.60B,3.516B,48.39B,-16.60B,31.79B,,76.00M,,,785.00M,4.165B,39.05B,43.04B,,2008-09,1.447B,,1.447B,2.291B,,,,1.984B,,1.984B,,,,5.722B,,15.32B,,15.32B,5.15B,,5.15B,,,,61.00M,,,2008-09,2.76B,3.861B,4.444B,-148.00M,10.92B,,2008-09,,Restated
2008-06,218.00M,,218.00M,795.00M,,1.195B,1.049B,,,1.544B,4.006B,16.45B,3.257B,47.45B,-16.45B,31.00B,,76.00M,,,923.00M,4.453B,38.69B,42.70B,,2008-06,1.414B,,1.414B,2.938B,,,,1.274B,,1.274B,,,,5.626B,,15.18B,,15.18B,5.021B,,5.021B,,,,61.00M,,,2008-06,2.754B,3.651B,4.415B,-189.00M,10.63B,,2008-06,,Restated
2008-03,155.00M,,155.00M,707.00M,,1.05B,947.00M,,,1.209B,3.361B,16.32B,3.001B,46.69B,-16.32B,30.37B,,76.00M,,,1.026B,4.259B,37.96B,41.32B,,2008-03,1.176B,,1.176B,2.656B,,,,1.34B,,1.34B,,,,5.172B,,14.70B,,14.70B,4.854B,,4.854B,,,,61.00M,,,2008-03,2.75B,3.535B,4.391B,-187.00M,10.49B,,2008-03,,Restated
2007-12,178.00M,,178.00M,738.00M,,1.117B,967.00M,,,764.00M,3.026B,16.28B,3.019B,46.14B,-16.28B,29.87B,,76.00M,,,888.00M,4.26B,37.29B,40.32B,,2007-12,1.324B,,1.324B,2.385B,,,,1.452B,,1.452B,,,,5.161B,,14.20B,,14.20B,4.73B,,4.73B,,,,61.00M,,,2007-12,2.743B,3.138B,4.352B,-154.00M,10.08B,,2007-12,,
2007-09,196.00M,,196.00M,739.00M,,1.115B,961.00M,,,839.00M,3.111B,16.14B,2.809B,45.17B,-16.14B,29.03B,,76.00M,,,804.00M,4.07B,36.34B,39.46B,,2007-09,1.121B,,1.121B,2.29B,,,,1.497B,,1.497B,,,,4.908B,,13.87B,,13.87B,4.585B,,4.585B,,,,61.00M,,,2007-09,2.739B,3.07B,4.328B,-228.00M,9.909B,,2007-09,,
2007-06,172.00M,,172.00M,694.00M,,1.072B,1.038B,,,981.00M,3.263B,15.93B,2.469B,44.40B,-15.93B,28.47B,,76.00M,,,896.00M,4.086B,35.93B,39.19B,,2007-06,1.189B,,1.189B,2.656B,,,,1.959B,,1.959B,,,,5.804B,,13.07B,,13.07B,4.536B,,4.536B,,,,61.00M,,,2007-06,2.734B,2.819B,4.305B,-202.00M,9.656B,,2007-06,,
2007-03,456.00M,,456.00M,785.00M,,1.089B,942.00M,,,676.00M,3.163B,15.39B,2.902B,42.69B,-15.39B,27.30B,,76.00M,,,945.00M,4.064B,34.77B,37.94B,,2007-03,1.263B,,1.263B,2.493B,,,,1.552B,,1.552B,,,,5.308B,,12.52B,,12.52B,4.581B,,4.581B,,,,61.00M,,,2007-03,2.728B,2.795B,4.27B,-253.00M,9.54B,,2007-03,,
2006-12,726.00M,,726.00M,690.00M,,1.04B,913.00M,,,909.00M,3.588B,15.24B,3.473B,42.02B,-15.24B,26.78B,,76.00M,,,910.00M,4.155B,34.40B,37.99B,,2006-12,1.36B,,1.36B,2.809B,,,,1.287B,,1.287B,,,,5.456B,,12.43B,,12.43B,4.69B,,4.69B,,,,61.00M,,,2006-12,2.718B,2.696B,4.221B,-223.00M,9.412B,,2006-12,,
2006-09,259.00M,,259.00M,769.00M,,1.083B,810.00M,,,1.023B,3.175B,15.15B,2.848B,40.97B,-15.15B,25.82B,,76.00M,,,,4.116B,33.21B,36.38B,,2006-09,1.18B,,1.18B,2.604B,,,,1.812B,,1.812B,,,,5.596B,,10.97B,,10.97B,4.673B,,4.673B,,,,61.00M,,,2006-09,2.704B,2.669B,4.153B,-1.00M,9.525B,,2006-09,,
2006-06,422.00M,,422.00M,670.00M,,1.017B,865.00M,,,951.00M,3.255B,15.09B,2.423B,40.49B,-15.09B,25.40B,,76.00M,,,,4.221B,32.93B,36.18B,,2006-06,1.191B,,1.191B,2.411B,,,,959.00M,,959.00M,,,,4.561B,,11.84B,,11.84B,4.792B,,4.792B,,,,61.00M,,,2006-06,2.70B,2.55B,4.138B,38.00M,9.426B,,2006-06,,
2006-03,478.00M,,478.00M,685.00M,,1.00B,776.00M,,,995.00M,3.249B,14.97B,2.538B,39.78B,-14.97B,24.81B,,76.00M,,,,4.419B,32.52B,35.76B,,2006-03,1.033B,,1.033B,2.544B,,,,1.287B,,1.287B,,,,4.864B,,11.08B,,11.08B,4.847B,,4.847B,,,,61.00M,,,2006-03,2.70B,2.52B,4.137B,27.00M,9.384B,,2006-03,,
2005-12,528.00M,,528.00M,846.00M,,1.22B,726.00M,,,1.471B,3.945B,14.84B,2.217B,39.12B,-14.84B,24.28B,,76.00M,,,,4.605B,32.23B,36.17B,,2005-12,1.144B,,1.144B,3.153B,,,,1.163B,,1.163B,,,,5.46B,,11.07B,,11.07B,4.81B,,4.81B,,,,61.00M,,,2005-12,2.699B,2.285B,4.131B,-27.00M,9.088B,,2005-12,,
2005-09,849.00M,,849.00M,844.00M,,1.21B,649.00M,,,1.962B,4.67B,14.68B,1.676B,38.20B,-14.68B,23.52B,,76.00M,,,,3.843B,31.29B,35.96B,,2005-09,1.112B,,1.112B,3.568B,,,,732.00M,,732.00M,,,,5.412B,,11.02B,,11.02B,4.674B,,4.674B,,,,61.00M,,,2005-09,2.697B,2.579B,4.121B,-412.00M,8.985B,,2005-09,,
2005-06,882.00M,,882.00M,704.00M,,1.058B,729.00M,,,861.00M,3.53B,14.68B,1.296B,37.58B,-14.68B,22.89B,,76.00M,,,,3.733B,30.41B,33.94B,,2005-06,925.00M,,925.00M,2.528B,,,,1.078B,,1.078B,,,,4.531B,,10.85B,,10.85B,4.663B,,4.663B,,,,61.00M,,,2005-06,2.638B,2.327B,3.813B,-396.00M,8.382B,,2005-06,,
2005-03,1.261B,,1.261B,869.00M,,1.125B,636.00M,,,1.381B,4.403B,14.59B,1.329B,37.19B,-14.59B,22.60B,,76.00M,,,,4.366B,30.69B,35.10B,,2005-03,876.00M,,876.00M,2.952B,,,,1.704B,,1.704B,,,,5.532B,,10.67B,,10.67B,4.774B,,4.774B,,,,61.00M,,,2005-03,2.635B,2.241B,3.786B,-394.00M,8.268B,,2005-03,,
2004-12,595.00M,,595.00M,837.00M,,1.502B,852.00M,,,1.047B,3.996B,14.49B,1.159B,37.29B,-14.49B,22.80B,,76.00M,,,,4.162B,30.64B,34.64B,,2004-12,1.055B,,1.055B,2.633B,,,,1.302B,,1.302B,,,,4.99B,,11.01B,,11.01B,4.819B,,4.819B,,,,61.00M,,,2004-12,2.632B,2.024B,4.203B,-344.00M,8.515B,,2004-12,,
2004-09,1.461B,,1.461B,816.00M,,1.333B,1.074B,,,1.115B,4.983B,14.40B,930.00M,36.69B,-14.40B,22.29B,,78.00M,,,,3.987B,29.84B,34.82B,,2004-09,1.033B,,1.033B,2.787B,,,,1.812B,,1.812B,,,,5.632B,,11.04B,,11.04B,4.52B,,4.52B,,,,133.00M,,,2004-09,2.63B,1.987B,4.197B,-531.00M,8.283B,,2004-09,,
2004-06,1.066B,,1.066B,986.00M,,1.546B,1.192B,,,1.061B,4.865B,14.36B,967.00M,36.54B,-14.36B,22.18B,,78.00M,,,,5.203B,30.98B,35.85B,,2004-06,1.165B,,1.165B,2.802B,,,,2.46B,,2.46B,,,1.00M,6.428B,,11.53B,,11.53B,4.144B,,4.144B,,,,133.00M,,,2004-06,2.63B,1.595B,4.193B,-335.00M,8.083B,,2004-06,,
2004-03,1.253B,,1.253B,1.048B,,1.521B,961.00M,,,1.095B,4.83B,14.17B,1.047B,36.22B,-14.17B,22.06B,,78.00M,,,,5.723B,31.40B,36.24B,,2004-03,1.246B,,1.246B,2.836B,,,,2.23B,,2.23B,,,,6.312B,,11.86B,,11.86B,4.057B,,4.057B,,,,133.00M,,,2004-03,2.63B,1.63B,4.19B,-379.00M,8.071B,,2004-03,,
2003-12,1.182B,,1.182B,1.114B,,1.71B,889.00M,,,1.046B,4.827B,14.00B,1.305B,36.02B,-14.00B,22.02B,,78.00M,,,,6.277B,31.95B,36.78B,,2003-12,1.337B,,1.337B,2.54B,,,,2.105B,,2.105B,,,,5.982B,,12.32B,,12.32B,3.957B,,3.957B,,,,137.00M,,,2003-12,2.626B,1.49B,4.184B,-426.00M,7.874B,,2003-12,,
2003-09,1.708B,,1.708B,1.535B,,1.535B,1.197B,,,1.915B,6.355B,16.49B,973.00M,39.50B,-16.49B,23.01B,,397.00M,,,,3.703B,29.72B,36.08B,,2003-09,1.70B,,1.70B,2.811B,,,,1.677B,,1.677B,,,,6.188B,,12.70B,,12.70B,4.575B,,431.00M,,,,144.00M,,,2003-09,2.626B,2.393B,4.184B,-745.00M,8.458B,,2003-09,,
2003-06,1.176B,,1.176B,1.685B,,1.685B,1.178B,,,1.893B,5.932B,16.03B,1.272B,38.44B,-16.03B,22.41B,,396.00M,,,,3.949B,29.43B,35.36B,,2003-06,1.86B,,1.86B,2.794B,,,,1.587B,,1.587B,,,,6.241B,,11.31B,,11.31B,4.508B,,440.00M,,,533.00M,144.00M,,,2003-06,2.626B,2.275B,4.182B,-670.00M,8.413B,,2003-06,,
2003-03,1.764B,,1.764B,2.572B,,2.572B,966.00M,,,2.142B,7.444B,15.83B,1.51B,38.15B,-15.83B,22.33B,,396.00M,,,,4.064B,29.46B,36.90B,,2003-03,2.93B,,2.93B,3.288B,,,,1.935B,,1.935B,,,,8.153B,,10.81B,,10.81B,4.485B,,448.00M,,,759.00M,144.00M,,,2003-03,2.626B,2.238B,4.175B,-602.00M,8.437B,,2003-03,,
2002-12,1.199B,,1.199B,1.538B,,2.089B,938.00M,,,1.092B,5.318B,13.54B,1.354B,34.13B,-13.54B,20.59B,,241.00M,,,,7.055B,30.57B,35.89B,,2002-12,1.892B,,1.892B,2.698B,,,,4.066B,,4.066B,,,,8.656B,,8.863B,,8.863B,3.916B,,3.916B,,,759.00M,466.00M,,,2002-12,2.261B,1.999B,3.413B,-609.00M,7.064B,,2002-12,,
2002-09,566.00M,,566.00M,2.546B,,2.546B,1.227B,,,9.258B,13.60B,16.26B,1.296B,39.07B,-16.26B,22.82B,,496.00M,,,,6.212B,31.92B,45.52B,,2002-09,2.662B,,2.662B,9.945B,,,,4.059B,,4.059B,,,,16.67B,,9.09B,,9.09B,4.912B,,468.00M,,,1.08B,145.00M,,,2002-09,2.261B,3.039B,3.394B,-28.00M,8.666B,,2002-09,,
2002-06,585.00M,,585.00M,2.638B,,2.638B,1.146B,,,10.74B,15.11B,15.81B,1.274B,39.25B,-15.81B,23.44B,,848.00M,,,,9.444B,36.05B,51.16B,,2002-06,2.641B,,2.641B,11.33B,,,,4.547B,,4.547B,,,,18.52B,,10.47B,,10.47B,4.80B,,474.00M,,,1.071B,145.00M,,,2002-06,2.261B,2.802B,3.413B,-92.00M,8.384B,,2002-06,,
2002-03,306.00M,,306.00M,2.554B,,2.554B,963.00M,,,10.46B,14.28B,16.42B,1.179B,40.87B,-16.42B,24.45B,,2.062B,,,,6.791B,35.87B,50.15B,,2002-03,2.162B,,2.162B,11.75B,,,,5.215B,,5.215B,,,,19.13B,,10.57B,,10.57B,5.247B,,482.00M,,,1.071B,156.00M,,,2002-03,2.156B,3.288B,2.912B,-170.00M,8.186B,,2002-03,,
2001-12,333.00M,,333.00M,1.882B,,1.882B,,,,10.35B,12.56B,16.17B,1.102B,40.71B,-16.17B,24.54B,,1.494B,,,,5.519B,34.72B,47.28B,,2001-12,2.245B,,2.245B,10.40B,,,,5.455B,,5.455B,,,,18.10B,,9.753B,,9.753B,5.314B,,491.00M,,,1.071B,156.00M,,,2001-12,2.153B,3.296B,2.906B,-126.00M,8.229B,,2001-12,,
2001-09,379.00M,,379.00M,2.824B,,2.824B,,,,14.80B,18.01B,15.94B,949.00M,39.01B,-15.94B,23.07B,,6.838B,,,,1.36B,34.81B,52.82B,,2001-09,1.847B,,1.847B,15.00B,,,,5.125B,,5.125B,,,,21.98B,,9.925B,,9.925B,5.432B,,502.00M,,,773.00M,477.00M,,,2001-09,2.153B,3.438B,2.916B,-128.00M,8.379B,,2001-09,,
2001-06,212.00M,,212.00M,2.532B,,2.532B,,,,13.41B,16.15B,15.98B,988.00M,38.85B,-15.98B,22.87B,,1.30B,,,,6.192B,34.08B,50.23B,,2001-06,1.252B,,1.252B,13.32B,,,,5.079B,,5.079B,,,,19.65B,,10.61B,,10.61B,5.424B,,510.00M,,,322.00M,161.00M,,,2001-06,2.153B,3.21B,2.916B,-131.00M,8.148B,,2001-06,,
2001-03,275.00M,,275.00M,3.158B,,3.158B,,,,10.80B,14.23B,15.82B,1.068B,37.93B,-15.82B,22.10B,,1.31B,,,,5.395B,32.68B,46.91B,,2001-03,2.058B,,2.058B,11.41B,,,,5.573B,,5.573B,,,,19.04B,,11.05B,,11.05B,5.384B,,519.00M,,,333.00M,161.00M,,,2001-03,2.152B,3.163B,2.914B,-172.00M,8.057B,,2001-03,,
2000-12,342.00M,,342.00M,3.699B,,3.699B,,,,16.86B,20.90B,15.70B,1.231B,38.09B,-15.70B,22.39B,,1.382B,,,,4.976B,32.45B,53.35B,,2000-12,2.627B,,2.627B,17.82B,,,,5.485B,,5.485B,,,,25.94B,,9.602B,,9.602B,5.403B,,528.00M,,,334.00M,161.00M,,,2000-12,2.152B,3.09B,2.915B,-103.00M,8.054B,,2000-12,,
2000-09,295.00M,,295.00M,3.022B,,3.022B,806.00M,,,4.482B,8.605B,15.48B,1.295B,37.55B,-15.48B,22.07B,,1.378B,,,,4.925B,31.91B,40.52B,,2000-09,1.782B,,1.782B,5.721B,,,,5.256B,,5.256B,,,,12.76B,,10.07B,,10.07B,5.613B,,537.00M,,,334.00M,161.00M,,,2000-09,2.151B,3.506B,2.915B,-155.00M,8.417B,,2000-09,,
2000-06,312.00M,,312.00M,2.502B,,2.502B,823.00M,,,5.579B,9.216B,15.34B,1.211B,37.29B,-15.34B,21.95B,,1.422B,,,,4.178B,31.18B,40.40B,,2000-06,1.591B,,1.591B,6.112B,,,,4.972B,,4.972B,,,,12.68B,,10.07B,,10.07B,5.639B,,553.00M,,,335.00M,163.00M,,,2000-06,2.151B,3.342B,2.862B,-101.00M,8.254B,,2000-06,,
2000-03,364.00M,,364.00M,993.00M,,993.00M,571.00M,,,1.647B,3.575B,9.254B,558.00M,22.27B,-9.254B,13.02B,,,,,,3.106B,18.33B,21.90B,,2000-03,729.00M,,729.00M,2.178B,,,,2.223B,,2.223B,,,,5.13B,,6.239B,,6.239B,2.985B,,321.00M,,,,163.00M,,,2000-03,1.32B,1.728B,1.932B,-8.00M,4.972B,,2000-03,,
1999-12,653.00M,,653.00M,2.027B,,2.027B,896.00M,,,1.498B,5.074B,15.07B,1.061B,36.94B,-15.07B,21.86B,,1.531B,,,,3.854B,30.64B,35.72B,,1999-12,1.28B,,1.28B,2.316B,,,,4.47B,,4.47B,,,,8.066B,,10.16B,,10.16B,5.73B,,580.00M,,,335.00M,182.00M,,,1999-12,2.149B,3.63B,2.898B,-4.00M,8.673B,,1999-12,,
1999-09,274.00M,,274.00M,978.00M,,1.191B,604.00M,,,759.00M,2.828B,9.043B,661.00M,21.96B,-9.043B,12.92B,,,,,,2.64B,17.61B,20.44B,,1999-09,647.00M,,647.00M,1.482B,,,,1.778B,,1.778B,,,,3.907B,,6.219B,,6.219B,2.981B,,334.00M,,,,,,,1999-09,1.489B,1.75B,1.931B,19.00M,5.189B,,1999-09,,
1999-06,242.00M,,242.00M,908.00M,,1.132B,628.00M,,,983.00M,2.985B,8.879B,597.00M,21.80B,-8.879B,12.92B,,,,,,2.726B,17.60B,20.59B,,1999-06,560.00M,,560.00M,1.706B,,,,2.032B,,2.032B,,,,4.298B,,6.117B,,6.117B,2.958B,,340.00M,,,,,,,1999-06,1.488B,1.692B,1.906B,20.00M,5.106B,,1999-06,,
1999-03,280.00M,,280.00M,854.00M,,1.037B,544.00M,,,729.00M,2.59B,8.777B,696.00M,21.59B,-8.777B,12.82B,,,,,,2.817B,17.54B,20.13B,,1999-03,741.00M,,741.00M,1.629B,,,,1.199B,,1.199B,,,,3.569B,,6.542B,,6.542B,2.961B,,345.00M,,,,,,,1999-03,1.484B,1.72B,1.885B,,5.089B,,1999-03,,
1998-12,173.00M,,173.00M,879.00M,,1.093B,496.00M,,,456.00M,2.218B,8.549B,801.00M,21.35B,-8.549B,12.80B,,,,,,2.616B,17.26B,19.48B,,1998-12,618.00M,,618.00M,1.279B,,,,905.00M,,905.00M,,,,2.802B,,6.80B,,6.80B,2.601B,,2.601B,,,,351.00M,,,1998-12,1.479B,1.684B,1.853B,,5.016B,,1998-12,,
1998-09,147.90M,,147.90M,841.70M,,1.032B,474.30M,,,266.70M,1.921B,8.290B,460.60M,21.80B,-8.290B,13.51B,,,,,,226.20M,15.56B,17.48B,,1998-09,460.90M,,460.90M,1.090B,,,,730.20M,,730.20M,,,,2.281B,,5.409B,,5.409B,2.911B,,359.00M,,,,,,,1998-09,1.476B,1.726B,1.833B,,5.035B,,1998-09,,
1998-06,175.30M,,175.30M,867.50M,,1.065B,519.60M,,,881.30M,2.641B,8.179B,431.50M,21.31B,-8.179B,13.13B,,,,,,223.90M,15.17B,17.81B,,1998-06,512.00M,,512.00M,1.528B,,,,1.032B,,1.032B,,,0.10M,3.072B,,5.134B,,5.134B,2.908B,,364.80M,,,,,,,1998-06,1.473B,1.646B,1.815B,,4.934B,,1998-06,,
