,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2011-09,318.98M,,,,,,229.15M,229.15M,185.66M,,-21.87M,6.70M,10.94M,,,,,,3.255M,3.255M,,732.81M,,-191.17M,-191.17M,,57.61M,11.52M,-1.326B,-1.448B,,-93.96M,-93.96M,,,,,3.027M,0.366M,-90.57M,,1.855B,-806.21M,-3.52M,1.046B,,,0.00,-93.96M,,30.78M,351.51M,,AOR,Restated
2011-06,334.84M,,,,,,237.05M,237.05M,183.39M,,19.39M,3.718M,-0.291M,,,,,,-364.04M,-364.04M,,414.05M,,-169.79M,-169.79M,,-1.226B,-318.53M,5.264M,-1.709B,,1.991B,1.991B,,,,,20.30M,-23.56M,1.988B,,1.164B,692.52M,-0.796M,1.855B,,,2.00B,-9.102M,,-7.44M,-114.75M,,AOR,Restated
2011-03,549.33M,,,,,,229.70M,229.70M,221.80M,,-11.62M,15.18M,3.826M,,,,,,-163.91M,-163.91M,,844.30M,,-232.95M,-232.95M,,-85.12M,1.503M,-0.291M,-316.86M,,-8.498M,-8.498M,,,,,3.596M,0.322M,-4.58M,,640.67M,522.85M,0.00,1.164B,,,,-8.498M,,7.44M,114.75M,,AOR,Restated
2010-12,251.86M,,,,,,237.00M,237.00M,96.93M,,25.90M,3.061M,-121.35M,,,,,,52.90M,146.18M,,605.86M,,-280.94M,-280.94M,,0.00,-392.37M,-2.444M,-675.76M,,-4.931M,-4.931M,,-0.396M,-0.396M,,1.537M,0.00,-3.79M,,714.36M,-73.68M,0.00,640.67M,,,0.00,-4.931M,-0.396M,-511.55M,-355.00M,,AOR,Restated
2010-09,244.98M,,,,,,242.86M,242.86M,64.57M,,-22.19M,3.116M,3.54M,,,,,,-118.78M,-118.78M,,418.08M,,-295.00M,-295.00M,,0.00,383.21M,-0.156M,88.05M,,-9.199M,-9.199M,,-92.19M,-92.19M,,1.147M,0.016M,-100.22M,,308.45M,405.91M,0.00,714.36M,,,0.00,-9.199M,-92.19M,279.49M,117.02M,,AOR,Restated
2010-06,487.90M,,,,,,264.45M,264.45M,70.82M,,0.826M,2.894M,-225.82M,,,,,,67.67M,-211.22M,,389.85M,,-216.91M,-216.91M,,0.00,38.28M,-0.118M,-178.74M,,-5.701M,-5.701M,,0.00,0.00,,3.127M,,-2.574M,,99.92M,208.53M,0.00,308.45M,,,0.00,-5.701M,0.00,196.19M,118.62M,,AOR,Restated
2010-03,,,,,,,239.66M,239.66M,-30.92M,,-4.527M,6.316M,236.59M,,,,,,,278.89M,,726.01M,,-320.37M,-320.37M,,,-287.68M,-103.02M,-711.07M,,-7.079M,-7.079M,,-14.50M,-14.50M,,0.709M,,-20.87M,,105.84M,-5.927M,,99.92M,,,,-7.079M,-14.50M,35.87M,119.36M,,AOR,Restated
2009-12,178.81M,-26.71M,0.00,-39.38M,,,243.04M,243.04M,-24.50M,,,3.67M,4.388M,,,,,,-253.92M,-63.21M,,302.81M,,-312.87M,-312.87M,,,477.62M,-0.258M,164.49M,,374.27M,374.27M,,0.00,0.00,,2.85M,,-517.03M,,155.57M,-49.73M,,105.84M,,,400.00M,-25.73M,0.00,-250.58M,-238.70M,,AOR,Restated
2009-09,80.49M,0.831M,0.00,-1.027M,,,228.40M,228.40M,-0.688M,,,1.282M,1.705M,,,,,,600.83M,335.73M,,645.89M,,-257.58M,-257.58M,,,-1.310B,0.446M,-1.567B,,963.15M,963.15M,,0.00,0.00,,0.694M,,963.85M,,112.86M,42.71M,,155.57M,,,1.00B,-36.85M,0.00,4.60M,61.08M,,AOR,Restated
2009-06,63.42M,40.53M,1.789M,95.02M,,,245.30M,245.30M,5.114M,,,4.066M,0.635M,,,,,,,-68.93M,,344.63M,,-214.56M,-214.56M,,,-274.68M,-0.529M,-489.76M,,-6.721M,-6.721M,,0.00,0.00,,0.782M,,-5.939M,,263.94M,-151.08M,,112.86M,,,,-6.721M,0.00,245.98M,177.61M,,AOR,Restated
2009-03,312.68M,-0.844M,2.36M,1.516M,,,223.29M,223.29M,24.70M,,,3.209M,1.777M,,,,,,,334.03M,,901.22M,,-252.17M,-252.17M,,,-461.08M,,-713.26M,,-5.093M,-5.093M,,-18.59M,-18.59M,,1.092M,,-22.60M,,98.57M,165.36M,,263.94M,,,,-5.093M,-18.59M,,,,AOR,Restated
2008-12,216.58M,48.70M,-0.365M,-82.27M,,,233.97M,233.97M,240.68M,,,3.659M,1.45M,,,,,,-27.32M,-251.12M,,362.96M,,-285.62M,-285.62M,0.00,,23.76M,-0.25M,-262.12M,,-974.49M,-974.49M,-19.90M,-0.827M,-20.73M,0.00,,0.00,-974.21M,,971.94M,-873.37M,,98.57M,,-19.90M,0.00,-974.49M,-0.827M,-361.74M,-240.44M,,,Restated
2008-09,91.90M,105.44M,0.815M,68.28M,,,245.65M,245.65M,136.43M,,,3.889M,2.471M,,,,,,,-65.11M,,483.50M,,-315.92M,-315.92M,0.00,,663.50M,1.895M,349.47M,,-530.43M,-530.43M,1.425M,-81.91M,-80.48M,,,0.00,-610.92M,,749.88M,222.06M,,971.94M,,1.425M,0.00,-530.43M,-81.91M,110.46M,59.65M,,,Restated
2008-06,335.88M,15.23M,1.069M,87.61M,,,248.25M,248.25M,0.687M,,,7.801M,-0.152M,,,,,,-350.56M,-243.92M,,436.15M,,-973.44M,-261.57M,-711.87M,,-421.72M,115.30M,-1.280B,,739.95M,741.93M,17.55M,0.00,17.55M,690.87M,,-585.15M,865.20M,,989.68M,21.48M,,749.88M,,17.55M,750.00M,-10.05M,0.00,251.28M,180.78M,,,Restated
2008-03,258.58M,,,6.147M,,,272.37M,272.37M,14.52M,,,,3.559M,,,,,,350.56M,350.56M,,905.74M,,-266.77M,-266.77M,,,-20.29M,-117.90M,-404.96M,,,-1.979M,0.93M,,0.93M,-690.87M,,,-691.92M,,1.181B,-191.14M,,989.68M,,0.93M,,,,,,,,
2007-12,175.04M,,,34.22M,,,321.21M,321.21M,105.18M,,,,6.461M,,,,,,14.85M,77.96M,,720.07M,,-317.03M,-317.03M,,,-750.86M,-100.52M,-1.168B,,,-11.89M,26.59M,,26.59M,,,8.611M,23.32M,,1.606B,-425.02M,,1.181B,,26.59M,,,,,,,,
2007-09,199.68M,,,4.044M,,,344.15M,344.15M,109.87M,,,,5.297M,,,,,,44.15M,44.15M,,707.19M,,-329.94M,-329.94M,,,155.80M,5.603M,-168.53M,,,-11.59M,1.512M,,1.512M,,,0.387M,-9.691M,,1.077B,528.96M,,1.606B,,1.512M,,,,,,,,
2007-06,224.20M,,,23.02M,-320.12M,-4.865M,339.07M,339.07M,108.96M,,,,5.725M,,,,,,-15.97M,-15.97M,,685.00M,,-466.77M,-466.77M,,,-161.21M,41.73M,-586.25M,,,-10.90M,20.54M,,20.54M,,,3.29M,12.94M,,965.20M,111.68M,,1.077B,,20.54M,,,,,,,,
2007-03,157.14M,,,-2.265M,320.12M,4.865M,324.98M,324.98M,74.92M,,,,5.533M,,,,,,-55.85M,-55.85M,,504.47M,,-330.78M,-330.78M,,,-89.76M,-39.26M,-459.80M,,,-1.009B,6.025M,,6.025M,,,0.73M,-1.003B,,1.923B,-957.91M,,965.20M,,6.025M,,,,,,,,
2006-12,152.60M,,,9.359M,1.114B,10.02M,306.40M,306.40M,60.99M,,,,0.042M,,,,,,-202.02M,43.81M,,573.21M,,-407.72M,-407.72M,,,-7.038M,7.706M,-407.06M,,,-9.964M,14.10M,0.00,14.10M,,,-2.471M,1.665M,,1.755B,167.82M,,1.923B,,14.10M,,,0.00,,,,,
2006-09,139.62M,,,-7.884M,,,296.45M,296.45M,43.30M,,,,9.837M,,,,,,75.48M,75.48M,,556.80M,,-376.88M,-376.88M,,,-287.88M,2.482M,-662.28M,,,-9.101M,5.162M,0.00,5.162M,,,1.123M,-2.816M,,1.864B,-108.30M,,1.755B,,5.162M,,,0.00,,,,,
2006-06,168.78M,,,12.40M,-243.99M,-4.359M,273.11M,273.11M,77.54M,,,,4.507M,,,,,,-17.22M,-17.22M,,519.12M,,-313.27M,-313.27M,,,-188.53M,-28.97M,-530.77M,,,-9.558M,3.364M,0.00,3.364M,,,1.694M,-4.50M,,1.880B,-16.15M,,1.864B,,3.364M,,,0.00,,,,,
2006-03,147.28M,,,-67.00M,243.99M,4.359M,248.35M,248.35M,70.51M,,,,3.259M,,,,,,227.72M,227.72M,,630.12M,,-298.45M,-298.45M,,,-88.77M,-6.631M,-393.85M,,,1.046B,1.331M,-11.68M,-10.35M,,,-7.50M,1.028B,,615.67M,1.264B,,1.880B,,1.331M,,,-11.68M,,,,,
2005-12,132.62M,,,2.870B,224.80M,1.567M,226.37M,226.37M,29.58M,,,,-2.895B,,,,,,-158.53M,37.81M,,402.06M,,-528.90M,-528.90M,,,-32.65M,-23.67M,-585.22M,,,-4.494M,0.855M,-210.05M,-209.19M,,,,-213.69M,,1.013B,-396.85M,,615.67M,,0.855M,,,-210.05M,,,,,
2005-09,208.86M,,,141.18M,213.62M,1.568M,215.19M,215.19M,2.852M,,,,-135.01M,,,,,,71.52M,71.52M,,504.59M,,-340.69M,-340.69M,,,-9.061M,-27.99M,-377.74M,,,-12.29M,4.414M,-21.94M,-17.53M,,,,-29.82M,,915.48M,97.04M,,1.013B,,4.414M,,,-21.94M,,,,,
2005-06,855.53M,,,-44.55M,190.38M,1.597M,191.98M,191.98M,-583.14M,,,,1.012M,,,,,,-30.57M,-30.57M,,390.25M,,-319.64M,-319.64M,,,-109.39M,210.66M,-218.36M,,,-16.53M,2.978M,-88.64M,-85.66M,,,,-102.19M,,845.78M,69.70M,,915.48M,,2.978M,,,-88.64M,,,,,
