,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2009-12,1.218B,1.218B,778.60M,439.10M,215.70M,,,18.20M,0.30M,-17.90M,,215.70M,223.40M,0.30M,18.20M,-17.90M,-0.30M,-17.90M,205.20M,65.70M,139.50M,,,,139.50M,38.70M,223.40M,,2009-12,1.07,,1.07,1.07,,2009-12,,,1.06,2009-12,129.80M,130.80M,0.22,,2009-12,AOR,Restated
2009-09,1.203B,1.203B,812.10M,390.90M,,,-0.20M,18.20M,0.40M,-17.80M,,212.10M,178.80M,0.40M,18.20M,-17.80M,-0.20M,-17.80M,160.80M,56.30M,104.50M,,,,104.50M,42.10M,179.00M,,2009-09,0.79,,0.7910,0.79,,2009-09,,,0.7910,2009-09,130.80M,131.40M,0.22,,2009-09,AOR,Restated
2009-06,1.294B,1.294B,889.70M,404.40M,,,-256.40M,14.00M,0.60M,-13.40M,,221.50M,182.90M,0.60M,14.00M,-13.40M,-256.40M,-13.40M,-86.90M,-3.40M,-83.50M,-80.30M,,7.40M,-156.40M,50.20M,-72.90M,,2009-06,-0.62,,1.285,-1.18,,2009-06,,,1.256,2009-06,129.30M,130.60M,0.20,,2009-06,AOR,Restated
2009-03,1.205B,1.205B,813.30M,391.80M,,,6.60M,12.60M,0.70M,-11.90M,,188.40M,203.40M,0.70M,12.60M,-11.90M,6.60M,-11.90M,198.10M,62.20M,135.90M,-38.40M,,16.70M,114.20M,41.80M,210.70M,,2009-03,1.02,,0.9859,0.86,,2009-03,,,0.9860,2009-03,132.70M,133.10M,0.20,,2009-03,AOR,Restated
2008-12,1.333B,1.333B,925.30M,407.90M,,,-0.70M,13.80M,0.90M,-12.90M,,191.80M,216.10M,0.90M,13.80M,-12.90M,-0.70M,-12.90M,202.50M,61.90M,140.60M,-317.00M,,137.80M,-38.60M,43.20M,216.30M,,2008-12,1.06,,1.064,-0.29,,2008-12,,,1.064,2008-12,133.30M,133.30M,0.20,,2008-12,,Restated
2008-09,1.173B,1.173B,791.90M,380.70M,,,-8.10M,12.40M,1.00M,-11.40M,,189.60M,191.10M,1.00M,12.40M,-11.40M,-8.10M,-11.40M,171.60M,52.20M,119.40M,-1.30M,,0.60M,118.70M,42.50M,184.00M,,2008-09,0.89,,0.9321,0.89,,2008-09,,,0.9318,2008-09,134.00M,134.70M,0.20,,2008-09,,Restated
2008-06,718.30M,718.30M,453.90M,264.40M,62.90M,,2.70M,10.30M,-0.30M,-10.60M,,62.90M,201.50M,-0.30M,10.30M,-10.60M,2.70M,-10.60M,193.60M,65.00M,128.60M,,,,121.70M,46.40M,203.90M,,2008-06,0.98,,0.9666,0.91,,2008-06,,,0.9667,2008-06,133.60M,135.30M,0.15,,2008-06,,Restated
2008-03,1.330B,1.330B,933.90M,395.70M,236.40M,,2.80M,13.90M,1.90M,-12.00M,,236.40M,159.30M,1.90M,13.90M,-12.00M,2.80M,-12.00M,150.10M,38.90M,111.20M,,,-3.20M,108.00M,41.60M,164.00M,,2008-03,0.80,,0.7846,0.80,,2008-03,,,0.7648,2008-03,134.60M,136.20M,0.15,,2008-03,,Restated
2007-12,1.318B,1.318B,908.20M,409.50M,230.30M,,4.30M,,,,,230.30M,179.20M,,,,4.20M,,171.20M,57.30M,114.30M,,,0.40M,114.30M,42.30M,179.20M,,2007-12,0.84,,0.8189,0.84,,2007-12,,,0.8092,2007-12,135.70M,137.60M,0.15,,2007-12,,
2007-09,1.230B,1.230B,849.60M,380.90M,216.90M,,1.70M,,,,,216.90M,164.00M,,,,1.70M,,152.60M,52.80M,100.20M,,,0.40M,100.20M,41.90M,164.00M,,2007-09,0.76,,0.7516,0.76,,2007-09,,,0.7219,2007-09,132.60M,137.90M,0.15,,2007-09,,
2007-06,1.208B,1.208B,827.40M,380.20M,238.40M,,-0.40M,,,,,238.40M,141.80M,,,,-0.30M,,134.50M,50.80M,87.60M,,,3.90M,87.60M,46.10M,141.80M,,2007-06,0.68,,0.6819,0.68,,2007-06,,,0.6418,2007-06,130.37M,135.13M,0.11,,2007-06,,
2007-03,1.072B,1.072B,719.10M,353.30M,241.50M,,166.20M,,,,,241.50M,111.80M,,,,166.20M,,272.10M,63.80M,214.90M,,,6.60M,214.90M,34.30M,111.80M,,2007-03,1.62,,0.6634,1.62,,2007-03,,,0.6221,2007-03,133.00M,141.70M,0.11,,2007-03,,
2006-12,1.016B,1.016B,683.70M,332.50M,181.40M,,-0.20M,,,,,181.40M,151.10M,,,,-0.20M,,143.60M,49.60M,94.00M,,,,94.00M,27.50M,151.10M,,2006-12,0.71,,0.7110,0.71,,2006-12,,,0.6709,2006-12,132.90M,141.60M,0.11,,2006-12,,
2006-09,946.80M,946.80M,640.90M,305.90M,169.40M,,-18.50M,,,,,169.40M,136.50M,,,,-18.50M,,110.60M,26.70M,83.90M,,,,83.90M,27.30M,136.50M,,2006-09,0.63,,0.7356,0.63,,2006-09,,,0.6990,2006-09,132.90M,141.70M,0.11,,2006-09,,
2006-06,992.40M,992.40M,664.50M,327.90M,192.00M,,-0.40M,,,,,192.00M,135.90M,,,,-0.40M,,128.90M,43.80M,85.10M,,,,85.10M,28.80M,135.90M,,2006-06,0.64,,0.6420,0.64,,2006-06,,,0.6119,2006-06,133.20M,141.60M,0.08,,2006-06,,
2006-03,881.10M,881.10M,584.20M,296.90M,177.80M,,,,,,,177.80M,119.10M,,,,,,111.30M,38.80M,72.50M,,,,72.50M,25.10M,119.10M,,2006-03,0.54,,0.54,0.54,,2006-03,,,0.52,2006-03,133.20M,142.00M,0.08,,2006-03,,
2005-12,841.60M,841.60M,605.60M,236.00M,167.70M,,-0.20M,,,,,167.70M,68.30M,,,,-0.20M,,61.00M,31.00M,30.00M,,,,30.00M,24.30M,68.30M,,2005-12,0.23,,0.2309,0.23,,2005-12,,,0.2208,2005-12,132.90M,141.70M,0.08,,2005-12,,
2005-09,759.70M,759.70M,536.60M,223.10M,139.70M,,-0.50M,,,,,139.70M,83.40M,,,,-0.60M,,79.60M,29.30M,50.30M,,,,50.30M,20.20M,83.40M,,2005-09,0.38,,0.3824,0.38,,2005-09,,,0.3622,2005-09,132.50M,141.10M,0.08,,2005-09,,
2005-06,821.90M,821.90M,585.10M,236.80M,141.40M,,-0.10M,,,,,141.40M,95.40M,,,,-0.10M,,91.40M,30.20M,61.20M,,,,61.20M,22.50M,95.40M,,2005-06,0.46,,0.4605,0.46,,2005-06,,,0.4405,2005-06,134.01M,134.01M,0.06,,2005-06,,
2005-03,772.10M,772.10M,547.40M,224.70M,136.00M,,-1.00M,,,,,136.00M,88.70M,,,,-1.00M,,83.20M,27.40M,55.80M,,,,55.80M,20.60M,88.70M,,2005-03,0.42,,0.4250,0.42,,2005-03,,,0.4047,2005-03,132.80M,141.40M,0.06,,2005-03,,
2004-12,737.20M,737.20M,540.20M,197.00M,124.20M,,-3.50M,,,,,124.20M,72.80M,,,,-3.50M,,64.90M,19.80M,45.10M,,,,45.10M,24.80M,72.80M,,2004-12,0.34,,0.3583,0.34,,2004-12,,,0.3472,2004-12,132.90M,141.70M,0.06,,2004-12,,
2004-09,669.40M,669.40M,504.10M,165.30M,101.00M,,-1.70M,,,,,101.00M,64.30M,,,,-1.70M,,58.90M,18.80M,40.10M,,,,40.10M,14.70M,64.30M,,2004-09,0.30,,0.3087,0.30,,2004-09,,,0.2982,2004-09,132.50M,140.80M,0.06,,2004-09,,
2004-06,722.80M,722.80M,541.50M,181.30M,124.80M,,-3.60M,,,,,124.80M,56.50M,,,,-3.60M,,48.70M,15.60M,33.10M,5.10M,,,38.20M,19.70M,56.50M,,2004-06,0.25,,0.2683,0.29,,2004-06,,,0.2583,2004-06,133.70M,133.70M,0.05,,2004-06,,
