,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-06,633.48M,633.48M,,,,0.00,,7.23M,-7.23M,74.05M,74.05M,7.23M,-7.23M,0.573M,-7.23M,94.93M,31.25M,62.71M,0.00,0.00,0.971M,,62.71M,62.71M,0.00,102.16M,,0.2311,0.00,0.00,,0.2311,0.2311,,0.2311,0.00,0.00,,0.2311,0.2311,,271.35M,271.35M,0.04,,AOR,
2002-03,689.67M,689.67M,,,,0.00,,7.318M,-7.318M,77.12M,77.12M,7.318M,-7.318M,0.479M,-7.318M,149.33M,50.17M,98.16M,0.00,-0.002M,1.005M,,98.15M,98.16M,0.00,156.65M,,0.3556,0.00,0.00,-0.0000,0.3556,0.3556,,0.3556,0.00,-0.0000,-0.0000,0.3556,0.3556,,276.06M,276.06M,0.04,,AOR,
2001-12,656.56M,656.56M,,,,,,9.757M,-9.757M,87.11M,87.11M,9.757M,-9.757M,0.486M,-9.757M,129.76M,44.32M,85.51M,0.00,-2.388M,5.675M,,83.13M,87.90M,,139.52M,,0.3067,0.00,0.00,-0.0087,0.3067,0.2978,,0.3067,0.00,-0.0102,-0.0087,0.3067,0.2978,,265.02M,265.04M,0.04,,AOR,Restated
2001-09,686.69M,686.69M,,,,3.018M,,10.42M,-10.42M,72.32M,75.34M,10.42M,-10.42M,0.66M,-10.42M,160.67M,55.02M,104.88M,,-1.06M,0.767M,,103.82M,105.94M,3.018M,171.09M,,0.3733,0.00,0.00,-0.0038,0.3733,0.3689,,0.3689,0.00,-0.0038,-0.0038,0.3689,0.3644,,281.43M,284.86M,0.04,,AOR,
2001-06,689.03M,689.03M,,,,3.019M,,11.76M,-11.76M,72.66M,75.68M,11.76M,-11.76M,0.66M,-11.76M,155.72M,53.43M,100.84M,0.00,-27.66M,1.461M,,73.17M,101.92M,3.019M,167.48M,,0.36,0.00,0.00,-0.0038,0.36,0.2578,,0.3556,0.00,-0.0975,-0.0038,0.3556,0.2578,,283.86M,283.86M,0.04,,AOR,
2001-03,674.77M,674.77M,,,,,,12.57M,-12.57M,,,12.57M,-12.57M,127.90M,-12.57M,0.00,53.19M,99.70M,-3.28M,,2.381M,,96.40M,99.70M,,12.57M,,0.3511,-0.0133,,-0.0001,0.3511,0.3378,,0.3511,-0.0133,,-0.0001,0.3511,0.3378,,283.92M,285.24M,0.04,,AOR,
2000-12,644.10M,644.10M,,,,,,,,,,,,2.047B,,,,92.09M,,,,,92.09M,92.09M,,,,0.3244,0.00,,,0.3244,0.3244,,0.3244,0.00,,,0.3244,0.3244,,283.66M,283.66M,0.04,,AOR,Restated
2000-09,640.55M,640.55M,,,,3.018M,,13.35M,-13.35M,67.60M,70.61M,13.35M,-13.35M,0.651M,-13.35M,151.84M,51.42M,97.74M,0.00,0.00,2.68M,,97.74M,97.74M,3.018M,165.19M,,0.3422,0.00,0.00,,0.3422,0.3422,,0.3422,0.00,0.00,,0.3422,0.3422,,285.59M,285.59M,0.04,,AOR,
2000-06,615.13M,615.13M,,,,,,14.17M,-14.17M,,,14.17M,-14.17M,108.30M,-14.17M,0.00,43.94M,83.29M,,,2.543M,,83.29M,83.29M,,14.17M,,0.2889,0.00,,,0.2889,0.2889,,0.2889,0.00,,,0.2889,0.2889,,288.11M,288.58M,0.04,,AOR,
2000-03,619.02M,619.02M,,,,3.018M,,13.81M,-13.81M,66.40M,69.42M,13.81M,-13.81M,0.712M,-13.81M,137.91M,46.64M,88.88M,,0.00,2.389M,,88.88M,88.88M,3.018M,151.72M,,0.3022,0.00,0.00,,0.3022,0.3022,,0.3022,0.00,0.00,,0.3022,0.3022,,294.09M,294.09M,0.04,,AOR,
1999-12,586.38M,586.38M,,,,,,13.69M,-13.69M,,,13.69M,-13.69M,-229.45M,-13.69M,402.41M,35.26M,68.96M,0.00,0.00,,,68.96M,68.96M,,416.10M,,0.2356,0.00,0.00,,0.2356,0.2356,,0.2311,0.00,0.0019,,0.2311,0.2267,,254.55M,259.99M,0.04,,AOR,Restated
1999-09,565.78M,565.78M,,,,,,13.33M,-13.33M,,,13.33M,-13.33M,93.93M,-13.33M,0.00,38.02M,73.31M,,,2.357M,,73.31M,73.31M,,13.33M,,0.2444,0.00,,,0.2444,0.2444,,0.2444,0.00,,,0.2444,0.2444,,298.05M,299.86M,0.04,,,
1999-06,507.23M,507.23M,,,,,,12.75M,-12.75M,,,12.75M,-12.75M,37.22M,-12.75M,0.00,18.64M,36.31M,-1.06M,,2.225M,,35.25M,36.31M,,12.75M,,0.12,-0.0044,,,0.12,0.1156,,0.12,-0.0044,,,0.12,0.1156,,300.09M,302.23M,0.04,,,
1999-03,567.51M,567.51M,,,,,,12.58M,-12.58M,,,12.58M,-12.58M,104.75M,-12.58M,0.00,42.40M,80.35M,,16.09M,2.289M,,96.43M,80.35M,,12.58M,,0.2622,0.0533,0.00,,0.2622,0.3156,,0.2622,0.0533,0.0526,,0.2622,0.3156,,305.60M,305.60M,0.04,,,
1998-12,560.48M,560.48M,,,,,,10.52M,-10.52M,,,10.52M,-10.52M,-284.78M,-10.52M,446.99M,37.14M,64.18M,-50.27M,,,2.377M,66.44M,69.18M,,457.52M,,0.2311,-0.16,,0.1662,0.2311,0.2356,,0.2267,-0.16,,0.1662,0.2267,0.2356,,262.95M,262.95M,0.0978,,AOR,Restated
1998-09,507.40M,507.40M,,,,,,13.00M,-13.00M,,,13.00M,-13.00M,69.40M,-13.00M,0.00,27.50M,55.70M,13.90M,,,2.50M,17.10M,55.70M,,13.00M,,0.1689,0.0444,,-0.1598,0.1689,0.0444,,0.1689,0.0444,,-0.1598,0.1689,0.0444,,328.50M,328.50M,0.0667,,,
1998-06,556.00M,556.00M,,,,,-20.20M,14.50M,-14.50M,,-20.20M,14.50M,-14.50M,116.60M,-14.50M,0.00,48.30M,55.40M,15.20M,,,2.50M,65.60M,75.60M,,14.50M,,0.1689,0.0489,,-0.0158,0.2329,0.20,,0.1644,0.0489,,-0.0158,0.2285,0.20,,315.50M,315.50M,0.00,,,
1998-03,554.30M,554.30M,,,,,,18.30M,-18.30M,,,18.30M,-18.30M,121.30M,-18.30M,0.00,41.40M,80.60M,14.80M,,,2.50M,95.40M,80.60M,,18.30M,,0.2489,0.0444,,,0.2489,0.2933,,0.2444,0.0444,,,0.2444,0.2933,,316.70M,316.70M,0.0667,,,
1997-12,532.80M,532.80M,,,,,,18.40M,-18.40M,,,18.40M,-18.40M,110.60M,-18.40M,0.00,38.50M,82.50M,20.20M,,,,102.70M,82.50M,,18.40M,,0.2311,0.2489,,,0.2311,0.48,,0.2311,0.2489,,,0.2311,0.48,,311.50M,311.50M,0.0667,,AOR,
1997-09,528.80M,528.80M,,,,,,17.40M,-17.40M,,,17.40M,-17.40M,108.60M,-17.40M,0.00,38.90M,73.70M,19.30M,,-2.00M,,93.00M,73.70M,,17.40M,,0.2356,0.0622,,,0.2356,0.2978,,0.2311,0.0622,,,0.2311,0.2933,,312.31M,317.05M,0.0667,,,
1997-06,558.40M,558.40M,,,,,,18.28M,-18.28M,,,18.28M,-18.28M,138.51M,-18.28M,0.00,41.42M,74.59M,,,2.474M,,74.59M,74.59M,,18.28M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,312.05M,313.08M,0.0644,,,
1997-03,560.55M,560.55M,,,,,,17.87M,-17.87M,,,17.87M,-17.87M,144.86M,-17.87M,0.00,43.46M,77.33M,,,2.389M,,77.33M,77.33M,,17.87M,,0.2489,0.00,,,0.2489,0.2489,,0.2489,0.00,,,0.2489,0.2489,,314.13M,314.13M,0.0644,,,
1996-12,541.56M,541.56M,,,,,,18.12M,-18.12M,,,18.12M,-18.12M,-270.48M,-18.12M,495.13M,45.57M,82.37M,0.00,,2.422M,,82.37M,82.37M,,513.26M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,316.05M,322.16M,0.0644,,AOR,
1996-09,554.74M,554.74M,,,,,,17.66M,-17.66M,,,17.66M,-17.66M,152.15M,-17.66M,0.00,45.98M,80.83M,-7.137M,,2.424M,,73.69M,80.83M,,17.66M,,0.2533,0.00,,,0.2533,0.2533,,0.2533,0.00,,,0.2533,0.2533,,320.91M,320.91M,0.0644,,,
1996-06,555.64M,555.64M,,,,,,18.19M,-18.19M,,,18.19M,-18.19M,152.11M,-18.19M,0.00,45.43M,79.04M,,,2.39M,,79.04M,79.04M,,18.19M,,0.2444,0.00,,,0.2444,0.2444,,0.2444,0.00,,,0.2444,0.2444,,322.87M,322.87M,0.0644,,,
1996-03,553.86M,553.86M,,,,,,19.64M,-19.64M,,,19.64M,-19.64M,151.68M,-19.64M,0.00,43.64M,76.27M,,,2.419M,,76.27M,76.27M,,19.64M,,0.2356,0.00,,,0.2356,0.2356,,0.2356,0.00,,,0.2356,0.2356,,322.72M,322.72M,0.0644,,,
1995-12,490.38M,490.38M,,,,,,18.69M,-18.69M,,,18.69M,-18.69M,-263.84M,-18.69M,428.18M,53.44M,72.34M,,,2.517M,,-56.36M,72.34M,,446.87M,,0.2222,-0.40,,,0.2222,-0.1778,,0.2222,-0.40,,,0.2222,-0.1778,,322.89M,322.89M,0.1289,,AOR,
1995-09,514.40M,514.40M,,,,,,19.90M,-19.90M,,,19.90M,-19.90M,130.40M,-19.90M,0.00,32.80M,60.90M,,,2.60M,,60.90M,60.90M,,19.90M,,0.1911,0.00,,,0.1911,0.1911,,0.1911,0.00,,,0.1911,0.1911,,322.22M,322.22M,0.0644,,,
1995-06,530.50M,530.50M,,,,,,19.90M,-19.90M,,,19.90M,-19.90M,145.70M,-19.90M,0.00,36.50M,70.00M,,,2.60M,,70.00M,70.00M,,19.90M,,0.2178,0.00,,,0.2178,0.2178,,0.2178,0.00,,,0.2178,0.2178,,322.06M,322.06M,0.0622,,,
1995-03,519.61M,519.61M,,,,,,21.71M,-21.71M,,,21.71M,-21.71M,128.78M,-21.71M,0.00,38.38M,68.33M,0.288M,,2.573M,,68.62M,68.33M,,21.71M,,0.2133,0.00,,,0.2133,0.2133,,0.2133,0.00,,,0.2133,0.2133,,321.94M,321.94M,0.0622,,,
1994-12,497.90M,497.90M,,,,,,21.00M,-21.00M,,,21.00M,-21.00M,133.80M,-21.00M,0.00,30.30M,63.80M,,,,0.00,63.80M,63.80M,,21.00M,,0.1982,,,,0.1982,0.1982,,0.1982,-0.40,,,0.1982,-0.1867,,321.90M,321.90M,0.0622,,AOR,
1994-09,465.90M,465.90M,,,,,,19.20M,-19.20M,,,19.20M,-19.20M,129.40M,-19.20M,0.00,27.80M,64.70M,,,,,64.70M,64.70M,,19.20M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,322.26M,322.26M,0.0622,,,
1994-06,466.80M,466.80M,,,,,,18.20M,-18.20M,,,18.20M,-18.20M,126.60M,-18.20M,0.00,30.00M,64.90M,,,,,64.90M,64.90M,,18.20M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,325.66M,325.66M,0.0622,,,
1994-03,500.60M,500.60M,,,,,,18.00M,-18.00M,,,18.00M,-18.00M,152.50M,-18.00M,0.00,36.20M,75.60M,,,,0.80M,75.60M,75.60M,,18.00M,,0.2311,0.00,,,0.2311,0.2311,,0.2311,0.00,,,0.2311,0.2311,,328.01M,328.01M,0.0622,,,
1993-12,578.00M,578.00M,,,,,,19.90M,-19.90M,,,19.90M,-19.90M,220.80M,-19.90M,0.00,41.80M,85.80M,,-4.00M,0.00,,81.80M,85.80M,,19.90M,,0.2578,-0.0156,0.00,,0.2578,0.2422,,0.2578,-0.0156,-0.0116,,0.2578,0.2422,,323.94M,323.94M,0.0622,,,
1993-09,531.50M,531.50M,,,,,,19.30M,-19.30M,,,19.30M,-19.30M,148.80M,-19.30M,0.00,47.00M,64.40M,,,3.20M,,64.40M,64.40M,,19.30M,,0.1911,0.00,,,0.1911,0.1911,,0.1911,0.00,,,0.1911,0.1911,,336.98M,336.98M,0.0622,,,
1993-06,543.90M,543.90M,,,,,,14.60M,-14.60M,,,14.60M,-14.60M,162.30M,-14.60M,0.00,37.50M,78.20M,,,3.90M,,78.20M,78.20M,,14.60M,,0.2356,0.00,,,0.2356,0.2356,,0.2356,0.00,,,0.2356,0.2356,,331.98M,331.98M,0.0593,,,
1993-03,525.60M,525.60M,,,,,,13.60M,-13.60M,,,13.60M,-13.60M,154.20M,-13.60M,0.00,26.70M,51.00M,,22.40M,3.50M,,73.40M,51.00M,,13.60M,,0.1511,0.0711,0.00,,0.1511,0.2222,,0.1511,0.0711,0.0678,,0.1511,0.2222,,330.30M,330.30M,0.0593,,,
1992-12,514.40M,514.40M,,,,,,14.10M,-14.10M,,,14.10M,-14.10M,150.60M,-14.10M,0.00,34.50M,66.90M,,,3.50M,,66.90M,66.90M,,14.10M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,316.91M,316.91M,0.0593,,,
1992-09,512.10M,512.10M,,,,,,14.10M,-14.10M,,,14.10M,-14.10M,150.30M,-14.10M,0.00,36.50M,68.10M,,,3.20M,,68.10M,68.10M,,14.10M,,0.2089,0.00,,,0.2089,0.2089,,0.2089,0.00,,,0.2089,0.2089,,326.01M,326.01M,0.0593,,,
1992-06,530.40M,530.40M,,,,,,14.20M,-14.20M,,,14.20M,-14.20M,166.60M,-14.20M,0.00,35.30M,66.40M,,,3.00M,,66.40M,66.40M,,14.20M,,0.2044,0.00,,,0.2044,0.2044,,0.2044,0.00,,,0.2044,0.2044,,324.78M,324.78M,0.0593,,,
1992-03,515.10M,515.10M,,,,,,13.20M,-13.20M,,,13.20M,-13.20M,150.40M,-13.20M,0.00,34.50M,64.00M,,,2.70M,,64.00M,64.00M,,13.20M,,0.1867,0.00,,,0.1867,0.1867,,0.1867,0.00,,,0.1867,0.1867,,342.86M,342.86M,0.0593,,,
1991-12,487.90M,487.90M,,,,,,13.30M,-13.30M,,,13.30M,-13.30M,148.30M,-13.30M,0.00,31.70M,63.50M,,,2.60M,,63.50M,63.50M,,13.30M,,0.1822,0.00,,,0.1822,0.1822,,0.1822,0.00,,,0.1822,0.1822,,313.22M,313.22M,0.0593,,,
1991-09,489.00M,489.00M,,,,,,12.60M,-12.60M,,,12.60M,-12.60M,149.40M,-12.60M,0.00,31.90M,62.70M,,,2.30M,,62.70M,62.70M,,12.60M,,0.1778,0.00,,,0.1778,0.1778,,0.1778,0.00,,,0.1778,0.1778,,352.69M,352.69M,0.0593,,,
1991-06,480.50M,480.50M,,,,,,12.40M,-12.40M,,,12.40M,-12.40M,139.10M,-12.40M,0.00,30.40M,61.40M,,,2.70M,,61.40M,61.40M,,12.40M,,0.1733,0.00,,,0.1733,0.1733,,0.1733,0.00,,,0.1733,0.1733,,354.23M,354.23M,0.0593,,,
1991-03,476.00M,476.00M,,,,,,11.90M,-11.90M,,,11.90M,-11.90M,130.70M,-11.90M,0.00,31.30M,59.00M,,,2.40M,,59.00M,59.00M,,11.90M,,0.1689,0.00,,,0.1689,0.1689,,0.1689,0.00,,,0.1689,0.1689,,349.34M,349.34M,0.0519,,,
1990-12,462.40M,462.40M,,,,,,11.00M,-11.00M,,,11.00M,-11.00M,129.80M,-11.00M,0.00,23.40M,47.20M,,,2.10M,,47.20M,47.20M,,11.00M,,0.1333,0.00,,,0.1333,0.1333,,0.1333,0.00,,,0.1333,0.1333,,311.92M,311.92M,0.0519,,,
1990-09,461.20M,461.20M,,,,,,10.90M,-10.90M,,,10.90M,-10.90M,129.40M,-10.90M,0.00,31.70M,61.20M,,,2.50M,,61.20M,61.20M,,10.90M,,0.1733,0.00,,,0.1733,0.1733,,0.1733,0.00,,,0.1733,0.1733,,353.08M,353.08M,0.0519,,,
1990-06,435.60M,435.60M,,,,,,12.70M,-12.70M,,,12.70M,-12.70M,121.70M,-12.70M,0.00,26.90M,60.50M,,,2.30M,,60.50M,60.50M,,12.70M,,0.1689,0.00,,,0.1689,0.1689,,0.1689,0.00,,,0.1689,0.1689,,358.22M,358.22M,0.0519,,,
1990-03,437.40M,437.40M,,,,,,11.60M,-11.60M,,,11.60M,-11.60M,124.40M,-11.60M,0.00,32.30M,60.40M,,,2.40M,,60.40M,60.40M,,11.60M,,0.1644,0.00,,,0.1644,0.1644,,0.1644,0.00,,,0.1644,0.1644,,367.30M,367.30M,0.0519,,,
1989-12,405.10M,405.10M,,,,,,13.20M,-13.20M,,,13.20M,-13.20M,109.10M,-13.20M,0.00,25.80M,51.30M,,,2.30M,,51.30M,51.30M,,13.20M,,0.1422,0.00,,,0.1422,0.1422,,0.1422,0.00,,,0.1422,0.1422,,307.50M,307.50M,0.0519,,,
1989-09,412.60M,412.60M,,,,,,12.00M,-12.00M,,,12.00M,-12.00M,118.70M,-12.00M,0.00,26.00M,54.90M,,,2.40M,,54.90M,54.90M,,12.00M,,0.1511,0.00,,,0.1511,0.1511,,0.1511,0.00,,,0.1511,0.1511,,363.31M,363.31M,0.0519,,,
1989-06,413.10M,413.10M,,,,,,11.40M,-11.40M,,,11.40M,-11.40M,116.90M,-11.40M,0.00,28.20M,53.50M,,,1.10M,,53.50M,53.50M,,11.40M,,0.1467,0.00,,,0.1467,0.1467,,0.1467,0.00,,,0.1467,0.1467,,364.77M,364.77M,0.0445,,,
1989-03,402.80M,402.80M,,,,,,11.40M,-11.40M,,,11.40M,-11.40M,104.50M,-11.40M,0.00,25.20M,51.60M,,,1.90M,,51.60M,51.60M,,11.40M,,0.1378,0.00,,,0.1378,0.1378,,0.1378,0.00,,,0.1378,0.1378,,374.52M,374.52M,0.0445,,,
1988-12,415.20M,415.20M,,,,,,,,,,,,,,,,39.20M,,,,,39.20M,39.20M,,,,0.1022,0.00,,,0.1022,0.1022,,0.1022,0.00,,,0.1022,0.1022,,391.39M,391.39M,0.0445,,,
1988-09,412.70M,412.70M,,,,,,,,,,,,,,,,46.80M,,,,,46.80M,46.80M,,,,0.1244,0.00,,,0.1244,0.1244,,0.1244,0.00,,,0.1244,0.1244,,376.07M,376.07M,0.0445,,,
1988-06,422.60M,422.60M,,,,,,,,,,,,,,,,43.10M,,,,,43.10M,43.10M,,,,0.1111,0.00,,,0.1111,0.1111,,0.1111,0.00,,,0.1111,0.1111,,387.90M,387.90M,0.0445,,,
1988-03,414.20M,414.20M,,,,,,,,,,,,,,,,51.00M,,,,,51.00M,51.00M,,,,0.1289,0.00,,,0.1289,0.1289,,0.1289,0.00,,,0.1289,0.1289,,395.69M,395.69M,0.0370,,,
1987-12,400.70M,400.70M,,,,,,,,,,,,,,,,52.10M,,,,,52.10M,52.10M,,,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,457.40M,457.40M,0.0741,,,
1987-09,405.00M,405.00M,,,,,,,,,,,,,,,,51.90M,,,,,51.90M,51.90M,,,,0.1289,0.00,,,0.1289,0.1289,,0.1289,0.00,,,0.1289,0.1289,,402.67M,402.67M,0.0370,,,
1987-06,398.40M,398.40M,,,,,,,,,,,,,,,,47.80M,,,,,47.80M,47.80M,,,,0.1067,0.00,,,0.1067,0.1067,,0.1067,0.00,,,0.1067,0.1067,,448.12M,448.12M,0.0370,,,
1987-03,390.70M,390.70M,,,,,,,,,,,,,,,,48.70M,,,,,48.70M,48.70M,,,,0.1022,0.00,,,0.1022,0.1022,,0.1022,0.00,,,0.1022,0.1022,,476.41M,476.41M,0.0370,,,
1986-12,407.90M,407.90M,,,,,,,,,,,,,,,,34.90M,,,,,34.90M,34.90M,,,,0.1067,0.00,,,0.1067,0.1067,,0.1067,0.00,,,0.1067,0.1067,,440.16M,440.16M,0.0223,,,
1986-09,377.00M,377.00M,,,,,,,,,,,,,,,,51.70M,,,,,51.70M,51.70M,,,,0.1022,0.00,,,0.1022,0.1022,,0.1022,0.00,,,0.1022,0.1022,,505.76M,505.76M,0.0223,,,
1986-06,390.50M,390.50M,,,,,,,,,,,,,,,,54.00M,,,,,54.00M,54.00M,,,,0.1067,0.00,,,0.1067,0.1067,,0.1067,0.00,,,0.1067,0.1067,,506.25M,506.25M,0.0223,,,
1986-03,379.50M,379.50M,,,,,,,,,,,,,,,,47.30M,,,,,47.30M,47.30M,,,,0.0933,0.00,,,0.0933,0.0933,,0.0933,0.00,,,0.0933,0.0933,,506.79M,506.79M,0.0223,,,
1985-12,370.80M,370.80M,,,,,,,,,,,,,,,,47.20M,,,,,47.20M,47.20M,,,,0.0933,0.00,,,0.0933,0.0933,,0.0933,0.00,,,0.0933,0.0933,,380.53M,380.53M,,,,
1985-09,346.90M,346.90M,,,,,,,,,,,,,,,,42.20M,,,,,42.20M,42.20M,,,,0.0844,0.00,,,0.0844,0.0844,,0.0844,0.00,,,0.0844,0.0844,,499.74M,499.74M,,,,
1985-06,335.00M,335.00M,,,,,,,,,,,,,,,,40.00M,,,,,40.00M,40.00M,,,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,500.00M,500.00M,,,,
1985-03,315.60M,315.60M,,,,,,,,,,,,,,,,35.40M,,,,,35.40M,35.40M,,,,0.1422,0.00,,,0.1422,0.1422,,0.1422,0.00,,,0.1422,0.1422,,475.45M,475.45M,,,,
1984-12,298.20M,298.20M,,,,,,,,,,,,,,,,65.50M,,,,,65.50M,65.50M,,,,0.1289,,,,0.1289,0.1289,,0.1289,,,,0.1289,0.1289,,508.12M,508.12M,,,,
1984-09,291.00M,291.00M,,,,,,,,,,,,,,,,23.80M,,,,,23.80M,23.80M,,,,0.0622,0.00,,,0.0622,0.0622,,0.0622,0.00,,,0.0622,0.0622,,382.50M,382.50M,,,,
1984-06,275.00M,275.00M,,,,,,,,,,,,,,,,22.40M,,,,,22.40M,22.40M,,,,0.0578,0.00,,,0.0578,0.0578,,0.0578,0.00,,,0.0578,0.0578,,387.69M,387.69M,,,,
1984-03,269.00M,269.00M,,,,,,,,,,,,,,,,17.40M,,,,,17.40M,17.40M,,,,0.0489,0.00,,,0.0489,0.0489,,0.0489,0.00,,,0.0489,0.0489,,512.34M,512.34M,,,,
