,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,AsOriginallyReported,Restated
2000-10,57.14M,57.14M,35.36M,21.78M,,4.466M,0.4611M,,,,,7.836M,13.95M,,,,0.4611M,,14.62M,5.704M,8.919M,,,8.919M,8.638M,13.95M,,2000-10,0.0267,0.00,,2000-10,0.0267,0.00,0.0258,2000-10,327.33M,338.72M,,
2000-07,51.33M,51.33M,30.94M,20.39M,,4.324M,0.0649M,,,,,7.397M,12.99M,,,,0.0649M,,13.39M,5.231M,8.162M,,,8.162M,8.123M,12.99M,,2000-07,0.025,0.00,,2000-07,0.025,0.00,0.0249,2000-07,325.60M,325.60M,,
2000-04,53.80M,53.80M,33.76M,20.04M,,4.017M,0.2629M,,,,,6.932M,13.11M,,,,0.2629M,,13.55M,5.214M,8.336M,,,8.336M,8.174M,13.11M,,2000-04,0.025,0.00,,2000-04,0.025,0.00,0.0245,2000-04,323.49M,338.79M,,
2000-01,44.40M,44.40M,27.40M,17.00M,,4.00M,0.20M,,,,,6.70M,10.30M,,,,0.20M,,10.80M,4.20M,6.60M,,,6.60M,6.478M,10.30M,,2000-01,0.02,0.00,,2000-01,0.02,0.00,0.0196,2000-01,322.37M,337.47M,,
1999-10,40.50M,40.50M,24.60M,15.90M,,3.30M,0.20M,,,,,6.10M,9.80M,,,,0.20M,,10.30M,4.00M,6.30M,,,6.30M,6.178M,9.80M,,1999-10,0.0200,0.00,,1999-10,0.0200,0.00,0.0196,1999-10,314.84M,314.84M,,
1999-07,39.50M,39.50M,24.20M,15.30M,,2.90M,-1.00M,,,,,5.50M,9.80M,,,,-1.00M,,10.40M,3.70M,6.70M,,,6.70M,7.344M,9.80M,,1999-07,0.0200,0.00,,1999-07,0.0200,0.00,0.0219,1999-07,331.82M,336.92M,,
1999-04,40.00M,40.00M,24.60M,15.40M,,3.20M,0.50M,,,,,5.70M,9.70M,,,,0.50M,,10.10M,3.80M,6.30M,,,6.30M,5.988M,9.70M,,1999-04,0.0200,0.00,,1999-04,0.0200,0.00,0.0190,1999-04,314.84M,314.84M,,
1999-01,32.10M,32.10M,19.10M,13.00M,,3.10M,0.60M,,,,,5.50M,7.50M,,,,0.60M,,7.80M,3.00M,4.80M,,,4.80M,4.431M,7.50M,,1999-01,0.0150,0.00,,1999-01,0.0150,0.00,0.0139,1999-01,319.84M,319.84M,,
1998-10,30.20M,30.20M,18.60M,11.60M,,3.00M,0.70M,,,,,5.30M,6.30M,,,,0.70M,,6.90M,2.70M,4.20M,,,4.20M,3.774M,6.30M,,1998-10,0.0133,0.00,,1998-10,0.0133,0.00,0.0120,1998-10,314.84M,314.84M,,
1998-07,30.00M,30.00M,18.60M,11.40M,,2.60M,1.10M,,,,,4.60M,6.80M,,,,1.10M,,7.00M,2.70M,4.30M,,,4.30M,3.624M,6.80M,,1998-07,0.0129,0.00,,1998-07,0.0121,0.00,0.0102,1998-07,331.59M,357.35M,,
