,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2002-03,354.87M,354.87M,185.50M,169.37M,114.42M,2.061M,,,,,114.42M,54.96M,,,,2.061M,,50.22M,17.12M,33.10M,,,33.10M,31.74M,65.33M,,2002-03,0.21,0.00,0.2013,2002-03,0.21,0.00,0.2015,0.21,155.89M,159.24M,0.023,,
2001-12,375.29M,375.29M,201.54M,173.74M,119.48M,5.74M,,,,,124.55M,49.20M,,,,5.74M,,51.49M,17.64M,33.85M,,,33.85M,30.07M,62.88M,,2001-12,0.1914,0.025,0.1672,2001-12,0.1881,0.025,0.1643,0.2131,155.92M,158.91M,0.0230,,
2001-09,253.50M,253.50M,121.12M,132.38M,87.98M,-1.695M,,,,,87.98M,44.41M,,,,-1.695M,,38.06M,12.14M,25.92M,,,25.92M,27.07M,58.63M,,2001-09,0.1668,0.00,0.1742,2001-09,0.1634,0.00,0.1707,0.1634,155.42M,158.22M,0.0230,,
2001-06,254.64M,254.64M,120.91M,133.73M,78.70M,-9.803M,,,,10.69M,89.39M,44.34M,,,,-9.803M,,41.17M,13.76M,27.40M,,,27.40M,33.93M,58.07M,,2001-06,0.1767,0.00,0.2187,2001-06,0.1733,0.00,0.2147,0.1733,155.24M,157.85M,0.0230,,
2001-03,245.67M,245.67M,115.86M,129.81M,89.39M,17.33M,,,,,89.39M,40.42M,,,,17.33M,,54.42M,20.09M,34.33M,,,34.33M,23.39M,53.12M,,2001-03,0.2201,0.00,0.1495,2001-03,0.2201,0.00,0.1504,0.2201,154.85M,156.90M,0.0230,,
2000-12,234.35M,234.35M,70.57M,163.79M,73.18M,-1.656M,,,,,114.54M,49.25M,,,,-1.656M,,45.59M,14.72M,30.86M,,,30.86M,31.98M,58.46M,,2000-12,0.1798,0.02,0.1870,2000-12,0.1781,0.02,0.1853,0.1981,154.85M,156.94M,0.0230,,
2000-09,216.70M,216.70M,104.44M,112.26M,74.12M,-0.925M,,,,,74.12M,38.14M,,,,-0.925M,,34.77M,11.43M,23.34M,,,23.34M,23.96M,48.65M,,2000-09,0.1501,0.00,0.1541,2000-09,0.1501,0.00,0.1540,0.1501,154.92M,156.89M,0.0208,,
2000-06,223.29M,223.29M,93.91M,129.38M,78.74M,-0.169M,,,,,89.65M,39.73M,,,,-0.169M,,37.34M,12.71M,24.63M,,,24.63M,24.74M,50.64M,,2000-06,0.1567,0.00,0.1574,2000-06,0.1567,0.00,0.1574,0.1567,155.74M,157.13M,0.0208,,
2000-03,213.96M,213.96M,97.56M,116.40M,73.74M,-0.023M,,,,,79.66M,36.74M,,,,-0.023M,,34.11M,11.91M,22.19M,,,22.19M,22.21M,47.48M,,2000-03,0.1401,0.00,0.1402,2000-03,0.1401,0.00,0.1402,0.1401,156.87M,157.53M,0.0208,,
1999-12,227.14M,227.14M,101.40M,125.74M,70.20M,1.60M,,,,,81.50M,44.24M,,,,1.60M,,43.10M,14.60M,28.50M,,,28.50M,27.44M,55.54M,,1999-12,0.1681,0.015,0.1614,1999-12,0.1631,0.015,0.1565,0.1781,156.91M,158.79M,0.0208,,
1999-09,203.55M,203.55M,87.30M,116.25M,71.70M,0.50M,,,,,81.60M,34.65M,,,,0.50M,,31.70M,11.00M,20.70M,,,20.70M,20.37M,44.55M,,1999-09,0.1301,0.00,0.1280,1999-09,0.1301,0.00,0.1280,0.1301,159.15M,159.15M,0.0188,,
1999-06,209.12M,209.12M,91.90M,117.22M,73.00M,0.70M,,,,,80.80M,36.42M,,,,0.70M,,32.80M,11.60M,21.20M,,,21.20M,20.75M,44.22M,,1999-06,0.1334,0.00,0.1306,1999-06,0.1334,0.00,0.1306,0.1334,158.92M,158.92M,0.0188,,
1999-03,196.60M,196.60M,84.40M,112.20M,67.30M,0.70M,,,,,77.90M,34.30M,,,,0.70M,,30.40M,10.90M,19.50M,,,19.50M,19.05M,44.90M,,1999-03,0.1234,0.00,0.1206,1999-03,0.1234,0.00,0.1206,0.1234,158.03M,158.03M,0.0188,,
1998-12,225.70M,225.70M,102.00M,123.70M,71.60M,-42.70M,,,,,81.30M,42.40M,,,,-42.70M,,-4.40M,-2.00M,-2.40M,,,-2.40M,23.22M,52.10M,,1998-12,-0.0101,0.00,0.1552,1998-12,-0.0151,0.00,0.1468,-0.0151,154.99M,158.19M,0.0171,,
1998-09,197.00M,197.00M,84.40M,112.60M,71.20M,-0.50M,,,,,80.70M,31.90M,,,,-0.50M,,27.10M,9.50M,17.60M,,,17.60M,17.92M,41.40M,,1998-09,0.1101,0.00,0.1121,1998-09,0.1101,0.00,0.1121,0.1101,159.92M,159.92M,0.0171,,
1998-06,197.10M,197.10M,84.10M,113.00M,68.50M,-29.50M,,,,,77.70M,35.30M,,,,-29.50M,,2.10M,1.50M,0.60M,,,0.60M,18.30M,44.50M,,1998-06,0.0033,0.00,0.1017,1998-06,0.0033,0.00,0.1017,0.0033,179.91M,179.91M,0.0171,,
