,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2008-03,68.16M,,,,,0.204M,12.02M,2.189M,14.21M,14.21M,18.45M,,,4.093M,,-1.139M,-32.75M,-6.203M,-5.48M,-34.23M,,4.864M,-73.80M,30.17M,,2008-03,-18.68M,0.486M,0.486M,,-90.64M,,-111.25M,,2008-03,78.25M,4.437M,82.69M,,-87.82M,-87.82M,,3.016M,1.139M,-7.781M,,169.38M,-88.86M,10.14M,90.66M,,2008-03,,0.00,-87.82M,,2008-03,,Restated
2007-12,70.03M,,,,,-17.04M,10.42M,2.053M,12.47M,12.47M,,,,,,-33.57M,,,,,,,,130.80M,,2007-12,-27.21M,,44.95M,,-25.70M,-2.881M,-50.31M,,2007-12,,,-27.26M,-38.70M,-37.28M,-75.98M,,,5.966M,-57.74M,,141.82M,22.75M,4.813M,169.38M,,2007-12,-38.70M,,-37.28M,,2007-12,,Restated
2007-09,65.72M,,,,,19.22M,10.71M,1.761M,12.47M,12.47M,,,,,,4.417M,,,,,,,,101.82M,,2007-09,-14.46M,,-14.46M,,-3.536M,2.645M,-89.76M,,2007-09,,,90.03M,12.38M,-43.92M,-31.54M,,,1.753M,54.15M,,69.43M,66.21M,6.18M,141.82M,,2007-09,12.38M,,-43.92M,,2007-09,,
2007-06,65.43M,,,,,32.70M,10.40M,2.023M,12.42M,12.42M,,,,,,2.698M,,,,,,,,113.25M,,2007-06,-13.12M,,-13.12M,,-76.83M,0.181M,-108.84M,,2007-06,,,-16.73M,13.05M,-32.70M,-19.64M,,,2.563M,-39.89M,,104.08M,-35.48M,0.834M,69.43M,,2007-06,13.05M,,-32.70M,,2007-06,,
2007-03,58.47M,,,,,-34.01M,11.11M,1.824M,12.93M,12.93M,,,,,,4.426M,,,,,,,,41.82M,,2007-03,-11.04M,,-11.04M,,-32.34M,0.055M,-50.48M,,2007-03,,,50.76M,13.26M,-11.53M,1.735M,,,1.096M,46.68M,,65.06M,38.03M,0.98M,104.08M,,2007-03,13.26M,,-11.53M,,2007-03,,
2006-12,64.95M,,,,,49.61M,9.973M,1.836M,11.81M,11.81M,,,,,,6.624M,,,,,,,,112.40M,,2006-12,-17.58M,,-9.401M,,125.66M,-2.313M,113.84M,,2006-12,,,-420.70M,27.62M,-127.00M,-99.39M,,,5.975M,-519.50M,,331.82M,-293.25M,26.49M,65.06M,,2006-12,27.62M,,-127.00M,,2006-12,,
2006-09,49.45M,,,,,-0.577M,10.49M,1.741M,12.23M,12.23M,,,,,,5.687M,,,,,,,,66.79M,,2006-09,-13.25M,,-13.25M,,-125.44M,1.882M,-162.34M,,2006-09,,,-19.35M,4.781M,-19.85M,-15.07M,,,0.553M,-39.28M,,475.42M,-134.83M,-8.222M,331.82M,,2006-09,4.781M,,-19.85M,,2006-09,,
2006-06,59.32M,,,,,11.19M,9.895M,1.407M,11.30M,11.30M,,,,,,-0.516M,,,,,,,,81.29M,,2006-06,-12.63M,,-12.63M,,150.17M,0.344M,134.75M,,2006-06,,,105.82M,7.712M,-138.81M,-131.10M,,,3.803M,-27.02M,,260.60M,189.02M,25.26M,475.42M,,2006-06,7.712M,,-138.81M,,2006-06,,
2006-03,50.00M,,,,,-59.71M,10.06M,2.031M,12.10M,12.10M,,,,,,8.992M,,,,,,,,11.38M,,2006-03,-9.154M,,-9.154M,,-150.17M,0.087M,-162.55M,,2006-03,,,-27.78M,13.50M,-8.109M,5.391M,,,1.13M,-26.78M,,433.98M,-177.94M,4.555M,260.60M,,2006-03,13.50M,,-8.109M,,2006-03,,
2005-12,-0.724M,,,,,86.74M,8.841M,2.154M,11.00M,11.00M,,,,,,100.38M,,,,,,,,100.95M,,2005-12,-18.26M,,-17.70M,,176.28M,0.095M,157.89M,,2005-12,,,-48.84M,12.90M,-1.163M,11.73M,,,,-41.81M,,227.55M,217.03M,-10.60M,433.98M,,2005-12,12.90M,,-1.163M,,2005-12,,
2005-09,-60.80M,,,,,-16.38M,10.86M,1.658M,12.52M,12.52M,,,,,,131.35M,,,,,,,,66.69M,,2005-09,-9.85M,,-9.85M,,-83.56M,0.072M,-94.72M,,2005-09,,,31.80M,1.14M,-48.18M,-47.04M,,,,-20.00M,,365.68M,-48.03M,12.74M,227.55M,,2005-09,1.14M,,-48.18M,,2005-09,,
2005-06,57.89M,,,,,-31.34M,11.23M,2.385M,13.61M,13.61M,,,,,,,,,,,,,,40.16M,,2005-06,-12.01M,,-12.01M,,,17.36M,-4.735M,,2005-06,,,2.441M,4.82M,-84.31M,-79.49M,,,,-81.88M,,436.70M,-46.46M,-24.57M,365.68M,,2005-06,4.82M,,-84.31M,,2005-06,,
2005-03,49.05M,,,,,-37.51M,11.10M,2.332M,13.43M,13.43M,,,,,,,,,,,,,,24.97M,,2005-03,-8.644M,,-8.644M,,,6.312M,-8.186M,,2005-03,,,-45.65M,12.92M,-31.11M,-18.19M,,,,-68.68M,,506.37M,-51.90M,-17.77M,436.70M,,2005-03,12.92M,,-31.11M,,2005-03,,
2004-12,111.83M,,,,,-0.494M,10.54M,2.173M,12.71M,12.71M,,,,,,3.067M,,,,,,,,121.76M,,2004-12,-22.71M,-100.71M,-123.42M,,,13.07M,-103.37M,,2004-12,,,-21.71M,9.487M,-12.90M,-3.417M,,,-10.25M,-38.60M,,407.35M,-20.21M,16.40M,403.54M,,2004-12,9.487M,,-12.90M,,2004-12,,
2004-09,46.34M,,,,,9.504M,9.96M,2.059M,12.02M,12.02M,,,,,,5.132M,,,,,,,,73.00M,,2004-09,-11.43M,0.00,-11.43M,,,0.339M,-11.41M,,2004-09,,,-0.947M,5.633M,-7.894M,-2.261M,,,3.416M,-4.013M,,344.40M,57.58M,5.373M,407.35M,,2004-09,5.633M,,-7.894M,,2004-09,,
2004-06,49.22M,,,,,3.398M,9.458M,2.083M,11.54M,11.54M,,,,,,,,,,,,,,64.16M,,2004-06,-14.31M,0.00,-14.31M,,,0.097M,-14.09M,,2004-06,,,1.395M,8.283M,-4.961M,3.322M,,,6.832M,7.334M,,287.71M,57.40M,-0.71M,344.40M,,2004-06,8.283M,,-4.961M,,2004-06,,
2004-03,45.77M,,,,,-11.45M,10.88M,2.14M,13.02M,13.02M,,,,,,,,,,,,,,47.34M,,2004-03,-11.16M,102.50M,91.34M,,,-1.599M,73.38M,,2004-03,,,-0.269M,21.92M,-11.94M,9.971M,,,,5.543M,,163.76M,126.27M,-2.311M,287.71M,,2004-03,21.92M,,-11.94M,,2004-03,,
2003-12,46.05M,,,,,-7.371M,7.35M,1.377M,8.727M,8.727M,,,,,,,,,,,,,,91.19M,,2003-12,-17.65M,,8.817M,,,6.754M,4.335M,,2003-12,,,-21.60M,3.539M,,3.539M,,,-7.32M,-29.54M,,91.01M,65.98M,6.76M,163.76M,,2003-12,3.539M,,,,2003-12,,
2003-09,41.31M,,,,,18.00M,9.696M,2.251M,11.95M,11.95M,,,,,,,,,,,,,,71.26M,,2003-09,-15.92M,,-15.92M,,,-0.079M,-19.26M,,2003-09,,,-47.61M,3.89M,,3.89M,,,3.529M,-43.82M,,81.40M,8.179M,1.43M,91.01M,,2003-09,3.89M,,,,2003-09,,
2003-06,44.22M,,,,,-4.607M,10.08M,2.813M,12.89M,12.89M,,,,,,,,,,,,,,52.50M,,2003-06,-21.29M,,-21.29M,,,-1.867M,-23.16M,,2003-06,,,-2.487M,9.442M,,9.442M,,,1.635M,4.979M,,46.18M,34.32M,0.903M,81.40M,,2003-06,9.442M,,,,2003-06,,
2003-03,38.27M,,,,,-7.326M,9.776M,2.323M,12.10M,12.10M,,,,,,,,,,,,,,43.04M,,2003-03,-18.29M,,-18.29M,,,0.092M,-20.56M,,2003-03,,,-1.676M,,,,,,2.156M,-3.126M,,25.65M,19.36M,1.168M,46.18M,,2003-03,,,,,2003-03,,
2002-12,42.27M,,,,,37.24M,9.552M,2.166M,11.72M,11.72M,,,,,,,,,,,,,,71.91M,,2002-12,-17.69M,1.777M,-15.91M,,,-4.318M,-18.90M,,2002-12,,,-59.04M,,,,,,-6.569M,-60.16M,,23.90M,-7.142M,8.899M,25.65M,,2002-12,,,,,2002-12,,
2002-09,35.77M,,,,,1.221M,7.251M,2.441M,9.692M,9.692M,,,,,,,,,,,,,,46.68M,,2002-09,-17.99M,-6.754M,-24.74M,,,9.88M,-15.82M,,2002-09,,,-24.09M,,,,,,1.226M,-26.46M,,17.69M,4.392M,1.817M,23.90M,,2002-09,,,,,2002-09,,
2002-06,36.82M,,,,,-6.901M,9.178M,2.899M,12.08M,12.08M,,,,,,,,,,,,,,42.00M,,2002-06,-11.96M,0.00,-11.96M,,,15.07M,-9.511M,,2002-06,,,-26.65M,,,,,,2.313M,-27.93M,,19.84M,4.558M,-6.709M,17.69M,,2002-06,,,,,2002-06,,
2002-03,33.10M,,,,,-31.07M,8.051M,2.321M,10.37M,10.37M,,,,,,,,,,,,,,12.40M,,2002-03,-9.815M,6.754M,-3.061M,,,0.347M,-40.27M,,2002-03,,,15.77M,,,,,,2.977M,15.18M,,33.71M,-12.70M,-1.177M,19.84M,,2002-03,,,,,2002-03,,
2001-12,33.85M,,,,,-9.985M,5.503M,8.182M,13.68M,13.68M,,,,,,,,,,,,,,93.11M,,2001-12,-14.42M,,-13.77M,,,-3.188M,-474.70M,,2001-12,,,395.41M,,0.00,8.017M,,,1.654M,401.52M,,11.88M,19.93M,1.898M,33.71M,,2001-12,,,0.00,,2001-12,,
2001-09,25.92M,,,,,6.272M,6.717M,7.505M,14.22M,14.22M,,,,,,,,,,,,,,46.41M,,2001-09,-10.54M,,-10.54M,,,86.73M,-30.38M,,2001-09,,,0.452M,,0.00,0.00,,,1.764M,-1.345M,,16.96M,14.69M,-19.77M,11.88M,,2001-09,,,0.00,,2001-09,,
2001-06,27.40M,,,,,-16.85M,6.589M,7.143M,13.73M,13.73M,,,,,,,,,,,,,,24.29M,,2001-06,-16.09M,,-16.09M,,,-81.85M,-98.47M,,2001-06,,,67.96M,,0.00,0.00,,,2.821M,67.23M,,15.34M,-6.95M,8.572M,16.96M,,2001-06,,,0.00,,2001-06,,
2001-03,34.33M,,,,,0.237M,6.41M,6.285M,12.70M,12.70M,,,,,,,,,,,,,,47.26M,,2001-03,-8.284M,,-8.284M,,,-1.692M,-211.14M,,2001-03,,,159.67M,,-0.875M,-0.875M,,,2.247M,157.50M,,15.43M,-6.387M,6.292M,15.34M,,2001-03,,,-0.875M,,2001-03,,
2000-12,30.86M,,,,,-5.668M,,,9.204M,9.204M,,,,,,,,,,,,,,34.88M,,2000-12,-8.133M,,-7.918M,,,-0.086M,-10.52M,,2000-12,,,-16.62M,,-1.725M,5.70M,,,-6.423M,-20.56M,,8.16M,3.798M,-0.667M,15.43M,,2000-12,,,-1.725M,,2000-12,,
2000-09,23.34M,,,,,13.19M,,,10.51M,10.51M,,,,,,,,,,,,,,47.04M,,2000-09,-6.782M,,-6.782M,,,-1.746M,-21.00M,,2000-09,,,-14.24M,,-11.87M,-11.87M,,,3.194M,-26.15M,,6.892M,-0.112M,1.38M,8.16M,,2000-09,,,-11.87M,,2000-09,,
2000-06,24.63M,,,,,-12.98M,-5.925M,-4.811M,10.90M,10.90M,,,,,,,,,,,,,,22.56M,,2000-06,-6.492M,,-6.492M,,,0.937M,-5.555M,,2000-06,,,-10.20M,,-6.527M,-6.527M,,,2.675M,-17.30M,,7.298M,-0.298M,-0.108M,6.892M,,2000-06,,,-6.527M,,2000-06,,
2000-03,22.19M,,,,,8.214M,5.925M,4.811M,10.74M,10.74M,,,,,,,,,,,,,,41.14M,,2000-03,-7.018M,,-7.018M,,,-0.528M,-7.546M,,2000-03,,,-12.39M,,-19.97M,-19.97M,,,0.554M,-35.10M,,7.276M,-1.503M,1.525M,7.298M,,2000-03,,,-19.97M,,2000-03,,
1999-12,28.50M,,,,,2.142M,,,11.30M,11.30M,,,,,,15.09M,,,,,,,,51.28M,,1999-12,-12.79M,-2.475M,-15.26M,,,0.844M,-15.09M,,1999-12,,,-27.83M,,,,,,-5.60M,-36.10M,,9.40M,0.083M,0.162M,11.42M,,1999-12,,,,,1999-12,,
1999-09,20.70M,,,,,,,,9.90M,9.90M,,,,,,3.10M,,,,,,,,33.70M,,1999-09,-6.60M,0.90M,-5.70M,,,0.80M,-4.90M,,1999-09,,,-28.10M,,,,,,1.10M,-30.00M,,10.80M,-1.20M,-0.20M,9.40M,,1999-09,,,,,1999-09,,
1999-06,21.20M,,,,,12.90M,,,7.80M,7.80M,,,,,,-18.30M,,,,,,,,23.60M,,1999-06,-7.30M,0.00,-7.30M,,,-5.00M,-12.30M,,1999-06,,,-10.60M,,,,,,8.60M,-7.90M,,0.00,3.40M,-1.80M,10.80M,,1999-06,,,,,1999-06,,
1999-03,19.50M,,,,,-12.90M,,,10.60M,10.60M,,,,,,0.10M,,,,,,,,17.30M,,1999-03,-6.70M,3.40M,-3.30M,,,0.10M,-3.20M,,1999-03,,,-7.10M,,,,,,-4.10M,-11.20M,,8.70M,2.90M,-2.40M,0.00,,1999-03,,,,,1999-03,,
1998-12,-2.40M,,,,,44.71M,,,9.70M,9.70M,,,,,,20.00M,,16.70M,,,,,-4.206M,45.72M,,1998-12,43.47M,,44.58M,,,-4.747M,-67.00M,,1998-12,,,24.05M,,-0.049M,3.766M,,,2.80M,19.66M,,0.00,-1.612M,0.309M,10.47M,,1998-12,,,-0.049M,,1998-12,,
1998-09,17.60M,,,,,-1.10M,,,9.50M,9.50M,,,,,,6.40M,,-3.10M,,,,,-3.10M,29.30M,,1998-09,-9.70M,,-9.70M,,,0.00,-9.70M,,1998-09,,,-0.10M,,-10.80M,-10.80M,,,-2.00M,-12.90M,,0.00,6.70M,-3.30M,0.00,,1998-09,,,-10.80M,,1998-09,,
1998-06,0.60M,,,,,54.60M,,,9.20M,9.20M,,,,,,-26.40M,,-19.20M,,,,,-19.20M,18.80M,,1998-06,-40.80M,,-40.80M,,,0.00,-40.80M,,1998-06,,,58.50M,,-31.20M,-31.20M,,,-1.90M,25.40M,,0.00,3.40M,-2.10M,0.00,,1998-06,,,-31.20M,,1998-06,,
