,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2006-10,86.93M,,,-23.46M,20.67M,5.183M,25.85M,25.85M,,,,,,,24.00M,-22.81M,8.715M,-2.248M,8.344M,,133.52M,125.52M,238.84M,,2006-10,-52.96M,23.91M,-29.04M,,21.15M,-7.742M,,2006-10,,,-78.71M,55.63M,-143.91M,-88.28M,,,,-150.97M,,2006-10,442.33M,0.885M,523.34M,,2006-10,55.63M,,,,,,2006-10,,
2006-07,54.67M,,,0.424M,18.71M,5.181M,23.90M,23.90M,,,,,,,38.53M,38.19M,-0.52M,5.39M,-1.139M,,5.124M,47.04M,164.56M,,2006-07,-23.06M,,-23.06M,,47.16M,24.36M,,2006-07,,,-27.87M,36.83M,-220.00M,-183.17M,,,,-207.53M,,2006-07,461.26M,-0.324M,442.33M,,2006-07,36.83M,,,,,,2006-07,,
2006-04,59.22M,,,-9.932M,17.50M,5.302M,22.81M,22.81M,,,,,,,,-46.66M,-7.85M,-6.374M,1.333M,,144.50M,84.95M,171.93M,,2006-04,-36.44M,,-36.41M,0.00,-142.65M,-188.01M,,2006-04,,,,91.02M,-98.76M,-7.741M,,,,291.99M,,2006-04,188.12M,-2.776M,461.26M,,2006-04,91.02M,,,,,,2006-04,,
2006-01,76.39M,,,4.735M,16.09M,5.302M,21.39M,21.39M,,,,,,,,-41.88M,-24.83M,-3.525M,6.30M,,102.34M,38.40M,140.92M,,2006-01,-33.46M,,-33.46M,0.00,-63.73M,-97.12M,,2006-01,,,,69.24M,-145.58M,-76.35M,,,,-76.54M,,2006-01,221.71M,-0.847M,188.12M,,2006-01,69.24M,,,,,,2006-01,,
2005-10,70.72M,,,10.08M,15.33M,4.348M,19.68M,19.68M,,,,,,,,-86.16M,-8.567M,0.932M,12.46M,,83.34M,2.003M,102.48M,,2005-10,-29.47M,,-29.47M,-41.92M,86.98M,15.03M,,2005-10,,,,21.73M,-149.02M,-127.30M,,,,-127.48M,,2005-10,231.58M,0.104M,221.71M,,2005-10,21.73M,,,,,,2005-10,,
2005-07,60.12M,,,2.068M,14.76M,3.166M,17.92M,17.92M,,,,,,,,57.89M,-4.998M,-3.997M,-2.691M,,12.64M,58.85M,138.96M,,2005-07,-33.54M,,-33.54M,-11.83M,-9.023M,-55.90M,,2005-07,,,,50.76M,-95.54M,-44.78M,,,,-45.20M,,2005-07,193.54M,0.178M,231.58M,,2005-07,50.76M,,,,,,2005-07,,
2005-04,63.44M,,,3.65M,14.59M,2.814M,17.40M,17.40M,5.591M,,,,,,,-63.29M,-2.613M,-5.347M,-9.472M,,108.12M,27.40M,117.48M,,2005-04,-28.81M,,-28.81M,,-53.94M,-73.60M,,2005-04,,,,28.46M,-59.91M,-31.45M,,,,-32.53M,,2005-04,181.37M,0.812M,193.54M,,2005-04,28.46M,,,,,,2005-04,,
2005-01,60.13M,,,2.46M,13.22M,2.784M,16.00M,16.00M,0.73M,,,,,,,-14.71M,-6.39M,-2.988M,35.26M,,57.60M,68.77M,148.09M,,2005-01,-17.24M,,-17.24M,,-127.60M,-144.85M,,2005-01,,,,106.74M,-49.98M,56.76M,,,,56.76M,,2005-01,120.54M,0.824M,181.37M,,2005-01,106.74M,,,,,,2005-01,,
2004-10,55.33M,,,3.344M,13.41M,2.784M,16.19M,16.19M,,,,,,,,-19.60M,-2.662M,7.428M,5.746M,,54.09M,45.01M,119.88M,,2004-10,-15.25M,,-15.25M,,-76.04M,-91.29M,,2004-10,,,,23.52M,-35.27M,-11.76M,,,,-11.80M,,2004-10,103.22M,0.537M,120.54M,,2004-10,23.52M,,,,,,2004-10,,
2004-07,46.86M,,,2.018M,13.24M,2.783M,16.02M,16.02M,,,,,,,,-5.757M,-3.331M,-1.429M,-1.075M,,23.36M,11.76M,76.67M,,2004-07,-32.26M,,-32.26M,,-9.303M,-41.57M,,2004-07,,,,23.20M,-47.74M,-24.54M,,,,-24.54M,,2004-07,92.33M,0.334M,103.22M,,2004-07,23.20M,,,,,,2004-07,,
2004-04,36.45M,,,6.651M,13.04M,2.395M,15.43M,15.43M,-5.262M,,,,,,,2.338M,3.195M,4.039M,8.314M,,64.14M,82.03M,135.30M,,2004-04,-13.07M,0.018M,-13.05M,,-72.64M,-96.44M,,2004-04,,,,10.34M,-91.31M,-80.98M,,,,-80.98M,,2004-04,132.58M,,92.33M,,2004-04,10.34M,,,,,,2004-04,,
2004-01,40.15M,,,0.17M,13.05M,0.677M,13.73M,13.73M,-16.18M,,,,,,,-33.51M,-5.277M,-12.90M,1.946M,,62.07M,12.33M,50.20M,,2004-01,-13.57M,0.00,-13.57M,,-44.81M,-58.38M,,2004-01,,,,18.00M,0.00,18.00M,,,,18.00M,,2004-01,315.06M,,132.58M,,2004-01,18.00M,,,,,,2004-01,,
2003-10,48.41M,,,0.916M,13.54M,1.815M,15.36M,15.36M,-0.004M,,,,,,,-18.54M,-2.097M,0.595M,-0.748M,,26.85M,6.062M,70.74M,,2003-10,-9.723M,0.00,-9.723M,,-77.56M,-87.28M,,2003-10,,,,28.96M,-18.04M,10.92M,,,,10.92M,,2003-10,320.68M,,315.06M,,2003-10,28.96M,,,,,,2003-10,,
2003-07,27.07M,,,0.49M,13.43M,1.514M,14.94M,14.94M,,,,,,,,9.638M,-5.796M,-2.306M,2.202M,,10.54M,14.27M,56.78M,,2003-07,-12.32M,0.105M,-12.21M,,3.539M,-17.69M,,2003-07,,,,24.26M,-26.82M,-2.569M,,,,-2.569M,,2003-07,284.16M,,320.68M,,2003-07,24.26M,,,,,,2003-07,,
2003-04,24.82M,,,1.99M,13.01M,1.364M,14.37M,14.37M,-2.113M,,,,,,-0.002M,17.63M,3.366M,3.487M,1.485M,,27.28M,53.25M,92.32M,,2003-04,-15.36M,,-15.36M,,-28.45M,-43.16M,,2003-04,,,,4.912M,,4.912M,,,,4.912M,,2003-04,230.09M,,284.16M,,2003-04,4.912M,,,,,,2003-04,,
2003-01,19.67M,,,1.21M,14.14M,1.364M,15.50M,15.50M,-17.72M,,,,,,0.002M,-14.31M,-7.952M,-0.791M,-8.083M,,50.87M,19.74M,38.41M,,2003-01,-14.42M,,-14.42M,,-36.09M,-50.68M,,2003-01,,,,12.37M,,12.37M,,,,12.37M,,2003-01,230.00M,,230.09M,,2003-01,12.37M,,,,,,2003-01,,
2002-10,15.81M,,,0.669M,13.19M,1.364M,14.55M,14.55M,2.051M,,,,,,,-14.23M,-5.255M,-2.259M,5.414M,,20.87M,4.543M,37.63M,,2002-10,-17.06M,,-17.06M,,-43.49M,-61.03M,,2002-10,,,,1.659M,,1.659M,,,,1.659M,,2002-10,251.74M,,230.00M,,2002-10,1.659M,,,,,,2002-10,,
2002-07,16.16M,,,-0.351M,11.60M,1.386M,12.98M,12.98M,-0.565M,,,,,,,7.637M,-6.412M,-4.733M,0.541M,,1.624M,-1.343M,26.89M,,2002-07,-14.42M,,-14.42M,,18.20M,3.78M,,2002-07,,,,10.31M,,10.31M,,,,10.31M,,2002-07,210.76M,,251.74M,,2002-07,10.31M,,,,,,2002-07,,
2002-04,7.773M,,,6.002M,10.88M,5.217M,16.09M,16.09M,-4.566M,,,,,,,-8.808M,3.022M,-0.533M,16.60M,,20.11M,30.39M,55.70M,,2002-04,-261.75M,,-261.75M,,-55.79M,-316.67M,,2002-04,,,,5.21M,,5.21M,,,,256.24M,,2002-04,215.48M,,210.76M,,2002-04,5.21M,,,,,,2002-04,,
2002-01,6.984M,,,3.438M,11.64M,5.226M,16.86M,16.86M,-0.927M,,,,,,,30.95M,-7.229M,-1.145M,-13.54M,,11.30M,20.34M,46.69M,,2002-01,-4.82M,,-4.82M,,-30.88M,-35.77M,,2002-01,,,,15.05M,,15.05M,,,,26.81M,,2002-01,177.76M,,215.48M,,2002-01,15.05M,,,,,,2002-01,,
2001-10,-11.21M,,,16.95M,11.27M,5.226M,16.50M,16.50M,-3.026M,,,,,,,-19.21M,0.861M,5.252M,0.369M,,29.15M,16.42M,35.63M,,2001-10,-10.84M,,-10.84M,,-25.77M,-37.41M,,2001-10,,,,3.062M,,3.062M,,,,-59.75M,,2001-10,239.29M,,177.76M,,2001-10,3.062M,,,,,,2001-10,,
2001-07,-0.513M,,,4.326M,10.61M,5.226M,15.84M,15.84M,3.927M,,,,,,,30.12M,-2.81M,-4.567M,-16.68M,,-23.76M,-17.70M,5.878M,,2001-07,-6.822M,,-6.822M,,-38.62M,-45.44M,,2001-07,,,,13.15M,,13.15M,,,,6.918M,,2001-07,271.93M,,239.29M,,2001-07,13.15M,,,,,,2001-07,,
2001-04,0.479M,,,13.81M,8.611M,5.226M,13.84M,13.84M,-26.55M,,,,,,,35.28M,11.65M,-7.558M,-15.83M,0.047M,13.84M,37.43M,39.01M,,2001-04,-23.74M,,-23.74M,0.00,32.30M,8.558M,,2001-04,,,,11.68M,,11.68M,,,,9.983M,,2001-04,214.38M,,271.93M,,2001-04,11.68M,,,,,,2001-04,,
2001-01,34.07M,,,2.048M,8.451M,4.567M,13.02M,13.02M,-2.562M,,,,,,,-60.35M,-14.60M,7.558M,22.17M,-2.696M,33.00M,-14.92M,31.66M,,2001-01,-20.56M,,-20.56M,-5.01M,2.42M,-23.14M,,2001-01,,,,28.94M,,28.94M,,,,-99.96M,,2001-01,305.83M,,214.38M,,2001-01,28.94M,,,,,,2001-01,,
2000-10,35.36M,,,0.21M,7.574M,1.273M,8.847M,8.847M,-4.242M,,,,,,,-24.56M,-5.747M,-9.141M,8.556M,2.696M,71.89M,43.70M,83.87M,,2000-10,-18.35M,,-18.35M,0.00,-48.48M,-66.83M,,2000-10,,,,20.19M,,20.19M,,,,-42.96M,,2000-10,331.75M,,305.83M,,2000-10,20.19M,,,,,,2000-10,,
2000-07,4.976M,,,27.29M,5.892M,0.666M,6.558M,6.558M,-2.114M,,,,,,,-29.41M,-4.988M,9.141M,15.88M,,36.49M,27.11M,63.82M,,2000-07,-21.03M,,-21.03M,-2.161M,-7.59M,-30.78M,,2000-07,,,,19.70M,,19.70M,,,,19.70M,,2000-07,279.01M,,331.75M,,2000-07,19.70M,,,,,,2000-07,,
2000-04,24.49M,,,2.663M,,,4.363M,4.363M,5.386M,,,,,,,-9.53M,-2.825M,,12.04M,42.73M,-13.93M,28.48M,65.38M,,2000-04,-18.32M,-9.70M,-28.02M,,-13.26M,-38.58M,,2000-04,,,,20.83M,,20.83M,,,,20.83M,,2000-04,231.40M,,279.01M,,2000-04,20.83M,,,,,,2000-04,,
2000-01,19.78M,,,1.017M,,,4.129M,4.129M,-7.00M,,,,,,,-21.41M,-5.70M,-0.871M,-5.332M,-3.40M,28.22M,-8.486M,9.444M,,2000-01,-9.336M,9.70M,0.364M,,-16.73M,-16.39M,,2000-01,,,,17.50M,,17.50M,,,,17.50M,,2000-01,220.83M,,231.40M,,2000-01,17.50M,,,,,,2000-01,,
1999-10,16.02M,,,0.383M,,,3.071M,3.071M,-6.60M,,,,,,0.10M,-10.29M,-2.70M,0.871M,4.932M,-2.60M,22.78M,12.99M,25.96M,,1999-10,-4.864M,,-4.864M,,-35.87M,-43.31M,,1999-10,,,,8.195M,,8.195M,,,,8.195M,,1999-10,230.00M,,220.83M,,1999-10,8.195M,,,,,,1999-10,,
1999-07,13.50M,,,0.30M,,,2.80M,2.80M,-3.40M,,,,,,-0.10M,-12.00M,-1.20M,,7.30M,2.60M,7.50M,4.20M,17.30M,,1999-07,-8.30M,,-8.30M,,-10.00M,-15.90M,,1999-07,,,,7.30M,,7.30M,,,,7.30M,,1999-07,221.30M,,230.00M,,1999-07,7.30M,,,,,,1999-07,,
1999-04,10.75M,,,-2.505M,,,0.388M,0.388M,-0.401M,,,,,,,-1.989M,-1.869M,13.11M,6.83M,,-4.852M,11.23M,19.46M,,1999-04,-3.859M,,-3.859M,,2.35M,-1.509M,,1999-04,,,,143.45M,,143.45M,,,,143.45M,,1999-04,59.89M,,221.28M,,1999-04,143.45M,,,,,,1999-04,,
1999-01,9.394M,,,4.957M,,,2.299M,2.299M,-3.22M,,,,,,,-10.87M,-1.046M,-1.541M,-4.106M,,10.45M,-7.109M,6.321M,,1999-01,-5.432M,,-5.432M,,0.60M,-1.332M,,1999-01,,,0.017M,6.525M,,6.525M,,,,6.542M,,1999-01,48.36M,,59.89M,,1999-01,6.525M,,,,,,1999-01,,
1998-10,8.376M,,,0.577M,,,2.67M,2.67M,-1.246M,,,,,,,-9.595M,-0.998M,-0.244M,4.861M,,9.383M,3.407M,13.78M,,1998-10,-3.843M,,-3.843M,,6.18M,1.337M,,1998-10,,,-0.014M,1.772M,,1.772M,,,,1.758M,,1998-10,31.48M,,48.36M,,1998-10,1.772M,,,,,,1998-10,,
1998-07,7.097M,,,0.094M,,,2.122M,2.122M,-0.217M,,,,,,,-1.734M,-1.021M,0.716M,-2.50M,,1.826M,-2.713M,6.383M,,1998-07,-2.34M,,-2.34M,,-4.13M,-15.97M,,1998-07,,,-0.003M,3.751M,,3.751M,,,,3.748M,,1998-07,37.32M,,31.48M,,1998-07,3.751M,,,,,,1998-07,,
