,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2004-06,11.63M,,11.63M,,,,10.15M,22.24M,16.18M,,60.20M,,,,,,2.305B,-301.77M,2.003B,72.19M,,,2.075B,2.153B,20.40M,23.04M,,43.44M,43.44M,,,,,,43.44M,1.254B,,1.254B,,,,285.90M,,,1.254B,1.309B,0.002M,-111.29M,645.17M,,,558.88M
2004-03,17.71M,,17.71M,,,,11.44M,21.22M,17.31M,,67.68M,,,,,,2.213B,-284.20M,1.929B,83.12M,,,2.012B,2.090B,6.983M,22.96M,,29.94M,29.94M,,,,,,29.94M,1.166B,,1.166B,,,,289.35M,,,1.166B,1.230B,25.00M,-98.36M,643.55M,25.00M,,570.19M
2003-12,,,,,,,,,11.18M,,11.18M,,,,,,,,1.718B,,,,1.718B,1.917B,,,,,,,,,,,,984.90M,,984.90M,,,,293.14M,,,984.90M,1.042B,25.00M,-86.25M,642.64M,25.00M,,581.40M
2003-09,10.40M,,10.40M,34.87M,18.62M,,53.49M,17.58M,10.07M,,91.55M,,,,,,1.701B,-227.30M,1.473B,88.83M,,,1.562B,1.659B,12.26M,20.53M,,32.79M,32.79M,,,162.70M,162.70M,,195.49M,827.30M,,827.30M,,,,263.68M,,,827.30M,889.15M,25.00M,-63.01M,544.25M,25.00M,,506.25M
2003-06,8.854M,,8.854M,32.92M,25.99M,,58.91M,12.26M,9.079M,,89.10M,,,,,,303.82M,-214.99M,88.83M,68.64M,,,157.47M,1.638B,33.33M,20.42M,,53.76M,53.76M,,,165.00M,165.00M,,218.76M,827.71M,,827.71M,,,,264.19M,,,827.71M,889.86M,0.002M,-55.74M,539.91M,,,484.18M
2003-03,10.37M,,10.37M,30.25M,26.14M,,56.40M,9.442M,9.928M,,86.13M,,,,,,284.07M,-203.43M,80.64M,62.78M,,,143.42M,1.629B,35.13M,20.22M,,55.35M,55.35M,,,,,,55.35M,811.90M,,811.90M,,,,264.74M,,,811.90M,875.60M,0.002M,-49.97M,538.56M,,,488.59M
2002-12,,,,,,,,,,,,,,,,,,,1.529B,,,,1.529B,1.620B,,,,,,,,,,,,804.06M,,804.06M,,,,262.53M,,,804.06M,865.89M,0.002M,-43.81M,535.12M,,,485.69M
2002-09,2.147M,,2.147M,69.42M,25.44M,,94.86M,9.966M,8.489M,,115.46M,,,,,,317.19M,-182.01M,135.18M,77.62M,,,212.80M,1.357B,28.18M,17.88M,,46.06M,46.06M,,,121.96M,121.96M,,168.02M,681.86M,,681.86M,,,,251.24M,,,681.86M,734.67M,0.002M,-39.36M,410.11M,,,370.75M
2002-06,8.664M,,8.664M,,,,89.82M,29.24M,,,127.72M,,,,,,296.16M,-172.88M,123.28M,90.78M,,,214.06M,1.366B,29.87M,18.16M,,48.03M,48.03M,,,,,,48.03M,667.68M,,667.68M,,,,251.67M,,,667.68M,722.36M,0.002M,-35.91M,428.21M,,,392.30M
2002-03,6.868M,,6.868M,,,,86.43M,6.423M,,,99.72M,,,,,,274.06M,-165.35M,108.71M,93.58M,,,202.30M,1.340B,33.30M,18.13M,,51.43M,51.43M,,,,,,51.43M,647.35M,,647.35M,,,,251.10M,,,647.35M,705.43M,0.002M,-42.94M,426.90M,,,383.96M
2001-12,,,,,,,,,,,,,,,,,,,,,,,,1.329B,,,,,,,,,,,,,,,,,,,,,,947.78M,,,,,,381.67M
2001-09,12.34M,,12.34M,33.08M,102.16M,,135.25M,6.816M,,,154.41M,,,,,,226.73M,-146.93M,79.80M,92.81M,,,172.61M,1.374B,33.96M,16.62M,,50.58M,50.58M,,,,,,50.58M,672.90M,,672.90M,0.00,0.00,,251.03M,,,672.90M,729.92M,0.002M,-38.09M,431.14M,,,393.05M
2001-06,12.67M,,12.67M,29.05M,118.24M,,147.29M,7.429M,,,167.38M,,,,,,200.46M,-137.73M,62.73M,77.11M,,,139.84M,1.359B,29.04M,16.55M,,45.59M,45.59M,,,,,,45.59M,661.18M,,661.18M,5.002M,5.002M,,250.80M,,,666.18M,718.19M,0.002M,-40.03M,429.96M,,,389.93M
2001-03,11.83M,,11.83M,,,,93.46M,6.492M,,,111.78M,,,,,,179.00M,-128.32M,50.68M,69.75M,,,120.43M,1.279B,26.87M,16.50M,,43.37M,43.37M,,,,,,43.37M,583.90M,,583.90M,5.002M,5.002M,,249.59M,,,588.91M,638.65M,0.002M,-38.63M,429.42M,,,390.80M
2000-12,,,,,,,,,,,,,,,,,,,1.141B,,,,1.141B,1.282B,,,,,,,,,,,,595.54M,,595.54M,,,,238.13M,,,595.54M,652.04M,0.002M,-36.76M,428.43M,,,391.68M
2000-09,6.724M,,6.724M,,,,77.25M,5.573M,,,89.55M,,,,,,159.80M,-111.04M,48.76M,50.73M,,,99.49M,1.229B,28.09M,14.40M,,42.49M,42.49M,,,,,,42.49M,545.11M,,545.11M,5.002M,5.002M,,238.45M,,,550.12M,599.18M,0.052M,-36.48M,428.02M,,,391.54M
2000-06,5.237M,,5.237M,,,,52.75M,4.513M,,,62.50M,,,,,,134.67M,-102.35M,32.32M,51.16M,,,83.48M,1.153B,22.01M,14.50M,,36.51M,36.51M,,,,,,36.51M,475.08M,,475.08M,5.002M,5.002M,,238.71M,,,480.08M,522.84M,0.003M,-35.62M,426.95M,0.001M,,391.33M
2000-03,23.09M,,23.09M,,,,22.58M,3.966M,,,49.63M,,,,,,154.81M,-95.40M,59.41M,49.04M,,,108.45M,1.056B,29.58M,13.23M,,42.81M,42.81M,,,,,,42.81M,372.92M,,372.92M,5.002M,5.002M,,238.55M,,,377.92M,426.36M,0.002M,-34.72M,426.17M,,,391.46M
1999-12,12.35M,,12.35M,,,,22.66M,3.495M,,,38.50M,,,,,,1.049B,-96.60M,952.88M,47.99M,,,1.001B,1.062B,15.13M,13.25M,,28.38M,28.38M,,,,,,28.38M,384.11M,,384.11M,5.002M,5.002M,,238.29M,,,389.11M,436.33M,0.003M,-37.40M,425.09M,0.001M,,387.69M
1999-09,,,,,,,,,,,,,,,,,,,1.068B,,,,1.068B,1.130B,,,,,,,,57.20M,57.20M,,57.20M,379.50M,,379.50M,,,,239.00M,,,379.50M,506.10M,0.00,-40.80M,425.20M,,,384.40M
1999-06,,,,,,,,,,,,,,,,,,,964.80M,,,,964.80M,1.017B,,,,,,,,60.50M,60.50M,,60.50M,380.00M,,380.00M,,,,136.10M,,,380.00M,499.70M,,-43.70M,,,,381.00M
1999-03,,,,,,,,,,,,,,,,,,,898.40M,,,,898.40M,955.40M,,,,,,,,32.00M,32.00M,,32.00M,352.80M,,352.80M,,,,130.20M,,,352.80M,436.30M,,-42.50M,,,,388.90M
1998-12,2.548M,,2.548M,,,,29.26M,3.444M,,,35.25M,,,,,,943.18M,-77.79M,865.39M,10.59M,,,875.98M,931.80M,17.46M,11.14M,,28.60M,28.60M,,,,,,28.60M,361.52M,,361.52M,5.002M,5.002M,,130.43M,,,366.52M,411.56M,0.003M,-41.48M,431.28M,0.001M,,389.80M
1998-09,,,,,,,,,,,,,,,,,,,865.60M,,,,865.60M,920.20M,,,,,,,,,,,,360.50M,,360.50M,,,,106.10M,,,360.50M,419.40M,,-36.50M,,,,394.70M
1998-06,,,,,,,,,,,,,,,,,,,845.00M,,,,845.00M,903.80M,,,,,,,,,,,,342.50M,,342.50M,,,,106.30M,,,342.50M,400.50M,,-34.10M,,,,397.00M
