,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-01,238.70M,,,24.50M,185.70M,185.70M,-3.90M,,,57.40M,-30.70M,-579.80M,-418.50M,,-159.40M,-1.188B,-686.00M,,-396.80M,94.80M,-302.00M,,408.60M,445.70M,552.30M,,,,-34.40M,81.10M,-202.60M,-121.50M,,-88.70M,23.30M,-221.30M,,1.688B,-355.00M,8.60M,1.341B,,81.10M,,,-202.60M,,,
2006-10,277.30M,,,-16.60M,188.90M,188.90M,23.90M,,,-249.00M,614.90M,355.30M,-171.10M,503.10M,-372.20M,930.00M,1.311B,,-394.30M,91.70M,-302.60M,-0.60M,57.20M,-488.60M,-734.60M,,,,244.10M,23.40M,-344.30M,-320.90M,,-91.00M,5.40M,-162.40M,,1.286B,414.10M,-12.50M,1.688B,,23.40M,,,-344.30M,,,Restated
2006-07,436.00M,,,-19.70M,170.60M,170.60M,-90.50M,,,36.00M,159.50M,224.40M,282.20M,88.90M,-232.40M,522.60M,1.055B,,-466.30M,-375.00M,-841.30M,399.60M,-86.00M,-339.90M,-867.60M,,,,305.90M,36.10M,-388.60M,-352.50M,,-91.70M,12.50M,-125.80M,,1.202B,61.60M,22.40M,1.286B,,36.10M,,,-388.60M,,,
2006-04,744.60M,,,-343.70M,170.70M,170.70M,102.70M,,,,-1.300B,-28.50M,563.50M,-427.10M,88.20M,-1.104B,-430.00M,,-149.10M,510.90M,361.80M,0.00,228.70M,-553.30M,37.20M,,,,238.80M,220.80M,-324.60M,-103.80M,,-92.00M,57.30M,100.30M,,1.477B,-292.50M,17.20M,1.202B,,220.80M,,,-324.60M,,,
2006-01,235.90M,,,5.50M,161.20M,161.20M,-20.30M,,,,-177.90M,-629.20M,-519.30M,-164.90M,146.10M,-1.345B,-962.90M,,-173.70M,83.30M,-90.40M,-14.60M,240.50M,280.60M,416.10M,,,,39.50M,47.30M,-241.80M,-194.50M,,-73.70M,-0.20M,-228.90M,,2.258B,-775.70M,-5.30M,1.477B,,47.30M,,,-241.80M,,,
2005-10,232.90M,,,19.30M,164.70M,164.70M,114.00M,,,,661.00M,422.10M,51.10M,-283.30M,-38.10M,812.80M,1.344B,,-238.50M,104.50M,-134.00M,-45.40M,-490.50M,-880.80M,-1.551B,,,,688.20M,6.20M,-285.70M,-279.50M,,-74.80M,-0.50M,333.40M,,2.140B,126.40M,-8.00M,2.258B,,6.20M,,,-285.70M,,,
2005-07,387.10M,,,0.40M,158.00M,158.00M,-91.30M,,,,71.90M,236.20M,19.30M,23.60M,-181.80M,169.20M,623.40M,,-91.70M,98.00M,6.30M,-118.20M,-1.690B,-780.20M,-2.582B,,,,1.236B,50.80M,-148.80M,-98.00M,,-76.30M,-0.70M,1.061B,,3.057B,-897.70M,-19.20M,2.140B,,50.80M,,,-148.80M,,,
2005-04,604.00M,,,1.60M,153.50M,153.50M,-47.70M,,,,-1.394B,-172.30M,656.70M,-52.30M,-94.80M,-1.056B,-344.80M,,-101.20M,155.10M,53.90M,0.00,-12.80M,-955.70M,-914.60M,,,,1.822B,25.60M,-322.10M,-296.50M,,-69.30M,-0.60M,1.455B,,2.866B,196.00M,-4.80M,3.057B,,25.60M,,,-322.10M,,,
2005-01,222.80M,,,0.70M,160.30M,160.30M,-24.30M,,,,192.00M,-810.10M,-390.20M,,243.10M,-765.20M,-405.70M,,-81.20M,91.50M,10.30M,-6.10M,-18.10M,-112.00M,-125.90M,,,,364.10M,71.00M,-162.30M,-91.30M,,-69.30M,-0.10M,203.40M,,3.181B,-328.20M,12.60M,2.866B,,71.00M,,,-162.30M,,,
2004-10,356.70M,,,9.70M,152.20M,152.20M,179.10M,,,,287.50M,255.80M,135.70M,-437.40M,-145.00M,96.60M,794.30M,,-148.90M,114.50M,-34.40M,-24.50M,9.60M,-750.20M,-799.50M,,,,-14.20M,5.70M,-92.80M,-87.10M,,-69.60M,0.40M,-170.50M,,3.336B,-175.70M,20.40M,3.181B,,5.70M,,,-92.80M,,,
2004-07,401.30M,,,6.40M,152.10M,152.10M,-38.90M,,,,131.60M,-49.40M,157.10M,21.50M,-1.80M,259.00M,779.90M,,-74.30M,81.60M,7.30M,-5.10M,-1.70M,-552.10M,-551.60M,,,,264.90M,28.60M,-100.10M,-71.50M,,-69.40M,-0.20M,123.80M,,2.996B,352.10M,-11.40M,3.336B,,28.60M,,,-100.10M,,,
2004-04,477.30M,,,56.00M,316.70M,316.70M,244.80M,,,,-1.283B,-707.70M,579.90M,-829.80M,293.90M,-1.946B,-851.70M,,-86.90M,149.50M,62.60M,-54.70M,1.90M,-279.60M,-269.80M,,,,-26.60M,83.30M,0.00,83.30M,,-54.20M,-0.60M,1.90M,,4.088B,-1.120B,27.50M,2.996B,,83.30M,,,0.00,,,
2004-01,170.80M,,,,,,,,,,,,,,-397.20M,-397.20M,-226.40M,,-53.70M,189.40M,135.70M,-108.60M,-22.70M,547.40M,551.80M,,,,-703.30M,133.20M,-0.20M,133.00M,,-53.40M,,-623.70M,,4.384B,-298.30M,1.60M,4.088B,,133.20M,,,-0.20M,,,
2003-10,70.70M,,,,,,,,,,,,,,422.70M,504.20M,1.341B,,-124.20M,115.90M,-8.30M,0.00,0.40M,-520.60M,-528.50M,,,,-292.00M,133.00M,0.00,133.00M,,-52.70M,-0.40M,-212.10M,,3.757B,600.10M,27.20M,4.384B,,133.00M,,,0.00,,,
2003-07,247.50M,,,,,,,,,,,,,,840.30M,840.30M,1.088B,,-68.30M,120.80M,52.50M,-2.60M,-20.60M,-114.90M,-85.60M,,,,-551.20M,21.10M,0.00,21.10M,,-52.60M,0.00,-582.70M,,3.324B,419.50M,13.50M,3.757B,,21.10M,,,0.00,,,
2003-04,256.90M,,,,,,,,,,,,,,-612.30M,-612.30M,-355.40M,,-68.70M,170.10M,101.40M,-4.00M,-24.00M,-596.30M,-522.90M,,,,692.70M,0.60M,0.00,0.60M,,-52.70M,-0.20M,640.40M,,3.553B,-237.90M,8.70M,3.324B,,0.60M,,,0.00,,,
2003-01,68.00M,,,,,,,,,,,,,,-605.40M,-605.40M,-537.40M,,-48.40M,130.20M,81.80M,-4.00M,2.40M,160.70M,240.90M,,,,1.048B,19.80M,-0.40M,19.40M,,-52.50M,-1.20M,1.013B,,2.815B,716.80M,21.70M,3.553B,,19.80M,,,-0.40M,,,
2002-10,68.00M,,,,,,,,,,,,,,-427.40M,-39.40M,1.200B,,300.70M,60.90M,361.60M,-491.50M,22.10M,-639.00M,-746.80M,,,,91.00M,8.30M,0.00,8.30M,,-52.40M,0.00,46.90M,,2.328B,499.80M,-12.40M,2.815B,,8.30M,,,0.00,,,
2002-07,147.60M,,,,,,,,,,,,,,756.20M,756.20M,903.80M,,-516.80M,129.10M,-387.70M,-3.70M,4.50M,-438.90M,-825.80M,,,,-328.80M,6.30M,0.00,6.30M,,-52.50M,0.30M,-374.70M,,2.616B,-296.70M,7.70M,2.328B,,6.30M,,,0.00,,,
2002-04,141.70M,,,,,,,,,,,,,,-23.80M,-23.80M,117.90M,,-5.80M,233.00M,227.20M,-7.10M,-8.90M,-554.00M,-342.80M,,,,503.10M,22.20M,-0.50M,21.70M,,-52.30M,-0.60M,471.90M,,2.365B,247.00M,4.70M,2.616B,,22.20M,,,-0.50M,,,
2002-01,-38.10M,,,,,,,,,,,,,,-305.00M,-305.00M,-343.10M,,-136.80M,125.70M,-11.10M,-4.60M,-30.10M,1.647B,1.601B,,,,124.20M,11.20M,-0.70M,10.50M,,-51.70M,-1.20M,81.80M,,1.03B,1.340B,-5.30M,2.365B,,11.20M,,,-0.70M,,,
2001-10,-320.10M,,,,,,,,,,,,,,473.10M,967.20M,1.330B,,377.20M,101.40M,478.60M,-51.10M,-16.20M,-1.394B,-982.60M,,,,476.50M,10.80M,0.00,10.80M,,-51.60M,-0.90M,434.80M,,252.70M,782.60M,-5.30M,1.03B,,10.80M,,,0.00,,,
2001-07,71.90M,,,,,,,,,,,,,,758.60M,758.60M,830.50M,,-687.10M,86.40M,-600.70M,-13.80M,-20.20M,-544.10M,-1.179B,,,,169.50M,1.10M,0.00,1.10M,,-51.70M,-0.50M,118.40M,,484.40M,-229.90M,-1.80M,252.70M,,1.10M,,,0.00,,,
2001-04,127.80M,,,,,,,,,,,,,,-183.90M,-183.90M,-56.10M,,7.00M,125.90M,132.90M,-29.00M,2.00M,-936.00M,-830.10M,,,,1.114B,1.00M,-0.10M,0.90M,,-51.60M,-0.70M,1.063B,,311.60M,176.90M,-4.10M,484.40M,,1.00M,,,-0.10M,,,
2001-01,56.40M,,,,,,,,,,,,,,-1.048B,-1.048B,-991.40M,,-188.10M,78.00M,-110.10M,-221.30M,-8.90M,966.90M,626.60M,,,,432.70M,4.90M,-1.20M,3.70M,,-51.60M,-0.70M,384.10M,,291.70M,19.30M,0.60M,311.60M,,4.90M,,,-1.20M,,,
2000-10,71.10M,,,,,,,,,,,,,,213.20M,218.90M,878.80M,,-222.80M,82.50M,-140.30M,-21.40M,-10.60M,-1.067B,-1.239B,,,,356.70M,0.50M,,-0.10M,,-51.60M,-0.80M,304.20M,,351.70M,-56.30M,-3.70M,291.70M,,0.50M,,,,,,
2000-07,171.70M,,,,,,,,,697.40M,,,,,-213.20M,-213.20M,655.90M,,-94.80M,100.70M,5.90M,-53.70M,-2.50M,-298.40M,-348.70M,,,,-285.40M,9.50M,,9.50M,,-51.50M,-0.40M,-327.80M,,370.40M,-20.60M,1.90M,351.70M,,9.50M,,,,,,
2000-04,205.00M,,,,,,,,,-243.10M,,,,,,,-38.10M,,-56.90M,151.40M,94.50M,-568.20M,2.90M,-975.00M,-1.446B,,,,1.609B,1.40M,,1.40M,,-51.50M,-0.10M,1.558B,,297.50M,74.60M,-1.70M,370.40M,,1.40M,,,,,,
2000-01,37.70M,,,,,,,,,-454.30M,,,,,,,-416.60M,,-52.20M,,-52.20M,,196.10M,-220.40M,-76.50M,,,,542.40M,4.50M,,4.50M,,-51.40M,,495.50M,,295.50M,2.40M,-0.40M,297.50M,,4.50M,,,,,,
1999-10,-29.50M,,,,,,,,,,,,,,-459.40M,430.00M,821.20M,,411.90M,,782.30M,,15.50M,-723.70M,74.10M,,,,-899.20M,0.70M,-2.80M,-2.10M,,-51.40M,1.50M,-951.20M,,352.30M,-55.90M,-0.90M,295.50M,,0.70M,,,-2.80M,,,
1999-07,68.90M,,,,,,,,,527.40M,,,,,344.60M,344.60M,940.90M,,-764.50M,,-764.50M,,-7.10M,1.123B,351.00M,,,,-1.184B,0.40M,-0.10M,0.30M,,-51.30M,-0.40M,-1.235B,,295.30M,57.00M,0.00,352.30M,,0.40M,,,-0.10M,,,
1999-04,150.10M,,,,,,,,,-80.60M,,,,,,,69.50M,,1.40M,,1.40M,,10.60M,-680.50M,-668.50M,,,,618.70M,2.70M,0.00,2.70M,,-51.00M,-1.20M,569.20M,,0.00,-29.80M,-0.40M,295.30M,,2.70M,,,0.00,,,
1999-01,49.70M,,,,,,,,,-446.80M,,,,,,,-397.10M,,-180.10M,,-180.10M,,3.50M,-231.80M,-408.40M,,,,919.20M,0.40M,-46.10M,-45.70M,,-51.70M,,821.80M,,309.70M,16.30M,-0.50M,0.00,,0.40M,,,-46.10M,,,
1998-10,162.10M,,,47.30M,,,,,,952.30M,,,,,,,675.30M,,-235.30M,,-80.80M,,5.20M,385.00M,309.40M,,,,-734.60M,0.30M,-217.60M,-217.30M,,-53.10M,-2.00M,-1.007B,,0.00,-22.30M,0.90M,309.70M,,0.30M,,,-217.60M,,,
1998-07,290.80M,,,,,,,,,93.20M,,,,,,,384.00M,,-92.90M,,-92.90M,,1.40M,-364.00M,-455.50M,,,,391.60M,1.70M,-321.50M,-319.80M,,-1.80M,-0.10M,69.90M,,0.00,-1.60M,-1.70M,0.00,,1.70M,,,-321.50M,,,
1998-04,365.20M,,,809.00M,,,,,,-1.211B,,,,,,,-36.70M,,-136.60M,,-136.60M,,-4.30M,-415.20M,-556.10M,,,,913.60M,14.10M,-214.00M,-199.90M,,-107.30M,0.90M,607.30M,,0.00,14.50M,0.70M,0.00,,14.10M,,,-214.00M,,,
1998-01,203.30M,,,-809.00M,,,,,,,,,,,,,-605.70M,,-73.00M,,-73.00M,,-39.90M,-306.80M,-419.70M,,,,1.193B,6.60M,-132.80M,-126.20M,,-50.20M,,1.016B,,330.00M,-8.90M,-1.90M,0.00,,6.60M,,,-132.80M,,,
1997-10,211.30M,,,498.50M,,,,,,,,,,,,,855.70M,,-258.80M,,-156.90M,,47.90M,-215.60M,-324.60M,,,,-298.50M,3.40M,-108.20M,-104.80M,,-50.60M,0.40M,-453.50M,,0.00,77.60M,2.30M,330.00M,,3.40M,,,-108.20M,,,
1997-07,252.60M,,,212.50M,,,,,,,,,,,,,465.10M,,-124.50M,,-124.50M,,3.50M,-121.80M,-242.80M,,,,-108.90M,20.50M,-98.80M,-78.30M,,-50.90M,0.00,-238.10M,,0.00,-15.80M,-1.70M,0.00,,20.50M,,,-98.80M,,,
1997-04,319.50M,,,-285.60M,,,,,,,,,,,,,33.90M,,-79.20M,,-79.20M,,15.10M,-426.60M,-490.70M,,,,513.70M,7.70M,-111.90M,-104.20M,,-51.20M,-0.50M,357.80M,,0.00,-99.00M,0.50M,0.00,,7.70M,,,-111.90M,,,
1997-01,176.70M,,,-374.70M,,,,,,,,,,,,,-198.00M,,-68.10M,,-68.10M,,-7.20M,-250.70M,-326.00M,,,,751.40M,3.20M,-100.20M,-97.00M,,-51.60M,-0.10M,602.70M,,291.50M,78.70M,-4.10M,0.00,,3.20M,,,-100.20M,,,
1996-10,173.90M,,,336.50M,,,,,,,,,,,,,980.20M,,4.016B,,4.102B,,-10.50M,-4.479B,-387.10M,,,,-498.80M,4.40M,-55.90M,-51.50M,,-51.90M,-0.30M,-602.50M,,0.00,-9.40M,-0.30M,291.50M,,4.40M,,,-55.90M,,,
1996-07,204.50M,,,508.40M,,,,,,,,,,,,,712.90M,,-4.303B,,-4.303B,,-5.50M,3.646B,-662.40M,,,,126.00M,5.20M,-106.70M,-101.50M,,-52.50M,0.00,-28.00M,,0.00,22.50M,0.60M,0.00,,5.20M,,,-106.70M,,,
1996-04,272.70M,,,-236.30M,,,,,,,,,,,,,36.40M,,-62.10M,,-62.10M,,-20.80M,169.10M,86.20M,,,,-63.60M,17.50M,-112.10M,-94.60M,,-52.50M,2.00M,-208.70M,,0.00,-86.10M,0.00,0.00,,17.50M,,,-112.10M,,,
1996-01,166.20M,,,-551.30M,,,,,,,,,,,,,-385.10M,,-39.40M,,-39.40M,,13.90M,-226.70M,-252.20M,,,,681.80M,11.90M,,11.90M,,-52.40M,-2.10M,639.20M,,363.70M,1.90M,-1.40M,0.00,,11.90M,,,,,,
1995-10,150.60M,,,657.70M,,,,,,,,,,,,,911.20M,,-109.90M,,-64.40M,,-20.20M,-536.20M,-620.80M,,,,210.30M,1.50M,,1.50M,,-47.80M,-516.70M,-352.70M,,0.00,-62.30M,-0.70M,363.70M,,1.50M,,,,,,
1995-07,180.00M,,,112.20M,,,,,,,,,,,,,292.20M,,-70.00M,,-70.00M,,13.60M,-590.00M,-646.40M,,,,166.90M,32.50M,,32.50M,,-47.60M,108.40M,260.20M,,0.00,-94.00M,-0.10M,0.00,,32.50M,,,,,,
1995-04,237.10M,,,-355.80M,,,,,,,,,,,,,-118.70M,,-47.80M,,-47.80M,,-15.70M,326.50M,263.00M,,,,-508.60M,8.70M,,8.70M,,-47.60M,401.20M,-146.30M,,0.00,-2.00M,4.70M,0.00,,8.70M,,,,,,
1995-01,138.40M,,,-383.70M,,,,,,,,,,,,,-245.30M,,-34.70M,,-34.70M,,9.40M,-166.30M,-191.60M,,,,759.80M,0.90M,,0.90M,,-47.50M,-1.10M,712.10M,,245.40M,275.20M,-2.50M,0.00,,0.90M,,,,,,
1994-10,169.60M,,,195.90M,,,,,,,,,,,,,457.20M,,-107.90M,,-58.70M,,-16.00M,-64.90M,-139.60M,,,,-325.50M,0.60M,,0.60M,,-43.20M,-1.30M,-369.40M,,0.00,-51.80M,1.50M,245.40M,,0.60M,,,,,,
1994-07,157.70M,,,376.00M,,,,,,,,,,,,,533.70M,,-46.70M,,-46.70M,,-43.30M,-454.50M,-544.50M,,,,68.60M,0.80M,,0.80M,,-43.10M,-0.80M,25.50M,,0.00,14.70M,1.00M,0.00,,0.80M,,,,,,
1994-04,189.30M,,,-241.10M,,,,,,,,,,,,,-51.80M,,-41.60M,,-41.60M,,-68.40M,-298.60M,-408.60M,,,,417.70M,21.60M,,21.60M,,-42.80M,-1.60M,394.90M,,0.00,-65.50M,1.40M,0.00,,21.60M,,,,,,
1994-01,87.00M,,,-307.30M,,,,,,,,,,,,,-220.30M,,-31.90M,,-31.90M,,5.80M,-86.50M,-112.60M,,,,371.20M,13.90M,,13.90M,,-42.70M,-2.50M,339.90M,,338.20M,7.00M,-1.10M,0.00,,13.90M,,,,,,
1993-10,81.70M,,,-18.20M,,,,,,,,,,,,,609.80M,,-83.90M,,-37.40M,,-16.80M,243.80M,189.60M,,,,-1.454B,,,,,-38.40M,-32.90M,-938.80M,,0.00,-139.40M,-0.30M,338.20M,,,,,,,,
1993-07,100.10M,,,382.50M,,,,,,,,,,,,,482.60M,,-42.00M,,-42.00M,,10.80M,-297.70M,-328.90M,,,,-104.20M,,,,,-38.20M,16.90M,-125.50M,,0.00,28.20M,-1.00M,0.00,,,,,,,,
1993-04,30.20M,,,-50.90M,,,,,,,,,,,,,-20.70M,,-43.50M,,-43.50M,,-55.00M,444.00M,345.50M,,,,-178.70M,,,,,-38.20M,4.10M,-212.80M,,0.00,112.00M,0.30M,0.00,,,,,,,,
1993-01,-27.60M,,,-210.00M,,,,,,,,,,,,,-237.60M,,-37.10M,,-37.10M,,35.40M,10.50M,8.80M,,,,390.10M,,,,,-38.10M,-1.00M,351.00M,,216.80M,122.20M,-0.60M,0.00,,,,,,,,
1992-10,4.20M,,,315.40M,,,,,,,,,,,,,592.40M,,-111.60M,,-67.70M,,-47.00M,154.80M,40.10M,,,,-690.00M,,,,,-38.10M,-1.70M,-729.80M,,0.00,-97.30M,-0.50M,216.80M,,,,,,,,
1992-07,9.10M,,,270.30M,,,,,,,,,,,,,279.40M,,-56.50M,,-56.50M,,-14.50M,-237.10M,-308.10M,,,,60.40M,,,,,-38.20M,-3.90M,18.30M,,0.00,-10.40M,-0.30M,0.00,,,,,,,,
1992-04,44.00M,,,-234.10M,,,,,,,,,,,,,-190.10M,,-61.80M,,-61.80M,,-25.80M,-74.70M,-162.30M,,,,353.40M,,,,,-38.10M,-2.20M,313.10M,,0.00,-39.30M,0.10M,0.00,,,,,,,,
1992-01,-19.90M,,,-303.50M,,,,,,,,,,,,,-323.40M,,-55.80M,,-55.80M,,-6.70M,359.10M,296.60M,,,,154.50M,,,,,-38.10M,-3.60M,112.80M,,278.50M,86.00M,,0.00,,,,,,,,
1991-10,-81.50M,,,279.00M,,,,,,,,,,,,,581.90M,,-118.90M,,-86.50M,,3.80M,-527.30M,-610.00M,,,,125.30M,,,,,-38.10M,-1.20M,86.00M,,0.00,57.90M,1.90M,0.00,,,,,,,,
1991-07,31.30M,,,342.60M,,,,,,,,,,,,,373.90M,,-60.70M,,-60.70M,,-34.30M,-337.60M,-432.60M,,,,8.30M,,,,,-38.10M,-4.60M,-34.40M,,0.00,-93.10M,15.10M,0.00,,,,,,,,
1991-04,73.10M,,,-241.50M,,,,,,,,,,,,,-168.40M,,-72.30M,,-72.30M,,-9.70M,-133.90M,-215.90M,,,,384.00M,,,,,-38.10M,-3.90M,342.00M,,0.00,-42.30M,-17.60M,0.00,,,,,,,,
1991-01,-43.10M,,,-131.30M,,,,,,,,,,,,,-174.40M,,-46.10M,,-46.10M,,-24.10M,-50.30M,-120.50M,,,,507.30M,,,,,-38.00M,-2.30M,467.00M,,185.40M,172.10M,-0.90M,0.00,,,,,,,,
1990-10,74.50M,,,469.80M,,,,,,-0.10M,,,,,,,470.80M,,-129.70M,,-92.90M,,-4.10M,-301.30M,-398.30M,,,,-127.80M,,,,,-38.10M,-2.00M,-167.90M,,0.00,-95.40M,-0.50M,0.00,,,,,,,,
1990-07,114.10M,,,189.30M,,,,,,0.10M,,,,,,,303.50M,,-63.30M,,-63.30M,,-29.80M,-433.60M,-526.70M,,,,247.40M,,,,,-37.90M,-0.20M,209.30M,,0.00,-13.90M,2.20M,0.00,,,,,,,,
1990-04,144.00M,,,-313.30M,,,,,,,,,,,,,-169.30M,,-59.60M,,-59.60M,,-30.70M,-41.80M,-132.10M,,,,334.80M,,,,,-37.80M,5.10M,302.10M,,0.00,0.70M,-1.00M,0.00,,,,,,,,
1990-01,78.50M,,,-286.40M,,,,,,,,,,,,,-207.90M,,-39.50M,,-39.50M,,-9.40M,137.80M,88.90M,,,,235.40M,,,,,-26.50M,-0.10M,208.80M,,203.80M,89.80M,-0.30M,0.00,,,,,,,,
1989-10,103.20M,,,87.20M,60.40M,60.40M,-4.50M,,,-35.20M,81.00M,206.40M,156.30M,,,423.70M,634.80M,,-32.90M,,-8.20M,,-60.20M,-431.50M,-499.90M,,,,-328.50M,-20.10M,,-20.10M,,-26.40M,14.90M,-360.10M,,0.00,-225.20M,8.00M,0.00,,-20.10M,,,,,,
1989-07,98.10M,,,-32.10M,44.00M,44.00M,37.10M,,,8.20M,97.20M,132.50M,-27.50M,,,202.20M,357.50M,,-63.60M,,-63.60M,,,-79.90M,-143.50M,,,,-168.60M,9.40M,,9.40M,,-22.50M,-4.60M,-186.30M,,0.00,27.70M,-2.00M,0.00,,9.40M,,,,,,
1989-04,130.50M,,,244.80M,88.50M,88.50M,59.20M,,,27.10M,-514.70M,-334.70M,-14.10M,,,-863.50M,-313.40M,,-51.50M,,-51.50M,,17.40M,-80.90M,-115.00M,,,,434.20M,10.70M,,10.70M,,-22.40M,-4.80M,417.70M,,0.00,-10.70M,-3.00M,0.00,,10.70M,,,,,,
1989-01,48.40M,,,-306.80M,,,,,,,,,,,,,-258.40M,,-33.10M,,-33.10M,,-17.40M,75.00M,24.50M,,,,394.20M,,,,,-14.90M,1.40M,380.70M,,266.00M,146.80M,-3.70M,0.00,,,,,,,,
