,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,,SECFilingLinks,AsOriginallyReported,Restated
2007-04,781.21M,,781.21M,155.23M,155.23M,,2.829B,255.91M,35.80M,,4.057B,0.00,271.84M,1.666B,2.439B,32.57M,,4.409B,-2.357B,2.052B,182.89M,,182.89M,,195.38M,2.430B,6.488B,,2007-04,1.562B,1.562B,949.27M,2.511B,,,1.891M,,1.891M,,,,2.513B,,799.98M,21.90M,821.88M,8.054M,8.054M,,,724.62M,1.555B,2007-04,454.87M,1.963B,32.61M,,,2007-04,,
2007-01,856.67M,,856.67M,115.24M,115.24M,,2.582B,159.10M,35.82M,,3.749B,0.00,268.06M,1.629B,2.373B,32.57M,,4.303B,-2.264B,2.038B,182.90M,,182.90M,,115.61M,2.337B,6.086B,,2007-01,1.372B,1.372B,613.78M,1.986B,,,1.854M,,1.854M,,,395.00M,2.383B,,785.64M,22.38M,808.03M,21.52M,21.52M,,,583.05M,1.413B,2007-01,453.65M,1.870B,,,,2007-01,,
2006-10,341.64M,,341.64M,161.57M,161.57M,,3.246B,173.82M,16.28M,,3.940B,0.00,260.30M,1.613B,2.340B,32.57M,,4.246B,-2.190B,2.056B,183.12M,,183.12M,,127.43M,2.366B,6.306B,,2006-10,1.717B,1.717B,1.013B,2.730B,,,1.817M,,1.817M,,,,2.732B,,794.68M,22.86M,817.54M,14.09M,14.09M,,,567.94M,1.400B,2006-10,455.10M,1.752B,,,,2006-10,,
2006-07,273.72M,,273.72M,119.48M,119.48M,,2.923B,322.24M,13.94M,,3.653B,0.00,259.90M,1.564B,2.280B,,,4.105B,-2.106B,1.999B,183.22M,,183.22M,10.40M,151.23M,2.344B,5.997B,,2006-07,1.562B,1.562B,1.043B,2.605B,,,142.65M,,142.65M,,,,2.747B,,789.09M,23.33M,812.42M,,,,,562.01M,1.374B,2006-07,449.50M,1.462B,,,,2006-07,,
2006-04,279.88M,,279.88M,153.86M,153.86M,,2.555B,257.14M,11.59M,,3.258B,0.00,260.49M,1.532B,2.234B,,,4.026B,-2.026B,2.000B,183.36M,,183.36M,11.40M,166.64M,2.362B,5.620B,,2006-04,1.451B,1.451B,882.49M,2.333B,,,1.746M,,1.746M,,,,2.335B,,789.60M,23.79M,813.38M,,,,,542.25M,1.356B,2006-04,457.03M,1.513B,,,,2006-04,,
2006-01,465.65M,,465.65M,140.75M,140.75M,,2.366B,158.62M,9.246M,-0.001M,3.140B,0.00,260.56M,1.494B,2.178B,,,3.932B,-1.941B,1.991B,,183.42M,183.42M,6.395M,175.46M,2.356B,5.496B,,2006-01,1.313B,1.313B,936.67M,2.250B,,,1.712M,,1.712M,,,,2.252B,,782.91M,24.24M,807.15M,,,,,544.65M,1.352B,2006-01,460.97M,1.476B,,,,2006-01,,
2005-10,201.02M,,201.02M,173.52M,173.52M,,2.913B,222.23M,5.917M,,3.516B,0.00,262.90M,1.463B,2.123B,,,3.849B,-1.882B,1.966B,,183.50M,183.50M,,140.39M,2.290B,5.806B,,2005-10,1.474B,1.474B,1.082B,2.555B,,,451.34M,,451.34M,,,,3.007B,,576.04M,24.68M,600.72M,154.17M,154.17M,,,513.13M,1.268B,2005-10,460.69M,1.116B,,,,2005-10,,
2005-07,181.69M,,181.69M,120.93M,120.93M,,2.815B,263.57M,3.16M,,3.384B,0.00,262.28M,1.391B,2.033B,,,3.686B,-1.809B,1.877B,,183.55M,183.55M,,147.30M,2.208B,5.592B,,2005-07,1.519B,1.519B,913.45M,2.432B,,,416.14M,,416.14M,,,,2.849B,,575.11M,25.11M,600.22M,150.52M,150.52M,,,485.71M,1.236B,2005-07,465.92M,1.080B,,,,2005-07,,
2005-04,177.75M,,177.75M,132.21M,132.21M,,2.460B,224.54M,0.403M,,2.995B,0.00,261.80M,1.373B,1.987B,,,3.622B,-1.761B,1.861B,,183.62M,183.62M,,137.43M,2.182B,5.178B,,2005-04,1.329B,1.329B,967.77M,2.297B,,,136.60M,,136.60M,,,,2.433B,,573.69M,25.53M,599.22M,151.35M,151.35M,,,466.17M,1.217B,2005-04,470.43M,1.090B,,,,2005-04,,
2005-01,307.19M,,307.19M,119.61M,119.61M,,2.352B,126.29M,,,2.905B,0.00,261.78M,1.333B,1.940B,,,3.535B,-1.698B,1.837B,,183.76M,183.76M,,149.84M,2.170B,5.075B,,2005-01,1.276B,1.276B,824.15M,2.100B,,,101.58M,,101.58M,2.354M,2.354M,,2.204B,,572.59M,25.95M,598.54M,152.55M,152.55M,,,466.79M,1.218B,2005-01,480.70M,1.209B,,,,2005-01,,
2004-10,143.41M,,143.41M,142.64M,142.64M,,2.777B,191.04M,4.785M,,3.259B,0.00,260.21M,1.218B,1.854B,32.57M,,3.365B,-1.626B,1.739B,,183.64M,183.64M,,111.94M,2.035B,5.294B,,2004-10,1.570B,1.570B,920.14M,2.490B,,,101.54M,,101.54M,,,,2.592B,,571.70M,26.35M,598.05M,176.35M,176.35M,,,377.23M,1.152B,2004-10,481.87M,1.102B,,,,2004-10,,
2004-07,135.58M,,135.58M,99.57M,99.57M,,2.217B,220.99M,6.183M,,2.679B,0.00,257.67M,1.159B,1.764B,32.57M,,3.213B,-1.568B,1.645B,,183.59M,183.59M,,105.79M,1.934B,4.613B,,2004-07,1.142B,1.142B,736.08M,1.878B,,,106.51M,,106.51M,,,,1.985B,,566.75M,26.75M,593.50M,156.14M,156.14M,,,346.31M,1.096B,2004-07,488.75M,1.069B,,,,2004-07,,
2004-04,241.51M,,241.51M,106.79M,106.79M,,2.010B,216.79M,7.581M,,2.583B,0.00,256.86M,1.130B,1.713B,26.06M,,3.126B,-1.500B,1.627B,,183.65M,183.65M,,115.30M,1.926B,4.509B,,2004-04,1.084B,1.084B,662.07M,1.746B,,,6.489M,,6.489M,,,,1.753B,,664.41M,27.14M,691.56M,136.85M,136.85M,,,342.22M,1.171B,2004-04,494.93M,1.118B,,,,2004-04,,
2004-01,246.40M,,246.40M,90.90M,90.90M,,1.942B,163.77M,8.979M,,2.452B,0.00,256.53M,1.115B,1.686B,26.62M,,3.084B,-1.444B,1.640B,,183.83M,183.83M,,121.26M,1.945B,4.397B,,2004-01,960.38M,960.38M,723.68M,1.684B,,,6.46M,,6.46M,,,,1.691B,,664.79M,27.53M,692.32M,123.82M,123.82M,,,337.72M,1.154B,2004-01,499.18M,1.079B,,,,2004-01,,
2003-10,87.62M,,87.62M,113.47M,113.47M,,2.243B,130.08M,12.41M,,2.586B,0.00,251.81M,1.073B,1.603B,27.17M,,2.954B,-1.385B,1.570B,,179.42M,179.42M,,112.54M,1.862B,4.448B,,2003-10,1.157B,1.157B,696.84M,1.853B,,,6.431M,,6.431M,,,107.64M,1.967B,,661.98M,27.90M,689.88M,90.37M,90.37M,,,275.23M,1.055B,2003-10,502.77M,945.18M,,,,2003-10,,
2003-07,44.01M,,44.01M,86.53M,86.53M,,2.018B,154.94M,11.26M,,2.315B,0.00,240.79M,1.029B,1.517B,,,2.787B,-1.325B,1.462B,,179.33M,179.33M,,141.28M,1.783B,4.097B,,2003-07,1.040B,1.040B,579.69M,1.620B,,,16.40M,,16.40M,,,85.32M,1.722B,,664.93M,28.27M,693.20M,68.77M,68.77M,,,260.52M,1.022B,2003-07,506.95M,870.95M,,,,2003-07,,
2003-04,171.45M,,171.45M,95.01M,95.01M,,1.883B,140.69M,10.11M,,2.300B,0.00,232.84M,999.92M,1.457B,32.57M,,2.723B,-1.283B,1.439B,,179.26M,179.26M,,111.52M,1.730B,4.030B,,2003-04,997.87M,997.87M,573.30M,1.571B,,,16.49M,,16.49M,,,86.94M,1.675B,,666.79M,28.52M,695.30M,56.00M,56.00M,,,234.91M,986.22M,2003-04,512.56M,866.62M,,,,2003-04,,
2003-01,492.33M,,492.33M,75.52M,75.52M,,1.563B,100.28M,8.961M,,2.241B,0.00,230.81M,970.98M,1.409B,32.57M,,2.643B,-1.236B,1.408B,,179.18M,179.18M,,113.19M,1.700B,3.940B,,2003-01,817.63M,817.63M,669.73M,1.487B,,,16.35M,,16.35M,,,62.63M,1.566B,,664.78M,28.99M,693.76M,41.97M,41.97M,,,229.26M,965.00M,2003-01,520.52M,899.45M,,,,2003-01,,
2002-10,151.94M,,151.94M,94.72M,94.72M,,2.002B,106.60M,14.14M,,2.369B,0.00,218.90M,936.32M,1.359B,,,2.515B,-1.208B,1.306B,,179.14M,179.14M,,103.52M,1.589B,3.958B,,2002-10,984.47M,984.47M,582.86M,1.567B,,,1.321M,,1.321M,,,87.68M,1.656B,,677.78M,29.34M,707.11M,3.538M,3.538M,,,228.69M,939.34M,2002-10,525.09M,841.11M,,,,2002-10,,
2002-07,292.64M,,292.64M,69.90M,69.90M,,1.771B,142.17M,13.42M,,2.290B,0.00,162.43M,,1.304B,941.14M,,2.407B,-1.170B,1.237B,,179.12M,179.12M,6.50M,108.25M,1.531B,3.821B,,2002-07,962.94M,962.94M,507.93M,1.471B,,,1.295M,,1.295M,,,77.85M,1.550B,,675.78M,29.68M,705.46M,,,,,241.35M,946.81M,2002-07,529.67M,800.60M,,,,2002-07,,
2002-04,516.86M,,516.86M,80.43M,80.43M,,1.529B,129.30M,12.71M,,2.268B,0.00,153.20M,911.80M,1.250B,,,2.315B,-1.125B,1.190B,,179.14M,179.14M,23.40M,111.60M,1.504B,3.772B,,2002-04,858.21M,858.21M,466.28M,1.324B,,,1.269M,,1.269M,,,115.13M,1.441B,,673.81M,30.01M,703.82M,,,,,244.02M,947.84M,2002-04,269.41M,1.121B,,,,2002-04,,
2002-01,492.78M,,492.78M,69.21M,69.21M,,1.457B,84.96M,12.00M,,2.116B,0.00,171.28M,854.47M,1.210B,,,2.236B,-1.076B,1.160B,,179.10M,179.10M,26.58M,114.22M,1.480B,3.596B,,2002-01,761.55M,761.55M,510.27M,1.272B,,,1.244M,,1.244M,,,41.95M,1.315B,,672.04M,30.34M,702.38M,,,,,237.66M,940.04M,2002-01,271.54M,1.076B,,,,2002-01,,
2001-10,76.09M,,76.09M,94.13M,94.13M,,1.991B,64.47M,,,2.226B,0.00,140.11M,,1.158B,840.66M,,2.138B,-1.045B,1.094B,,180.58M,180.58M,65.10M,73.53M,1.413B,3.638B,,2001-10,882.63M,882.63M,493.97M,1.377B,,,351.28M,,351.28M,,,71.32M,1.799B,,319.43M,30.66M,350.09M,,,,,234.38M,584.47M,2001-10,272.52M,985.38M,,,,2001-10,,
2001-07,138.62M,,138.62M,68.74M,68.74M,,1.855B,64.35M,,,2.126B,0.00,134.38M,,1.085B,799.27M,,2.019B,-1.001B,1.017B,,182.06M,182.06M,37.51M,76.82M,1.314B,3.440B,,2001-07,898.68M,898.68M,420.89M,1.320B,,,2.91M,,2.91M,,,40.79M,1.363B,,669.38M,30.96M,700.34M,,,,,167.80M,868.14M,2001-07,273.97M,937.78M,,,,2001-07,,
2001-04,304.69M,,304.69M,73.64M,73.64M,,1.643B,96.76M,,,2.118B,0.00,137.26M,,1.019B,726.91M,,1.883B,-957.14M,925.60M,,183.50M,183.50M,48.45M,76.97M,1.235B,3.352B,,2001-04,745.05M,745.05M,447.32M,1.192B,,,13.72M,,13.72M,,,97.51M,1.304B,,668.06M,,668.06M,,,,,166.70M,834.75M,2001-04,276.96M,941.09M,,,,2001-04,,
2001-01,132.54M,,132.54M,61.84M,61.84M,,1.453B,74.69M,,,1.722B,0.00,133.71M,,984.85M,704.01M,,1.823B,-914.59M,907.98M,,184.99M,184.99M,47.39M,69.98M,1.210B,2.932B,,2001-01,645.67M,645.67M,501.82M,1.147B,,,39.07M,,39.07M,,,42.19M,1.229B,,319.37M,,319.37M,,,,,165.44M,484.81M,2001-01,280.38M,941.62M,,,,2001-01,,
2000-10,55.48M,,55.48M,,70.72M,,1.950B,,,47.92M,2.124B,,,,,,,1.754B,-875.35M,878.26M,,186.41M,186.41M,,134.76M,1.199B,3.323B,,2000-10,881.22M,881.22M,,881.22M,,,311.16M,,311.16M,,,714.47M,1.907B,,319.36M,,319.36M,,,,,,319.36M,2000-10,279.77M,819.24M,,,,2000-10,,
2000-07,39.40M,,39.40M,,57.41M,,1.691B,,,80.26M,1.868B,,,,,,,1.693B,-834.22M,859.11M,,187.91M,187.91M,,105.36M,1.152B,3.020B,,2000-07,767.01M,767.01M,,767.01M,,,297.57M,,297.57M,,,638.52M,1.703B,,0.019M,,0.019M,,,,,319.33M,319.35M,2000-07,281.97M,717.91M,,,,2000-07,,
2000-04,236.01M,,236.01M,,63.76M,,1.560B,,,57.30M,1.917B,,,,,,,1.637B,-792.94M,843.69M,,189.36M,189.36M,,89.37M,1.122B,3.040B,,2000-04,837.36M,837.36M,,837.36M,,,110.57M,,110.57M,,,683.62M,1.632B,,319.35M,,319.35M,,,,,,319.35M,2000-04,292.88M,797.57M,,,,2000-04,,
2000-01,371.76M,,371.76M,,55.46M,,1.230B,,,43.76M,1.701B,,,,,,,1.589B,-754.31M,834.58M,,190.84M,190.84M,,78.97M,1.104B,2.805B,,2000-01,615.67M,615.67M,,615.67M,,,100.36M,,100.36M,,,650.34M,1.366B,,319.37M,,319.37M,,,,,,319.37M,2000-01,299.98M,820.68M,,,,2000-01,,
1999-10,24.60M,,24.60M,,114.30M,,1.639B,,,74.90M,1.853B,,,,,,,1.547B,-723.40M,823.90M,,194.00M,194.00M,,80.20M,1.098B,2.951B,,1999-10,747.00M,747.00M,,747.00M,,,208.50M,,208.50M,,,673.20M,1.629B,,120.10M,,120.10M,,,,,-0.10M,120.00M,1999-10,310.10M,893.40M,,,,1999-10,,
1999-07,47.20M,,47.20M,,88.00M,,1.578B,,,70.80M,1.784B,,,,,,,1.481B,-686.00M,795.20M,,195.40M,195.40M,,74.60M,1.065B,2.849B,,1999-07,740.90M,740.90M,,740.90M,,,160.10M,,160.10M,,,601.40M,1.502B,,120.10M,,120.10M,,,,,,120.10M,1999-07,316.00M,912.10M,,,,1999-07,,
1999-04,309.40M,,309.40M,,92.80M,,1.437B,,,50.40M,1.889B,,,,,,,1.417B,-652.80M,763.80M,,196.90M,196.90M,,68.90M,1.030B,2.919B,,1999-04,771.70M,771.70M,,771.70M,,,11.30M,,11.30M,,,698.20M,1.481B,,220.30M,,220.30M,,,,,-0.10M,220.20M,1999-04,,899.30M,,,,1999-04,,
1999-01,461.20M,,461.20M,,67.30M,,1.186B,,,28.60M,1.743B,,,,,,,1.374B,-617.30M,756.60M,,198.30M,198.30M,,49.80M,1.005B,2.748B,,1999-01,617.20M,617.20M,,617.20M,,,0.70M,,0.70M,,,688.90M,1.307B,,220.30M,,220.30M,,,,,,220.30M,1999-01,,900.00M,,,,1999-01,,
1998-10,155.70M,,155.70M,,104.40M,,1.501B,,,58.30M,1.820B,,,,,,,1.334B,-594.50M,739.90M,,199.70M,199.70M,,27.70M,967.30M,2.787B,,1998-10,709.30M,709.30M,,709.30M,,,22.60M,,22.60M,,,705.90M,1.438B,,220.60M,,220.60M,,,,,-0.10M,220.50M,1998-10,41.20M,773.40M,,41.20M,,1998-10,,
1998-07,58.00M,,58.00M,,81.50M,,1.47B,,,63.60M,1.673B,,,,,,,1.292B,-576.20M,715.30M,,201.20M,201.20M,,22.90M,939.40M,2.612B,,1998-07,639.20M,639.20M,,639.20M,,,29.30M,,29.30M,,,598.50M,1.267B,,220.60M,,220.60M,1.00M,1.00M,,,,221.60M,1998-07,63.30M,745.80M,,63.30M,,1998-07,,
1998-04,327.40M,,327.40M,,90.70M,,1.381B,,,47.70M,1.847B,,,,,,,1.241B,-545.80M,694.90M,,202.80M,202.80M,,22.80M,920.50M,2.768B,,1998-04,739.90M,739.90M,,739.90M,,,29.80M,,29.80M,,,633.00M,1.403B,,220.90M,,220.90M,2.70M,2.70M,,,,223.60M,1998-04,67.10M,806.40M,,67.10M,,1998-04,,
