,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2010-10,5.526B,5.526B,4.006B,1.519B,912.81M,,,12.50M,2.987M,-9.518M,,912.81M,606.64M,2.987M,12.50M,-9.518M,,-9.518M,597.12M,224.81M,372.31M,,,,,723.46M,113.84M,609.62M,,2010-10,,,0.235,0.235,,0.00,,,,2010-10,1.589B,1.612B,0.0375,,2010-10,AOR,
2010-07,5.068B,5.068B,3.719B,1.349B,853.80M,,-11.55M,12.17M,1.897M,-10.27M,,842.25M,506.62M,1.897M,12.17M,-10.27M,,-10.27M,496.35M,191.36M,304.98M,,,,,622.13M,113.62M,508.52M,,2010-07,,,0.19,0.19,,0.00,,,,2010-07,1.615B,1.639B,0.0375,,2010-07,AOR,Restated
2010-04,5.017B,5.017B,3.649B,1.368B,821.36M,,,11.97M,1.767M,-10.20M,,821.36M,546.50M,1.767M,11.97M,-10.20M,,-10.20M,536.30M,204.87M,331.43M,,,,,661.88M,113.61M,548.27M,,2010-04,,,0.2025,0.2025,,0.00,,,,2010-04,1.632B,1.658B,0.03,,2010-04,AOR,Restated
2010-01,5.942B,5.942B,4.359B,1.583B,938.91M,,,14.18M,-15.09M,-29.27M,-57.79M,881.13M,702.02M,-15.09M,14.18M,-29.27M,,-29.27M,633.24M,238.24M,395.00M,,,,,763.69M,116.28M,647.42M,,2010-01,,,0.2375,0.2375,,0.00,,,,2010-01,1.652B,1.680B,0.03,,2010-01,AOR,Restated
2009-10,5.245B,5.245B,3.802B,1.443B,864.10M,,,14.56M,27.22M,12.66M,25.33M,889.43M,553.34M,27.22M,14.56M,12.66M,,12.66M,566.00M,218.21M,347.80M,,,,,690.08M,109.52M,580.56M,,2009-10,,,0.205,0.205,,0.00,,,,2009-10,1.687B,1.712B,0.03,,2009-10,AOR,Restated
2009-07,4.748B,4.748B,3.534B,1.213B,790.88M,,,11.63M,20.88M,9.249M,18.50M,809.37M,403.85M,20.88M,11.63M,9.249M,,9.249M,413.10M,151.54M,261.56M,,,,,530.00M,105.27M,424.73M,,2009-07,,,0.155,0.155,,0.00,,,,2009-07,1.696B,1.722B,0.03,,2009-07,AOR,Restated
2009-04,4.354B,4.354B,3.273B,1.081B,735.06M,,,8.914M,2.313M,-6.601M,,735.06M,345.82M,2.313M,8.914M,-6.601M,,-6.601M,339.22M,130.01M,209.21M,,,,,452.28M,104.15M,348.13M,,2009-04,,,0.1275,0.1275,,0.00,,,,2009-04,1.650B,1.728B,0.0275,,2009-04,AOR,Restated
2009-01,5.380B,5.380B,4.195B,1.185B,812.10M,,,,,,,781.60M,403.28M,,,,,,398.76M,148.06M,250.70M,0.00,,,,527.80M,100.68M,427.11M,,2009-01,,,0.15,0.1525,,0.0025,,,,2009-01,1.649B,1.727B,0.00,,2009-01,,Restated
2008-10,4.762B,4.762B,3.528B,1.234B,809.81M,,,,,,,809.81M,423.71M,,,,,,418.26M,164.14M,254.12M,-18.27M,,,,500.24M,76.53M,423.71M,,2008-10,,,0.1525,0.1425,,-0.01,,,,2008-10,1.668B,1.763B,0.0275,,2008-10,,
2008-07,4.621B,4.621B,3.493B,1.128B,808.28M,,,,,,,808.28M,320.20M,,,,,,317.56M,117.34M,200.22M,,,,,432.86M,112.66M,320.20M,,2008-07,,,0.12,0.12,,0.00,,,,2008-07,1.685B,1.782B,0.0275,,2008-07,,
2008-04,4.364B,4.364B,3.316B,1.048B,757.11M,,,,,,,757.11M,291.28M,,,,,,289.61M,95.76M,193.85M,,,,,403.12M,111.84M,291.28M,,2008-04,,,0.115,0.115,,0.00,,,,2008-04,1.702B,1.802B,0.0275,,2008-04,,
