,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-12,4.093B,215.00M,4.308B,3.317B,3.317B,1.199B,789.00M,232.00M,2.22B,2.26B,,12.10B,0.0,731.00M,3.539B,10.17B,,,14.44B,-5.951B,8.493B,4.256B,7.963B,12.22B,7.777B,,2.675B,31.16B,43.27B,1.38B,258.00M,,1.638B,5.535B,7.173B,5.919B,133.00M,6.052B,,6.052B,,,,13.22B,3.277B,,3.277B,1.89B,1.89B,,3.133B,8.30B,21.52B,880.00M,36.24B,7.378B,23.38B,,,,626.00M,21.74B
2007-09,4.618B,195.00M,4.813B,3.116B,3.116B,1.05B,785.00M,213.00M,2.048B,2.12B,-2.00M,12.10B,,,,,,,14.11B,-6.111B,8.003B,4.17B,7.662B,11.83B,,,9.74B,29.58B,41.67B,7.13B,,,7.13B,384.00M,7.514B,7.992B,60.00M,8.052B,,8.052B,,,,15.57B,1.594B,,1.594B,1.403B,1.403B,,3.438B,6.435B,22.00B,880.00M,35.81B,6.947B,23.50B,,,,-470.00M,19.67B
2007-06,4.364B,177.00M,4.541B,3.315B,3.315B,1.13B,747.00M,209.00M,2.086B,1.97B,,11.91B,,,,,,,12.59B,-5.008B,7.579B,3.727B,7.283B,11.01B,,,9.488B,28.08B,39.99B,6.631B,,,6.631B,529.00M,7.16B,,,8.088B,,8.088B,,,,15.25B,1.599B,,1.599B,1.307B,1.307B,,2.863B,5.769B,21.02B,880.00M,34.94B,6.651B,23.03B,,,,-473.00M,18.97B
2007-03,3.632B,151.00M,3.783B,2.781B,2.781B,1.093B,656.00M,160.00M,1.909B,2.014B,,10.49B,,,,,,,12.34B,-5.008B,7.333B,1.764B,4.233B,5.997B,,,9.303B,22.63B,33.12B,5.803B,,,5.803B,463.00M,6.266B,4.929B,57.00M,4.986B,,4.986B,,,,11.25B,1.454B,,1.454B,516.00M,516.00M,,2.687B,4.657B,15.91B,878.00M,33.88B,6.147B,22.79B,,,,-897.00M,17.21B
2006-12,2.44B,150.00M,2.59B,2.587B,2.587B,923.00M,548.00M,170.00M,1.641B,1.623B,,8.441B,0.0,495.00M,3.02B,7.889B,,507.00M,11.91B,-5.008B,6.903B,1.403B,3.732B,5.135B,,,9.484B,21.52B,29.96B,929.00M,,,929.00M,4.693B,5.622B,3.235B,33.00M,3.268B,,3.268B,,,,8.89B,1.314B,,1.314B,608.00M,608.00M,,2.231B,4.153B,13.04B,878.00M,33.47B,5.983B,22.12B,,-984.00M,-307.00M,-1.291B,16.92B
2006-09,3.388B,135.00M,3.523B,2.489B,2.489B,,,,1.592B,1.756B,,9.36B,,,,,,,11.08B,-4.353B,6.728B,1.306B,3.795B,5.101B,,,10.11B,21.94B,31.30B,5.62B,,,5.62B,516.00M,6.136B,3.021B,77.00M,3.098B,,3.098B,,,,9.234B,1.242B,,1.242B,732.00M,732.00M,,2.095B,4.069B,13.30B,877.00M,33.51B,5.737B,20.82B,,,,-1.307B,18.00B
2006-06,4.004B,126.00M,4.13B,2.593B,2.593B,,,,1.624B,1.706B,,10.05B,,,,,,,10.61B,-4.353B,6.254B,1.21B,2.993B,4.203B,,,9.84B,20.30B,30.35B,5.317B,,,5.317B,707.00M,6.024B,3.759B,29.00M,3.788B,,3.788B,,,,9.812B,1.14B,,1.14B,490.00M,490.00M,,1.786B,3.416B,13.23B,877.00M,32.78B,5.651B,20.81B,,,,-1.377B,17.12B
2006-03,4.364B,128.00M,4.492B,2.237B,2.237B,,,,1.549B,1.832B,,10.11B,,,,,,,10.29B,-4.353B,5.936B,,4.113B,4.113B,,,9.652B,19.70B,29.81B,4.954B,,,4.954B,656.00M,5.61B,4.476B,29.00M,4.505B,,4.505B,,,,10.12B,1.152B,,1.152B,407.00M,407.00M,,1.731B,3.29B,13.40B,877.00M,31.67B,5.578B,20.14B,,,,-1.577B,16.41B
2005-12,4.701B,66.00M,4.767B,2.281B,2.281B,704.00M,512.00M,163.00M,1.379B,1.778B,,10.20B,0.0,447.00M,2.692B,6.739B,,306.00M,10.18B,-4.353B,5.831B,1.047B,2.774B,3.821B,,,9.57B,19.22B,29.43B,4.493B,,,4.493B,797.00M,5.29B,,,4.546B,,4.546B,,,,9.836B,1.154B,,1.154B,352.00M,352.00M,,1.73B,3.236B,13.07B,877.00M,31.30B,5.492B,19.64B,,,,-1.669B,16.36B
2005-09,4.951B,111.00M,5.062B,2.217B,2.217B,,,,1.431B,1.81B,,10.52B,0.0,460.00M,2.775B,6.49B,492.00M,,10.22B,-4.34B,5.877B,,3.887B,3.887B,,,9.599B,19.36B,29.88B,5.194B,,,5.194B,683.00M,5.877B,3.069B,10.00M,3.079B,,3.079B,,,,8.956B,1.121B,,1.121B,537.00M,537.00M,,2.743B,4.401B,13.36B,876.00M,31.10B,5.331B,19.19B,,,,-1.589B,16.53B
2005-06,4.952B,59.00M,5.011B,2.349B,2.349B,,,,1.476B,1.757B,,10.59B,0.0,464.00M,2.743B,6.402B,480.00M,,10.09B,-4.259B,5.83B,,3.771B,3.771B,,,9.484B,19.08B,29.68B,4.288B,,,4.288B,819.00M,5.107B,3.092B,631.00M,3.723B,,3.723B,,,,8.83B,1.11B,,1.11B,560.00M,560.00M,,2.835B,4.505B,13.34B,875.00M,30.48B,5.185B,18.66B,,,,-1.546B,16.34B
2005-03,6.965B,61.00M,7.026B,2.115B,2.115B,,,,1.511B,1.634B,,12.29B,0.0,480.00M,2.874B,6.419B,494.00M,,10.27B,-4.204B,6.063B,,3.842B,3.842B,,,9.423B,19.33B,31.61B,4.026B,,,4.026B,748.00M,4.774B,4.379B,1.483B,5.862B,,5.862B,,,,10.64B,1.141B,,1.141B,485.00M,485.00M,,2.841B,4.467B,15.10B,875.00M,29.43B,5.063B,17.65B,,,,-1.209B,16.51B
2004-12,6.707B,61.00M,6.768B,2.244B,2.244B,,,,1.42B,1.849B,,12.28B,0.0,479.00M,2.822B,6.138B,480.00M,230.00M,10.15B,-4.058B,6.091B,,3.836B,3.836B,,,9.233B,19.16B,31.44B,4.403B,,,4.403B,709.00M,5.112B,4.531B,1.49B,6.021B,,6.021B,,,,11.13B,1.157B,,1.157B,402.00M,402.00M,,2.814B,4.373B,15.51B,875.00M,29.10B,4.928B,17.62B,,,,-1.348B,15.94B
2004-09,5.365B,155.00M,5.52B,1.985B,1.985B,,,,1.414B,1.501B,,10.42B,0.0,456.00M,2.738B,6.621B,456.00M,,10.27B,-4.10B,6.171B,,3.718B,3.718B,,,8.991B,18.88B,29.30B,4.021B,,,4.021B,862.00M,4.883B,3.946B,1.384B,5.33B,,5.33B,,,,10.21B,1.188B,,1.188B,317.00M,317.00M,,2.628B,4.133B,14.35B,875.00M,28.51B,4.837B,17.30B,,,,-1.963B,14.95B
2004-06,5.042B,139.00M,5.181B,2.14B,2.14B,,,,1.491B,1.70B,,10.51B,0.0,460.00M,2.759B,6.595B,477.00M,,10.29B,-3.985B,6.306B,,4.084B,4.084B,,,8.943B,19.33B,29.84B,4.198B,,,4.198B,1.124B,5.322B,3.962B,794.00M,4.756B,,4.756B,,,,10.08B,1.796B,,1.796B,325.00M,325.00M,,2.643B,4.764B,14.84B,875.00M,28.18B,4.731B,16.84B,,,,-1.944B,15.00B
2004-03,4.294B,138.00M,4.432B,2.019B,2.019B,,,,1.391B,1.785B,,9.627B,0.0,471.00M,2.809B,6.601B,490.00M,,10.37B,-3.927B,6.444B,,4.14B,4.14B,,,8.956B,19.54B,29.17B,4.03B,,,4.03B,1.085B,5.115B,3.829B,24.00M,3.853B,,3.853B,,,,8.968B,2.614B,,2.614B,350.00M,350.00M,,2.573B,5.537B,14.50B,874.00M,27.20B,4.582B,16.38B,,,,-1.619B,14.66B
2003-12,3.362B,120.00M,3.482B,2.091B,2.091B,,,,1.252B,1.571B,,8.396B,0.0,419.00M,2.615B,6.159B,429.00M,,9.622B,-3.525B,6.097B,,3.989B,3.989B,,,8.86B,18.95B,27.34B,4.058B,,,4.058B,922.00M,4.98B,2.583B,323.00M,2.906B,,2.906B,,,,7.886B,2.517B,,2.517B,337.00M,337.00M,,2.512B,5.366B,13.25B,874.00M,26.69B,4.395B,15.87B,,,,-1.995B,14.09B
2003-09,3.656B,191.00M,3.847B,2.142B,2.142B,,,,1.293B,1.762B,,9.044B,0.0,396.00M,2.495B,6.252B,385.00M,,9.528B,-3.464B,6.064B,,3.955B,3.955B,,,8.344B,18.36B,27.41B,4.663B,,,4.663B,859.00M,5.522B,2.762B,307.00M,3.069B,,3.069B,,,,8.591B,2.479B,,2.479B,397.00M,397.00M,,2.415B,5.291B,13.88B,873.00M,26.30B,4.251B,15.32B,,,,-2.574B,13.52B
2003-06,3.324B,236.00M,3.56B,2.341B,2.341B,,,,1.458B,1.866B,,9.225B,0.0,422.00M,2.559B,6.278B,399.00M,,9.658B,-3.399B,6.259B,,4.074B,4.074B,,,8.391B,18.72B,27.95B,4.596B,,,4.596B,1.199B,5.795B,2.801B,485.00M,3.286B,,3.286B,,,,9.081B,2.55B,,2.55B,296.00M,296.00M,,2.488B,5.334B,14.42B,873.00M,25.62B,4.119B,14.88B,,,,-2.199B,13.53B
2003-03,3.015B,178.00M,3.193B,2.088B,2.088B,,,,1.363B,1.759B,,8.403B,0.0,398.00M,2.426B,6.111B,423.00M,,9.358B,-3.231B,6.127B,,3.851B,3.851B,,,7.941B,17.92B,26.32B,4.194B,,,4.194B,1.071B,5.265B,3.198B,188.00M,3.386B,,3.386B,,,,8.651B,2.76B,,2.76B,365.00M,365.00M,,2.411B,5.536B,14.19B,873.00M,24.80B,3.987B,14.71B,,,,-2.811B,12.14B
2002-12,2.26B,85.00M,2.345B,2.097B,2.097B,,,,1.294B,1.616B,,7.352B,0.0,385.00M,2.332B,5.888B,396.00M,,9.001B,-3.09B,5.911B,,3.458B,3.458B,,,7.685B,17.05B,24.41B,3.692B,,,3.692B,994.00M,4.686B,2.475B,180.00M,2.655B,,2.655B,,,,7.341B,2.701B,,2.701B,304.00M,304.00M,,2.26B,5.265B,12.61B,873.00M,24.51B,3.857B,14.39B,,,,-3.047B,11.80B
2002-09,2.647B,146.00M,2.793B,2.183B,2.183B,,,,1.287B,1.985B,,8.248B,0.0,357.00M,2.274B,5.712B,347.00M,,8.69B,-3.003B,5.687B,,3.524B,3.524B,,,7.841B,17.05B,25.30B,4.311B,,,4.311B,1.077B,5.388B,2.518B,205.00M,2.723B,,2.723B,,,,8.111B,2.835B,,2.835B,543.00M,543.00M,,2.199B,5.577B,13.69B,874.00M,24.28B,3.635B,14.16B,,,,-3.02B,11.61B
2002-06,2.671B,165.00M,2.836B,2.334B,2.334B,,,,1.385B,1.995B,,8.55B,0.0,349.00M,2.194B,5.469B,336.00M,,8.348B,-2.882B,5.466B,,3.429B,3.429B,,,7.842B,16.74B,25.29B,4.485B,,,4.485B,1.208B,5.693B,2.967B,203.00M,3.17B,,3.17B,,,,8.863B,2.774B,,2.774B,540.00M,540.00M,,1.759B,5.073B,13.94B,874.00M,23.61B,3.641B,13.99B,,,,-2.792B,11.35B
2002-03,2.268B,129.00M,2.397B,1.981B,1.981B,,,,1.254B,2.117B,,7.749B,0.0,342.00M,2.125B,5.228B,293.00M,,7.988B,-2.73B,5.258B,,3.258B,3.258B,,,7.424B,15.94B,23.69B,3.999B,,,3.999B,998.00M,4.997B,3.198B,202.00M,3.40B,,3.40B,,,,8.397B,2.478B,,2.478B,662.00M,662.00M,,1.624B,4.764B,13.16B,873.00M,22.82B,3.567B,13.86B,,,,-2.871B,10.53B
2001-12,1.866B,68.00M,1.934B,1.882B,1.882B,,,,1.055B,2.30B,,7.171B,0.0,217.00M,1.812B,4.881B,195.00M,,7.105B,-2.652B,4.453B,,2.579B,2.579B,,,8.214B,15.25B,22.42B,3.679B,,,3.679B,851.00M,4.53B,3.743B,156.00M,3.899B,,3.899B,,,,8.429B,1.219B,,1.219B,442.00M,442.00M,,961.00M,2.622B,11.05B,873.00M,23.44B,3.52B,13.68B,,,,-2.788B,11.37B
2001-09,2.495B,72.00M,2.567B,1.807B,1.807B,,,,1.14B,2.151B,,7.665B,0.0,246.00M,1.811B,4.912B,245.00M,,7.214B,-2.724B,4.49B,,2.223B,2.223B,,,8.287B,15.00B,22.66B,4.062B,,,4.062B,825.00M,4.887B,3.878B,3.00M,3.881B,,3.881B,,,,8.768B,1.399B,,1.399B,371.00M,371.00M,,1.043B,2.813B,11.58B,873.00M,22.98B,3.477B,13.62B,,,,-2.626B,11.08B
2001-06,2.599B,67.00M,2.666B,1.857B,1.857B,,,,1.196B,2.325B,,8.044B,0.0,223.00M,1.66B,4.59B,210.00M,,6.683B,-2.542B,4.141B,,2.074B,2.074B,,,8.128B,14.34B,22.39B,4.051B,,,4.051B,1.027B,5.078B,4.088B,4.00M,4.092B,,4.092B,,,,9.17B,1.356B,,1.356B,439.00M,439.00M,,1.015B,2.81B,11.98B,872.00M,22.35B,3.436B,13.53B,,,,-2.719B,10.41B
2001-03,2.616B,62.00M,2.678B,1.749B,1.749B,,,,1.12B,2.216B,,7.763B,0.0,222.00M,1.682B,4.598B,205.00M,,6.707B,-2.517B,4.19B,,1.914B,1.914B,,,8.381B,14.48B,22.25B,3.978B,,,3.978B,768.00M,4.746B,4.739B,6.00M,4.745B,,4.745B,,,,9.491B,1.359B,,1.359B,392.00M,392.00M,,1.006B,2.757B,12.25B,871.00M,21.68B,3.271B,13.36B,,,,-2.456B,10.00B
2000-12,1.819B,73.00M,1.892B,1.757B,1.757B,,,,1.066B,,1.905B,6.62B,0.0,225.00M,1.642B,4.547B,200.00M,,6.614B,-2.446B,4.168B,,1.917B,1.917B,,,8.129B,14.21B,20.83B,3.905B,,,3.905B,,3.905B,4.795B,21.00M,4.816B,,4.816B,,,600.00M,9.321B,835.00M,,835.00M,358.00M,358.00M,,1.004B,2.197B,11.52B,870.00M,21.26B,3.196B,13.29B,,,,-2.722B,9.316B
2000-09,2.945B,161.00M,3.106B,1.802B,1.802B,,,,1.101B,,1.99B,7.999B,0.0,225.00M,1.658B,4.714B,187.00M,,6.784B,-2.504B,4.28B,,1.953B,1.953B,,,8.909B,15.14B,23.14B,4.52B,,,4.52B,,4.52B,,,5.899B,,5.899B,,,672.00M,11.09B,851.00M,,851.00M,456.00M,456.00M,,895.00M,2.202B,13.29B,869.00M,21.45B,2.882B,13.29B,,,,-2.059B,9.848B
2000-06,2.843B,226.00M,3.069B,1.752B,1.752B,,,,1.194B,,2.095B,8.11B,0.0,220.00M,1.659B,4.629B,189.00M,,6.697B,-2.415B,4.282B,,1.953B,1.953B,,,8.913B,15.15B,23.26B,4.329B,,,4.329B,,4.329B,,,6.75B,,6.75B,,,758.00M,11.84B,852.00M,,852.00M,501.00M,501.00M,,884.00M,2.237B,14.07B,868.00M,20.80B,2.765B,13.28B,,,,-1.965B,9.184B
2000-03,2.454B,230.00M,2.684B,1.495B,1.495B,,,,1.223B,,2.023B,7.425B,0.0,218.00M,1.729B,4.498B,164.00M,,6.609B,-2.347B,4.262B,,1.959B,1.959B,,,8.577B,14.80B,22.22B,3.892B,,,3.892B,,3.892B,,,6.512B,,6.512B,,,723.00M,11.13B,853.00M,,853.00M,491.00M,491.00M,,850.00M,2.194B,13.32B,868.00M,20.30B,2.687B,13.27B,,,,-1.68B,8.902B
1999-12,1.611B,201.00M,1.812B,1.798B,1.798B,,,,1.076B,,1.794B,6.48B,0.0,215.00M,1.528B,4.527B,201.00M,,6.471B,-2.204B,4.267B,,1.96B,1.96B,,,8.916B,15.14B,21.62B,3.714B,,,3.714B,,3.714B,,,5.373B,,5.373B,,,769.00M,9.856B,854.00M,,854.00M,498.00M,498.00M,,902.00M,2.254B,12.11B,867.00M,20.77B,2.584B,13.16B,,,,-1.551B,9.513B
1999-09,1.502B,135.00M,1.637B,1.871B,1.871B,,,,882.00M,,1.734B,6.124B,0.0,214.00M,1.648B,4.622B,207.00M,,6.691B,-2.252B,4.439B,,1.992B,1.992B,,,9.191B,15.62B,21.75B,3.521B,,,3.521B,,3.521B,,,5.218B,,5.218B,,,947.00M,9.686B,1.108B,,1.108B,603.00M,603.00M,,881.00M,2.592B,12.28B,866.00M,21.21B,2.477B,13.15B,,,,-1.935B,9.468B
1999-06,2.213B,151.00M,2.364B,1.913B,1.913B,,,,937.00M,,1.91B,7.124B,0.0,207.00M,1.58B,4.457B,195.00M,,6.439B,-2.163B,4.276B,,802.00M,802.00M,,,9.015B,14.09B,21.22B,3.228B,,,3.228B,,3.228B,,,5.103B,,5.103B,,,1.211B,9.542B,1.104B,,1.104B,566.00M,566.00M,,932.00M,2.602B,12.14B,866.00M,20.82B,2.452B,13.15B,,,,-1.913B,9.073B
1999-03,1.593B,161.00M,1.754B,,1.601B,,,,931.00M,,1.966B,6.252B,,,,,,,6.228B,-2.091B,4.137B,,762.00M,762.00M,,,8.331B,13.23B,19.48B,2.932B,,,2.932B,,2.932B,,,4.959B,,4.959B,,,942.00M,8.833B,694.00M,,694.00M,555.00M,555.00M,,912.00M,2.161B,10.99B,,20.27B,,,,,,,8.488B
1998-12,1.648B,159.00M,1.807B,1.666B,1.666B,,,,890.00M,,2.017B,6.38B,,,,,,,5.685B,-2.016B,3.669B,,547.00M,547.00M,,,8.549B,12.76B,19.14B,3.141B,,,3.141B,,3.141B,,,4.462B,,4.462B,,,1.037B,8.64B,687.00M,,687.00M,424.00M,424.00M,,991.00M,2.102B,10.74B,,19.92B,,,,,,,8.403B
1998-09,1.746B,83.00M,1.829B,,1.594B,,,,900.00M,,1.673B,5.996B,,,,,,,5.623B,-2.057B,3.566B,,613.00M,613.00M,,,7.696B,11.88B,17.87B,2.863B,,,2.863B,,2.863B,,,3.935B,,3.935B,,,1.042B,7.84B,688.00M,,688.00M,540.00M,540.00M,,942.00M,2.17B,10.01B,,19.69B,,,,,,,7.861B
1998-06,2.027B,126.00M,2.153B,,1.706B,,,,919.00M,,2.152B,6.93B,,,,,,,5.445B,-1.989B,3.456B,,615.00M,615.00M,,,7.255B,11.33B,18.26B,2.77B,,,2.77B,,2.77B,,,3.971B,,3.971B,,,1.264B,8.005B,686.00M,,686.00M,547.00M,547.00M,,1.033B,2.266B,10.27B,,19.18B,,,,,,,7.985B
