,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-09,8.426B,8.426B,2.918B,5.508B,,,3.064B,-12.00M,80.00M,93.00M,13.00M,100.00M,3.164B,2.344B,93.00M,80.00M,13.00M,343.00M,13.00M,2.70B,633.00M,2.067B,,,-12.00M,,2.055B,2.064B,3.103B,323.00M,2.78B,0.445,0.0,,0.447,0.445,0.44,0.0,,0.442,0.44,4.62B,4.672B,0.22
2010-06,8.674B,8.674B,2.955B,5.719B,,,2.878B,18.00M,81.00M,67.00M,-14.00M,78.00M,2.956B,2.763B,67.00M,81.00M,-14.00M,374.00M,-14.00M,3.123B,741.00M,2.382B,,,-13.00M,,2.369B,2.355B,3.52B,316.00M,3.204B,0.515,0.0,,0.512,0.515,0.51,0.0,,0.507,0.51,4.612B,4.65B,0.22
2010-03,7.525B,7.525B,2.541B,4.984B,,,2.705B,-115.00M,85.00M,60.00M,-25.00M,96.00M,2.801B,2.183B,60.00M,85.00M,-25.00M,21.00M,-25.00M,2.179B,553.00M,1.626B,,,-12.00M,,1.614B,1.700B,2.559B,295.00M,2.264B,0.35,0.0,,0.3686,0.35,0.345,0.0,,0.3634,0.345,4.608B,4.654B,0.22
2009-12,7.51B,7.51B,2.651B,4.859B,,,2.978B,27.00M,84.00M,65.00M,-19.00M,101.00M,3.079B,1.78B,65.00M,84.00M,-19.00M,199.00M,-19.00M,1.96B,382.00M,1.578B,,,-35.00M,,1.543B,1.521B,2.375B,331.00M,2.044B,0.335,0.0,,0.3303,0.335,0.33,0.0,,0.3254,0.33,4.628B,4.688B,0.205
2009-09,8.044B,8.044B,2.934B,5.11B,,,2.912B,33.00M,89.00M,67.00M,-22.00M,48.00M,2.96B,2.15B,67.00M,89.00M,-22.00M,315.00M,-22.00M,2.443B,523.00M,1.92B,,,-24.00M,,1.896B,1.870B,2.852B,320.00M,2.532B,0.41,0.0,,0.4044,0.41,0.405,0.0,,0.3994,0.405,4.632B,4.664B,0.205
2009-06,8.267B,8.267B,2.913B,5.354B,,,2.844B,20.00M,97.00M,57.00M,-40.00M,72.00M,2.916B,2.438B,57.00M,97.00M,-40.00M,330.00M,-40.00M,2.728B,679.00M,2.049B,,,-12.00M,,2.037B,2.022B,3.127B,302.00M,2.825B,0.44,0.0,,0.4368,0.44,0.44,0.0,,0.4368,0.44,4.626B,4.646B,0.205
2009-03,7.169B,7.169B,2.59B,4.579B,,,2.624B,-40.00M,85.00M,60.00M,-25.00M,92.00M,2.716B,1.863B,60.00M,85.00M,-25.00M,-23.00M,-25.00M,1.815B,456.00M,1.359B,,,-11.00M,,1.348B,1.378B,2.183B,283.00M,1.90B,0.29,0.0,,0.2965,0.29,0.29,0.0,,0.2965,0.29,4.626B,4.638B,0.205
2008-12,7.126B,7.126B,2.568B,4.558B,,,2.744B,-79.00M,121.00M,94.00M,-27.00M,108.00M,2.852B,1.706B,94.00M,121.00M,-27.00M,-519.00M,-27.00M,1.16B,155.00M,1.005B,,,-10.00M,,995.00M,1.063B,1.566B,285.00M,1.281B,0.215,0.0,,0.2298,0.215,0.215,0.0,,0.2297,0.215,4.624B,4.642B,0.19
2008-09,8.393B,8.393B,3.02B,5.373B,,,3.139B,17.00M,111.00M,105.00M,-6.00M,47.00M,3.186B,2.187B,105.00M,111.00M,-6.00M,289.00M,-6.00M,2.47B,555.00M,1.915B,,,-25.00M,,1.89B,1.877B,2.887B,306.00M,2.581B,0.41,0.0,,0.4071,0.41,0.405,0.0,,0.4022,0.405,4.622B,4.658B,0.19
2008-06,9.046B,9.046B,3.162B,5.884B,,,3.095B,101.00M,89.00M,69.00M,-20.00M,110.00M,3.205B,2.679B,69.00M,89.00M,-20.00M,-742.00M,-20.00M,1.917B,474.00M,1.443B,,,-21.00M,,1.422B,1.346B,2.336B,330.00M,2.006B,0.305,0.0,,0.2886,0.305,0.305,0.0,,0.2888,0.305,4.632B,4.686B,0.19
2008-03,7.379B,7.379B,2.624B,4.755B,,,2.796B,,117.00M,65.00M,-52.00M,85.00M,2.881B,1.874B,65.00M,117.00M,-52.00M,137.00M,-52.00M,1.959B,448.00M,1.511B,,,-11.00M,,1.50B,1.50B,2.383B,307.00M,2.076B,0.325,0.0,,0.325,0.325,0.32,0.0,,0.32,0.32,4.644B,4.702B,0.19
2007-12,7.331B,7.331B,2.641B,4.69B,,,3.039B,125.00M,,,,125.00M,3.164B,1.526B,,,,296.00M,,1.623B,409.00M,1.214B,,,,,1.214B,1.121B,2.972B,369.00M,2.603B,0.265,0.0,,0.2448,0.265,0.26,0.0,,0.2401,0.26,4.632B,4.692B,0.17
2007-09,7.69B,7.69B,2.884B,4.806B,,,2.896B,-16.00M,,,,81.00M,2.977B,1.829B,,,,271.00M,,2.113B,459.00M,1.654B,,,,,1.654B,1.667B,2.108B,279.00M,1.829B,0.36,0.0,,0.3627,0.36,0.355,0.0,,0.3577,0.355,4.622B,4.662B,0.17
2007-06,7.733B,7.733B,2.736B,4.997B,,,2.685B,-46.00M,,,,42.00M,2.727B,2.27B,,,,144.00M,,2.408B,557.00M,1.851B,,,,,1.851B,1.886B,2.544B,274.00M,2.27B,0.4,0.0,,0.4076,0.4,0.4,0.0,,0.4076,0.4,4.624B,4.652B,0.17
2007-03,6.103B,6.103B,2.145B,3.958B,,,2.325B,110.00M,,,,6.00M,2.331B,1.627B,,,,130.00M,,1.729B,467.00M,1.262B,,,,,1.262B,1.182B,1.868B,241.00M,1.627B,0.275,0.0,,0.2577,0.275,0.27,0.0,,0.2527,0.27,4.628B,4.642B,0.17
2006-12,5.932B,5.932B,2.063B,3.869B,,,2.657B,147.00M,,,,,2.657B,1.212B,,,,-320.00M,,886.00M,208.00M,678.00M,,,,,678.00M,565.51M,1.484B,272.00M,1.212B,0.145,0.0,,0.1209,0.145,0.145,0.0,,0.1209,0.145,4.666B,4.676B,0.155
2006-09,6.454B,6.454B,2.265B,4.189B,,,2.527B,-55.00M,,,,,2.527B,1.662B,,,,176.00M,,1.826B,366.00M,1.46B,,,,,1.46B,1.504B,1.895B,233.00M,1.662B,0.31,0.0,,0.3194,0.31,0.31,0.0,,0.3194,0.31,4.684B,4.686B,0.155
2006-06,6.476B,6.476B,2.11B,4.366B,,,2.327B,116.00M,,,,,2.327B,2.039B,,,,368.00M,,2.391B,555.00M,1.836B,,,,,1.836B,1.747B,2.263B,224.00M,2.039B,0.39,0.0,,0.371,0.39,0.39,0.0,,0.3711,0.39,4.70B,4.704B,0.155
2006-03,5.226B,5.226B,1.771B,3.455B,,,2.06B,-13.00M,,,,45.00M,2.105B,1.35B,,,,73.00M,,1.475B,369.00M,1.106B,,,,,1.106B,1.116B,1.559B,209.00M,1.35B,0.235,0.0,,0.2371,0.235,0.235,0.0,,0.2371,0.235,4.73B,4.732B,0.155
2005-12,5.551B,5.551B,1.996B,3.555B,,,2.293B,-27.00M,,,,,2.293B,1.262B,,,,100.00M,,1.373B,509.00M,864.00M,,,,,864.00M,880.99M,1.518B,256.00M,1.262B,0.185,0.0,,0.1886,0.185,0.185,0.0,,0.1886,0.185,4.754B,4.754B,0.14
2005-09,6.037B,6.037B,2.235B,3.802B,,,2.31B,-34.00M,,,,,2.31B,1.492B,,,,161.00M,,1.653B,370.00M,1.283B,,,,,1.283B,1.309B,1.719B,227.00M,1.492B,0.27,0.0,,0.2755,0.27,0.27,0.0,,0.2755,0.27,4.768B,4.77B,0.14
2005-06,6.31B,6.31B,2.146B,4.164B,,,2.192B,-15.00M,,,,,2.192B,1.972B,,,,252.00M,,2.216B,493.00M,1.723B,,,,,1.723B,1.735B,2.195B,223.00M,1.972B,0.36,0.0,,0.3624,0.36,0.36,0.0,,0.3624,0.36,4.798B,4.802B,0.14
2005-03,5.206B,5.206B,1.818B,3.388B,,,2.029B,6.00M,,,,,2.029B,1.359B,,,,97.00M,,1.448B,446.00M,1.002B,,,,,1.002B,997.85M,1.585B,226.00M,1.359B,0.21,0.0,,0.2091,0.21,0.21,0.0,,0.2091,0.21,4.818B,4.82B,0.14
2004-12,5.204B,5.204B,1.813B,3.391B,,,2.044B,-43.00M,,,,,2.044B,1.347B,,,,82.00M,,1.422B,221.00M,1.201B,,,,,1.201B,1.237B,1.61B,263.00M,1.347B,0.25,0.0,,0.2575,0.25,0.25,0.0,,0.2575,0.25,4.822B,4.828B,0.125
