,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2008-03,77.00M,,77.00M,2.009B,,2.009B,483.00M,,,,865.00M,3.434B,,,19.00B,-7.511B,11.49B,,,2.067B,,,,,6.155B,19.71B,23.15B,1.015B,86.00M,1.101B,1.791B,2.892B,,1.01B,,1.01B,,,3.902B,,6.645B,,6.645B,1.898B,105.00M,,,,41.00M,,,6.75B,17.14B,0.00,2.92B,3.166B,,-121.00M,5.965B
2007-12,123.00M,,123.00M,2.172B,,2.172B,633.00M,,,,1.063B,3.991B,,,18.81B,-7.401B,11.41B,,,2.062B,,,,,6.281B,19.75B,23.74B,1.189B,87.00M,1.276B,1.407B,2.683B,,1.538B,,1.538B,,,4.221B,,6.93B,41.00M,6.971B,1.932B,108.00M,,,,48.00M,,,7.079B,17.84B,0.00,2.79B,3.176B,,-113.00M,5.853B
2007-09,249.00M,,249.00M,1.265B,,1.265B,756.00M,,,,1.459B,3.729B,,,18.83B,-7.496B,11.34B,,,2.07B,,,,,6.689B,20.10B,23.83B,952.00M,87.00M,1.039B,1.391B,2.43B,,1.535B,,1.535B,,,3.965B,,6.917B,44.00M,6.961B,1.85B,111.00M,,,,38.00M,,,7.072B,18.09B,3.181B,2.634B,,,-118.00M,5.697B
2007-06,1.136B,,1.136B,1.698B,,1.698B,710.00M,,,,792.00M,4.336B,,,19.02B,-7.564B,11.46B,,,2.115B,,,,,6.047B,19.62B,23.96B,1.344B,91.00M,1.435B,1.513B,2.948B,,1.204B,,1.204B,,,4.152B,,7.229B,75.00M,7.304B,1.675B,113.00M,,,,47.00M,,,7.417B,18.02B,3.311B,2.70B,,,-122.00M,5.889B
2007-03,144.00M,,144.00M,1.837B,,1.837B,569.00M,,,,990.00M,3.54B,,,19.49B,-7.869B,11.62B,,,2.146B,,,,,6.129B,19.90B,23.44B,1.051B,94.00M,1.145B,1.524B,2.669B,,1.318B,,1.318B,,,3.987B,,7.298B,80.00M,7.378B,1.567B,117.00M,,,,44.00M,,,7.495B,17.58B,0.00,2.602B,3.439B,,-225.00M,5.816B
2006-12,293.00M,,293.00M,1.495B,,1.495B,715.00M,,,,1.458B,3.961B,,,19.22B,-7.773B,11.45B,,,2.129B,,,,,6.244B,19.82B,23.78B,1.145B,94.00M,1.239B,1.44B,2.679B,,1.485B,,1.485B,,,4.164B,,7.392B,82.00M,7.474B,1.585B,120.00M,,,,42.00M,,,7.594B,17.89B,3.467B,2.593B,,,-211.00M,5.849B
2006-09,65.00M,,65.00M,1.609B,,1.787B,809.00M,,,,1.049B,3.71B,,,18.84B,-7.677B,11.16B,,,2.057B,,,,,5.384B,18.61B,22.32B,909.00M,92.00M,1.001B,1.586B,2.587B,,1.246B,,1.246B,,,3.833B,,6.909B,84.00M,6.993B,1.485B,122.00M,,,,41.00M,289.00M,,7.404B,16.41B,3.48B,2.574B,,,-190.00M,5.864B
2006-06,76.00M,,76.00M,1.60B,,1.814B,665.00M,,,,971.00M,3.526B,,,18.66B,-7.603B,11.06B,,,2.057B,,,,,5.579B,18.69B,22.22B,1.004B,92.00M,1.096B,1.046B,2.142B,,1.512B,,1.512B,,,3.654B,,7.141B,85.00M,7.226B,1.418B,125.00M,,,,43.00M,289.00M,,7.64B,16.46B,3.468B,2.478B,,,-231.00M,5.715B
2006-03,75.00M,,75.00M,1.883B,,2.18B,457.00M,,,,1.068B,3.78B,,,18.76B,-7.845B,10.92B,,,2.057B,,,,,5.623B,18.60B,22.38B,1.09B,92.00M,1.182B,1.661B,2.843B,,1.34B,,1.34B,,,4.183B,,6.631B,84.00M,6.715B,1.572B,128.00M,,,,17.00M,289.00M,,7.132B,16.50B,3.466B,2.602B,,,-210.00M,5.858B
2005-12,88.00M,,88.00M,2.123B,,2.581B,668.00M,,,,1.345B,4.682B,,,18.66B,-7.83B,10.83B,,,2.057B,,,,,5.766B,18.65B,23.34B,1.187B,92.00M,1.279B,2.007B,3.286B,,1.634B,,1.634B,,,4.92B,,6.704B,87.00M,6.791B,1.527B,131.00M,,,,92.00M,289.00M,,7.211B,17.47B,3.483B,2.557B,,,-271.00M,5.769B
2005-09,91.00M,,91.00M,2.223B,,2.448B,850.00M,,,,1.597B,4.986B,,,18.30B,-7.705B,10.59B,,,2.049B,,,,,6.086B,18.73B,23.71B,1.28B,92.00M,1.372B,2.641B,4.013B,,1.763B,,1.763B,,,5.776B,,6.449B,59.00M,6.508B,1.416B,134.00M,,,,94.00M,289.00M,,6.931B,18.19B,3.481B,2.267B,,,-317.00M,5.431B
2005-06,86.00M,,86.00M,1.573B,,1.805B,670.00M,,,,786.00M,3.347B,,,18.12B,-7.619B,10.50B,,,2.064B,,,,,5.912B,18.48B,21.82B,979.00M,90.00M,1.069B,1.55B,2.619B,,1.379B,,1.379B,,,3.998B,,6.639B,61.00M,6.70B,1.387B,137.00M,,,,120.00M,289.00M,,7.126B,16.26B,3.307B,2.355B,,,-218.00M,5.444B
2005-03,60.00M,,60.00M,1.567B,,1.861B,514.00M,,,,756.00M,3.191B,,,18.13B,-7.607B,10.52B,,,2.067B,,,,,5.761B,18.35B,21.54B,863.00M,90.00M,953.00M,1.464B,2.417B,,786.00M,,786.00M,,,3.203B,,7.189B,63.00M,7.252B,1.304B,140.00M,,,,128.00M,289.00M,,7.681B,15.89B,3.309B,2.415B,,,-195.00M,5.529B
2004-12,56.00M,,56.00M,1.263B,,1.641B,668.00M,,,,631.00M,2.996B,,,18.01B,-7.52B,10.49B,,,2.067B,,,,,5.743B,18.30B,21.30B,892.00M,90.00M,982.00M,1.11B,2.092B,,917.00M,,917.00M,,,3.009B,,7.251B,66.00M,7.317B,1.267B,143.00M,,,,132.00M,289.00M,,7.749B,15.62B,3.323B,2.383B,,,-158.00M,5.548B
2004-09,74.00M,,74.00M,1.299B,,1.473B,727.00M,,,,630.00M,2.904B,,,18.10B,-7.699B,10.40B,,,2.064B,,,,,5.824B,18.29B,21.19B,691.00M,90.00M,781.00M,1.20B,1.981B,,992.00M,,992.00M,,,2.973B,,7.268B,70.00M,7.338B,1.218B,147.00M,,,,115.00M,289.00M,,7.774B,15.60B,3.312B,2.36B,,,-192.00M,5.48B
2004-06,75.00M,,75.00M,1.323B,,1.535B,551.00M,,,,566.00M,2.727B,,,17.97B,-7.59B,10.38B,,,2.063B,,,,,5.845B,18.28B,21.01B,701.00M,90.00M,791.00M,1.146B,1.937B,,830.00M,,830.00M,,,2.767B,,7.299B,71.00M,7.37B,1.243B,150.00M,,,,145.00M,289.00M,,7.809B,15.38B,3.30B,2.356B,,,-167.00M,5.489B
2004-03,64.00M,,64.00M,1.478B,,1.744B,369.00M,,,,531.00M,2.708B,,,17.81B,-7.474B,10.33B,,,2.064B,,,,,5.77B,18.17B,20.87B,652.00M,89.00M,741.00M,1.237B,1.978B,,1.096B,,1.096B,,,3.074B,,7.061B,73.00M,7.134B,1.256B,153.00M,,,,159.00M,186.00M,,7.473B,15.15B,3.288B,2.406B,,,-131.00M,5.563B
2003-12,54.00M,,54.00M,1.215B,,1.531B,629.00M,,,,498.00M,2.712B,,,17.68B,-7.355B,10.32B,,,2.067B,,,,,5.65B,18.04B,20.75B,625.00M,87.00M,712.00M,1.265B,1.977B,,847.00M,,847.00M,,,2.824B,,7.305B,75.00M,7.38B,1.144B,156.00M,,,,156.00M,289.00M,,7.825B,15.31B,3.109B,2.308B,,,-130.00M,5.287B
2003-09,90.00M,,90.00M,1.154B,,1.341B,766.00M,,,,560.00M,2.757B,,,17.63B,-7.961B,9.67B,,,2.084B,,,,,5.425B,17.18B,19.94B,650.00M,91.00M,741.00M,1.065B,1.806B,,1.221B,,1.221B,,,3.027B,,7.622B,78.00M,7.70B,1.274B,159.00M,,,,,,,7.859B,14.86B,3.091B,2.168B,,,-185.00M,5.074B
2003-06,103.00M,,103.00M,1.30B,,1.49B,526.00M,,,,589.00M,2.708B,,,17.53B,-7.856B,9.678B,,,2.086B,,,,,5.55B,17.31B,20.02B,852.00M,91.00M,943.00M,1.112B,2.055B,,975.00M,,975.00M,,,3.03B,,7.398B,79.00M,7.477B,1.316B,162.00M,,,,,271.00M,,7.91B,15.09B,3.076B,2.08B,,,-221.00M,4.935B
2003-03,136.00M,,136.00M,1.506B,,1.728B,379.00M,,,,642.00M,2.885B,,,17.47B,-7.812B,9.658B,,,2.075B,,,,,5.411B,17.14B,20.03B,839.00M,90.00M,929.00M,1.248B,2.177B,,895.00M,,895.00M,,,3.072B,,7.368B,81.00M,7.449B,1.291B,165.00M,,,,,271.00M,,7.885B,14.96B,3.063B,2.206B,,,-197.00M,5.072B
2002-12,133.00M,,133.00M,1.139B,,1.435B,576.00M,,,,620.00M,2.764B,,,17.86B,-7.32B,10.54B,,,2.112B,,,,,4.567B,17.22B,19.98B,647.00M,90.00M,737.00M,1.022B,1.759B,,1.432B,,1.432B,,,3.191B,,7.432B,82.00M,7.514B,1.084B,168.00M,,,,128.00M,289.00M,,7.971B,15.29B,3.052B,2.132B,,,-619.00M,4.565B
2002-09,112.00M,,112.00M,1.093B,,1.295B,697.00M,,,,608.00M,2.712B,,,17.67B,-7.945B,9.722B,,,2.078B,,,,,4.721B,16.52B,19.23B,573.00M,90.00M,663.00M,1.057B,1.72B,,1.288B,,1.288B,,,3.008B,,7.482B,85.00M,7.567B,1.492B,172.00M,,,,,271.00M,,8.01B,14.25B,3.053B,2.013B,,,-81.00M,4.985B
2002-06,82.00M,,82.00M,1.228B,,1.439B,535.00M,,,,825.00M,2.881B,,,17.47B,-7.805B,9.663B,,,3.693B,,,,,3.267B,16.62B,19.50B,689.00M,89.00M,778.00M,1.181B,1.959B,,1.143B,,1.143B,,,3.102B,,7.526B,87.00M,7.613B,1.595B,175.00M,,,,,271.00M,,8.059B,14.62B,3.05B,1.941B,,,-111.00M,4.88B
2002-03,73.00M,,73.00M,1.175B,,1.416B,504.00M,,,,858.00M,2.851B,,,17.28B,-7.668B,9.607B,,,2.028B,,,,,5.004B,16.64B,19.49B,616.00M,87.00M,703.00M,1.20B,1.903B,,1.602B,,1.602B,,,3.505B,,7.24B,90.00M,7.33B,1.672B,178.00M,,,,,273.00M,,7.781B,14.81B,2.811B,1.96B,,,-94.00M,4.677B
2001-12,268.00M,,268.00M,1.006B,,1.248B,505.00M,,,,458.00M,2.479B,,,17.07B,-7.524B,9.549B,,,2.003B,,,,,4.85B,16.40B,18.88B,581.00M,84.00M,665.00M,964.00M,1.629B,,1.198B,,1.198B,,,2.827B,,7.565B,89.00M,7.654B,1.666B,180.00M,,,,,274.00M,,8.108B,14.29B,2.811B,1.846B,,,-68.00M,4.589B
2001-09,105.00M,,105.00M,1.12B,,1.288B,518.00M,,,,720.00M,2.631B,,,16.77B,-7.374B,9.392B,,,1.926B,,,,,4.826B,16.14B,18.78B,681.00M,88.00M,769.00M,1.049B,1.818B,,1.409B,,1.409B,,,3.227B,,7.104B,92.00M,7.196B,1.737B,183.00M,,,,,274.00M,,7.653B,14.26B,2.836B,1.739B,,,-58.00M,4.517B
2001-06,342.00M,,342.00M,1.122B,,1.32B,433.00M,,,,1.164B,3.259B,,,17.23B,-7.799B,9.43B,,,1.801B,,,,,5.03B,16.26B,19.52B,876.00M,89.00M,965.00M,1.318B,2.283B,,1.102B,,1.102B,,,3.385B,,7.25B,97.00M,7.347B,1.886B,1.886B,,,,,274.00M,,9.507B,14.90B,2.885B,1.814B,,,-82.00M,4.617B
2001-03,987.00M,,987.00M,609.00M,,791.00M,306.00M,,,,469.00M,2.553B,13.32B,106.00M,13.42B,-5.845B,7.577B,,,,,,,,3.752B,11.33B,13.88B,384.00M,73.00M,457.00M,828.00M,1.285B,,490.00M,,490.00M,,,1.775B,,5.316B,146.00M,5.462B,1.867B,1.867B,,,,,,,7.329B,10.04B,1.857B,2.049B,,,-61.00M,3.845B
2000-12,64.00M,,64.00M,650.00M,,838.00M,335.00M,,,,415.00M,1.652B,,,13.16B,-5.775B,7.387B,,,24.00M,,,,,3.593B,11.00B,12.66B,404.00M,73.00M,477.00M,770.00M,1.247B,,800.00M,,800.00M,,,2.047B,,3.894B,145.00M,4.039B,1.968B,167.00M,,,,,,,4.206B,8.647B,1.912B,2.097B,,,,4.009B
2000-09,46.00M,,46.00M,533.00M,,690.00M,323.00M,,,,335.00M,1.394B,12.92B,114.00M,13.03B,-5.704B,7.327B,,,,,,,,3.625B,10.95B,12.35B,231.00M,73.00M,304.00M,595.00M,899.00M,,878.00M,,878.00M,,,1.777B,,3.936B,106.00M,4.042B,1.802B,1.802B,,,,,,,5.844B,8.397B,1.918B,2.031B,,,,3.949B
2000-06,40.00M,,40.00M,563.00M,,756.00M,331.00M,,,,378.00M,1.505B,12.73B,209.00M,12.94B,-5.632B,7.303B,,,,,,,,3.709B,11.01B,12.52B,261.00M,73.00M,334.00M,624.00M,958.00M,,917.00M,,917.00M,,,1.875B,,3.992B,107.00M,4.099B,1.855B,1.855B,,,,,,,5.954B,8.60B,1.918B,1.999B,,,,3.917B
2000-03,25.00M,,25.00M,485.00M,,654.00M,325.00M,,,,356.00M,1.36B,12.74B,152.00M,12.89B,-5.671B,7.221B,,,,,,,,3.788B,11.01B,12.37B,243.00M,75.00M,318.00M,512.00M,830.00M,,700.00M,,700.00M,,,1.53B,,4.12B,111.00M,4.231B,1.886B,1.886B,,,,,,,6.117B,8.488B,1.918B,1.963B,,,,3.881B
1999-12,33.00M,,33.00M,388.00M,,554.00M,343.00M,,,,380.00M,1.31B,12.64B,106.00M,12.75B,-5.598B,7.148B,,,,,,,,3.858B,11.01B,12.32B,273.00M,75.00M,348.00M,524.00M,872.00M,,732.00M,,732.00M,,,1.604B,,3.938B,114.00M,4.052B,1.925B,1.925B,,,,,,,5.977B,8.407B,1.95B,1.959B,,,,3.909B
1999-09,54.00M,,54.00M,534.00M,,688.00M,308.00M,,,,404.00M,1.454B,12.46B,108.00M,12.57B,-5.507B,7.065B,,,,,,,,3.797B,10.86B,12.32B,215.00M,75.00M,290.00M,452.00M,742.00M,,949.00M,,949.00M,,,1.691B,,3.985B,118.00M,4.103B,1.902B,1.902B,,,,,,,6.005B,8.458B,1.95B,1.908B,,,,3.858B
1999-06,35.00M,,35.00M,453.00M,,656.00M,321.00M,,,,240.00M,1.252B,12.26B,200.00M,12.46B,-5.411B,7.049B,,,,,,,,3.88B,10.93B,12.18B,233.00M,75.00M,308.00M,424.00M,732.00M,,883.00M,,883.00M,,,1.615B,,3.963B,119.00M,4.082B,1.893B,1.893B,,,,,,,5.975B,8.41B,1.95B,1.821B,,,,3.771B
1999-03,41.00M,,41.00M,439.00M,,582.00M,313.00M,,,,268.00M,1.204B,12.13B,198.00M,12.32B,-5.336B,6.989B,,,,,,,,3.86B,10.85B,12.05B,187.00M,75.00M,262.00M,392.00M,654.00M,,870.00M,,870.00M,,,1.524B,,3.984B,124.00M,4.108B,1.846B,1.846B,,,,,,,5.954B,8.317B,1.95B,1.786B,,,,3.736B
1998-12,130.00M,,130.00M,451.00M,,604.00M,338.00M,,,,160.00M,1.232B,12.02B,156.00M,12.18B,-5.235B,6.943B,,,,,,,,3.913B,10.86B,12.09B,239.00M,75.00M,314.00M,435.00M,749.00M,,643.00M,,643.00M,,,1.392B,,4.197B,126.00M,4.323B,1.888B,1.888B,,,,,,,6.211B,8.39B,1.951B,1.747B,,,,3.698B
1998-09,181.00M,,181.00M,453.00M,,609.00M,340.00M,,,,57.00M,1.187B,15.89B,106.00M,15.99B,-6.841B,9.153B,,,,,,,,1.472B,10.62B,11.81B,284.00M,76.00M,360.00M,440.00M,800.00M,,682.00M,,682.00M,,,1.482B,,3.998B,131.00M,4.129B,2.229B,290.00M,,,,,,,4.419B,8.093B,1.999B,1.72B,,48.00M,,3.719B
1998-06,94.00M,,94.00M,401.00M,,568.00M,335.00M,,,,181.00M,1.178B,15.60B,22.00M,15.62B,-6.728B,8.897B,,,,,,,,1.52B,10.42B,11.60B,194.00M,76.00M,270.00M,596.00M,866.00M,,594.00M,,594.00M,,,1.46B,,3.835B,132.00M,3.967B,2.224B,294.00M,,,,,,,4.261B,7.934B,1.999B,1.662B,,48.00M,,3.661B
1998-03,123.00M,,123.00M,349.00M,,473.00M,292.00M,,,,101.00M,989.00M,15.49B,18.00M,15.51B,-6.602B,8.907B,,,,,,,,1.546B,10.45B,11.44B,146.00M,78.00M,224.00M,437.00M,661.00M,,588.00M,,588.00M,,,1.249B,,3.757B,135.00M,3.892B,2.25B,297.00M,,,,,,,4.189B,7.707B,2.095B,1.64B,,144.00M,,3.735B
