,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-09,1.654B,1.654B,452.00M,1.202B,,26.00M,71.00M,,,,742.00M,983.00M,219.00M,,,,26.00M,,137.00M,-43.00M,180.00M,-4.00M,,20.00M,,176.00M,164.40M,389.00M,170.00M,219.00M,1.07,-0.02,,,0.9771,1.05,1.06,-0.02,,,0.9671,1.04,168.00M,168.00M,0.515
2003-06,1.60B,1.60B,493.00M,1.107B,,23.00M,87.00M,,,,792.00M,1.059B,48.00M,,,,23.00M,,-24.00M,13.00M,-37.00M,-2.00M,,36.00M,,-39.00M,-50.80M,228.00M,180.00M,48.00M,-0.22,-0.01,,,-0.3021,-0.23,-0.22,-0.01,,,-0.3021,-0.23,168.00M,168.00M,0.515
2003-03,2.095B,2.095B,813.00M,1.282B,,-20.00M,97.00M,,,,771.00M,1.065B,217.00M,,,,-20.00M,,82.00M,-26.00M,108.00M,74.00M,-27.00M,16.00M,,155.00M,120.00M,418.00M,201.00M,217.00M,0.65,0.44,0.0,,0.7219,0.92,0.64,0.44,-0.1617,,0.7114,0.92,167.00M,168.00M,0.515
2002-12,1.664B,1.664B,435.00M,1.229B,,20.00M,77.00M,,,,842.00M,1.066B,163.00M,,,,20.00M,,89.00M,-68.00M,157.00M,,,,81.00M,203.00M,145.00M,332.00M,169.00M,163.00M,0.2721,0.2747,,,0.1985,0.5468,0.2721,0.21,,,0.2005,0.5468,163.00M,167.46M,0.515
2002-09,1.649B,1.649B,484.00M,1.165B,,-4.00M,91.00M,,,,578.00M,879.00M,286.00M,,,,-4.00M,,148.00M,-13.00M,161.00M,,,,6.00M,161.00M,163.40M,496.00M,210.00M,286.00M,0.96,0.0,,,0.9744,0.96,0.96,0.0,,,0.9743,0.96,167.00M,168.00M,0.515
2002-06,1.474B,1.474B,403.00M,1.071B,,1.00M,81.00M,,,,623.00M,884.00M,187.00M,,,,1.00M,,58.00M,-8.00M,66.00M,7.00M,,,5.00M,73.00M,65.40M,373.00M,186.00M,187.00M,0.38,0.04,,,0.3763,0.42,0.38,0.04,,,0.3763,0.42,161.00M,162.00M,0.515
2002-03,1.894B,1.894B,727.00M,1.167B,,-6.00M,93.00M,,,,551.00M,833.00M,334.00M,,,,-6.00M,,189.00M,-3.00M,192.00M,8.00M,,,,200.00M,195.60M,528.00M,194.00M,334.00M,1.2,0.05,,,1.222,1.25,1.19,0.05,,,1.212,1.24,161.00M,161.00M,0.515
2001-12,1.709B,1.709B,614.00M,1.095B,,8.00M,73.00M,,,,542.00M,798.00M,297.00M,,,,8.00M,,166.00M,-32.00M,198.00M,,0.00,,92.00M,218.00M,193.20M,493.00M,196.00M,297.00M,0.5571,0.1041,0.0,,0.5251,0.6798,0.5571,0.06,-0.0014,,0.5253,0.6798,150.00M,151.00M,0.515
2001-09,1.597B,1.597B,601.00M,996.00M,,-19.00M,74.00M,,,,483.00M,784.00M,212.00M,,,,-19.00M,,59.00M,-4.00M,63.00M,,,,,63.00M,74.40M,439.00M,227.00M,212.00M,0.38,0.0,,,0.4495,0.38,0.38,0.0,,,0.4492,0.38,163.92M,164.71M,0.515
2001-06,1.79B,1.79B,908.00M,882.00M,,5.00M,77.00M,,,,705.00M,970.00M,-88.00M,,,,5.00M,,-189.00M,-102.00M,-87.00M,,,,2.00M,-87.00M,-90.00M,100.00M,188.00M,-88.00M,-0.6,0.0,,,-0.6207,-0.6,-0.6,0.0,,,-0.6207,-0.6,145.00M,145.00M,0.515
2001-03,1.842B,1.842B,948.00M,894.00M,,-1.00M,81.00M,,,,385.00M,650.00M,244.00M,,,,-1.00M,,154.00M,19.00M,135.00M,,3.00M,,,138.00M,135.88M,428.00M,184.00M,244.00M,0.96,0.02,0.0,,0.9662,0.98,0.96,0.02,0.0211,,0.9662,0.98,141.87M,142.20M,0.515
2000-12,481.00M,481.00M,-365.00M,846.00M,,-17.00M,72.00M,,,,356.00M,606.00M,240.00M,,,,-17.00M,,147.00M,8.00M,139.00M,,,,,139.00M,155.07M,418.00M,139.00M,240.00M,0.9807,,,,1.093,0.9807,0.97,0.0,,,1.082,0.97,143.04M,143.35M,0.515
2000-09,1.547B,1.547B,747.00M,800.00M,,-6.00M,74.00M,,,,352.00M,628.00M,172.00M,,,,-6.00M,,80.00M,-24.00M,104.00M,,,,,104.00M,107.60M,374.00M,202.00M,172.00M,0.73,0.0,,,0.7553,0.73,0.73,0.0,,,0.7553,0.73,142.47M,142.47M,0.515
2000-06,1.428B,1.428B,579.00M,849.00M,,-1.00M,74.00M,,,,386.00M,646.00M,203.00M,,,,-1.00M,,120.00M,12.00M,108.00M,,,,,108.00M,108.90M,389.00M,186.00M,203.00M,0.76,0.0,,,0.7663,0.76,0.76,0.0,,,0.7663,0.76,143.00M,143.00M,0.515
2000-03,1.182B,1.182B,344.00M,838.00M,,-2.00M,76.00M,,,,355.00M,623.00M,215.00M,,,,-2.00M,,130.00M,13.00M,117.00M,,,,,117.00M,118.80M,407.00M,192.00M,215.00M,0.81,0.0,,,0.8224,0.81,0.81,0.0,,,0.8224,0.81,145.00M,145.00M,0.515
1999-12,1.114B,1.114B,272.00M,842.00M,,-5.00M,66.00M,,,,394.00M,648.00M,194.00M,,,,-5.00M,,109.00M,12.00M,97.00M,,,,,97.00M,101.45M,382.00M,188.00M,194.00M,0.6701,,,,0.7008,0.6701,0.67,0.0,,,0.7006,0.67,145.00M,145.18M,0.515
1999-09,1.44B,1.44B,510.00M,930.00M,,-4.00M,69.00M,,,,397.00M,649.00M,281.00M,,,,-4.00M,,182.00M,21.00M,161.00M,,,,,161.00M,164.54M,464.00M,183.00M,281.00M,1.11,0.0,,,1.1340000000000001,1.11,1.11,0.0,,,1.1340000000000001,1.11,145.00M,145.00M,0.515
1999-06,1.15B,1.15B,322.00M,828.00M,,-6.00M,71.00M,,,,364.00M,617.00M,211.00M,,,,-6.00M,,123.00M,13.00M,110.00M,,,,,110.00M,115.37M,393.00M,182.00M,211.00M,0.76,0.0,,,0.797,0.76,0.76,0.0,,,0.797,0.76,145.00M,145.00M,0.515
1999-03,1.024B,1.024B,231.00M,793.00M,,-3.00M,71.00M,,,,325.00M,578.00M,215.00M,,,,-3.00M,,129.00M,14.00M,115.00M,,,,,115.00M,117.67M,397.00M,182.00M,215.00M,0.79,0.0,,,0.8084,0.79,0.79,0.0,,,0.8084,0.79,145.06M,145.17M,0.515
1998-12,1.013B,1.013B,,,,,,,,,,,-2.271B,,,,,,,,106.00M,,,,,106.00M,106.00M,-2.271B,,-2.271B,0.7337,,,,0.7337,0.7337,0.73,0.0,,,0.73,0.73,145.26M,145.26M,0.515
1998-09,1.199B,1.199B,,,,,,,,,,,1.199B,,,,,,,,132.00M,,,,,132.00M,132.00M,1.199B,,1.199B,0.91,0.0,,,0.91,0.91,0.91,0.0,,,0.91,0.91,145.05M,145.05M,0.515
1998-06,1.064B,1.064B,,,,,,,,,,,1.064B,,,,,,,,101.00M,,,,,101.00M,101.00M,1.064B,,1.064B,0.69,0.0,,,0.69,0.69,0.69,0.0,,,0.69,0.69,146.38M,146.38M,0.515
