,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-03,2.635B,2.635B,1.948B,687.00M,,,,,,,,,687.00M,,,,,,650.00M,232.00M,418.00M,,,-5.00M,418.00M,86.00M,687.00M,,2002-03,0.765,0.765,0.765,,2002-03,0.735,0.735,0.735,,568.00M,0.265,,2002-03,,
2001-12,2.29B,2.29B,1.836B,454.00M,,,,,,,,,280.00M,,,,,,243.00M,96.00M,144.00M,,,-3.00M,144.00M,127.00M,280.00M,,2001-12,0.24,0.24,0.26,,2001-12,0.235,0.235,0.26,,575.76M,0.265,,2001-12,,
2001-09,2.407B,2.407B,2.095B,312.00M,,,,,,,,,312.00M,,,,,,272.00M,100.00M,168.00M,,,-4.00M,168.00M,128.00M,312.00M,,2001-09,0.31,0.31,0.31,,2001-09,0.29,0.29,0.29,,569.00M,0.265,,2001-09,,
2001-06,2.541B,2.541B,2.015B,526.00M,,,,,,,,,526.00M,,,,,,472.00M,179.00M,293.00M,,,-5.00M,293.00M,134.00M,526.00M,,2001-06,0.535,0.535,0.535,,2001-06,0.51,0.51,0.51,,574.00M,0.265,,2001-06,,
2001-03,2.594B,2.594B,1.949B,645.00M,,,,,,,,,645.00M,,,,,,593.00M,224.00M,369.00M,,,-5.00M,369.00M,131.00M,645.00M,,2001-03,0.665,0.665,0.665,,2001-03,0.635,0.635,0.635,,576.00M,0.25,,2001-03,,
2000-12,2.627B,2.627B,2.387B,240.00M,,,,,,,,-305.00M,545.00M,,,,,,494.00M,187.00M,286.00M,,,,286.00M,185.00M,545.00M,,2000-12,0.515,0.515,0.515,,2000-12,0.49,0.49,0.49,,574.00M,0.25,,2000-12,,
2000-09,2.535B,2.535B,1.916B,619.00M,,,,,,,,103.00M,516.00M,,,,,,460.00M,178.00M,282.00M,,,,282.00M,103.00M,516.00M,,2000-09,0.52,0.52,0.52,,2000-09,0.485,0.485,0.485,,572.00M,0.25,,2000-09,,
2000-06,2.481B,2.481B,1.875B,606.00M,,,,,,,,100.00M,506.00M,,,,,,444.00M,168.00M,276.00M,,,,276.00M,100.00M,506.00M,,2000-06,0.51,0.51,0.51,,2000-06,0.48,0.48,0.48,,566.00M,0.25,,2000-06,,
2000-03,2.665B,2.665B,1.953B,712.00M,,,,,,,,100.00M,612.00M,,,,,,557.00M,220.00M,337.00M,,,,337.00M,100.00M,612.00M,,2000-03,0.63,0.63,0.63,,2000-03,0.595,0.595,0.595,,560.00M,0.225,,2000-03,,
1999-12,2.334B,2.334B,2.004B,330.00M,,,,,,,,154.00M,176.00M,,,,,,116.00M,69.00M,47.00M,,,,47.00M,154.00M,176.00M,,1999-12,0.08,0.08,0.08,,1999-12,0.075,0.075,0.075,,537.08M,0.225,,1999-12,,
1999-09,2.227B,2.227B,1.703B,524.00M,,,,,,,,99.00M,425.00M,,,,,,372.00M,149.00M,223.00M,,,,223.00M,99.00M,425.00M,,1999-09,0.42,0.42,0.42,,1999-09,0.405,0.405,0.405,,540.00M,0.45,,1999-09,,
1999-06,2.245B,2.245B,1.81B,435.00M,,,4.00M,,,,,88.00M,347.00M,,,,4.00M,,296.00M,119.00M,177.00M,,,,177.00M,88.00M,347.00M,,1999-06,0.34,0.3354,0.34,,1999-06,0.315,0.3105,0.315,,538.00M,0.20,,1999-06,,
1999-03,2.351B,2.351B,1.742B,609.00M,,,7.00M,,,,,90.00M,519.00M,,,,7.00M,,466.00M,187.00M,279.00M,,,,279.00M,90.00M,519.00M,,1999-03,0.54,0.5319,0.54,,1999-03,0.515,0.5072,0.515,,541.75M,0.00,,1999-03,,
1998-12,1.945B,1.945B,1.519B,426.00M,,,,,,,,91.00M,335.00M,,,,,,297.00M,111.00M,186.00M,,,,186.00M,91.00M,335.00M,,1998-12,0.365,0.365,0.365,,1998-12,0.35,0.35,0.35,,510.18M,0.20,,1998-12,,
1998-09,1.719B,1.719B,1.324B,395.00M,,,5.00M,,,,,60.00M,335.00M,,,,5.00M,,307.00M,121.00M,186.00M,,,,186.00M,60.00M,335.00M,,1998-09,0.365,0.3591,0.365,,1998-09,0.345,0.3394,0.345,,539.13M,0.20,,1998-09,,
1998-06,1.75B,1.75B,1.339B,411.00M,,,7.00M,,,,,65.00M,346.00M,,,,7.00M,,320.00M,127.00M,193.00M,,,,193.00M,65.00M,346.00M,,1998-06,0.375,0.3668,0.375,,1998-06,0.36,0.3521,0.36,,536.11M,0.20,,1998-06,,
