,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2009-04,,1.494B,1.110B,2.604B,446.54M,446.54M,5.034M,0.056M,56.01M,61.10M,119.89M,,207.05M,,3.439B,0.0,176.13M,323.25M,624.02M,,114.79M,70.21M,1.308B,-500.48M,807.92M,680.99M,45.74M,726.73M,127.32M,,372.06M,,2.034B,5.473B,137.83M,4.732M,142.56M,394.48M,537.04M,,,,,,,1.014B,1.014B,128.72M,1.679B,1.265B,,1.265B,,701.65M,701.65M,164.50M,2.131B,3.810B,0.437M,1.622B,2.972B,2.927B,,,-5.158M,1.662B
2009-01,,1.708B,752.67M,2.461B,344.44M,344.44M,16.72M,0.071M,65.36M,82.16M,118.36M,2.281M,153.90M,,3.162B,,,,,,,,1.108B,-403.04M,705.15M,680.05M,51.50M,731.55M,,,391.63M,199.39M,2.028B,5.190B,122.92M,,122.92M,472.94M,595.86M,,,,,,,960.73M,960.73M,6.389M,1.563B,1.431B,,1.431B,,,,668.68M,2.099B,3.662B,0.435M,1.547B,2.910B,2.927B,,,-2.726M,1.527B
2008-10,,1.171B,1.127B,2.299B,362.32M,362.32M,14.92M,0.235M,63.06M,78.21M,139.14M,2.022M,165.85M,,3.046B,,,,,,,,1.121B,-403.04M,717.85M,680.05M,73.67M,753.72M,,,348.92M,211.83M,2.032B,5.078B,156.84M,,156.84M,314.87M,471.71M,,,,,,,919.91M,919.91M,5.559M,1.397B,1.330B,,1.330B,,,,811.32M,2.142B,3.539B,0.432M,1.623B,2.854B,2.927B,0.553M,-10.66M,-10.10M,1.540B
2008-07,,1.702B,419.26M,2.122B,432.51M,432.51M,8.315M,0.157M,55.00M,63.48M,118.15M,2.857M,126.25M,,2.865B,,,,,,,,1.124B,-403.04M,720.66M,680.05M,81.72M,761.78M,,,350.22M,285.01M,2.118B,4.983B,146.16M,,146.16M,290.30M,436.46M,,,,,,,914.03M,914.03M,3.815M,1.354B,1.541B,,1.541B,,,,650.80M,2.192B,3.547B,0.431M,1.574B,2.791B,2.927B,,,-1.212M,1.436B
2008-04,,936.48M,227.91M,1.164B,582.11M,582.11M,7.665M,0.271M,62.29M,70.22M,120.56M,2.953M,127.20M,,2.067B,0.0,176.13M,296.93M,533.31M,,90.47M,,1.097B,-403.04M,693.79M,680.05M,90.08M,770.13M,,,208.53M,331.10M,2.004B,4.071B,178.23M,,178.23M,357.26M,535.49M,,,,,,,872.36M,872.36M,6.245M,1.414B,172.60M,,172.60M,,,,783.95M,956.55M,2.371B,0.429M,1.536B,2.691B,2.527B,4.432M,-3.659M,0.773M,1.700B
2008-01,,776.36M,351.23M,1.128B,462.77M,462.77M,7.814M,0.464M,51.82M,60.10M,103.84M,65.76M,96.63M,,1.917B,,,,,,,,962.35M,-301.22M,661.13M,600.84M,62.58M,663.42M,,,225.58M,312.62M,1.863B,3.779B,119.87M,,119.87M,286.34M,406.20M,,,,28.79M,,28.79M,776.65M,776.65M,12.84M,1.224B,250.00M,,250.00M,,,,644.41M,894.41M,2.119B,0.343M,1.446B,2.674B,2.468B,,,8.54M,1.661B
2007-10,,625.71M,357.37M,983.08M,427.85M,427.85M,10.19M,0.009M,52.49M,62.69M,94.68M,84.03M,116.32M,,1.769B,,,,,,,,947.38M,-301.22M,646.16M,601.06M,69.32M,670.38M,,,167.88M,304.94M,1.789B,3.558B,119.10M,,119.10M,250.66M,369.76M,,,,47.77M,,47.77M,702.13M,702.13M,9.962M,1.130B,250.00M,,250.00M,,,,590.55M,840.55M,1.970B,0.426M,1.344B,2.563B,2.324B,4.52M,-0.719M,3.801M,1.588B
2007-07,,623.99M,706.27M,1.330B,403.16M,403.16M,18.10M,1.28M,38.64M,58.02M,86.70M,103.91M,106.81M,,2.089B,,,,,,,,930.35M,-301.22M,629.12M,601.06M,76.12M,677.17M,,,155.04M,5.242M,1.467B,3.555B,136.08M,,136.08M,197.26M,333.34M,,,,69.15M,,69.15M,663.86M,663.86M,5.675M,1.072B,,,,,,,,556.26M,1.628B,0.424M,1.261B,2.479B,1.824B,3.769M,7.068M,10.84M,1.927B
2007-04,,489.08M,819.70M,1.309B,591.32M,591.32M,19.43M,0.005M,35.45M,54.88M,56.76M,118.31M,110.74M,,2.241B,0.0,163.84M,269.20M,428.00M,,43.71M,,904.75M,-301.22M,603.52M,601.06M,83.01M,684.06M,,,126.45M,3.639M,1.418B,3.658B,144.11M,,144.11M,274.34M,418.46M,,,,85.11M,,85.11M,630.61M,630.61M,53.37M,1.188B,,,,,,,,481.91M,1.669B,0.422M,1.226B,2.381B,1.624B,3.321M,2.181M,5.502M,1.989B
2007-01,,490.22M,805.09M,1.295B,438.82M,438.82M,22.81M,0.972M,37.69M,61.47M,48.27M,126.01M,63.54M,,2.033B,,,,,,,,831.99M,-245.41M,586.58M,601.32M,89.99M,691.31M,,,,181.98M,1.460B,3.493B,124.26M,,124.26M,238.95M,363.21M,,,,123.95M,,123.95M,546.56M,546.56M,39.30M,1.073B,27.18M,,27.18M,,,,418.21M,445.39M,1.518B,0.419M,1.137B,2.262B,1.424B,1.69M,-2.522M,-0.832M,1.975B
2006-10,,523.34M,856.07M,1.379B,399.66M,399.66M,17.72M,0.174M,38.88M,56.78M,42.76M,124.75M,47.19M,,2.051B,,,,,,,,801.23M,-245.41M,555.82M,486.36M,64.69M,551.04M,,,,162.81M,1.270B,3.320B,109.39M,,109.39M,194.75M,304.14M,,,,122.92M,,122.92M,472.76M,472.76M,34.45M,934.27M,70.51M,,70.51M,,,,352.87M,423.38M,1.358B,0.414M,1.070B,2.077B,1.182B,1.253M,-4.054M,-2.801M,1.963B
2006-07,,442.33M,830.05M,1.272B,376.92M,376.92M,12.74M,2.575M,40.92M,56.24M,41.14M,135.14M,48.50M,,1.930B,,,,,,,,778.54M,-245.41M,533.12M,487.54M,69.87M,557.40M,,,,159.82M,1.250B,3.181B,99.93M,,99.93M,156.10M,256.03M,,,,163.35M,,163.35M,433.60M,433.60M,33.53M,886.51M,108.78M,,108.78M,,,,314.55M,423.33M,1.310B,0.41M,983.10M,1.933B,1.038B,,,-7.738M,1.871B
2006-04,,461.26M,861.64M,1.323B,415.30M,415.30M,17.23M,0.744M,46.48M,64.45M,43.54M,138.54M,48.50M,,2.033B,0.0,163.58M,218.34M,333.93M,,42.76M,,758.61M,-245.41M,513.19M,487.54M,75.05M,562.59M,,,,151.98M,1.228B,3.261B,101.28M,,101.28M,198.71M,299.99M,,,,166.21M,,166.21M,399.39M,399.39M,51.58M,917.16M,133.79M,,133.79M,,,,286.56M,420.35M,1.338B,0.408M,928.43M,1.873B,817.98M,1.283M,-61.65M,-60.36M,1.923B
2006-01,,188.12M,952.82M,1.141B,367.49M,367.49M,30.03M,,34.04M,64.07M,35.77M,,35.54M,,1.644B,,,,,,,,700.06M,-207.27M,492.79M,,573.52M,573.52M,,,,59.82M,1.126B,2.770B,99.72M,,99.72M,179.86M,279.58M,,,,,,,336.94M,336.94M,38.23M,654.75M,3.427M,,3.427M,,,,256.53M,259.96M,914.70M,0.402M,869.21M,1.744B,719.22M,,,-39.02M,1.855B
2005-10,,221.71M,887.89M,1.110B,325.86M,325.86M,18.48M,1.166M,24.47M,44.11M,30.44M,,35.56M,,1.546B,,,,,,,,672.85M,-207.27M,465.59M,,578.82M,578.82M,,,,60.49M,1.105B,2.650B,93.37M,,93.37M,146.73M,240.10M,,,,,,,307.01M,307.01M,28.76M,575.87M,3.441M,,3.441M,,,,227.55M,230.99M,806.86M,0.396M,792.82M,1.668B,573.64M,,,-44.00M,1.844B
2005-07,,231.58M,983.15M,1.215B,239.02M,239.02M,18.64M,1.063M,20.64M,40.34M,32.66M,,35.56M,,1.562B,,,,,,,,651.03M,-207.27M,443.76M,,321.64M,321.64M,,,,68.94M,834.35M,2.397B,80.58M,,80.58M,122.25M,202.83M,,,,,,,278.70M,278.70M,14.25M,495.79M,3.34M,,3.34M,,,,206.70M,210.04M,705.83M,0.386M,722.10M,1.419B,424.62M,,,-26.01M,1.691B
2005-04,,193.54M,976.42M,1.170B,296.88M,296.88M,15.78M,0.686M,22.51M,38.98M,32.47M,,37.58M,,1.576B,0.0,163.24M,143.65M,267.28M,,51.84M,,626.02M,-207.27M,418.75M,,313.26M,313.26M,,,,64.74M,796.76M,2.373B,83.57M,,83.57M,153.80M,237.37M,,,,,,,262.00M,262.00M,20.82M,520.19M,4.474M,,4.474M,,,,187.18M,191.65M,711.84M,0.381M,661.98M,1.347B,329.08M,,,-19.83M,1.661B
2005-01,,181.37M,925.06M,1.106B,234.34M,234.34M,14.77M,0.67M,22.59M,38.02M,35.76M,,34.26M,,1.449B,0.0,163.24M,143.04M,263.32M,,40.72M,,610.33M,-204.43M,405.91M,,315.18M,315.18M,,,,73.86M,794.94M,2.244B,68.50M,,68.50M,139.00M,207.50M,,,,,,,229.00M,229.00M,12.88M,449.37M,4.525M,,4.525M,,,,161.34M,165.86M,615.24M,0.379M,598.54M,1.320B,269.16M,,,-21.60M,1.629B
2004-10,,257.34M,664.39M,921.73M,219.28M,219.28M,10.61M,0.595M,24.15M,35.35M,32.22M,,24.24M,,1.233B,0.0,163.23M,139.51M,248.99M,,41.34M,,593.07M,-194.76M,398.31M,,317.97M,317.97M,,,,83.21M,799.48M,2.032B,57.77M,,57.77M,116.64M,174.42M,,,,,,,200.26M,200.26M,14.85M,389.53M,4.771M,,4.771M,,,,139.59M,144.36M,533.89M,0.37M,538.42M,1.199B,219.18M,,,-20.58M,1.498B
2004-07,,228.04M,598.60M,826.64M,199.75M,199.75M,13.16M,1.111M,20.44M,34.71M,39.29M,,24.72M,,1.125B,0.0,163.11M,137.62M,240.71M,,37.54M,,578.97M,-186.39M,392.59M,,320.75M,320.75M,,,,82.64M,795.98M,1.921B,51.69M,,51.69M,97.64M,149.33M,,,,,,,182.80M,182.80M,15.17M,347.30M,4.787M,,4.787M,,,,126.36M,131.14M,478.45M,0.367M,483.09M,1.167B,183.91M,,,-23.48M,1.443B
2004-04,,241.15M,566.82M,807.96M,193.94M,193.94M,13.30M,0.624M,20.19M,34.11M,29.06M,,24.16M,,1.089B,0.0,158.32M,136.05M,232.74M,,16.75M,,543.85M,-173.14M,370.72M,,323.53M,323.53M,,,,93.78M,788.03M,1.877B,52.72M,,52.72M,108.87M,161.59M,,,,,,,166.60M,166.60M,16.03M,344.22M,4.858M,,4.858M,,,,112.34M,117.20M,461.42M,0.364M,436.22M,1.138B,136.17M,,,-22.73M,1.416B
2004-01,,263.64M,514.46M,778.10M,194.27M,194.27M,18.44M,0.717M,19.55M,38.70M,26.04M,,44.39M,,1.082B,,,,,,,,489.57M,-122.82M,366.75M,,56.18M,56.18M,,,,62.88M,485.81M,1.567B,43.00M,,43.00M,99.23M,142.23M,,,,,,,142.26M,142.26M,5.809M,290.30M,,,,,,,,98.99M,389.28M,0.348M,399.78M,825.51M,44.86M,,,-2.737M,1.178B
2003-10,,315.06M,407.04M,722.10M,160.86M,160.86M,15.99M,1.818M,19.02M,36.83M,23.96M,,27.94M,,971.69M,,,,,,,,484.78M,-122.82M,361.96M,,56.85M,56.85M,,,,53.36M,472.16M,1.444B,41.05M,,41.05M,91.86M,132.92M,,,,,,,125.59M,125.59M,11.88M,270.38M,4.781M,,4.781M,,,,83.48M,88.26M,358.64M,0.345M,359.62M,771.62M,44.86M,,,-1.507M,1.085B
2003-07,,320.68M,329.43M,650.10M,142.29M,142.29M,18.57M,0.069M,18.05M,36.69M,24.22M,,27.91M,,881.22M,,,,,,,,486.50M,-122.82M,363.68M,,58.67M,58.67M,,,,53.79M,476.13M,1.357B,41.80M,,41.80M,85.60M,127.40M,,,,,,,110.25M,110.25M,22.98M,260.63M,3.254M,,3.254M,,,,79.04M,82.29M,342.92M,0.342M,311.21M,740.27M,34.83M,,,-2.562M,1.014B
2003-04,,284.16M,334.68M,618.84M,151.64M,151.64M,16.28M,0.537M,14.74M,31.56M,24.01M,,27.44M,,853.49M,0.0,158.32M,124.09M,176.75M,,26.53M,,485.68M,-122.82M,362.86M,,51.17M,51.17M,,,,51.65M,465.68M,1.319B,39.60M,,39.60M,84.49M,124.09M,,,,,,,110.67M,110.67M,30.26M,265.02M,,,,,,,,66.80M,331.82M,0.341M,284.14M,704.34M,,,,-1.459M,987.36M
2003-01,,230.09M,308.49M,538.58M,169.15M,169.15M,17.66M,1.544M,18.22M,37.42M,27.12M,,25.62M,,797.89M,,,,,,,,458.24M,-100.20M,358.05M,,53.74M,53.74M,,,,51.54M,463.33M,1.261B,38.12M,,38.12M,,38.12M,,,,,,,109.17M,109.17M,123.75M,271.04M,3.254M,,3.254M,,,,47.22M,50.47M,321.51M,0.339M,259.31M,682.09M,,,,-2.038M,939.71M
2002-10,,230.00M,270.84M,500.84M,154.81M,154.81M,16.23M,0.649M,14.80M,31.68M,27.17M,,28.07M,,742.57M,0.0,158.43M,121.32M,159.97M,,15.66M,,455.38M,-100.20M,355.18M,49.42M,5.682M,55.10M,,,,31.27M,441.56M,1.184B,46.20M,,46.20M,76.15M,122.34M,,,,,,,90.08M,90.08M,22.70M,235.12M,3.495M,,3.495M,,,,40.16M,43.65M,278.77M,0.337M,239.64M,667.78M,,,,-2.406M,905.35M
2002-07,,251.74M,227.10M,478.84M,140.39M,140.39M,16.73M,0.22M,11.33M,28.28M,24.98M,,32.12M,,704.61M,0.0,171.40M,84.82M,149.98M,,31.05M,,437.26M,-88.06M,349.20M,49.42M,7.046M,56.47M,,,,29.45M,435.12M,1.140B,40.78M,,40.78M,70.89M,111.67M,,,,,,,80.48M,80.48M,21.84M,214.00M,3.617M,,3.617M,,,,34.88M,38.50M,252.49M,0.337M,223.83M,667.15M,,,,-4.08M,887.24M
2002-04,,210.76M,243.37M,454.13M,146.51M,146.51M,11.87M,1.431M,10.55M,23.85M,22.11M,,32.53M,,679.13M,0.0,262.88M,12.30M,141.49M,,4.978M,,421.65M,-76.45M,345.20M,,58.62M,58.62M,,,,25.87M,429.68M,1.109B,40.24M,,40.24M,82.10M,122.35M,,,,,,,76.14M,76.14M,17.07M,215.56M,3.734M,,3.734M,,,,31.04M,34.77M,250.33M,0.335M,207.66M,656.62M,,,,-6.143M,858.48M
2002-01,,215.48M,188.10M,403.58M,139.03M,139.03M,10.81M,0.68M,15.91M,27.40M,22.47M,,37.26M,,629.73M,,,,,,,,136.44M,-40.78M,95.66M,,63.83M,63.83M,,,,267.15M,426.64M,1.056B,35.04M,,35.04M,75.40M,110.44M,,,,,,,64.70M,64.70M,17.68M,192.82M,0.33M,,0.33M,,,,25.42M,25.76M,218.58M,650.34M,199.89M,,,,,-12.44M,837.80M
2001-10,,177.76M,155.50M,333.26M,172.33M,172.33M,7.44M,0.297M,14.33M,22.07M,22.83M,,37.65M,,588.14M,,,,,,,,141.82M,-40.78M,101.03M,,69.06M,69.06M,,,,277.54M,447.63M,1.036B,48.58M,,48.58M,80.61M,129.19M,,,,,,,60.10M,60.10M,10.77M,200.07M,0.366M,,0.366M,,,,20.39M,20.76M,220.82M,634.00M,192.91M,,,,,-11.95M,814.95M
2001-07,,239.29M,129.38M,368.66M,155.17M,155.17M,11.55M,0.505M,11.70M,23.76M,28.10M,,35.74M,,611.43M,,,,,,,,141.57M,-40.78M,100.79M,,74.28M,74.28M,,,,223.66M,398.73M,1.010B,48.21M,,48.21M,55.90M,104.11M,,,,,,,54.28M,54.28M,16.05M,174.44M,,,,,,,,16.91M,191.35M,631.17M,204.12M,,,,,-16.48M,818.81M
2001-04,,271.93M,92.09M,364.02M,186.96M,186.96M,11.11M,0.56M,10.84M,22.50M,25.74M,,36.29M,,635.52M,0.0,,19.01M,125.01M,,,,144.02M,-40.78M,103.24M,,79.51M,79.51M,,,,217.99M,400.74M,1.036B,64.89M,,64.89M,73.72M,138.61M,,,,,,,58.32M,58.32M,21.84M,218.77M,0.149M,,0.149M,,,,12.88M,13.03M,231.80M,616.60M,204.63M,,,,,-16.78M,804.45M
2001-01,,214.38M,122.38M,336.76M,222.56M,222.56M,23.23M,2.537M,11.35M,37.12M,22.84M,,30.80M,,650.07M,,,,,,,,111.05M,-14.70M,96.35M,,84.74M,84.74M,,,,207.71M,388.80M,1.039B,80.72M,,80.72M,99.81M,180.53M,,,,,,,62.94M,62.94M,,243.48M,0.049M,,0.049M,6.074M,,6.074M,,6.123M,249.60M,598.91M,204.15M,,,,,-13.80M,789.27M
2000-10,,305.83M,142.24M,448.08M,161.92M,161.92M,10.38M,2.769M,9.714M,22.87M,21.96M,,25.48M,,680.29M,,,,,,,,107.61M,-26.02M,81.60M,,22.64M,22.64M,,,,72.83M,177.06M,857.35M,58.52M,,58.52M,101.04M,159.56M,,,,,,,45.91M,45.91M,,205.48M,0.052M,,0.052M,,,,,0.052M,205.53M,480.86M,170.08M,,,,,0.882M,651.82M
2000-07,,331.75M,105.20M,436.95M,138.20M,138.20M,9.347M,5.29M,8.229M,22.87M,14.93M,,16.85M,,629.80M,,,,,,,,87.75M,-21.96M,65.79M,,23.91M,23.91M,,,,9.66M,99.36M,729.15M,49.97M,,49.97M,66.42M,116.38M,,,,,,,31.65M,31.65M,,148.03M,0.054M,,0.054M,,,,,0.054M,148.09M,437.23M,134.72M,,,,,9.112M,581.07M
2000-04,,279.01M,74.48M,353.49M,108.90M,108.90M,9.23M,0.646M,10.56M,20.43M,27.96M,,22.22M,,533.00M,,,,,,,,62.65M,-14.70M,47.95M,,0.389M,0.389M,,,,10.90M,59.23M,592.23M,34.06M,,34.06M,55.68M,89.74M,,,,,,,22.90M,22.90M,0.507M,113.15M,0.054M,,0.054M,,,,0.279M,0.333M,113.49M,352.69M,129.75M,,,,,-3.693M,478.75M
2000-01,,231.42M,58.64M,290.05M,99.67M,99.67M,7.741M,4.253M,8.884M,20.88M,9.653M,,27.17M,,447.43M,,,,,,,,53.65M,-20.00M,33.65M,,,,,,,12.84M,46.49M,493.92M,21.99M,,21.99M,33.10M,55.09M,,,,,,,18.46M,18.46M,4.195M,77.75M,0.055M,,0.055M,,,,,0.055M,77.80M,312.14M,105.27M,,,,,-1.299M,416.11M
1999-10,,220.83M,51.67M,272.50M,78.75M,78.75M,3.239M,4.066M,10.24M,17.54M,6.29M,,20.13M,,395.21M,,,,,,,,47.12M,-20.04M,27.08M,,,,,,,12.01M,39.09M,434.30M,27.36M,,27.36M,27.60M,54.96M,,,,,,,13.22M,13.22M,0.46M,68.64M,0.052M,,0.052M,,,,,0.052M,68.69M,280.39M,85.47M,,,,,-0.249M,365.61M
1999-07,,230.02M,15.87M,245.89M,68.91M,68.91M,3.552M,2.186M,9.281M,15.02M,4.689M,,13.53M,,348.05M,,,,,,,,42.11M,-17.09M,25.02M,,,,,,,9.272M,34.29M,382.33M,22.40M,,22.40M,19.10M,41.51M,,,,,,,12.96M,12.96M,3.928M,58.40M,0.068M,,0.068M,,,,,0.068M,58.46M,254.51M,69.42M,,,,,-0.059M,323.87M
1999-04,,221.28M,5.80M,227.08M,57.16M,57.16M,5.316M,1.727M,6.538M,13.58M,7.384M,,10.13M,,315.35M,0.0,,3.104M,2.236M,28.62M,,,33.96M,-14.69M,19.27M,,,,,,,11.73M,31.00M,346.35M,15.13M,,15.13M,23.93M,39.06M,,,,,,,11.47M,11.47M,,50.53M,0.093M,,0.093M,,,,,0.093M,50.62M,240.09M,55.95M,,,,,-0.323M,295.72M
1999-01,,59.89M,8.15M,68.04M,50.74M,50.74M,4.41M,2.825M,4.516M,11.75M,3.235M,,9.963M,,143.72M,,,,,,,,29.94M,-12.74M,17.20M,,,,,,,11.72M,28.93M,172.65M,8.296M,,8.296M,19.03M,27.33M,,,,,,,8.078M,8.078M,1.384M,36.79M,0.116M,,0.116M,,,,,0.116M,36.91M,90.66M,45.21M,,,-0.123M,,-0.123M,135.74M
1998-10,,48.36M,8.75M,57.10M,44.93M,44.93M,4.106M,2.547M,4.069M,10.72M,2.067M,,6.743M,,121.56M,,,,,,,,25.16M,-11.10M,14.06M,,,,,,,14.92M,28.98M,150.55M,12.38M,,12.38M,15.54M,27.93M,,,,,,,7.248M,7.248M,3.975M,39.15M,0.134M,,0.134M,,,,,0.134M,39.28M,75.47M,35.81M,,,-0.018M,,-0.018M,111.26M
1998-07,,31.48M,14.93M,46.41M,35.96M,35.96M,3.707M,2.512M,3.513M,9.732M,1.928M,,5.497M,,99.52M,,,,,,,,22.29M,-9.631M,12.66M,,,,,,,13.89M,26.55M,126.07M,7.538M,,7.538M,9.586M,17.12M,,,,,,,5.788M,5.788M,3.485M,26.40M,0.157M,,0.157M,,,,,0.157M,26.55M,72.06M,27.44M,,,0.017M,,0.017M,99.52M
