,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2003-12,0.00,45.68M,45.68M,,,,,,45.68M,,,,,,,,3.606B,,,,,3.606B,4.641B,,,,,,,,,2.155B,,2.155B,99.92M,,,2.155B,2.405B,1.106M,-30.11M,2.147B,,,2.136B
2003-09,106.96M,43.88M,150.84M,,,140.32M,,,291.16M,,,,,,,,3.009B,556.72M,,,,3.566B,3.984B,,,268.37M,268.37M,,,,268.37M,1.312B,,1.312B,,,,1.312B,1.881B,1.803M,-48.21M,2.139B,0.70M,11.08M,2.103B
2003-06,57.95M,63.23M,121.18M,,,129.75M,,,250.93M,,,,,,,,3.091B,556.63M,,,,3.648B,4.012B,,,268.88M,268.88M,,,,268.88M,1.502B,,1.502B,,,,1.502B,2.054B,1.773M,-76.77M,2.020B,0.70M,14.48M,1.958B
2003-03,55.65M,77.47M,133.12M,,,127.21M,,,260.33M,,,,,,,,2.981B,544.99M,,,,3.526B,3.895B,,,277.10M,277.10M,,,,277.10M,1.412B,,1.412B,,,,1.412B,1.966B,1.949M,-75.68M,1.993B,0.90M,10.89M,1.929B
2002-12,0.00,66.99M,66.99M,,,,,,66.99M,,,,,,,,2.882B,,,,,2.882B,3.757B,,,,,,,,,1.533B,,1.533B,93.94M,,,1.533B,1.756B,1.046M,-85.37M,1.985B,,,1.909B
2002-09,43.50M,65.27M,108.76M,,,190.63M,,,299.39M,,,,,,,,2.807B,436.14M,,,,3.244B,3.689B,,,297.94M,297.94M,,,,297.94M,1.256B,,1.256B,,,,1.256B,1.781B,1.946M,-87.23M,1.984B,0.90M,11.76M,1.908B
2002-06,27.46M,87.46M,114.92M,,,186.49M,,,301.41M,,,,,,,,2.791B,354.72M,,,,3.145B,3.547B,,,301.81M,301.81M,,,,301.81M,1.175B,,1.175B,,,,1.175B,1.641B,1.945M,-89.01M,1.983B,0.90M,12.42M,1.905B
2002-03,26.47M,86.38M,112.85M,,,164.25M,,,277.10M,,,,,,,,2.756B,301.10M,,,,3.057B,3.413B,,,302.33M,302.33M,,,,302.33M,1.035B,,1.035B,,,,1.035B,1.518B,1.944M,-91.12M,1.980B,0.90M,7.045M,1.895B
2001-12,0.00,83.00M,83.00M,,,,,,83.00M,,,,,,,,2.748B,,,,,2.748B,3.387B,,,,,,,,,1.328B,,1.328B,,,,1.328B,1.495B,1.034M,-93.13M,1.976B,,,1.893B
2001-09,33.65M,80.98M,114.64M,,,49.86M,,,164.50M,,,,,,,,2.754B,243.71M,,,,2.998B,3.284B,,,294.09M,294.09M,,,,294.09M,1.035B,,1.035B,,,,1.035B,1.526B,1.954M,-96.22M,1.851B,1.312M,3.324M,1.758B
2001-06,83.29M,64.87M,148.17M,,,47.21M,,,195.38M,,,,,,,,2.707B,230.87M,,,,2.938B,3.235B,,,295.48M,295.48M,,,,295.48M,1.035B,,1.035B,,,,1.035B,1.486B,1.959M,-102.72M,1.849B,1.318M,2.633M,1.749B
