,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2005-03,190.34M,129.31M,,,12.00M,12.00M,-6.155M,,-74.30M,,,,72.92M,35.99M,93.32M,,,,-0.936M,,41.36M,-2.637M,81.80M,3.389M,,-3.136M,2.909M,86.78M,83.95M,119.50M,26.18M,93.32M,0.36,0.01,,,0.3625,0.37,0.35,0.01,,,0.3524,0.36,225.46M,234.31M,0.305
2004-12,152.44M,272.69M,,,11.87M,11.87M,,,-59.76M,,,,,-225.36M,498.05M,,,,1.44M,,124.81M,9.314M,65.73M,9.358M,,16.72M,2.91M,91.81M,,523.32M,25.26M,498.05M,0.28,0.0333,,,0.28,0.21,0.27,0.0333,,,0.27,0.21,227.05M,230.05M,0.305
2004-09,163.46M,120.33M,,,11.03M,11.03M,3.219M,,-65.22M,,,,61.12M,30.56M,89.77M,,,,4.79M,,51.95M,-0.024M,70.21M,8.298M,,-2.312M,2.909M,78.51M,67.34M,114.17M,24.40M,89.77M,0.3,0.04,,,0.2871,0.34,0.3,0.03,,,0.2875,0.33,222.36M,229.10M,0.285
2004-06,167.45M,128.54M,,,10.39M,10.39M,2.467M,,-68.83M,,,,65.78M,32.89M,95.64M,,,,4.40M,,56.61M,-3.316M,64.60M,6.831M,,-2.548M,2.909M,71.43M,61.96M,121.86M,26.22M,95.64M,0.28,0.03,,,0.2681,0.31,0.275,0.03,,,0.2632,0.305,221.04M,224.66M,0.285
2004-03,177.45M,139.14M,,,10.23M,10.23M,-1.989M,,-72.06M,,,,70.96M,35.48M,103.66M,,,,1.91M,,60.26M,-2.103M,73.86M,-2.469M,,-2.199M,2.909M,71.39M,72.71M,130.65M,26.99M,103.66M,0.32,-0.01,,,0.3148,0.31,0.315,-0.01,,,0.3099,0.305,220.90M,224.52M,0.285
2003-12,161.87M,254.90M,,,9.766M,9.766M,,,-64.71M,,,,,-231.26M,486.16M,,,,5.072M,,81.90M,5.202M,59.28M,22.27M,,13.44M,10.70M,88.96M,,512.73M,26.58M,486.16M,0.215,0.0993,,-0.0286,0.215,0.025,0.195,0.0948,,-0.0289,0.195,0.005,221.72M,233.44M,0.285
2003-09,151.30M,117.41M,,,11.23M,11.23M,-0.01M,,-63.94M,,,,61.56M,29.81M,87.60M,,,,0.263M,,49.18M,-1.171M,56.85M,29.65M,,-2.323M,2.909M,91.50M,56.69M,109.51M,21.91M,87.60M,0.275,0.135,,0.0231,0.2743,0.41,0.275,0.135,,0.0231,0.2743,0.41,216.09M,216.09M,0.27
2003-06,147.22M,114.64M,,,8.886M,8.886M,-4.798M,,-58.94M,,,,60.53M,30.26M,84.38M,,,,-1.419M,,49.95M,-1.241M,57.04M,0.923M,,-1.806M,4.241M,61.35M,61.27M,105.07M,20.69M,84.38M,0.23,0.005,,,0.2341,0.235,0.225,0.005,,,0.229,0.23,209.86M,214.43M,0.27
2003-03,119.47M,119.47M,,,,8.603M,0.318M,,,,,,5.144M,32.76M,86.71M,,,,0.318M,,55.10M,-1.273M,61.39M,8.751M,,-1.591M,4.609M,70.96M,62.02M,106.61M,19.89M,86.71M,0.275,0.04,,,0.2741,0.315,0.27,0.04,,,0.2691,0.315,210.64M,210.64M,0.27
2002-12,219.98M,59.10M,,,8.379M,8.379M,,,,,,,,-278.54M,337.64M,,,,3.271M,,56.27M,-3.539M,59.81M,3.155M,,3.048M,4.609M,62.96M,59.81M,345.59M,7.947M,337.64M,0.185,0.0131,,,0.185,0.18,0.185,0.0129,,,0.185,0.18,292.63M,294.18M,0.27
2002-09,111.10M,111.10M,,,7.933M,7.933M,2.371M,,,,,,22.31M,49.22M,61.88M,,,,2.371M,,62.71M,2.591M,60.12M,0.641M,,-0.262M,4.609M,60.76M,57.84M,80.86M,18.97M,61.88M,0.265,0.005,,,0.2541,0.27,0.265,0.0,,,0.2543,0.265,207.95M,211.88M,0.26
2002-06,140.35M,140.35M,,,7.654M,7.654M,,,-55.69M,,,,,-48.04M,188.39M,,,,,,62.32M,2.15M,60.18M,0.88M,,0.268M,4.609M,61.06M,60.18M,188.39M,,188.39M,0.265,0.005,,,0.265,0.27,0.265,0.005,,,0.265,0.27,208.83M,211.01M,0.26
2002-03,115.99M,115.99M,,,7.532M,7.532M,3.871M,,,,,,24.41M,50.78M,65.21M,,,,3.871M,,66.24M,5.35M,56.28M,,,-0.208M,4.609M,60.89M,57.34M,84.05M,18.85M,65.21M,0.27,0.0,,,0.2529,0.27,0.265,0.0,,,0.2482,0.265,208.46M,212.40M,0.26
2001-12,148.62M,-4.943M,,,7.497M,7.497M,,,-57.49M,,,,,15.77M,-20.71M,,,,6.612M,,43.19M,6.238M,36.95M,,,0.193M,4.87M,61.88M,56.96M,-20.71M,,-20.71M,0.165,,,,0.1462,0.16,0.155,,,,0.1362,0.15,300.47M,300.47M,0.26
2001-09,144.84M,144.84M,,,7.056M,7.056M,,,-52.79M,,,,,-45.73M,190.57M,,,,0.59M,,69.61M,10.52M,59.09M,0.157M,,0.352M,6.543M,59.25M,58.59M,190.57M,,190.57M,0.275,0.0,,,0.2724,0.275,0.27,0.0,,,0.2675,0.27,192.37M,202.55M,0.24
2001-06,137.08M,137.08M,,,6.636M,6.636M,,,-53.82M,,,,,-47.18M,184.26M,,,,3.864M,,60.01M,0.68M,59.33M,0.018M,,0.696M,6.75M,59.35M,55.51M,184.26M,,184.26M,0.2768,0.0,,,0.2568,0.2768,0.2735,0.0,,,0.2545,0.2735,191.37M,200.99M,0.24
2001-03,2.165M,121.60M,,,7.791M,7.791M,6.93M,,,,,,25.42M,51.42M,70.18M,,,,6.93M,,57.99M,1.937M,49.48M,,,,6.569M,56.05M,49.35M,88.39M,18.21M,70.18M,0.26,0.0,,,0.2248,0.26,0.2567,0.0,,,0.2219,0.2567,190.32M,192.79M,0.24
2000-12,410.89M,72.25M,,,,,,,,,,,,-71.75M,144.00M,,,,,,,,51.94M,,,,,51.94M,,156.13M,12.12M,144.00M,0.1317,,,,0.1317,0.1317,0.1317,,,,0.1317,0.1317,184.22M,185.96M,0.24
2000-09,1.404M,115.73M,,,6.405M,6.405M,5.75M,,,,,,20.80M,45.31M,70.42M,,,,5.75M,,,,44.94M,,,,6.57M,51.51M,48.06M,88.52M,18.10M,70.42M,0.24,0.0,,,0.2216,0.24,0.2367,0.0,,,0.2185,0.2367,187.26M,189.90M,0.2267
2000-06,1.388M,114.87M,,,6.44M,6.44M,5.49M,,,,,,21.98M,46.10M,68.76M,,,,5.49M,,,,44.38M,,,,6.57M,50.95M,47.65M,86.44M,17.68M,68.76M,0.2433,0.0,,,0.2253,0.2433,0.24,0.0,,,0.2222,0.24,182.37M,184.90M,0.22
2000-03,1.52M,112.36M,,,6.221M,6.221M,4.991M,,,,,,22.02M,45.32M,67.04M,,,,4.991M,,,,42.09M,,,,6.618M,48.71M,45.71M,84.11M,17.07M,67.04M,0.23,0.0,,,0.2136,0.23,0.23,0.0,,,0.2136,0.23,183.00M,183.00M,0.22
1999-12,121.20M,57.35M,,,6.00M,6.00M,,,-49.60M,,,,,19.04M,38.32M,,,,,,,,33.25M,,,,,49.30M,49.30M,38.32M,,38.32M,0.1464,,,,0.1464,0.1464,0.1447,,,,0.1447,0.1447,182.10M,182.10M,0.22
1999-09,114.80M,114.80M,,,6.00M,6.00M,,,-49.90M,,,,,-43.90M,158.70M,,,,,,,,45.60M,,,,,45.60M,45.60M,158.70M,,158.70M,0.2134,0.0,,,0.2134,0.2134,0.2134,0.0,,,0.2134,0.2134,182.10M,182.10M,0.2
1999-06,112.29M,112.29M,,,5.882M,5.882M,,,-49.72M,,,,,-43.84M,156.12M,,,,,,,,42.44M,,,,,42.44M,42.44M,156.12M,,156.12M,0.1968,0.0,,,0.1968,0.1968,0.1968,0.0,,,0.1968,0.1968,182.30M,182.30M,0.2
1999-03,116.70M,116.70M,,,6.00M,6.00M,,,-53.90M,,,,,-47.90M,164.60M,,,,,,,,39.50M,,,,,39.50M,39.50M,164.60M,,164.60M,0.1834,0.0,,,0.1834,0.1834,0.1801,0.0,,,0.1801,0.1801,215.35M,219.33M,0.2
1998-12,110.90M,86.95M,,,6.10M,6.10M,,,-50.60M,,,,,5.617M,81.34M,,,,,,,,35.01M,,,,,38.07M,37.17M,81.34M,,81.34M,0.3428,,,0.005,0.3428,0.3478,0.1814,,,0.005,0.1814,0.2148,180.31M,323.42M,0.19
1998-09,102.70M,102.70M,,,5.50M,5.50M,,,-47.00M,,,,,-41.50M,144.20M,,,,,,,,36.10M,,,,,31.20M,36.10M,144.20M,,144.20M,0.1668,-0.03,,-0.0284,0.1668,0.1367,0.1634,-0.03,,-0.0284,0.1634,0.1367,154.29M,157.35M,0.16
1998-06,72.90M,72.90M,,,3.80M,3.80M,,,-33.00M,,,,,-29.20M,102.10M,,,,,,,,27.50M,,,,,27.50M,27.50M,102.10M,,102.10M,0.1701,0.0,,,0.1701,0.1701,0.1668,0.0,,,0.1668,0.1668,161.68M,164.92M,0.16
