,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1992-08,,21.70M,,21.70M,,,46.30M,6.30M,,,138.60M,212.90M,,,,,,,,47.30M,-25.80M,21.50M,,23.80M,23.80M,,,19.00M,64.30M,277.20M,,,,,,,,,,5.90M,,5.90M,,,,41.30M,47.20M,,,,1.00M,,1.00M,,,1.00M,48.20M,,,168.00M,,,,,,229.00M,,,
1992-05,,49.50M,,49.50M,,,46.20M,5.50M,,,103.50M,204.70M,,,,,,,,43.30M,-23.40M,19.90M,,25.20M,25.20M,,,18.90M,64.00M,268.70M,,7.40M,,,7.40M,,7.40M,,,,,,,,,39.30M,46.70M,,,,1.30M,,1.30M,,,1.30M,48.00M,,,163.20M,,,,,,220.70M,,,
1992-02,,33.20M,,33.20M,,,44.90M,4.90M,,,98.90M,181.90M,,,,,,,,39.20M,-21.30M,17.90M,,,,,,42.20M,60.10M,242.00M,,5.60M,,,5.60M,,5.60M,,,,,,,,,29.00M,34.60M,,,,1.70M,,1.70M,,,1.70M,36.30M,,,149.80M,,,,,,205.70M,,,
1991-11,,30.30M,,30.30M,,,37.90M,3.90M,,,89.50M,161.60M,,,,,,,,36.90M,-19.30M,17.60M,,,,,,42.00M,59.60M,221.20M,,6.10M,,,6.10M,,6.10M,,,,,,,,,30.80M,36.90M,,,,1.50M,,1.50M,,,1.50M,38.40M,,,138.30M,,,,,,182.80M,,,
1991-08,,12.80M,,12.80M,,,43.80M,4.60M,,,83.40M,144.60M,,,,,,,,33.60M,-17.70M,15.90M,,,,,,39.00M,54.90M,199.50M,,5.30M,,,5.30M,,5.30M,,,,,,,,,25.40M,30.70M,0.10M,,0.10M,0.20M,,0.20M,,-0.10M,0.20M,30.90M,,,126.90M,,,,,,168.60M,,,
1991-05,,17.40M,,17.40M,,,35.60M,4.70M,,,68.20M,125.90M,,,,,,,,29.80M,-15.70M,14.10M,,,,,,37.80M,51.90M,177.80M,,4.80M,,,4.80M,,4.80M,,,,,,,,,25.90M,30.70M,0.20M,,0.20M,0.20M,,0.20M,,,0.40M,31.10M,,,115.90M,,,,,,146.70M,,,
1991-02,,13.10M,,13.10M,,,34.70M,4.70M,,,69.40M,121.90M,,,,,,,,27.60M,-14.10M,13.50M,,,,,,31.40M,44.90M,166.80M,,4.80M,,,4.80M,,4.80M,,,,,,,,,35.50M,40.30M,0.20M,,0.20M,,,,,,0.20M,40.50M,,,104.40M,,,,,,126.30M,,,
1990-11,,19.50M,,19.50M,,,31.30M,4.00M,,,54.30M,109.10M,,,,,,,,24.80M,-12.70M,12.10M,,,,,,24.50M,36.60M,145.70M,,4.20M,,,4.20M,,4.20M,,,,,,,,,32.80M,37.00M,0.20M,,0.20M,0.70M,,0.70M,,,0.90M,37.90M,,,93.70M,,,,,,107.80M,,,
1990-08,,12.70M,,12.70M,,,32.50M,1.60M,,,41.80M,88.60M,,,,,,,,23.50M,-11.20M,12.30M,,,,,,27.90M,40.20M,128.80M,,4.20M,,,4.20M,,4.20M,,,,,,,,,27.20M,31.40M,0.40M,,0.40M,0.90M,,0.90M,,,1.30M,32.70M,,,82.90M,,,,,,96.10M,,,
1990-05,,21.30M,,21.30M,,,23.60M,1.70M,,,39.30M,85.90M,,,,,,,,20.00M,-9.90M,10.10M,,,,,,20.00M,30.10M,116.00M,,4.20M,,,4.20M,,4.20M,,,,,,,,,24.90M,29.10M,0.40M,,0.40M,1.50M,,1.50M,,,1.90M,31.00M,,,74.10M,,,,,,85.00M,,,
1990-02,,15.30M,,15.30M,,,25.60M,1.50M,,,40.90M,83.30M,,,,,,,,18.30M,-8.80M,9.50M,,,,,,9.40M,18.90M,102.20M,,4.00M,,,4.00M,,4.00M,,,,,,,,,26.20M,30.20M,0.50M,,0.50M,0.70M,,0.70M,,-0.10M,1.10M,31.30M,,,67.50M,,,,,,70.90M,,,
1989-11,,13.10M,,13.10M,,,24.00M,1.50M,,,38.70M,77.30M,,,,,,,,13.40M,-3.80M,9.60M,,,,,,7.20M,16.80M,94.10M,,4.60M,,,4.60M,,4.60M,,,,,,,,,29.50M,34.10M,0.50M,,0.50M,0.80M,,0.80M,,-0.10M,1.20M,35.30M,,,58.60M,,,,,,58.80M,,,
1989-08,,9.40M,,9.40M,,,21.00M,1.20M,,,42.30M,73.90M,,,,,,,,15.40M,-6.80M,8.60M,,,,,,7.60M,16.20M,90.10M,,3.40M,,,3.40M,,3.40M,,,,,,,,,22.90M,26.30M,0.60M,,0.60M,1.10M,,1.10M,,,1.70M,28.00M,,,52.50M,,,,,,62.10M,,,
1989-05,,10.60M,,10.60M,,,17.90M,1.00M,,,40.90M,70.40M,,,,,,,,14.20M,-5.80M,8.40M,,,,,,7.60M,16.00M,86.40M,,3.40M,,,3.40M,,3.40M,,,,,,,,,22.10M,25.50M,0.70M,,0.70M,1.20M,,1.20M,,,1.90M,27.40M,,,44.40M,,,,,,59.00M,,,
1988-11,,35.20M,,35.20M,,,14.60M,1.10M,,,0.60M,51.50M,,,,,,,,12.20M,-4.10M,8.10M,,,,,,5.90M,14.00M,65.50M,,,,,,,,,,,,,,,,,19.00M,0.90M,,0.90M,1.30M,,1.30M,,,2.20M,21.20M,,,31.90M,,,,,,44.30M,,,
1987-11,,17.40M,,17.40M,,,7.50M,0.50M,,,0.10M,25.50M,,,,,,,,5.70M,-2.00M,3.70M,,,,,,3.10M,6.80M,32.30M,,,,,,,,,,,,,,,,,7.90M,,,,0.80M,,0.80M,,0.10M,0.90M,8.80M,,,13.30M,,,,,,23.50M,,,
1986-11,,12.90M,,12.90M,,,3.60M,,,,0.10M,16.60M,,,,,,,,2.80M,-1.10M,1.70M,,,,,,1.70M,3.40M,20.00M,,,,,,,,,,,,,,,,,5.10M,,,,1.20M,,1.20M,,,1.20M,6.30M,,,4.40M,,,,,,13.70M,,,
