,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2007-09,15.00M,15.00M,11.00M,4.00M,7.00M,,,,,,,8.00M,-4.00M,,,,10.00M,,6.00M,4.00M,2.00M,5.00M,,,7.00M,2.00M,13.01M,17.01M,-4.00M,,0.005,0.01,0.005,0.015,,0.005,0.01,0.005,0.015,,561.49M,560.00M,,,
2007-06,177.22M,177.22M,121.61M,55.61M,41.33M,,128.32M,,,,-0.208M,58.54M,-2.929M,,,,128.32M,,125.19M,50.97M,74.22M,,,,74.22M,-9.193M,14.49M,17.42M,-2.929M,,0.13,0.00,-0.0188,0.13,,0.13,0.00,0.13,0.13,,560.73M,,,,
2007-03,173.88M,173.88M,118.03M,55.86M,41.52M,,30.89M,,,,-0.034M,57.06M,-1.201M,,,,30.89M,,29.65M,9.189M,20.46M,,,,20.46M,-0.8523M,14.37M,15.57M,-1.201M,,0.035,0.00,-0.0030,0.035,,0.035,0.00,0.035,0.035,,560.49M,,,,
2006-12,198.77M,198.77M,135.28M,63.49M,45.39M,,-2.689M,,,,-1.402M,64.00M,-0.504M,,,,17.74M,,13.84M,8.552M,5.284M,,,,5.284M,6.897M,19.50M,20.00M,-0.504M,,0.0047,,0.0076,0.0047,,0.0047,,0.0047,0.0047,,560.42M,,,,
2006-09,169.88M,169.88M,111.50M,58.37M,42.65M,,-94.45M,,,,93.40M,152.09M,-93.72M,,,,-62.40M,,-62.72M,13.92M,-76.63M,,,,-76.63M,-19.96M,-77.68M,16.04M,-93.72M,,-0.135,0.00,-0.0339,-0.135,,-0.135,0.00,-0.135,-0.135,,560.40M,,,,
2006-06,165.79M,165.79M,109.62M,56.17M,46.11M,,32.87M,,,,-0.037M,62.38M,-6.215M,,,,32.87M,,26.62M,12.88M,13.73M,,,,13.73M,-5.987M,10.09M,16.30M,-6.215M,,0.025,0.00,-0.0102,0.025,,0.025,0.00,0.025,0.025,,560.40M,,,,
2006-03,153.57M,153.57M,97.60M,55.97M,43.17M,,23.12M,,,,,58.83M,-2.857M,,,,23.12M,,20.27M,8.651M,11.62M,,,,11.62M,-2.259M,12.80M,15.66M,-2.857M,,0.02,0.00,-0.0048,0.02,,0.02,0.00,0.02,0.02,,560.40M,,,,
2005-12,174.27M,174.27M,110.07M,64.19M,36.95M,,78.17M,,,,,57.98M,6.218M,,,,6.724M,,12.48M,1.245M,11.24M,,,,11.24M,-59.13M,27.71M,21.49M,6.218M,,0.02,0.00,-0.1056,0.02,,0.02,0.00,-0.1056,0.02,,560.40M,560.40M,,,
2005-09,167.93M,167.93M,109.32M,58.61M,42.13M,,1.68M,,,,,60.01M,-1.403M,,,,34.91M,,33.51M,32.32M,1.189M,,,,1.189M,0.181M,16.48M,17.88M,-1.403M,,0.0011,,-0.0007,0.0011,,0.0011,,-0.0007,0.0011,,560.44M,560.40M,,,
2005-06,178.02M,178.02M,115.59M,62.43M,47.17M,,-0.305M,,,,,67.41M,-4.982M,,,,15.09M,,10.11M,6.082M,4.027M,,,,4.027M,4.21M,15.26M,20.24M,-4.982M,,0.005,0.00,0.0053,0.005,,0.005,0.00,0.0053,0.005,,560.48M,560.40M,,,
2005-03,174.29M,174.29M,110.85M,63.44M,43.80M,,23.14M,,,,,60.56M,2.877M,,,,23.14M,,26.01M,9.188M,16.82M,,,,16.82M,1.861M,19.64M,16.76M,2.877M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,,,,AOR,Restated
2004-12,172.87M,172.87M,105.21M,67.66M,40.05M,,25.81M,,,,1.642M,65.77M,1.894M,,,,25.81M,,27.70M,11.96M,15.74M,,,,15.74M,0.259M,25.97M,24.08M,1.894M,,,,,,,,,,,,,,,AOR,Restated
2004-09,151.92M,151.92M,91.27M,60.66M,38.34M,,20.08M,,,,0.545M,57.19M,3.464M,,,,20.08M,,23.54M,7.353M,16.19M,,,,16.19M,2.382M,21.77M,18.30M,3.464M,,,,,,,,,,,,,,,AOR,
2004-06,160.48M,160.48M,96.06M,64.41M,39.03M,,,,,,0.546M,58.75M,5.663M,,,,,,33.58M,11.33M,22.26M,,,,22.26M,22.26M,24.84M,19.17M,5.663M,,,,,,,,,,,,,,,AOR,
2004-03,527.36M,527.36M,181.74M,345.62M,208.21M,,,,,,28.78M,267.82M,77.80M,,,,,,36.19M,15.34M,20.85M,,,,20.85M,20.85M,108.64M,16.05M,77.80M,,,,,,,,,,,,,,,AOR,
