,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-03,150.48M,150.48M,148.63M,148.63M,12.52M,,3.832M,315.46M,,,,,,,456.15M,-170.98M,285.17M,2.075B,,2.075B,,3.220B,5.580B,5.895B,,35.23M,,,35.23M,56.61M,91.84M,,,18.08M,18.08M,,109.92M,,,1.185B,1.185B,,,30.23M,1.215B,1.325B,,2.802M,-1.165B,5.715B,,,,,17.72M,4.570B,,,
2006-12,155.00M,155.00M,147.00M,147.00M,12.00M,,3.00M,317.00M,0.00,42.00M,217.00M,192.00M,1.00M,,452.00M,-171.00M,281.00M,2.075B,,2.075B,,3.198B,5.554B,5.871B,,44.00M,,,44.00M,62.00M,106.00M,,,16.00M,16.00M,,122.00M,,,1.175B,1.175B,,,25.00M,1.20B,1.322B,,3.00M,-1.184B,5.714B,,,15.00M,1.00M,16.00M,4.549B,,,
2006-09,151.85M,151.85M,159.65M,159.65M,13.78M,,5.571M,330.85M,,,,,,,464.94M,-194.10M,270.84M,2.074B,,2.074B,,3.179B,5.524B,5.855B,,39.73M,,,39.73M,57.75M,97.48M,,,28.03M,28.03M,,125.51M,,,1.168B,1.168B,,,21.18M,1.189B,1.315B,,2.802M,-1.189B,5.713B,,,,,12.94M,4.540B,,,
2006-06,152.79M,152.79M,137.75M,137.75M,10.79M,,5.148M,306.48M,,,,,,,458.81M,-194.10M,264.71M,2.167B,,2.167B,,3.147B,5.578B,5.885B,,30.66M,,,30.66M,49.84M,80.50M,,,17.85M,17.85M,,98.35M,,,1.155B,1.155B,,,20.46M,1.175B,1.273B,,2.802M,-1.112B,5.713B,,,,,7.912M,4.612B,,,
2006-03,150.82M,150.82M,142.58M,142.58M,14.76M,,4.426M,312.59M,,,,,,,453.21M,-194.10M,259.10M,2.166B,,2.166B,,3.112B,5.537B,5.849B,,31.90M,,,31.90M,47.81M,79.71M,,,16.33M,16.33M,,96.04M,,,1.141B,1.141B,,,21.56M,1.162B,1.258B,,2.802M,-1.126B,5.713B,,,,,1.564M,4.591B,,,
2005-12,250.35M,250.35M,134.62M,134.62M,10.99M,,4.433M,400.39M,0.00,48.36M,186.39M,215.60M,,,450.35M,-194.10M,256.24M,2.134B,,2.134B,,3.029B,5.419B,5.819B,,26.85M,,,26.85M,45.60M,72.45M,,,17.49M,17.49M,,89.94M,,,1.132B,1.132B,,,22.36M,1.154B,1.244B,,2.802M,-1.138B,5.712B,,,,,-1.86M,4.575B,,,
2005-09,227.50M,227.50M,148.51M,148.51M,18.62M,,,394.63M,,,,,,,273.72M,,273.72M,,2.138B,2.138B,,3.018B,5.430B,5.825B,,37.22M,,,37.22M,51.73M,88.96M,,,15.50M,15.50M,,104.46M,,,1.128B,1.128B,,,25.03M,1.153B,1.258B,,2.802M,-1.149B,5.712B,,,,,1.786M,4.567B,,,
2005-06,10.83M,10.83M,146.34M,146.34M,21.46M,,,178.63M,,,,,,,270.07M,,270.07M,,2.140B,2.140B,,2.996B,5.405B,5.584B,,34.65M,,,34.65M,42.57M,77.22M,,,16.38M,16.38M,1.208M,94.80M,,,1.097B,1.097B,,,24.02M,1.121B,1.216B,,0.00,-1.150B,5.514B,,,,,4.899M,4.368B,,,
2005-03,15.18M,15.18M,153.32M,153.32M,23.55M,,,192.05M,,,,,,,261.60M,,261.60M,,,2.141B,2.966B,17.37M,5.386B,5.578B,,36.16M,,,36.16M,45.33M,81.50M,,,,,19.55M,101.04M,,,1.092B,1.092B,,,24.07M,1.116B,1.217B,,,-1.154B,,,,,,7.008M,4.361B,,AOR,Restated
2004-12,21.64M,21.64M,151.12M,151.12M,17.40M,,8.809M,198.97M,,,,,,,258.74M,,258.74M,2.135B,,2.135B,2.946B,25.89M,5.366B,5.565B,,33.33M,,,33.33M,53.24M,86.56M,,,,,21.96M,108.53M,,,1.084B,1.084B,,,25.06M,1.109B,1.218B,,0.00,-1.171B,0.00,,,,,12.31M,4.347B,,AOR,Restated
