,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,128.01M,143.91M,,,,,25.48M,0.231M,,8.233M,,,,,63.40M,89.10M,54.80M,,,,8.233M,,62.88M,24.21M,38.67M,0.00,38.67M,33.61M,59.97M,5.169M,54.80M,0.59,0.0,0.5121,0.59,0.58,0.0,0.5035,0.58,65.03M,66.16M,
2003-03,126.36M,142.75M,,,,,25.11M,0.232M,,3.529M,,,,,63.34M,88.68M,54.07M,,,,3.529M,,57.43M,22.11M,35.32M,0.00,35.32M,33.15M,59.36M,5.295M,54.07M,0.54,0.0,0.5066,0.54,0.54,0.0,0.507,0.54,65.06M,65.87M,
2002-12,71.78M,137.04M,,,,,20.70M,0.221M,,2.049M,,,,,-218.69M,82.03M,55.00M,,,,2.049M,,56.89M,23.04M,33.85M,,33.85M,32.62M,59.29M,4.287M,55.00M,0.52,0.0,0.501,0.52,0.52,0.0,0.5012,0.52,64.85M,65.32M,
2002-09,137.54M,137.13M,,,,23.45M,23.45M,0.201M,,0.408M,-81.64M,,,,139.62M,81.64M,55.50M,,,,0.408M,,55.74M,22.58M,33.16M,,33.16M,32.92M,61.48M,5.985M,55.50M,0.51,0.0,0.5062,0.51,0.51,0.0,0.5063,0.51,64.80M,65.34M,
2002-06,160.71M,156.70M,,,,22.04M,22.04M,0.201M,,4.014M,-101.99M,,,,181.74M,101.99M,54.70M,,,,4.014M,,58.55M,23.71M,34.84M,,34.84M,32.43M,59.67M,4.965M,54.70M,0.54,0.0,0.5028,0.54,0.53,0.0,0.4931,0.53,64.73M,65.33M,
2002-03,149.13M,146.11M,,,,22.41M,22.41M,0.201M,,3.02M,-96.18M,,,,169.74M,96.18M,49.94M,,,,3.02M,,52.77M,21.37M,31.40M,,31.40M,29.59M,54.94M,5.001M,49.94M,0.49,0.0,0.462,0.49,0.48,0.0,0.4522,0.48,64.65M,65.22M,
2001-12,133.58M,129.39M,,,,,20.14M,2.613M,,4.192M,-86.38M,,,,150.00M,86.38M,43.02M,,,,4.192M,,47.02M,18.69M,28.33M,,28.33M,25.81M,50.14M,7.122M,43.02M,0.44,0.0,0.4008,0.44,0.43,0.0,0.3911,0.43,64.39M,65.01M,
2001-09,137.67M,134.78M,,,,20.69M,20.69M,2.613M,,2.89M,-92.25M,,,,161.20M,92.25M,42.53M,,,,2.89M,,45.25M,17.87M,27.38M,,27.38M,25.63M,49.30M,6.768M,42.53M,0.43,0.0,0.4028,0.43,0.42,0.0,0.3931,0.42,64.28M,64.95M,
2001-06,137.89M,137.89M,,,,55.53M,55.53M,,,,-92.55M,,,,,-37.02M,174.91M,,,,,,45.14M,18.91M,26.23M,,26.23M,26.23M,181.30M,6.382M,174.91M,0.41,0.0,0.41,0.41,0.4,0.0,0.4,0.4,64.25M,64.88M,
2001-03,135.57M,133.71M,,,,17.06M,17.06M,2.614M,,1.862M,-91.79M,,,,163.91M,91.79M,41.92M,,,,1.862M,,43.58M,18.08M,25.50M,,25.50M,24.38M,47.67M,5.749M,41.92M,0.4,0.0,0.3826,0.4,0.39,0.0,0.3728,0.39,64.16M,64.90M,
2000-12,99.78M,128.54M,,,,,15.03M,2.613M,,7.734M,,,,,-173.74M,88.87M,39.67M,,,,,,42.54M,18.00M,24.55M,,24.55M,19.91M,44.68M,5.003M,39.67M,0.39,0.0,0.3174,0.39,0.38,0.0,0.3084,0.38,63.93M,64.79M,
2000-09,129.90M,127.70M,,,,15.58M,15.58M,2.613M,,0.00,-90.78M,,,,163.36M,90.78M,36.93M,,,,,,38.91M,16.15M,22.76M,,22.76M,22.76M,42.38M,5.457M,36.93M,0.36,0.0,0.36,0.36,0.35,0.0,0.35,0.35,63.88M,64.65M,
2000-06,113.99M,112.57M,,,,14.60M,14.60M,2.514M,,0.00,-78.25M,,,,139.38M,78.25M,34.32M,,,,,,35.65M,14.80M,20.86M,,20.86M,20.86M,39.22M,4.902M,34.32M,0.33,0.0,0.33,0.33,0.32,0.0,0.32,0.32,63.87M,64.49M,
2000-03,109.11M,108.06M,,,,13.10M,13.10M,2.413M,,0.00,-75.94M,,,,136.37M,75.94M,32.12M,,,,,,32.82M,13.62M,19.20M,,19.20M,19.20M,36.75M,4.633M,32.12M,0.3,0.0,0.3,0.3,0.3,0.0,0.3,0.3,63.86M,64.34M,
1999-12,79.30M,98.58M,,,,,-83.03M,,,,,,,,,337.34M,-238.76M,,,,,,30.15M,12.93M,17.22M,,17.22M,17.22M,-234.30M,4.453M,-238.76M,0.27,0.0,0.27,0.27,0.27,0.0,0.27,0.27,63.81M,64.66M,
1999-09,101.00M,101.00M,,,,43.30M,43.30M,,,,-69.40M,,,,,-26.10M,127.10M,,,,,,28.40M,12.20M,16.20M,,16.20M,16.20M,127.10M,,127.10M,0.3,0.0,0.3,0.3,0.3,0.0,0.3,0.3,54.00M,54.00M,
1999-06,90.70M,90.70M,,,,,,,,,,,,,,,90.70M,,,,,,,,13.00M,,13.00M,13.00M,90.70M,,90.70M,0.24,0.0,0.24,0.24,0.24,0.0,0.24,0.24,54.17M,54.17M,
1999-03,90.70M,90.70M,,,,,,,,,,,,,,,90.70M,,,,,,,,13.00M,,13.00M,13.00M,90.70M,,90.70M,0.24,0.0,0.24,0.24,0.24,0.0,0.24,0.24,54.17M,54.17M,
