,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-12,72.92M,,,,,,8.488M,8.488M,21.50M,9.346M,,-45.85M,-66.58M,69.54M,-6.188M,,45.40M,42.17M,170.12M,-12.22M,-112.18M,-124.41M,-28.00M,-10.63M,,-58.55M,-246.02M,245.00M,-1.019M,1.873M,-4.691M,-2.818M,,-19.10M,,0.348M,-22.59M,396.51M,88.98M,-1.266M,484.22M,1.873M,-395.00M,261.84M,-4.691M,,
2005-09,61.12M,,,,-14.47M,-0.403M,7.543M,7.543M,5.703M,-5.426M,,17.40M,-58.32M,138.64M,,,-71.59M,8.73M,95.07M,-13.79M,0.00,-13.79M,2.315M,2.177M,,-9.30M,395.00M,0.00,395.00M,4.953M,-40.17M,-35.22M,,-19.07M,,-396.90M,-56.18M,367.39M,29.58M,-0.455M,396.51M,4.953M,395.00M,0.00,-40.17M,,
2005-06,53.34M,,,,7.462M,0.278M,7.74M,7.74M,-3.951M,5.426M,,19.00M,6.763M,5.025M,76.48M,125.14M,-169.48M,43.93M,125.48M,-12.45M,0.00,-12.45M,-6.828M,5.429M,,-13.85M,-395.00M,0.00,-395.00M,1.686M,-32.52M,-30.84M,,-19.16M,,390.45M,-54.54M,312.29M,57.08M,-1.985M,367.39M,1.686M,-395.00M,0.00,-32.52M,,
2005-03,46.54M,,,,7.006M,0.125M,7.131M,7.131M,-4.361M,,,16.58M,-27.34M,-125.36M,-76.48M,-125.14M,152.70M,-201.62M,-135.73M,-16.68M,112.18M,95.50M,-242.71M,9.128M,,-138.08M,245.00M,-111.84M,133.16M,7.335M,-0.084M,7.251M,,-19.27M,,7.91M,129.05M,457.67M,-144.76M,-0.627M,312.29M,7.335M,395.00M,-261.84M,-0.084M,,
2004-12,49.75M,,,,5.224M,0.00,5.224M,5.224M,-4.241M,,,89.51M,9.606M,-57.90M,,-1.06M,-2.998M,-52.35M,87.90M,-10.35M,,-10.35M,0.00,39.00M,-25.17M,3.487M,0.00,0.00,0.00,2.044M,-9.068M,-7.024M,,-15.98M,,7.826M,-15.17M,379.43M,76.21M,2.032M,457.67M,2.044M,0.00,0.00,-9.068M,,
2004-09,-9.814M,,,,15.46M,0.00,5.357M,5.357M,-28.12M,,,1.637M,-3.614M,136.17M,,1.06M,1.007M,134.62M,103.69M,-5.353M,0.00,-5.353M,-0.074M,2.794M,-2.817M,-5.45M,0.00,0.00,0.00,3.276M,-1.11M,2.166M,,-15.93M,,-1.667M,-15.43M,296.70M,82.81M,-0.073M,379.43M,3.276M,0.00,0.00,-1.11M,,
2004-06,48.00M,,,,,,5.156M,5.156M,0.743M,,,-2.215M,0.971M,22.13M,,,-1.137M,21.97M,73.65M,-5.306M,0.00,-5.306M,0.073M,-13.30M,-40.35M,-58.88M,0.00,0.00,0.00,3.406M,-7.003M,-3.597M,,-15.85M,,0.209M,-19.24M,301.11M,-4.475M,0.062M,296.70M,3.406M,0.00,0.00,-7.003M,,
2004-03,55.21M,,,,,,4.949M,4.949M,6.467M,,,8.962M,-20.96M,-77.07M,,,-11.42M,-109.46M,-33.87M,-4.586M,0.00,-4.586M,-0.073M,66.12M,6.412M,67.87M,0.00,0.00,0.00,6.643M,-40.43M,-33.78M,,-15.91M,,-0.11M,-49.80M,315.94M,-15.80M,0.966M,301.11M,6.643M,,0.00,-40.43M,,
2003-12,41.36M,,,,,,5.48M,5.48M,-1.844M,,,1.986M,1.672M,32.36M,,-0.719M,4.74M,38.05M,85.03M,-3.80M,,-3.80M,-0.012M,22.22M,,18.41M,,,,2.494M,-20.64M,-18.15M,,-12.78M,,0.00,-30.93M,241.57M,72.51M,1.866M,315.94M,2.494M,,,-20.64M,,
2003-09,40.05M,,,,,,5.422M,5.422M,-2.745M,,,-0.647M,-9.54M,38.84M,8.886M,42.48M,-50.97M,29.70M,71.78M,-3.354M,,-3.354M,-4.334M,47.99M,,40.30M,,,,1.76M,-40.44M,-38.68M,,-12.83M,,0.00,-51.51M,180.83M,60.57M,0.162M,241.57M,1.76M,,,-40.44M,,
2003-06,38.67M,,,,,,5.169M,5.169M,1.177M,,,2.244M,-3.673M,15.69M,-8.886M,-41.76M,42.80M,4.168M,51.43M,-2.944M,,-2.944M,-4.324M,-50.11M,,-57.38M,,,,0.856M,-5.87M,-5.014M,,0.00,,-0.842M,-5.856M,191.21M,-11.80M,1.424M,180.83M,0.856M,,,-5.87M,,
2003-03,35.32M,,,,,,5.295M,5.295M,1.101M,,,6.533M,-1.457M,-58.20M,,,-17.23M,-76.90M,-28.65M,-3.355M,,-3.355M,-0.26M,-17.37M,,-20.98M,,,,2.428M,-16.46M,-14.04M,,0.00,,,-14.04M,255.23M,-63.66M,-0.355M,191.21M,2.428M,,,-16.46M,,
2002-12,33.85M,,,,,,4.287M,4.287M,-4.986M,,,3.243M,9.813M,28.69M,26.16M,-1.605M,-24.28M,38.78M,75.17M,-4.462M,,-4.462M,,-26.43M,,-32.62M,,,,1.135M,-2.618M,-1.483M,,,,0.00,-1.483M,213.68M,41.06M,0.496M,255.23M,1.135M,,,-2.618M,,
2002-09,33.17M,,,,,,5.985M,5.985M,3.973M,,,3.407M,2.894M,18.26M,2.899M,20.57M,-21.15M,23.47M,70.00M,-6.539M,,-6.539M,,-20.70M,,-27.24M,,,,1.452M,-0.652M,0.80M,,,,0.00,0.80M,169.53M,43.57M,0.575M,213.68M,1.452M,,,-0.652M,,
2002-06,34.84M,,,,,,4.965M,4.965M,4.344M,,,0.081M,-12.33M,36.07M,36.20M,-19.87M,-18.24M,21.82M,66.05M,-18.12M,,-18.12M,,9.284M,,-8.832M,,,,0.432M,-0.232M,0.20M,,,,-0.766M,-0.566M,111.83M,56.65M,1.055M,169.53M,0.432M,,,-0.232M,,
2002-03,31.40M,,,,,,5.001M,5.001M,3.722M,,,-9.445M,-17.79M,-53.80M,-65.26M,0.904M,66.09M,-69.85M,-39.18M,-13.71M,,-13.71M,,-14.40M,,-28.11M,,,,2.019M,-8.942M,-6.923M,,,,,-6.923M,186.45M,-74.21M,-0.411M,111.83M,2.019M,,,-8.942M,,
2001-12,28.33M,,,,,,7.122M,7.122M,-11.08M,,,1.098M,0.607M,18.55M,-1.916M,24.02M,-19.16M,22.11M,47.58M,-13.88M,,-13.88M,,-0.271M,,-14.15M,,,,1.413M,-0.935M,0.478M,,,,0.00,0.478M,152.83M,33.91M,-0.293M,186.45M,1.413M,,,-0.935M,,
2001-09,27.38M,,,,,,6.768M,6.768M,1.966M,,,-11.13M,-21.42M,40.25M,-18.87M,41.12M,-6.738M,34.34M,59.32M,-8.569M,,-8.569M,,1.426M,,-7.143M,0.00,,0.00,0.112M,0.00,0.112M,,,,0.804M,0.916M,99.23M,53.09M,0.509M,152.83M,0.112M,,0.00,0.00,,
2001-06,26.23M,,,,,,6.382M,6.382M,0.653M,,,12.92M,10.59M,42.46M,79.78M,-26.94M,-65.14M,40.75M,86.93M,-9.838M,,-9.838M,,-121.77M,,-131.61M,,,,0.018M,0.00,0.018M,,,,-1.50M,-1.482M,145.38M,-46.16M,0.013M,99.23M,0.018M,,,0.00,,
2001-03,25.50M,,,,,,5.749M,5.749M,,,,7.225M,-3.146M,-61.99M,-72.34M,7.412M,65.14M,-64.93M,-26.46M,-8.195M,,-8.195M,,-5.961M,,-14.16M,0.00,,0.00,0.397M,-6.472M,-6.075M,,,,,-6.075M,192.59M,-46.69M,-0.523M,145.38M,0.397M,,0.00,-6.472M,,
2000-12,24.55M,,,,,,5.003M,5.003M,,-0.528M,,1.408M,-5.643M,21.80M,9.513M,4.038M,-14.06M,15.64M,43.75M,-10.31M,,-10.31M,,-1.228M,,-11.54M,0.00,,0.00,0.916M,-0.016M,0.90M,,,,0.091M,0.991M,158.93M,33.21M,0.454M,192.59M,0.916M,,0.00,-0.016M,,
2000-09,22.76M,,,,,,5.457M,5.457M,,0.229M,,0.041M,-5.392M,33.93M,0.284M,30.32M,-28.54M,30.60M,59.09M,-11.86M,,-11.86M,,-4.096M,,-15.96M,0.00,,0.00,0.00,0.00,0.00,,,,0.00,0.00,116.63M,43.13M,-0.836M,158.93M,0.00,,0.00,0.00,,
2000-06,20.86M,,,,,,4.902M,4.902M,,0.15M,,-0.12M,0.219M,16.82M,50.12M,-35.47M,-17.04M,14.65M,40.59M,-4.962M,,-4.962M,,-7.616M,,-12.58M,0.00,,0.00,-0.06M,0.06M,0.00,,,,-0.031M,-0.031M,88.67M,27.98M,-0.016M,116.63M,-0.06M,,0.00,0.06M,,
2000-03,19.20M,,,,,,4.633M,4.633M,,0.149M,,0.149M,-6.631M,-47.41M,-59.92M,1.118M,54.04M,-58.80M,-34.82M,-5.63M,,-5.63M,,0.041M,,-5.589M,-28.20M,,-28.20M,0.282M,-0.06M,0.222M,,,,-0.06M,-28.04M,157.13M,-68.45M,-0.01M,88.67M,0.282M,,-28.20M,-0.06M,,
