,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2005-03,312.29M,325.39M,637.68M,245.10M,,245.10M,,882.78M,,,,,,,,107.98M,,107.98M,,443.68M,443.68M,325.39M,,,,877.05M,1.494B,,89.91M,264.01M,353.92M,,,,353.92M,250.00M,250.00M,,,,24.03M,,,250.00M,623.49M,0.654M,677.18M,211.14M,33.82M,,6.623M,846.40M
2004-12,457.67M,,457.67M,154.94M,,154.94M,,612.62M,,,,,,,,93.70M,,93.70M,,,184.11M,227.50M,,,,505.31M,1.145B,,30.82M,311.35M,342.17M,,,,342.17M,4.81M,4.81M,,,,17.17M,,,4.81M,359.71M,0.647M,650.02M,165.38M,51.35M,,8.254M,768.35M
2004-09,379.43M,240.51M,619.94M,170.71M,,170.71M,,790.65M,,,,,,,,88.38M,,88.38M,,184.29M,184.29M,240.51M,,,,513.18M,1.077B,,55.96M,167.46M,223.42M,,,,223.42M,,,,,,8.724M,,,,333.33M,0.65M,616.18M,182.38M,64.32M,,5.97M,734.95M
2004-06,296.70M,236.37M,533.06M,146.18M,,146.18M,,679.25M,,,,,,,,88.10M,,88.10M,,185.59M,185.59M,236.37M,,,,510.06M,966.45M,,49.92M,135.58M,185.50M,,,,185.50M,,,,,,8.987M,,,,202.21M,0.651M,641.98M,183.99M,69.28M,,5.203M,755.25M
2004-03,301.11M,177.29M,478.40M,147.16M,,147.16M,,625.55M,,,,,,,,87.72M,,87.72M,,185.82M,185.82M,177.29M,,,,450.83M,909.44M,,74.82M,88.51M,163.32M,,,,163.32M,,,,,,4.30M,,,,182.19M,0.653M,609.84M,193.27M,78.30M,,6.29M,722.95M
2003-12,315.94M,,315.94M,127.32M,,127.32M,,443.26M,,,,,,,,87.01M,,87.01M,,,192.08M,234.92M,,,,514.01M,967.22M,,60.10M,172.45M,232.54M,,,,232.54M,,,,,,1.239M,,,,252.68M,0.653M,570.54M,196.45M,50.08M,,6.027M,713.31M
2003-09,241.57M,2.550B,2.792B,,,226.65M,148.38M,3.167B,,,,,,,,88.46M,,88.46M,,192.30M,192.30M,2.550B,,,,2.831B,3.485B,,122.94M,148.28M,271.22M,,,,271.22M,2.036B,2.036B,,,,269.18M,105.55M,,2.141B,2.519B,0.653M,542.10M,198.16M,46.49M,,2.622M,696.26M
2003-06,180.83M,304.72M,485.55M,119.45M,,119.45M,,605.00M,,,,,,,,90.29M,,90.29M,,192.20M,192.20M,304.72M,,,,587.21M,900.67M,,49.49M,118.20M,167.69M,,,,167.69M,,,,,,,,,,191.68M,0.653M,514.74M,198.36M,9.252M,,5.447M,708.99M
2003-03,191.21M,244.64M,435.85M,115.53M,,115.53M,,551.38M,,,,,,,,92.22M,,92.22M,,182.86M,182.86M,244.64M,,,,519.71M,836.40M,,55.93M,92.58M,148.51M,,,,148.51M,,,,,,,,,,168.20M,0.654M,476.07M,202.60M,10.21M,,0.318M,668.20M
2002-12,255.23M,,255.23M,114.07M,,114.07M,,369.30M,,,,,,,,93.92M,,93.92M,,,182.83M,210.56M,,,,487.31M,864.19M,,37.96M,173.05M,211.01M,,,,211.01M,,,,,,0.00,,,,229.53M,0.652M,440.75M,199.99M,5.431M,,0.231M,634.65M
2002-09,213.68M,180.46M,394.14M,111.84M,,111.84M,,505.98M,,,,,,,,93.53M,,93.53M,,181.08M,181.08M,180.46M,,,,455.07M,789.57M,,35.20M,140.85M,176.04M,,,,176.04M,,,,,,,,,,193.65M,0.651M,406.90M,197.70M,3.913M,,-3.527M,595.92M
2002-06,169.53M,163.00M,332.54M,118.71M,,118.71M,,451.25M,,,,,,,,92.77M,,92.77M,,181.29M,181.29M,163.00M,,,,437.06M,734.29M,,37.75M,120.04M,157.79M,,,,157.79M,,,,,,,,,,173.08M,0.65M,373.73M,194.39M,3.272M,,-2.907M,561.22M
2002-03,111.83M,170.24M,282.07M,114.45M,,114.45M,,396.52M,,,,,,,,79.42M,,79.42M,,181.49M,181.49M,170.24M,,,,431.15M,666.64M,,50.23M,75.21M,125.44M,,,,125.44M,,,,,,,,,,143.64M,0.649M,338.90M,193.15M,3.132M,,-4.906M,523.00M
2001-12,186.45M,,186.45M,,,,,186.45M,,,,,,,,,,,,181.69M,181.69M,,,,,181.69M,684.48M,,,,,,,,,,,,,,,,,,198.36M,0.646M,307.50M,184.04M,0.604M,,,486.12M
2001-09,152.83M,140.71M,293.54M,97.27M,,97.27M,,390.81M,,,,,,,,61.14M,,61.14M,,184.30M,184.30M,140.71M,,,,386.15M,643.77M,,58.64M,115.78M,174.43M,,,,174.43M,7.344M,7.344M,,,,,,,7.344M,186.25M,0.644M,279.17M,182.08M,0.765M,,-1.391M,457.52M
2001-06,99.23M,142.44M,241.68M,78.22M,,78.22M,,319.89M,,,,,,,,56.73M,,56.73M,,186.91M,186.91M,142.44M,,,,386.09M,571.23M,,43.43M,87.09M,130.52M,,,,130.52M,,,,,,,,,,142.36M,0.645M,251.79M,183.39M,2.852M,,-1.59M,428.87M
2001-03,145.38M,20.70M,166.08M,86.43M,,86.43M,,252.51M,,,,,,,,50.66M,,50.66M,,189.53M,189.53M,20.70M,,,,260.89M,500.44M,,36.54M,52.56M,89.10M,,,,89.10M,,,,,,,,,,98.63M,0.645M,225.56M,183.62M,4.346M,,-1.574M,401.81M
2000-12,192.59M,,192.59M,83.28M,,83.28M,,275.87M,,,,,,,,45.60M,,45.60M,,,192.14M,13.32M,,,,251.06M,537.00M,,27.01M,130.10M,157.12M,,,,157.12M,,,,,,,,,,168.76M,0.64M,200.06M,172.16M,0.016M,,-2.477M,368.24M
2000-09,158.93M,14.21M,173.14M,77.64M,,77.64M,,250.78M,,,,,,,,37.68M,,37.68M,,194.76M,194.76M,14.21M,,,,246.64M,492.50M,,,96.50M,96.50M,,,,96.50M,,,,,,,,,,148.95M,0.639M,175.52M,170.56M,,,-0.812M,343.55M
2000-06,116.63M,10.00M,126.64M,72.25M,,72.25M,,198.89M,,,,,,,,28.66M,,28.66M,,197.37M,197.37M,10.00M,,,,236.04M,433.73M,,,63.95M,63.95M,,,,63.95M,,,,,,,,,,112.54M,0.639M,152.76M,169.71M,,,-0.083M,321.19M
2000-03,88.67M,2.196M,90.87M,72.47M,,72.47M,,163.33M,,,,,,,,26.09M,,26.09M,191.84M,,191.84M,2.196M,,,,220.13M,388.43M,,,38.80M,38.80M,,,,38.80M,,,,,,,,,,88.42M,0.639M,131.90M,169.72M,,,-0.259M,300.01M
1999-12,157.13M,,157.13M,65.84M,,65.84M,,222.97M,,,,,,,,22.68M,,22.68M,,,194.26M,2.255M,,,,219.19M,447.58M,,0.705M,90.35M,91.06M,28.20M,28.20M,,119.26M,,,,,,,,,,167.06M,0.639M,112.70M,169.55M,0.00,,-0.231M,280.53M
1999-09,0.00,2.50M,2.50M,,,,,2.50M,,,,,,,,18.70M,,18.70M,,196.70M,196.70M,,,,,215.40M,443.40M,,,0.20M,0.20M,16.10M,16.10M,,16.30M,137.10M,137.10M,,,,,,,137.10M,295.00M,0.50M,95.50M,54.80M,,,,148.40M
