,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-03,1.219B,1.219B,824.51M,394.91M,311.22M,-5.428M,,,,311.22M,83.69M,,,,-5.428M,,74.80M,32.63M,42.18M,,,,42.18M,45.43M,109.16M,25.47M,83.69M,0.45,0.0,,0.485,0.45,0.45,0.0,,0.4845,0.45,93.03M,94.30M,0.17
2000-12,1.210B,1.210B,700.50M,509.41M,306.65M,-10.86M,,,,413.54M,95.86M,,,,-6.258M,,84.80M,36.88M,47.92M,,,,47.92M,54.44M,120.14M,24.28M,95.86M,0.51,0.0,,0.5801,0.51,0.51,0.0,,0.5794,0.51,92.95M,93.96M,0.17
2000-09,1.273B,1.273B,863.85M,409.18M,317.61M,2.963M,,,,317.61M,91.58M,,,,-1.639M,,83.98M,35.88M,48.11M,,,,48.11M,46.33M,118.28M,26.71M,91.58M,0.52,0.0,,0.5009,0.52,0.51,0.0,,0.4911,0.51,93.10M,94.07M,0.17
2000-06,1.242B,1.242B,780.60M,461.42M,361.56M,26.79M,,,,388.52M,72.90M,,,,26.79M,,93.55M,37.89M,55.66M,,,,55.66M,39.59M,99.86M,26.96M,72.90M,0.6,0.0,,0.4272,0.6,0.59,0.0,,0.4198,0.59,93.05M,94.45M,0.17
2000-03,1.222B,1.222B,811.05M,411.40M,307.67M,0.091M,,,,336.62M,74.78M,,,,0.091M,,69.26M,28.05M,41.21M,,,,41.21M,41.16M,103.73M,28.95M,74.78M,0.44,0.0,,0.4394,0.44,0.44,0.0,,0.4394,0.44,92.92M,94.42M,0.16
1999-12,1.224B,1.224B,931.30M,292.60M,215.90M,-0.60M,,,,239.40M,53.20M,,,,-0.60M,,47.20M,19.10M,28.10M,,,,28.10M,28.46M,76.70M,23.50M,53.20M,0.31,0.0,,0.3139,0.31,0.3,0.0,,0.3038,0.3,92.20M,94.67M,0.16
1999-09,1.175B,1.175B,726.80M,448.60M,342.40M,1.40M,,,,368.30M,80.30M,,,,1.40M,,76.90M,31.10M,45.80M,,,,45.80M,44.96M,106.20M,25.90M,80.30M,0.49,0.0,,0.481,0.49,0.49,0.0,,0.481,0.49,93.47M,93.47M,0.16
1999-06,1.146B,1.146B,705.60M,440.58M,328.50M,0.40M,,,,353.10M,87.48M,,,,0.40M,,85.00M,34.40M,50.60M,,,,50.60M,50.36M,112.08M,24.60M,87.48M,0.54,0.0,,0.5374,0.54,0.53,0.0,,0.5275,0.53,93.70M,95.47M,0.16
1999-03,1.091B,1.091B,663.80M,427.00M,306.60M,,,,,330.80M,96.20M,,,,,,94.60M,38.30M,56.30M,,,,56.30M,56.30M,120.40M,24.20M,96.20M,0.61,0.0,,0.61,0.61,0.6,0.0,,0.6,0.6,92.30M,93.83M,0.15
1998-12,1.143B,1.143B,830.60M,312.30M,185.20M,-2.20M,,,,198.90M,113.40M,,,,-2.20M,,110.90M,44.90M,66.00M,,,,66.00M,67.32M,127.10M,13.70M,113.40M,0.7,0.0,,0.714,0.7,0.69,0.0,,0.7038,0.69,94.20M,95.67M,0.15
1998-09,1.12B,1.12B,693.70M,426.30M,309.10M,-0.40M,,,,330.10M,96.20M,,,,-0.40M,,94.30M,38.20M,56.10M,,,,56.10M,56.34M,117.20M,21.00M,96.20M,0.58,0.0,,0.5825,0.58,0.57,0.0,,0.5724,0.57,96.72M,98.42M,0.15
1998-06,1.119B,1.119B,692.60M,426.40M,301.20M,0.40M,,,,325.60M,100.80M,,,,0.40M,,99.60M,40.30M,59.30M,,,,59.30M,59.06M,125.20M,22.20M,100.80M,0.61,0.0,,0.6075,0.61,0.6,0.0,,0.5976,0.6,97.21M,98.83M,0.15
