,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2007-06,4.709B,5.952B,10.66B,2.531B,2.531B,583.00M,2.063B,1.481B,4.127B,1.06B,1.269B,19.65B,,,,,46.80B,-29.66B,17.14B,3.861B,,3.861B,,,,,9.642B,30.65B,50.29B,2.179B,,2.179B,3.529B,5.708B,,,,,221.00M,221.00M,535.00M,535.00M,,6.464B,1.848B,1.848B,235.00M,,235.00M,,2.049B,4.132B,10.60B,9.597B,30.20B,,-96.00M,39.70B
2007-03,4.472B,4.552B,9.024B,2.78B,2.78B,670.00M,2.187B,1.509B,4.366B,1.06B,464.00M,17.69B,,,,,47.91B,-30.29B,17.62B,3.861B,,3.861B,,,,,9.584B,31.06B,48.76B,2.273B,,2.273B,3.603B,5.876B,,,,,139.00M,139.00M,611.00M,611.00M,,6.626B,1.848B,1.848B,234.00M,,234.00M,,2.522B,4.604B,11.23B,0.00,29.02B,8.598B,-92.00M,37.53B
2006-12,6.598B,3.404B,10.00B,2.709B,2.709B,608.00M,2.044B,1.662B,4.314B,997.00M,258.00M,18.28B,0.00,14.54B,29.83B,2.711B,47.08B,-29.48B,17.60B,3.861B,,3.861B,,,,,8.625B,30.09B,48.37B,2.256B,,2.256B,3.682B,5.938B,,,,,180.00M,180.00M,599.00M,599.00M,1.797B,8.514B,1.848B,1.848B,265.00M,,265.00M,,989.00M,3.102B,11.62B,7.825B,28.98B,,-57.00M,36.75B
2006-09,4.469B,3.75B,8.219B,3.358B,3.358B,535.00M,2.265B,1.677B,4.477B,1.138B,412.00M,17.60B,,,,,46.98B,-28.94B,18.04B,3.861B,,3.861B,,,,,7.352B,29.25B,46.86B,2.401B,,2.401B,4.479B,6.88B,,,,,196.00M,196.00M,603.00M,603.00M,1.378B,9.057B,2.06B,2.06B,375.00M,,375.00M,,346.00M,2.781B,11.84B,7.348B,27.50B,,168.00M,35.02B
2006-06,3.436B,4.207B,7.643B,3.178B,3.178B,496.00M,2.331B,1.505B,4.332B,1.221B,381.00M,16.76B,,,,,46.46B,-28.36B,18.10B,3.871B,,3.871B,,,,,7.364B,29.33B,46.09B,2.478B,,2.478B,4.092B,6.57B,,,,,287.00M,287.00M,567.00M,567.00M,998.00M,8.422B,2.054B,2.054B,470.00M,,470.00M,,346.00M,2.87B,11.29B,6.986B,27.62B,,191.00M,34.80B
2006-03,3.948B,3.906B,7.854B,3.912B,3.912B,416.00M,1.944B,1.207B,3.567B,1.032B,1.662B,18.03B,,,,,45.40B,-27.79B,17.62B,3.873B,,3.873B,,,,,7.676B,29.17B,47.19B,2.411B,,2.411B,4.685B,7.096B,,,,,224.00M,224.00M,669.00M,669.00M,1.854B,9.843B,2.04B,2.04B,607.00M,,607.00M,,346.00M,2.993B,12.84B,6.662B,27.53B,,165.00M,34.36B
2005-12,7.324B,5.448B,12.77B,3.914B,3.914B,409.00M,1.662B,1.055B,3.126B,1.149B,233.00M,21.19B,0.00,13.94B,27.30B,2.897B,44.13B,-27.02B,17.11B,,3.873B,3.873B,,,,,6.136B,27.12B,48.31B,2.249B,,2.249B,4.08B,6.329B,,,,,313.00M,313.00M,632.00M,632.00M,1.96B,9.234B,2.106B,2.106B,703.00M,,703.00M,,89.00M,2.898B,12.13B,6.245B,29.81B,,127.00M,36.18B
2005-09,8.857B,5.076B,13.93B,3.748B,3.748B,381.00M,1.434B,1.00B,2.815B,967.00M,261.00M,21.72B,,,,,43.13B,-26.30B,16.82B,,3.814B,3.814B,,,,,4.997B,25.64B,47.36B,2.077B,,2.077B,4.577B,6.654B,,,,,252.00M,252.00M,692.00M,692.00M,1.901B,9.499B,432.00M,432.00M,753.00M,,753.00M,,,1.185B,10.68B,6.223B,30.31B,,144.00M,36.68B
2005-06,8.975B,5.849B,14.82B,3.448B,3.448B,384.00M,1.506B,849.00M,2.739B,900.00M,279.00M,22.19B,,,,,42.33B,-25.70B,16.62B,,3.805B,3.805B,,,,,3.894B,24.32B,46.51B,1.993B,,1.993B,3.432B,5.425B,,,,,318.00M,318.00M,707.00M,707.00M,1.33B,7.78B,430.00M,430.00M,689.00M,,689.00M,,,1.119B,8.899B,6.26B,31.30B,,53.00M,37.61B
2005-03,9.279B,6.837B,16.12B,3.226B,3.226B,392.00M,1.517B,899.00M,2.808B,975.00M,353.00M,23.48B,,,,,40.39B,-24.06B,16.32B,,3.716B,3.716B,,,,,4.051B,24.09B,47.57B,2.081B,,2.081B,3.61B,5.691B,,,,,222.00M,222.00M,707.00M,707.00M,1.953B,8.573B,464.00M,464.00M,818.00M,,818.00M,,,1.282B,9.855B,6.22B,31.41B,,80.00M,37.71B
2004-12,8.407B,8.765B,17.17B,2.999B,2.999B,388.00M,1.418B,815.00M,2.621B,979.00M,287.00M,24.06B,0.00,13.28B,24.56B,1.995B,39.83B,-24.06B,15.77B,,3.719B,3.719B,,,,,4.598B,24.08B,48.14B,1.943B,,1.943B,4.107B,6.05B,,,,,201.00M,201.00M,592.00M,592.00M,1.163B,8.006B,703.00M,703.00M,855.00M,,855.00M,,,1.558B,9.564B,6.143B,32.29B,,148.00M,38.58B
2004-09,6.533B,9.624B,16.16B,3.266B,3.266B,434.00M,1.75B,996.00M,3.18B,1.147B,240.00M,23.99B,,,,,40.14B,-24.21B,15.92B,,3.734B,3.734B,,,,,4.152B,23.81B,47.80B,1.895B,,1.895B,3.619B,5.514B,,,,,213.00M,213.00M,652.00M,652.00M,1.431B,7.81B,882.00M,882.00M,913.00M,,913.00M,,,1.795B,9.605B,6.045B,32.10B,,53.00M,38.20B
2004-06,7.153B,9.819B,16.97B,3.183B,3.183B,395.00M,1.912B,916.00M,3.223B,1.07B,310.00M,24.76B,,,,,39.57B,-23.56B,16.01B,,3.73B,3.73B,,,,,4.177B,23.91B,48.67B,1.90B,,1.90B,3.353B,5.253B,,,,,216.00M,216.00M,640.00M,640.00M,1.429B,7.538B,898.00M,898.00M,1.643B,,1.643B,,,2.541B,10.08B,6.395B,32.08B,,121.00M,38.59B
2004-03,7.539B,8.179B,15.72B,3.374B,3.374B,355.00M,1.682B,759.00M,2.796B,970.00M,233.00M,23.09B,,,,,39.10B,-22.90B,16.19B,,3.705B,3.705B,,,,,4.10B,24.00B,47.09B,1.617B,,1.617B,3.311B,4.928B,,,,,296.00M,296.00M,701.00M,701.00M,491.00M,6.416B,927.00M,927.00M,1.635B,,1.635B,,,2.562B,8.978B,6.726B,31.24B,,144.00M,38.11B
2003-12,7.971B,8.193B,16.16B,2.96B,2.96B,333.00M,1.49B,696.00M,2.519B,969.00M,270.00M,22.88B,0.00,12.65B,24.23B,1.808B,38.69B,-22.03B,16.66B,,3.705B,3.705B,,,,,3.895B,24.26B,47.14B,1.66B,,1.66B,3.577B,5.237B,,,,,224.00M,224.00M,633.00M,633.00M,785.00M,6.879B,936.00M,936.00M,1.482B,,1.482B,,,2.418B,9.297B,6.754B,31.02B,,76.00M,37.85B
2003-09,9.406B,6.034B,15.44B,3.29B,3.29B,273.00M,1.247B,705.00M,2.225B,1.058B,325.00M,22.34B,,,,,38.73B,-21.51B,17.22B,,4.317B,4.317B,,,,,3.128B,24.66B,47.00B,1.657B,,1.657B,3.094B,4.751B,,,,,352.00M,352.00M,696.00M,696.00M,1.47B,7.269B,882.00M,882.00M,1.491B,,1.491B,,,2.373B,9.642B,7.154B,30.12B,,83.00M,37.36B
2003-06,8.382B,5.254B,13.64B,2.85B,2.85B,245.00M,1.315B,592.00M,2.152B,1.138B,326.00M,20.10B,,,,,37.93B,-20.63B,17.29B,,4.314B,4.314B,,,,,2.757B,24.36B,44.46B,1.603B,,1.603B,2.651B,4.254B,,,,,385.00M,385.00M,598.00M,598.00M,1.462B,6.699B,914.00M,914.00M,1.362B,,1.362B,,,2.276B,8.975B,6.733B,28.73B,,28.00M,35.49B
2003-03,7.134B,5.301B,12.44B,2.964B,2.964B,248.00M,1.355B,561.00M,2.164B,1.155B,358.00M,19.08B,,,,,37.40B,-19.82B,17.59B,,4.328B,4.328B,,,,,2.813B,24.73B,43.81B,1.631B,,1.631B,2.43B,4.061B,,,,,393.00M,393.00M,532.00M,532.00M,1.293B,6.279B,829.00M,829.00M,1.297B,,1.297B,,,2.126B,8.405B,7.18B,28.23B,,-6.00M,35.40B
2002-12,7.404B,5.183B,12.59B,2.574B,2.574B,223.00M,1.365B,688.00M,2.276B,1.136B,352.00M,18.92B,0.00,11.37B,22.80B,2.738B,36.91B,-19.06B,17.85B,,4.33B,4.33B,,,,,3.122B,25.30B,44.22B,1.543B,,1.543B,2.984B,4.527B,,,,,436.00M,436.00M,475.00M,475.00M,1.157B,6.595B,929.00M,929.00M,1.232B,,1.232B,,,2.161B,8.756B,7.641B,27.85B,,-20.00M,35.47B
2002-09,6.678B,4.564B,11.24B,3.089B,3.089B,286.00M,1.52B,675.00M,2.481B,885.00M,348.00M,18.04B,,,,,36.16B,-18.19B,17.97B,,4.334B,4.334B,,,,,3.287B,25.59B,43.64B,1.621B,,1.621B,2.871B,4.492B,,,,,317.00M,317.00M,512.00M,512.00M,960.00M,6.281B,1.00B,1.00B,1.048B,,1.048B,,,2.048B,8.329B,8.249B,27.12B,,-65.00M,35.31B
2002-06,6.068B,4.539B,10.61B,2.907B,2.907B,242.00M,1.393B,870.00M,2.505B,917.00M,265.00M,17.20B,,,,,35.54B,-17.37B,18.18B,,4.338B,4.338B,,,,,3.783B,26.30B,43.50B,1.658B,,1.658B,2.537B,4.195B,,,,,383.00M,383.00M,498.00M,498.00M,672.00M,5.748B,1.081B,1.081B,1.089B,,1.089B,,,2.17B,7.918B,8.628B,27.05B,,-97.00M,35.58B
2002-03,6.524B,4.324B,10.85B,2.883B,2.883B,265.00M,1.301B,914.00M,2.48B,933.00M,345.00M,17.49B,,,,,34.83B,-16.52B,18.31B,,4.338B,4.338B,,,,,4.248B,26.90B,44.39B,1.925B,,1.925B,2.679B,4.604B,,,,,412.00M,412.00M,572.00M,572.00M,1.017B,6.605B,1.064B,1.064B,860.00M,,860.00M,,,1.924B,8.529B,8.828B,27.17B,,-141.00M,35.86B
2001-12,7.97B,3.58B,11.55B,2.607B,2.607B,237.00M,1.316B,700.00M,2.253B,958.00M,265.00M,17.63B,0.00,10.71B,21.60B,2.042B,34.36B,-16.24B,18.12B,,4.33B,4.33B,,,,,4.311B,26.76B,44.40B,1.769B,,1.769B,2.986B,4.755B,,,,,409.00M,409.00M,418.00M,418.00M,988.00M,6.57B,1.05B,1.05B,945.00M,,945.00M,,,1.995B,8.565B,8.833B,27.15B,,-153.00M,35.83B
2001-09,4.864B,5.353B,10.22B,3.043B,3.043B,297.00M,1.308B,746.00M,2.351B,1.019B,237.00M,16.87B,,,,,33.52B,-15.38B,18.14B,,5.602B,5.602B,,,,,3.624B,27.36B,44.23B,1.792B,,1.792B,2.824B,4.616B,,,,,302.00M,302.00M,507.00M,507.00M,768.00M,6.193B,972.00M,972.00M,1.164B,,1.164B,,,2.136B,8.329B,8.965B,27.21B,,-274.00M,35.90B
2001-06,3.205B,7.36B,10.56B,2.904B,2.904B,379.00M,1.431B,1.016B,2.826B,730.00M,280.00M,17.30B,,,,,32.61B,-14.79B,17.83B,,6.277B,6.277B,,,,,4.214B,28.32B,45.62B,2.03B,,2.03B,2.954B,4.984B,,,,,411.00M,411.00M,549.00M,549.00M,869.00M,6.813B,928.00M,928.00M,1.145B,,1.145B,,,2.073B,8.886B,9.094B,27.94B,,-297.00M,36.74B
2001-03,2.861B,8.742B,11.60B,3.432B,3.432B,406.00M,1.367B,879.00M,2.652B,718.00M,334.00M,18.74B,,,,,30.77B,-14.00B,16.77B,,6.071B,6.071B,,,,,4.665B,27.51B,46.25B,2.369B,,2.369B,3.029B,5.398B,,,,,479.00M,479.00M,648.00M,648.00M,862.00M,7.387B,704.00M,704.00M,1.24B,,1.24B,,,1.944B,9.331B,8.712B,28.32B,,-115.00M,36.92B
2000-12,2.976B,10.85B,13.82B,4.129B,4.129B,384.00M,1.057B,800.00M,2.241B,721.00M,236.00M,21.15B,0.00,7.416B,15.99B,4.843B,28.25B,-13.24B,15.01B,,5.941B,5.941B,,,,,5.841B,26.80B,47.94B,2.387B,,2.387B,3.918B,6.305B,,,,,378.00M,378.00M,674.00M,674.00M,1.293B,8.65B,707.00M,707.00M,1.266B,,1.266B,,,1.973B,10.62B,8.486B,28.74B,,98.00M,37.32B
2000-09,6.434B,7.573B,14.01B,4.574B,4.574B,334.00M,926.00M,676.00M,1.936B,736.00M,257.00M,21.51B,,,,,26.04B,-12.62B,13.41B,,6.163B,6.163B,,,,,7.926B,27.50B,49.01B,2.36B,,2.36B,3.727B,6.087B,,,,,336.00M,336.00M,,,2.102B,8.525B,610.00M,610.00M,2.173B,,2.173B,,,2.783B,11.31B,8.643B,27.25B,,1.808B,37.70B
2000-06,7.308B,6.336B,13.64B,4.333B,4.333B,232.00M,863.00M,512.00M,1.607B,721.00M,245.00M,20.55B,,,,,24.90B,-12.58B,12.32B,,6.24B,6.24B,,,,,9.406B,27.97B,48.52B,1.968B,,1.968B,3.634B,5.602B,,,,,385.00M,385.00M,,,2.349B,8.336B,870.00M,870.00M,2.694B,,2.694B,,,3.564B,11.90B,7.941B,25.70B,,2.976B,36.62B
2000-03,6.204B,5.012B,11.22B,3.678B,3.678B,224.00M,796.00M,517.00M,1.537B,709.00M,268.00M,17.41B,,,,,24.12B,-12.24B,11.88B,,5.978B,5.978B,,,,,12.55B,30.40B,47.81B,1.76B,,1.76B,2.878B,4.638B,,,,,373.00M,373.00M,,,2.079B,7.09B,868.00M,868.00M,3.75B,,3.75B,,,4.618B,11.71B,7.748B,23.27B,,5.084B,36.10B
1999-12,3.695B,8.093B,11.79B,3.70B,3.70B,183.00M,755.00M,540.00M,1.478B,673.00M,180.00M,17.82B,0.00,7.246B,14.85B,1.46B,23.56B,-11.84B,11.72B,,4.934B,4.934B,,,,,9.381B,26.03B,43.85B,1.37B,,1.37B,3.195B,4.565B,,,,,230.00M,230.00M,,,2.304B,7.099B,955.00M,955.00M,3.13B,,3.13B,,130.00M,4.215B,11.31B,7.316B,21.43B,,3.791B,32.54B
1999-09,3.512B,8.379B,11.89B,3.494B,3.494B,204.00M,840.00M,582.00M,1.626B,714.00M,191.00M,17.92B,,,,,22.86B,-11.26B,11.59B,,3.114B,3.114B,,,,,6.314B,21.02B,38.94B,1.566B,,1.566B,2.893B,4.459B,,,,,164.00M,164.00M,,,1.766B,6.389B,884.00M,884.00M,2.222B,,2.222B,,261.00M,3.367B,9.756B,7.215B,19.91B,,2.059B,29.18B
1999-06,3.599B,7.01B,10.61B,3.265B,3.265B,222.00M,947.00M,594.00M,1.763B,659.00M,177.00M,16.47B,,,,,22.00B,-10.59B,11.41B,,,,,,,,4.916B,16.33B,32.80B,1.354B,,1.354B,2.486B,3.84B,,,,,135.00M,135.00M,,,1.142B,5.117B,666.00M,666.00M,1.546B,,1.546B,,,2.212B,7.329B,4.819B,19.52B,,1.13B,25.47B
1999-03,2.503B,8.086B,10.59B,3.319B,3.319B,232.00M,797.00M,679.00M,1.708B,646.00M,187.00M,16.45B,,,,,21.52B,-10.03B,11.49B,,,,,,,,5.152B,16.64B,33.09B,1.449B,,1.449B,2.472B,3.921B,,,,,182.00M,182.00M,,,2.113B,6.216B,699.00M,699.00M,1.452B,,1.452B,,,2.151B,8.367B,5.025B,18.83B,,870.00M,24.73B
1998-12,2.038B,5.588B,7.626B,3.527B,3.527B,206.00M,795.00M,581.00M,1.582B,618.00M,122.00M,13.48B,0.00,6.297B,13.15B,1.622B,21.07B,-9.459B,11.61B,,111.00M,111.00M,,,,,6.276B,18.00B,31.47B,1.244B,,1.244B,2.837B,4.081B,,,,,159.00M,159.00M,,,1.564B,5.804B,702.00M,702.00M,1.387B,,1.387B,,201.00M,2.29B,8.094B,4.822B,17.95B,,603.00M,23.38B
1998-09,2.90B,5.519B,8.419B,3.636B,3.636B,258.00M,879.00M,441.00M,1.578B,629.00M,451.00M,14.71B,,,,,20.75B,-8.885B,11.86B,,,,,,,,2.812B,14.68B,29.39B,1.205B,,1.205B,2.59B,3.795B,,,,,192.00M,192.00M,,,1.269B,5.256B,583.00M,583.00M,1.162B,,1.162B,,588.00M,2.333B,7.589B,4.775B,16.84B,,182.00M,21.80B
1998-06,1.887B,5.522B,7.409B,3.126B,3.126B,250.00M,988.00M,465.00M,1.703B,665.00M,465.00M,13.37B,,,,,20.30B,-8.30B,12.00B,,,,,,,,3.047B,15.05B,28.42B,1.092B,,1.092B,2.353B,3.445B,,,,,242.00M,242.00M,,,567.00M,4.254B,472.00M,472.00M,1.248B,,1.248B,,711.00M,2.431B,6.685B,4.853B,16.66B,,216.00M,21.73B
1998-03,5.073B,5.256B,10.33B,3.092B,3.092B,254.00M,1.035B,532.00M,1.821B,680.00M,350.00M,16.27B,,,,,19.01B,-7.876B,11.14B,,,,,,,,2.82B,13.96B,30.23B,1.324B,,1.324B,2.13B,3.454B,,,,,365.00M,365.00M,,,2.035B,5.854B,441.00M,441.00M,1.164B,,1.164B,,1.185B,2.79B,8.644B,4.955B,16.48B,,155.00M,21.58B
