,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2004-09,127.90M,,6.50M,47.30M,47.30M,,,,,,40.00M,-17.70M,1.00M,-93.60M,82.70M,11.90M,24.30M,206.00M,,-135.70M,,-135.70M,,0.00,,74.90M,-60.80M,,,-185.70M,9.00M,,9.00M,,,,-0.60M,-177.30M,,76.90M,-32.10M,0.50M,45.30M,,9.00M,,,,,,
2004-06,116.30M,,18.60M,45.60M,45.60M,,,,,,-5.40M,-9.20M,-10.80M,18.10M,39.40M,-8.30M,23.80M,204.30M,,20.00M,,20.00M,,-121.90M,,-51.00M,-152.90M,,,-90.10M,13.20M,,13.20M,,,,-5.00M,-81.90M,,108.70M,-30.50M,-1.30M,76.90M,,13.20M,,,,,,
2004-03,97.60M,,31.00M,41.70M,41.70M,,,,,,-38.80M,-5.10M,-16.20M,75.50M,,8.30M,23.70M,194.00M,,-50.60M,,-50.60M,,,,,-50.60M,,,-149.30M,36.50M,,36.50M,,,,,-112.80M,,77.50M,30.60M,0.60M,108.70M,,36.50M,,,,,,
2003-12,37.00M,,53.90M,40.60M,40.60M,-68.40M,,,,,-8.80M,-24.00M,28.30M,,,-7.40M,105.90M,169.00M,,-51.50M,,-51.50M,,-924.30M,,-1.10M,-976.90M,,,703.00M,24.10M,,24.10M,,,,-22.60M,704.50M,,177.00M,-103.40M,3.90M,77.50M,,24.10M,,,,,,
2003-09,85.00M,,-80.50M,21.30M,21.30M,68.40M,,,,,8.30M,-10.90M,20.00M,,,-12.70M,4.70M,98.90M,,-93.50M,,-93.50M,,-3.40M,,50.60M,-46.30M,,,-0.10M,13.00M,,13.00M,,,,-3.70M,9.20M,,115.00M,61.80M,0.20M,177.00M,,13.00M,,,,,,
2003-06,89.00M,,80.50M,21.80M,21.80M,-59.10M,,,,,-16.30M,-10.70M,25.40M,,,-8.50M,-10.10M,122.10M,,19.50M,,19.50M,,,,-66.00M,-46.50M,,,-2.70M,8.10M,,8.10M,,,,,5.40M,,33.40M,81.00M,0.60M,115.00M,,8.10M,,,,,,
2003-03,135.30M,,-89.10M,19.60M,19.60M,59.10M,,,,,-22.20M,-7.40M,2.20M,,,7.30M,-20.10M,104.80M,,-33.00M,,-33.00M,,,,,-33.00M,,,-79.60M,25.30M,,25.30M,,,,,-54.30M,,15.70M,17.50M,0.20M,33.40M,,25.30M,,,,,,
2002-12,72.20M,,,6.60M,6.60M,-22.00M,,,,,-7.40M,-2.20M,-5.50M,,,11.60M,-3.50M,83.20M,,-10.00M,,-10.00M,,,,0.00,-10.00M,,,-93.90M,6.00M,,6.00M,,,,8.90M,-79.00M,,20.80M,-5.80M,0.70M,15.70M,,6.00M,,,,,,
2002-09,65.10M,,,6.40M,6.40M,3.30M,,,,,14.10M,-16.00M,-2.90M,,,-14.60M,-19.40M,55.40M,,-8.70M,,-8.70M,,,,0.00,-8.70M,,,-62.40M,10.30M,,10.30M,,,,0.00,-52.10M,,26.40M,-5.40M,-0.20M,20.80M,,10.30M,,,,,,
2002-06,65.90M,,,6.80M,6.80M,-1.60M,,,,,-15.10M,-19.60M,7.50M,,,5.20M,-22.00M,49.10M,,-8.50M,,-8.50M,,,,0.00,-8.50M,,,-37.20M,2.80M,,2.80M,,,,-2.00M,-36.40M,,20.80M,4.20M,1.40M,26.40M,,2.80M,,,,,,
2002-03,54.60M,,,5.50M,5.50M,20.30M,,,,,-16.60M,-21.90M,-11.30M,,,1.90M,-47.90M,32.50M,,-6.50M,,-6.50M,,,,-2.00M,-8.50M,,,-19.30M,4.80M,,4.80M,,,,-6.90M,-21.40M,,18.40M,2.60M,-0.20M,20.80M,,4.80M,,,,,,
